molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|PNSA5|PPSA3|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
5b_a49|0.0|0|0|0.0|0.0|7.853604813|2|1.343848745|5.777652323|0.006327273|0.034466231|1.926253727|-0.418576471|0.005836378|-0.0695402359999999|10.9297646|0.059834711|1|0.006696215|-0.12209302|-0.13632743|-0.230763367|-0.515894968|0.6981815290000001|0.7843021|-0.006962617|0.839963111|0.666573331|1|-0.0698098759999999|-44.96093486|11.94347454|119.3565117|-26.42668087|7.020013952999999|69.07083505|-1.300400018|59.85065205|52.97561349|0.475192312|2764.188493|468.4133145|1956.050085|-8.985071494|0.3913052589999999|-449.2535747|-127.7749783|1255.69656|612.7019937000001|14.88971719|0.0|1.0|1.0|3.34|2.9|0.22|21.0|2.98|2.87|75.94|1.0|0.0|122.26|0.0|3.0|4.0|396.44|0.0|1.0|2.58|0.000496|0.000118|0.0468|0.0|0.0|5.79e-08|2.3e-05|5.1653|3.92|-1292.139616|-1292.100239|633.92|1093.32|0.4653|240.03|451.32|0.65269|0.0747|-0.20701|0.03937634|-1291.929428|6.1996|28.0|7.5528|7.5528
15a_a22|0.0|0|0|0.0|0.0|6.842683282|0|1.4229176680000002|4.727387819|-0.052476637|0.038167849|1.614660505|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|1|0.005757758|0.036467904|-0.097476465|-0.165471815|-0.360663314|0.6819423609999999|0.7392451729999999|-0.09744639|0.794858486|0.655865336|1|-0.061755825|-55.4621036|14.43653926|90.52525878|-37.6479704|9.799599501|65.53409434|-1.634109304|70.12529157|56.35672103|0.444668211|2884.815511|588.2800507999999|2169.226845|-14.47998862|0.297264929|-752.9594081|-275.2352849|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|3.42|2.86|0.08|27.0|3.87|4.31|85.59|1.0|0.0|124.05|0.0|6.0|5.0|420.47|0.0|0.0|3.19|2.25e-05|2.1e-05|0.00881|0.0|0.0|6.1e-10|2.56e-07|5.0577|4.98|-1368.35331|-1368.321775|696.57|1189.31|312.0|245.14|541.27|0.69076|0.0955|-0.21285|0.03153544|-1368.1368730000002|6.8666|143.0|6.8447|6.8447
11b_a5|0.0|1|0|2.943854668|0.0|6.605297921|0|1.277648917|4.59511985|0.008093965|0.023988604|0.0|-0.1833048739999999|0.006121601|-0.118167947|10.94877958|-0.0536971829999999|1|0.005685558|-0.108457009|-0.0109928619999999|-0.017658026|-0.252164213|0.735954089|0.805760343|-0.0497097529999999|0.8645824520000001|0.682032125|0|-0.07633373|-48.42513182|9.829471091|75.80248447|-29.07084703|5.900883275|1.880682804|-1.290636432|62.16286481|55.65456427|0.456131351|2434.505303|524.5231302|913.0178976|-10.5712171|0.33175528|-465.13355250000006|-202.0032297|1159.458633|504.9898148|13.73773299|1.0|1.0|1.0|2.99|2.55|0.1|23.0|5.38|4.82|63.69|2.0|1.0|106.58|0.0|6.0|4.0|376.84|0.0|1.0|3.68|2.26e-05|2.04e-05|0.00767|0.0|0.0|7.109999999999997e-10|2.68e-07|4.4995|3.31|-1564.761898|-1564.72614|635.55|1063.35|0.5806|275.55|511.28|0.6284|0.2013|-0.21291|0.03575776|-1564.621301|2.8531|19.0|7.7212|7.7212
19a_a22|0.0|0|0|0.0|0.0|6.842683282|0|1.422917238|4.727387819|-0.144269652|0.0389622639999999|1.545757986|-0.548716971|-0.002607064|-0.011513343|10.9464374|0.016501913|1|-0.001355145|-0.03516233|-0.035723406|-0.0611158559999999|-0.496053375|0.72808001|0.777600172|-0.155892259|0.834033833|0.699744887|1|-0.090145161|-69.91748544|18.53458775|190.7541925|-52.17015658|13.82990734|106.645364|-1.967744721|89.23486638|85.79797858|0.4347718229999999|3167.140147|555.4133255|2607.322873|-19.56380872|0.315293811|-1095.573288|-275.6435167|2144.375527|781.8210659|19.31738094|1.0|1.0|1.0|3.61|2.27|0.08|27.0|3.08|3.41|128.68|1.0|0.0|132.15|0.0|7.0|6.0|463.49|0.0|0.0|2.36|4.16e-05|7.69e-05|0.0356|0.0|0.0|1.73e-09|8e-07|5.0397|5.69|-1537.071348|-1537.0241640000002|740.07|1277.14|0.2218|246.01|567.03|0.66605|0.0623|-0.21478|0.04718381|-1536.823574|6.5658|48.0|7.3188|7.3188
47t_a18|0.0|0|0|0.0|0.0|7.03438793|1|1.25117758|4.844187086|-0.161517185|0.03672956|0.0|-0.756664598|-0.006573438|-0.011641394|10.94702032|-0.04785474|0|-0.004985656|0.027313444|-0.068787175|-0.104274108|-0.600890268|0.704602886|0.750103977|0.005590928|0.796935152|0.688453085|0|-0.119202068|-69.13537385|9.415011332|219.5070758|-46.27207168|6.301435212|78.43695402|-2.272502492|80.00407742|89.19655162|0.49779009|2872.533415|449.789539|1326.524873|-18.17831387|0.195468477|-1017.985577|-407.6438346000001|1890.514146|747.6927426|10.86870356|0.0|1.0|0.0|3.86|0.0|0.15|18.0|2.6|2.93|110.56|2.0|1.0|129.21|0.0|7.0|4.0|441.48|0.0|0.0|2.15|2.65e-06|1.7100000000000002e-05|0.0075299999999999|0.0|0.0|3.09e-08|1.36e-05|3.1164|9.4|-1470.873743|-1470.836067|703.76|1218.95|0.5502|397.84|601.36|0.6895100000000001|0.5502|-0.19514|0.03767603|-1470.593659|9.6938|782.0|6.1068|6.1068
8j_a46|0.0|0|0|0.0|0.214753401|7.727094485|1|1.160371125|5.533389489|-0.008523199|0.043903904|0.0|-0.081366324|0.011852046|-0.174853546|10.96391738|-0.053618988|1|0.0108603019999999|-0.204674804|-0.084266433|-0.133413527|-0.229679821|0.645146311|0.789844634|-0.223292257|0.837678812|0.6109926379999999|0|-0.054707287|-37.04976799|4.658562801|35.10521457|-19.90219786|2.5024620580000003|64.83187221|-1.103544698|41.80044861|34.04593326|0.427798746|2121.846387|502.0694817|1888.679875|-7.405468973|0.177887481|-318.43516580000005|-346.061389|721.0646647000001|453.1959065|4.750680627|1.0|1.0|1.0|3.23|3.25|0.32|17.0|4.71|4.55|43.6|1.0|1.0|96.94|0.0|2.0|3.0|338.83|0.0|1.0|3.82|2.59e-05|1.47e-05|0.00497|0.0|0.0|5.46e-08|1.85e-05|4.9636|3.78|-1414.53151|-1414.50743|576.48|978.4|0.1728|249.79|493.89|0.70121|0.1427|-0.22599|0.02408052|-1414.402087|6.4463|1228.0|5.9108|5.9108
17_a15|0.0|0|0|0.0|0.0|0.0|0|1.43568899|0.0|-0.071708785|0.036595745|0.0|-0.442454151|0.0016674189999999|-0.032903349|10.9544604|-0.0141953639999999|0|0.0032452509999999|-0.052628162|-0.170008473|-0.263401148|-0.461493931|0.769376831|0.721188086|0.001376853|0.76362781|0.740986227|0|-0.052869016|-61.17023228|9.875456386|91.58201681|-46.86345493|7.56573889|58.47512431|-1.596893495|77.82445248|50.37922222|0.474165158|2852.085573|674.5333498|2104.883413|-15.88591693|0.346792631|-937.2690986|-234.74904|1872.919233|822.8625688|16.654220199999997|1.0|1.0|1.0|3.63|3.99|0.15|24.0|4.89|6.0|67.35|2.0|0.0|131.36|0.0|7.0|4.0|438.52|1.0|0.0|4.44|1.19e-06|2.26e-06|0.00099|0.0|0.0|1.9199999999999998e-10|8.43e-08|4.1461|6.89|-1413.897695|-1413.857182|752.08|1298.37|0.7247|299.04|663.81|0.7045100000000001|0.0377|-0.19509|0.04051306|-1413.624817|7.1743|12.0|7.9208|7.9208
12b_a36 (EW-7197)|0.0|1|0|3.3685352889999995|0.0|7.412764017000001|2|1.2970445309999998|5.351858133|-0.082283951|0.040899471|0.0|-0.439429998|-0.002526241|-0.098032695|10.96052467|-0.056994595|1|-0.000673716|0.059005046|-0.101303149|-0.217394466|-0.442656599|0.724208473|0.819222745|-0.001567914|0.8741648479999999|0.698414933|0|-0.081357853|-67.98756422|13.41367899|147.9542111|-42.53627024|8.392238798|5.958751634|-1.956014468|80.95733534|64.31504105|0.45988432|2772.832013|477.6935927|2338.370858|-15.31305729|0.253252648|-765.6528642999999|-308.7538779|1638.808832|595.8790650000001|12.96977113||||||||||||||||||||||||||||3.8475|3.41|-1332.180029|-1332.147999|659.48|1104.61|0.4491|322.25|486.64|0.69991|0.0197|-0.20546|0.03202977|-1332.005651|7.3101|7.0|8.1549|8.1549
19f_a38|0.0|1|0|3.3320764830000003|0.0|7.412764017000001|2|1.297044434|5.351858133|-0.084341564|0.041808786|0.0|-0.4228801179999999|-0.002526241|0.035480177|10.96083376|-0.054832432|1|-0.000673716|-0.017421394|-0.101303149|-0.217394466|-0.4288343429999999|0.724208473|0.819222745|-0.075025988|0.8741648479999999|0.698414933|0|-0.085318318|-71.10679028|13.4639011|159.14822980000002|-45.42524686|8.601162122|12.14075726|-1.892229356|84.35196967|67.96791709|0.453960261|2776.145209|479.6831205|2846.860803|-15.44458393|0.265562447|-772.2291966|-299.5321167|1645.906354|595.8790650000001|13.24517938|1.0|1.0|1.0|4.82|2.48|0.14|17.0|3.13|2.55|81.23|1.0|0.0|125.69|0.0|5.0|4.0|401.44|0.0|0.0|2.67|7.209999999999999e-05|6.77e-05|0.0272|0.0|0.0|1.4e-07|5.610000000000001e-05|5.3197|3.41|-1332.190216|-1332.160846|653.22|1105.62|0.3205|233.07|495.68|0.7056100000000001|0.0019|-0.20104|0.02936908|-1332.004601|7.1655|73.0|7.1397|7.1397
19_a3|0.0|1|0|2.917217813|0.0|6.605297921|0|1.4316666480000002|4.59511985|-0.030657|0.0386379929999999|1.744747103|-0.129865138|0.006821053|0.156485495|10.96959256|0.036226415|1|0.006731579|-0.015805561|-0.037291767|-0.066245471|-0.270506095|0.718266758|0.758995484|-0.0150769919999999|0.8264237520000001|0.687139108|1|-0.067674689|-40.8473715|5.419662458|68.43484547|-19.01853079|2.523394126|0.0|-1.140498238|48.55416845|36.92898885|0.476813896|2000.66399|397.1650228|869.7868956|-7.064025721|0.24201815|-247.2409002|-240.2326308|700.5653624|314.0966684|7.706796952|1.0|1.0|1.0|2.81|1.6|0.06|21.0|3.9|3.39|67.35|0.0|0.0|85.32|0.0|2.0|4.0|287.32|0.0|1.0|2.45|0.000578|0.000266|0.0764|0.0|0.0|6.18e-08|1.7800000000000002e-05|3945.0|2.43|-929.2818523|-929.2608626|499.93|832.23|0.3006|314.28|362.92|0.67351|0.3006|-0.2206|0.020989746|-929.193831|2.8758|23.0|7.6383|7.6383
