molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|TPSA_x|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
14aa_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|3.4143268310000003|-0.005050361|-0.026892547|2|0.046678487|0.031136154|0.758549568|-0.029037128|-0.044957534|2|2|0.012103325|-0.074579388|-0.13397874|2|0.725358161|0.75434493|-0.070471939|1|0.924108042|-0.052155763|-0.076107469|0.204831806|-35.51947393|51.68445972|-35.2984572|83.27171526|0.796659447|-1.6743643259999998|61.21989213|-21.51484958|47.78906871|0.4930525229999999|2941.302235|-1140.287028|2263.821505|-14.65218978|8.000512184|15.78173785|0.972590939|6651.23042|-776.5660584|0.013786041|-404.0660854|1431.335599|9.388663605|0.0|1.0|1.0|1.0|3.63|3.68|26.0|-8.16|4.4|4.63|105.02|3.45|130.22|1.0|5.0|32.0|4.0|-5.92|439.54|0.0|0.0|4.1|-5.55|5.9e-07|4.31|0.0|6.9799999999999995e-09|-0.0708299999999999|-1708.5422620000002|1231.11|345.03|0.4157|588.45|-1708.276011|0.4157|-0.21573|-1708.338059|8.3532|4.0|8451.0|8451.0
28_a20|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.837209467|-0.006492092|-0.114439513|3|0.0396875|0.091462964|1.650185059|0.0313932529999999|-0.039965901|1|1|0.002695258|-0.016955137|-0.028782305|3|0.715067047|0.755701837|-0.06654421|1|0.7817507370000001|-0.086299346|-0.091179288|0.3962228229999999|-57.59898971|145.66665480000003|-40.6172876|88.39175809|0.773641727|-1.823585765|71.98460956|-23.40616218|67.39863895|0.468838001|2865.917291|-1217.120433|2449.815677|-15.62203369|7.587188177000001|14.28413212|0.8826648009999999|6348.941881000001|-812.3457521|0.016673728|-365.2747728|1573.2352460000002|11.12858789|0.0|1.0|1.0|1.0|3.45|2.86|27.0|-8.8|3.93|4.01|99.58|1.73|122.8|1.0|5.0|32.0|5.0|-6.96|420.47|0.0|1.0|3.04|-4.43|3.77e-05|2.68|0.0|1.57e-09|-0.06242|-1368.32781|1198.32|346.35|0.2354|531.85|-1368.085242|0.0153|-0.21814|-1368.146882|4.7428|255.0|6.5935|6.5935
16h_a32|0.0|1|1|1|3.340888605|0.0|0|7.765993078999999|0|0.0|-0.015656019|-0.098975084|0|0.039958333|-0.069213021|2.075726759|0.061727488|-0.022634676|3|3|-0.002310082|-0.123297852|-0.219947482|0|0.804503712|0.832040698|-0.03617945|1|0.7991915079999999|-0.081151869|-0.121464999|0.44308098|-51.56009529|127.5843068|-49.03221545|35.90298920000001|0.7359051059999999|-1.821974989|90.15529448|-24.62973479|64.87717961|0.459750275|2709.44587|-1157.597535|3282.554439|-15.6485794|6.710057805|12.42028916|0.850995852|6151.056721|-735.4832318|0.020432929|-299.7661014|1573.02555|12.98212548|1.0|1.0|1.0|1.0|3.61|3.45|19.0|-7.0|5.86|4.6|149.27|1.12|111.95|1.0|7.0|28.0|5.0|-6.22|413.52|1.0|1.0|3.74|-4.75|3.28e-07|3.66|0.0|9.89e-08|-0.05028|-1955.970762|1130.4|342.67|0.2914|556.05|-1955.772465|0.2914|-0.2|-1955.832545|4.2275|9.0|8.0655|8.0655
37_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|2|0.0|-0.005351023|-0.018808538|1|0.036746032|-0.018268775|0.0|-0.034593342|-0.011713125|0|0|0.003512954|-0.1483628609999999|-0.224171123|0|0.7100921609999999|0.725028151|-0.020149364|0|0.831783747|-0.068500679|-0.074857954|0.385121249|-50.09028298|123.0060763|-40.02719655|60.1335413|0.7648766029999999|-1.946306811|65.15554136|-20.92960342|56.74339533|0.488368082|3055.795406|-1423.213033|1571.7484060000002|-15.30451633|9.460456975|18.49074823|0.954530133|7035.839448000001|-1040.70711|0.0142451319999999|-387.3755475|1860.709332|10.41657856|0.0|0.0|1.0|1.0|4.31|0.0|18.0|-8.82|3.68|3.3|76.5|3.33|151.14|1.0|7.0|36.0|3.0|-6.14|480.6|0.0|0.0|2.93|-5.47|2.08e-06|4.36|0.0|1.51e-09|-0.04925|-1532.974371|1395.35|385.91|499.0|673.45|-1532.553949|499.0|-0.18119|-1532.622404|3.0375|35.0|7.4559|7.4559
4b_a46|0.0|0|0|0|0.0|0.206072846|1|7.825245291|1|2.189591837|-0.00113356|-0.022119857|2|0.047736111|-0.082722572|0.0|-0.135121207|-0.111103941|1|1|0.011806162|-0.079238184|-0.123416853|2|0.6901151990000001|0.7306307590000001|-0.153841155|0|0.935245062|-0.0524080009999999|-0.070236212|0.27128814|-28.58477842|35.31914031|-20.89467173|56.7922535|0.8104680259999999|-1.123779397|42.65239101|-12.50898928|32.7126858|0.428987199|2105.172229|-612.9404746|1750.333702|-6.822749952000001|5.76401157|10.09436488|0.751274223|4681.895329999999|-334.31474760000003|0.007963679|-338.6757579|756.2796491|4.343611349|1.0|0.0|1.0|1.0|3.9|3.03|17.0|-7.2|4.69|4.77|43.6|2.58|101.7|1.0|2.0|25.0|3.0|-5.67|332.44|0.0|1.0|3.76|-4.63|4.49e-05|3.74|0.0|6.38e-08|-0.02729|-1033.535029|1020.9|272.4|0.1784|508.79|-1033.3243619999998|0.1784|-0.21811|-1033.378455|3.7571|548.0|6.2612|6.2612
6d_a40|0.0|0|0|0|0.0|0.0|1|8.421342866|1|1.695192271|-0.015362927|-0.091548968|0|0.039160494|-0.104206961|0.683786612|0.086704068|-0.205140551|2|2|-0.00448098|-0.025143559|-0.0603134|0|0.6224555620000001|0.8361555479999999|-0.289988439|1|0.663670372|-0.115007564|-0.119563634|0.372705643|-73.59650182|215.22657540000003|-48.96216855|38.04267542|0.86005241|-2.15214542|85.47607798|-32.02830281|84.70509846|0.428134701|3063.227702|-1377.2170210000002|3212.360755|-20.49579149|6.908972922999999|12.08146906|0.7486635420000001|7436.576348|-881.3190339|0.01400787|-460.8148719|1601.317552|8.964021265|1.0|1.0|0.0|1.0|3.98|2.84|14.0|-4.31|4.8|3.63|173.43|2.01|120.09|2.0|5.0|30.0|6.0|-6.36|460.52|1.0|1.0|3.43|-5.15|6.18e-08|3.87|0.0|4.9e-05|-0.09462|-2470.793925|1111.69|419.45|0.3518|511.88|-2470.62267|0.3518|-214.0|-2470.684323|10.9021|1.0|8.9208|8.9208
14f_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|3.366063739|-0.006791105|-0.027380305|2|0.04255787|0.056215377|0.745818086|-0.0555907109999999|-0.041351617|2|2|0.010508236|-0.110069159|-0.199540201|2|0.756252127|0.796412133|-0.06885759|1|0.894162392|-0.059927056|-0.084419703|0.2096108239999999|-40.51498423|71.55380685|-38.58595734|96.60179161|0.665778294|-1.603974359|74.08536976|-21.26277654|58.85981824|0.478733036|3014.916135|-1084.401604|2322.5224120000003|-14.37516058|8.124287407|15.58565565|0.918402793|6768.918745|-733.1331894|0.025162423|-224.1560124|1628.77284|17.01160115|0.0|1.0|1.0|1.0|3.57|3.61|26.0|-7.51|3.42|4.03|114.25|2.72|126.78|1.0|6.0|32.0|5.0|-6.47|441.51|0.0|0.0|3.46|-5.02|2.32e-06|3.55|0.0|3.11e-08|-0.07163|-1744.429532|1210.19|346.78|0.2462|572.35|-1744.182678|0.1699|-0.21743|-1744.2443850000002|9.1089|2.0|8.6459|8.6459
18_a31|0.0|1|0|0|3.281949877|0.0|0|7.401841579|0|0.0|-0.013634202|-0.138136629|0|0.0427124179999999|-0.051184519|0.0|-0.001973566|-0.096301845|2|2|-0.007811355|-0.065041042|-0.107017926|0|0.868704545|0.8595579409999999|-0.1647054359999999|0|0.72588713|-0.11789212|-0.129469649|0.258135789|-69.19879619|160.8952371|-44.60622732|0.0|0.7774768320000001|-1.81257508|85.81723707|-23.64270989|77.69074057|0.4492048839999999|2241.561812|-1063.9219449999998|1935.374782|-13.87749294|7.076684189|12.84812443|0.8155571290000001|4856.251645|-624.4871824|0.01673486|-325.73954460000004|1368.42913|9.822812434|1.0|1.0|1.0|1.0|3.41|2.85|16.0|-6.54|4.9|3.48|119.14|0.75|99.32|1.0|7.0|25.0|4.0|-6.72|356.44|0.0|1.0|2.89|-3.62|2.42e-05|2.47|0.0|2.9e-07|-0.03702|-1465.4803960000002|1041.21|317.05|444.0|541.33|-1465.300904|0.2457|-0.19914|-1465.359325|4.6746|0.13|6.8861|6.8861
8a_a31|0.0|1|0|0|3.28085223|0.0|0|7.765993078999999|1|0.0|-0.015034136|-0.158899731|0|0.043817204|-0.1480271209999999|0.0|-0.135144546|-0.01861065|2|2|-0.009293513|-0.054025775|-0.094359203|0|0.938325481|0.837862749|-0.030149254|0|0.594139864|-0.122293189|-0.136459435|0.272259026|-60.46233433|200.6591816|-33.35560699|465.4559302|0.666437359|-1.501053781|82.32407724|-20.61467025|79.02944672|0.4512945479999999|2128.209198|-742.1281291|1443.955093|-10.19199103|5.83708559|10.63792161|0.822471411|4538.505909|-366.9116769|0.030052065|-164.57484340000002|1113.575221|14.85788369|0.0|0.0|1.0|1.0|3.34|2.05|16.0|-5.33|4.16|2.54|114.29|0.36|83.83|2.0|3.0|22.0|5.0|-7.11|314.36|0.0|1.0|2.13|-3.11|0.000269|1.56|0.0|4.62e-06|-0.02993|-1347.507102|872.11|325.45|0.2604|396.15|-1347.3959220000002|0.2604|-0.18869|-1347.446223|5.3042|0.79|6.1024|6.1024
21_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|2.026698554|-0.003068098|-0.014982235|1|0.042924837|0.019346682|0.0|-0.2897937889999999|-0.104638158|1|1|0.012094249|-0.063064908|-0.099702401|1|0.6952936|0.777866961|-0.174578783|0|0.932146735|-0.0571545999999999|-0.076470465|0.239652988|-28.99048719|34.4171635|-19.67444009|66.03320922|0.7231676229999999|-1.147056976|47.69702403|-14.54552243|39.22285963|0.401240904|2045.488184|-581.8208971|1584.866567|-7.377915035|5.961506745|9.956436217|0.670120767|4277.396118|-295.1166014|0.017563978|-226.3943104|804.5450027|8.908964226|1.0|1.0|1.0|1.0|3.37|2.92|17.0|-5.94|3.7|3.85|39.94|2.32|91.59|2.0|3.0|23.0|3.0|-5.76|303.36|0.0|1.0|3.23|-4.19|0.000133|3.36|0.0|1.16e-06|-0.02956|-973.5481197|916.76|308.08|0.2016|446.0|-973.400097|0.1457|-0.19588|-973.449892|2.9409|121.0|6.9172|6.9172
