molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|TPSA_x|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
5_a18 (BIBF0775)|0.0|0|0|0|0.0|0.0|0|7.03438793|2|0.0|-0.005220163|-0.015946718|1|0.035478927|-0.0366107389999999|0.0|0.0002403959999999|-0.022817602|0|0|0.0036739159999999|-0.144352593|-0.216531385|0|0.7140745620000001|0.7395978390000001|-0.040022105|0|0.8432358679999999|-0.068989967|-0.078246932|0.420002762|-52.09190866|118.3671077|-44.61038661|50.25564119|0.8159410579999999|-2.112667176|67.25977848|-22.46761997|58.5107823|0.483962172|3115.979466|-1595.201018|1645.395714|-16.96451322|9.798677372|18.98829281|0.937842434|7221.114573000001|-1204.480438|0.010831199|-477.1120625|1955.044427|8.178259299999999|0.0|0.0|1.0|1.0|4.42|0.0|18.0|-9.21|4.09|3.69|76.5|3.52|155.95|1.0|8.0|37.0|3.0|-5.96|494.63|0.0|0.0|3.2|-5.72|8.590000000000001e-07|4.73|0.0|6.18e-10|-0.04938|-1572.290174|1446.02|378.13|0.4825|691.68|-1571.843719|0.4825|-0.18092|-1571.914419|2.8009|34.0|7.4685|7.4685
12c_a31|0.0|1|0|0|3.387641566|0.0|0|7.765993078999999|1|0.0|-0.013026643|-0.055520387|0|0.040982906|-0.030192572|0.0|-0.094991098|-0.056866055|2|2|-0.000813398|-0.138799714|-0.223856622|0|0.8083148840000001|0.842823186|-0.098452311|0|0.665463503|-0.104643824|-0.129736755|0.343619017|-66.41224264|212.313715|-52.25551342|553.8695417|0.6817087|-1.816314565|97.28775086|-23.05449459|85.79638585|0.448512808|2592.4503010000003|-1152.7247289999998|1894.297124|-14.63154376|8.091269314|14.67172662|0.813278739|5676.394271|-731.5771879|0.023556702|-230.6429907|1690.934456|14.95027019|1.0|1.0|1.0|1.0|3.69|3.1|16.0|-7.24|5.64|3.7|117.37|1.08|108.16|1.0|8.0|28.0|5.0|-6.53|398.48|0.0|1.0|3.32|-4.16|5.85e-06|3.1|0.0|5.79e-08|-0.0338399999999999|-1618.112841|1138.89|323.48|0.2625|578.69|-1617.888981|0.2625|-0.19288|-1617.951882|2.2908|0.38|6.4202|6.4202
16g_a32|0.0|1|1|1|3.363965155|0.0|0|7.765993078999999|0|0.0|-0.013775701|-0.0429252429999999|0|0.03898374|-0.049658216|2.084553994|-0.029193403|0.004735761|3|3|-0.00030659|-0.117577419|-0.202656848|0|0.79965447|0.83902731|0.008494733|1|0.8206422409999999|-0.078387439|-0.105500574|0.542303725|-57.77542509|132.1955522|-57.31234426|43.37912747|0.6863323440000001|-1.79350976|94.54074206|-24.94161377|75.43482709|0.3972359179999999|2833.521937|-1321.90553|3497.469035|-18.38320476|9.3963701|15.58880229|0.65902387|6372.261243999999|-974.3098525|0.02276861|-274.67233460000006|1926.042887|16.78159325|1.0|1.0|1.0|1.0|3.87|3.42|19.0|-8.16|6.81|5.38|149.27|1.57|121.56|1.0|10.0|30.0|5.0|-5.69|441.57|1.0|1.0|4.37|-5.32|3.08e-08|4.65|0.0|6.890000000000001e-09|-0.05|-2034.593036|1245.25|342.86|0.2879|639.49|-2034.342619|0.2879|-0.19968|-2034.408165|4.3204|11.0|7.9586|7.9586
12ap_a36|0.0|1|0|0|3.4417292610000003|0.0|0|7.412764017000001|2|0.0|-0.007719624|-0.010732275|2|0.042739018|0.066185994|0.0|-0.105824575|-0.042675894|1|1|0.001194592|-0.098598933|-0.175397741|1|0.8707354620000001|0.832758813|-0.074596774|0|0.830587483|-0.082622504|-0.106173763|0.27547717|-54.21070432|111.1558165|-45.7078307|0.0|0.737851886|-1.91112774|83.16347311|-24.58703954|68.48007054|0.464588|2843.18721|-1253.939017|2328.307856|-16.13217554|8.766216204|16.37284224|0.86772056|6003.481614|-822.7409526|0.020575639|-312.1212186|1699.445432|13.50019441|1.0|0.0|1.0|0.0|4.78|0.0|17.0|-6.66|2.75|1.76|92.99|1.38|128.47|1.0|5.0|31.0|5.0|-7.08|406.44|0.0|0.0|1.66|-3.95|0.000101|2.4|0.0|2.21e-07|-0.06084|-1325.159466|1160.79|319.54|0.8819|553.28|-1324.95298|0.3982|-0.21788|-1325.0127220000002|9.6512|32.0|7.4949|7.4949
12r_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.007553813|-0.093024002|2|0.043383838|-0.093079817|0.0|-0.0682882559999999|-0.0646674999999999|1|1|-0.001131023|-0.0546637159999999|-0.145315868|1|0.609043558|0.83236194|-0.105767484|0|0.72072745|-0.090229387|-0.109990462|0.451652492|-58.32042638|180.5098625|-45.9515743|0.0|0.790065337|-1.979828309|82.06195604|-26.11584816|70.6903535|0.464481911|2976.944611|-1279.67656|2433.580273|-16.88017015|7.467190577999999|13.94386247|0.867350555|6735.090739|-827.1283373|0.016970201|-374.9717191|1619.709789|10.96881384|1.0|1.0|1.0|0.0|4.66|0.0|17.0|-7.16|4.67|3.74|81.65|3.58|127.19|1.0|5.0|31.0|6.0|-6.06|434.46|0.0|0.0|3.21|-5.17|3.24e-06|4.07|0.0|6.900000000000002e-08|-0.05244|-1774.2026670000002|1141.54|353.12|0.1908|516.03|-1774.009422|0.1522|-0.20138|-1774.070699|6.5511|29.0|7.5317|7.5317
8m_a46|0.0|0|0|0|0.0|0.2148468989999999|1|7.727094485|1|2.126524943|-0.00517896|-0.085284636|1|0.047345679|-0.134230003|0.0|-0.120972269|-0.064176245|1|1|0.005865049|0.010184776|0.015631887|1|0.783187801|0.7699708959999999|-0.090247845|0|0.876210355|-0.0911455|-0.085204935|0.280198209|-48.32436573|65.63194084|-23.9511632|0.0|0.8854896870000001|-1.448483903|48.72163155|-17.06601365|52.0671834|0.425802465|2045.330306|-767.9706141|1913.813025|-9.04821721|5.684332261000001|9.899611044|0.7415609409999999|4439.758321|-407.1697745|0.006689855|-408.7649869|867.2835213999999|3.546889545|0.0|0.0|1.0|1.0|3.24|2.92|17.0|-6.46|4.16|4.21|50.94|2.62|96.16|1.0|2.0|24.0|3.0|-5.61|319.4|0.0|1.0|3.53|-4.56|3.3e-05|3.72|0.0|3.5e-07|-0.01818|-1014.091966|970.82|289.14|0.3905|489.57|-1013.91158|0.1441|-0.19715|-1013.962913|3.1675|229.0|6.6402|6.6402
18_a10|0.0|0|0|0|0.0|0.0|1|7.78113851|2|2.142254323|-0.00309846|0.0307177839999999|2|0.035770975|-0.092424959|2.026949641|-0.052165302|-0.0280813039999999|1|1|0.010573165|-0.091730492|-0.143149563|2|0.7155022459999999|0.785539083|-0.0507442929999999|1|0.885552955|-0.0575419659999999|-0.076052353|0.656664457|-36.52271591|72.64119073|-30.63863373|123.3621791|0.641615544|-1.368942347|61.38857307|-15.79795381|48.64284759|0.4670293179999999|2788.499133|-868.8874593|2137.914113|-10.02718922|7.204851347999999|13.51828833|0.876275815|6213.631543|-551.4954071000001|0.020666062|-179.7708584|1354.218219|13.11704755|0.0|1.0|1.0|1.0|4.07|3.41|21.0|-7.88|4.65|4.66|62.06|2.14|119.81|1.0|5.0|31.0|5.0|-6.34|412.48|0.0|1.0|3.67|-4.77|3.34e-05|3.49|0.0|1.32e-08|-0.0495699999999999|-1336.404041|1181.5|326.47|0.2962|504.61|-1336.126835|0.1637|-0.20692|-1336.185978|5.9029|0.13|6.8861|6.8861
14t_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|3.410065804|-0.005383494|-0.024472753|2|0.045277778|0.073534004|0.758345646|-0.041339801|-0.093434862|2|2|0.01180744|-0.074441567|-0.136106024|2|0.725800261|0.7629258809999999|-0.152771194|1|0.920956836|-0.0553915009999999|-0.079253435|0.361071229|-36.09926385|51.51331913|-33.66111722|42.20767549|0.799945841|-1.6643221380000002|61.0040156|-21.69314909|47.46057034|0.465981891|2878.4071670000003|-1084.657455|2286.063655|-14.13766923|7.55064865|14.13931199|0.872595673|6523.656379|-706.8834616|0.014352462|-390.9561553|1355.9136119999998|9.353660614|0.0|1.0|1.0|1.0|3.52|3.49|26.0|-7.78|3.88|4.33|105.02|3.24|125.25|1.0|5.0|31.0|4.0|-6.1|425.51|0.0|0.0|3.78|-5.25|1.43e-06|3.94|0.0|1.65e-08|-0.06666|-1669.21916|1184.43|386.72|0.2061|534.86|-1668.980578|0.0003|-0.22291|-1669.040656|8.3062|4.0|8.3979|8.3979
14_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1.947126795|-0.001935612|-0.04986736|1|0.0409444439999999|-0.0135414919999999|0.0|-0.08389836|0.117232935|1|1|0.008943549|-0.016862096|-0.039321879|1|0.507307223|0.77505994|0.204594017|0|0.8510382459999999|-0.065776751|-0.071074269|0.218112446|-29.91067393|67.73740575|-14.69670456|85.72299913|0.768457211|-0.995039765|39.49511556|-13.71135194|35.84371234|0.40126838|1911.448021|-452.4746139|1378.961008|-6.23496557|5.304461808|8.859498364|0.6701974079999999|3944.638539|-205.7538638|0.015779688|-244.1511936|588.8091192|7.175500282000001|1.0|0.0|1.0|0.0|3.14|2.39|17.0|-5.71|3.59|4.09|30.71|2.82|80.09|2.0|2.0|21.0|3.0|-5.8|277.3|0.0|1.0|3.2|-3.97|0.000396|3.09|0.0|1.95e-06|-0.03639|-918.9304744|794.51|293.02|0.1864|353.16|-918.851356|0.1067|-0.2102|-918.896242|3.3312|1.32|5.8794|5.8794
3a_a12|0.0|0|0|0|0.0|0.0|0|0.0|1|0.0|-0.007671441|-0.042445446|2|0.032544803|-0.1231529169999999|0.0|-0.062973953|-0.0161799839999999|0|0|-0.001011111|-0.072889493|-0.1213636769999999|1|0.943290857|0.7038021990000001|-0.032466697|0|0.871985494|-0.07121814|-0.090803706|0.241900756|-34.84701355|62.63745781|-21.73969523|0.0|0.781050096|-1.362055589|52.21461165|-17.08854808|39.46272532|0.462077145|2045.857684|-666.453375|1050.730179|-8.361421244|5.924949067000001|11.01449587|0.859002624|4230.717811|-326.0954285|0.015909241|-275.0354486|853.2786545|7.784386645|1.0|1.0|0.0|1.0|3.84|2.74|18.0|-7.5|3.43|2.49|37.28|3.09|97.52|1.0|3.0|23.0|3.0|-5.88|298.34|0.0|1.0|2.98|-4.06|0.00025|3.15|0.0|3.13e-08|-0.06829|-951.3480023|875.71|332.36|0.3201|383.08|-951.217594|128.0|-0.22157|-951.264072|1.9332|194.0|6.7122|6.7122
22_a20|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.915285809|-0.00147607|0.023539095|2|0.0388043479999999|0.09301076|2.041494094|-0.066832578|-0.038668966|1|1|0.008780074|-0.036258691|-0.060582944|2|0.616352201|0.7478675859999999|-0.067650395|1|0.946515026|-0.059893667|-0.067797027|0.425968568|-39.00017609|34.8271111|-28.7463017|54.71081293|0.77063827|-1.3559405430000002|52.90592556|-17.65860151|47.00134116|0.477376285|2738.108259|-882.9300756000001|2396.806062|-11.49852068|7.408914181|14.17638345|0.913422548|5924.626340999999|-574.9260339|0.01345209|-352.4559681|1145.712729|8.759421782|1.0|1.0|1.0|1.0|3.36|3.41|27.0|-9.69|5.33|5.39|67.39|2.61|121.62|1.0|4.0|31.0|4.0|-5.58|401.46|0.0|1.0|4.24|-5.53|2.48e-06|4.47|0.0|2.04e-10|-0.0568|-1275.816275|1181.95|312.05|0.2636|563.43|-1275.598059|0.0015|-0.21856|-1275.657902|6141.0|231.0|6.6364|6.6364
8d_a8|0.0|1|0|0|3.190160226|0.0|1|7.05012252|0|1.41693287|-0.0111144189999999|-0.155313194|1|0.042323232|0.071729931|0.0|-0.077977198|-0.117111249|1|1|-0.001038264|0.016471091|0.025642021|1|0.76211539|0.757805416|-0.179357354|0|0.6932924890000001|-0.1072746469999999|-0.103150936|0.377028311|-69.95878302|200.0182229|-43.86958028|92.49576602|0.675359878|-2.063018716|86.29065071|-24.91463687|88.24385833|0.483207744|2863.968296|-1345.390391|2093.380666|-16.2479927|7.507839835|14.52777156|0.935013517|6596.888351|-877.3916055999999|0.029166961|-228.7206541|1992.108851|19.02113117|0.0|1.0|1.0|1.0|3.61|2.92|23.0|-7.62|3.93|3.32|112.23|1.92|121.1|1.0|6.0|32.0|5.0|-6.87|430.46|0.0|0.0|3.0|-4.47|1.24e-05|2.89|0.0|2.38e-08|-0.0600299999999999|-1447.559429|1185.65|376.13|0.3|572.21|-1447.2928029999998|0.1879|-0.19757|-1447.354662|7.5674|18.61|4.7303|4.7303
4e_a49|0.0|0|0|0|0.0|0.0|1|7.535296702|1|2.085628989|-0.006602016|-0.074495823|2|0.036555556|-0.080255074|1.713107022|-0.053787795|0.018857363|1|1|0.000660956|-0.037142108|-0.060391347|2|0.7541604690000001|0.803344301|0.032396301|1|0.757062331|-0.09422276|-0.087866673|0.433385455|-57.79309816|149.0098632|-33.05708028|60.11195021|0.650328475|-1.493733437|68.38360061|-17.96482878|68.30753733|0.471635821|2675.626006|-916.2062675|1647.641653|-11.01902676|7.934910277|15.01788083|0.892633982|5950.361470000001|-561.9703647000001|0.023622273|-184.4129453|1408.836153|14.48911428|0.0|1.0|1.0|1.0|3.35|2.89|21.0|-7.36|3.4|2.83|92.93|1.25|114.08|1.0|6.0|30.0|5.0|-7.52|399.45|0.0|1.0|2.42|-3.52|0.000528|1.71|0.0|4.35e-08|-0.06461|-1313.158118|1128.64|327.34|0.2273|504.63|-1312.924353|0.0789|-0.2231199999999999|-1312.98289|4.8707|34.0|7.4685|7.4685
17g_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|2|4.377239517|-0.002050512|0.052557574|2|0.029160757|-0.05611228|2.236579664|-0.022378911|-0.1155555559999999|2|2|0.01245647|-0.200725906|-0.323333765|1|0.754575205|0.738521694|-0.2126789369999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|-32.14758511|52.94662161|-31.48270383|85.51402581|0.749948388|-1.555134042|56.28102287|-17.29736764|41.85775712|0.467997084|2821.3922|-1037.842058|1975.996014|-11.54365807|8.130878433|15.28352231|0.879688945|6102.424958|-692.6194843|0.013645282|-333.6136209|1383.884645|9.106383854|0.0|1.0|1.0|1.0|4.04|3.66|20.0|-6.96|3.71|4.37|51.77|2.71|133.03|1.0|6.0|32.0|4.0|-6.28|424.54|0.0|0.0|3.63|-4.86|3.4899999999999995e-05|3.68|0.0|1.1e-07|-0.0323|-1335.946919|1259.05|306.45|0.1795|559.45|-1335.631756|0.1795|-0.19929|-1335.693266|9.1706|246.0|6.6091|6.6091
14h_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|3.309480899|-0.005921293|0.006191846|2|0.04255787|0.0316908439999999|0.7290938920000001|-0.024318144|-0.034313725|2|2|0.009266617|-0.0686282459999999|-0.131709531|2|0.708395022|0.79263722|-0.05745554|1|0.923430574|-0.063825076|-0.081058742|0.223157991|-43.02851162|51.620282|-36.84086528|86.83095818|0.753100584|-1.621174834|67.44368679|-22.76950546|57.84834575|0.48032488|3010.418229|-1092.936262|2371.16134|-15.35036053|7.833334036|15.0735214|0.924279155|6722.809649|-736.8173055999999|0.018981866|-341.2621515|1451.248725|12.79687369|0.0|1.0|1.0|1.0|3.47|3.2|26.0|-7.47|3.4|3.89|128.81|2.39|125.0|1.0|5.0|32.0|5.0|-6.62|436.49|0.0|0.0|3.23|-4.9|2.09e-06|3.3|0.0|3.39e-08|-0.08532|-1722.148272|1190.62|337.93|0.3424|569.53|-1721.9314420000003|0.2727|-0.2374099999999999|-1721.99264|13.4823|5.0|8.3468|8.3468
13b_a6|0.0|1|0|0|3.423777636|0.0|0|7.412764017000001|1|0.0|-0.011206134|-0.0265090529999999|1|0.042739018|0.060593678|0.0|-0.104663349|-0.064811009|1|1|-0.00194781|-0.10896749|-0.180339002|1|0.850080948|0.7788169070000001|-0.11338525|0|0.7757172059999999|-0.093125205|-0.112915801|0.202093555|-61.06841733|147.0772097|-48.5571926|554.4007331|0.757233678|-2.032484418|87.39962829999999|-26.65671602|82.07670290000002|0.408780634|2821.72831|-1332.835801|2587.000662|-17.48058934|9.087172635|15.37022155|0.69141956|6000.952027|-874.0294667999999|0.0203627189999999|-337.3706117|1760.1380379999998|13.35319491|1.0|1.0|1.0|1.0|3.56|2.85|23.0|-9.01|4.98|4.32|95.85|1.29|116.79|1.0|5.0|31.0|5.0|-6.1|409.44|0.0|1.0|3.45|-4.99|3.11e-06|3.8|0.0|9.77e-10|-0.0525799999999999|-1350.061187|1167.21|341.35|0.7846|574.07|-1349.837661|0.2461|-0.20156|-1349.898848|13.5746|174.0|6.7595|6.7595
14_a1|0.0|1|0|0|3.3674017380000003|0.0|0|7.423568444|1|0.0|-0.015636898|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.029658865|-0.0492229479999999|1|1|-0.008385698|-0.020716495|-0.033765606|1|0.838928085|0.7462411859999999|-0.083341531|0|0.593170871|-0.12658238|-0.122581374|0.206941175|-74.96297518|240.9270705|-42.99041175|104.2594419|0.753357398|-2.083883365|87.02320758|-27.42423067|94.53410059|0.47517581|2678.985809|-1234.09038|1876.042189|-16.24082222|7.46120838|14.21658628|0.905399978|5748.712211|-730.8369997000001|0.0243658979999999|-300.0800645|1638.120743|14.42965582|1.0|1.0|1.0|1.0|3.25|2.35|23.0|-7.69|4.04|3.63|103.12|1.54|106.85|1.0|4.0|29.0|5.0|-6.73|384.39|0.0|1.0|2.85|-4.25|3.03e-05|2.7|0.0|2.03e-08|-0.05962|-1292.55322|1049.56|375.01|0.4442|464.08|-1292.359534|0.3497|-0.19322|-1292.415211|5.3099|94.0|7.0269|7.0269
12t_a36|0.0|1|0|0|3.500121488|0.0|0|7.412764017000001|2|0.0|-0.00673635|-0.034194893|2|0.041767677|0.035510516|0.0|-0.030990165|-0.0288761339999999|1|1|0.0045625|-0.101854847|-0.169994208|1|0.902377067|0.829598864|-0.050788309|0|0.8337556420000001|-0.0735262|-0.100615514|0.318666358|-48.97252784|110.727965|-44.63604995|0.417511887|0.78316808|-2.012310282|77.32343502|-23.93411213|60.71345614|0.48189543|2771.211293|-1340.3102789999998|2320.375227|-15.94144641|7.960344391|15.36435856|0.930112292|5936.009091|-892.7209991000001|0.01547607|-377.2113003|1711.395437|10.30792105|1.0|0.0|1.0|0.0|4.94|0.0|17.0|-7.36|3.62|2.45|69.2|2.45|133.52|1.0|6.0|31.0|4.0|-6.33|409.49|0.0|0.0|2.4|-4.57|2.48e-05|3.47|0.0|4.38e-08|-0.05302|-1311.552739|1208.04|337.89|0.4297|562.72|-1311.287803|0.0155|-0.2039|-1311.349439|7.9104|8.0|8.0969|8.0969
10_a32|0.0|1|1|1|3.294952523|0.0|0|7.765993078999999|0|0.0|-0.016404762|-0.087497559|0|0.03995614|-0.020186906|2.067772926|-0.028431775|-0.047619048|3|3|-0.00369116|-0.1260956869999999|-0.229450999|0|0.809370315|0.8607827790000001|-0.079818594|1|0.7622839570000001|-0.088310158|-0.1223816869999999|0.266552538|-54.55170955|146.8439966|-46.69945835|52.24660367|0.6946347429999999|-1.7133436169999998|91.10767604|-24.0541214|70.46302679|0.449853016|2649.882742|-1058.381342|2980.525719|-14.85891856|7.079344111|12.86809583|0.81769605|5842.926058|-653.7924168|0.025106509|-240.4628923|1523.651605|15.50900878|1.0|1.0|1.0|1.0|3.56|3.12|19.0|-6.99|5.64|4.21|149.27|0.88|107.14|1.0|7.0|27.0|5.0|-6.44|399.49|1.0|1.0|3.42|-4.41|9.17e-07|3.23|0.0|1.0300000000000001e-07|-0.05434|-1916.631761|1086.09|340.24|0.2983|533.89|-1916.460049|0.2983|-0.2052199999999999|-1916.519894|3.2297|7.0|8.1427|8.1427
5b_a40|0.0|0|0|0|0.0|0.0|1|8.149890544|0|1.616656116|-0.0049439079999999|0.064329005|0|0.044946237|-0.096549823|0.7222376540000001|0.179058252|0.020344828|2|2|0.006372485|0.007986879|0.013573521|0|0.537115914|0.817071232|0.029485257|1|0.881264402|-0.077031845|-0.091267779|0.313503463|-38.64461938|59.56617021|-22.96968039|49.25022097|0.829018186|-1.095213344|52.08187888|-18.31454812|48.2348504|0.477304896|2126.9310920000003|-549.4364437|764.9528181|-9.187872156|6.521443259|12.47657231|0.913161214|4813.179854|-275.6361647|0.012549086|-330.1175669|662.7555978999999|6.2955085660000005|1.0|1.0|0.0|0.0|3.13|2.82|14.0|-5.25|4.93|4.39|75.5|2.89|84.17|2.0|3.0|21.0|3.0|-5.42|338.21|0.0|1.0|3.83|-4.84|3.69e-06|4.14|0.0|5.65e-06|-0.07069|-2096.767375|847.01|311.84|0.3005|411.1|-2096.707754|0.3005|-0.23068|-2096.757832|9.3069|64.0|7.1938|7.1938
15c_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.596256692|-0.005236206|-0.018518519|2|0.038137255|-0.026986769|1.568396937|-0.023927419|0.006275578|1|1|0.004362505|-0.0917078119999999|-0.160566657|2|0.667111824|0.773044788|0.010828071|1|0.8665852140000001|-0.067475429|-0.080088202|0.615901609|-48.58045253|96.05497587|-41.51455167|78.22334636|0.661775114|-1.60176404|75.52188549|-21.75898206|66.26407672|0.462157867|3079.491787|-1153.226049|2092.620825|-15.66586856|8.626398368|16.03890406|0.859281634|6882.442370999999|-830.2910335|0.0248073129999999|-232.9472639|1742.625289|17.86058304|0.0|1.0|1.0|1.0|3.49|2.85|27.0|-9.28|3.9|4.18|109.38|1.08|128.77|1.0|6.0|34.0|6.0|-6.96|445.48|0.0|0.0|2.98|-4.62|1.39e-05|2.9|0.0|5.269999999999997e-10|-0.07399|-1460.571156|1241.07|337.46|0.5082|575.8|-1460.324493|0.0694|-0.22807|-1460.387718|9.0393|737.0|6.1325|6.1325
11d_a31|0.0|1|0|0|3.39688681|0.0|0|7.765993078999999|1|0.0|-0.017317263|-0.116385886|0|0.0388738739999999|0.016799834|0.0|-0.092360393|-0.078235092|2|2|-0.006496772|-0.096447723|-0.153894316|0|0.819298311|0.822077662|-0.13169885|0|0.585212816|-0.134031221|-0.134048091|0.197166451|-82.05480081|253.9354598|-50.24081482|91.25756269|0.6817705409999999|-1.87667327|98.8237718|-24.97634343|103.1255906|0.4816588089999999|2532.447962|-1148.911798|2039.207676|-15.29068277|7.885647873|15.21323794|0.929231204|5420.356537|-703.3714074|0.027374162|-222.5622569|1685.188386|16.75864338|1.0|1.0|1.0|1.0|3.6|2.83|16.0|-6.23|5.43|4.03|125.57|1.26|102.13|1.0|7.0|27.0|6.0|-6.4|385.44|0.0|1.0|3.34|-4.2|3.33e-06|3.17|0.0|5.83e-07|-0.03404|-1598.671315|1077.69|326.2|0.2642|551.86|-1598.4848980000002|0.2642|-0.19226|-1598.546288|4.6622|0.03|7.5229|7.5229
17b_a25|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.785120622|-0.004368141|-0.002108117|2|0.042843137|-0.026412432|1.968416259|-0.100018134|0.016982601|1|1|0.005244553|-0.044156525|-0.073994564|2|0.653180996|0.780221059|0.029728702|1|0.882170399|-0.068207754|-0.079392561|0.410780725|-51.71860811|89.34443096|-45.64634114|87.61586206|0.724866184|-1.6672437880000002|73.52844745|-22.17876359|63.75929319|0.476276266|3100.8813760000003|-1264.189524|2514.295488|-16.81707305|9.700133933|18.52147096|0.909403632|6674.061446|-958.573164|0.0175785369999999|-341.0100868|1744.031591|13.32894629|1.0|1.0|1.0|1.0|3.56|3.25|27.0|-10.04|4.88|5.18|96.49|2.0|135.78|0.0|7.0|35.0|5.0|-6.53|458.51|0.0|1.0|3.78|-5.07|4.75e-06|3.61|0.0|9.08e-11|-0.05531|-1483.830524|1329.35|313.02|0.4635|654.18|-1483.563965|0.1741|-0.21939|-1483.630939|5.2142|101.0|6.9957|6.9957
10_a1|0.0|1|0|0|3.261363142|0.0|0|6.86171134|0|0.0|-0.014135827|-0.23385288|1|0.037578348|0.049971022|0.0|-0.020225596|0.010430299|1|1|-0.0106277489999999|-0.019835038|-0.042643966|1|0.674381582|0.7227844929999999|0.017498337|0|0.669963758|-0.116648443|-0.10949971|0.126889306|-65.97424138|186.6625065|-35.02707638|64.49041745|0.8340962559999999|-1.861495069|70.6564636|-25.67872721|74.31719486|0.459673515|2432.447088|-1052.827816|1768.2330920000002|-14.52342192|7.376231317999999|13.65143394|0.850732895|5192.858899|-595.4602985|0.015427326|-377.9175542|1262.237791|8.725415617000001|1.0|0.0|1.0|0.0|3.0|2.18|23.0|-8.02|4.86|5.06|78.87|2.78|99.61|1.0|4.0|27.0|5.0|-5.91|359.35|0.0|1.0|3.7|-4.73|1.04e-05|3.64|0.0|9.53e-09|-0.06802|-1223.125689|979.35|363.94|0.6754|464.77|-1222.969096|0.6754|-0.20378|-1223.022387|7807.0|1.5|5.8239|5.8239
3_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|2.147369615|-0.001141383|0.03287721|2|0.033760684|-0.07806942|2.180369373|-0.010537082|0.050638298|1|1|0.011276682|-0.048796855|-0.08121207|2|0.637819558|0.773786787|0.0904255319999999|1|0.919804716|-0.052578183|-0.06572153|0.462670692|-25.5405205|38.95587796|-15.5080075|40.30885999|0.7196876640000001|-0.985822953|39.38579676|-11.97190059|30.67413075|0.430553837|2159.04913|-478.8760237|1602.411021|-5.815502811|4.832514477|8.486341272999999|0.7560922609999999|4677.30755|-232.6201124|0.015358792|-213.4321476|665.3942366|7.460728516|1.0|0.0|1.0|1.0|2.99|2.86|21.0|-7.19|4.02|4.11|43.6|2.44|95.12|1.0|2.0|24.0|3.0|-5.99|312.37|0.0|1.0|3.31|-4.26|0.000198|3.12|0.0|6.49e-08|-0.04964|-990.6149055|905.23|305.09|0.1415|350.36|-990.467184|0.0871|-0.21969|-990.514888|3205.0|104.0|6983.0|6983.0
