molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12z_a36|0|0|3.435113772|0.0|2|1.297044126|-0.065211069|-0.007671785|5.351858133|2|0.041767677|0.037307819|-0.000143196|10.95429182|1|1|0.001194592|0.066366917|-0.098598933|-0.175397741|-0.433580807|1|0.8707354620000001|-0.0533649729999999|0.886776351|0.8212311840000001|0|0.834790405|-0.081592361|-0.102674964|0.492335362|0.023371488|-54.11489962|-68.09761735|15.50078625|0.165209595|-45.16471514|10.28066212|15.59091678|0.712682362|83.07227002|0.4577848329999999|553.6621150000001|2451.657399|8.016303367999999|6146.834385|-812.9648725|33.72393432|0.0225782039999999|-282.1167226|642.3830552000001|1.0|0.0|0.0|2.0|4.76|0.0|-6.66|2.75|1.76|92.99|1.38|1.0|128.47|0.0|1.0|5.0|-3.99|-7.08|406.44|0.0|0.0|0.0|0.000113|0.0458|8.97e-05|-0.05642|3.8969|2.98|318.16|539.36|0.4423|-0.2139199999999999|0.03845474|-1325.010808|5.0|8301.0|8301.0
17g_a50|1|1|0.0|0.0|2|1.320916184|-0.185924266|-0.002050512|5.82008293|2|0.029160757|-0.05611228|0.012079|10.94501702|2|2|0.01245647|-0.090386911|-0.200725906|-0.323333765|-0.213708251|1|0.754575205|-0.2126789369999999|0.7787714459999999|0.7276268779999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|-32.14758511|-47.17463902|9.710172008|0.079336825|-31.48270383|6.48022912|85.51402581|0.749948388|56.28102287|0.467997084|614.4183967|1975.996014|8.130878433|6102.424958|-692.6194843|23.06474408|0.013645282|-333.6136209|829.3813984|0.0|1.0|1.0|0.0|4.04|3.66|-6.96|3.71|4.37|51.77|2.71|2.0|133.03|0.0|1.0|6.0|-4.46|-6.28|424.54|0.0|1.0|0.0|1.39e-05|0.0059|4.6500000000000005e-05|-0.0323|4.0458|3.22|306.45|559.45|0.1795|-0.19929|0.02957267|-1335.693266|246.0|6.6091|6.6091
21_a47|1|1|0.0|0.0|0|1.408713027|0.072733799|-0.010650348|4.727387819|2|0.037801932|-0.034419528|-0.006808306|10.95058272|1|1|-0.004332497|-0.090969103|-0.1049885469999999|-0.277479519|-0.5406500129999999|2|0.612295986|0.0927058819999999|0.8856299320000001|0.591185263|1|0.70582155|-0.082614966|-0.095249919|0.3188717339999999|0.022739546|-46.63227351|-53.76411184|12.83540744|0.29417845|-30.34731959|7.244985517000001|47.95893876|0.6448452960000001|70.10126935|0.463113582|398.4031618|1402.202743|7.071346534|6103.311635|-485.55711339999993|29.64451905|0.028943339|-163.5167523|482.9384172|0.0|1.0|1.0|2.0|3.29|3.32|-7.7|2.94|4.93|84.73|2.97|1.0|104.49|0.0|1.0|6.0|-4.44|-6.58|394.38|0.0|0.0|1.0|4.84e-05|0.0191|7.8e-06|-0.06339|3917.0|4.43|316.53|441.93|0.2249|-0.2249699999999999|0.03299607|-1374.914223|5.0|8.3|8.3
17_a47|1|1|3.011740664|0.0|0|1.4168589319999998|-0.181485377|-0.003764469|4.59511985|3|0.031802469|-0.105849578|0.0042378929999999|10.9385382|1|1|0.004477366|-0.180898239|-0.0184347939999999|-0.031505291|-0.3004189439999999|3|0.8007970640000001|-0.010871607|0.814790949|0.7666613659999999|1|0.852282407|-0.07185129|-0.082994667|0.522140199|0.01291694|-43.82821253|-50.62550618|7.87914003|0.147717593|-30.88080199|4.806157636|0.0|0.7457517659999999|60.33408274|0.46147021|519.8795281|1573.836082|7.055517075|5854.9736840000005|-555.8544359|24.43867122|0.0159160889999999|-299.80980739999995|630.8611986000001|1.0|1.0|1.0|2.0|3.44|2.39|-10.1|5.12|5.44|79.38|2.26|2.0|119.83|0.0|0.0|4.0|-5.4|-5.83|392.46|0.0|0.0|1.0|6.11e-06|0.0024|3.12e-08|-0.04873|4.2784|3.07|289.79|477.67|0.4308|-0.22479|0.04130125|-1254.795084|5.0|8.3|8.3
8a_a31|0|0|3.28085223|0.0|1|0.610138387|-0.039027368|-0.015034136|5.733341277|0|0.043817204|-0.1480271209999999|-0.013230176|10.31170053|2|2|-0.009293513|-0.258538098|-0.054025775|-0.094359203|-0.520051508|0|0.938325481|-0.030149254|0.895174844|0.883113019|0|0.594139864|-0.122293189|-0.136459435|0.272259026|0.0375544779999999|-60.46233433|-67.46619355|18.56711239|0.405860136|-33.35560699|9.179668678|465.4559302|0.666437359|82.32407724|0.4512945479999999|293.7455749|1443.955093|5.83708559|4538.505909|-366.9116769|30.93264504|0.030052065|-164.57484340000002|324.7430642|0.0|1.0|1.0|2.0|3.34|2.05|-5.33|4.16|2.54|114.29|0.36|0.0|83.83|0.0|2.0|3.0|-3.57|-7.11|314.36|0.0|0.0|1.0|0.000773|243.0|0.00145|-0.02993|3.8097|1.53|325.45|396.15|0.2604|-0.18869|0.03432763|-1347.446223|0.79|6.1024|6.1024
12bg_a36|0|0|3.434779148|0.0|2|1.29692796|-0.040957653|-0.0076819|5.351858133|2|0.044197531|0.057879142|-0.001012333|10.95885259|1|1|-0.00097037|0.097928606|-0.101451485|-0.1716508239999999|-0.4459167329999999|1|0.884841888|-0.033696875|0.892249657|0.771220556|0|0.840610352|-0.075439837|-0.102664465|0.543472602|0.019606406|-51.74990566|-70.42534258|13.44952052|0.159389648|-48.31008346|9.22604612|14.85588272|0.747867728|83.78068847|0.46245521|576.6383913|2915.548359|7.549463377|6753.439903|-869.5815023|33.900544700000005|0.01946912|-340.0625449|661.6709012|1.0|0.0|0.0|2.0|4.75|0.0|-7.76|3.99|3.19|69.2|2.99|2.0|133.77|0.0|1.0|5.0|-5.08|-6.26|450.32|0.0|1.0|1.0|6.55e-06|0.00295|7.83e-06|-0.0542299999999999|3.8944|4.42|318.36|554.7|0.4409|-0.21166|0.03334656|-2151.975577|15.0|7.8239|7.8239
26_a47|1|1|0.0|0.0|0|1.304328272|0.11828578|-0.012090143|4.727387819|2|0.045681818|-0.110530752|-0.0098410169999999|10.94972213|1|1|-0.008325552|-0.24731748|-0.035472095|-0.079370393|-0.5899218279999999|2|0.6850994429999999|0.0120097289999999|0.910081385|0.651797437|1|0.7104381999999999|-0.098127284|-0.101679756|0.549740398|0.020884606|-57.01987795|-59.08415114|12.13564316|0.2895618|-34.3326642|7.0517889060000005|60.07342336|0.717639177|73.39007585|0.474969855|412.8219782|1341.904566|6.945070057000001|5994.406615|-549.3226272|31.36429668|0.024619511|-252.9318822|457.1122177|0.0|1.0|1.0|2.0|3.13|2.66|-7.22|2.84|4.68|98.72|2.59|1.0|104.8|0.0|1.0|4.0|-4.86|-6.51|396.81|0.0|0.0|1.0|2.77e-05|11.0|2.37e-05|-0.06279|4.7963|4.37|310.58|443.78|77.0|-0.22921|0.02111593|-1695.993821|13.0|7.9|7.9
5b_a50|1|1|0.0|0.0|1|1.397278957|-0.253064589|-0.00141071|5.82008293|1|0.034845679|-0.052494624|0.012641727|10.9325725|2|2|0.012290091|-0.0873662269999999|-0.1052449509999999|-0.175158017|-0.140506919|1|0.693611382|-0.1866330389999999|0.855527513|0.6642694929999999|1|0.958606481|-0.041157676|-0.061164973|0.271653991|0.012204641|-20.90908698|-31.07327358|6.200250541|0.041393519|-15.78596849|3.149876031|60.5565203|0.5887490470000001|42.76068675|0.4462435279999999|486.9950914|1452.442728|5.543302677000001|4577.809819|-221.0035589|18.47246431|0.023005632|-90.17329003|409.0289917|1.0|1.0|1.0|0.0|3.37|2.91|-5.86|3.15|4.02|35.64|2.4|0.0|96.89|0.0|2.0|2.0|-3.48|-6.03|312.37|0.0|1.0|1.0|6.47e-05|0.0202|0.0004269999999999|-0.0256899999999999|5.6332|2.81|308.25|411.9|0.1094|-0.19252|0.02651535|-990.487545|12.23|4.9126|4.9126
9h_a24|0|0|2.916716427|0.0|0|1.428198245|-0.203768024|-0.002864393|5.209486153|2|0.023854167|0.078066659|0.013595277|10.96661419|2|2|0.012380829|0.144624936|-0.02551563|-0.047269812|-0.207206943|2|0.687815726|-0.004960317|0.859720539|0.656172477|0|0.883775278|-0.060337884|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|8.724425117000001|0.1162247219999999|-15.35662744|4.123788393|1.773520599|0.572371258|47.51520531|0.477589721|417.7355164|768.1954692|5.805547147|4170.098082|-199.6361567|21.70315707|0.031789952|-68.41568372|295.8603625|1.0|0.0|1.0|1.0|2.84|1.96|-6.05|2.42|2.72|72.28|1.07|0.0|82.17|0.0|1.0|3.0|-2.83|-6.85|288.31|0.0|1.0|1.0|0.000575|166.0|0.000258|-0.0435399999999999|5.1739|1.16|285.43|363.48|0.0073|-0.22593|0.0305020989999999|-945.200628|77.0|7.1135|7.1135
14g_a23|1|1|0.0|-4.794439428|0|1.197957711|0.180361525|-0.014609495|5.351858133|2|0.0422736629999999|0.058422864|-0.002390707|10.3132174|2|2|-0.0004039459999999|0.179219801|-0.0962526|-0.2952674819999999|-0.648987099|2|0.598213287|-0.044895912|0.854683662|0.575188253|1|0.907334473|-0.072819606|-0.096288005|0.297855753|0.018341721|-51.82254036|-68.52397802|13.05300369|0.092665527|-48.76552945|9.289253982|1.5679977319999998|0.780315815|83.15907597|0.461846955|645.7104105000001|2531.8503170000004|8.788027188|8005.353973|-1072.841648|37.88128151|0.020564836|-398.9771038|676.4530574|0.0|0.0|1.0|1.0|3.61|3.79|-7.95|3.97|6.18|114.25|3.04|2.0|126.97|0.0|1.0|7.0|-6.89|-5.94|495.48|1.0|0.0|0.0|1e-06|0.0004969999999999|5.57e-06|-0.08011|3.7042|5.17|334.71|583.38|0.3478|-0.23201|0.0221162|-2042.000034|0.01|8.0|8.0
15_a47|1|1|2.9226792460000004|0.0|0|1.304329657|-0.164258919|-0.00516949|4.59511985|2|0.042285714|-0.130885389|-0.0026314909999999|10.9497222|1|1|-0.002377481|-0.299654464|-0.007670908|-0.017562097|-0.332654104|2|0.644280611|0.081171071|0.897881853|0.614613723|1|0.791753677|-0.084413593|-0.0904066519999999|0.429825305|0.016669157|-45.1562696|-48.36220049|8.917011222000001|0.208246323|-25.87091101|4.770072524|0.0|0.711630105|59.79410145|0.477646539|423.5412927|869.1027727|6.984778596|5075.773767000001|-362.1927541|25.03780079|0.021370407|-226.4191275|383.4213189|1.0|1.0|1.0|2.0|2.89|2.1|-8.49|4.69|5.28|66.49|2.83|2.0|96.6|0.0|1.0|3.0|-4.89|-5.76|353.78|0.0|0.0|1.0|1.41e-05|0.00499|1.14e-06|-0.0591799999999999|4.3312|3.33|305.43|419.75|0.0759|-0.2268|0.03425526|-1527.316555|16.0|7.8|7.8
14c_a22|0|0|0.0|0.0|0|1.42291727|-0.134137693|-0.005236206|4.727387819|2|0.038137255|-0.026986769|0.003784292|10.9464374|1|1|0.004362505|-0.047249795|-0.0917078119999999|-0.160566657|-0.364626967|2|0.667111824|0.010828071|0.8353837409999999|0.639264982|1|0.866576459|-0.067475189|-0.080077573|0.6160012029999999|0.024569649|-48.57709197|-57.64986681|17.68831053|0.133423541|-41.50359456|12.73426132|78.22334636|0.66168729|75.5139152|0.462147828|623.8702703|2092.7515510000003|8.626337592|6882.45|-830.0718911|32.87756477|0.024813755|-232.8055235|731.8178649|0.0|1.0|1.0|1.0|3.49|2.85|-9.28|3.9|4.18|109.38|1.08|1.0|128.77|0.0|1.0|6.0|-4.86|-6.96|445.48|0.0|0.0|0.0|2.4e-05|0.0107|2.35e-07|-0.07399|5.7361|4.79|337.45|575.8|0.0694|-0.22807|0.03150011|-1460.38772|153.0|6.8153|6.8153
12b_a5|0|0|0.0|0.0|2|1.189701783|-0.297319874|-0.001991527|4.59511985|3|0.0252713179999999|-0.021265946|0.0068803119999999|10.94620104|0|0|0.00751901|-0.033279992|-0.070406884|-0.110182753|-0.1708042239999999|2|0.8417504029999999|-0.033036296|0.819417554|0.8121510009999999|0|0.827613693|-0.066227158|-0.068586754|0.350286421|0.016556707|-41.76622313|-43.25430513|10.44150403|0.172386307|-27.27837078|6.584944956|0.0|0.530379611|59.53145615|0.480419002|521.9354031|1071.500538|8.398709622|5501.255679|-463.7323032|24.32296891|0.025810077|-38.31786425|727.8586176|0.0|1.0|1.0|1.0|4.05|0.0|-7.67|3.29|0.72|50.28|1.54|1.0|123.46|0.0|1.0|5.0|-2.3|-7.57|397.47|0.0|1.0|0.0|0.000359|143.0|8.5e-06|-0.10395|4.6156|2.24|857.76|505.16|0.0001|-0.16607|0.03447919|-1276.9984029999998|42.0|7.3768|7.3768
12l_a30|0|0|0.0|-4.712037416|2|0.60498366|0.157020295|-0.015371073|5.351858133|2|0.044036281|-0.102468864|-0.00695299|10.31162828|1|1|-0.004395528|-0.300262845|-0.077457998|-0.226973911|-0.640870513|1|0.613786308|-0.0395239879999999|0.883029843|0.593245722|0|0.834279405|-0.0905026719999999|-0.109810463|0.37422435|0.0154211289999999|-63.31694493|-76.82494797|10.78883933|0.165720595|-53.74781658|7.548024079|1.697908189|0.8218150790000001|88.64610824|0.462727396|583.6736326|2394.793539|9.258542907|7576.362669|-1182.451965|38.8038646|0.016896687|-450.2927313999999|696.6414817000001|1.0|0.0|0.0|1.0|4.72|0.0|-7.18|4.43|4.78|90.88|2.82|2.0|133.96|0.0|1.0|7.0|-6.7|-5.66|482.48|0.0|0.0|0.0|1.2e-06|0.000579|3.19e-05|-0.0545299999999999|5.0454|5.52|351.78|574.72|0.1574|-0.20397|0.03406276|-1987.848331|61.0|7.2154|7.2154
47r_a18|0|0|0.0|0.0|1|0.403924645|0.029358241|-0.0058631659999999|4.844187086|0|0.035706215|0.041686585|-0.005176133|10.35082951|0|0|-0.0001597829999999|0.0646283159999999|-0.233665901|-0.362261236|-0.360670551|0|0.806477847|-0.048143486|0.8075001|0.7554975009999999|0|0.769578222|-0.083915825|-0.087091542|0.26560995|0.0155038689999999|-62.75220741|-65.12700692|11.59378448|0.230421778|-48.70193962|8.669825595|60.66168882|0.688074851|81.99788849|0.49394971|575.4901675|1504.28892|9.819988422|7727.455993|-1168.846551|34.41856352|0.0225607039999999|-281.2845386|1005.982493|1.0|1.0|1.0|2.0|4.55|0.0|-7.46|0.43|3.76|111.03|2.23|3.0|145.82|0.0|1.0|9.0|-6.65|-6.12|504.6|0.0|0.0|0.0|2.31e-06|0.00117|1.76e-05|-0.0522799999999999|3.1705|9.2|391.06|729.75|0.6007|-0.18249|0.02805567|-1964.516246|231.0|6.6364|6.6364
28_a47|1|1|0.0|0.0|0|1.4201653580000002|-0.053792245|-0.009689834|4.727387819|2|0.038387534|0.023813594|-0.013020816|10.95058275|1|1|-0.010153352|0.06536499|-0.046265509|-0.126992366|-0.435485503|2|0.635684951|0.074217097|0.896193695|0.614975047|1|0.605349345|-0.1132830309999999|-0.106779291|0.310094808|0.026080156|-67.33744077|-63.47150284|15.50250691|0.394650655|-37.72858603|9.214964819|83.61576722|0.65225927|82.27079846|0.472690874|359.8303775|1337.037733|7.864990866|5633.990508|-565.9287905|34.75365534|0.031626405|-181.0112167|428.5826478|0.0|1.0|1.0|2.0|3.08|2.03|-6.92|2.49|3.84|98.72|1.67|1.0|99.2|0.0|1.0|5.0|-3.67|-7.22|380.35|0.0|0.0|1.0|0.000217|0.0824|4.59e-05|-0.05471|3675.0|3.51|337.37|461.73|0.2996|-0.2052|0.03698465|-1335.6279869999998|25.0|7.6|7.6
12as_a36|0|0|3.447017327|0.0|2|1.297043209|-0.051208473|-0.007672841|5.351858133|2|0.041728395|0.096454203|0.000584134|10.95347588|1|1|0.0018565629999999|0.162571317|-0.098698552|-0.166354116|-0.4358775279999999|1|0.8058720979999999|-0.04244711|0.869455765|0.770400825|0|0.77043791|-0.082748367|-0.109492809|0.291030086|0.019229943|-55.75872553|-73.78005999|12.95780416|0.22956209|-49.71556877|8.731418812000001|0.0|0.768125394|85.53474971|0.454761514|519.1478419|2365.632846|8.768282531|6224.698969|-944.5958066|33.18163581|0.017444469|-361.3444194|716.9974499|1.0|0.0|0.0|2.0|4.86|0.0|-6.89|3.16|2.09|86.27|1.59|1.0|133.95|0.0|1.0|6.0|-3.81|-7.21|423.47|0.0|0.0|0.0|0.000112|0.0476|5.4600000000000006e-05|-0.05789|4.5202|4.84|321.96|568.52|0.2402|-0.21419|0.03674596|-1385.384524|59.0|7.2291|7.2291
15a_a22|0|0|0.0|0.0|0|1.4229176680000002|-0.136588366|-0.0050042229999999|4.727387819|2|0.038167849|0.021482585|0.005288335|10.9464374|1|1|0.005757758|0.036467904|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|-0.027029438|0.794858486|0.655865336|1|0.86664032|-0.061755825|-0.081705465|0.410151945|0.02126757|-41.92018177|-55.4621036|14.43653926|0.13335968|-37.6479704|9.799599501|65.53409434|0.702735071|70.12529157|0.444668211|588.2800507999999|2169.226845|8.157552588|6322.278103000001|-752.9594081|30.3550786|0.0216014629999999|-275.2352849|684.5377542|1.0|1.0|1.0|1.0|3.42|2.86|-9.21|3.87|4.31|85.59|1.73|1.0|124.05|0.0|1.0|6.0|-4.65|-6.61|420.47|0.0|0.0|1.0|2.1e-05|0.00881|2.56e-07|-0.0600399999999999|5.0577|4.98|339.72|541.27|0.0955|-0.21285|0.03153544|-1368.1368730000002|143.0|6.8447|6.8447
8b_a31|0|0|3.37710223|0.0|1|0.610137861|-0.01883655|-0.013629145|5.733341277|0|0.041161616|-0.130371116|-0.010300564|10.31170011|2|2|-0.006785954|-0.222667869|-0.05421947|-0.092604362|-0.510259793|0|0.928940547|-0.1155280009999999|0.8956498159999999|0.8761979520000001|0|0.6076192260000001|-0.120703408|-0.132574249|0.281200674|0.03234629|-63.04219151|-69.24221375|16.89414614|0.392380774|-36.1645207|8.823644775|472.8995873|0.703469355|82.21438954|0.479278|317.3534883|1587.743824|6.142377144|4696.728592|-433.9742484|30.28603362|0.02483711|-212.5400476|372.3224834|0.0|1.0|1.0|2.0|3.4|2.71|-5.73|4.52|2.74|114.29|0.61|0.0|88.64|0.0|2.0|4.0|-4.05|-6.87|328.39|0.0|0.0|1.0|0.000399|131.0|0.00061|-0.0325|3.8582|1.77|321.36|439.96|0.2643|-0.19265|0.03659821|-1386.734257|2.2|5.6576|5.6576
26_a20|0|0|0.0|0.0|0|1.4165417530000002|-0.000846851|-0.00578453|4.727387819|2|0.0396875|0.1516835819999999|0.003085806|10.93106273|1|1|0.003149352|0.249416844|0.0346782989999999|0.057022334|-0.446730587|2|0.7071284179999999|-0.055150498|0.8096894440000001|0.690530489|1|0.79337253|-0.0862808009999999|-0.082729415|0.423153994|0.012753218|-58.21621279|-55.81998701|8.604974082|0.20662747|-37.66339899|5.806030949|80.47551422|0.7848887259999999|65.85953426|0.472355054|535.3119506|2534.075607|7.598632688999999|6221.067002000001|-790.9313788|28.17896678|0.014879363|-384.4457279|712.1606951|1.0|1.0|1.0|1.0|3.42|3.07|-9.18|4.5|4.62|86.69|2.47|2.0|125.0|0.0|1.0|5.0|-5.14|-6.28|419.48|0.0|0.0|1.0|9.51e-06|0.00399|2.780000000000001e-07|-0.05097|4.8421|4.97|318.77|543.96|0.0814|-0.21226|0.03774288|-1352.098465|131.0|6.8827|6.8827
13k_a6|0|0|3.423411754|0.0|1|1.42421381|0.031525207|-0.014257799|5.351858133|1|0.04162037|0.051404465|-0.009326562|10.95129637|1|1|-0.006280295|0.08217847|-0.045794891|-0.073210645|-0.5627624379999999|1|0.8694295409999999|-0.123105035|0.84018367|0.827754203|0|0.641032542|-0.11937574|-0.127178105|0.212093198|0.0296987679999999|-82.8774254|-88.29427104|20.6185734|0.3589674579999999|-61.29890279999999|14.31458589|113.5526088|0.7971316940000001|100.7779947|0.426031882|445.0412356000001|3332.974951|8.370126134|6492.211639|-1225.9780560000002|39.55891914|0.017981419|-412.5714301|741.5222707|1.0|1.0|1.0|3.0|3.68|2.8|-8.89|4.55|3.8|115.15|1.39|1.0|124.98|0.0|1.0|7.0|-5.49|-6.59|441.48|0.0|0.0|1.0|1.7100000000000002e-05|0.0075599999999999|5.7e-07|-0.04851|5112.0|5.41|349.49|577.68|0.0137|-0.1944|0.0308324|-1465.621288|46.0|7.3372|7.3372
22_a47|1|1|0.0|0.0|0|1.408617385|0.048272293|-0.010579222|4.727387819|2|0.043695652|-0.029311184|-0.006808306|10.95023117|1|1|-0.004332497|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.612295986|0.004104478|0.890264057|0.591185263|1|0.698649132|-0.080744803|-0.089280419|0.573087958|0.022154032|-47.64347429|-52.67991531|13.07198749|0.301350868|-31.08378631|7.713126784|54.21581266|0.6096864479999999|71.28682035|0.4614909829999999|412.2379505|1494.441201|6.9553262170000005|6107.923371|-497.3405809|30.72175314|0.031534452|-129.440987|482.9384172|0.0|1.0|1.0|2.0|3.31|3.16|-7.69|3.07|4.85|84.73|2.97|1.0|104.64|0.0|1.0|5.0|-4.44|-6.58|394.38|0.0|0.0|1.0|4.16e-05|0.0164|8.11e-06|-0.0612399999999999|4.7954|4.4|308.65|466.95|0.0799|-0.22828|0.02840507|-1374.914437|1.0|9.0|9.0
14k_a23|1|1|0.0|0.0|0|1.1979621459999998|0.070940371|-0.005866159|5.351858133|2|0.046283951|0.04479394|0.010682694|10.31321813|2|2|0.009263715|0.082632648|-0.071484865|-0.13187015|-0.463402169|2|0.722187957|-0.091426449|0.864845456|0.659570836|1|0.922397728|-0.0562483359999999|-0.079899943|0.226547411|0.018829201|-37.43135588|-53.17069631|12.53019305|0.077602272|-35.38329134|8.338417622|80.31548917|0.783562394|64.04991522|0.486654314|613.8243395|2174.886074|8.21201115|6715.186162999999|-707.6658267999999|28.87559227|0.016348271|-377.4022725|633.3278634|0.0|0.0|1.0|1.0|3.39|3.56|-7.99|4.0|4.67|105.02|3.51|2.0|125.29|0.0|1.0|5.0|-6.13|-6.03|445.93|0.0|0.0|0.0|2.83e-06|0.00126|4.55e-06|-0.07933|3.6421|4.1|340.42|552.65|0.4694|-0.2271699999999999|0.02271117|-2089.354026|4.0|8.4123|8.4123
4_a47|0|0|0.0|0.0|0|1.304464196|0.004633887|-0.008204735|0.0|2|0.038479532|-0.158636969|-0.007295208|10.93671044|0|0|-0.006506051|-0.247195952|-0.017555555|-0.027355932|-0.462831711|2|0.893350891|0.019305509|0.84420422|0.8124901999999999|1|0.874200878|-0.07804769|-0.092556319|0.444849947|0.007772995|-42.46254967|-50.35610033|4.22896799|0.1257991219999999|-27.39669054|2.300808176|0.0|0.806604393|57.78603076|0.402148382|475.6168721|1528.797085|6.468023748999999|5254.939281|-438.3470487|23.78275706|0.013656479|-333.62177030000004|471.7712484|1.0|1.0|1.0|2.0|2.75|3.01|-8.79|4.83|5.71|58.04|3.1|2.0|106.52|0.0|1.0|3.0|-5.92|-4.99|361.82|0.0|0.0|1.0|2.31e-06|0.0008359999999999|5.81e-07|-0.05606|5.7708|4.44|332.4|432.89|0.2221|-0.21076|0.03342033|-1509.3147789999998|32.0|7.5|7.5
8a_a50|1|1|3.139870661|0.0|1|1.39826105|-0.0737162059999999|-0.00439531|5.777652323|1|0.03904321|-0.0224366579999999|0.007671336|10.94501357|2|2|0.007801731|-0.038971589|-0.065546446|-0.11385159|-0.352654037|1|0.75162266|-0.095292123|0.8718949979999999|0.7135713840000001|1|0.860876738|-0.069208148|-0.08230347|0.278028663|0.018809422|-34.88425666|-41.48493288|9.480859015|0.139123262|-20.91041439|4.778811898|0.0|0.751415713|50.06249379|0.46183401|433.9235497|1503.563342|5.754657432|4638.284496|-313.6562159|21.23424244|0.017017336|-253.4513797|388.171611|1.0|1.0|1.0|1.0|3.34|2.01|-6.32|3.63|3.71|59.39|2.02|0.0|94.75|0.0|1.0|2.0|-3.86|-6.12|313.36|0.0|1.0|1.0|7.48e-05|0.0234|0.000151|-0.0280699999999999|5.622000000000001|2.69|297.06|396.63|0.1217|-0.20051|0.03479985|-1006.557694|47.0|7.3279|7.3279
12d_a30|0|0|0.0|0.0|2|0.604984421|0.041181359|-0.006335328|5.351858133|2|0.042804233|-0.092984185|0.005613018|10.31162861|1|1|0.005965451|-0.162129948|-0.053644471|-0.09353607|-0.4562256979999999|1|0.8414737059999999|-0.130412856|0.8532172109999999|0.7991060659999999|0|0.843009925|-0.073829724|-0.094239701|0.366319099|0.015567102|-47.69710881|-60.88281322|10.05700314|0.156990075|-39.33285959|6.497247279|0.0|0.8143892140000001|69.55534551|0.4572733479999999|544.6198897999999|2323.480646|7.557073995|6120.329513000001|-786.6571918999999|28.75340957|0.013424098|-406.2173266|686.039456|1.0|0.0|0.0|1.0|4.75|0.0|-7.01|4.35|2.93|81.65|3.04|2.0|132.24|0.0|1.0|5.0|-5.66|-5.81|412.51|0.0|0.0|1.0|7.05e-06|0.00291|4.02e-05|-0.05119|3.4821|4.14|356.06|545.94|149.0|-0.1991|0.03187624|-1614.894406|11.0|7.9508|7.9508
47p_a18|0|0|0.0|0.0|1|1.25117677|-0.001819106|-0.005394244|4.844187086|0|0.037575758|0.025217016|0.00235332|10.94701988|0|0|0.003537135|0.037961877|-0.1736074389999999|-0.261349889|-0.441700685|0|0.72025564|-0.082977829|0.7611910209999999|0.710266593|0|0.832954548|-0.06909945|-0.082580968|0.278332428|0.007989903|-51.14496913|-61.12351185|5.913843751|0.1670454519999999|-45.24146169|4.377217987|48.48855261|0.818459442|69.19354871|0.488811071|616.5234972999999|1367.4309119999998|9.923659881|6726.61969|-1131.036542|27.86610962|0.01090303|-471.4248324|1011.163774|1.0|1.0|1.0|2.0|4.29|0.0|-9.03|3.65|3.34|76.5|3.13|3.0|144.53|0.0|1.0|9.0|-5.67|-6.07|468.59|0.0|1.0|0.0|5.34e-06|0.0025|4.38e-07|-0.05628|3.2036|7.98|387.01|732.84|595.0|-0.18746|0.02843634|-1493.407248|64.0|7.1938|7.1938
