molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
15_a4|0|0|0.0|0.0|1|1.399867493|-0.159419214|-0.001986535|5.4161004020000005|1|0.044357639|0.0432718859999999|0.009823083|10.94611612|1|1|0.00918585|0.097046535|-0.017259078|-0.038707204|-0.226703465|1|0.5118792910000001|0.036363636|0.8347553529999999|0.509447294|0|0.867716376|-0.062151785|-0.073738544|0.2517542889999999|0.010893057|-29.80513879|-35.36161572|5.223809291|0.132283624|-16.95780525|2.505098786|86.01453643|0.8438913020000001|40.03406565|0.437696617|416.1168833|1495.715718|5.459799482|4134.603400999999|-254.3670787|17.45960235|0.009743323|-329.8289177|324.5687005|1.0|0.0|0.0|0.0|3.28|3.01|-6.09|4.09|4.4|30.71|3.05|0.0|85.06|0.0|1.0|2.0|-3.82|-5.6|291.32|0.0|1.0|1.0|5.19e-05|0.0151|0.000235|-0.03539|4.5048|3.8|294.16|396.58|0.0969999999999999|-0.2091199999999999|0.018092091|-958.195344|175.0|6757.0|6757.0
3q_a32|1|1|3.4364803|0.0|0|0.609420748|-0.017280695|-0.008072705|5.733341277|0|0.03898374|0.02785755|0.000773658|10.31100266|3|3|0.002487149|0.0492355779999999|-0.167040501|-0.295228244|-0.5448044360000001|0|0.751733573|-0.1585635|0.901790225|0.716172604|1|0.84993799|-0.067604132|-0.097961799|0.34156046|0.018527744|-41.72706804|-60.46462749|11.43581616|0.15006201|-37.3203761|7.058489861|53.27315741|0.6349739010000001|74.3682963|0.46136998|524.6043311000001|3335.898591|6.428518903|6079.482066|-522.4852655000001|27.20679986|0.022526037|-166.61896299999998|618.9134881|1.0|0.0|1.0|1.0|3.57|3.34|-7.31|6.43|4.72|131.25|1.33|1.0|115.37|0.0|1.0|7.0|-5.91|-6.35|411.54|0.0|0.0|1.0|2.4100000000000003e-05|0.00992|2.01e-05|-0.04968|3.6236|5.15|342.16|549.78|0.2897|-0.19969|0.02381444|-1919.883144|28.0|7.5528|7.5528
4_a3|0|0|0.0|0.0|0|0.60501714|0.2122551539999999|-0.008561428|4.727387819|1|0.035345345|-0.08769805|-0.008407895|10.31162267|1|1|-0.007022144|-0.208888686|0.053425134|0.127253753|-0.607238634|1|0.640351067|0.041477445|0.785381728|0.628171026|1|0.74053397|-0.110345083|-0.098695428|0.5842630360000001|0.008006786|-52.4583525|-46.9200748|3.806447632|0.25946603|-22.30593113|1.809595554|77.51574252|0.866976271|51.71950126|0.415852758|352.05186289999995|1548.626215|5.05182773|4885.093366|-312.2830359|21.6476858|0.0100954959999999|-348.9230345|347.9532383|1.0|1.0|1.0|1.0|2.94|2.6|-7.53|5.3|5.17|80.04|3.07|1.0|92.65|0.0|1.0|2.0|-5.69|-5.21|321.37|0.0|0.0|1.0|8.22e-06|0.00264|9.48e-06|-0.0584299999999999|5.9341|3.53|356.58|338.33|119.0|-0.20826|0.02921941|-1355.239905|1259.0|5.9|5.9
17a_a50|1|1|0.0|0.0|1|1.349854788|-0.186084687|-0.002225436|5.82008293|1|0.034142512|-0.109740063|0.012510153|10.94500663|2|2|0.012893333|-0.178162528|-0.239713023|-0.3891730779999999|-0.220088198|1|0.762224122|-0.215448852|0.828062407|0.732114362|1|0.92300665|-0.045404408|-0.078525868|0.4062532579999999|0.013784807|-29.57096251|-51.14229199|8.977762705|0.07699335|-33.3079288|5.847033234|84.34722313|0.7899109000000001|58.69900789|0.486855438|601.1353533|1799.721631|8.087984548|5718.782531|-666.1585759999999|23.12299308|0.011602876|-377.6260803|719.3470265|1.0|1.0|1.0|0.0|3.95|3.29|-6.76|3.39|4.14|51.77|2.3|1.0|121.78|0.0|1.0|6.0|-3.99|-6.44|398.5|0.0|1.0|0.0|3.61e-05|0.0144|6.97e-05|-0.03196|4.2478|3.08|306.31|616.93|0.1754|-0.1992|0.02594911|-1258.322582|85.0|7.0706|7.0706
4R4k_a46|0|0|0.0|0.173180233|1|1.134637098|-0.050636784|-0.0049602|5.587248657999999|1|0.0510113959999999|-0.104665424|0.006550513|10.94631314|1|1|0.006050983|-0.158788415|0.008544799|0.012963356|-0.3860697829999999|1|0.78837943|-0.141706595|0.787615341|0.784722915|0|0.890625164|-0.089699228|-0.085931818|0.237621572|0.007883196|-47.73036108|-45.72566346|4.194771739|0.109374836|-24.33134018|2.232103603|0.0|0.866681099|49.58292992|0.465590034|473.9155694|1767.850427|5.522208638|4711.736397|-413.632783|18.68565706|0.007248925|-390.2334878|519.5743695|1.0|1.0|1.0|1.0|3.8|3.12|-6.61|4.26|4.77|50.94|2.84|1.0|100.96|0.0|1.0|2.0|-4.82|-5.46|333.43|0.0|1.0|1.0|1.4800000000000002e-05|0.0049299999999999|8.28e-05|-0.02045|5.2965|4.52|299.53|490.83|0.1008|-0.19529|0.0257622|-1053.254911|97.0|7.0132|7.0132
11a_a5|0|0|2.9781886010000003|0.0|0|1.212363224|-0.165418719|-0.002894726|4.59511985|2|0.021060606|-0.052944925|0.007993132|10.94877942|1|1|0.007955512|-0.081506|0.003975818|0.006120569|-0.254944026|2|0.7505403709999999|-0.0489811909999999|0.773417838|0.7410766209999999|0|0.89343434|-0.064565402|-0.071517578|0.369563711|0.011860803|-46.13206353|-51.09940261|8.474559367000001|0.10656566|-36.51058972|6.055083705|14.47576249|0.740865275|61.4470419|0.466436596|638.3599998999999|1170.247903|9.740948724|5756.783268|-803.2329738|25.28995251|0.014482324|-344.1971057|835.912531|0.0|1.0|1.0|1.0|3.53|3.68|-9.93|6.38|6.55|63.69|3.05|2.0|128.51|0.0|1.0|7.0|-7.25|-4.54|424.54|1.0|0.0|1.0|3.95e-07|0.000167|5.019999999999999e-08|-0.03694|4.4033|4.83|302.86|578.8|0.1838|-0.20429|0.03340977|-1339.555805|81.0|7.0915|7.0915
17a_a22|0|0|0.0|0.0|0|1.2689202|-0.0422459529999999|-0.005149751|4.727387819|2|0.043274232|-0.054347074|0.00220634|10.94643739|1|1|0.0027615779999999|-0.089641194|-0.076790454|-0.126659773|-0.3626566539999999|2|0.830653242|-0.010355535|0.805071997|0.7994946709999999|1|0.8594770140000001|-0.072161482|-0.08790445|0.345497724|0.0140462319999999|-49.30541729|-60.0620365|9.597299109|0.140522986|-41.03828927|6.55749888|0.0|0.710958975|73.26110471|0.485943988|587.2505892999999|1934.881271|8.549622191000001|6343.687177000001|-820.7657853999999|29.64221498|0.01931764|-288.28178110000005|784.2697099|1.0|1.0|1.0|1.0|4.02|-3.24|-9.13|3.93|4.93|68.52|2.01|2.0|128.29|0.0|1.0|7.0|-4.75|-6.39|435.5|0.0|1.0|0.0|1.09e-05|0.00473|3.23e-07|-0.15124|4.8502|5.13|887.46|577.52|0.0085|-0.21338|0.02170866|-1407.935792|82.0|7.0862|7.0862
8h_a8|0|0|2.975382653|0.0|0|1.3918396709999998|0.038482973|-0.010324979|4.844187086|0|0.046205674|0.008138299|-0.007796225|10.94341368|1|1|-0.007036544|0.021094825|0.09830823|0.254819201|-0.53822084|0|0.578166105|0.010682683|0.751162751|0.56916135|0|0.602405134|-0.122706004|-0.11302328|0.273425421|0.0111998669999999|-72.14530885|-66.4523265|6.58499063|0.397594866|-39.07081527|3.871662077|53.78973456|0.918315905|70.94463092|0.451435543|354.18563860000006|2019.780061|7.453557203|5956.417906000001|-742.3454901|31.2477685|0.00764059|-491.8998117|485.8626377000001|0.0|0.0|0.0|2.0|3.11|2.73|-7.95|4.69|4.72|80.88|4.11|2.0|105.27|0.0|1.0|4.0|-5.21|-5.98|391.37|0.0|0.0|0.0|1.01e-05|0.00395|4.43e-06|-0.06344|4801.0|7.71|332.16|480.09|272.0|-0.21819|0.03330037|-1361.5113789999998|11.59|4.9359|4.9359
47u_a18|0|0|0.0|0.0|1|1.251177393|0.039883149|-0.010219187|4.844187086|0|0.035393939|0.008108241|-0.000829573|10.94702032|0|0|0.00082284|0.0121925089999999|-0.126628013|-0.1904128389999999|-0.539738821|0|0.664796402|-0.053126304|0.7960273840000001|0.646724968|0|0.741066474|-0.090364489|-0.092271172|0.33777918|0.02068926|-62.99873374|-64.32800179|14.42377665|0.258933526|-44.84707106|10.0557163|77.59162925|0.721837463|79.06741651|0.483819806|516.6437614|1415.590236|9.18142206|6837.350959|-986.6355633|33.23007431|0.021142007|-309.31352410000005|818.9389171|0.0|0.0|0.0|2.0|3.98|0.0|-8.2|3.15|3.02|99.56|2.95|3.0|133.53|0.0|1.0|8.0|-5.69|-6.31|455.51|0.0|0.0|0.0|1.04e-05|0.00472|2.89e-06|-0.06392|3.1186|9.34|397.57|646.45|0.5849|-0.19109|0.02892505|-1509.839543|1.97|5.7055|5.7055
27b_a34|0|0|0.0|0.0|1|1.4335271040000002|-0.056026127|-0.010183855|5.351858133|1|0.042739018|-0.106245942|-0.001438963|10.95430634|1|1|0.001228116|-0.175834895|-0.194619338|-0.322091086|-0.463926296|1|0.820914556|-0.047542374|0.8299950709999999|0.770240631|0|0.783431788|-0.08757938|-0.109683855|0.3307451819999999|0.031021066|-57.66200309|-72.21552354|20.42417736|0.2165682119999999|-47.54648562|13.44721755|540.9533124|0.712312759|87.24055613|0.4072752529999999|515.8091561000001|2431.595232|9.124440695|6032.666081|-808.2902556|34.46979951|0.022820627|-279.5721769|627.4287311|1.0|1.0|1.0|1.0|3.54|3.66|-8.19|3.94|4.11|84.99|1.83|2.0|116.33|0.0|1.0|5.0|-5.23|-6.14|409.44|0.0|0.0|1.0|1.1e-05|0.00449|2.67e-06|-0.04121|4.8168|4.33|302.88|577.39|0.0252|-0.20649|0.03640275|-1349.873325|0.65|6.1871|6.1871
