molecula|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|WPSA3|FNSA2|WNSA3|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
3_a20 (SB-525334)|0|0|3.502142227|6.880384082000001|0|1.183765089|0.0|-0.048050965|4.727387819|2|0.0526353279999999|1.728260385|-0.274640708|-0.175513234|10.95053359|-0.119584218|1|1|0.0033523629999999|0.002992397|-0.169090412|-0.277724429|-0.500412918|0.818922083|0.7186587|0.087932573|-0.17447922|1|-0.061128029|-0.0917096759999999|0.246005838|0.0123308269999999|-34.52869143|43.70154849|70.23182172|3.934338039|-1.375645142|-19.50382741|2243.481559|494.6267525|-777.0449536|-9.33873414|5.943823875|10.9543133|0.8429740729999999|4905.195832|121.495147|-438.9205046|21.06338405|0.0117802769999999|989.9790502999998|520.6749407|1.0|1.0|1.0|1.0|1.0|3.37|2.82|21.0|5.2|4.69|67.35|0.0|104.59|0.0|3.0|-4.85|26.0|4.0|343.42|0.0|1.0|1.0|-4.73|1.42e-05|0.00489|1.88e-05|3.74|0.0|0.0|4.07e-09|1.4e-06|-0.0671399999999999|-1086.585811|-1086.56485|1030.31|390.77|367.0|248.86|498.74|0.49443|-1086.329436|0.1171|3.7291|-0.20131|0.02096048|-1086.383308|6.7905|6.7905
12i_a36|0|0|3.27619957|7.412764017000001|2|1.2401347459999998|0.0|0.043792895|5.351858133|2|0.0438779959999999|0.0|-0.929568494|0.128325344|10.96020192|-0.009876543|1|1|-0.007897954|0.135587069|-0.1187503719999999|-0.3344729369999999|-0.608318386|0.647732719|0.820041835|0.141564781|-0.01509434|0|-0.0850745409999999|-0.117424873|0.332782117|0.01973953|-54.81607619|108.3973956|108.9148111|8.195085212|-2.46592234|-35.3196406|3231.030388|535.4151566|-1588.867662|-18.95842684|7.549683919|13.98728916|0.8526986440000001|7707.634338|148.7565508|-1023.755049|38.2555363|0.022430221|2065.79896|672.4630346|0.0|1.0|1.0|0.0|2.0|4.8|0.0|17.0|3.31|4.04|78.43|0.0|130.43|0.0|7.0|-5.2|34.0|8.0|465.43|0.0|0.0|0.0|-5.07|6.26e-06|0.00291|8.6e-06|3.86|0.0|0.0|7.24e-08|3.37e-05|-0.05065|-1645.2030949999998|-1645.171438|1172.5|330.66|0.5402|237.08|504.47|0.34255|-1644.954647|0.1516|5.1836|-0.20475|0.03165678|-1645.017702|7.9208|7.9208
7e_a8|0|0|3.038052327|7.05012252|0|1.394799915|1.3496955309999998|-0.150447714|4.844187086|0|0.043758865|0.0|-0.289324602|-0.11032771|10.94332434|-0.0446343779999999|1|1|0.002669179|-0.075638618|0.034227147|0.07125309|-0.341022848|0.5897105770000001|0.732001738|-0.023521398|-0.072307692|0|-0.08608941|-0.0886889709999999|0.286669793|0.0215993429999999|-51.4880895|86.03149870000001|102.177831|7.725998682999999|-1.6850904519999998|-30.79383811|2605.914474|495.8990914|-1007.813711|-13.39444718|7.70387217|14.654025199999998|0.902163597|5808.479788000001|133.9683023|-602.7501229|28.86058693|0.018708212|1298.726412|519.5762494|0.0|1.0|0.0|0.0|1.0|3.2|3.38|23.0|5.16|4.94|70.81|0.0|108.43|0.0|4.0|-5.75|29.0|4.0|385.39|0.0|0.0|1.0|-5.41|1.78e-06|0.000686|3.87e-06|4.54|0.0|0.0|5.07e-09|1.95e-06|-0.0697|-1300.495519|-1300.467069|1060.05|383.1|0.3461|325.06|544.55|0.6998300000000001|-1300.271093|0.1522|9.0006|-0.2054699999999999|0.02845071|-1300.327213|4.4547|4.4547
6f_a40|0|0|0.0|8.421342866|1|0.604893424|1.750582483|0.134099184|6.401917197|0|0.038309179|0.737582436|-0.8287570679999999|0.075227997|10.30179966|-0.190617284|2|2|-0.008368734|-0.233222505|0.048543494|0.092206207|-0.628934821|0.7710013309999999|0.836826225|-0.032826285|-0.268802228|1|-0.134203859|-0.130571562|0.363785804|0.015998475|-86.21963207|207.7174501|221.1408856|6.6032981820000005|-2.350288117|-55.39203581|3021.330686|421.31181889999993|-1509.948957|-21.5571287|6.993991456|11.87042702|0.69723213|7328.308886|88.13890599|-970.0707913999998|38.88975659|0.013841059|1750.039046|593.503189|0.0|1.0|0.0|1.0|2.0|4.05|2.53|14.0|3.66|2.66|199.45|3.0|124.54|1.0|5.0|-6.95|30.0|5.0|457.55|1.0|0.0|0.0|-4.64|1.13e-07|5.18e-05|2.3e-05|3.09|1.0|0.0|0.0002109999999999|0.0967|-0.08982|-2426.972609|-2426.924155|1139.55|482.43|0.2362|346.89|507.64|0.66642|-2426.725129|0.0158|6.2384|-203.0|0.04845403|-2426.787111|7.3768|7.3768
27a_a34|0|0|0.0|7.412764017000001|1|0.300206665|1.963136117|0.0257175079999999|5.351858133|1|0.0408037829999999|0.0|-0.7320090459999999|-0.026428049|10.319282|-0.008138446|1|1|-0.005234221|-0.13716603|-0.158932197|-0.264978526|-0.53047808|0.8186389829999999|0.779284547|-0.07177581|-0.012251785|0|-0.106669294|-0.123191967|0.4305370679999999|0.026573385|-74.78290605|176.4623026|279.75296960000003|13.06088842|-2.340647376|-52.42823715|3394.470264|421.319507|-1640.9634529999998|-21.30433911|8.960143164|15.91204178|0.7758691440000001|7104.26596|164.80691819999998|-1150.434312|39.72721867|0.020552444|2145.269808|718.5861133999999|1.0|1.0|1.0|1.0|2.0|3.66|2.58|23.0|2.01|3.97|129.74|0.0|122.61|0.0|6.0|-4.96|33.0|7.0|463.51|0.0|0.0|0.0|-4.47|1.09e-05|0.00504|3.43e-05|2.59|0.0|0.0|2.44e-08|1.13e-05|-0.03924|-1861.741982|-1861.695683|1247.85|300.73|0.2896|247.91|598.18|0.40378|-1861.468024|0.0203|10.8591|-0.20615|0.04629882|-1861.534743|6.6198|6.6198
8a_a31|0|0|3.28085223|7.765993078999999|1|0.610138387|0.0|-0.039027368|5.733341277|0|0.043817204|0.0|-0.586331322|-0.135144546|10.31170053|-0.01861065|2|2|-0.009293513|-0.258538098|-0.054025775|-0.094359203|-0.520051508|0.938325481|0.837862749|0.0502030679999999|-0.030149254|0|-0.122293189|-0.136459435|0.272259026|0.0375544779999999|-60.46233433|131.2406629|200.6591816|9.179668678|-1.501053781|-29.89286568|2128.209198|293.7455749|-742.1281291|-10.19199103|5.83708559|10.63792161|0.822471411|4538.505909|164.9149565|-366.9116769|30.93264504|0.030052065|1113.575221|324.7430642|1.0|0.0|1.0|1.0|2.0|3.34|2.05|16.0|4.16|2.54|114.29|0.0|83.83|0.0|3.0|-3.57|22.0|5.0|314.36|0.0|0.0|1.0|-3.11|0.000269|0.0846|0.000773|1.56|0.0|0.0|4.62e-06|0.00145|-0.02993|-1347.541429|-1347.507102|872.11|325.45|0.2604|325.45|396.15|0.7027100000000001|-1347.3959220000002|0.2604|3.7141|-0.18869|0.03432763|-1347.446223|6.1024|6.1024
11c_a31|0|0|3.336985072|7.765993078999999|1|0.6101368770000001|0.0|0.069254998|5.733341277|0|0.037731481|0.0|-0.847114804|-0.137912959|10.31169916|-0.085216451|2|2|-0.008375297|-0.0512371409999999|-0.0992097109999999|-0.16065803|-0.572548808|0.825336018|0.839810365|0.013528742|-0.139933586|0|-0.138002689|-0.14043574|0.3608415239999999|0.034256743|-80.82023592|264.7428792|255.2562173|11.74927853|-1.825664624|-47.33176279|2470.585429|330.3862551|-1069.186744|-14.56188764|7.259183801|13.95917988|0.922968238|5329.481371|189.6959033|-626.1611682999999|36.77740577|0.029155542|1581.428448|449.7512005|0.0|1.0|1.0|1.0|2.0|3.51|2.66|16.0|5.04|3.64|125.57|0.0|97.32|0.0|6.0|-5.11|26.0|6.0|371.41|0.0|0.0|1.0|-3.98|7.68e-06|0.00285|0.000105|2.82|0.0|0.0|1.45e-06|0.000537|-0.03532|-1559.3980869999998|-1559.353434|1022.77|321.61|0.2627|321.61|512.9|0.7005899999999999|-1559.194237|0.2627|5289.0|-0.19526|0.04465349|-1559.253116|6.8861|6.8861
4a_a46|0|0|0.0|7.825245291|1|1.13463711|2.180332577|-0.214093513|5.587248657999999|2|0.0473245609999999|0.0|-0.051075084|-0.11172225|10.96352058|-0.0466186959999999|1|1|0.0120924389999999|-0.216904465|-0.082000707|-0.129430244|-0.143806973|0.679741138|0.764741337|-0.215877982|-0.06611606|0|-0.05488948|-0.067863141|0.264863483|0.00935578|-28.50561609|6.579492736000001|39.49069232|2.523263761|-1.017947119|-14.80375017|2042.529911|479.8368017|-528.6479264|-5.968291366|5.613813876|9.831485239|0.751302315|4481.754309|133.66119809999998|-274.5414028|15.47527339|0.011380391|711.8625758999999|480.9500663|1.0|0.0|1.0|1.0|0.0|3.76|2.8|17.0|4.18|4.46|43.6|0.0|96.74|0.0|2.0|-3.93|24.0|3.0|318.42|0.0|1.0|1.0|-4.31|0.000117|0.0372|4.89e-05|3.34|0.0|0.0|1.53e-07|4.86e-05|-0.02921|-994.237445|-994.2146342|967.0|272.77|0.1694|272.77|467.4|0.6893600000000001|-994.028172|0.1694|3.1825|-0.21988|0.022810825|-994.079365|6.7423|6.7423
1_a15|0|0|0.0|0.0|0|1.419940974|0.0|-0.22215316|0.0|2|0.0381893|0.0|-0.541427319|-0.068297833|10.95880609|-0.000905902|0|0|0.003816011|0.096086011|-0.1816819589999999|-0.270248221|-0.34192045|0.836466114|0.705825714|0.101406325|-0.001544849|0|-0.068077117|-0.1117462069999999|0.7100707390000001|0.026214985|-44.01415991|121.3844816|80.34898605|10.95802135|-1.899685524|-28.45664402|3000.975833|566.1848585|-1228.210985|-13.01770443|6.580146251|11.7078005|0.77926144|7284.337537|254.7811976|-794.0799704|33.22939752|0.0280791829999999|2026.993248|851.7423982|1.0|1.0|1.0|1.0|1.0|3.91|4.18|24.0|5.46|6.32|74.73|0.0|132.94|0.0|8.0|-6.55|34.0|6.0|457.52|1.0|0.0|0.0|-5.97|2.830000000000001e-07|0.00013|1.08e-06|5.23|0.0|0.0|9.53e-11|4.36e-08|-0.04142|-1510.136281|-1510.117336|1271.06|385.18|0.2464|282.85|598.34|0.64662|-1509.785098|0.0061|1.2218|-0.17792|0.01894559|-1509.851127|7.3565|7.3565
12a_a30|0|0|0.0|7.412764017000001|2|0.604984824|0.0|0.033691224|5.351858133|2|0.040166667|0.0|-0.3557214489999999|0.009586623|10.31162903|-0.094932667|1|1|0.005458948|-0.171649606|-0.053309522|-0.094526372|-0.454270252|0.8421237309999999|0.7885597609999999|-0.031179517|-0.171895425|0|-0.07699057|-0.097138462|0.337975309|0.016292604|-47.73588073|85.47365107|101.5505506|6.263330101|-1.845630786|-29.59731695|2722.217443|518.4718832|-1144.332492|-14.47983299|7.362386058999999|13.88603128|0.88607758|5936.682602000001|120.786445|-709.5118166|29.00398472|0.014884556|1421.195251|620.9195447000001|0.0|1.0|1.0|0.0|1.0|4.65|0.0|17.0|3.84|2.62|81.65|0.0|127.28|0.0|5.0|-5.28|29.0|4.0|398.48|0.0|0.0|0.0|-4.85|5.23e-06|0.00208|1.4e-05|3.87|0.0|0.0|2.3100000000000002e-07|9.21e-05|-0.05184|-1575.7783980000002|-1575.745502|1122.01|355.41|0.1866|245.76|507.17|0.35338|-1575.538241|0.1511|4.1875|-0.19994|0.03289568|-1575.597759|7.9469|7.9469
