molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC1pe|n6aHRing|MATS8d|GATS1pe|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|TASA|PNSA2|MOMI-Z|GeomRadius|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
22_a10|0|0.0|0.0|1|7.535296702|1|2.113627059|-0.067641834|-0.005035102|-0.017163935|2|0.036101695|-0.026750502|-0.332316729|0.01204992|-0.020475007|1|0.008903905|2|-0.033474297|0.646474494|-0.0649866779999999|-41.96631248|-50.61577509|13.023146|75.58376652|0.130170086|-0.022372463|10.14325785|-1.3647202319999998|-32.68604442|71.13124588|54.98945848|677.4790907|-1062.931277|2668.5420940000004|8.84228648|0.730649641|7414.102179|339.3328129|0.026340252|1883.550109|1.0|1.0|3.74|0.17|27.0|4.64|2.8|2.0|139.53|0.0|1.0|6.0|-5.34|36.0|5.0|-6.29|475.54|0.0|0.0|0.0|4.26|2.95e-06|4.1|2.03e-07|-0.05712|5.65|3.8517|770.92|1339.48|321.89|0.2624|602.93|0.4483899999999999|0.6834100000000001|-0.16095|4.8409|-0.2180699999999999|0.03366599|-1543.959333|6.5841|5.9586|5.9586
12c_a30|0|0.0|0.0|0|7.412764017000001|2|0.0|0.045997203|-0.006900253|-0.030422458|2|0.042804233|-0.0983590219999999|-0.3657134279999999|0.019094532|-0.072247675|1|0.003603419|1|-0.1240820219999999|0.7463962120000001|-0.096482247|-50.12643041|-62.99109515|10.36785909|82.07537640000001|0.156067288|-0.037411484|6.768942632999999|-1.833162702|-32.72642202|72.5855533|60.4942895|550.9847369|-1196.830808|2456.062146|7.652098812999999|0.828040991|6403.739746|126.574178|0.014695647|1484.664552|0.0|1.0|4.62|0.14|17.0|4.47|3.31|2.0|132.29|0.0|1.0|5.0|-5.93|30.0|4.0|-5.75|432.93|0.0|0.0|1.0|3.11|3.61e-06|4.49|2.61e-05|-0.0542299999999999|4.45|3.5286|695.96|1168.62|351.37|0.2155|541.39|0.32037|0.68457|-0.1496299999999999|3.7377|-0.2038599999999999|0.03433522|-2035.202565|4.7893|7.9914|7.9914
A8301_a51|0|0.0|0.0|1|6.86171134|0|1.700610355|0.0245770529999999|-0.00449765|-0.028789626|2|0.039058957|0.078523314|-0.242873103|-0.012770742|-0.1227504419999999|1|0.007083041|2|-0.21474885|0.7234449559999999|-0.0780376929999999|-35.90764428|-50.67621589|5.293803823|36.55933899|0.065260105|-0.032775831|3.437697042|-1.6387915469999998|-23.3177516|56.90163721|41.20144811|607.0025787000001|-1064.200534|2461.663545|6.890532887999999|0.922911768|6401.6494600000005|94.18649643|0.009586697|1244.737752|1.0|1.0|3.49|0.04|27.0|5.5|3.35|2.0|129.04|0.0|1.0|5.0|-6.6|31.0|3.0|-5.31|421.52|0.0|0.0|1.0|4.58|1.17e-06|5.02|1.74e-07|||||||||||||||||7.9208|7.9208
12aq_a36|1|3.427017327|0.0|0|7.412764017000001|2|0.0|0.0332421529999999|-0.0116333169999999|-0.135770278|2|0.041728395|0.076517478|-0.674732412|-0.1031859869999999|-0.028591187|1|-0.004569485|1|-0.047695595|0.849217847|-0.122078233|-73.0277723|-81.56528598|14.29132551|86.6958382|0.318529388|-0.042953452|9.548598682|-2.319486422|-48.79273723|95.39676382|87.31909781|455.31741460000006|-1549.740434|2906.024504|8.596645087999999|0.743623723|6296.75201|159.03272990000002|0.020701483|2033.842158|0.0|0.0|4.83|0.13|17.0|1.92|1.28|1.0|131.85|0.0|1.0|6.0|-3.52|32.0|5.0|-7.79|424.46|0.0|0.0|0.0|1.15|0.000359|1.55|0.000305|-0.06059|3.88|3.3759|703.04|1190.22|367.26|0.4988|534.96|0.6933199999999999|0.7058300000000001|-0.13908|6.7649|-0.19967|0.03228003|-1401.452487|8671.0|7.2596|7.2596
12f_a40|0|0.0|0.0|1|7.515889085|0|1.768354671|-0.03356339|-0.006206277|-0.015621373|0|0.040501792|0.070099257|-0.235838511|0.108909202|-0.172869148|2|0.006841832|0|-0.271493213|0.605644757|-0.082198664|-37.02024147|-45.41519509|11.90644165|62.72992556|0.090006088|-0.032879466|6.57837176|-1.150781297|-20.45387851|56.53158029|48.92668311|502.7764322|-635.8127312999999|628.5604981|8.404802652999999|0.962404834|5326.217734000001|148.3785764|0.0201199619999999|869.2568204|0.0|1.0|3.24|0.06|20.0|5.35|3.99|2.0|98.25|0.0|1.0|3.0|-6.58|24.0|3.0|-4.76|376.26|0.0|0.0|1.0|4.76|1.02e-06|5.4|1.8100000000000003e-05|-0.07761|4.77|2.8374|572.63|951.55|436.97|0.4348|487.85|0.6679999999999999|0.7029|-0.11765|3.2818|-0.19526|0.01077929|-2212.275094|4.8562|6.4202|6.4202
A7701_a51|1|2.9690728930000003|0.0|0|6.605297921|0|0.0|-0.221071791|-0.002377784|-0.0162614089999999|2|0.031405229|0.070581466|-0.0927335619999999|0.058290286|-0.0299823629999999|1|0.00740235|2|-0.0533751959999999|0.688876851|-0.078131694|-32.97926236|-36.09660744|3.420720075|146.2104641|0.134885227|-0.030384547|1.580362387|-1.09384371|-15.23632002|41.87351682|36.39998243|399.6804233|-505.3525041|1108.114062|5.137516673|0.7251817340000001|4153.310077|92.83996262|0.012504214|632.4445105000001|1.0|0.0|2.66|0.06|21.0|4.46|1.98|0.0|87.52|0.0|1.0|2.0|-3.95|22.0|3.0|-5.82|286.33|0.0|1.0|1.0|3.12|6.790000000000001e-05|3.14|7.5e-06|||||||||||||||||7.6021|7.6021
11_a33|1|3.221176304|0.0|0|7.686621335|0|0.0|-0.151505631|-0.008708023|-0.039406316|0|0.034984568|0.055664124|-0.32219686|0.143981643|-0.008908194|3|-0.00103193|0|-0.014463304|0.781083337|-0.104881435|-34.4118011|-50.94714637|16.37099833|45.43139569|0.142712759|-0.030847481|7.95236684|-1.048814353|-16.71585694|68.11455221|50.78279943|416.4353629|-509.4714637|979.349175|5.24049311|0.8772525659999999|4880.001461|217.193541|0.035341374|921.4892038|1.0|1.0|3.19|0.13|19.0|5.77|0.89|0.0|89.77|0.0|1.0|3.0|-5.48|22.0|4.0|-5.97|328.41|0.0|0.0|1.0|3.28|4.13e-05|3.28|0.000194|-0.05806|1.93|3.5049|506.55|858.89|353.74|0.5408|378.1|0.70381|0.70381|-0.14132|3.1406|-0.19938|0.02055276|-1669.251123|4.5998|8.3188|8.3188
12_a15|0|0.0|0.0|0|0.0|0|0.0|-0.071096525|-0.006620824|-0.0455566929999999|2|0.034285714|-0.035728911|-0.370766171|-0.106061273|-0.01062828|0|0.0034254209999999|2|-0.019064393|0.7933685340000001|-0.094209248|-39.00359933|-60.15445365|9.58943236|72.18361893|0.10362709|-0.031995594|6.123040777999999|-1.695766456|-24.90456371|70.6606311|48.59303169|572.3516967|-1082.780166|2661.728915|5.448223888999999|0.909927213|5897.820841|161.8714956|0.016453962|1450.496376|1.0|0.0|3.56|0.12|24.0|5.32|2.87|2.0|119.95|0.0|1.0|6.0|-6.22|30.0|4.0|-4.97|397.47|1.0|0.0|1.0|4.7|1.47e-06|5.29|5.99e-08|-0.03196|5.16|3.8538|688.91|1177.81|321.72|0.1374|585.26|0.50595|0.70444|-0.15858|4.3338|-0.19054|0.02694613|-1280.871722|6.0547|8.3979|8.3979
12b_a5|0|0.0|0.0|0|6.605297921|2|0.0|-0.297319874|-0.001991527|0.023224044|3|0.0252713179999999|-0.021265946|-0.1214831359999999|-0.119503073|-0.016614746|0|0.00751901|2|-0.033036296|0.8121510009999999|-0.068586754|-41.76622313|-43.25430513|10.44150403|138.67264319999998|0.172386307|-0.020455699|6.584944956|-1.165974822|-26.33991037|59.53145615|52.20772716|521.9354031|-735.3231872|1071.500538|8.398709622|0.924627734|5501.255679|296.16656780000005|0.025810077|1386.409228|1.0|0.0|4.05|0.33|18.0|3.29|1.54|1.0|123.46|0.0|1.0|5.0|-2.3|30.0|6.0|-7.57|397.47|0.0|1.0|0.0|1.44|0.000359|1.63|8.5e-06|-0.10395|2.24|1.4454|669.05|1149.51|857.76|0.2345|505.16|0.42949|0.70615|-0.06212|5.7174|-0.16607|0.03447919|-1276.9984029999998|8.2868|7.3768|7.3768
3b_a32|1|3.3653429710000005|0.0|0|7.758333467000001|0|0.0|0.046791596|-0.007388108|-0.064476472|0|0.042528736|-0.0411430079999999|-0.265971895|-0.1113575119999999|0.10614163|3|0.00020567|0|0.167519182|0.7725667079999999|-0.100355499|-35.8437493|-49.22963237|7.180211702|74.63320519|0.159260619|-0.033451833|3.522270202|-1.103910485|-17.58323784|56.82775081|43.023961|412.4267349|-541.5259561|1084.520517|5.765940603|0.854431185|4448.251276|115.707414|0.0154889019999999|708.6845618|1.0|1.0|3.11|0.13|19.0|6.25|1.45|1.0|88.24|0.0|1.0|2.0|-5.73|21.0|3.0|-5.57|312.41|0.0|0.0|1.0|3.68|2.23e-05|3.71|9.97e-05|-0.05396|2.45|3.5545|524.46|857.0|348.81|0.2905|396.83|0.70257|0.70257|-0.1474099999999999|3.5719|-0.20137|0.02589511|-1594.049677|5.7777|8.2366|8.2366
