molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC1pe|n6aHRing|MATS8d|GATS1pe|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|TASA|PNSA2|MOMI-Z|GeomRadius|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
18c_a25|0|0.0|0.0|1|6.842683282|0|1.959418462|-0.087958541|-0.002704524|-0.008080236|2|0.043274232|0.007241543|-0.162271435|-0.038865826|0.006360768|1|0.007488918|2|0.0114970419999999|0.7357918440000001|-0.0719340379999999|-31.96445203|-47.27625541|6.300016824|26.54367263|0.05198276|-0.026975264|4.140476673999999|-1.510614788|-21.00757374|56.83666555|38.26446885|623.0528232|-992.8013635|2095.730631|7.553051762000001|0.940731034|6736.25597|165.67090530000002|0.014546814|1327.415719|1.0|1.0|3.58|0.11|27.0|6.29|3.08|2.0|138.65|0.0|0.0|7.0|-6.05|33.0|3.0|-5.85|449.57|1.0|0.0|1.0|4.77|2.51e-06|4.49|3.0499999999999995e-08|-0.0622|4.75|3.3396|698.86|1243.76|371.26|0.3558|547.87|0.31993|0.70516|-0.13312|6.1775|-0.19532|0.02003004|-1714.342386|7.9283|7.0555|7.0555
3f_a32|1|3.553167045|0.0|0|7.773594467000001|0|0.0|0.0067550119999999|-0.00611496|-0.0434359079999999|0|0.042380952|-0.062954205|-0.275173181|-0.113189563|-0.110286539|3|0.002565215|0|-0.1743238839999999|0.786074011|-0.097374443|-41.40131823|-54.8993954|6.707989266|47.97543149|0.125973316|-0.030139709|3.78194259|-1.265867765|-23.34192893|61.47296003|48.1093075|492.7734095|-713.6921402|2130.756016|6.153728636|0.770463268|4993.667711|118.8493262|0.011659458|904.3255145|1.0|1.0|3.9|0.28|19.0|7.18|2.18|2.0|102.66|0.0|1.0|4.0|-6.89|24.0|3.0|-5.03|354.49|0.0|0.0|1.0|4.63|3.96e-06|4.83|1.73e-05|-0.05315|3.92|3.5569|604.9|1006.92|348.58|293.0|488.74|0.70255|0.70255|-0.1474599999999999|3.4678|-0.2006099999999999|0.02606687|-1711.9193289999998|5.7161|8.0458|8.0458
9_a1|1|3.358585365|0.0|0|6.86171134|0|0.0|0.020428974|-0.00614716|-0.1075163359999999|1|0.037578348|-0.110185988|-0.282769361|-0.079063236|0.016589221|1|-0.0018191779999999|1|0.02778394|0.572272366|-0.085722429|-46.63553015|-49.42275468|6.495805626|63.73880199|0.244723542|-0.031896718|3.745117974|-1.371558857|-26.88743664|57.60218193|53.13133578|435.4501351|-790.7640749|1739.0376789999998|7.61577077|0.826725116|5063.330971|125.865476|0.014186995|1011.608611|1.0|1.0|2.78|0.05|23.0|5.86|2.74|2.0|102.84|0.0|1.0|4.0|-4.68|27.0|4.0|-5.81|357.38|0.0|0.0|1.0|4.12|1.62e-05|3.76|3.7100000000000003e-07|-0.07602|5.6|3343.0|600.6|1007.04|370.88|0.5409|487.19|0.70296|0.70296|-0.13413|4.1623|-0.21015|0.03294951|-1187.065335|6.4447|5.2218|5.2218
4_a3|0|0.0|0.0|0|6.823286122000001|0|0.0|0.2122551539999999|-0.008561428|-0.161259999|1|0.035345345|-0.08769805|-0.325334256|0.057349653|0.0248526079999999|1|-0.007022144|1|0.041477445|0.628171026|-0.098695428|-52.4583525|-46.9200748|3.806447632|235.6982345|0.25946603|-0.039478171|1.809595554|-1.381735991|-24.93884341|51.71950126|56.26480013|352.05186289999995|-656.8810472|1548.626215|5.05182773|0.711897153|4885.093366|63.23984222|0.0100954959999999|757.6690029|1.0|0.0|2.94|0.0|21.0|5.3|3.07|1.0|92.65|0.0|1.0|2.0|-5.69|23.0|3.0|-5.21|321.37|0.0|0.0|1.0|4.09|8.22e-06|4.3|9.48e-06|-0.0584299999999999|3.53|3.4771|504.29|858.45|356.58|0.1776|338.33|0.3809|0.6896|-0.14983|2.3542|-0.20826|0.02921941|-1355.239905|3.1409|5.9|5.9
4m_a46|0|0.0|0.16407746|1|7.825245291|1|2.12888511|-0.245599013|-0.000686578|0.051308728|1|0.041865079|-0.302054595|-0.0329557579999999|-0.142061192|0.007901235|1|0.010359417|1|0.011235955|0.626578283|-0.0672468|-35.4774406|-35.43866734|5.74716122|6.161736337000001|0.051026123|-0.0224155999999999|3.028720082|-1.008702005|-18.69640205|41.88525631|41.22460182|500.1036387|-531.5800101|1639.260563|5.329061873000001|0.8622201970000001|4750.325312|140.5828543|0.012232753|724.9776792|0.0|1.0|3.59|0.29|17.0|4.25|2.5|1.0|98.69|0.0|1.0|2.0|-4.52|25.0|3.0|-5.68|328.41|0.0|1.0|1.0|3.59|2.68e-05|3.69|4.31e-05|-0.04808|3.45|4.3476|558.63|975.72|285.18|0.2465|468.63|0.38389|0.68505|-0.18308|3.9226|-0.23116|0.02920209|-1030.980844|5.2326|5.8901|5.8901
3m_a32|1|3.575728458|0.0|0|7.773594467000001|1|0.0|0.013867955|-0.006290106|-0.017268778|0|0.03962963|-0.0370712179999999|-0.3082152019999999|-0.084132138|-0.078038283|3|0.000822186|0|-0.126422018|0.6672533589999999|-0.09390309|-50.60363458|-56.15082133|8.029854976000001|92.61088121|0.201976727|-0.027127559|4.801577352|-1.220740175|-30.25923462|67.1606709|58.63348955|477.1904954|-729.9606772999999|2363.601309|7.0752395770000005|0.882303773|5724.714257|194.65681730000003|0.018412178|1082.275864|0.0|1.0|3.51|0.3|19.0|7.02|1.74|2.0|110.36|0.0|1.0|3.0|-5.94|27.0|4.0|-6.17|394.51|0.0|0.0|1.0|4.12|1.39e-05|3.57|1.65e-05|-0.05731|5.1|3.5749|641.52|1073.31|346.82|0.2952|484.34|0.7026600000000001|0.7026600000000001|-0.14835|5082.0|-0.2056599999999999|0.0339106999999999|-1863.337677|8.0755|7.6383|7.6383
12f_a31|1|3.4780522210000004|0.0|0|7.765993078999999|1|0.0|0.034876922|-0.011835152|-0.033056721|0|0.03703252|0.043286807|-0.698273995|-0.0944165219999999|-0.0164221939999999|2|0.000889251|0|-0.029803241|0.7730604259999999|-0.118239376|-68.14417693|-82.48950216|19.26761061|159.84734269999998|0.299007775|-0.0337826789999999|13.44201623|-1.891830012|-47.54067074|97.53070764|87.41178754|489.0460499|-1319.832035|1805.921786|9.859605078|0.932987917|5845.744358|218.4455813|0.021559868|1921.480254|1.0|1.0|3.86|0.41|16.0|6.43|1.53|3.0|117.78|0.0|1.0|10.0|-5.98|30.0|5.0|-6.19|426.53|0.0|0.0|1.0|4.01|2.37e-05|3.82|4.06e-06|-0.03317|5.39|3.8305|755.33|1258.6|323.68|0.2664|665.22|0.7006600000000001|0.7006600000000001|-0.15894|1.8803|-0.19211|0.04363832|-1696.53373|3.3538|6.8861|6.8861
19_a47|0|0.0|0.0|1|6.842683282|0|1.445775615|-0.038804671|-0.00973456|-0.227538423|2|0.032764858|0.027033021|-0.4380552029999999|-0.064557784|0.0604168609999999|1|-0.010153352|2|0.095841135|0.614975047|-0.104459947|-58.28861174|-57.87554797|14.85167037|335.10989930000005|0.360357109|-0.037307124|8.228498913|-1.566899206|-32.2945343|76.13237258|73.14028211|354.3911695|-868.1332196000001|1238.799875|7.06969105|0.8635094740000001|5846.960345|200.6571609|0.03295186|1361.067484|1.0|1.0|3.13|0.05|21.0|2.49|1.67|1.0|99.2|0.0|1.0|5.0|-3.67|28.0|6.0|-7.22|380.35|0.0|0.0|1.0|2.34|0.000217|1.97|4.59e-05|-0.05326|3.51|3.8423|571.23|974.59|322.68|0.3243|412.31|0.68924|0.68924|-0.15845|5.1151|-0.2117099999999999|0.03178118|-1335.634976|6.3247|7.3|7.3
27a_a34|0|0.0|0.0|1|7.412764017000001|1|1.963136117|0.0257175079999999|-0.012620846|-0.456594848|1|0.0408037829999999|-0.082271189|-0.7320090459999999|-0.026428049|-0.008138446|1|-0.005234221|1|-0.012251785|0.749941528|-0.123191967|-74.78290605|-86.36649751|18.62986903|176.4623026|0.3990357329999999|-0.043345322|13.06088842|-2.340647376|-52.42823715|100.7752505|93.41277507|421.319507|-1640.9634529999998|2252.433058|8.960143164|0.7758691440000001|7104.26596|164.80691819999998|0.020552444|2145.269808|1.0|1.0|3.66|0.13|23.0|2.01|1.06|1.0|122.61|0.0|1.0|6.0|-4.96|33.0|7.0|-7.29|463.51|0.0|0.0|0.0|2.44|3.43e-05|2.59|1.13e-05|-0.03924|7.38|4.1228|737.7|1247.85|300.73|0.2896|598.18|0.40378|0.69818|-0.16691|10.8591|-0.20615|0.04629882|-1861.534743|13.9023|6.6198|6.6198
40_a47|0|0.0|0.0|1|6.823286122000001|0|1.715145925|-0.246203395|-0.004181351|-0.0934645509999999|3|0.041396825|-0.056839794|-0.179798097|-0.038143308|0.056362705|1|0.003634698|3|0.090270598|0.607650682|-0.083237511|-32.5926343|-44.90375373|11.04737121|54.11003524|0.1877663219999999|-0.027052191|5.959674083|-1.082087641|-17.58259718|60.97203959|43.64000551|438.171933|-583.7487984|868.5333132000001|7.042383142|0.843174422|4862.524893|229.9974239|0.029785575|1017.592517|1.0|1.0|3.07|0.11|21.0|2.96|1.52|0.0|94.28|0.0|1.0|3.0|-3.26|25.0|5.0|-6.78|334.35|0.0|1.0|1.0|2.72|0.000192|2.19|2.79e-05|-0.05086|2.06|3.7236|571.5|947.27|332.97|271.0|444.47|0.67615|0.68492|-0.15231|4.7542|-0.20317|0.02983032|-1123.049869|6.5995|8.4|8.4
11a_a31|1|2.856083711|0.0|0|7.773594467000001|1|0.0|-0.045290366|-0.02376325|-0.259732443|0|0.044949495|-0.087576474|-0.8792402579999999|-0.1217573119999999|-0.019865299|2|-0.017433557|0|-0.030335912|0.819138461|-0.161027639|-76.64827023|-81.26889906|20.91187076|258.8577775|0.513245044|-0.056833284|10.55399384|-1.932331673|-38.68354874|97.23036756|97.560141|245.6599349|-975.2267888|1769.346573|5.791411901|0.8241360790000001|4940.657452|133.6139513|0.031626337|1326.379096|0.0|1.0|3.26|0.13|16.0|3.93|0.57|0.0|83.12|0.0|2.0|3.0|-4.81|23.0|6.0|-6.51|329.33|0.0|0.0|1.0|2.42|0.000161|2.53|0.00731|-0.05074|3.97|3.8042|529.63|860.74|325.92|0.2797|407.76|0.69222|0.69222|-0.15515|6.4691|-0.20589|0.04099365|-1441.37897|8.9667|6.7212|6.7212
12l_a36|1|3.426092687|0.0|0|7.412764017000001|2|0.0|-0.0944961519999999|-0.0076430169999999|-0.008712073|2|0.039061728|0.128666217|-0.4203659179999999|-0.05158636|-0.0452558729999999|1|0.001194592|1|-0.079106537|0.8212311840000001|-0.107815735|-52.05361632|-70.17688229|14.33450402|39.27257375|0.15618077|-0.038052612|9.330278191|-1.940683231|-33.88151556|83.76912404|66.38812034|549.2389652|-1263.1838810000002|2385.788754|7.471134223|0.8586718990000001|6121.6555530000005|170.5619816|0.02088234|1711.727859|0.0|1.0|4.78|0.13|17.0|2.75|1.38|1.0|128.47|0.0|1.0|5.0|-4.57|31.0|5.0|-6.68|406.44|0.0|0.0|0.0|1.77|5.08e-05|2.95|8.97e-05|-0.0510399999999999|2.98|3.8619|686.83|1155.07|321.05|0.4524|530.75|0.6925|0.6925|-0.15869|5392.0|-0.20973|0.03508404|-1325.0137550000002|7.2021|7699.0|7699.0
47o_a18|0|0.0|0.0|0|7.03438793|1|0.0|0.052875948|-0.006476544|-0.055408687|0|0.037484277|-0.006238734|-0.4339284229999999|0.011121222|-0.038296569|0|0.000787517|0|-0.066242713|0.733228144|-0.088436375|-56.13142962|-64.2280736|6.313168526|77.37089184|0.193127002|-0.034545459|4.585021184|-2.210909375|-40.76618466|70.23090572|62.44459815|586.0020642999999|-1605.70184|1393.529823|9.808930716|0.972958142|6462.6049570000005|92.41474142|0.008265369|1839.812293|1.0|0.0|4.17|0.25|18.0|3.69|2.94|3.0|139.63|0.0|1.0|9.0|-5.66|34.0|3.0|-6.12|454.56|0.0|0.0|1.0|2.76|8.38e-06|4.16|1.93e-07|-0.0502|7.62|3.22|783.22|1352.29|385.04|0.5065|706.49|0.69248|0.69248|-0.13203|2.2316|-0.18223|0.02736851|-1455.231246|2.8284|7.3279|7.3279
8k_a46|0|0.0|0.1337610719999999|1|7.727094485|1|2.105349622|0.1436554669999999|-0.006208399|-0.380857136|2|0.038616352|-0.061030265|-0.397337564|-0.114070359|-0.038125|1|0.002202734|2|-0.051289238|0.687020939|-0.0863473759999999|-61.98124174|-61.95565276|6.774333772|104.0919365|0.261823161|-0.033099828|4.860695117|-1.985989657|-44.4725532|70.036452|68.75557551|529.6539372999999|-1424.980013|2328.360804|8.070811215|0.975803904|7352.280688|124.4394929|0.0112621819999999|1723.969585|0.0|1.0|3.94|0.24|23.0|2.94|1.86|1.0|132.47|0.0|1.0|5.0|-5.74|34.0|6.0|-6.75|474.58|0.0|0.0|0.0|3.29|7.47e-06|3.45|1.03e-06|-0.0398699999999999|7.63|4.1034|742.04|1302.56|302.15|0.1354|642.39|0.41618|0.5577300000000001|-0.16967|3.4118|-0.20954|0.04718819|-1845.037411|3.8107|6.8327|6.8327
2_a3|0|0.0|0.0|0|6.823286122000001|0|0.0|0.176032668|-0.008422099|-0.09743592|2|0.034166667|-0.103423993|-0.311617665|0.09933632|0.036301827|1|-0.0045709459999999|2|0.065162907|0.841871246|-0.09392632|-49.07072207|-44.07280196|5.601853871|228.178656|0.249793422|-0.033150466|2.628543258|-1.127115845|-23.02532673|53.05538527|54.67257594|352.0174726|-528.8736235|1314.679398|4.88513521|0.845708123|4446.904467|127.637231|0.019143348|726.4904564|1.0|1.0|2.97|0.0|21.0|4.34|1.6|0.0|90.49|0.0|1.0|2.0|-4.75|22.0|3.0|-5.93|304.37|0.0|0.0|1.0|3.06|5.33e-05|3.13|3.9500000000000005e-05|-0.06423|1.97|3.3354|503.34|841.85|371.73|0.1824|340.69|0.37284|0.69543|-0.14605|4.0121|-0.21028|0.02925101|-1272.04778|5.4999|5.4|5.4
16f_a32|1|3.354832924|0.0|0|7.765993078999999|0|0.0|0.1767304639999999|-0.014558301|-0.054907428|0|0.039958333|0.008658653|-0.77158995|-0.081644236|-0.000291262|3|-0.001202032|0|-0.000510986|0.761506727|-0.111152081|-56.53102601|-76.92280867|16.90955989|89.03402347|0.192724521|-0.035568666|11.7022626|-1.778433296|-39.12230215|92.82839829|73.4405859|558.6750754999999|-1230.764939|3414.006186|8.79158776|0.625108901|6235.040893|211.2572338|0.022983292|1771.554986|1.0|1.0|3.76|0.3|19.0|6.42|1.34|3.0|116.75|1.0|1.0|9.0|-6.95|29.0|5.0|-5.99|427.54|1.0|0.0|1.0|4.05|1.07e-05|4.11|7.26e-06|-0.04997|4.99|3.6272|722.06|1191.55|341.82|0.2931|603.12|0.70204|0.70204|-0.15003|3.6641|-0.2|0.02889673|-1995.117771|4.2764|8041.0|8041.0
7b_a8|1|3.213855584|0.0|1|7.535296702|1|1.4628217119999998|-0.119760914|-0.009659873|-0.038810124|1|0.040873016|-0.024156447|-0.4829936279999999|-0.052309137|-0.0254956129999999|1|0.003191529|1|-0.040994467|0.677544268|-0.1000685009999999|-60.75943432|-59.93853201|19.86678613|145.0783004|0.277652387|-0.041332642|11.89970852|-1.901301524|-36.39338307|73.70461365|80.62622045|432.6681725|-1138.832108|1780.952171|7.698000901|0.918644854|6185.0105140000005|147.3863936|0.022982731|1510.516312|0.0|1.0|3.49|0.09|23.0|4.48|2.23|2.0|110.8|0.0|1.0|3.0|-5.25|30.0|5.0|-6.15|396.4|0.0|0.0|1.0|3.5|1.14e-05|3.61|8.94e-06|-0.06833|5.51|3.26|621.4|1067.73|380.32|0.2517|506.21|0.44725|0.7025100000000001|-0.13639|9.9463|-0.20472|0.0273745|-1330.448193|12.7344|4.8687|4.8687
16b_a23|0|0.0|0.0|2|7.423568444|1|3.418247774|0.031073244|-0.005139233|-0.013240238|3|0.037664609|0.054655144|-0.3237716519999999|-0.068280331|-0.05237763|2|0.011266252|2|-0.09063701|0.711576167|-0.07920267|-37.52431601|-58.69232154|13.79443768|7.971529518|0.071420236|-0.031407956|10.22222569|-1.821661419|-27.80700713|72.31582904|51.31875369|688.1144512|-1349.923395|2256.698672|9.472884487|0.949345397|7575.784511|193.4284005|0.018384316|1826.746158|0.0|1.0|4.19|0.07|26.0|3.02|3.14|2.0|146.03|0.0|1.0|6.0|-6.19|36.0|4.0|-6.3|489.57|0.0|0.0|0.0|2.9|2.16e-06|4.21|2.26e-05|-0.07352|4.24|1.6041|772.84|1340.35|772.92|0.3456|607.92|0.95419|0.95419|-0.13741|9.2317|-0.21093|0.03978022|-1877.335869|14.8849|7.0191|7.0191
1o_a5|1|2.923171926|0.0|0|6.605297921|0|0.0|-0.266637757|-0.002633927|0.033105871|2|0.025987654|-0.033273504|-0.1079910069999999|-0.102739602|-0.008511304|1|0.0051989459999999|2|-0.016408975|0.650008224|-0.072886362|-42.63505279|-39.1638643|7.122612351|167.3051756|0.11569628|-0.028770932|3.827177229|-1.093295425|-22.90899675|50.11479279|49.75766514|475.1609233|-587.4579645|833.537568|7.522366517000001|0.8888980340000001|4572.818263|161.2447749|0.020380352|839.3293197999999|1.0|1.0|2.81|0.0|23.0|4.48|1.23|0.0|95.2|0.0|1.0|3.0|-4.08|25.0|4.0|-6.3|323.35|0.0|0.0|1.0|2.95|8.340000000000001e-05|2.78|2.54e-06|-0.07037|2.66|4.1692|561.04|938.37|297.38|0.3966|443.88|0.4988899999999999|0.5492100000000001|-0.1693599999999999|4.7435|-0.23973|0.04126499|-1043.472984|5.4919|7.4559|7.4559
18_a31|1|3.281949877|0.0|0|7.401841579|0|0.0|0.0690370959999999|-0.013634202|-0.138136629|0|0.0427124179999999|-0.051184519|-0.640807491|-0.001973566|-0.096301845|2|-0.007811355|0|-0.1647054359999999|0.838968212|-0.129469649|-69.19879619|-75.99442464|8.49194438|238.9516432|0.27411287|-0.040279446|4.984491996|-1.81257508|-40.61741697|85.81723707|77.69074057|426.0718665|-1063.9219449999998|1935.374782|7.076684189|0.8155571290000001|4856.251645|130.6137795|0.01673486|1368.42913|1.0|1.0|3.41|0.28|16.0|4.9|0.75|1.0|99.32|0.0|1.0|7.0|-4.62|25.0|4.0|-6.72|356.44|0.0|0.0|1.0|2.89|0.000241|2.47|0.000104|-0.03702|4.81|3.9105|630.26|1041.21|317.05|444.0|541.33|0.51842|0.70058|-0.16212|3.0607|-0.19914|0.04825999|-1465.359325|4.6746|6.8861|6.8861
12an_a36|1|3.489959714|0.0|0|7.412764017000001|2|0.0|-0.05423417|-0.0070293469999999|-0.046532211|2|0.042739018|0.0966393909999999|-0.407702102|-0.131674913|-0.031635802|1|0.003710345|1|-0.055405405|0.855081905|-0.105145528|-49.67568778|-71.0446809|11.69727417|82.43567331|0.163559846|-0.036995649|7.903608682000001|-1.997765039|-33.56484523|81.70091433|61.37296195|565.1654879|-1349.848937|2399.367452|8.773001855|0.8042935809999999|6162.848939|146.2760938|0.015771136|1722.817107|0.0|1.0|4.85|0.17|17.0|3.33|2.51|1.0|135.47|0.0|1.0|6.0|-4.85|31.0|4.0|-6.64|427.52|0.0|0.0|0.0|2.33|3.09e-05|3.19|3.83e-05|-0.05561|3.37|3.7872|718.98|1215.98|327.38|0.6702|571.76|0.44822|0.69094|-0.15474|4.3963|-0.21035|0.0345115999999999|-1670.244686|6.2182|7.3979|7.3979
3b_a49|0|0.0|0.0|1|7.535296702|1|2.104186262|-0.003115526|-0.0057605869999999|-0.055724324|2|0.034155556|-0.090939066|-0.322592863|-0.010613212|0.00361222|1|0.001356445|2|0.006213385|0.749565191|-0.0846496|-54.04959517|-51.77986692|8.304484449|325.6896751|0.250895642|-0.0276739079999999|5.07982433|-1.439043207|-33.06194987|64.91785551|62.35407961|458.224537|-880.2577376|1796.6760370000002|7.236413572000001|0.914182753|5934.158315|209.89391040000004|0.021477952|1340.087338|1.0|1.0|3.37|0.22|21.0|3.16|1.25|1.0|116.94|0.0|1.0|6.0|-3.53|30.0|5.0|-7.42|398.46|0.0|0.0|1.0|2.38|0.000256|1.84|1.05e-05|-0.06115|3.4|3.8418|664.15|1132.92|322.72|0.1978|480.08|0.5798|0.6632|-0.1587|3.0055|-0.21985|0.0368692|-1293.106236|3.1637|7.6021|7.6021
12al_a36|1|3.469383582|0.0|0|7.412764017000001|2|0.0|-0.06777947|-0.008463062|-0.04314418|2|0.042739018|0.1030147719999999|-0.4908576189999999|-0.074215038|-0.031635802|1|0.003077071|1|-0.055405405|0.84179881|-0.105915949|-51.22331485|-69.69632923|17.71943397|114.2305891|0.198820783|-0.035305316|11.65999569|-1.906487074|-33.70669917|86.77628559|68.94274882|527.2034213000001|-1254.533926|2244.88081|8.774664332|0.841133748|6049.668466|216.4375922|0.025956027|1869.412355|0.0|0.0|4.81|0.17|17.0|2.77|1.72|1.0|130.24|0.0|1.0|6.0|-3.95|31.0|5.0|-6.93|411.46|0.0|0.0|0.0|1.81|8.499999999999999e-05|2.65|8.340000000000001e-05|-0.04998|2.92|3.5511|702.95|1181.84|349.14|0.4466|554.23|0.6945399999999999|0.70417|-0.14558|6.4473|-0.1955599999999999|0.03469224|-1347.257936|8.1781|7.3188|7.3188
4S4k_a46|0|0.0|0.173180233|1|7.825245291|1|2.145043462|-0.050636784|-0.0049602|-0.088084767|1|0.0510113959999999|-0.104665424|-0.252970193|-0.1149361969999999|-0.1032662209999999|1|0.006050983|1|-0.141706595|0.784722915|-0.0860536609999999|-47.49082053|-45.61628327|4.1078333030000005|172.7607401|0.1082655419999999|-0.030477338|2.177526049|-1.46291223|-25.17446332|49.42345536|51.59865384|472.7005375|-775.4768155|1729.18312|5.523352655|0.858684076|4719.2906570000005|70.01975807|0.007182108|893.4991504000001|1.0|0.0|3.8|0.33|17.0|4.26|2.84|1.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|-5.46|333.43|0.0|1.0|1.0|3.79|1.4800000000000002e-05|4.05|8.28e-05|-0.02074|4.52|4.0774|566.82|997.07|304.07|0.2623|487.43|0.5716|0.67893|-0.17396|2.2655|-0.1947|0.02628818|-1053.255345|2.5693|6.7055|6.7055
8e_a8|1|3.01599663|0.0|1|7.05012252|0|1.311619189|-0.018155171|-0.010579355|-0.205927741|0|0.0427891159999999|-0.000766016|-0.539547088|-0.102167262|-0.051339286|1|-0.004224671|0|-0.079493088|0.636205913|-0.105450888|-70.49962428|-64.32539698|12.87136047|106.0087621|0.338509724|-0.04393787|7.851573274|-2.109017754|-43.00500847|75.57562034|83.37098475|403.5112981|-1286.50794|2080.07805|7.50719734|0.935150832|6095.6213210000005|119.9832494|0.0184428869999999|1601.514194|0.0|1.0|3.2|0.04|23.0|4.33|3.4|2.0|111.81|0.0|1.0|5.0|-5.27|30.0|4.0|-6.14|403.41|0.0|0.0|0.0|3.71|1.25e-05|3.69|6.63e-06|-0.06253|7.22|3.2737|639.38|1090.07|378.73|0.3731|526.86|0.50055|0.7013|-0.13719|6.1505|-0.19972|0.03298991|-1376.766245|7.7951|4.7014|4.7014
17_a20|1|3.445659565|0.0|0|6.842683282|0|0.0|-0.064380628|-0.005457467|0.00038506|3|0.0388043479999999|0.065447136|-0.28924577|0.038629586|-0.072863159|1|0.000922796|3|-0.127696675|0.71987165|-0.081404237|-41.75129828|-53.38406095|9.857999796|66.47074027|0.0879464559999999|-0.0315649079999999|6.4647747870000005|-1.5466805119999998|-27.38007162|64.39681425|51.60929807|598.1153253|-1014.297158|2210.790304|8.198616089|0.83582343|6012.640572|161.12498630000002|0.016793117|1344.679757|1.0|1.0|3.5|0.08|27.0|5.8|1.45|2.0|119.48|0.0|0.0|4.0|-5.36|31.0|5.0|-6.09|402.45|0.0|0.0|1.0|3.74|8.35e-06|3.75|2.9e-08|-0.0706799999999999|4.11|3.3926|673.68|1157.26|365.45|0.2977|543.09|0.69839|0.69839|-0.14021|3.9703|-0.21089|0.03030655|-1291.752049|5.3075|5.6478|5.6478
27b_a34|0|0.0|0.0|1|7.412764017000001|1|2.013418486|-0.056026127|-0.010183855|-0.016803292|1|0.042739018|-0.106245942|-0.549928192|-0.029622037|-0.027175221|1|0.001228116|1|-0.047542374|0.770240631|-0.109683855|-57.66200309|-72.21552354|20.42417736|150.83624440000003|0.2165682119999999|-0.037292511|13.44721755|-1.864625537|-37.9644911|87.24055613|78.08618045|515.8091561000001|-1227.6639|2431.595232|9.124440695|0.687123753|6032.666081|189.4124225|0.022820627|1723.489976|1.0|1.0|3.54|0.12|23.0|3.94|1.83|2.0|116.33|0.0|1.0|5.0|-5.23|31.0|5.0|-6.14|409.44|0.0|0.0|1.0|3.46|1.1e-05|3.75|2.67e-06|-0.04121|4.33|4.0935|691.97|1174.68|302.88|0.3621|577.39|0.47412|0.70001|-0.1652799999999999|11.8546|-0.20649|0.03640275|-1349.873325|15.2147|6.1871|6.1871
17_a3|0|0.0|0.0|0|6.823286122000001|0|0.0|0.188373421|-0.009450704|-0.118246266|2|0.047430556|-0.015463451|-0.349676046|-0.041723219|-0.0510707059999999|1|-0.006696449|2|-0.085686119|0.773152968|-0.096067661|-50.20132919|-48.88298017|5.251911643|234.4907116|0.1969243769999999|-0.039557272|2.672377884|-1.344947254|-25.54439812|55.39769571|55.45324083|408.6362608|-684.3617224|1667.279771|6.2477303310000005|0.780420408|4839.543958|81.38261354|0.012803096|814.6560331000001|1.0|1.0|3.13|0.0|21.0|4.96|2.37|1.0|95.5|0.0|1.0|2.0|-5.53|23.0|3.0|-5.61|338.81|0.0|0.0|1.0|3.71|1.18e-05|3.88|1.11e-05|-0.0720399999999999|3.57|3.2102|537.32|891.3|386.22|0.4062|393.58|0.69481|0.69481|-0.13155|3.8077|-0.20359|0.02878063|-1731.663157|4.8815|7.6383|7.6383
15b_a10|0|0.0|0.0|1|7.535296702|1|2.145379897|-0.197213588|-0.002413027|0.024214591|2|0.033219955|-0.111812184|-0.149607679|-0.082365722|-0.058911857|1|0.011928706|2|-0.104250125|0.7199249390000001|-0.07358373|-31.76194123|-50.44100799|10.94939968|43.96642219|0.078081026|-0.024105015|7.505718446|-1.398090862|-21.77253505|62.53159836|42.7113409|631.9674549|-958.3791518|2603.829652|6.6940006620000005|0.706711759|6105.426726|226.0501037|0.017637846|1429.912176|1.0|1.0|3.61|0.32|21.0|4.34|2.14|1.0|123.73|0.0|1.0|7.0|-4.35|31.0|5.0|-6.34|413.51|0.0|1.0|0.0|3.66|2.28e-05|3.49|2.73e-06|-0.04734|2.74|3.7625|721.17|1231.3|329.52|0.3575|587.53|0.46711|0.68906|-0.15579|4.7752|-0.20313|0.02977516|-1317.4913390000002|6.1384|7.0706|7.0706
