molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|n6HRing|JGI4|MATS7i|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|FNSA3|FNSA5|PBF|RNCS|WNSA5|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
21_a47|0.0|0|1|1|0.0|1|6.86171134|0|1.408713027|1.2247108|0.072733799|2|0.037801932|-0.034419528|-0.004063946|0.057225853|1|1|-0.004332497|-0.277479519|-0.5406500129999999|0.612295986|0.826796636|-0.080213904|0.0927058819999999|0.8856299320000001|-0.082614966|-0.095249919|0.3188717339999999|34.75044485|-30.34731959|0.6448452960000001|70.10126935|-19.11612865|59.46768095|0.463113582|2691.697803|398.4031618|-860.2257893999999|1402.202743|-10.79015808|7.071346534|13.17102891|6103.311635|29.64451905|0.028943339|-163.5167523|482.9384172|0.0|1.0|2.0|3.32|21.0|-7.7|2.94|2.97|1.0|0.0|104.49|6.0|-6.58|394.38|0.0|3.43|3.6e-05|0.0142|0.0191|3.0|1.98e-08|7.8e-06|-0.06339|3917.0|-1375.061089|-1375.028093|583.37|1014.33|316.53|0.2249|316.53|441.93|0.68296|0.2249|-0.16158|3.6767|-0.2249699999999999|5.0|8.3|8.3
6_a15|0.0|0|0|0|0.0|0|0.0|0|1.419941278|0.0|-0.199979249|1|0.042926829|0.106485923|0.011857945|-0.009025163|0|0|0.003942615|-0.281352401|-0.35221474|0.8511056929999999|0.691316481|0.0371776429999999|-0.015484797|0.7248900659999999|-0.07051817|-0.123000073|0.398681391|105.4415725|-41.87249058|0.581974721|88.94853813|-17.94143141|58.34873264|0.3902945579999999|2454.904173|501.3728188|-932.9544335|1971.005637|-10.46812265|6.110075236|10.02135591|5589.043165|30.82854077|0.029449813|-95.65807914|592.4420375|1.0|1.0|1.0|4.03|18.0|-7.95|4.43|2.18|2.0|0.0|109.7|5.0|-5.33|380.44|0.0|4.11|2.16e-06|0.000823|0.00278|4.64|1.13e-08|4.3e-06|-0.02419|4.3423|-1263.0243449999998|-1263.0072300000002|612.22|1092.02|328.9|0.2616|285.52|545.21|0.70554|0.0113|-0.15714|1.3789|-0.18133|35.0|7.4559|7.4559
18b_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604987149|0.0|0.036563014|2|0.041767677|-0.039831247|0.016709918|-0.051413084|1|1|0.0036417359999999|-0.090115975|-0.45633339|0.80330079|0.822401103|0.022695194|-0.089945913|0.8839272779999999|-0.078751666|-0.09536285|0.413791511|77.65678625|-41.72392601|0.759715688|75.30642440000001|-23.96987622|65.24093056|0.424912258|2915.383182|575.0330633|-1198.493811|3057.267112|-15.85509189|7.513189589|13.0644231|6387.715069|31.55111394|0.0184861069999999|-343.5825913|666.0036144999999|1.0|0.0|1.0|0.0|17.0|-6.7|3.87|2.17|2.0|0.0|131.99|5.0|-6.33|423.49|0.0|2.42|3.23e-06|0.00137|0.0066599999999999|3.59|2e-07|8.47e-05|-0.06142|3.5256|-1668.034279|-1667.995173|697.37|1178.08|351.66|0.3576|351.66|563.55|0.67715|0.3576|-0.14385|4.8198|-0.2052699999999999|25.0|7.6003|7.6003
5_a47|0.0|0|0|0|0.0|0|0.0|0|1.304329328|0.0|0.019688132|2|0.037492877|0.003858593|-0.002627182|0.045246333|0|0|-0.011237954|-0.0428873159999999|-0.454659897|0.7063295709999999|0.795032176|0.065981732|0.0743193|0.861595935|-0.087763105|-0.1001981959999999|0.526509524|104.9032216|-27.93318665|0.781571204|62.14504725|-20.34777119|51.58499074|0.4736061789999999|2368.870941|426.5981263000001|-793.5630764|1349.003107|-10.74353333|5.861037845|11.13432113|5501.708422|26.03444329|0.017501741|-297.3367046|416.1194472|1.0|1.0|2.0|2.79|22.0|-8.68|4.73|3.26|2.0|0.0|101.51|4.0|-5.19|365.79|1.0|4.29|2.25e-06|0.000824|0.00116|4.7|2.07e-09|7.590000000000001e-07|-0.05535|3.7083|-1569.369195|-1569.333281|561.61|951.68|334.35|0.2108|334.35|401.16|0.69291|0.2108|-0.15419|2.9121|-0.20954|0.02|7.7|7.7
14ae_a23|0.0|0|1|1|0.0|2|7.423568444|0|1.1979624290000002|3.338149829|-0.033049777|2|0.042903564|0.026913008|-0.0174992419999999|0.0289586779999999|2|2|0.009675528|-0.253318853|-0.363230717|0.7763406840000001|0.7830067820000001|0.107765697|0.0469453379999999|0.8356326820000001|-0.065169397|-0.087074783|0.202342743|111.4422142|-44.69687612|0.53040766|87.09501229|-19.28284095|71.53368511|0.479058976|3212.850883|625.0131414|-1060.556252|2575.36078|-13.81539807|8.123993885|15.59484379|7308.981869|36.35475577|0.034488074|-43.57178809|770.8206617000001|0.0|0.0|1.0|3.76|26.0|-7.6|3.48|2.42|2.0|1.0|133.27|6.0|-6.68|471.53|0.0|3.44|1.6e-06|0.000753|0.0038799999999999|3.52|2.49e-08|1.17e-05|-0.07122|3.6036|-1858.967022|-1858.952529|751.57|1285.52|344.06|0.3205|344.06|627.57|0.58144|0.3205|-0.14537|7.0211|-0.21659|2.0|8.6038|8.6038
36_a18|0.0|0|0|0|0.0|0|7.03438793|2|1.25117638|0.0|0.050448408|1|0.036625514|-0.05224259|-0.0077246719999999|0.003321395|0|0|0.000825855|-0.12139648|-0.493920601|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.780206307|-0.07777765|-0.079805761|0.3847791889999999|110.8288932|-40.46339026|0.812056067|65.59412783|-22.73046122|62.10402945|0.4751830729999999|2979.013751|572.70209|-1477.479979|1547.485543|-16.1853561|9.560644525|18.21710397|6799.65027|27.99124609|0.0123136069999999|-444.4026478999999|975.4099618|1.0|1.0|3.0|0.0|18.0|-9.16|3.73|3.13|2.0|1.0|146.24|3.0|-6.18|466.57|0.0|2.8|2.09e-06|0.000975|0.00242|4.18|6.87e-10|3.210000000000001e-07|-0.04991|3.1908|-1493.686737|-1493.661092|769.73|1350.57|388.57|0.4674|388.57|636.33|0.69372|0.4674|-0.13133|1.9944|-0.18124|32.0|7.4949|7.4949
11c_a5|0.0|1|0|0|0.0|0|6.605297921|0|1.427567332|0.0|-0.2117133739999999|2|0.027388889|-0.0859098|-0.059682527|-0.023856811|1|1|0.005383056|-0.018887528|-0.269653478|0.679183645|0.8020105409999999|0.030085871|-0.044126759|0.86113162|-0.078909483|-0.0873419269999999|0.389427402|31.61751609|-32.31269264|0.707039635|66.02857181|-19.63310772|58.854300300000006|0.448016491|2497.685314|489.4652669|-903.1229552|926.234805|-11.94164728|8.88462927|16.09582374|5202.741647999999|27.76804404|0.021214793|-251.8596984|523.8031619|1.0|1.0|1.0|2.14|23.0|-8.47|4.79|1.13|1.0|0.0|106.79|5.0|-6.59|370.4|0.0|3.0|7.38e-05|0.0273|0.0294|2.78|3.4000000000000003e-09|1.26e-06|-0.04315|4.5035|-1218.492067|-1218.454079|636.14|1071.71|294.59|0.5327|275.3|512.32|0.6267699999999999|0.2186|-0.1713299999999999|2.5278|-0.21448|25.0|7.6021|7.6021
18a_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604987543|0.0|0.045071414|2|0.040166667|-0.041327798|-0.01286191|-0.094932667|1|1|0.005458948|-0.094526372|-0.452377064|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.842671963|-0.072474599|-0.095397479|0.294303776|79.18861306|-36.97308547|0.7904991659999999|69.35818061|-23.02866795|55.73981304|0.445995681|2721.874248|534.88346|-1128.40473|2814.429655|-14.33650253|7.050626413|12.72666325|5942.293347|29.1318055|0.016012295|-361.7006453|620.9195447000001|1.0|0.0|1.0|0.0|17.0|-6.64|3.84|2.82|2.0|0.0|127.28|4.0|-5.98|398.48|0.0|2.63|5.23e-06|0.00208|0.0056|3.87|2.3100000000000002e-07|9.21e-05|-0.05605|3.4712|-1575.786909|-1575.755101|665.12|1120.46|357.18|0.3781|357.18|508.08|0.69033|0.3781|-0.1418|4.2514|-0.19785|25.0|7.6108|7.6108
4d_a49|0.0|0|0|0|0.0|1|7.535296702|1|1.343847746|2.097463308|-0.06085453|2|0.036555556|-0.090862681|-0.053327669|0.013451218|1|1|0.001356445|0.000850823|-0.417231241|0.7745859279999999|0.783870915|-0.008564167|0.023137464|0.834151595|-0.089942837|-0.085966608|0.410804214|85.21839288|-32.61868996|0.654728051|66.51766234|-17.31186002|63.79609555|0.470013152|2658.242991|463.6097566000001|-900.2167208999999|1640.195062|-10.66380249|7.998287218|15.09148245|5915.214567|26.44129877|0.022019681|-190.6195379|641.1445234|0.0|1.0|2.0|2.68|21.0|-7.58|3.16|1.25|1.0|0.0|115.63|5.0|-7.7|398.46|0.0|2.27|0.000743|296.0|0.18|1.45|2.64e-08|1.05e-05|-0.06309|5.7447|-1293.333712|-1293.29417|668.09|1144.04|325.87|0.2549|215.82|495.7|0.6782100000000001|0.0879|-0.15888|4.3005|-0.2219699999999999|18.0|7.7447|7.7447
12r_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604984545|0.0|-0.015167821|2|0.043383838|-0.093079817|-0.0682882559999999|-0.0646674999999999|1|1|-0.001131023|-0.145315868|-0.44083509|0.609043558|0.83236194|-0.007140234|-0.105767484|0.889479916|-0.090229387|-0.109990462|0.451652492|90.4724548|-45.9515743|0.790065337|82.06195604|-26.11584816|70.6903535|0.464481911|2976.944611|465.8474777|-1279.67656|2433.580273|-16.88017015|7.467190577999999|13.94386247|6735.090739|33.05530181|0.016970201|-374.9717191|616.2856203|1.0|0.0|1.0|0.0|17.0|-7.16|4.67|3.58|2.0|0.0|127.19|6.0|-6.06|434.46|0.0|3.21|3.24e-06|0.00141|0.00291|4.07|6.900000000000002e-08|3e-05|-0.05244|5067.0|-1774.236548|-1774.2026670000002|679.64|1141.54|353.12|0.1908|244.69|516.03|0.68476|0.1522|-0.14894|5.2021|-0.20138|29.0|7.5317|7.5317
5_a15|0.0|0|0|0|0.0|0|0.0|0|1.419941043|0.0|-0.222657379|2|0.035982906|0.0729170329999999|-0.0156037999999999|0.0118220069999999|0|0|0.003194793|-0.28098676|-0.340979744|0.8384601770000001|0.704479781|0.092692253|0.020920163|0.74438723|-0.06128567|-0.0989946469999999|0.743577162|119.95308020000002|-54.73655332|0.5089899720000001|100.6631306|-20.30656983|69.82487767|0.486150431|2940.77098|649.9369163|-1177.78105|2179.757502|-15.09973885|7.795174584|15.1701491|6656.720346|39.89581513|0.036380071|-13.36968593|779.0599798999999|1.0|1.0|1.0|3.68|24.0|-9.65|4.92|2.0|3.0|0.0|127.97|6.0|-5.55|443.49|1.0|4.29|6.86e-07|0.000304|0.000967|4.86|2.25e-10|9.970000000000001e-08|-0.03714|4.3299|-1470.816175|-1470.779775|737.16|1272.84|341.96|291.0|286.35|629.67|0.70244|0.0199|-0.14839|4.3576|-0.18553|13.0|7.8861|7.8861
34_a47|0.0|0|1|1|0.0|1|6.842683282|0|1.40499556|1.883479676|-0.210257395|3|0.03522792|-0.094313757|-0.043634386|0.078153957|1|1|0.0047106|-0.317014709|-0.2829549719999999|0.62974551|0.833786184|0.046668352|0.128336294|0.89234354|-0.061957581|-0.090141168|0.437215023|31.17423189|-27.64315244|0.653993216|62.66739933|-16.25230464|45.23285281|0.45489212|2371.236125|457.4477611|-698.8490993|918.6458674|-9.000096143|7.066583143|12.96364153|5105.274301|24.85087647|0.023023142|-170.55473480000003|439.9906467|1.0|1.0|1.0|3.0|21.0|-7.47|3.34|1.75|0.0|0.0|99.09|5.0|-6.66|348.38|0.0|3.02|0.000267|0.0929|0.0436|2.49|3.36e-08|1.17e-05|-0.0545|4.2077|-1162.4815230000002|-1162.450678|585.79|980.02|318.79|0.2309|294.66|436.88|0.69314|0.1718|-0.16086|4.4605|-0.21536|2.0|8.7|8.7
11b_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|0.610137403|0.0|0.078614731|0|0.043380952|-0.078907688|-0.1488994619999999|-0.046362952|2|2|-0.010716217|-0.16780872|-0.564706551|0.833717183|0.834596039|0.067031897|-0.074254978|0.889561759|-0.143839236|-0.148709304|0.26165445|286.7721447|-46.10900197|0.669723835|100.3071755|-24.84180719|101.1192111|0.473305522|2410.572158|303.7286124|-993.6722875|1756.711832|-13.83270059|6.83089364|12.96936635|5202.545866|37.09261324|0.0314298879999999|-189.0151528|397.3137532|1.0|0.0|2.0|2.29|16.0|-5.45|4.67|0.79|1.0|0.0|92.51|6.0|-6.73|357.38|0.0|2.69|1.82e-05|0.00649|0.0637|2.46|3.59e-06|0.00128|-0.03574|3.8437|-1520.085181|-1520.0430279999998|589.56|969.71|322.57|0.2634|322.57|479.66|0.70073|0.2634|-0.15936|3.2104|-0.1951|0.53|6.2757|6.2757
14x_a23|0.0|0|1|1|0.0|2|7.423568444|0|1.197963189|3.101221922|0.0944818319999999|2|0.04314059|0.05740118|-0.075184011|-0.0229244|2|2|0.003906274|-0.206574435|-0.443633823|0.5788469970000001|0.802520527|-0.035031888|-0.035965909|0.8668730109999999|-0.0708831479999999|-0.084244058|0.229141189|42.44114495|-37.00022522|0.722211323|70.40248829|-22.56979253|61.61945314|0.468120981|3071.48868|514.8229467|-1060.780249|2382.851643|-14.95753786|7.777802167999999|14.62325432|6989.569075|31.25095356|0.0219879679999999|-294.5294492|597.2903597999999|0.0|0.0|1.0|3.42|26.0|-7.93|4.2|3.78|2.0|1.0|120.2|6.0|-6.35|447.46|0.0|4.06|2.09e-06|0.0009369999999999|0.00242|3.78|1.17e-08|5.23e-06|-0.08216|4.0641|-1828.393372|-1828.371718|675.21|1149.42|335.63|0.3184|305.07|537.48|0.62836|0.3057|-0.15259|5.7933|-0.23475|3.0|8.4949|8.4949
14ac_a23|0.0|0|1|1|-9.994971573|2|7.423568444|0|1.1979507740000002|2.7104403130000003|0.0763230759999999|2|0.048351548|0.016532702|0.0518788009999999|0.043387326|2|2|-0.004445662|-0.287952039|-0.562985112|0.5562570379999999|0.7797862459999999|0.1374474|0.054652466|0.834426845|-0.0883661019999999|-0.097100967|0.300389872|57.45545019|-55.36344264|0.8077820920000001|87.75911516|-33.20157553|79.43449928|0.489147172|3695.344378|703.0989434999999|-1759.6835030000002|3417.45156|-25.07023818|8.122941134|15.90074614|9203.543798|41.10214358|0.019122137|-464.8074813999999|718.3324686000001|1.0|0.0|1.0|3.34|26.0|-9.03|5.52|4.6|2.0|1.0|130.29|10.0|-5.84|547.48|1.0|5.43|4.92e-08|2.69e-05|0.000123|5.35|9.25e-10|5.06e-07|-0.08813|4.0014|-2304.001319|-2303.9786940000004|751.54|1285.58|341.32|0.3209|309.85|627.76|0.69962|0.2391|-0.15055|6.3004|-0.23868|4.0|8.3851|8.3851
12n_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604984682|0.0|0.0304762079999999|2|0.040899471|-0.1144447669999999|-0.037209579|-0.087019298|1|1|0.002064369|-0.120380857|-0.464204099|0.669561738|0.815003426|-0.015189554|-0.149451598|0.870930234|-0.083120674|-0.10528124|0.390449649|85.87072848|-41.97990569|0.799403208|76.16725916|-24.42151771|63.2630417|0.4701566479999999|2848.910641|491.3700419|-1196.654368|2349.172094|-15.42118984|7.385790169|13.93957316|6353.890039|30.54968688|0.0153398069999999|-378.1217671|618.6004214|1.0|0.0|1.0|0.0|17.0|-6.9|4.25|3.2|2.0|0.0|127.24|5.0|-6.02|416.47|0.0|2.92|4.12e-06|0.00171|0.00405|3.97|1.26e-07|5.260000000000001e-05|-0.05076|5.1999|-1675.011418|-1674.978015|669.57|1131.65|355.67|0.1826|238.43|506.94|0.6854|0.1489|-148.0|5.3143|-0.19876|0.01|7983.0|7983.0
25d_a34|0.0|0|0|0|0.0|1|7.412764017000001|1|1.433689841|1.940324546|0.128783829|1|0.041037037|-0.163072107|-0.1266965|0.00670464|1|1|-0.001685762|-0.342090037|-0.605891389|0.8265507809999999|0.7498681140000001|0.14554928|0.011919831|0.799694715|-0.100582621|-0.124111479|0.631894475|174.9700398|-54.29641443|0.7772035959999999|95.24066462|-29.42857839|85.89233572|0.478308897|2939.671168|445.9861716|-1559.714654|2564.887803|-19.46475234|6.933980884|13.29135354|6513.063805|37.86469665|0.019881997|-366.6979266|673.8038326000001|1.0|1.0|2.0|3.76|23.0|-8.08|3.05|2.26|1.0|0.0|119.81|5.0|-6.74|427.46|0.0|3.21|2.44e-05|0.0104|0.0141|3.05|8.26e-09|3.53e-06|-0.03521|4.2732|-1426.496796|-1426.468726|706.21|1198.19|290.15|0.2106|290.15|554.05|0.6764600000000001|0.2106|-0.1771299999999999|6.1995|-0.21234|0.95|6.0223|6.0223
4c_a49|0.0|0|0|0|0.0|1|7.535296702|1|1.343847672|2.102052126|-0.048954892|2|0.03583878|-0.099764463|-0.102999091|0.006194124|1|1|0.00202792|-0.001647802|-0.412652341|0.7745214140000001|0.7796063109999999|-0.052237757|0.010868461|0.826523164|-0.087753156|-0.086290519|0.407675441|82.02101639|-35.82016427|0.724053828|66.77901229|-19.20596967|64.32113331|0.473304159|2719.702873|490.6910965|-1056.328332|1683.872161|-12.37423857|8.474369008|16.089682800000002|6046.668361|26.5256103|0.0173567219999999|-288.71184960000005|707.2397315000001|1.0|1.0|2.0|2.97|21.0|-7.97|3.55|1.47|1.0|0.0|120.43|5.0|-7.53|412.49|0.0|2.6|0.000314|0.13|109.0|1.81|1.07e-08|4.4e-06|-0.0623299999999999|5.74|-1332.647233|-1332.607539|705.55|1199.04|325.7|0.2411|216.0|533.87|0.67789|0.0821|-0.15925|3.4931|-0.22158|255.0|6.5935|6.5935
14b_a25|0.0|0|0|0|0.0|1|6.842683282|0|1.420015222|1.616664856|-0.091382738|2|0.038137255|0.001683506|-0.012989126|0.0009956189999999|1|1|0.004892038|-0.074541111|-0.3691494039999999|0.6524261960000001|0.7723870909999999|-0.085205646|0.001715854|0.8333962429999999|-0.076156512|-0.084160084|0.329662946|112.49583529999998|-40.37825712|0.772789587|69.2012501|-22.67004596|63.83568179|0.490638154|3038.600508|595.4307570000001|-1224.182482|2118.281186|-15.70265555|8.690235527|17.06102567|6760.594953|29.33534086|0.015746299|-377.9013888|760.3735147000001|1.0|1.0|1.0|3.21|27.0|-9.65|4.48|1.8|2.0|0.0|130.97|5.0|-6.26|444.49|0.0|3.63|2.49e-06|0.0011099999999999|0.00261|3.88|2.23e-10|9.93e-08|-0.0584|5.4239|-1444.544749|-1444.505985|716.14|1257.11|304.7|0.3614|228.59|603.27|0.64983|0.0006|-0.16309|2.7037|-0.22149|22.0|7.6576|7.6576
12a_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604984824|0.0|0.033691224|2|0.040166667|-0.096804291|0.009586623|-0.094932667|1|1|0.005458948|-0.094526372|-0.454270252|0.8421237309999999|0.7885597609999999|-0.031179517|-0.171895425|0.842671963|-0.07699057|-0.097138462|0.337975309|85.47365107|-37.34272719|0.805190202|69.45678454|-23.35372432|57.83766054|0.469799116|2722.217443|518.4718832|-1144.332492|2256.680391|-14.47983299|7.362386058999999|13.88603128|5936.682602000001|29.00398472|0.014884556|-378.4495438|620.9195447000001|1.0|0.0|1.0|0.0|17.0|-6.64|3.84|2.82|2.0|0.0|127.28|4.0|-5.98|398.48|0.0|2.63|5.23e-06|0.00208|0.0056|3.87|2.3100000000000002e-07|9.21e-05|-0.05184|5045.0|-1575.7783980000002|-1575.745502|668.81|1122.01|355.41|0.1866|245.76|507.17|0.68599|0.1511|-0.1481|4.1875|-0.19994|11.0|7.9469|7.9469
4o_a46|0.0|0|0|0|0.160026534|1|7.825245291|1|1.13463699|2.138144369|-0.24479566|1|0.043320988|-0.2363624889999999|-0.203025042|-0.06855792|1|1|0.010144781|-0.028735607|-0.096073163|0.626333846|0.7699448320000001|-0.121466731|-0.09492635|0.8176134690000001|-0.0648126359999999|-0.06570509|0.372146122|5.821925821000001|-19.76117845|0.7510206490000001|42.00638612|-12.01115223|40.87645867|0.460981009|2195.436986|521.3931342|-576.535307|1705.3950960000002|-6.587059484|5.527567399|10.25486577|4966.476822|15.99310518|0.0108913189999999|-275.3254498|544.7877262000001|1.0|0.0|0.0|3.12|17.0|-7.26|4.77|2.72|1.0|0.0|103.66|3.0|-5.51|342.44|0.0|3.92|1.23e-05|0.00422|0.0045899999999999|4.06|5.5e-08|1.88e-05|-0.04627|4.3255|-1070.456878|-1070.428722|581.59|1022.29|286.64|0.1598|286.64|501.08|0.6843|0.1598|-0.18282|3.4494|-0.22909|162.0|6.7905|6.7905
2_a49|0.0|0|0|0|0.0|1|7.535296702|1|1.3438506419999998|2.12788659|-0.084499704|2|0.038726287|-0.100166139|-0.041202373|0.005918367|1|1|0.004580676|0.055400364|-0.320124905|0.802447754|0.79056501|0.084099874|0.00991453|0.851413454|-0.08647612|-0.079176085|0.41397907|226.4450566|-20.55997527|0.7154059890000001|49.26352575|-14.409545199999998|49.7010488|0.454163307|2244.518609|414.5350312|-605.2008985|1550.010086|-7.34284831|5.667936413|10.38394173|4874.364109|20.14177325|0.017498253|-219.534132|439.9973344|0.0|1.0|1.0|2.5|21.0|-6.82|3.28|1.88|0.0|1.0|99.52|3.0|-6.57|327.38|0.0|2.76|0.000292|0.0955|0.0421|2.43|1.51e-07|4.94e-05|-0.04372|5.4614|-1046.018455|-1045.981819|553.52|941.6|331.24|0.2988|227.02|371.96|0.68172|0.0572|-0.1555099999999999|4.8986|-0.19923|59.0|7.2291|7.2291
27b_a34|0.0|0|0|0|0.0|1|7.412764017000001|1|1.4335271040000002|2.013418486|-0.056026127|1|0.042739018|-0.106245942|-0.029622037|-0.027175221|1|1|0.001228116|-0.322091086|-0.463926296|0.820914556|0.7722228729999999|0.00102838|-0.047542374|0.8299950709999999|-0.08757938|-0.109683855|0.3307451819999999|150.83624440000003|-47.54648562|0.712312759|87.24055613|-24.553278|78.08618045|0.4072752529999999|2835.31543|515.8091561000001|-1227.6639|2431.595232|-16.16580511|9.124440695|15.39406063|6032.666081|34.46979951|0.022820627|-279.5721769|627.4287311|1.0|1.0|1.0|3.66|23.0|-8.19|3.94|1.83|2.0|0.0|116.33|5.0|-6.14|409.44|0.0|3.46|5.92e-06|0.00243|0.00449|3.75|6.53e-09|2.67e-06|-0.04121|4.8168|-1350.055377|-1350.018975|691.97|1174.68|302.88|0.3621|257.4|577.39|0.70001|0.0252|-0.1652799999999999|11.8546|-0.20649|0.65|6.1871|6.1871
18_a34|0.0|0|0|0|0.0|1|7.423568444|1|1.4547811819999998|1.801574074|-0.063113846|1|0.040527066|-0.100548575|-0.141332289|-0.136990511|1|1|0.002183342|-0.478810922|-0.493450778|0.759292258|0.805756513|0.0468829359999999|-0.224951558|0.8584852479999999|-0.090328365|-0.129784908|0.295523326|66.6880793|-39.55742812|0.695849945|86.77082535|-23.32844015|72.41862911|0.441058733|2424.18137|380.8328339|-1003.122927|1774.550004|-12.87916264|6.282442545|11.23989749|5296.289007|33.52510165|0.027385869|-216.2496321|428.6241319|1.0|1.0|0.0|3.61|17.0|-5.65|3.13|1.49|1.0|0.0|93.91|6.0|-6.26|351.36|0.0|2.89|4.77e-05|0.0167|0.0275|3.07|2.22e-06|0.000781|-0.03925|4.4335|-1199.288654|-1199.259634|592.04|991.93|300.68|0.3525|279.66|483.87|0.60488|0.0303|-0.17549|5.0935|-0.21474|2.43|5.6144|5.6144
47n_a18|0.0|0|0|0|0.0|0|7.03438793|1|1.251175627|0.0|0.0487694459999999|0|0.032169312|0.017491759|-0.003276575|-0.048404296|0|0|0.001705837|-0.258092915|-0.529441732|0.722991132|0.696612213|-0.09714337|-0.083719099|0.726888951|-0.079299822|-0.091185806|0.288989992|61.29571241|-62.09468789|0.783921929|86.44740177|-26.38541222|74.19865731|0.482565384|3349.802294|653.9193397999999|-2031.676741|2052.393389|-21.77346199|10.43689152|20.17045476|7909.580851999999|33.65821422|0.01357247|-468.58948260000005|1306.125688|1.0|1.0|3.0|0.0|18.0|-9.76|3.67|2.72|3.0|1.0|162.18|4.0|-6.68|539.67|0.0|2.76|9.48e-07|0.000511|0.00308|4.1|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|3.2028|-1743.3283440000002|-1743.299948|879.92|1565.37|387.11|0.5056|387.11|799.02|0.6914600000000001|0.5056|-0.13138|2.4754|-0.18391|64.0|7.1938|7.1938
8e_a12|0.0|0|1|1|0.0|1|6.803505258|1|1.283834633|1.873617728|0.050021617|2|0.037430556|0.0661362779999999|-0.087658302|-0.0309579439999999|1|1|0.005744805|-0.136145064|-0.448676455|0.83954453|0.761892879|-0.036433876|-0.051240735|0.815412281|-0.05202522|-0.087795345|0.001151979|51.38557748|-28.78776717|0.7112578709999999|61.4656313|-17.80522313|38.67488258|0.45384745|2548.979738|538.051884|-854.6507103|2112.908299|-10.19566754|6.446557205|11.80358346|5490.975165|25.03342862|0.019545275|-241.94192880000003|561.9859171|1.0|1.0|1.0|3.01|21.0|-7.93|3.34|3.05|2.0|0.0|117.04|4.0|-6.03|366.42|0.0|3.12|4.25e-05|0.0156|0.00744|3.53|1.19e-08|4.34e-06|-0.05739|5.247999999999999|-1177.619013|-1177.593205|612.59|1048.44|375.21|0.2341|236.25|481.04|0.6954899999999999|0.2252|-0.13599|1.0295|-0.19338|588.0|6.2306|6.2306
12j_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604984421|0.0|0.04148877|2|0.043848238|-0.02473642|0.0074730759999999|-0.075816941|1|1|0.005965451|-0.09353607|-0.456342646|0.8414737059999999|0.795446883|0.0060012969999999|-0.130412856|0.846470093|-0.073909106|-0.094132698|0.328405591|88.51817261|-39.31313154|0.8134611009999999|69.55167701|-23.39729904|57.85371764|0.476658597|2784.7999170000003|544.2686362000001|-1216.65955|2258.891981|-15.12043521|8.067697897|15.41574553|6105.3402670000005|28.76265258|0.01349128|-405.1466163|686.039456|1.0|0.0|1.0|0.0|17.0|-7.01|4.35|3.04|2.0|0.0|132.24|4.0|-5.81|412.51|0.0|2.91|2.21e-06|0.0009119999999999|0.00291|4.23|9.75e-08|4.02e-05|-0.05106|5.1971|-1615.096172|-1615.064152|695.8|1175.75|356.4|0.2163|238.56|549.64|0.68625|0.1516|-0.14772|4.6727|-0.1987799999999999|9.0|8058.0|8058.0
