molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|n6HRing|JGI4|MATS7i|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|FNSA3|FNSA5|PBF|RNCS|WNSA5|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
14f_a23|0.0|0|1|1|0.0|2|7.423568444|0|1.197963246|3.366063739|-0.002304087|2|0.04255787|0.056215377|-0.0555907109999999|-0.041351617|2|2|0.010508236|-0.199540201|-0.399688849|0.756252127|0.796412133|0.070514687|-0.06885759|0.854683662|-0.059927056|-0.084419703|0.2096108239999999|96.47955427|-38.58595734|0.665778294|74.08536976|-21.26277654|58.85981824|0.478733036|3014.916135|604.5178506|-1084.401604|2322.5224120000003|-14.37516058|8.124287407|15.58565565|6768.918745|31.93672236|0.025162423|-224.1560124|683.7405759|0.0|0.0|1.0|3.61|26.0|-7.51|3.42|2.72|2.0|1.0|126.78|5.0|-6.47|441.51|0.0|3.46|2.32e-06|0.0010199999999999|0.0042299999999999|3.55|3.11e-08|1.3699999999999998e-05|-0.07163|5.8184|-1744.452086|-1744.429532|711.98|1210.19|346.78|0.2462|213.09|572.35|0.6733399999999999|0.1699|-0.1458|6.3534|-0.21743|2.0|8.6459|8.6459
12c_a5|0.0|1|0|0|0.0|0|6.605297921|1|1.236775191|0.0|-0.212798523|3|0.0252713179999999|-0.086795626|-0.096073591|0.0072946769999999|1|1|0.00586291|-0.020144382|-0.223631474|0.808899433|0.797601178|0.05430631|0.014673577|0.8446264459999999|-0.070873852|-0.066083881|0.450827114|143.44655559999998|-28.59715492|0.583585895|59.40070647|-14.74941369|57.39441476|0.4609383929999999|2697.345008|553.2961182|-825.9671665|2045.184304|-9.702606135|7.293547043999999|13.53008071|5877.765289|25.27376659|0.024214085|-109.9706106|735.3048881|0.0|1.0|2.0|2.78|23.0|-9.31|5.03|1.57|1.0|0.0|121.26|5.0|-6.79|411.5|0.0|3.31|8.159999999999999e-05|0.0336|0.0191|2.84|4.93e-10|2.03e-07|-0.04565|4.6671|-1316.542713|-1316.5202869999998|694.24|1200.02|309.06|0.1513|265.66|519.21|0.6893600000000001|105.0|-0.16563|3.0135|-0.21128|47.0|7.3279|7.3279
8_a15|0.0|0|0|0|0.0|0|0.0|0|1.419941362|0.0|-0.208657545|1|0.039181287|0.155304204|-0.010146469|-0.014489333|0|0|0.003160815|-0.295062413|-0.342749125|0.85357243|0.7059441040000001|0.0937475619999999|-0.025923166|0.742680335|-0.071552706|-0.118293578|0.381651497|104.8781037|-40.33569847|0.519427411|89.80283608|-16.91650111|61.44071008|0.389723411|2393.276181|498.6196971|-828.9085544|1919.535904|-9.878130237|6.093505548|9.984825987|5306.2234530000005|32.56759415|0.035495625|-22.68867482|532.0914339999999|1.0|1.0|1.0|3.76|18.0|-7.57|3.9|1.96|2.0|0.0|104.74|5.0|-5.52|366.41|0.0|3.76|5.63e-06|0.00206|0.00562|4.24|2.69e-08|9.86e-06|-0.02723|4.4346|-1223.704913|-1223.687714|598.84|1050.15|331.28|251.0|279.58|538.51|0.70524|0.0155|-0.1558|1.1415|-0.18303|108.0|6.9666|6.9666
15_a4|0.0|0|0|0|0.0|1|7.535296702|1|1.399867493|1.956386054|-0.159419214|1|0.044357639|0.0432718859999999|-0.1979518539999999|0.022446689|1|1|0.00918585|-0.038707204|-0.226703465|0.5118792910000001|0.772721853|0.095534883|0.036363636|0.8347553529999999|-0.062151785|-0.073738544|0.2517542889999999|12.70877085|-16.95780525|0.8438913020000001|40.03406565|-14.73400655|35.02894809|0.437696617|1973.978183|416.1168833|-530.4242358|1495.715718|-7.065752187|5.459799482|9.709704127|4134.603400999999|17.45960235|0.009743323|-329.8289177|324.5687005|1.0|0.0|0.0|3.01|17.0|-6.09|4.09|3.05|0.0|0.0|85.06|3.0|-5.6|291.32|0.0|3.61|0.000152|0.0443|0.0151|3.49|8.070000000000001e-07|0.000235|-0.03539|4.5048|-958.270023|-958.251931|512.65|848.47|294.16|0.1996|275.22|396.58|0.56413|0.0969999999999999|-0.17373|2.1603|-0.2091199999999999|175.0|6757.0|6757.0
8c_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|0.610137334|0.0|-0.012583838|0|0.03995098|-0.106461724|-0.1903992189999999|-0.1029580369999999|2|2|-0.004832959|-0.09039853|-0.513257014|0.922486359|0.847752299|0.006000201|-0.1759864119999999|0.896193695|-0.1170607269999999|-0.128067781|0.280934088|133.3100368|-38.96685783|0.72308253|82.77037329|-21.86561502|80.93682766|0.47508938|2251.08563|345.3445134|-918.3558307|1678.6836239999998|-12.06117028|6.820988495|12.99457133|4835.748065|30.23944586|0.021986076|-246.1066271|423.1367008|1.0|1.0|2.0|2.9|16.0|-6.13|4.89|0.85|0.0|0.0|93.45|5.0|-6.7|342.42|0.0|2.83|3.79e-05|13.0|0.0811|2.38|7.45e-07|0.0002549999999999|-0.03222|3.8492|-1426.166503|-1426.129055|595.67|981.89|322.11|0.2597|322.11|475.72|0.7005|0.2597|-0.15985|3.3453|-0.19207|0.81|6.0915|6.0915
1j_a5|0.0|1|0|0|0.0|0|6.605297921|0|1.427567371|0.0|-0.2031633169999999|2|0.025987654|-0.115553003|-0.07622096|-0.032333695|1|1|0.006957291|-0.0178558139999999|-0.2470489089999999|0.74740095|0.7862755770000001|-0.084090414|-0.0614852279999999|0.848473695|-0.073803258|-0.074505844|0.35883584|73.73338699|-21.49609451|0.616489567|54.3827755|-14.64139152|50.21875634|0.469085779|2242.805131|455.0425806|-600.2970524|847.5275797|-7.86442482|7.328149934|13.80288876|4618.562904|23.74961767|0.026739895|-125.1415813|422.96706330000006|1.0|1.0|1.0|2.66|23.0|-8.14|4.5|1.57|0.0|0.0|96.98|4.0|-6.15|328.37|0.0|3.19|9.27e-05|0.0304|0.0206|3.03|7.190000000000001e-09|2.36e-06|-0.03832|4.4331|-1065.849941|-1065.817476|572.47|959.39|300.89|0.5115|279.68|445.81|0.6449|0.1644|-0.16813|2.2503|-0.20645|24.0|7.6198|7.6198
12_a47|0.0|1|1|1|0.0|0|6.605297921|0|1.304330736|0.0|-0.155854903|2|0.036632997|0.001435849|-0.018573056|0.0295267039999999|1|1|-0.004332024|-0.015039637|-0.326846977|0.6505449670000001|0.8288334490000001|0.055943216|0.050943962|0.90246604|-0.084846808|-0.091853238|0.266995634|63.89392714|-24.91541818|0.680723821|61.09751253|-17.76874008|53.5720844|0.4792593739999999|2266.78114|408.3591283|-621.9059029|702.3796319|-9.25429818|7.042279354|13.52358352|4816.005822|26.10271529|0.025457205|-188.2488142|335.1175012|1.0|1.0|2.0|1.67|21.0|-8.11|4.19|2.6|0.0|0.0|91.63|4.0|-5.94|339.75|0.0|3.37|3.11e-05|0.0106|0.00943|3.43|7.69e-09|2.61e-06|-0.0623|4.2907|-1488.101254|-1488.064043|537.79|886.46|313.58|0.2306|288.96|400.09|0.68557|0.2241|-0.1633|2.1019|-0.2256|6.0|8.2|8.2
19l_a38|0.0|1|0|0|0.0|0|7.412764017000001|2|1.297043246|0.0|-0.086107169|2|0.04391253|0.103904811|-0.02967593|-0.032264281|1|1|0.000347207|-0.191751024|-0.4224000739999999|0.723755855|0.839953955|-0.032569307|-0.053823023|0.89459881|-0.079681862|-0.100870929|0.51306986|133.9992534|-42.34617024|0.7374102309999999|79.04689476|-24.20618316|65.82033039|0.430111845|2921.048554|518.0872716|-1307.13389|2934.313773|-15.68376675|6.568874137999999|11.52660233|6705.993411|32.82593886|0.021129331|-307.64756780000005|696.3887025|1.0|0.0|3.0|2.7|17.0|-7.28|4.03|2.75|2.0|0.0|135.78|4.0|-6.39|427.48|0.0|3.22|1.15e-05|0.0049|0.00807|3.55|5.27e-08|2.25e-05|-0.0603299999999999|3.6709|-1409.5865199999998|-1409.557954|660.04|1164.34|369.66|0.2883|337.75|502.31|0.7044|0.0233|-0.13977|6.5627|-0.2001|14.0|7.8633|7.8633
33_a20|0.0|0|0|0|0.0|1|6.842683282|0|1.4175014119999998|1.915285809|-0.188733405|2|0.0388043479999999|0.148855442|-0.061975089|-0.062750442|1|1|0.008780074|-0.060582944|-0.1771816269999999|0.616352201|0.74131936|-0.0854333469999999|-0.10978034|0.802353442|-0.058927252|-0.069838312|0.399354817|8.680600701|-29.9394021|0.759356182|54.60811436|-17.37608867|46.92331405|0.465855239|2737.8873550000003|621.611679|-868.8044333999999|2274.654579|-11.3769728|8.062843544|15.094865900000002|5916.443448|22.88265911|0.013564844|-339.6262863|664.4562602999999|1.0|0.0|0.0|3.59|27.0|-9.69|5.33|2.61|2.0|0.0|121.62|4.0|-5.58|401.46|0.0|4.28|2.48e-06|0.000997|0.0012|4.47|2.04e-10|8.199999999999999e-08|-0.0582899999999999|5443.0|-1275.852801|-1275.823229|689.51|1174.95|318.99|0.6157|227.79|563.98|0.6129|0.0463|-0.15959|3.5714|-0.21788|34.0|7.4685|7.4685
12ab_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|1.297042596|0.0|-0.064515677|2|0.039951691|0.035377607|-0.032623802|-0.029080933|1|1|0.002112069|-0.169341326|-0.4186639029999999|0.86559137|0.831136366|-0.0852411419999999|-0.051707317|0.888163057|-0.079202413|-0.095025338|0.452078227|116.6804416|-45.21303385|0.679025324|82.3666474|-23.06276515|71.2577056|0.484987413|2902.39241|580.1454645|-1245.389318|2390.849902|-15.90828969|7.821826146|15.18764075|6314.697413|33.96451406|0.024384271|-246.9770378|708.5476357999999|1.0|0.0|2.0|0.0|17.0|-7.05|3.14|1.59|1.0|0.0|133.27|5.0|-7.21|420.47|0.0|1.8|0.0001199999999999|0.0503|0.0515|2.33|8.95e-08|3.76e-05|-0.0523799999999999|3.8845|-1364.509957|-1364.468283|712.73|1201.64|319.17|0.4451|319.17|564.58|0.69294|0.4451|-0.15699|3.6976|-0.2093699999999999|11.0|7.9586|7.9586
