molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|n5aRing|AATSC1pe|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
5g_a40|0.0|0|0|0|0.0|0.0|1|0|1|1.534673091|-0.016033575|6.167516491000001|0|-0.0602779129999999|-0.5611751220000001|-0.012794054|0.122088541|2|-0.012008571|0.07917206|0|0.795454476|0.818555255|0.006643696|0.7733200179999999|1|0.67772744|-0.153687065|-0.14338431|0.245639795|0.024937196|-72.93994279|11.83520323|216.425542|152.9506864|-0.049288357|-32.29667648|5.616992201|0.0|0.745349319|593.8133184|-11.10198254|6.193485364|12.10939827|0.955183157|120.8573152|-232.8857705|12.1783403|0.0|0.0|0.0|1.0|3.13|-2.89|2.5|115.96|0.0|1.0|78.2|3.0|3.0|-4.24|-6.6|301.32|0.0|0.0|2.01|5.78e-05|0.0174|0.000426|128.0|2.17|0.0|0.0|0.0013|-0.0540299999999999|4.02|-1328.015099|489.04|800.98|356.27|367.19|0.6563|0.6563|-1327.9345529999998|-1327.982732|6.7957|123.0|6.9101
18b_a25|0.0|0|0|0|0.0|0.0|1|0|0|1.824998189|-0.003259453|4.727387819|2|-0.018632104|-0.189048258|0.006181503|0.014055398|1|0.00598031|-0.034703635|2|0.721100414|0.7723870909999999|-0.026045966|0.6915652390000001|1|0.936253893|-0.063132226|-0.078644297|0.348987182|0.01278627|-44.30110081|8.972372556|80.36582704|44.73187305|-0.0305838929999999|-38.7252349|6.296086869|0.0|0.7847794690000001|2327.4502850000003|-15.05981357|8.654596906|17.09119768|0.974811521|151.02439719999998|-399.6704921|9.631015182|1.0|1.0|1.0|1.0|3.58|-9.84|5.59|111.51|2.0|1.0|138.56|1.0|6.0|-6.54|-5.93|460.55|0.0|0.0|4.35|2.87e-07|0.000132|1.95e-06|0.000899|4.48|0.0|0.0|1.4500000000000002e-10|-0.07066|4.32|-1767.494087|728.12|1284.89|223.65|612.24|0.36733|0.54166|-1767.2232149999998|-1767.286778|2752.0|51.0|7.2924
19b_a38|0.0|1|0|0|3.26554965|0.0|0|2|2|0.0|-0.008652352|5.351858133|2|0.013765516|-0.467227005|-0.006877664|-0.1381849369999999|1|-0.004358975|-0.098027247|1|0.653741315|0.8295290000000001|0.019437461|0.632625562|0|0.7293105670000001|-0.086013549|-0.11557289|0.336505882|0.0224393089999999|-53.38447032|13.92699891|120.3048789|168.00390359999997|-0.041606241|-44.51968852|8.643817972|0.0|0.7596369590000001|2436.66785|-16.02708787|7.159317935|13.74014387|0.91919733|149.181772|-322.28833010000005|12.76697997|1.0|0.0|1.0|1.0|4.82|-7.12|3.11|81.23|1.0|0.0|125.65|1.0|5.0|-4.25|-6.81|419.43|0.0|0.0|2.94|5.68e-05|0.0238|4.67e-05|0.0196|2.88|0.0|0.0|7.599999999999999e-08|-0.05031|3.66|-1431.38073|646.81|1111.29|231.18|485.64|0.38952|0.69411|-1431.18309|-1431.2418630000002|6.3396|12.0|7.9172
16h_a32|0.0|1|1|1|3.340888605|0.0|0|0|0|0.0|-0.015656019|5.733341277|0|-0.069213021|-0.7828009570000001|-0.0048042729999999|0.061727488|3|-0.002310082|-0.123297852|0|0.804503712|0.832040698|-0.003188883|0.7619492790000001|1|0.7991915079999999|-0.081151869|-0.121464999|0.44308098|0.02096013|-51.56009529|13.31708433|70.02855767|127.5843068|-0.038765425|-49.03221545|8.461051377999999|35.90298920000001|0.7359051059999999|3282.554439|-15.6485794|6.710057805|12.42028916|0.850995852|167.7935207|-299.7661014|12.98212548|1.0|0.0|1.0|1.0|3.61|-7.0|4.6|149.27|2.0|0.0|111.95|1.0|7.0|-6.48|-6.22|413.52|1.0|0.0|3.74|3.28e-07|0.000136|1.7800000000000002e-05|0.0073599999999999|3.66|0.0|0.0|9.89e-08|-0.05028|4.54|-1955.970762|679.82|1130.4|342.67|556.05|0.70219|0.70219|-1955.772465|-1955.832545|4.2275|9.0|8.0655
3b_a32|0.0|1|1|1|3.3653429710000005|0.0|0|0|0|0.0|-0.007388108|5.733341277|0|-0.0411430079999999|-0.265971895|-0.001282231|-0.1113575119999999|3|0.00020567|-0.0791178979999999|0|0.833920105|0.800396027|0.094335058|0.7725667079999999|1|0.8407393809999999|-0.073068133|-0.100355499|0.2719741|0.014636992|-35.8437493|7.180211702|74.63320519|78.12568166|-0.033451833|-24.14971513|3.522270202|0.0|0.764128338|1084.520517|-8.049905042|5.765940603|10.69254007|0.854431185|115.707414|-259.1375886|7.59811844|1.0|1.0|1.0|1.0|3.11|-6.5|4.43|110.94|1.0|0.0|88.24|1.0|2.0|-5.73|-5.57|312.41|0.0|0.0|3.68|1.86e-06|0.0005809999999999|2.23e-05|0.00697|3.71|0.0|0.0|3.19e-07|-0.05396|2.45|-1594.095192|524.46|857.0|348.81|396.83|0.70257|0.70257|-1594.0008779999998|-1594.049677|5.7777|6.0|8.2366
10_a47|0.0|0|0|0|0.0|0.0|0|0|0|0.0|-0.008013899|0.0|2|-0.169242585|-0.384667159|-0.008120645|0.0814897|0|-0.0065562469999999|-0.021926603|2|0.7027461220000001|0.754096463|-0.138304661|0.6913602740000001|1|0.841070966|-0.076311525|-0.0936757959999999|0.417511484|0.00951788|-40.80144983|5.088920549|103.41137940000002|84.97451737|-0.035388634|-26.77924406|2.720890925|0.0|0.801882632|1567.859561|-10.11660331|6.277122171|10.66897998|0.699661037|105.9273263|-322.8149102|7.51303623|1.0|1.0|0.0|1.0|3.02|-8.85|5.92|58.04|2.0|0.0|106.43|1.0|3.0|-5.75|-5.08|359.4|1.0|0.0|4.41|1.77e-06|0.000638|3.18e-06|0.00114|4.8|0.0|0.0|1.4199999999999999e-09|-0.0486399999999999|4.37|-1188.3744|579.86|997.16|214.9|426.55|0.53909|0.69212|-1188.1907199999998|-1188.244739|2.8795|13.0|7.9
12u_a36|0.0|1|0|0|3.508898495|0.0|0|2|2|0.0|-0.006461999|5.351858133|2|0.033763276|-0.407105926|0.0042553209999999|-0.063855309|1|0.005035022|-0.099596099|1|0.901715152|0.8101678720000001|0.080270195|0.860667615|0|0.842227829|-0.07260571|-0.0969881059999999|0.3765068079999999|0.017639065|-50.53295452|12.27663887|86.1184622|109.8080843|-0.03452119|-46.98143813|8.544435884|5.944854912|0.77938748|2455.7556010000003|-16.72220679|7.65672775|14.90088936|0.946117173|153.5444314|-388.9026034|10.55929252|1.0|0.0|1.0|1.0|5.05|-7.38|3.01|69.2|2.0|0.0|138.33|1.0|6.0|-4.95|-6.19|423.51|0.0|1.0|2.66|1.13e-05|0.0047799999999999|1.39e-05|0.00589|3.8|0.0|0.0|4.2e-08|-53.0|4.21|-1350.865506|739.12|1254.5|319.16|590.18|0.69258|0.70272|-1350.575382|-1350.638138|7.8877|16.0|7.7959
17a_a50|0.0|0|1|1|0.0|0.0|2|1|1|4.319202937|-0.002225436|5.82008293|1|-0.109740063|-0.133526134|0.012510153|-0.0979202769999999|2|0.012893333|-0.239713023|1|0.762224122|0.784570118|-0.204032723|0.732114362|1|0.92300665|-0.045404408|-0.078525868|0.4062532579999999|0.013784807|-29.57096251|8.977762705|10.03717565|50.14419437|-0.0280449529999999|-33.3079288|5.847033234|84.34722313|0.7899109000000001|1799.721631|-11.89568886|8.087984548|15.76161018|0.948768582|136.82673369999998|-377.6260803|7.556715901|1.0|1.0|1.0|1.0|3.95|-6.76|4.14|51.77|1.0|0.0|121.78|1.0|6.0|-3.99|-6.44|398.5|0.0|1.0|3.27|0.000102|0.0408|3.61e-05|0.0144|3.23|0.0|0.0|1.75e-07|-0.03196|3.08|-1258.540058|705.96|1204.79|291.88|616.93|0.6244|0.66046|-1258.260865|-1258.322582|8.2991|85.0|7.0706
9_a47|0.0|0|0|0|0.0|0.0|0|0|0|0.0|-0.008501246|0.0|2|-0.043270202|-0.382556052|-0.009607222|0.022031244|0|-0.007880155|-0.021556658|2|0.7033922579999999|0.792070785|0.046690958|0.689770023|1|0.805149969|-0.084368438|-0.0969292319999999|0.492394184|0.009540986|-44.13640712|4.991260197|107.3271659|101.9336202|-0.036925422|-26.52703503|2.611122094|0.0|0.790651977|1333.091472|-10.10553715|5.653392499|10.93281031|0.93384951|109.5180831|-304.1026787|8.262317504|1.0|1.0|0.0|1.0|2.87|-8.47|5.61|58.04|1.0|0.0|101.46|1.0|3.0|-5.37|-5.26|345.37|0.0|0.0|4.09|4.29e-06|0.00148|6.3e-06|0.00218|4.43|0.0|0.0|3.4000000000000003e-09|-0.05037|4.06|-1149.055456|566.1|959.59|215.89|406.35|0.3885099999999999|0.69084|-1148.896866|-1148.949486|3.4815|25.0|7.6
14t_a23|0.0|0|1|1|0.0|0.0|2|0|0|3.410065804|-0.005383494|5.351858133|2|0.073534004|-0.290708696|0.01269616|-0.041339801|2|0.01180744|-0.074441567|2|0.725800261|0.7629258809999999|0.113493155|0.6906097959999999|1|0.920956836|-0.0553915009999999|-0.079253435|0.361071229|0.017433037|-36.09926385|11.36130649|36.6149406|51.51331913|-0.033286443|-33.66111722|7.404291213|42.20767549|0.799945841|2286.063655|-14.13766923|7.55064865|14.13931199|0.872595673|130.3775455|-390.9561553|9.353660614|0.0|0.0|1.0|1.0|3.52|-7.78|4.33|105.02|2.0|1.0|125.25|1.0|5.0|-5.85|-6.1|425.51|0.0|0.0|3.78|1.43e-06|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|0.0|1.65e-08|-0.06666|3.79|-1669.21916|692.08|1184.43|311.09|534.86|0.5824199999999999|0.68886|-1668.980578|-1669.040656|8.3062|4.0|8.3979
