molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|n5aRing|AATSC1pe|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8_a27|0.0|1|0|0|2.599100867|0.0|1|0|0|1.7626247169999998|-0.008444078|4.59511985|2|-0.14212377|-0.329319041|0.0040883959999999|0.093450172|1|0.004801929|-0.106814855|2|0.6812785379999999|0.8000360390000001|0.141900468|0.64927069|1|0.776384028|-0.078709803|-0.092265073|0.3608031339999999|0.021852066|-37.50265703|10.41179748|122.0597403|106.5457267|-0.035880862|-20.94612822|4.960882344|61.18801154|0.751701834|989.0070768|-8.145716531|5.016799703|9.642697094|0.92208134|118.305988|-239.8554499|9.240677197|0.0|0.0|0.0|0.0|2.79|-6.28|2.48|76.46|0.0|0.0|87.68|1.0|2.0|-3.23|-6.73|303.32|0.0|1.0|2.38|0.000586|178.0|0.000299|0.0907|2.0|0.0|0.0|5.2e-07|-0.05015|3.96|-1004.489001|507.76|848.58|300.38|374.88|0.64893|0.64893|-1004.385302|-1004.432889|4.2899|6.0|8.2218
15_a10|0.0|0|0|0|0.0|0.0|1|1|1|2.124460476|-0.0027892409999999|5.4161004020000005|2|-0.0729795729999999|-0.142251304|0.009882584|-0.055918786|1|0.009514122|-0.085979341|2|0.682616223|0.808676284|-0.079744227|0.635064845|1|0.915526801|-0.059234364|-0.074144604|0.710970489|0.018614889|-35.30133759|11.09373722|33.67392858|50.34268476|-0.025240716|-26.33385303|6.61142847|108.7226878|0.646412648|2288.954984|-8.964715924|6.35937164|11.23924661|0.767351752|210.7240726|-174.5122907|12.47504566|1.0|1.0|1.0|1.0|3.29|-8.3|4.72|52.83|2.0|1.0|111.21|1.0|5.0|-4.48|-6.07|390.87|0.0|1.0|3.83|3.32e-05|13.0|1.56e-05|0.0061|3.68|0.0|0.0|5.01e-09|-0.05243|3.12|-1604.057542|641.98|1086.19|214.05|484.05|0.41458|0.68543|-1603.851644|-1603.907391|6.1563|33.0|7.4815
16_a3|0.0|0|0|0|0.0|0.0|0|0|0|0.0|-0.010031024|4.727387819|2|0.027762972|-0.371147877|-0.010377537|-0.013328983|1|-0.008409607|0.0032314229999999|2|0.659478546|0.767641592|-0.142670655|0.640070307|1|0.6974791290000001|-0.108919585|-0.100138414|0.252612735|0.012203576|-53.7971544|6.027544549|248.6415425|149.4199775|-0.041233465|-24.42909382|2.977102266|82.16042286|0.8296818009999999|1290.305313|-10.05903863|5.780331402000001|11.22152755|0.941329444|84.12292796|-325.670405|7.107249553|1.0|1.0|1.0|1.0|3.13|-7.16|4.57|92.93|0.0|0.0|90.44|1.0|2.0|-4.98|-5.89|322.36|0.0|0.0|3.5|1.05e-05|0.0033799999999999|3.2200000000000003e-05|0.0104|3.35|0.0|0.0|6.97e-08|-0.07095|3.19|-1371.360243|520.28|856.09|384.94|368.22|0.6944100000000001|0.6944100000000001|-1371.250459|-1371.297964|3613.0|42.0|7.3768
1a_a5|0.0|0|0|0|0.0|0.0|0|1|1|0.0|-0.001785522|4.59511985|2|-0.075791863|-0.078562954|0.005921049|-0.132197351|0|0.00549829|0.069867374|2|0.8309401009999999|0.7427901179999999|0.11504495|0.808272639|0|0.833638233|-0.071887159|-0.075618812|0.3602068089999999|0.008036994|-36.19957997|4.047117885|83.60943679|83.77332129999999|-0.027665419|-19.17495143|2.037971304|0.0|0.7256546770000001|902.6910106|-7.015226132|6.199179484|11.38004491|0.835734058|138.1496441|-227.2618539|8.305533524|0.0|1.0|0.0|1.0|3.54|-7.15|1.42|37.81|0.0|0.0|93.49|1.0|3.0|-2.6|-6.58|298.34|0.0|1.0|1.75|0.00253|755.0|0.000365|109.0|2.17|0.0|0.0|7.13e-08|-0.1040099999999999|2.85|-951.110826|531.02|882.1|265.45|386.8|0.44868|0.54123|-951.178584|-951.226623|6.7017|107.0|6.9706
14o_a23|0.0|0|1|1|0.0|-4.758526534|2|0|0|3.133942289|-0.014680137|5.351858133|2|0.135737344|-0.807407518|-0.002390707|-0.029012777|2|-0.0004039459999999|-0.0962526|2|0.598213287|0.802854174|0.000891427|0.575188253|1|0.904077943|-0.072435569|-0.094138958|0.328340215|0.018054548|-51.49843925|12.835973699999998|110.3941788|68.19627862|-0.042454824|-47.58321438|9.125801389|0.8929505459999999|0.800301554|2297.392496|-21.45909668|9.016411722|17.66041891|0.958697036|141.97663490000002|-427.001863|13.71836682|0.0|0.0|1.0|0.0|3.55|-7.95|6.18|114.25|2.0|1.0|126.97|1.0|7.0|-6.89|-5.94|495.48|1.0|0.0|4.31|1.29e-07|6.38e-05|1e-06|0.0004969999999999|4.76|0.0|0.0|1.12e-08|-0.08059|5.17|-2042.161288|729.11|1236.72|335.19|582.89|0.58581|0.58581|-2041.934645|-2042.000938|8.3591|3.0|8.4815
14s_a23|0.0|0|1|1|0.0|0.0|2|0|0|3.336763335|-0.005854379|5.351858133|2|0.049317519|-0.298573309|0.010682694|-0.044305947|2|0.009263715|-0.071484865|2|0.722187957|0.7837821840000001|0.096014944|0.659570836|1|0.92763624|-0.055037441|-0.080500435|0.2387634619999999|0.019970955|-35.30692476|12.81151517|30.34480575|46.42188642|-0.034255504|-33.12848261|8.218681552|82.55990607|0.7748161659999999|2316.634024|-14.09722664|7.548546899|14.26730044|0.890072438|144.457092|-352.5931977|11.11743642|0.0|0.0|1.0|0.0|3.45|-7.99|4.67|105.02|2.0|1.0|125.29|1.0|5.0|-6.13|-6.03|445.93|0.0|0.0|4.01|7.49e-07|0.000334|2.83e-06|0.00126|4.21|0.0|0.0|1.02e-08|-0.07783|4.1|-2089.500101|668.66|1164.32|336.66|528.82|0.60323|0.60323|-2089.2914530000003|-2089.352478|6.4428|3.0|8.5482
19k_a38|0.0|1|0|0|3.218103741|0.0|0|2|2|0.0|-0.011877064|5.351858133|2|0.098947776|-0.6888696990000001|-0.011156837|0.016990252|1|-0.00835812|-0.060668296|1|0.7581164340000001|0.853092207|0.04833864|0.730686013|0|0.658700057|-0.112748779|-0.126936513|0.389096157|0.0232707939999999|-71.54314527|14.76615358|157.4834779|216.567059|-0.044662847|-51.10918191|9.369654226|116.0039747|0.75964689|2929.493496|-17.9828603|6.744851799999999|12.89431427|0.911726848|152.51267140000002|-329.5105352|13.8345897|0.0|0.0|0.0|1.0|4.89|-6.41|1.65|124.32|1.0|0.0|133.79|1.0|6.0|-3.87|-7.84|444.46|0.0|0.0|1.9|0.000134|0.0594|0.0002399999999999|107.0|1.65|0.0|0.0|3.94e-07|-0.05534|4.13|-1500.852284|677.64|1172.22|239.03|502.43|0.38269|0.70327|-1500.618667|-1500.680373|12.5022|11.0|7.9666
13d_a5 (GW788388)|0.0|1|0|0|2.945204608|0.0|0|1|1|0.0|-0.005668173|4.59511985|3|-0.092509033|-0.33442223|0.002956745|-0.086484275|1|0.003668464|-0.010147323|2|0.7333482170000001|0.78479342|0.024905619|0.71006207|0|0.774103723|-0.086824482|-0.0844793|0.54169129|0.014571846|-57.42492153|9.637686167|151.3669372|149.40573999999998|-0.0291837579999999|-36.95444874|6.374277851|44.69922692|0.669182121|1377.863026|-12.76608229|8.077599766|15.788837|0.954644629|218.7999323|-223.7910275|14.57821204|0.0|1.0|1.0|1.0|3.21|-8.84|4.11|92.79|1.0|0.0|121.68|1.0|6.0|-4.35|-6.94|425.48|0.0|0.0|3.11|4.429999999999999e-05|0.0189|4.5e-05|0.0192|2.75|0.0|0.0|1.45e-09|-0.05542|3.81|-1390.548362|707.09|1206.73|269.0|532.01|0.42515|0.48848|-1390.294368|-1390.355751|3355.0|18.0|7.7447
11_a47|0.0|0|0|0|0.0|0.0|0|0|0|0.0|-0.007767503|0.0|3|-0.0586047379999999|-0.427212659|-0.007419345|0.081235787|0|-0.00580273|-0.038723054|3|0.702719047|0.715054643|-0.058523885|0.686454722|1|0.796863393|-0.08164597|-0.096486559|0.572646116|0.008462682|-50.01659041|5.184267117|119.4035378|124.4421556|-0.035945973|-36.20974614|3.175899139|1.882633323|0.816608795|2201.328597|-13.48990542|5.966142027|11.22841564|0.8820228529999999|112.34605729999998|-387.9111844|7.881596968999999|1.0|1.0|0.0|1.0|3.28|-10.55|6.68|70.93|2.0|0.0|124.7|0.0|4.0|-6.29|-5.28|422.45|1.0|0.0|4.69|5.110000000000001e-07|0.000216|9.32e-07|0.000394|5.06|0.0|0.0|2.81e-11|-0.05094|4.84|-1396.145101|654.49|1146.42|332.82|549.52|0.6915399999999999|0.6915399999999999|-1395.922861|-1395.980918|4.6111|0.04|7.4
12bb_a36|0.0|1|0|0|3.3296932480000003|0.0|0|2|2|0.0|-0.008239316|5.351858133|2|0.096309833|-0.444923056|-0.006877664|-0.018516159|1|-0.004358975|-0.098027247|1|0.653741315|0.836170906|0.0534307559999999|0.632625562|0|0.6888482109999999|-0.090660196|-0.114330726|0.314702945|0.022069757|-58.19935506|14.16769093|88.91215764|199.7440352|-0.038872447|-47.11573753|9.094955748|0.0|0.719294078|2458.790147|-16.01935076|7.854524291000001|15.13083401|0.926384521|180.1992964|-281.5518699|14.75518126|1.0|0.0|0.0|1.0|4.72|-7.12|3.0|69.2|1.0|0.0|123.67|1.0|5.0|-3.99|-6.8|417.41|0.0|1.0|2.44|0.000102|0.0424|4.81e-05|0.0201|2.88|0.0|0.0|7.599999999999999e-08|-0.0566799999999999|3.66|-1431.374881|667.88|1120.72|236.69|515.92|0.38838|688.0|-1431.178978|-1431.238418|8657.0|0.01|8.0
16b_a32|-3.3094926630000003|1|1|1|3.2902303|0.0|0|0|0|0.0|-0.008469352|5.733341277|0|-0.012739425|-0.423467596|-0.008277865|-0.018753196|3|-0.00180101|-0.1202046419999999|0|0.745820612|0.852956281|0.056127969|0.6762731040000001|1|0.7465375040000001|-0.088716278|-0.1083060409999999|0.559199331|0.015808858|-56.84546999|10.12961779|53.96132589|162.40756509999997|-0.0345657579999999|-44.4669946|6.490611388|9.827907321|0.7476362679999999|3264.235184|-14.19159402|6.466656381|11.05406524|0.709394251|161.7035261|-317.3487516|10.98052464|1.0|0.0|1.0|1.0|3.71|-7.6|4.88|165.49|1.0|0.0|114.43|1.0|7.0|-6.28|-6.72|433.57|1.0|0.0|3.26|5.19e-07|0.000225|2.84e-05|0.0123|3.14|0.0|0.0|2.54e-08|-0.05946|6.37|-2315.951437|676.92|1137.73|342.39|567.01|0.70233|0.70233|-2315.757928|-2315.819979|7.0093|17.0|7.7696
9h_a40|0.0|0|0|0|0.0|0.0|1|0|0|1.7679629630000002|-0.009041931|5.4161004020000005|0|0.157606277|-0.343593366|0.003782277|0.133376308|2|0.003099029|0.048470175|0|0.778613709|0.740778143|-0.160855189|0.7528137909999999|1|0.864310149|-0.09201708|-0.095803029|0.219852623|0.012390387|-46.04148264|6.199629554|132.6583116|67.89350333|-0.041058441|-23.98506758|3.102034287|0.0|0.863884935|418.2915223|-10.27931468|6.922257828999999|13.366649|0.930966649|68.10626265|-364.1454816|5.664631335|1.0|1.0|1.0|0.0|3.3|-6.51|4.44|67.66|1.0|0.0|93.19|1.0|3.0|-5.65|-5.06|321.4|0.0|1.0|4.06|2.23e-06|0.000716|7.6e-06|0.00244|4.51|0.0|0.0|3.09e-07|-0.05991|3.9|-1293.151333|526.38|868.84|292.61|410.18|0.64952|0.69809|-1293.033723|-1293.083512|2841.0|3.98|5.4001
13_a4|0.0|0|0|0|0.0|0.0|1|1|1|2.050136054|-0.000990136|5.4161004020000005|1|-0.059300584|-0.04158572|0.012994083|-0.14818661|1|0.012019888|-0.0161529719999999|1|0.645708528|0.744134785|-0.215746851|0.6490618429999999|0|0.970027005|-0.050017793|-0.068249548|0.229685203|0.008746805|-24.48959182|4.282589756|11.85953992|14.67530603|-0.0279998139999999|-16.36114989|2.096831328|54.71349575|0.862539527|1439.176684|-6.7122666220000005|5.663493161|9.917593683|0.751144285|67.30306705|-355.01146810000006|3.704655033|1.0|0.0|0.0|1.0|3.39|-6.2|4.15|30.71|1.0|0.0|90.06|1.0|2.0|-4.09|-5.39|287.36|0.0|1.0|3.57|8.18e-05|0.0235|3.77e-05|0.0108|3.75|0.0|0.0|6.28e-07|-0.03168|3.87|-898.3381672|536.09|893.0|276.68|429.36|0.53815|0.59537|-898.2009630000001|-898.2503529999999|3.7228|4.0|5.3979
14g_a23|0.0|0|1|1|0.0|-4.794439428|2|0|0|3.0793867980000003|-0.014609495|5.351858133|2|0.058422864|-0.803522236|-0.002390707|-0.031968899|2|-0.0004039459999999|-0.0962526|2|0.598213287|0.796412133|0.010202051|0.575188253|1|0.907334473|-0.072819606|-0.096288005|0.297855753|0.018341721|-51.82254036|13.05300369|95.64648102|65.94601775|-0.041536002|-48.76552945|9.289253982|1.5679977319999998|0.780315815|2531.8503170000004|-21.03611074|8.788027188|16.32997765|0.8582074559999999|156.3396622|-398.9771038|14.63509796|0.0|0.0|1.0|0.0|3.61|-7.95|6.18|114.25|2.0|1.0|126.97|1.0|7.0|-6.89|-5.94|495.48|1.0|0.0|4.35|1.29e-07|6.38e-05|1e-06|0.0004969999999999|4.76|0.0|0.0|1.12e-08|-0.08011|5.17|-2042.161409|730.13|1233.48|334.71|583.38|0.56658|0.56658|-2041.934312|-2042.000034|10245.0|0.01|8.0
19a_a38|0.0|1|0|0|3.3685352889999995|0.0|0|2|2|0.0|-0.007986407|5.351858133|2|0.054257043|-0.431265985|-0.002526241|-0.122385526|1|-0.000673716|-0.101303149|1|0.724208473|0.819222745|0.031696119|0.698414933|0|0.747152898|-0.08593151|-0.108300308|0.298938581|0.022142322|-51.36166266|13.23456869|137.2318698|151.1278869|-0.038988111|-38.69037594|7.910363161|0.0|0.744796537|2304.055966|-13.92853534|6.923156054|12.96056449|0.872060139|152.5362948|-292.6320538|12.47635608|1.0|1.0|1.0|1.0|4.83|-6.86|2.55|81.23|1.0|0.0|125.69|1.0|5.0|-4.14|-6.77|401.44|0.0|0.0|2.68|7.209999999999999e-05|29.0|6.77e-05|0.0272|2.78|0.0|0.0|1.4e-07|-0.05271|3.41|-1332.1529369999998|628.65|1092.25|316.19|466.55|0.6329100000000001|0.68835|-1331.94466|-1332.002093|6.0223|0.01|8.0106
4b_a46|0.0|0|0|0|0.0|0.206072846|1|1|1|2.189591837|-0.00113356|5.587248657999999|2|-0.082722572|-0.058945144|0.012332859|-0.135121207|1|0.011806162|-0.079238184|2|0.6901151990000001|0.7306307590000001|-0.263387881|0.69830739|0|0.935245062|-0.0524080009999999|-0.070236212|0.27128814|0.007568202|-28.58477842|4.127907383|7.986637869|35.31914031|-0.0229342729999999|-20.89467173|2.251475261|56.7922535|0.8104680259999999|1750.333702|-6.822749952000001|5.76401157|10.09436488|0.751274223|103.3759991|-338.6757579|4.343611349|1.0|0.0|0.0|1.0|3.9|-7.2|4.77|43.6|1.0|0.0|101.7|1.0|2.0|-4.35|-5.67|332.44|0.0|1.0|3.76|4.49e-05|0.0149|2.35e-05|0.00782|3.74|0.0|0.0|6.38e-08|-0.02729|3.98|-1033.535029|588.79|1020.9|272.4|508.79|0.68682|0.68682|-1033.3243619999998|-1033.378455|3.7571|548.0|6.2612
