molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|MATS1c|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12p_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604984421|-0.031328052|2|0.040899471|0.0|-0.3550576729999999|-0.128484994|1|1|0.005965451|-0.053644471|-0.456474815|-0.051402518|0.8371763179999999|0.7991060659999999|0|0.843381594|-0.074356395|-0.094870978|0.015107947|-47.54197452|9.659715461|75.21136863|0.156618406|-38.78387161|6.176226649|0.0|0.8199554720000001|-30.39737673|-23.33022469|57.20168999|539.2411292|-1213.171684|2326.5244390000003|-14.91687369|0.180044528|7.392482526|13.94763694|6166.812731|115.116829|28.4530386|-409.146112|1479.558007|686.039456|0.0|1.0|0.0|1.0|0.0|4.35|2.93|3.04|132.24|0.0|1.0|5.0|4.0|412.51|0.0|1.0|2.91|-5.15|2.21e-06|7.05e-06|0.00291|4.23|9.75e-08|4.02e-05|-0.05169|5.1922|3.4955|-1615.094336|-1615.0623480000002|1167.16|354.69|238.79|526.91|0.33929|0.68561|-1614.890598|4.6103|17.0|7.7721
47f_a18|0.0|0|0.0|0.0|0|7.03438793|1|1.251175676|-0.034211867|0|0.031179487|0.0|-0.477030713|-0.008224928|0|0|0.00531392|-0.264839041|-0.4138670829999999|-0.009917608|0.780474694|0.745431271|0|0.838156881|-0.063824969|-0.084851044|0.0138461289999999|-54.18475173|11.75478965|111.1889928|0.161843119|-61.15474298|9.979328976|58.84834254|0.726550657|-46.00060733|-24.61956302|65.93954138|711.5604361000001|-1944.945479|2343.062749|-20.90098811|0.273449343|10.55465562|20.44855806|7870.103594|232.14715330000004|33.88554232|-384.6642262|2676.957843|1347.416568|1.0|0.0|1.0|2.0|0.0|3.22|3.6|2.79|164.47|1.0|1.0|13.0|4.0|541.68|0.0|0.0|2.83|-5.52|7.76e-07|3.01e-06|0.00163|4.52|6.04e-10|3.27e-07|-0.04439|3.0964|3.0964|-1743.375413|-1743.346389|1602.99|400.42|400.42|874.24|0.6984600000000001|0.6984600000000001|-1741.802171|4.4861|9.0|8.0458
11d_a5|0.0|0|2.9590700880000003|0.0|0|6.605297921|0|1.388848584|0.001099755|2|0.0228184279999999|0.0|-0.185566552|0.01948342|1|1|0.008809179|-0.12451554|-0.22897714|-0.018747485|0.831190148|0.755793189|0|0.87090286|-0.063028408|-0.0847408619999999|0.012828514|-40.04753555|8.151092424|61.45330587|0.12909714|-34.21147402|5.179111638|0.0|0.712305422|-25.44574968|-18.63809379|48.19862797|553.3617954|-969.1808771|900.3825317|-11.84243331|0.287694578|8.920296087|17.62784804|5283.02167|182.7978704|26.16587381|-269.7929124|1360.625438|631.9206508|1.0|1.0|1.0|1.0|3.37|4.41|4.14|1.42|114.29|0.0|1.0|7.0|5.0|385.46|0.0|1.0|3.28|-4.29|7.2e-05|5.14e-05|0.0198|3.07|2.31e-09|8.909999999999999e-07|-0.03767|4.4175|4107.0|-1239.127458|-1239.093739|1154.67|301.89|280.66|594.45|0.66686|0.6533399999999999|-1238.914819|3.7008|15.0|7.8239
22_a4|0.0|0|0.0|0.0|1|7.535296702|1|1.399866564|-0.115883451|1|0.044357639|0.0|-0.257448045|-0.023072107|1|1|0.004237768|0.021636871|-0.3877007|0.086940934|0.8404413829999999|0.755510052|0|0.8612031509999999|-0.09491995|-0.089955967|0.010702353|-45.61565825|5.1432274630000006|162.9809584|0.138796849|-20.77508795|2.47167963|0.0|0.8444670409999999|-21.92150631|-17.52572365|50.75888571|413.8681986|-648.451775|1477.437886|-8.422332951|0.155532959|5.495481464|9.742413394|4074.564287|74.7444381|20.75359108|-331.080892|767.88287|338.71903330000004|1.0|0.0|0.0|1.0|2.2|3.19|3.54|2.09|87.12|0.0|2.0|2.0|3.0|289.33|0.0|1.0|2.81|-3.98|0.000172|0.000104|0.0301|3.03|5.77e-06|0.0016699999999999|-0.03046|4.468999999999999|4.0537|-934.2706743999998|-934.240411|860.77|305.85|277.43|400.29|628.0|0.65771|-934.171365|5.4110000000000005|47.0|7.3279
4f_a49|0.0|0|0.0|0.0|1|7.535296702|1|1.343848013|-0.087045007|2|0.038839506|1.5830545580000002|-0.418450768|0.0705130559999999|1|1|0.001714014|-0.015845165|-0.46436755|-0.00953448|0.8557769120000001|0.670594896|1|0.7370618040000001|-0.102926696|-0.089955514|0.016591015|-55.88123394|9.007637695|193.615884|0.262938196|-26.51573683|4.89045046|59.72286429999999|0.718306291|-30.33918719|-18.1726086|64.88887164|400.1675422|-781.4221699|1629.651745|-9.866320682|0.2816937089999999|6.302023735|11.20071713|5422.650822|152.9378926|25.29924744|-237.0468572|1087.86764|467.1194103|1.0|1.0|0.0|1.0|2.35|3.42|3.8|2.03|102.08|0.0|1.0|3.0|5.0|356.38|0.0|1.0|2.85|-4.09|0.000102|8.120000000000001e-05|0.0289|2.64|2.92e-07|0.000104|-0.06954|4.6249|3.7098|-1179.23587|-1179.201105|982.46|334.21|268.08|411.94|0.39584|0.68474|-1179.080799|1.8254|0.04|7.3979
17a_a25|0.0|0|0.0|0.0|1|6.842683282|0|1.373200859|-0.036457743|2|0.043274232|2.008884939|-0.248224991|0.006360768|1|1|0.006423059|-0.047099434|-0.362222339|0.168247187|0.8005589320000001|0.659740852|1|0.874586929|-0.06234901|-0.079378741|0.012665055|-44.46905084|9.033070252|93.75234138|0.125413071|-40.379488|6.442637379|80.30332825|0.755980502|-31.71656603|-21.2306737|53.50212109|623.7797651000001|-1188.917727|2432.071525|-15.142307999999998|0.244019498|8.996672966|16.93624014|6250.571217000001|174.0415044|28.08362601|-365.1448527|1572.683056|781.7487682|1.0|1.0|1.0|1.0|3.47|4.83|5.31|2.67|131.06|0.0|1.0|7.0|4.0|433.5|0.0|1.0|4.04|-5.13|7.5e-06|7.44e-06|0.00323|3.9|1.05e-10|4.54e-08|-0.05255|5.2683|3.9347|-1391.625102|-1391.588873|1271.9|315.11|235.34|598.67|0.35172|0.6722|-1391.385492|5.1401|25.0|7.6021
12n_a36|-3.404662145|0|3.400581499|0.0|0|7.412764017000001|2|0.299253841|-0.350034917|2|0.0438779959999999|0.0|-0.619926573|-0.000273044|1|1|-0.001160331|-0.15024383|-0.5181211520000001|0.162338703|0.869718963|0.750657639|0|0.720111143|-0.089275906|-0.115872034|0.0211044289999999|-60.42525197|14.28426215|67.52548352|0.279888857|-53.08197085|9.668119648|26.74179417|0.741751453|-40.89805687|-27.04362074|74.70951411|487.397992|-1568.530003|3465.537153|-18.30412788|0.258248547|6.863551112000001|12.58209967|7657.057548000001|174.79221719999998|36.45914091|-327.25274110000004|2114.630173|805.2286932|0.0|0.0|0.0|3.0|0.0|1.28|2.15|0.84|142.02|0.0|1.0|7.0|6.0|474.54|0.0|0.0|1.18|-3.72|0.0001409999999999|0.0001889999999999|0.0897|1.64|1.36e-07|6.45e-05|-0.05056|5.3573|3.6382|-1876.201464|-1876.168847|1256.83|340.78|231.43|566.87|0.32172|0.7046600000000001|-1875.961945|14.3562|15.0|7.8239
8c_a12|0.0|0|0.0|0.0|0|0.0|1|1.283851303|-0.055163114|3|0.038787879|0.0|-0.447739674|-0.07003012|0|0|-0.00160589|-0.210669119|-0.606245231|-0.10899871|0.8425863029999999|0.845077891|0|0.840397446|-0.067004282|-0.101988384|0.019604202|-34.19075142|10.00357546|83.24714315|0.159602554|-26.55601426|5.104595615|0.0|0.764449832|-17.44675795|-19.51587692|44.19432689|428.8355831|-780.6350769|1245.6132289999998|-9.958505349|0.235550168|5.670223821|10.74930819|4610.945152|120.19586|25.52931025|-269.8853937|1021.17241|390.0159026|1.0|0.0|1.0|1.0|2.24|2.81|1.59|2.02|98.07|0.0|1.0|3.0|5.0|314.34|0.0|1.0|2.23|-3.72|0.000339|0.0001899999999999|0.0598|2.5|7.24e-08|2.28e-05|-0.06706|4.3598|3.8341|-1022.77302|-1022.750382|909.19|323.37|284.38|402.43|0.53657|0.67318|-1022.663298|2.4806|0.04|7.3979
11b_a31|0.0|0|3.248213341|0.0|0|7.765993078999999|1|0.610137403|-0.172248605|0|0.043380952|0.0|-0.838727032|-0.046362952|2|2|-0.010716217|-0.101934423|-0.564706551|0.067031897|0.889561759|0.7943850720000001|0|0.545458754|-0.143839236|-0.148709304|0.037758271|-80.0942166|21.02499452|286.7721447|0.454541246|-46.10900197|11.70737909|87.78853803|0.669723835|-44.59898223|-24.84180719|101.1192111|303.7286124|-993.6722875|1756.711832|-13.83270059|0.330276165|6.83089364|12.96936635|5202.545866|183.9081702|37.09261324|-189.0151528|1483.70453|397.3137532|0.0|1.0|1.0|2.0|2.29|4.67|3.25|0.79|92.51|0.0|2.0|5.0|6.0|357.38|0.0|1.0|2.69|-3.75|1.82e-05|0.000178|0.0637|2.46|3.59e-06|0.00128|-0.03574|3.8437|3.8437|-1520.085181|-1520.0430279999998|969.71|322.57|322.57|479.66|0.70073|0.70073|-1519.967224|4.7518|0.53|6.2757
14e_a25|0.0|0|0.0|0.0|1|6.842683282|0|1.4200152069999998|-0.138693649|2|0.0389622639999999|1.906869097|-0.524066339|0.011176663|1|1|-0.0005394919999999|0.015497482|-0.50909623|-0.144369439|0.8322445820000001|0.6954126970000001|1|0.7240504329999999|-0.1011107469999999|-0.1004553119999999|0.015024526|-73.99302943|10.99497534|372.1805977|0.275949567|-53.79722636|8.046143033|97.78313402|0.806446896|-54.14823405|-28.3735856|84.98800478|529.8614286999999|-1617.294379|2620.6698690000003|-20.76384175|0.1935531039999999|8.459867391|16.63781964|6952.485076999999|141.642515|35.18345194|-448.516796|2005.4567600000005|811.3237836|1.0|1.0|1.0|2.0|2.72|3.65|4.02|1.69|134.35|0.0|1.0|7.0|5.0|462.5|0.0|0.0|3.02|-4.73|7.29e-06|1.86e-05|0.0085799999999999|3.04|7.31e-10|3.38e-07|-0.0538|5.8431|3.9613|-1521.012915|-1520.964156|1300.08|312.99|212.19|596.96|0.31019|0.69958|-1520.767443|7.2625|75.0|7.1249
