molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
12a_a36|0.0|1|0|3.4715209280000003|0.0|0|7.412764017000001|2|2|1.297044783|0.0|-0.0632801509999999|-0.007471648|5.351858133|2|0.040166667|0.078063311|0.0|-0.403468978|-0.070252245|10.96083376|1|1|-0.1063550619999999|-0.183140926|-0.432975237|0.907322874|0.7934042040000001|-0.012112722|-0.119322074|0.855821486|0.820684627|-0.076154312|-0.104828755|0.436020272|-46.76212019|-64.36949846|12.03249549|110.1075804|-0.037738352|5.277117996|76.09903547|0.470444928|2647.835699|503.9367075|-1158.650972|2258.5909920000004|-711.4630111|1.0|0.0|0.0|2.0|4.75|0.0|0.14|2.72|1.88|0.0|123.75|-3.79|29.0|381.43|1.0|0.0|1.86|0.000164|0.0625|2.68|9.78e-05|-0.04946|3.8343|3.16|3.6682|-1232.951968|-1232.916523|653.94|0.4435|323.35|-1232.707754|0.0012|-0.1519299999999999|0.03544528|-1232.764108|7.8861|7.8861
14e_a23|0.0|0|1|0.0|-4.45581912|2|7.423568444|0|0|1.197957573|3.052208981|0.059967018|-0.008865361|5.351858133|2|0.044241453|0.023369734|0.650989437|-0.4787294729999999|0.021081733|10.3132176|2|2|-0.07256543|-0.226146643|-0.5232404310000001|0.560094237|0.791790895|0.133270225|-0.014216155|0.5415996160000001|0.925392058|-0.073376247|-0.089453046|0.267882223|-51.07141556|-62.2612068|12.5437807|51.92870134|-0.03935934|0.5612316039999999|74.75779594|0.49543439|3255.313968|644.0923882999999|-1369.74655|2428.874279|-953.3724859|0.0|1.0|1.0|1.0|3.54|3.62|0.09|4.42|6.19|1.0|125.29|-6.38|34.0|479.48|0.0|0.0|4.5|4.1200000000000004e-07|0.000198|4.46|2.85e-06|-0.08122|3.7033|4.2|3.7033|-1966.96594|-1966.943431|706.39|0.3178|334.8|-1966.720803|0.3178|-153.0|0.02250947|-1966.785007|8.5214|8.5214
12i_a36|0.0|1|0|3.27619957|-4.787087299|0|7.412764017000001|2|2|1.2401347459999998|0.0|0.043792895|-0.016027043|5.351858133|2|0.0438779959999999|0.048138468|0.0|-0.929568494|0.128325344|10.96020192|1|1|-0.1187503719999999|-0.3344729369999999|-0.608318386|0.647732719|0.820041835|0.141564781|-0.01509434|0.624142499|0.830964232|-0.0850745409999999|-0.117424873|0.332782117|-54.81607619|-75.66036485|12.71877085|108.9148111|-0.045665229|0.52902639|90.11282843|0.460246812|3231.030388|535.4151566|-1588.867662|2351.232652|-1023.755049|1.0|1.0|0.0|2.0|4.8|0.0|0.17|3.31|4.04|0.0|130.43|-5.2|34.0|465.43|0.0|0.0|2.65|6.26e-06|0.00291|3.86|3.37e-05|-0.05065|5.2297|4.86|3.7496|-1645.2030949999998|-1645.171438|666.79|0.5402|237.08|-1644.954647|0.1516|-0.1541|0.03165678|-1645.017702|7.9208|7.9208
19f_a38|0.0|1|0|3.3320764830000003|0.0|0|7.412764017000001|2|2|1.297044434|0.0|-0.036714749|-0.007831113|5.351858133|2|0.041808786|-0.008118156|0.0|-0.4228801179999999|0.035480177|10.96083376|1|1|-0.101303149|-0.217394466|-0.4288343429999999|0.724208473|0.819222745|-0.075025988|-0.094149094|0.698414933|0.750875987|-0.085318318|-0.111307609|0.488059925|-54.50401599|-71.10679028|13.4639011|159.14822980000002|-0.037844587|12.14075726|84.35196967|0.453960261|2776.145209|479.6831205|-1208.815435|2846.860803|-772.2291966|1.0|1.0|1.0|3.0|4.82|2.48|0.14|3.13|2.55|0.0|125.69|-4.14|30.0|401.44|0.0|1.0|2.67|7.209999999999999e-05|29.0|2.78|5.610000000000001e-05|-0.05735|5.3197|3.41|3.4422|-1332.190216|-1332.160846|653.22|0.3205|233.07|-1331.945195|0.0019|-0.14369|0.02936908|-1332.004601|7.1397|7.1397
28_a20|0.0|0|0|0.0|0.0|1|6.842683282|0|0|1.417203216|1.837209467|-0.013841559|-0.006492092|4.727387819|3|0.0396875|0.091462964|1.650185059|-0.363557127|0.0313932529999999|10.94963925|1|1|-0.016955137|-0.028782305|-0.447096101|0.715067047|0.755701837|-0.104458316|-0.06654421|0.690655217|0.7817507370000001|-0.086299346|-0.091179288|0.3962228229999999|-57.59898971|-60.85602167|9.799649234|145.66665480000003|-0.035068957|88.39175809|71.98460956|0.468838001|2865.917291|521.7658603|-1217.120433|2449.815677|-812.3457521|0.0|1.0|1.0|1.0|3.45|2.86|0.08|3.93|4.01|0.0|122.8|-4.42|32.0|420.47|0.0|1.0|3.04|3.77e-05|0.0159|2.68|6.590000000000001e-07|-0.06242|4.7905|4.64|3.5798|-1368.363151|-1368.32781|704.42|0.2354|258.81|-1368.085242|0.0153|-0.15572|0.03534166|-1368.146882|6.5935|6.5935
13n_a6|0.0|1|0|3.425442623|0.0|0|6.842683282|0|0|1.4290206230000002|0.0|0.030890422|-0.010884884|4.727387819|2|0.04393617|0.058267173|1.628408574|-0.631323273|-0.06507689|10.95053349|1|1|-0.068956229|-0.118693789|-0.57091314|0.870730542|0.7767360059999999|-0.064779873|-0.056293641|0.82642394|0.70890216|-0.100363599|-0.109392959|0.307384948|-68.88015714|-75.07706271|12.18768927|199.7822434|-0.038490115|103.012404|88.73738138|0.47066442|2952.259627|486.5239262|-1426.464192|2535.307313|-978.9911754|1.0|1.0|1.0|3.0|3.55|1.9|0.08|4.19|3.76|0.0|127.2|-4.64|33.0|435.48|0.0|1.0|2.62|2.27e-05|0.00987|2.43|9.35e-08|-0.07131|4.8185|4.27|3.3510000000000004|-1423.765005|-1423.714738|727.69|0.9117|257.31|-1423.451366|0.1945|-0.13863|0.05026727|-1423.514154|7.1249|7.1249
18b_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604987149|0.0|0.036563014|-0.006947027|5.351858133|2|0.041767677|-0.039831247|0.0|-0.375139476|0.016709918|10.31163838|1|1|-0.049287858|-0.090115975|-0.45633339|0.80330079|0.822401103|0.022695194|-0.089945913|0.760234689|0.869340364|-0.078751666|-0.09536285|0.413791511|-52.09100293|-63.07862164|13.14992762|86.42600053|-0.036237883|0.0|75.30642440000001|0.424912258|2915.383182|575.0330633|-1198.493811|3057.267112|-792.7545943|1.0|1.0|0.0|1.0|4.78|0.0|0.13|3.87|2.49|0.0|131.99|-5.49|31.0|423.49|0.0|0.0|2.42|3.23e-06|0.00137|3.59|8.47e-05|-0.06142|3.5256|3.64|3.5256|-1668.034279|-1667.995173|697.37|0.3576|351.66|-1667.788575|0.3576|-0.14385|0.03910602|-1667.849173|7.6003|7.6003
7_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|1.419941457|0.0|-0.2269896539999999|-0.010310394|0.0|1|0.035075075|0.145944639|0.0|-0.494898891|0.038636783|10.95880715|0|0|-0.211522056|-0.310081401|-0.335491052|0.857287135|0.70084115|0.154068618|0.00364345|0.8115121240000001|0.841400327|-0.074406877|-0.110819329|0.403524276|-41.29775265|-61.50761094|20.31436245|88.02694557|-0.026500274|56.30310755|85.26222186|0.396557391|2330.667514|466.9990754|-676.5837204|1624.468817|-375.5215702|1.0|1.0|1.0|1.0|3.16|3.14|0.15|3.38|4.64|0.0|99.77|-4.83|26.0|352.38|1.0|1.0|3.35|1.46e-05|0.00516|3.84|2.26e-05|-0.0284899999999999|4.4386|2.78|3.7495|-1184.385377|-1184.367098|580.73|0.3463|279.33|-1184.168094|0.0169|-0.15605|0.01827873|-1184.224637|6644.0|6644.0
18a_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604987543|0.0|0.045071414|-0.006673169|5.351858133|2|0.040166667|-0.041327798|0.0|-0.353677943|-0.01286191|10.31163887|1|1|-0.053309522|-0.094526372|-0.452377064|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.7961424690000001|0.85918121|-0.072474599|-0.095397479|0.294303776|-45.11907802|-59.38972262|10.62073502|87.66676984|-0.036990859|0.0|69.35818061|0.445995681|2721.874248|534.88346|-1128.40473|2814.429655|-702.4886239|1.0|1.0|0.0|1.0|4.75|0.0|0.14|3.84|2.62|0.0|127.28|-5.28|29.0|398.48|0.0|0.0|2.63|5.23e-06|0.00208|3.87|9.21e-05|-0.05605|3.4712|3.82|3.4712|-1575.786909|-1575.755101|665.12|0.3781|357.18|-1575.54671|0.3781|-0.1418|0.03180853|-1575.604922|7.6108|7.6108
34_a20|0.0|0|0|0.0|0.0|1|6.842683282|0|0|1.416932073|1.877209467|0.0305860929999999|-0.0057643419999999|4.727387819|2|0.0396875|0.199191385|1.991704333|-0.328567476|-0.046356705|10.93244905|1|1|0.0346782989999999|0.057022334|-0.4478820739999999|0.7071284179999999|0.74801464|-0.101401966|-0.090732503|0.690530489|0.7966571459999999|-0.0851907119999999|-0.085459595|0.408491116|-57.31821177|-57.49912174|8.766605631000001|136.81360859999998|-0.032248904|80.66541842|67.53437417|0.462785432|2825.042137|536.0086996|-1149.982435|2319.742032|-773.7338361000001|1.0|1.0|1.0|1.0|3.43|2.92|0.08|4.5|4.62|0.0|125.0|-5.14|32.0|419.48|0.0|1.0|3.63|7.27e-06|0.00305|3.63|2.780000000000001e-07|-0.05181|5.4132|4.97|3.8699|-1352.31921|-1352.2836220000002|711.19|0.4388|229.04|-1352.041015|0.0766|-0.16103|0.03558836|-1352.102407|7.2147|7.2147
