molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|FPSA1|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
19_a34|0.0|0|0|0|0.0|1|7.412764017000001|1.438829424|1.898101852|-0.013066507|5.351858133|1|0.044107744|-0.189862762|-0.00802652|10.95957634|-0.014196676|1|-0.29861864|-0.255220734|-0.401414514|-0.469568766|0.866604574|-0.0235903339999999|0.8582665429999999|0.818710955|0|0.6399024520000001|-0.112877411|-0.1255804019999999|0.308793959|0.039589023|-56.30608209|131.5318459|0.360097548|-0.039656969|-31.24772528|9.850795895|470.4453529|0.662289492|-28.08688512|77.38527508|76.05407906|0.467358389|2127.363207|-9.86770272|0.3377105079999999|168.4584665|-374.9727034|29.86894781|-161.90813300000002|1135.020017|337.9440349|0.0|1.0|1.0|1.0|2.77|0.18|2.69|69.4|0.0|83.95|3.0|23.0|5.0|309.32|0.0|1.0|1.0|2.1|-3.15|574.0|0.000704|0.0|0.00291|-1046.606458|882.87|297.18|0.6897300000000001|0.6897300000000001|-1046.458335|0.2189|-0.1735|-0.20251|0.03168624|-1046.509891|5.0441|0.99|6.0044|6.0044
15c_a22|0.0|0|0|0|0.0|1|6.842683282|1.42291727|1.596256692|-0.005236206|4.727387819|2|0.038137255|-0.026986769|0.003784292|10.9464374|0.006275578|1|-0.047249795|-0.0917078119999999|-0.160566657|-0.364626967|0.667111824|0.010828071|0.8353837409999999|0.639264982|1|0.8665852140000001|-0.067475429|-0.080088202|0.615901609|0.024561528|-48.58045253|36.22825261|0.133414786|-0.0302219629999999|-41.51455167|12.731723|78.22334636|0.661775114|-34.97658951|75.52188549|66.26407672|0.462157867|3079.491787|-15.66586856|0.338224886|243.5126145|-830.2910335|32.87972244|-232.9472639|1742.625289|731.8178649|0.0|1.0|1.0|1.0|2.85|0.08|3.9|109.38|1.0|128.77|6.0|34.0|6.0|445.48|0.0|0.0|0.0|2.98|-4.62|0.00618|2.4e-05|0.0|2.35e-07|-1460.602657|1241.07|337.46|0.30831|0.69113|-1460.324493|0.0694|-0.15408|-0.22807|0.03150096|-1460.387718|9.0393|737.0|6.1325|6.1325
15_a47|0.0|1|1|1|0.0|0|6.605297921|1.304329657|0.0|-0.00516949|4.59511985|2|0.042285714|-0.130885389|-0.0026314909999999|10.9497222|0.0506476009999999|1|-0.299654464|-0.007670908|-0.017562097|-0.332654104|0.644280611|0.081171071|0.897881853|0.614613723|1|0.791753677|-0.084413593|-0.0904066519999999|0.429825305|0.016669157|-45.1562696|61.0548099|0.208246323|-0.033307714|-25.87091101|4.770072524|0.0|0.711630105|-24.15592798|59.79410145|54.07328082|0.477646539|2327.320914|-9.531388265|0.288369895|154.260803|-362.1927541|25.03780079|-226.4191275|951.4364299|383.4213189|1.0|1.0|1.0|2.0|2.1|0.06|4.69|66.49|2.0|96.6|3.0|25.0|4.0|353.78|0.0|0.0|1.0|3.74|-4.85|0.00455|1.41e-05|0.0|1.14e-06|-1527.4104|930.51|305.43|0.67203|0.68008|-1527.265523|0.0759|-0.16762|-0.2268|0.03425526|-1527.316555|3.7709|16.0|7.8|7.8
14u_a23|0.0|0|1|1|0.0|2|7.423568444|1.197962732|3.357982471|-0.007017844|5.351858133|2|0.043321995|0.050530143|0.010561248|10.31321759|-0.0569153009999999|2|0.091604179|-0.110069159|-0.199540201|-0.4086345999999999|0.756252127|-0.094773814|0.845160857|0.71381683|1|0.909754912|-0.055259924|-0.086465795|0.445665682|0.0254134689999999|-36.90928915|43.06242147|0.090245088|-0.033908155|-38.57404134|11.3374334|50.47632596|0.702868983|-24.65250654|73.50348823|53.88349042|0.47648509|3015.478095|-15.12707504|0.297131017|198.4601847|-771.4808267999999|32.2221994|-271.0010972|1643.332169|683.7405759|0.0|0.0|1.0|1.0|3.68|0.09|3.42|114.25|2.0|126.78|6.0|32.0|5.0|441.51|0.0|0.0|0.0|3.48|-5.02|0.0010199999999999|9.57e-06|0.0|1.3699999999999998e-05|-1744.446261|1214.4|389.66|0.4523|0.6703100000000001|-1744.1781010000002|0.0008|-0.1543|-0.21613|0.0237199999999999|-1744.2405670000005|8.1549|6.0|8.2449|8.2449
27a_a34|-3.727789|0|0|0|0.0|1|7.412764017000001|0.300206665|1.963136117|-0.012620846|5.351858133|1|0.0408037829999999|-0.082271189|-0.012495918|10.319282|-0.008138446|1|-0.13716603|-0.158932197|-0.264978526|-0.53047808|0.8186389829999999|-0.012251785|0.832753533|0.749941528|0|0.600964267|-0.106669294|-0.123191967|0.4305370679999999|0.026573385|-74.78290605|176.4623026|0.3990357329999999|-0.043345322|-60.54917431|13.06088842|22.69787432|0.764921711|-52.42823715|100.7752505|93.41277507|0.436895447|3394.470264|-21.30433911|0.235078289|164.80691819999998|-1150.434312|39.72721867|-371.4586403|2145.269808|718.5861133999999|1.0|1.0|1.0|2.0|2.58|0.13|2.01|129.74|1.0|122.61|6.0|33.0|7.0|463.51|0.0|0.0|0.0|2.44|-4.47|0.00504|3.43e-05|0.0|1.13e-05|-1861.741982|1247.85|300.73|0.40378|0.69818|-1861.468024|0.0203|-0.16691|-0.20615|0.04629882|-1861.534743|13.9023|0.24|6.6198|6.6198
13e_a6|0.0|1|0|0|0.0|0|6.842683282|1.429020445|0.0|-0.006882528|4.727387819|2|0.044021739|0.018376555|-0.003356527|10.95053349|-0.037793156|1|0.032420935|-0.126749697|-0.223618825|-0.462344944|0.841211811|-0.067328767|0.827254552|0.790249345|1|0.861676601|-0.074242826|-0.093298845|0.175643236|0.0183790889999999|-49.62570093|66.59852278|0.138323399|-0.032929004|-41.68507499|8.211609879|0.0|0.722530518|-33.17101912|75.42629799|61.91072885|0.4442079679999999|2868.489025|-14.71237941|0.277469482|185.4673146|-750.3313497|30.46313253|-297.4895642|1553.619759|676.2770877|1.0|1.0|1.0|2.0|2.79|0.08|5.01|103.17|1.0|123.82|5.0|32.0|5.0|417.47|0.0|0.0|1.0|3.31|-4.78|0.00323|1.65e-05|0.0|2.75e-08|-1347.297639|1202.5|381.78|0.38609|0.7034199999999999|-1347.014564|0.0104|-0.1327|-0.20804|0.03809808|-1347.074898|13.2999|12.0|7.9208|7.9208
13c_a5|0.0|1|0|0|0.0|0|6.605297921|1.377702625|0.0|-0.005082338|4.59511985|3|0.024822695|-0.010689086|0.005288472|10.94530327|-0.018055556|1|-0.017427549|-0.092592608|-0.150963534|-0.324868153|0.705487111|-0.033833834|0.822789227|0.6775573359999999|0|0.80019672|-0.077308234|-0.076591149|0.4148662979999999|0.023143526|-50.97293525|158.67712230000004|0.19980328|-0.025039414|-33.29709668|10.06137448|51.93687546|0.551328235|-33.60884086|70.46156718|66.23254483|0.46617977|2793.480751|-10.8855893|0.448671765|295.8302846|-566.0506435|29.94524142|-67.68621352|1557.152554|656.208474|0.0|1.0|1.0|1.0|2.58|0.17|4.23|84.0|1.0|120.88|5.0|31.0|5.0|411.46|0.0|0.0|1.0|2.68|-3.96|0.1169999999999999|0.000109|0.0|3.36e-06|-1351.274441|1153.36|294.18|0.41594|0.51479|-1351.008469|0.1666|-0.17324|-0.22939|0.03747691|-1351.067237|2.9732|123.0|6.9101|6.9101
18_a4|0.0|0|0|0|0.0|1|7.535296702|1.3998285519999998|1.904090136|-0.004533883|5.4161004020000005|1|0.042924837|0.049240675|0.000379379|10.94611841|-0.063708832|1|0.108754635|0.006968314|0.015390457|-0.319213511|0.624748358|-0.105846349|0.8547339420000001|0.615655659|0|0.7755960390000001|-0.094231531|-0.085817825|0.269470313|0.017694182|-46.48874223|203.5264327|0.224403961|-0.03479101|-20.88721799|4.306590617|0.0|0.769438308|-22.93503169|50.98777224|55.21809494|0.405586004|2069.649003|-8.467791078|0.2305616919999999|113.7466718|-313.3082699|22.30718562|-265.85258480000005|825.3658678999999|337.0066459|0.0|1.0|0.0|1.0|2.56|0.11|3.46|50.94|0.0|86.22|3.0|23.0|4.0|307.32|0.0|1.0|1.0|2.78|-3.51|349.0|0.000312|0.0|0.0009109999999999|-1033.480025|870.74|294.88|0.52475|0.57777|-1033.349218|0.1|-0.17345|-0.20883|0.02525528|-1033.398285|3498.0|2.62|5.5817|5.5817
37_a18|0.0|0|0|0|0.0|0|7.03438793|1.251176176|0.0|-0.005351023|4.844187086|1|0.036746032|-0.018268775|0.002300582|10.94702064|-0.011713125|0|-0.0276034839999999|-0.1483628609999999|-0.224171123|-0.44541772|0.7100921609999999|-0.020149364|0.761336899|0.699483099|0|0.831783747|-0.068500679|-0.074857954|0.385121249|0.009098426|-50.09028298|12.63119843|0.168216253|-0.0286221589999999|-40.02719655|4.865006968|60.1335413|0.7648766029999999|-36.62790634|65.15554136|56.74339533|0.488368082|3055.795406|-15.30451633|0.2351233969999999|171.9311063|-1040.70711|27.36337253|-387.3755475|1860.709332|1056.535856|0.0|1.0|1.0|2.0|0.0|0.3|3.68|76.5|2.0|151.14|7.0|36.0|3.0|480.6|0.0|1.0|0.0|2.93|-5.47|0.000999|3.35e-06|0.0|7.27e-07|-1532.997117|1395.35|385.91|0.69305|0.69305|-1532.553949|499.0|-0.13194|-0.18119|0.02274574|-1532.622404|3.0375|35.0|7.4559|7.4559
16b_a32|-3.3094926630000003|1|1|1|0.0|0|7.765993078999999|0.2980105389999999|0.0|-0.008469352|5.733341277|0|0.041958333|-0.012739425|-0.008277865|10.31100078|-0.0657820279999999|3|-0.023602065|-0.1202046419999999|-0.222700615|-0.586122949|0.745820612|-0.098450203|0.907055332|0.6762731040000001|1|0.7465375040000001|-0.088716278|-0.1083060409999999|0.559199331|0.015808858|-56.84546999|53.96132589|0.253462496|-0.0345657579999999|-44.4669946|6.490611388|9.827907321|0.7476362679999999|-36.42406481|80.37824892|66.97508778|0.414997448|3037.795494|-14.19159402|0.252363732|161.7035261|-667.0049190000001|29.62431176|-317.3487516|1392.342653|597.8890744|1.0|0.0|1.0|2.0|2.48|0.28|5.4|165.49|1.0|114.43|7.0|28.0|6.0|433.57|1.0|0.0|1.0|3.26|-4.55|0.000225|2.84e-05|0.0|1.1e-05|-2315.990437|1137.73|342.39|0.70233|0.70233|-2315.757928|0.2849|-0.14995|-0.2094099999999999|0.03900066|-2315.819979|7.0093|17.0|7.7696|7.7696
