molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|FPSA1|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
3d_a49|0.0|0|0|0|0.0|1|7.535296702|0.406515615|2.089548665|-0.003398408|5.4161004020000005|2|0.036335697|-0.087308534|-0.00918253|10.35020259|0.017871379|1|-0.149675594|-0.075636705|-0.129666234|-0.202380888|0.914407252|0.029549308|0.863438637|0.846953747|1|0.733071652|-0.099295364|-0.094384452|0.464410121|0.009601398|-57.52001036|137.78978830000003|0.266928348|-0.036147237|-31.67236018|3.221917789|0.0|0.756622045|-33.32030276|65.59130031|63.08192694|0.486368221|2809.9605100000003|-12.12984007|0.243377955|140.9844521|-570.1024832|27.67490257|-297.31302830000004|1300.720421|549.3593871|1.0|0.0|1.0|3.0|0.0|0.15|0.72|121.39|1.0|111.41|4.0|28.0|5.0|392.45|0.0|0.0|1.0|1.85|-4.44|0.00252|3.6200000000000006e-05|0.0|0.000278|-1594.595995|1044.19|318.67|0.3523699999999999|0.67215|-1594.380348|0.0931|-0.16147|-0.21913|0.04373784|-1594.435881|2.3278|2.34|5.6308|5.6308
13m_a6|0.0|1|0|0|0.0|0|6.842683282|1.429020166|0.0|-0.010840005|4.727387819|2|0.0446875|0.021526267|-0.0093684169999999|10.9505335|-0.018628955|1|0.037052986|-0.068956229|-0.118693789|-0.568024162|0.870730542|-0.031564227|0.832753533|0.82642394|1|0.715612461|-0.0989137669999999|-0.107644789|0.429009107|0.01858251|-68.97140339|91.22689385|0.2843875389999999|-0.0378750189999999|-52.33806464|9.035018118|95.67846949|0.7362989999999999|-48.09294654|89.65257305|81.92876874|0.48094941|2951.567781|-18.41524497|0.263701|183.8755989|-994.4232282|35.8683143|-329.5370141|1936.888972|724.3873672999999|1.0|1.0|1.0|3.0|2.18|0.08|4.19|122.47|1.0|127.2|6.0|33.0|5.0|435.48|0.0|0.0|1.0|2.67|-4.28|0.00987|5.24e-05|0.0|9.35e-08|-1423.762467|1231.54|371.67|0.66475|0.64753|-1423.448957|0.1924|-0.13817|-0.20954|0.04955777|-1423.511471|6.5243|0.01|8.0|8.0
13d_a6|0.0|1|0|0|0.0|0|7.412764017000001|1.424214188|0.0|-0.010665225|5.351858133|1|0.041728395|0.077158715|-0.003346018|10.95129636|-0.10528143|1|0.126028544|-0.106686991|-0.174259072|-0.49314765|0.845481322|-0.187174391|0.841971795|0.7995080809999999|0|0.78862121|-0.092581323|-0.110731261|0.19992155|0.030793771|-63.04181168|156.67194009999997|0.21137879|-0.039696112|-51.34295409|14.27820079|564.780402|0.769432845|-42.92734103|88.02705449|84.01035117|0.4128711229999999|2882.382522|-18.40596467|0.230567155|157.0011174|-975.5161277|35.13035671|-366.9322097|1861.908905|692.8471883999999|1.0|1.0|1.0|2.0|3.03|0.16|5.38|95.85|2.0|121.6|6.0|32.0|5.0|423.47|0.0|0.0|1.0|3.74|-5.27|0.000471|5.42e-06|0.0|1.68e-07|-1389.403308|1219.11|341.57|0.58381|0.7007399999999999|-1389.125098|0.2513|-0.14894|-0.20146|0.02846332|-1389.188211|14.0012|0.36|6.4437|6.4437
3c_a49|0.0|0|0|0|0.0|1|7.535296702|1.343850149|2.108416128|-0.004876919|5.4161004020000005|2|0.036335697|-0.04696024|0.006218639|10.92976555|0.0127926339999999|1|-0.0780996759999999|-0.0612829229999999|-0.101919761|-0.384874446|0.666785606|0.0211518929999999|0.8605470759999999|0.64702083|1|0.7963363840000001|-0.071786669|-0.074135885|0.501887054|0.0148240689999999|-41.0524769|89.34479838|0.203663616|-0.0252377479999999|-24.24485565|4.8479546860000005|77.29181095|0.637222556|-23.47658531|54.85343388|49.52988301|0.4791465279999999|2521.794855|-8.253567879|0.362777444|207.4607002|-387.9176903|22.64931248|-156.9462939|1064.517686|542.7276591|0.0|1.0|1.0|1.0|2.67|0.18|3.63|72.7|1.0|109.43|4.0|28.0|4.0|369.42|0.0|1.0|1.0|2.86|-3.86|0.13|0.000137|0.0|1.07e-05|-1198.668772|1046.53|322.71|0.32539|0.6692100000000001|-1198.430306|0.0729|-0.15853|-0.21913|0.03394942|-1198.484646|3.7789|87.0|7.0605|7.0605
7c_a10|0.0|0|0|0|0.0|1|7.535296702|1.343178184|2.1219657030000003|-0.00375251|5.4161004020000005|2|0.039433962|-0.1122332619999999|0.01006918|10.92926158|-0.066271289|1|-0.176560297|-0.12177839|-0.191576261|-0.215874011|0.725146704|-0.105104647|0.84177174|0.6952665379999999|1|0.906276489|-0.05074318|-0.0876410609999999|0.487148112|0.027436939|-29.66615908|87.99694927|0.093723511|-0.0223398779999999|-29.95538587|9.377842892|58.07647902|0.52630639|-17.34382833|67.01436709|45.70671102|0.4675549639999999|2616.8970870000003|-7.635686595|0.47369361|276.93712|-389.4200163|24.81565867|-30.75918962|1265.598592|611.4957509|1.0|1.0|1.0|0.0|3.49|0.26|4.59|62.06|1.0|113.07|4.0|29.0|5.0|386.45|0.0|1.0|1.0|3.59|-4.69|0.0139|2.05e-05|0.0|6.4e-06|-1259.011598|1102.43|323.24|0.41348|0.68708|-1258.744382|0.0921|-0.16055|-0.20059|0.02659395|-1258.801509|5.0714|3.81|5.4191|5.4191
14w_a23|0.0|0|1|1|0.0|2|7.423568444|1.197963556|3.132012648|-0.006481882|5.351858133|2|0.046678487|0.045196333|0.003379755|10.31321817|-0.031435038|2|0.126238077|-0.073958723|-0.206574435|-0.427696371|0.5788469970000001|-0.049318182|0.8668730109999999|0.558482531|1|0.7880718659999999|-0.070714528|-0.088508061|0.228641034|0.022440155|-46.76570273|43.30287556|0.211928134|-0.035779855|-38.70975831|9.814393755|90.15900589|0.743451788|-30.92760432|72.23920014|61.60607046|0.4972095239999999|3071.908367|-15.648625699999998|0.256548212|169.6632599|-735.4854078|31.82765022|-322.004381|1495.89956|597.2903597999999|0.0|0.0|0.0|1.0|3.35|0.05|4.2|105.02|2.0|120.2|5.0|32.0|6.0|447.46|0.0|0.0|0.0|4.05|-5.27|0.0009369999999999|5.41e-06|0.0|5.23e-06|-1828.385903|1150.31|338.46|0.6219399999999999|0.6219399999999999|-1828.161957|0.3855|-0.14844|-0.22824|0.02204118|-1828.222578|9.8981|2.0|8.6737|8.6737
18c_a30|0.0|0|0|0|0.0|0|7.412764017000001|0.604986846|0.0|-0.0109670669999999|5.351858133|2|0.042560386|0.011887112|-0.003436924|10.31163825|-0.0351777|1|0.0211588229999999|0.003429114|0.006103754|-0.562807327|0.841060094|-0.058608635|0.885516463|0.802578397|0|0.717052026|-0.105618255|-0.1115683|0.42531141|0.019360263|-71.31647561|384.391404|0.282947974|-0.042101245|-50.86775696|8.826997739|103.215593|0.7859920029999999|-48.15493021|87.76550537|84.38908035|0.448899917|3002.59061|-19.19537998|0.214007997|144.5043388|-1017.355139|36.16826708|-386.2200097|1916.918155|713.7769663|1.0|0.0|0.0|2.0|0.0|0.13|3.04|124.74|1.0|135.37|6.0|32.0|5.0|441.51|0.0|0.0|0.0|1.91|-4.3|0.00427|5e-05|0.0|0.000288|-1744.500825|1209.11|355.78|0.69123|0.69123|-1744.2261030000002|0.3879|-0.14225|-198.0|0.04503016|-1744.28923|8.64|12.0|7.9208|7.9208
5g_a40|0.0|0|0|0|0.0|1|8.149890544|0.604913142|1.534673091|-0.016033575|6.167516491000001|0|0.044946237|-0.0602779129999999|-0.012794054|10.31198315|-0.091116241|2|-0.104356485|0.07917206|0.137067086|-0.4748772539999999|0.795454476|-0.1312278909999999|0.882781953|0.7733200179999999|1|0.67772744|-0.153687065|-0.14338431|0.245639795|0.024937196|-72.93994279|216.425542|0.32227256|-0.049288357|-32.29667648|5.616992201|0.0|0.745349319|-34.61732609|80.22859145|84.77514603|0.488538966|2054.810452|-11.10198254|0.254650681|120.8573152|-355.2634413|31.38430965|-232.8857705|1004.297909|266.8102663|0.0|0.0|0.0|2.0|1.96|0.21|2.69|115.96|0.0|78.2|3.0|21.0|5.0|301.32|0.0|0.0|1.0|2.01|-3.37|0.0174|0.000426|0.0|391.0|-1328.055803|800.98|356.27|0.6563|0.6563|-1327.9345529999998|261.0|-0.14505|-0.19908|0.04070345|-1327.982732|6.7957|123.0|6.9101|6.9101
3c_a32|0.0|1|1|1|0.0|0|7.765993078999999|0.6094207970000001|0.0|-0.006923974|5.733341277|0|0.043817204|-0.0522536959999999|-0.00017094|10.31100278|-0.01180891|3|-0.097512832|-0.0779821129999999|-0.145525719|-0.5427297289999999|0.831186295|-0.019130435|0.901864778|0.774363061|1|0.888766719|-0.0679200029999999|-0.0943910459999999|0.216289509|0.015118975|-34.91603827|59.72163595|0.1112332809999999|-0.0288417079999999|-24.94510426|3.995552912|0.0|0.693952122|-17.94949454|57.94025396|42.68833949|0.423167668|2152.627425|-7.622115192000001|0.306047878|157.331845|-274.3961469|21.36577928|-199.4122311|769.1680542|370.5811396|1.0|1.0|1.0|1.0|2.95|0.19|6.61|110.94|1.0|93.05|3.0|22.0|3.0|326.44|0.0|0.0|1.0|4.02|-4.91|0.000217|1.22e-05|0.0|4.18e-05|-1633.443791|903.81|352.54|0.7034600000000001|0.7034600000000001|-1633.297494|0.5017|-0.14219|-0.1970599999999999|0.02415856|-1633.348356|5.0659|9.0|8.0458|8.0458
6g_a40|0.0|0|0|0|0.0|1|8.421342866|0.604893315|1.628664494|-0.022381557|6.401917197|0|0.039863946|-0.120745388|-0.019683422|10.30179936|-0.251161616|2|-0.221674172|0.0312035079999999|0.05728593|-0.588058458|0.8316888240000001|-0.340429901|0.8917390820000001|0.808096413|1|0.605346707|-0.164941808|-0.156296046|0.400587529|0.017750905|-107.2113398|328.78166810000005|0.3946532929999999|-0.059045173|-66.03405036|7.499640603|47.36081569|0.824204189|-69.68682788|114.7475987|118.7493383|0.425569146|3142.74733|-24.9461968|0.175795811|114.2663866|-1122.578856|46.56499428|-421.4621621|2095.424743|590.1686672000001|0.0|0.0|1.0|3.0|2.28|0.21|3.43|213.89|1.0|124.18|5.0|31.0|7.0|474.53|1.0|0.0|0.0|2.37|-4.71|2.87e-05|1.93e-05|1.0|0.6459999999999999|-2522.023752|1144.59|440.68|0.58454|0.5794199999999999|-2521.8114530000003|0.1307|-0.11857|-0.20479|0.03363483|-2521.87499|8.9454|47.0|7.3279|7.3279
15d_a10|0.0|0|0|0|0.0|1|7.535296702|1.343850133|2.147544195|-0.002831383|5.4161004020000005|3|0.031742919|-0.059217023|0.010215823|10.92970801|0.007032164|1|-0.092884337|-0.1786649189999999|-0.280243276|-0.1945202089999999|0.74726683|0.0131101969999999|0.7857977740000001|0.71456262|1|0.87609771|-0.057588609|-0.070612242|0.565801561|0.02281891|-38.80896881|67.59624856|0.12390229|-0.018829931|-32.06793721|10.36301002|141.0919598|0.471900166|-26.15336742|66.95020436|54.18663419|0.473858537|2967.522813|-8.551449923|0.5280998339999999|355.8865234|-513.0869954|26.89020509|37.87296065|1613.412305|825.4425942|0.0|1.0|1.0|0.0|4.01|0.35|4.14|65.3|1.0|131.43|6.0|33.0|6.0|441.52|0.0|1.0|0.0|3.18|-4.38|0.0739|4.1200000000000005e-05|0.0|6.62e-06|-1430.8144619999998|1266.87|321.28|0.3685|0.6814100000000001|-1430.733658|0.0856|-0.15916|-0.20918|-0.23696253|-1430.795367|3.8163|69.0|7.1612|7.1612
8e_a8|0.0|1|0|0|0.0|1|7.05012252|1.394799502|1.311619189|-0.010579355|4.844187086|0|0.0427891159999999|-0.000766016|-0.005310149|10.94332438|-0.051339286|1|-0.0015448089999999|0.090898585|0.183313231|-0.475941912|0.650073857|-0.079493088|0.7742101929999999|0.636205913|0|0.661490276|-0.115572516|-0.105450888|0.280304418|0.0211004739999999|-70.49962428|106.0087621|0.338509724|-0.04393787|-39.238709|7.851573274|76.40535608|0.803307236|-43.00500847|75.57562034|83.37098475|0.483244415|2692.975753|-16.34946208|0.196692764|119.9832494|-784.77418|33.36487904|-370.0368722|1601.514194|561.882658|0.0|0.0|0.0|2.0|2.98|0.04|4.33|90.11|2.0|111.81|5.0|30.0|4.0|403.41|0.0|0.0|0.0|3.71|-4.9|0.00215|1.25e-05|0.0|6.63e-06|-1376.957298|1090.07|378.73|0.50055|0.7013|-1376.708067|0.1671|-0.13719|-0.19972|0.03298991|-1376.766245|7.7951|19.89|4.7014|4.7014
28_a20|0.0|0|0|0|0.0|1|6.842683282|1.417203216|1.837209467|-0.006492092|4.727387819|3|0.0396875|0.091462964|0.002234763|10.94963925|-0.039965901|1|0.155263557|-0.016955137|-0.028782305|-0.447096101|0.715067047|-0.06654421|0.812553182|0.690655217|1|0.7817507370000001|-0.086299346|-0.091179288|0.3962228229999999|0.014682607|-57.59898971|318.7453661|0.218249263|-0.035068957|-40.6172876|6.540604536|88.39175809|0.773641727|-38.44343857|71.98460956|67.39863895|0.468838001|2865.917291|-15.62203369|0.226358273|151.0788711|-812.3457521|30.25452396|-365.2747728|1573.2352460000002|684.5377542|0.0|1.0|1.0|1.0|2.86|0.08|3.93|99.58|1.0|122.8|5.0|32.0|5.0|420.47|0.0|0.0|1.0|3.04|-4.43|0.0159|3.72e-05|0.0|6.590000000000001e-07|-1368.363151|1198.32|346.35|0.50352|0.4701899999999999|-1368.085242|0.0153|-0.15572|-0.21814|0.03534166|-1368.146882|4.7428|255.0|6.5935|6.5935
22_a10|0.0|0|0|0|0.0|1|7.535296702|1.343837143|2.113627059|-0.005035102|5.4161004020000005|2|0.036101695|-0.026750502|0.008350227|10.92966136|-0.020475007|1|-0.042831367|-0.129989728|-0.208132084|-0.356699217|0.670763832|-0.033474297|0.79665945|0.646474494|1|0.8698299140000001|-0.053881447|-0.0649866779999999|0.775071808|0.016720696|-41.96631248|75.58376652|0.130170086|-0.022372463|-39.42279832|10.14325785|60.10354816|0.564323334|-32.68604442|71.13124588|54.98945848|0.422182297|3241.833491|-13.57178303|0.435676666|339.3328129|-827.8787647|30.87787063|-100.1982412|1883.550109|916.8601445|1.0|1.0|1.0|0.0|4.14|0.17|4.64|73.14|2.0|139.53|6.0|36.0|5.0|475.54|0.0|0.0|0.0|4.26|-5.53|0.00217|2.95e-06|0.0|2.03e-07|-1544.237634|1339.48|321.89|0.4483899999999999|0.6834100000000001|-1543.893507|0.1922|-0.16095|-0.2180699999999999|0.03366599|-1543.959333|6.5841|1.1|5.9586|5.9586
4m_a46|0.0|0|0|0|0.16407746|1|7.825245291|1.134637002|2.12888511|-0.000686578|5.587248657999999|1|0.041865079|-0.302054595|0.011122528|10.94319657|0.007901235|1|-0.487230027|-0.017992096|-0.029022201|-0.098201489|0.615482006|0.011235955|0.7975218959999999|0.626578283|0|0.948973877|-0.067320375|-0.0672468|0.373463876|0.010905551|-35.4774406|6.161736337000001|0.051026123|-0.0224155999999999|-18.67596877|3.028720082|35.77391986|0.733236381|-18.69640205|41.88525631|41.22460182|0.463006576|2133.331634|-6.225322922999999|0.266763619|140.5828543|-280.1395315|16.11061509|-245.828396|724.9776792|486.9589609|1.0|0.0|1.0|0.0|2.9|0.29|4.25|54.5|1.0|98.69|2.0|25.0|3.0|328.41|0.0|1.0|1.0|3.59|-4.57|0.00981|2.68e-05|0.0|4.31e-05|-1031.138426|975.72|285.18|0.38389|0.68505|-1030.929791|0.1557|-0.18308|-0.23116|0.02920209|-1030.980844|5.2326|1288.0|5.8901|5.8901
12_a15|0.0|0|0|0|0.0|0|0.0|1.435689014|0.0|-0.006620824|0.0|2|0.034285714|-0.035728911|0.001740635|10.95973444|-0.01062828|0|-0.054575504|-0.120626133|-0.184255041|-0.380490701|0.8310685940000001|-0.019064393|0.769289315|0.7933685340000001|0|0.89637291|-0.061084417|-0.094209248|0.738437971|0.015018226|-39.00359933|72.18361893|0.10362709|-0.031995594|-38.40979933|6.123040777999999|4.192089814|0.746489397|-24.90456371|70.6606311|48.59303169|0.476419838|2613.57759|-13.04483751|0.253510603|161.8714956|-691.376388|27.36785616|-314.7766363|1450.496376|673.7288405|1.0|1.0|1.0|1.0|3.73|0.12|5.32|56.27|2.0|119.95|6.0|30.0|4.0|397.47|1.0|0.0|1.0|4.7|-5.83|0.0002379999999999|1.47e-06|0.0|5.99e-08|-1281.087109|1177.81|321.72|0.50595|0.70444|-1280.810963|0.0093|-0.15858|-0.19054|0.02694613|-1280.871722|6.0547|4.0|8.3979|8.3979
12v_a36|0.0|1|0|0|0.0|0|7.412764017000001|1.297043692|0.0|-0.008411281|5.351858133|2|0.041767677|0.073329354|0.00127667|10.96020642|-0.023932402|1|0.123026459|-0.1430106119999999|-0.239932418|-0.401336708|0.8913597320000001|-0.041914045|0.8792981679999999|0.84179881|0|0.802291339|-0.078158778|-0.105200486|0.334379501|0.027145269|-51.4172081|113.7463918|0.197708661|-0.033118671|-45.52806671|11.74777471|0.462992841|0.6276553979999999|-33.82511043|88.07013157|69.27488156|0.461799225|2846.057239|-14.33290989|0.372344602|244.9490697|-773.9771341000001|34.71221847|-167.9576969|1874.459798|679.7230552999999|1.0|0.0|0.0|2.0|0.0|0.17|2.77|78.43|1.0|130.24|6.0|31.0|5.0|411.46|0.0|0.0|0.0|1.81|-4.07|0.0464|8.499999999999999e-05|0.0|8.340000000000001e-05|-1347.475543|1150.38|334.77|0.69298|0.7016100000000001|-1347.2000369999998|0.0223|-0.15185|-0.20404|0.03275089|-1347.260743|7.9237|14.0|7.8539|7.8539
13b_a5|0.0|1|0|0|0.0|0|7.153833802|1.338814635|0.0|-0.004573365|5.209486153|2|0.02468599|-0.006314305|0.0064510459999999|10.94530329|-0.017963913|1|-0.010368468|-0.055701188|-0.091464693|-0.357011244|0.6700114770000001|-0.0330907489999999|0.8184221559999999|0.653356347|0|0.831557236|-0.0694958329999999|-0.074710354|0.468748106|0.0138892369999999|-44.93506461|14.41650822|0.168442764|-0.02636836|-31.23446039|5.806729729|46.77748445|0.654076389|-29.05440446|62.24204745|53.91565742|0.455921715|2661.597781|-11.0239272|0.345923611|223.6695238|-562.2202871000001|26.06641209|-199.2474147|1329.387016|638.8437454|0.0|1.0|1.0|1.0|2.64|0.17|4.64|74.77|1.0|119.8|5.0|30.0|4.0|395.46|0.0|1.0|1.0|3.26|-4.43|0.0225|3.75e-05|0.0|1.72e-06|-1276.066049|1138.73|296.66|0.32779|0.57482|-1275.806761|0.3064|-0.17274|-0.22451|0.035153|-1275.865034|4.7964|0.11|6.9586|6.9586
10_a32|0.0|1|1|1|0.0|0|7.765993078999999|0.6094207629999999|0.0|-0.016404762|5.733341277|0|0.03995614|-0.020186906|-0.0064007569999999|10.31100271|-0.047619048|3|-0.03673326|-0.1260956869999999|-0.229450999|-0.690879647|0.809370315|-0.079818594|0.915639476|0.764217655|1|0.7622839570000001|-0.088310158|-0.1223816869999999|0.266552538|0.02575778|-54.55170955|57.97512956|0.237716043|-0.038939628|-46.69945835|9.828875607|52.24660367|0.6946347429999999|-33.69815077|91.10767604|70.46302679|0.449853016|2649.882742|-14.85891856|0.305365257|188.6328503|-653.7924168|34.62844557|-240.4628923|1523.651605|513.9156315|1.0|0.0|1.0|2.0|3.12|0.22|5.64|149.27|1.0|107.14|7.0|27.0|5.0|399.49|1.0|0.0|1.0|3.42|-4.41|0.000366|3.89e-05|0.0|4.13e-05|-1916.668776|1086.09|340.24|0.70228|0.70228|-1916.460049|0.2983|-0.15088|-0.2052199999999999|0.03701539|-1916.519894|3.2297|7.0|8.1427|8.1427
14ad_a23|0.0|0|1|1|0.0|2|7.423568444|1.197962774|3.3437482860000003|-0.00790478|5.351858133|2|0.0444129979999999|0.118047355|0.008996289|10.31321689|-0.031279567|2|0.2086248289999999|-0.143336826|-0.253318853|-0.376350719|0.7763406840000001|-0.050707765|0.8356326820000001|0.7317531540000001|1|0.887131635|-0.059168372|-0.085840335|0.224009311|0.033831691|-42.29008971|52.63180108|0.112868365|-0.029653934|-43.85199724|17.28310144|114.237062|0.575880959|-30.226481300000003|85.20135045|66.47100256|0.46995189|3209.330728|-15.14887177|0.424119041|303.1354708|-833.1879476|36.80430179|-108.4705382|2024.236598|770.8206617000001|0.0|0.0|1.0|1.0|3.49|0.12|3.48|123.48|2.0|133.27|7.0|34.0|6.0|471.53|0.0|0.0|0.0|3.39|-5.08|0.000753|8.22e-06|0.0|1.17e-05|-1858.957788|1287.26|366.09|0.6956600000000001|0.6956600000000001|-1858.668058|0.4106|-0.13734|-0.20659|0.01481488|-1858.733603|6.7584|4.0|8.3595|8.3595
14aa_a23|0.0|0|1|1|0.0|2|7.423568444|1.19796312|3.4143268310000003|-0.005050361|5.351858133|2|0.046678487|0.031136154|0.013012022|10.313217300000002|-0.044957534|2|0.055934795|-0.074579388|-0.13397874|-0.4506138879999999|0.725358161|-0.070471939|0.8072028240000001|0.693959193|1|0.924108042|-0.052155763|-0.076107469|0.204831806|0.018016316|-35.51947393|40.49537336|0.075891958|-0.03159178|-35.2984572|8.355923226|83.27171526|0.796659447|-24.18971469|61.21989213|47.78906871|0.4930525229999999|2941.302235|-14.65218978|0.203340553|138.4803717|-776.5660584|27.00633206|-404.0660854|1431.335599|733.3886349999999|0.0|0.0|1.0|1.0|3.68|0.12|4.4|105.02|2.0|130.22|5.0|32.0|4.0|439.54|0.0|0.0|0.0|4.1|-5.55|0.000259|2.81e-06|0.0|3.07e-06|-1708.5626|1231.11|345.03|0.6805899999999999|0.6805899999999999|-1708.276011|0.4157|-0.1449|-0.21573|0.02033777|-1708.338059|8.3532|4.0|8451.0|8451.0
47p_a18|0.0|0|0|0|0.0|0|7.03438793|1.25117677|0.0|-0.005394244|4.844187086|0|0.037575758|0.025217016|0.00235332|10.94701988|-0.049428094|0|0.037961877|-0.1736074389999999|-0.261349889|-0.441700685|0.72025564|-0.082977829|0.7611910209999999|0.710266593|0|0.832954548|-0.06909945|-0.082580968|0.278332428|0.007989903|-51.14496913|10.25627035|0.1670454519999999|-0.030813794|-45.24146169|4.377217987|48.48855261|0.818459442|-37.85569728|69.19354871|57.05881288|0.488811071|2933.069245|-16.88114242|0.181540558|134.3699001|-1131.036542|27.86610962|-471.4248324|1867.029344|1011.163774|1.0|1.0|1.0|2.0|0.0|0.28|3.65|76.5|3.0|144.53|9.0|35.0|3.0|468.59|0.0|1.0|0.0|2.9|-5.27|0.000998|5.34e-06|0.0|4.38e-07|-1493.759811|1391.71|387.01|0.6937800000000001|0.6937800000000001|-1493.338659|595.0|-0.13118|-0.18746|0.02843634|-1493.407248|4.6652|64.0|7.1938|7.1938
12al_a36|0.0|1|0|0|0.0|0|7.412764017000001|1.297043737|0.0|-0.008463062|5.351858133|2|0.042739018|0.1030147719999999|0.00127667|10.96020817|-0.031635802|1|0.172830414|-0.1430106119999999|-0.239932418|-0.404703593|0.8913597320000001|-0.055405405|0.885733922|0.84179881|0|0.801179217|-0.077842923|-0.105915949|0.2689491989999999|0.026927826|-51.22331485|114.2305891|0.198820783|-0.035305316|-45.86257662|11.65999569|0.0|0.671084645|-33.70669917|86.77628559|68.94274882|0.456856406|2843.740855|-15.28752554|0.328915355|216.4375922|-825.5263792000001|34.61874732|-225.1591357|1869.412355|679.7230552999999|1.0|0.0|0.0|2.0|0.0|0.17|2.77|78.43|1.0|130.24|6.0|31.0|5.0|411.46|0.0|0.0|0.0|1.81|-4.07|0.0464|8.499999999999999e-05|1.0|8.340000000000001e-05|-1347.479819|1181.84|349.14|0.6945399999999999|0.70417|-1347.196501|0.0095|-0.14558|-0.1955599999999999|0.03469224|-1347.257936|8.1781|48.0|7.3188|7.3188
19d_a38|0.0|1|0|0|0.0|0|7.412764017000001|1.297043205|0.0|-0.0120676969999999|5.351858133|2|0.04572104|0.019858574|-0.011156837|10.95446448|-0.024688524|1|0.041924146|-0.060668296|-0.128079012|-0.529632789|0.7581164340000001|-0.039361255|0.908591797|0.730686013|0|0.63167949|-0.116424545|-0.1248815919999999|0.3509455999999999|0.024158903|-74.84120843|158.6487879|0.36832051|-0.04393982|-51.60489663|9.98319831|115.6739235|0.7494816990000001|-48.11018574|94.84426896|90.37127996|0.478151237|3055.168373|-18.15727844|0.250518301|161.0407189|-980.493036|37.68716585|-320.7487188|2035.106956|686.8472757999999|0.0|0.0|0.0|4.0|2.38|0.13|2.34|124.32|1.0|133.79|6.0|33.0|5.0|444.46|0.0|0.0|0.0|1.94|-3.62|0.0594|0.0002399999999999|0.0|0.000175|-1500.898316|1171.77|338.89|0.3356699999999999|0.6957800000000001|-1500.621723|0.0699|-0.15054|-0.20145|0.04735828|-1500.683599|10.6621|11.0|7.9586|7.9586
14_a47|0.0|1|1|1|0.0|0|6.605297921|1.417758105|0.0|-0.006070958|4.59511985|2|0.036632997|0.017068634|-0.008212621|10.95058279|0.0295267039999999|1|0.05124606|-0.020596219|-0.061837113|-0.33240126|0.5975877820000001|0.050943962|0.8467634620000001|0.579833096|1|0.681598464|-0.093553938|-0.094132436|0.2662137639999999|0.020106089|-47.18187618|64.60629385|0.318401536|-0.034963476|-23.9422834|5.113919242|0.0|0.664709719|-23.79514424|61.62381153|57.32194098|0.474828277|2254.664317|-8.892848121|0.335290281|169.0962983|-311.2496842|26.52746264|-166.1354667|928.4611922|310.8026328|1.0|1.0|1.0|2.0|1.53|0.0|3.97|66.49|0.0|86.58|3.0|24.0|5.0|323.3|0.0|1.0|1.0|3.16|-4.13|0.0349|7.46e-05|0.0|5.27e-06|-1127.737484|849.76|312.53|0.68345|0.68345|-1127.610422|0.2452|-0.16377|-0.22434|0.03679054|-1127.6593779999998|3665.0|8.0|8.1|8.1
