molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
8_a15|0|0|0.0|0.0|0|0.0|0|1.419941362|0.0|-0.009853404|0.0|-0.044406425|1|0.0|1.7800000000000002e-05|-0.010146469|-0.014489333|0.003160815|0.225620047|-0.295062413|-0.342749125|1|0.85357243|0.7059441040000001|0|0.853896482|-0.071552706|-0.118293578|0.381651497|0.0336657729999999|19.65860939|104.8781037|-40.33569847|55.99586988|-1.419522941|-24.39801408|89.80283608|-16.91650111|61.44071008|2393.276181|-828.9085544|-9.878130237|0.480572589|6.093505548|9.984825987|0.638601279|280.62296039999995|-484.0283816000001|0.035495625|-22.68867482|1595.8121130000002|532.0914339999999|1.0|1.0|0.0|1.0|1.0|3.14|0.19|18.0|-7.57|3.9|4.95|61.84|2.0|104.74|7.0|27.0|-5.52|366.41|1.0|3.76|0.00206|1.53e-05|4.24|0.0|0.0|2.69e-08|9.86e-06|-0.02723|4.4346|3.36|-1223.704913|598.84|251.0|279.58|538.51|0.5128|0.70524|-1223.463981|0.0155|-0.1558|1.1415|-0.18303|0.01719864|-1223.523393|108.0|6.9666
10_a4|0|0|0.0|0.0|1|7.535296702|1|1.343863662|2.146166934|-0.002959121|5.4161004020000005|0.005483539|2|2.149387791|0.01107733|-0.122141977|-0.090413559|0.011142889|0.014917047|-0.132895939|-0.241683916|2|0.6990620390000001|0.810105167|1|0.921653019|-0.051015897|-0.079432495|0.43000216|0.014582852|8.440134933|39.48408698|-26.60798798|64.26218096|-1.350352423|-17.08910641|54.09964719|-15.63090193|37.96666686|2480.063587|-781.5450965|-9.046715915|0.255470315|5.759414166|11.20225306|0.945033425|147.85886159999998|-452.3357957|0.014040792|-283.0534799|1049.716502|594.7358385|1.0|1.0|1.0|1.0|0.0|3.46|0.26|21.0|-8.07|4.93|4.81|52.83|2.0|111.38|4.0|28.0|-5.83|370.45|1.0|3.9|0.00818|1.4e-05|3.85|0.0|0.0|8.51e-09|3.15e-06|-0.04689|4.9674|3.34|-1183.812875|619.99|0.1792|249.6|470.02|0.4662|0.7038399999999999|-1183.54701|0.0176|-0.15561|1.4517|-0.2025|0.02232068|-1183.602045|88.0|7.0555
17d_a50|0|1|0.0|0.0|2|8.105609402|2|1.338814635|4.380250483|-0.002166617|6.042632834|0.03538699|1|2.234730384|0.012079|-0.136180713|-0.125540541|0.01245647|0.009780681|-0.323333765|-0.2294807539999999|1|0.754575205|0.748516466|1|0.929886823|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|10.55016861|5.007868064|-33.56790124|86.38197811|-1.535398758|-21.24595322|57.5414543|-17.74731987|41.18485076|2824.70142|-1064.839192|-12.30823045|0.24594297|6.996105516|12.62170017|0.8041037459999999|170.5678813|-738.4938272999999|0.013178555|-352.3903892|1412.14676|829.3813984|1.0|1.0|1.0|1.0|0.0|4.07|0.35|20.0|-7.07|4.0|4.29|51.77|2.0|133.19|6.0|32.0|-6.25|424.54|0.0|3.68|0.0135|1.31e-05|3.72|0.0|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|3.41|-1335.989008|727.15|0.1819|306.09|579.45|0.66103|0.66103|-1335.649722|0.1819|-0.16716|5.6557|-0.19967|0.02625058|-1335.713194|74.0|7.1308
14a_a22|0|0|0.0|0.0|1|6.842683282|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|-0.052476637|2|1.614660505|0.005288335|-0.057308195|-0.015194063|0.005757758|0.036467904|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|1|0.864077619|-0.062215607|-0.081479363|0.490491034|0.021268761|14.49148204|93.21042936|-37.82586486|60.38977977|-1.629587269|-28.88288575|70.33046351|-21.35231162|56.88212098|2885.858295|-1110.320204|-14.54840956|0.299209593|8.052850876|14.55117701|0.8069597009999999|203.8666248|-756.5172972|0.021742777|-273.61731430000003|1584.38271|684.5377542|1.0|1.0|1.0|1.0|1.0|3.42|0.08|27.0|-9.21|3.87|4.31|85.59|1.0|124.05|6.0|32.0|-6.61|420.47|1.0|3.19|0.00945|2.1e-05|3.18|0.0|0.0|6.1e-10|2.56e-07|-0.06145|5.0653|4.98|-1368.35698|695.62|0.3051|244.77|534.87|0.45928|0.63156|-1368.075682|0.0578|-0.15029|4.9775|-0.21174|0.03539365|-1368.13858|38.0|7.4202
6c_a31|1|0|3.423005244|0.0|0|7.78113851|1|0.6101347220000001|0.0|-0.015192833|5.733341277|-0.151732713|0|0.0|-0.009477764|-0.00219333|-0.107687565|-0.00668344|0.2301743489999999|-0.009333123|-0.582545668|0|0.831901219|0.790900932|0|0.641197273|-0.120905075|-0.126324613|0.138124296|0.03173578|20.09112958|163.6316745|-50.62888027|105.7632176|-2.147518413|-48.45681657|93.4208388|-28.32375523|96.63311186|2837.949799|-1359.540251|-17.93106176|0.234676081|8.102804662|14.63492011|0.8061548709999999|148.5675636|-860.6909647|0.0212421629999999|-335.9398876|1776.424619|597.3075924999999|1.0|1.0|1.0|1.0|2.0|3.67|0.14|22.0|-7.72|5.58|4.26|131.36|2.0|114.5|5.0|30.0|-6.27|418.47|1.0|3.64|0.000343|1.15e-05|3.64|0.0|0.0|1.89e-08|7.9e-06|-0.0581799999999999|3.2974|5.08|-1691.984862|667.01|0.5028|376.01|524.56|0.7014699999999999|0.7014699999999999|-1691.734564|0.5028|-0.13351|5.9253|-0.19169|0.03620884|-1691.794585|0.34|6.4685
12w_a36|1|0|3.3131307480000003|-4.750262163|0|7.412764017000001|2|1.24014105|0.0|-0.015825416|5.351858133|-0.297354748|2|0.0|-0.011700732|-0.041402825|-0.010726574|-0.007897954|0.115646674|-0.3344729369999999|-0.604676196|1|0.647732719|0.828393514|0|0.828363244|-0.086826396|-0.111267166|0.532980165|0.021104445|15.15285952|112.947763|-57.35989379|0.780959767|-2.225343322|-44.76031023|99.51883498|-29.58856606|77.49366829|3230.870697|-1597.782567|-21.24440511|0.29463721|8.365472166|15.701847400000002|0.8769828040000001|211.5476713|-1147.197876|0.0273396629999999|-294.8983941|2265.1925920000003|672.4630346|0.0|1.0|1.0|0.0|2.0|4.82|0.17|17.0|-7.14|3.31|4.04|78.43|2.0|130.43|7.0|34.0|-6.4|465.43|0.0|2.65|0.00291|8.6e-06|3.86|0.0|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|-1645.202839|712.88|0.4508|318.88|552.55|0.69466|0.69466|-1644.953222|0.4508|-0.15708|5043.0|-0.21034|0.0328886|-1645.017691|23.0|7.6383
IN1233_a59|1|0|3.463603867|0.0|0|6.842683282|0|1.400923654|0.0|-0.008841844|4.727387819|-0.12050413|2|1.983673343|-0.005614194|-0.011236836|-0.054458882|-0.004071701|0.268927191|0.003282792|-0.597167441|2|0.809917509|0.74801464|1|0.7613246490000001|-0.092761756|-0.095213818|0.356444983|0.010831674|7.208329477|318.5587088|-42.16752524|83.1557517|-1.904276352|-41.08157616|72.32484741|-23.91074854|68.94000009|2809.840422|-1267.269673|-15.91227368|0.1892041019999999|8.011984402000001|15.51626497|0.936631949|125.91272279999998|-843.3505049|0.0134658889999999|-413.6607749|1562.994677|712.1606951|1.0|1.0|1.0|1.0|2.0|3.48|0.08|27.0|-10.0|5.54|4.69|97.55|2.0|125.07|5.0|32.0|-6.13|419.48|1.0|3.78|0.00107|6.91e-06|3.85|0.0|0.0|9.93e-11|4.17e-08|-0.05605|5.2194|5.35|-1352.351584|703.47|0.2623|237.54|531.14|0.51285|0.6953699999999999|-1352.073755|0.2011|-0.14684|5.4004|-0.20289|0.02473496|-1352.135303|34.0|7.4685
9d_a31|1|0|3.456767212|0.0|0|7.765993078999999|1|0.61013528|0.0|-0.012442213|5.733341277|-0.043220149|0|0.0|-0.002456634|-0.0938310919999999|-0.021171445|0.000127275|-0.091744753|-0.214049412|-0.550392027|0|0.8066174070000001|0.8343242820000001|0|0.6943358040000001|-0.098210975|-0.11958484|0.3655337879999999|0.029032453|19.79432796|154.8767865|-55.58917047|560.5224416|-1.793772606|-45.65350116|97.84665015|-23.07536346|86.75457645|2654.377004|-1222.994263|-15.732784099999998|0.336380477|9.436176796|17.39409698|0.8433415740000001|229.34422830000003|-833.8375571|0.023927395|-223.1115993|1842.914835|647.1500428999999|1.0|1.0|1.0|1.0|2.0|3.8|0.38|16.0|-7.63|6.04|4.09|117.37|2.0|112.97|9.0|29.0|-6.36|412.51|1.0|3.65|0.0010199999999999|4.06e-05|3.46|0.0|0.0|2.3500000000000002e-08|9.69e-06|-0.03457|3.8478|5.0|-1657.471475|727.27|0.2611|322.22|630.49|0.7006899999999999|0.7006899999999999|-1657.1791449999998|0.2611|-0.15969|2.6311|-0.19426|0.04331056|-1657.245966|0.6|6.2218
13a_a6|1|0|3.417162147|0.0|0|7.412764017000001|1|1.430639975|0.0|-0.01115741|5.351858133|-0.0265090529999999|1|0.0|-0.00460563|0.0015242189999999|-0.0525259259999999|-0.00194781|0.05269025|-0.180339002|-0.488098052|1|0.850080948|0.7722228729999999|0|0.77450544|-0.094081761|-0.113446379|0.22670695|0.031866842|20.83876732|154.9639272|-48.51283287|554.4922449|-2.042034827|-40.23198232|87.37044493|-26.70706346|82.36189896|2820.31296|-1335.353173|-17.46461983|0.240087608|8.038453162|15.08351934|0.8764206290000001|157.0011174|-873.2309916000002|0.02016134|-339.9303794|1757.246214|627.4287311|1.0|1.0|1.0|1.0|2.0|3.53|0.12|23.0|-9.01|4.98|4.32|95.85|2.0|116.79|5.0|31.0|-6.1|409.44|1.0|3.52|0.0012699999999999|1.02e-05|3.8|0.0|0.0|9.77e-10|4e-07|-0.05018|5.9934|4.04|-1350.085889|695.29|0.5352|206.87|571.9|0.4816|0.70072|-1349.834826|0.2697|-0.14969|7.7145|-0.19987|0.02818646|-1349.895534|46.0|7.3372
1b_a5|1|0|2.881451247|0.0|0|6.605297921|0|1.4258024619999998|0.0|-0.00279809|4.59511985|-0.061874543|2|0.0|0.003886035|0.001241264|-0.028797464|0.003708988|-0.220946861|0.045204303|-0.231956531|2|0.567806811|0.759794937|0|0.808828623|-0.07823203|-0.077221824|0.341795323|0.010803163|5.438378717999999|168.30518769999998|-19.56938257|0.769931305|-1.158327367|-19.82538668|48.55415504|-15.75970652|44.82086533|2171.716467|-583.1091414|-7.933533473|0.267518749|6.11909445|11.64312636|0.90275317|134.6705884|-293.5407385|0.019229427|-234.0649914|796.0738116|357.34245360000006|1.0|0.0|1.0|1.0|1.0|2.75|0.0|23.0|-8.3|4.88|4.76|54.46|0.0|90.44|3.0|24.0|-5.99|316.33|1.0|3.38|0.0336|4.970000000000001e-05|3.16|0.0|0.0|4.99e-09|1.58e-06|-0.04135|4789.0|3.1|-1050.538976|536.59|0.3101|258.89|388.58|0.5153800000000001|0.43728|-1050.413506|87.0|-0.1892|2891.0|-0.23055|0.03246637|-1050.462425|59.0|7.2291
12_a15|0|0|0.0|0.0|0|0.0|0|1.435689014|0.0|-0.006620824|0.0|-0.0455566929999999|2|0.0|0.001740635|-0.106061273|-0.01062828|0.0034254209999999|-0.054575504|-0.184255041|-0.380490701|2|0.8310685940000001|0.723852961|0|0.89637291|-0.061084417|-0.094209248|0.738437971|0.015018226|9.58943236|72.18361893|-38.40979933|4.192089814|-1.695766456|-24.90456371|70.6606311|-20.42981445|48.59303169|2613.57759|-1082.780166|-13.04483751|0.253510603|5.448223888999999|10.40571107|0.909927213|161.8714956|-691.376388|0.016453962|-314.7766363|1450.496376|673.7288405|1.0|0.0|1.0|1.0|1.0|3.56|0.12|24.0|-9.82|5.32|6.3|56.27|2.0|119.95|6.0|30.0|-4.97|397.47|1.0|4.7|0.0002379999999999|1.47e-06|5.29|0.0|0.0|1.51e-10|5.99e-08|-0.03196|4.4819|5.16|-1281.087109|688.91|0.1374|276.63|585.26|0.50595|0.70444|-1280.810963|0.0093|-0.15858|4.3338|-0.19054|0.02694613|-1280.871722|4.0|8.3979
8g_a12|1|1|2.897921027|0.0|0|6.580639137|1|1.28383574|0.0|-0.0084227909999999|4.59511985|-0.029907264|2|1.714060666|0.005898773|-0.094550033|-0.040257632|0.005405355|-0.068810076|0.122649613|-0.532504083|1|0.804158158|0.7475224290000001|1|0.8576253690000001|-0.076856227|-0.1045061519999999|0.274352085|0.008910823|4.915102972|84.95000993|-31.79592789|0.0|-1.881110729|-23.38345638|61.99654413|-23.58177591|47.30807670000001|2506.427441|-1037.59814|-13.00742505|0.09833304|6.882798206|12.83559677|0.864880588|54.23932676|-572.326702|0.007890315|-443.109365|1150.7554189999998|480.0590283|1.0|1.0|1.0|1.0|2.0|4.07|0.1|21.0|-8.0|3.31|2.07|78.85|1.0|109.93|3.0|27.0|-6.28|353.38|0.0|2.77|0.0146|4.61e-05|3.06|0.0|0.0|9.98e-09|3.53e-06|-0.06432|4.2057|3.68|-1154.321531|590.93|0.3786|294.8|418.41|462.0|0.55027|-1154.121362|0.1601|-0.1520099999999999|2.9986|-0.21633|0.03954539|-1154.173831|3715.0|5.43
38_a18|0|0|0.0|0.0|0|7.03438793|2|1.251175383|0.0|-0.00575311|4.844187086|-0.009006798|1|0.0|0.000520558|-0.020056674|-0.003893067|0.001602741|-0.0993372269999999|-0.11123356|-0.498932552|0|0.745084567|0.719168079|0|0.8310704529999999|-0.076974444|-0.082256123|0.423402315|0.00838904|6.675707878|100.7046282|-52.08807522|74.46052717|-2.385427574|-48.74349112|71.15832778|-25.65190078|67.92930461|3162.36475|-1898.240658|-20.41289434|0.119072105|10.98254153|20.5922319|0.874996952|94.75345803|-1510.554181|0.007165119|-606.2584549|2154.819559|1228.492038|1.0|0.0|1.0|1.0|3.0|4.53|0.34|18.0|-10.33|4.94|4.13|85.29|3.0|160.66|10.0|38.0|-5.55|508.65|1.0|3.64|5.36e-05|7.85e-07|5.43|0.0|1.0|4.68e-11|2.38e-08|-0.0483699999999999|3.2241|8.95|-1611.630281|861.93|0.5147|384.55|734.93|0.69235|0.69235|-1611.133158|0.5147|-0.13229|1.9877|-0.18066|0.02653109|-1611.206669|91.0|7041.0
4d_a46|0|0|0.0|0.173086735|1|7.825245291|1|1.134637067|2.146507937|-0.001749881|5.587248657999999|-0.017469934|2|0.0|0.0116902869999999|-0.111025108|-0.076521434|0.010756749|-0.206000242|-0.1271933999999999|-0.240143042|2|0.6535171|0.764741337|0|0.936057958|-0.056384895|-0.070772596|0.290035518|0.008652238|4.750218646|8.241078584|-21.33218735|74.62074724|-1.132361533|-16.99546444|43.60839351|-13.51488667|35.70643728|2181.291783|-621.6847867|-7.419891252999999|0.186572035|5.757075209|10.30138878|0.7893441379999999|102.4310631|-341.3149976|0.0086574759999999|-344.15403910000003|764.2776167999999|509.0572545|0.0|1.0|1.0|1.0|0.0|3.78|0.35|17.0|-7.41|4.81|5.11|43.6|2.0|101.75|2.0|25.0|-5.4|352.86|1.0|4.11|0.00416|7.8e-06|4.3|0.0|0.0|3.88e-08|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|-1453.840712|588.18|0.1313|280.09|503.76|0.69884|0.69884|-1453.635434|0.1313|-0.18639|3.5318|-0.22603|0.02292966|-1453.688943|517.0|6.2865
15c_a22|0|0|0.0|0.0|1|6.842683282|0|1.42291727|1.596256692|-0.005236206|4.727387819|-0.018518519|2|1.568396937|0.003784292|-0.023927419|0.006275578|0.004362505|-0.047249795|-0.160566657|-0.364626967|2|0.667111824|0.773044788|1|0.8665852140000001|-0.067475429|-0.080088202|0.615901609|0.024561528|17.68362419|36.22825261|-41.51455167|78.22334636|-1.60176404|-34.97658951|75.52188549|-21.75898206|66.26407672|3079.491787|-1153.226049|-15.66586856|0.338224886|8.626398368|16.03890406|0.859281634|243.5126145|-830.2910335|0.0248073129999999|-232.9472639|1742.625289|731.8178649|1.0|1.0|1.0|1.0|1.0|3.49|0.08|27.0|-9.28|3.9|4.18|109.38|1.0|128.77|6.0|34.0|-6.96|445.48|0.0|2.98|0.00618|2.4e-05|2.9|0.0|0.0|5.269999999999997e-10|2.35e-07|-0.07399|5.7361|4.79|-1460.602657|715.42|0.5082|216.15|575.8|0.30831|0.69113|-1460.324493|0.0694|-0.15408|7.382000000000001|-0.22807|0.03150096|-1460.387718|737.0|6.1325
12_a1|1|0|3.3894574360000003|0.0|0|7.423568444|1|1.430936075|0.0|-0.011221829|5.351858133|-0.02164054|1|0.0|-0.0038943009999999|-0.0811332759999999|-0.051772288|-0.001416381|0.127560614|-0.173618873|-0.487073772|1|0.8016064479999999|0.749817035|0|0.765121385|-0.0964711209999999|-0.104724018|0.210514881|0.033770552|19.60151089|133.6600817|-35.28166588|477.1158679|-1.675584287|-32.50125347|74.99749378|-23.15625812|75.59644237|2592.245875|-972.562841|-13.44063462|0.275333347|7.679719277999999|14.34104294|0.867391557|159.81230209999998|-564.5066541|0.024485753|-260.8074567|1342.083063|473.040639|1.0|1.0|1.0|1.0|1.0|3.29|0.05|23.0|-8.2|4.87|4.41|83.82|2.0|103.47|3.0|28.0|-6.02|366.37|1.0|3.44|0.00379|1.77e-05|3.54|0.0|0.0|6.28e-09|2.3e-06|-0.07042|3734.0|3.67|-1216.12881|607.42|0.5867|332.04|482.51|0.69114|0.69763|-1215.922313|0.2821|-0.12874|7.7454|-0.19916|0.0296752|-1215.975876|2.95|5.5302
13b_a6|1|0|3.423777636|0.0|0|7.412764017000001|1|1.430640379|0.0|-0.011206134|5.351858133|-0.0265090529999999|1|0.0|-0.00460563|-0.104663349|-0.064811009|-0.00194781|0.100281317|-0.180339002|-0.490758329|1|0.850080948|0.7788169070000001|0|0.7757172059999999|-0.093125205|-0.112915801|0.202093555|0.032036214|21.00828557|154.7847961|-48.5571926|554.4007331|-2.032484418|-40.04664055|87.39962829999999|-26.65671602|82.07670290000002|2821.72831|-1332.835801|-17.48058934|0.2427663219999999|9.087172635|15.37022155|0.69141956|159.1980937|-874.0294667999999|0.0203627189999999|-337.3706117|1760.1380379999998|627.4287311|1.0|1.0|1.0|1.0|2.0|3.56|0.12|23.0|-9.01|4.98|4.32|95.85|2.0|116.79|5.0|31.0|-6.1|409.44|1.0|3.45|0.0012699999999999|1.02e-05|3.8|0.0|0.0|9.77e-10|4e-07|-0.0525799999999999|4.8494|4.04|-1350.0903970000002|694.33|0.7846|255.67|574.07|0.58026|0.7006600000000001|-1349.837661|0.2461|-0.14898|10.8032|-0.20156|0.02920955|-1349.898848|174.0|6.7595
12e_a30|0|0|0.0|0.0|0|7.412764017000001|2|0.604984231|0.0|-0.0077937519999999|5.351858133|-0.029595542|2|0.0|0.0043261129999999|0.005418617|-0.055954785|0.0053380919999999|-0.018475151|-0.154412059|-0.417089226|1|0.838579475|0.8246767140000001|0|0.816703705|-0.07914783|-0.098059338|0.407218612|0.024254701|16.08914569|106.2790684|-43.14823836|0.0|-1.863127413|-34.82676424|80.10232244|-23.31866823|68.59117243|2920.484542|-1235.889416|-15.46823639|0.292879147|8.069355055|15.14403079|0.8767337279999999|194.2788429|-819.8165288|0.022696477|-274.7836441|1747.776792|704.0353382000001|0.0|1.0|1.0|1.0|1.0|4.72|0.17|17.0|-6.74|3.89|2.63|90.88|2.0|133.77|6.0|31.0|-6.19|428.51|0.0|2.57|0.00154|1.19e-05|3.84|0.0|0.0|1.84e-07|7.87e-05|-0.05044|5.0412|3.58|-1690.3021629999998|709.98|0.2055|245.94|562.76|0.3304|0.68605|-1690.030824|151.0|-0.1476|5551.0|-0.19804|0.03344515|-1690.092998|11.0|7.9431
3k_a32|1|1|3.644417045|0.0|0|7.97831097|1|0.609420759|0.0|-0.005745086|5.973809612|-0.001250803|0|2.256213388|0.001221534|-0.0902541999999999|-0.077097565|0.002509816|-0.084055305|-0.090775221|-0.5265375529999999|0|0.816196288|0.779649252|1|0.8777482409999999|-0.0711378679999999|-0.090839907|0.31016741|0.0123637989999999|6.970844822|80.0971996|-28.87643819|0.0|-1.271758703|-22.61349991|58.16707081|-16.67514938|47.07915023|2392.3436100000004|-717.0314235000001|-9.40163104|0.21942773|6.153598893|11.6688363|0.89626209|123.7157466|-404.2701347|0.012327787|-316.3794102|918.5970998|506.658189|1.0|1.0|1.0|1.0|1.0|3.47|0.32|19.0|-7.23|7.12|5.78|110.94|2.0|105.36|3.0|25.0|-5.01|366.5|1.0|4.75|3.3600000000000004e-05|2.47e-06|4.97|0.0|0.0|5.86e-08|2.15e-05|-0.05321|3.5363|3.81|-1750.164914|611.65|0.3082|350.6|452.36|0.70268|0.70268|-1749.957584|0.3082|-0.14667|3.2233|-0.19988|0.02654958|-1750.0122420000002|9.0|8.0605
14x_a23|0|1|0.0|0.0|2|7.423568444|0|1.197963189|3.101221922|-0.0065692219999999|5.351858133|-0.111315218|2|0.6753138120000001|0.003379755|-0.075184011|-0.0229244|0.003906274|0.160327487|-0.206574435|-0.443633823|2|0.5788469970000001|0.802520527|1|0.7768288609999999|-0.0708831479999999|-0.084244058|0.229141189|0.022095943|14.64350681|42.44114495|-37.00022522|87.28077098|-1.6006371069999998|-31.13207597|70.40248829|-22.56979253|61.61945314|3071.48868|-1060.780249|-14.95753786|0.277788677|7.777802167999999|14.62325432|0.880126802|184.0971574|-703.0042792|0.0219879679999999|-294.5294492|1468.794817|597.2903597999999|0.0|1.0|1.0|0.0|1.0|3.42|0.05|26.0|-7.93|4.2|5.14|105.02|2.0|120.2|5.0|32.0|-6.35|447.46|0.0|4.06|0.0009369999999999|5.41e-06|3.78|0.0|0.0|1.17e-08|5.23e-06|-0.08216|4.0641|3.97|-1828.393372|675.21|0.3184|305.07|537.48|0.6757|0.62836|-1828.168422|0.3057|-0.15259|5.7933|-0.23475|0.02165405|-1828.228912|3.0|8.4949
3c_a12|0|0|0.0|0.0|0|6.555356892000001|1|0.610140703|0.0|-0.009252756|4.59511985|-0.058516436|2|0.0|-0.003879878|-0.008931246|-0.056537396|-0.001825446|-0.267255164|-0.211367878|-0.545592465|1|0.923855679|0.826033688|0|0.843855494|-0.071719601|-0.099327724|0.242114395|0.013219706|6.688634392000001|73.9854678|-25.42738988|0.0|-1.291260406|-18.35985151|61.16334136|-17.19277136|42.97583906|2186.344105|-653.3253118|-8.698843907999999|0.2944757839999999|6.231995392999999|10.88288188|0.746291708|148.9927848|-330.5560685|0.02155815|-207.9738085|926.0140155|380.2468615|1.0|1.0|0.0|1.0|1.0|3.94|0.12|17.0|-6.78|4.01|2.25|78.41|0.0|98.16|3.0|23.0|-6.18|319.38|1.0|2.76|0.0194|9.940000000000002e-05|2.91|0.0|0.0|1.67e-07|5.3200000000000006e-05|-0.07463|3.9848|2.56|-1327.498519|544.65|0.4687|311.14|399.38|0.43415|0.68067|-1327.351991|0.1193|-0.14572|1.6035|-0.22035|0.02665687|-1327.4004710000002|0.02|7699.0
12au_a36|1|0|3.422314661|0.0|0|7.412764017000001|2|0.2992539489999999|0.0|-0.009897048|5.351858133|-0.351827031|2|0.0|-0.006862238|-0.023640632|-0.03802163|-0.001160331|0.1320241419999999|-0.261631709|-0.515924985|1|0.8183043390000001|0.825565083|0|0.698996981|-0.090166553|-0.110305773|0.284342092|0.021569487|15.51748637|102.3999102|-57.09017539|26.04051569|-2.206115469|-46.66686194|95.91776213|-27.36414058|80.38496714|3484.987058|-1587.1201529999998|-19.68626738|0.283941389|8.963940512999999|17.67586495|0.97188557|204.2726719|-1141.803508|0.023021031|-310.873098|2216.466823|805.2286932|0.0|0.0|1.0|0.0|3.0|5.0|0.17|17.0|-6.87|1.28|2.15|123.75|1.0|142.02|7.0|34.0|-8.03|474.54|0.0|1.18|0.0668|0.0001889999999999|1.64|0.0|0.0|1.36e-07|6.45e-05|-0.0570899999999999|5.1307|6.24|-1876.207937|752.27|809.0|241.65|618.65|0.58518|0.70395|-1875.89525|0.0158|-0.15162|6.1367|-0.2087099999999999|0.05174058|-1875.960827|47.0|7.3279
14d_a23|0|1|0.0|0.0|2|7.423568444|0|1.197963465|3.405551724|-0.005343003|5.351858133|-0.026530366|2|0.758207139|0.01269616|-0.019307114|-0.054430189|0.01180744|0.059486662|-0.136106024|-0.4483522929999999|2|0.725800261|0.772008792|1|0.921694462|-0.053736319|-0.078282292|0.213597535|0.018596017|12.25371621|39.26987634|-33.99063559|83.40396369|-1.6439281280000002|-23.33262837|61.49227899|-21.66510006|47.66288948|2878.955374|-1083.255003|-14.27606695|0.209653392|7.832720777|14.358677900000002|0.833166062|138.1496441|-713.8033475|0.015037275|-382.6437544|1370.607518|666.0036144999999|0.0|1.0|1.0|1.0|1.0|3.52|0.09|26.0|-7.78|3.88|4.33|105.02|2.0|125.25|5.0|31.0|-6.1|425.51|0.0|3.8|0.000608|5.61e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|-0.0725799999999999|3688.0|3.79|-1669.24571|696.21|0.3807|336.18|554.84|8.1555|8.1555|-1668.983743|336.18|-0.14894|5.6156|-0.22152|0.02083626|-1669.045136|4.0|8.4001
17b_a50|0|1|0.0|0.0|2|7.934155233999999|1|1.348984601|4.35392516|-0.002181823|5.82008293|0.013050204|1|2.206759705|0.012409091|-0.152660972|-0.15040528|0.012686493|0.05636897|-0.357011777|-0.237489143|1|0.7715057479999999|0.7621727979999999|1|0.931849183|-0.047785496|-0.07555585|0.4220781729999999|0.0128994089999999|8.976922737999999|9.9094658|-36.59177249|86.9549829|-1.662228695|-23.14256283|59.65808461|-18.65764227|42.23167946|2765.537065|-1156.773821|-12.98417734|0.1966134769999999|8.324966952|16.11918162|0.936245718|136.82673369999998|-805.0189948|0.010169967|-422.2639022|1439.872076|862.3868512|1.0|1.0|1.0|1.0|0.0|4.17|0.35|20.0|-7.54|4.18|4.92|51.77|3.0|131.39|8.0|32.0|-6.09|426.56|0.0|3.87|0.00763|1.22e-05|3.96|0.0|0.0|2.87e-08|1.22e-05|-0.0318|4.2447|3.77|-1337.1910779999998|752.09|0.1817|292.09|647.75|0.6269899999999999|0.66195|-1336.833957|0.1758|-0.16699|6.3333|-0.19879|0.02640483|-1336.899093|122.0|6.9136
