molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
14ae_a23|0|1|0.0|0.0|2|7.423568444|0|1.1979624290000002|3.338149829|-0.007539122|5.351858133|-0.029948314|2|0.7338690390000001|0.008996289|-0.0174992419999999|0.0289586779999999|0.009675528|0.047563299|-0.253318853|-0.363230717|2|0.7763406840000001|0.7830067820000001|1|0.872362051|-0.065169397|-0.087074783|0.202342743|0.03467374|24.84237243|111.4422142|-44.69687612|110.5716332|-1.480271319|-33.45249142|87.09501229|-19.28284095|71.53368511|3212.850883|-1060.556252|-13.81539807|0.46959234|8.123993885|15.59484379|0.919603093|336.444465|-759.846894|0.034488074|-43.57178809|1999.511567|770.8206617000001|0.0|1.0|1.0|1.0|1.0|3.74|0.12|26.0|-7.6|3.48|4.03|123.48|2.0|133.27|7.0|34.0|-6.68|471.53|0.0|3.44|0.000753|8.22e-06|3.52|0.0|0.0|2.49e-08|1.17e-05|-0.07122|3.6036|2.99|-1858.967022|751.57|0.3205|344.06|627.57|0.58144|0.58144|-1858.675325|0.3205|-0.14537|7.0211|-0.21659|0.01449323|-1858.7404850000005|2.0|8.6038
40_a47|0|1|0.0|0.0|1|6.823286122000001|0|1.420389717|1.715145925|-0.004181351|4.727387819|-0.0934645509999999|3|1.566109469|0.002212256|-0.038143308|0.056362705|0.003634698|-0.130213023|-0.338113214|-0.2636225|3|0.63155995|0.836942961|1|0.812233678|-0.060416547|-0.083237511|0.237173658|0.02047837|11.04737121|54.11003524|-24.22401965|0.0|-1.082087641|-17.58259718|60.97203959|-14.59371996|43.64000551|2313.85811|-583.7487984|-7.872806386000001|0.426343267|7.042383142|12.98034048|0.843174422|229.9974239|-314.91225539999994|0.029785575|-79.47051169|1017.592517|388.178924|1.0|1.0|1.0|1.0|1.0|3.07|0.11|21.0|-7.08|2.96|4.04|68.52|0.0|94.28|3.0|25.0|-6.78|334.35|1.0|2.72|183.0|0.000192|2.19|0.0|0.0|8.339999999999999e-08|2.79e-05|-0.05086|4.0176|2.06|-1123.174467|571.5|271.0|308.6|444.47|0.67615|0.68492|-1122.9968210000002|0.2612|-0.15231|4.7542|-0.20317|0.02983032|-1123.049869|4.0|8.4
8_a47|0|0|0.0|0.0|0|7.252053952000001|1|1.24688044|0.0|-0.007835945|5.476463552|-0.099564745|2|1.335354131|-0.008756|-0.153669322|-0.14203855|-0.007648516|-0.177626636|-0.003223628|-0.4497577479999999|2|0.686795267|0.7847248109999999|1|0.8497568740000001|-0.075955381|-0.091482011|0.517797505|0.008687692|5.043798869|90.32612351|-30.83488674|0.0|-1.646676195|-25.60148752|60.62152862|-20.78278301|49.14108595|2621.772106|-956.0080185|-12.06582525|0.180297967|6.492934319|11.08581716|0.707366287|104.6752861|-555.0279614|0.012935553|-371.2177396|1166.287236|559.4973856|1.0|0.0|1.0|1.0|2.0|3.02|0.13|22.0|-9.25|5.67|6.77|58.04|2.0|113.97|4.0|29.0|-4.79|405.85|1.0|5.03|0.000104|6.490000000000001e-07|5.61|0.0|0.0|5.62e-10|2.28e-07|-0.05495|3.6696|4.91|-1686.068471|621.06|0.2249|337.87|433.38|0.6877800000000001|0.6877800000000001|-1685.8518170000002|0.2249|-0.15357|3585.0|-0.2085199999999999|0.03283575|-1685.908004|0.05|7.3
1e_a5|1|0|2.953259375|0.0|0|6.605297921|0|1.427503886|0.0|-0.001975193|4.59511985|-0.009075016|2|0.0|0.008031558|-0.1197834419999999|-0.040441176|0.007357977|-0.133677441|0.0578378779999999|-0.201027861|2|0.71274658|0.771487328|0|0.8805795|-0.06795194|-0.069725333|0.373935381|0.008587563|4.461204261000001|159.537038|-18.81719677|0.0|-1.115605324|-18.33860051|44.38364879|-14.48881117|39.76196174|2107.092939|-579.5524467|-7.526878708|0.2526063739999999|6.41473183|12.39753333|0.932665879|131.2279879|-301.0751483|0.0157106539999999|-257.0399733|775.4313476|409.0289917|1.0|0.0|1.0|1.0|1.0|2.83|0.05|23.0|-8.41|4.99|4.51|54.46|0.0|95.45|3.0|24.0|-5.77|312.37|1.0|3.44|0.0174|3.5600000000000005e-05|3.43|0.0|0.0|3.87e-09|1.21e-06|-0.04186|4746.0|3.17|-990.6320386|560.58|0.5156|261.24|427.87|0.56258|0.51802|-990.471803|0.1355|-0.18105|1916.0|-0.22291|0.0313740589999999|-990.522307|191.0|6719.0
8d_a12|1|1|2.976279182|0.0|0|6.580639137|1|1.283835213|0.0|-0.0076893469999999|4.59511985|-0.048642535|2|2.075171777|0.000925796|-0.065870394|-0.046326855|0.001575111|0.0479437859999999|0.016135176|-0.484923957|1|0.8857286320000001|0.751098108|1|0.858710112|-0.077834742|-0.103548595|0.266886187|0.011348654|6.309558958999999|90.34024296|-32.00762818|0.0|-1.760326118|-24.05928792|64.53435462|-21.74879802|49.58366734|2466.513191|-978.6959108|-12.09177064|0.166136296|6.93584319|12.96695233|0.8695567329999999|92.36749461|-544.129679|0.012525773|-371.2392138|1173.6881050000002|503.2240425|1.0|1.0|1.0|1.0|2.0|4.06|0.1|21.0|-8.37|3.87|2.67|65.96|2.0|112.14|3.0|27.0|-5.96|352.39|1.0|3.02|0.0093|2.43e-05|3.51|0.0|0.0|4.23e-09|1.49e-06|-0.05488|4.2383|3.53|-1138.296407|600.2|0.2871|292.53|433.32|0.6661|0.4997399999999999|-1138.086709|0.0853|-0.15306|2.1281|-0.20794|0.04004678|-1138.139635|25.0|7.6021
2_a33|1|1|3.396444161|0.0|0|7.765993078999999|0|0.609420748|0.0|-0.009168933|5.733341277|-0.064926835|0|2.112255684|-0.002514803|0.070526947|-0.05997501|-0.000810928|-0.0881938509999999|-0.148024156|-0.593915758|0|0.787714775|0.833090592|1|0.8195154109999999|-0.0804186|-0.104047115|0.411881091|0.018451635|11.27469555|103.5201191|-38.84811555|44.34034244|-1.56070672|-30.02592687|75.44970552|-19.46234551|60.41371259|2632.195388|-953.6549298|-11.89228027|0.297402265|6.152818143999999|11.60906093|0.8867875909999999|181.7248125|-582.7217333|0.019430318|-247.5908207|1357.327077|618.9134881|0.0|1.0|1.0|1.0|2.0|3.57|0.3|19.0|-7.67|6.7|4.63|140.04|2.0|115.28|7.0|28.0|-6.17|411.54|1.0|3.98|0.000183|1.6800000000000002e-05|3.72|0.0|0.0|2.13e-08|8.78e-06|-0.04967|3.6281|5.11|-1920.079174|655.74|0.2911|341.74|525.38|0.70205|0.70205|-1919.830424|0.2911|-0.15012|4.2519|-0.19979|0.02972182|-1919.890628|6.0|8.2596
16a_a10|0|0|0.0|0.0|1|7.535296702|1|1.325756911|2.041062372|-0.00230615|5.4161004020000005|0.023926176|2|2.009832665|0.011207938|0.014886502|-0.0048530629999999|0.011558506|-0.133979603|-0.254024476|-0.1948324069999999|2|0.748039584|0.772481675|1|0.916148686|-0.052574986|-0.076950669|0.3637074329999999|0.013872737|9.606840334|77.68598956|-36.90194151|99.81657855|-1.615964058|-25.21250404|63.53441386|-18.049219|46.01490333|2862.681038|-1119.0515779999998|-12.4990447|0.272940681|8.531706024|15.88633689|0.862035195|189.0108247|-774.9407716|0.014796066|-314.4761648|1539.147561|879.8636987|1.0|1.0|1.0|1.0|0.0|4.11|0.3|21.0|-8.5|4.73|5.19|56.07|3.0|133.66|9.0|33.0|-5.91|439.55|1.0|4.24|0.00264|6.76e-06|4.33|0.0|0.0|3.18e-09|1.4e-06|-0.04647|5.6019|3.46|-1395.158387|760.0|0.3843|221.33|629.65|332.0|0.6852199999999999|-1394.797092|0.0841|-0.1605|3.8323|-0.20697|0.02819643|-1394.861824|47.0|7.3279
46_a18|0|0|0.0|0.0|0|7.03438793|2|1.251088279|0.0|-0.005378956|4.844187086|-0.018808538|1|0.0|0.002300582|-0.0669031009999999|-0.052591109|0.003512954|-0.069691797|-0.224171123|-0.448177615|0|0.7100921609999999|0.729629263|0|0.8265445990000001|-0.069742249|-0.076485888|0.30524999|0.008975181|6.376289807000001|0.946462387|-38.60388092|58.66827342|-1.988633091|-35.20023815|63.70285871|-20.77641329|55.92367899|3052.94234|-1412.796104|-14.76030741|0.217767252|8.980343774|16.47206875|0.8342358790000001|154.7096476|-1003.700904|0.013181412|-401.0164861|1806.107079|1056.535856|1.0|0.0|1.0|1.0|2.0|4.27|0.3|18.0|-8.82|3.68|3.3|76.5|2.0|151.14|7.0|36.0|-6.14|480.6|0.0|2.93|0.000999|3.35e-06|4.36|0.0|0.0|1.51e-09|7.27e-07|-0.04995|3225.0|8.11|-1532.992457|765.33|0.4249|384.45|635.89|0.69181|0.69181|-1532.493789|0.4249|-0.13224|2656.0|-0.18219|0.0239301|-1532.562476|186.0|6.7305
17a_a25|0|0|0.0|0.0|1|6.842683282|0|1.373200859|1.826085128|-0.004137083|4.727387819|-0.036457743|2|2.008884939|0.0063846319999999|-0.0688716509999999|0.006360768|0.006423059|-0.02776212|-0.07654898|-0.362222339|2|0.6741827509999999|0.748718056|1|0.874586929|-0.06234901|-0.079378741|0.348821736|0.012665055|9.033070252|93.75234138|-40.379488|80.30332825|-1.666953566|-31.71656603|67.57985355|-21.2306737|53.50212109|2907.309477|-1188.917727|-15.142307999999998|0.244019498|8.996672966|16.93624014|0.882500365|174.0415044|-847.969248|0.015373381|-365.1448527|1572.683056|781.7487682|1.0|1.0|1.0|1.0|1.0|3.48|0.11|27.0|-9.98|4.83|5.31|72.7|2.0|131.06|7.0|33.0|-6.18|433.5|1.0|4.04|0.00325|7.44e-06|3.9|0.0|0.0|1.05e-10|4.54e-08|-0.05255|5.2683|6.04|-1391.625102|747.06|0.4076|235.34|598.67|0.35172|0.6722|-1391.321455|0.1735|-0.16304|3.4677|-0.21559|0.0362293|-1391.385492|25.0|7.6021
12t_a36|1|0|3.500121488|0.0|0|7.412764017000001|2|1.297042607|0.0|-0.00673635|5.351858133|-0.034194893|2|0.0|0.003676818|-0.030990165|-0.0288761339999999|0.0045625|0.059266516|-0.169994208|-0.436022708|1|0.902377067|0.829598864|0|0.8337556420000001|-0.0735262|-0.100615514|0.318666358|0.017627553|11.7409283|86.12920631|-44.63604995|0.417511887|-2.012310282|-32.61842026|77.32343502|-23.93411213|60.71345614|2771.211293|-1340.3102789999998|-15.94144641|0.21683192|7.960344391|15.36435856|0.930112292|144.422087|-892.7209991000001|0.01547607|-377.2113003|1711.395437|729.1873176|0.0|0.0|1.0|0.0|2.0|4.94|0.21|17.0|-7.36|3.62|2.45|69.2|1.0|133.52|6.0|31.0|-6.33|409.49|0.0|2.4|0.0102|2.6600000000000003e-05|3.47|0.0|0.0|4.38e-08|1.7899999999999998e-05|-0.05302|3.8844|3.87|-1311.585049|713.6|0.4297|319.18|562.72|0.69297|0.70313|-1311.287803|0.0155|-0.15088|5.9081|-0.2039|0.03230976|-1311.349439|8.0|8.0969
