molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|BCUTs-1|SaasN|AATSC1s|n6HRing|JGI4|SaaaC|MATS8i|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|RNCS|RPSA|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
11d_a31|1|0|0|3.39688681|7.765993078999999|0.610136352|0.0|-0.116385886|0|0.0388738739999999|0.0|-0.092360393|2|2|0.026806221|-0.096447723|-0.153894316|-0.574318121|0|0.819298311|0.822077662|-0.057505249|-0.13169885|0.868115289|0.78396996|0|-0.134048091|296.2476128|0.414787184|-50.24081482|12.89967697|91.25756269|0.6817705409999999|-1.87667327|98.8237718|-24.97634343|103.1255906|0.4816588089999999|358.2711594|-1148.911798|-15.29068277|0.318229459|15.21323794|-703.3714074|36.63453013|0.027374162|-222.5622569|505.4234462|16.75864338|1.0|1.0|2.0|3.6|2.83|16.0|-6.23|4.03|125.57|1.26|1.0|0.0|102.13|0.0|1.0|-5.48|6.0|385.44|0.0|0.0|1.0|6.26e-05|0.0241|3.17|5.83e-07|0.000225|3.8009|-1598.7152199999998|650.64|1077.69|326.2|0.2642|551.86|703.0|-0.15822|3.1919|-0.19226|0.04390452|-1598.546288|4.6622|0.03|7.5229|7.5229
LY580276_a4|0|0|0|0.0|7.535296702|1.344599701|2.067497166|-0.020236527|1|0.044357639|0.0|-0.172607392|1|1|0.064209689|-0.019747846|-0.042912895|-0.191806286|1|0.5162208110000001|0.7921620090000001|0.035666446|0.019144144|0.847526918|0.518109998|0|-0.071023484|11.22286434|0.131473004|-16.49563923|2.027582675|82.46094409|0.8478469959999999|-1.065352257|38.23432817|-13.51117823|31.83019528|0.437093506|418.5688558|-513.4247728|-6.511436537000001|0.152153004|9.693623538|-247.4345884|15.93586849|0.008312438|-335.2755182|345.4102548|4.0060099860000005|1.0|0.0|0.0|3.01|3.04|17.0|-6.56|4.43|30.71|3.13|0.0|0.0|84.74|0.0|1.0|-3.67|3.0|293.34|0.0|1.0|1.0|6.18e-05|0.0181|3.35|2.75e-07|8.08e-05|4.4918|-959.4958788|519.23|865.23|276.03|0.1905|402.99|0.68002|-0.18746|2.5355|-0.2099599999999999|0.023546627|-959.404416|3.2891|175.0|6757.0|6757.0
8f_a8|1|0|0|2.939511291|7.05012252|1.394802091|1.241306689|-0.249095464|0|0.043758865|0.0|-0.08540947|1|1|0.152294451|0.09830823|0.254819201|-0.5373378529999999|0|0.578166105|0.6971223040000001|-0.016217844|0.010682683|0.751162751|0.56916135|0|-0.1064257719999999|317.0847898|0.403186031|-36.18904175|4.613060521|67.99102163|0.90577048|-2.128515439|67.4402386|-28.20910228|79.13157981|0.456995667|348.0199311|-1241.2005|-16.44956443|0.09422952|13.81994609|-723.7808349999999|31.14376424|0.009226445|-473.23361|485.8626377000001|5.380213594|0.0|0.0|2.0|3.14|2.85|23.0|-7.95|4.72|80.88|4.11|2.0|0.0|105.27|0.0|1.0|-5.21|4.0|391.37|0.0|0.0|0.0|1.01e-05|0.00395|3.82|1.13e-08|4.43e-06|3.4876|-1361.658484|602.63|1022.89|355.5|0.3188|477.92|0.69925|-0.14532|5.8283|-0.21285|0.03173623|-1361.510739|7.8014|22.76|4.6428|4.6428
13b_a6|1|0|0|3.423777636|7.412764017000001|1.430640379|0.0|-0.0265090529999999|1|0.042739018|0.0|-0.104663349|1|1|0.100281317|-0.10896749|-0.180339002|-0.490758329|1|0.850080948|0.7788169070000001|-0.029988734|-0.11338525|0.8370824240000001|0.8013954109999999|0|-0.112915801|154.7847961|0.2242827939999999|-48.5571926|13.77653618|554.4007331|0.757233678|-2.032484418|87.39962829999999|-26.65671602|82.07670290000002|0.408780634|508.6895893|-1332.835801|-17.48058934|0.2427663219999999|15.37022155|-874.0294667999999|35.20276076|0.0203627189999999|-337.3706117|627.4287311|13.35319491|1.0|1.0|2.0|3.56|2.85|23.0|-9.01|4.32|95.85|1.29|2.0|0.0|116.79|0.0|1.0|-5.51|5.0|409.44|0.0|0.0|1.0|1.02e-05|0.00417|3.8|9.77e-10|4e-07|3.6322|-1350.0903970000002|694.33|1167.21|341.35|0.7846|574.07|0.7006600000000001|-0.14898|10.8032|-0.20156|0.02920955|-1349.898848|13.5746|174.0|6.7595|6.7595
17a_a6|1|0|0|3.3685510360000004|7.412764017000001|1.424257628|0.0|-0.0265090529999999|1|0.041767677|0.0|0.078798543|1|1|0.068338372|-0.10896749|-0.180339002|-0.5624663560000001|1|0.850080948|0.7722228729999999|0.08716369|-0.106323149|0.8299950709999999|0.8013954109999999|0|-0.109388399|157.13173490000003|0.2469173469999999|-47.07146289|13.40315088|554.1936506|0.77193498|-2.078379577|84.75077935|-27.26767299|83.46070738|0.483320982|494.010135|-1363.383649|-17.887155899999996|0.22806502|16.13665395|-894.3577948999999|35.323795000000004|0.019808023|-356.769966|627.4287311|12.99374518|1.0|1.0|2.0|3.52|2.88|23.0|-9.01|4.32|95.85|1.7|2.0|0.0|116.79|0.0|1.0|-5.81|5.0|409.44|0.0|0.0|1.0|6.69e-06|0.00274|4.09|9.77e-10|4e-07|2.9753|-1350.102634|696.96|1167.16|416.71|0.3933|574.02|0.7024|-0.12425|4.1627|-0.18178|0.02379552|-1349.892285|5604.0|24.0|7.6198|7.6198
1m_a5|1|0|0|2.934162514|6.605297921|1.3047206409999998|0.0|-0.005518104|2|0.026339869|0.0|-0.10797859|1|1|-0.118494698|0.042813643|0.07132816|-0.2274929269999999|2|0.691858366|0.7824502320000001|0.077347244|-0.022280685|0.851987765|0.63664685|0|-0.071478865|154.6334216|0.117604448|-19.83596661|2.506013299|0.235629561|0.73847373|-1.072182971|46.74648368|-15.26528941|42.13785007|0.482646195|464.8375158|-564.8157081|-8.041608085|0.26152627|13.35855701|-297.5394992|20.67140479|0.0172594319999999|-251.2513491|383.4128238|9.092103139|1.0|0.0|1.0|2.69|2.11|23.0|-8.63|4.85|54.46|2.4|1.0|0.0|95.5|0.0|1.0|-4.52|3.0|332.79|0.0|1.0|1.0|1.82e-05|0.00607|3.69|2.35e-09|7.82e-07|4.3983|-1410.912452|553.42|926.13|281.89|0.5497|423.2|0.45426|-0.1778|1939.0|-0.22857|0.03223201|-1410.833395|2.4582|43.0|7.3665|7.3665
16a_a32|1|1|1|3.357452523|7.765993078999999|0.6094207620000001|0.0|-0.0848387459999999|0|0.03995614|2.095743605|-0.062610718|3|3|-0.0999399409999999|-0.107321286|-0.199563743|-0.707456102|0|0.859696525|0.8567078770000001|0.039965071|-0.098258706|0.909908319|0.81143469|1|-0.119471489|92.00611646|0.2434571689999999|-46.27170107|8.003570876|66.13699638|0.6968200370000001|-1.6726008419999998|88.96104768|-23.13158502|69.11326055|0.450892763|470.82456669999993|-1040.921326|-14.39564033|0.303179963|13.08168264|-647.803815|33.19592405|0.023475264|-244.9767673|532.685565|14.6095244|0.0|1.0|3.0|3.53|2.66|19.0|-7.3|3.79|152.07|0.88|1.0|0.0|108.86|1.0|1.0|-5.49|4.0|398.51|1.0|0.0|1.0|9.14e-05|0.0364|2.65|5.04e-08|2.01e-05|3.6314|-1896.81177|664.67|1096.48|341.42|0.2859|535.63|0.70245|-0.15045|1.3736|-0.20718|0.04088655|-1896.649286|1.8274|11.0|7.9586|7.9586
25b_a34|0|0|0|0.0|7.412764017000001|1.290860233|1.94553288|-0.0929479709999999|1|0.04037037|0.0|-0.112970844|1|1|-0.2360985169999999|-0.278635968|-0.435821207|-0.623853334|1|0.832166825|0.7969500890000001|0.08214612|-0.101529052|0.83883012|0.787858064|0|-0.137924163|165.2408865|0.343426892|-53.79083879|11.75402804|49.2835599|0.76274549|-2.206786613|98.0416108|-26.50275222|83.19266998|0.419904835|410.0313565|-1378.143115|-16.55102732|0.23725451|11.00434095|-860.6534206|34.74652105|0.019067452|-328.1702779|595.8522372|11.90766609|1.0|1.0|2.0|3.53|3.39|17.0|-6.42|3.03|90.3|1.56|1.0|0.0|108.21|0.0|1.0|-3.82|5.0|393.44|0.0|0.0|0.0|0.000202|0.0796|2.29|3.8100000000000004e-07|0.00015|4.2253|-1313.388114|668.48|1136.16|293.43|0.2259|562.84|0.6925600000000001|-0.17564|7.0586|-0.21103|0.02655501|-1313.194808|9.0174|2.08|5.6819|5.6819
16g_a32|1|1|1|3.363965155|7.765993078999999|0.609420729|0.0|-0.0429252429999999|0|0.03898374|2.084553994|-0.029193403|3|3|-0.085591073|-0.117577419|-0.202656848|-0.696926204|0|0.79965447|0.83902731|-0.026098259|0.008494733|0.8821580379999999|0.762429418|1|-0.105500574|90.88837862|0.1793577589999999|-57.31234426|13.01585399|43.37912747|0.6863323440000001|-1.79350976|94.54074206|-24.94161377|75.43482709|0.3972359179999999|604.8539801|-1321.90553|-18.38320476|0.313667656|15.58880229|-974.3098525|36.34043182|0.02276861|-274.67233460000006|701.9321161|16.78159325|1.0|1.0|2.0|3.87|3.42|19.0|-8.16|5.38|149.27|1.57|3.0|0.0|121.56|1.0|1.0|-7.51|5.0|441.57|1.0|0.0|1.0|4.83e-06|0.00213|4.65|6.890000000000001e-09|3.04e-06|3.6161|-2034.621991|752.29|1245.25|342.86|0.2879|639.49|0.70222|-0.14968|3.7346|-0.19968|0.02895494|-2034.408165|4.3204|11.0|7.9586|7.9586
1a_a18 (SB-431542)|1|0|0|3.3674017380000003|7.423568444|1.430935835|0.0|-0.175408303|1|0.035620155|0.0|-0.029658865|1|1|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|-0.122555709|160.410387|0.405958714|-43.12110169|11.61820782|105.3125675|0.7531996609999999|-2.083447046|87.15852628|-27.46300805|94.56841061|0.472443977|352.3666367|-1235.8353619999998|-16.29019397|0.2468003389999999|14.26170773|-733.0587287000001|36.46179023|0.02438148|-300.3801761|513.4628663999999|14.4623285|1.0|1.0|2.0|3.25|2.35|23.0|-7.69|3.63|103.12|1.54|1.0|0.0|106.85|0.0|1.0|-4.52|5.0|384.39|0.0|0.0|1.0|5.660000000000001e-05|0.0218|2.7|2.03e-08|7.81e-06|3295.0|-1292.588031|620.23|1048.7|376.27|0.5767|464.08|0.69868|-0.13329|5.9926|-193.0|0.03494548|-1292.414518|8.8609|125.0|6.9031|6.9031
19_a47|0|1|1|0.0|6.842683282|1.402889494|1.445775615|-0.227538423|2|0.032764858|1.174354482|-0.064557784|1|1|0.074201869|-0.046265509|-0.126992366|-0.439165562|2|0.635684951|0.823945134|-0.024256505|0.095841135|0.8873627890000001|0.614975047|1|-0.104459947|335.10989930000005|0.360357109|-32.06567824|8.228498913|66.13355777|0.637832605|-1.566899206|76.13237258|-20.66983856|73.14028211|0.463378097|354.3911695|-868.1332196000001|-11.45202794|0.362167395|13.17443625|-480.9851737|32.40636867|0.03295186|-152.7310283|428.5826478|18.25682461|1.0|1.0|2.0|3.13|1.72|21.0|-6.92|3.84|98.72|1.67|1.0|0.0|99.2|0.0|1.0|-3.67|6.0|380.35|0.0|0.0|1.0|0.000217|0.0824|1.97|1.2099999999999998e-07|4.59e-05|3.8423|-1335.75742|571.23|974.59|322.68|0.3243|412.31|0.68924|-0.15845|5.1151|-0.2117099999999999|0.03178118|-1335.634976|6.3247|0.05|7.3|7.3
12u_a30|0|0|0|0.0|7.412764017000001|0.604983445|0.0|-0.027452346|2|0.043383838|0.0|0.028815747|1|1|-0.15896471|-0.0493878409999999|-0.0857954809999999|-0.467189145|1|0.8149999040000001|0.83236194|-0.055829439|-0.105767484|0.889479916|0.711738503|0|-0.097867106|78.15130994|0.15055905|-43.90644499|6.982033926000001|0.0|0.810462868|-1.859475018|75.26051582|-25.41792137|62.26136323|0.443167712|568.9563615000001|-1245.478147|-17.02494806|0.189537132|14.01586754|-834.2224549|31.36222814|0.014495402|-415.8966522|685.6665849999999|9.709034401|0.0|1.0|1.0|4.63|0.0|17.0|-7.8|3.92|81.65|3.79|2.0|0.0|137.3|0.0|1.0|-6.58|4.0|467.37|0.0|0.0|1.0|9.14e-07|0.0004269999999999|5.12|1.58e-08|7.39e-06|3.5003|-2494.962309|705.15|1202.06|354.21|0.1502|559.16|0.6847|-0.1486299999999999|5.3020000000000005|-0.20146|0.03472994|-2494.7995530000003|7.0553|34.0|7.4647|7.4647
6_a3|0|0|0|0.0|6.823286122000001|0.605016564|0.0|-0.106234254|2|0.038650794|2.000787282|0.05584062|1|1|-0.0445675709999999|0.020589494|0.036673175|-0.594308852|2|0.881253042|0.790667152|-0.155862559|0.055002252|0.8632654590000001|0.773152968|1|-0.098669224|236.2008316|0.216677977|-24.56680878|2.7192240510000003|77.06094911|0.80281499|-1.282699916|56.71997588|-18.8247694|57.46859326|0.387883362|390.8623623|-640.0421597|-9.393191593|0.19718501|8.982311462|-319.3685142|23.4484528|0.0150025189999999|-302.19751|353.7528308|7.485963593999999|1.0|1.0|1.0|3.05|2.65|21.0|-7.48|4.66|92.93|2.11|1.0|0.0|95.5|0.0|1.0|-5.44|3.0|338.81|0.0|0.0|1.0|1.34e-05|0.00455|3.79|3.28e-08|1.11e-05|3.3963|-1731.735113|524.88|884.88|365.05|0.1997|366.93|0.69323|-0.1465|2.8131|-0.21179|0.03079258|-1731.6508010000002|3.7185|1778.0|5.7501|5.7501
21_a10|0|0|0|0.0|7.535296702|1.343837211|2.093218896|-0.085463279|2|0.035818182|1.817620533|-0.023060773|1|1|-0.051564917|-0.0236638829999999|-0.03765494|-0.4636733179999999|2|0.7135035209999999|0.7620337359999999|0.057775125|-0.005970601|0.81962595|0.68876002|1|-0.084654798|240.7558768|0.225214587|-42.25440548|9.430154402|74.3822498|0.704106635|-1.777750751|75.80259699|-23.25880088|77.676969|0.391384102|547.3834282|-1255.975247|-16.4322688|0.295893365|13.78215169|-887.342515|33.03306591|0.022638817|-288.401376|746.5727327999999|15.99425187|1.0|1.0|1.0|3.5|3.17|27.0|-8.71|5.6|90.13|2.81|2.0|0.0|128.59|0.0|1.0|-5.77|6.0|448.47|0.0|0.0|0.0|3.12e-06|0.0014|4.17|1.94e-09|8.68e-07|3.8599|-1485.499561|716.1|1225.01|321.21|0.2574|517.44|0.68165|-0.16178|1.5138|-0.2226|0.03802869|-1485.278495|1.1872|4.8|5.3188|5.3188
3d_a12|0|0|0|0.0|0.0|1.28383852|0.0|-0.053022041|3|0.038787879|0.0|-0.002185753|0|0|-0.282667477|-0.1394967999999999|-0.237203828|-0.532019854|2|0.91670178|0.7697403429999999|-0.097468573|-0.108208213|0.82682708|0.8605417409999999|0|-0.0958414059999999|74.39425719|0.145275317|-25.2986621|2.9374091630000003|0.0|0.77428353|-1.437621096|57.52228251|-18.01493787|40.06333231|0.472404561|439.1353855|-738.6124526000001|-9.255608086|0.22571647|10.96674758|-379.4799315|23.26659057|0.01611886|-281.8395348|410.9162081|8.281452338|1.0|1.0|1.0|3.98|2.71|18.0|-7.51|2.19|50.17|2.26|0.0|0.0|100.28|0.0|1.0|-3.52|4.0|313.36|0.0|1.0|1.0|0.000123|0.0385|2.81|3.08e-08|9.64e-06|3.7719|-1006.727999|548.21|918.3|328.71|0.3336|411.35|0.6572100000000001|-0.15387|2.2068|-0.22229|0.02399772|-1006.606666|3.0037|25.0|7.6021|7.6021
47l_a18|0|0|0|0.0|7.03438793|1.251176792|0.0|-0.0603838109999999|0|0.035308642|0.0|-0.010426981|0|0|-0.008768679|-0.103458566|-0.156998637|-0.4925232479999999|0|0.7452092359999999|0.7435044540000001|0.00676294|-0.0973326269999999|0.781148177|0.733228144|0|-0.083884237|11.54768766|0.196526687|-42.43906517|4.654446622|51.44279524|0.796109347|-2.0132216990000003|68.83398609|-22.37455223|63.6949231|0.4897655489999999|571.4972966|-1431.971342|-15.91464944|0.203890653|18.46922943|-1018.537564|28.10487315|0.012890098|-421.235376|931.8364349|9.168513486|1.0|0.0|3.0|4.17|0.0|18.0|-9.37|3.19|85.29|2.94|3.0|1.0|139.63|0.0|1.0|-5.26|3.0|454.56|0.0|0.0|0.0|1.4499999999999998e-05|0.0066099999999999|3.78|4.26e-10|1.93e-07|3.2026|-1455.5758039999998|764.74|1334.6|387.13|0.5019|667.5|0.69291|-0.1314|2.4594|-0.18344|0.02606651|-1455.233431|3.3864|32.0|7.4949|7.4949
3c_a32|1|1|1|3.452148526|7.765993078999999|0.6094207970000001|0.0|-0.048337951|0|0.043817204|2.224112182|-0.113334836|3|3|-0.097512832|-0.0779821129999999|-0.145525719|-0.5427297289999999|0|0.831186295|0.839409251|-0.003205869|-0.019130435|0.901864778|0.774363061|1|-0.0943910459999999|59.72163595|0.1112332809999999|-24.94510426|3.995552912|0.0|0.693952122|-1.038301506|57.94025396|-14.82682786|42.68833949|0.423167668|456.8935699|-533.7658031000001|-7.622115192000001|0.306047878|9.717148607|-274.3961469|21.36577928|0.018316536|-199.4122311|370.5811396|9.416090047|1.0|1.0|1.0|3.22|2.95|19.0|-6.89|4.68|110.94|1.7|1.0|0.0|93.05|0.0|1.0|-6.18|3.0|326.44|0.0|0.0|1.0|1.22e-05|0.00399|4.14|1.28e-07|4.18e-05|3.5169|-1633.443791|544.22|903.81|352.54|0.5017|425.74|0.7034600000000001|-0.14219|3123.0|-0.1970599999999999|0.02415856|-1633.348356|5.0659|9.0|8.0458|8.0458
12be_a36|1|0|0|3.466734143|7.412764017000001|1.297042758|0.0|-0.0419484829999999|2|0.043854875|0.0|-0.08981965|1|1|0.19405344|-0.176729938|-0.289604649|-0.3825349939999999|1|0.884226781|0.812921349|0.132962547|0.00734728|0.858971809|0.8350231859999999|0|-0.108962668|63.31681179|0.201984123|-52.44976141|16.25222352|0.0|0.5660743979999999|-1.852365352|99.62604537|-22.15805062|77.57811183|0.4564615729999999|553.6616295|-1285.166936|-15.37320593|0.433925602|16.14074295|-891.645944|39.14335412|0.034632557|-91.68453892|766.4854363|24.02799032|0.0|0.0|2.0|4.96|0.0|17.0|-6.79|1.9|87.66|1.42|1.0|0.0|136.74|0.0|1.0|-4.11|6.0|441.49|0.0|0.0|0.0|7.13e-05|0.0315|2.62|1.6100000000000005e-07|7.11e-05|3.3487|-1462.0007349999998|739.48|1256.67|370.25|0.7034|594.44|0.70465|-0.13781|7.7861|-0.18969|0.03245204|-1461.747501|10.3044|44.0|7.3565|7.3565
33_a20|0|0|0|0.0|6.842683282|1.4175014119999998|1.915285809|0.023539095|2|0.0388043479999999|2.0219022580000003|-0.061975089|1|1|0.248715569|-0.036258691|-0.060582944|-0.1771816269999999|2|0.616352201|0.74131936|-0.0854333469999999|-0.10978034|0.802353442|0.607038752|1|-0.069838312|8.680600701|0.0506104|-29.9394021|5.46110745|64.93395624|0.759356182|-1.326927921|54.60811436|-17.37608867|46.92331405|0.465855239|621.611679|-868.8044333999999|-11.3769728|0.240643818|15.094865900000002|-568.84864|22.88265911|0.013564844|-339.6262863|664.4562602999999|8.881565237|0.0|1.0|0.0|3.39|3.59|27.0|-9.69|5.39|67.39|2.61|2.0|0.0|121.62|0.0|1.0|-5.6|4.0|401.46|0.0|0.0|1.0|2.98e-06|0.0012|4.47|2.04e-10|8.199999999999999e-08|3.8867|-1275.852801|689.51|1174.95|318.99|0.6157|563.98|0.6129|-0.15959|3.5714|-0.21788|0.02957286|-1275.662457|5.0369|34.0|7.4685|7.4685
15_a10|0|0|0|0.0|7.535296702|1.277647202|2.124460476|0.035396617|2|0.0353864729999999|1.981569297|-0.055918786|1|1|-0.1157120169999999|-0.085979341|-0.136323668|-0.208590561|2|0.682616223|0.808676284|-0.079744227|-0.105662909|0.863438637|0.635064845|1|-0.074144604|33.67392858|0.084473199|-26.33385303|6.61142847|108.7226878|0.646412648|-1.186313662|56.66229609|-15.04246823|46.39507481|0.434181679|545.6177511|-706.9960069|-8.964715924|0.353587352|11.23924661|-421.3416484|23.27068984|0.020932674|-174.5122907|563.875765|12.47504566|1.0|1.0|0.0|3.29|3.31|21.0|-8.3|4.72|52.83|2.53|2.0|1.0|111.21|0.0|1.0|-4.48|4.0|390.87|0.0|1.0|1.0|1.56e-05|0.0061|3.68|5.01e-09|1.96e-06|3.7997|-1604.08794|641.98|1086.19|326.3|0.4553|484.05|0.68543|-0.1574|4.5192|-0.20983|0.03039798|-1603.907391|6.1563|33.0|7.4815|7.4815
14c_a23|0|1|1|0.0|7.423568444|1.197962449|3.349976042|-0.024758731|2|0.043538647|0.743546646|-0.047853455|2|2|0.077009731|-0.071484865|-0.13187015|-0.4589840189999999|2|0.722187957|0.793551289|0.1114214519999999|-0.077808321|0.857184548|0.659570836|1|-0.0800086929999999|38.43627129|0.077064961|-35.33439343|8.321492112|81.41541733|0.7834075309999999|-1.600173862|64.05912299|-22.62557089|50.26125234|0.459622824|613.3401089|-1063.401832|-15.0359121|0.2165924689999999|14.49533577|-706.6878684999999|28.88097191|0.016385474|-376.6791777|633.3278634|10.88903141|0.0|1.0|1.0|3.4|3.6|26.0|-7.99|4.67|105.02|3.51|2.0|1.0|125.29|0.0|1.0|-6.13|4.0|445.93|0.0|0.0|0.0|2.83e-06|0.00126|4.21|1.02e-08|4.55e-06|3.7031|-2089.523959|693.64|1177.63|334.81|356.0|549.86|0.56781|-0.15143|7.2704|-0.23096|0.02236136|-2089.354057|10.369000000000002|2.0|8.6253|8.6253
12aa_a36|1|0|0|3.4172704080000003|7.412764017000001|1.297043479|0.0|-0.135770278|2|0.042560386|0.0|0.010538281|1|1|0.0620143779999999|-0.052743904|-0.090926893|-0.53315493|1|0.892815402|0.833911317|0.156337925|-0.023185884|0.888163057|0.849217847|0|-0.117270578|132.3194611|0.3110547589999999|-54.83906299|11.04423694|109.0001157|0.731335741|-2.228140982|96.18613736|-28.21625599|89.09222754|0.44829258|471.12395210000005|-1523.677823|-19.29522587|0.2686642589999999|14.60824604|-1041.942197|38.58180913|0.023386634|-316.3903377|689.2886595|15.99256772|0.0|0.0|3.0|4.83|0.0|17.0|-6.14|0.98|112.29|1.28|1.0|0.0|131.85|0.0|1.0|-3.52|5.0|424.46|0.0|0.0|0.0|0.000359|152.0|1.55|7.19e-07|0.000305|3.8899|-1401.662677|701.99|1183.76|318.73|0.4446|520.19|0.6931|-0.15718|3.5904|-0.20829|0.04550032|-1401.45065|4.7433|9.0|8.0458|8.0458
4_a18 (SD-208)|0|0|0|0.0|0.0|1.304335262|0.0|-0.113324634|3|0.040864198|0.0|-0.009648044|0|0|-0.047745689|-0.15379315|-0.3630339729999999|-0.564165402|1|0.773173718|0.83508768|-0.058455902|-0.098971722|0.904723479|0.721664823|0|-0.099573708|103.6318511|0.22090326|-26.40375252|5.615248385|0.0|0.602029021|-1.2944582059999998|69.63488061|-18.01551972|51.01127638|0.454067432|401.1916387|-666.5742296|-9.276994128|0.397970979|11.42979655|-343.2487827|29.9246699|0.035654206|-105.0785813|363.2306414|18.35993987|1.0|1.0|1.0|2.77|2.54|22.0|-8.15|4.44|76.48|2.02|1.0|0.0|92.87|0.0|1.0|-4.29|6.0|352.75|0.0|0.0|1.0|4.14e-05|0.0146|3.02|7.06e-09|2.49e-06|3.2777|-1542.296276|537.47|895.83|378.26|0.2761|396.17|0.69028|-0.13588|3.4629|-0.2358|0.0199445|-1542.207472|5.2085|0.08|7.0969|7.0969
6f_a40|0|0|0|0.0|8.421342866|0.604893424|1.750582483|-0.156988665|0|0.038309179|0.737582436|0.075227997|2|2|-0.233222505|0.048543494|0.092206207|-0.628934821|0|0.7710013309999999|0.836826225|-0.032826285|-0.268802228|0.896373207|0.742681934|1|-0.130571562|207.7174501|0.344213487|-53.89282175|6.6032981820000005|40.01876255|0.8628087240000001|-2.350288117|92.77827871|-33.55442128|96.49789556|0.410805404|421.31181889999993|-1509.948957|-21.5571287|0.137191276|11.87042702|-970.0707913999998|38.88975659|0.013841059|-466.1748926|593.503189|8.892225517|0.0|1.0|2.0|4.05|2.53|14.0|-3.67|2.66|199.45|1.1|1.0|3.0|124.54|1.0|3.0|-6.95|5.0|457.55|1.0|0.0|0.0|2.3e-05|0.0105|3.09|0.0002109999999999|0.0967|2.57|-2426.972609|668.95|1139.55|482.43|0.2362|507.64|0.69911|-0.1131799999999999|6.2384|-203.0|0.04845403|-2426.787111|8.7269|42.0|7.3768|7.3768
12ad_a36|1|0|0|3.428443248|7.412764017000001|1.297042846|0.0|-0.073048351|2|0.040787037|0.0|-0.0072527669999999|1|1|0.077659878|-0.136151085|-0.227404687|-0.478461478|1|0.817851296|0.832674224|0.1563642469999999|0.018207862|0.8846605|0.7767870459999999|0|-0.107772644|94.12528108|0.239732231|-54.02363038|15.4237324|81.68309557|0.656407461|-2.047680239|96.81391944|-25.88878839|80.12771975|0.477102332|538.2749789|-1449.77215|-18.32944602|0.343592539|16.772513699999998|-1026.448977|39.44011905|0.028968808|-221.4751857|735.3783268|20.51012207|0.0|0.0|2.0|4.9|0.0|17.0|-6.62|1.67|95.5|1.89|1.0|0.0|135.03|0.0|1.0|-4.18|6.0|439.47|0.0|0.0|0.0|8.36e-05|0.0367|2.53|2.42e-07|0.000106|3.8512|-1460.8311199999998|737.53|1236.64|321.93|0.6073|588.2|0.67215|-0.15638|5.3349|-0.21044|0.03648828|-1460.610659|6.8996|17.0|7.7696|7.7696
6b_a31|1|0|0|3.404988662|7.773594467000001|0.610136262|0.0|-0.178758575|0|0.037803618|0.0|-0.032090772|2|2|0.1978523089999999|-0.002840672|-0.004825446|-0.57983695|0|0.838789705|0.78240875|-0.068433069|-0.084489161|0.841537966|0.795570315|0|-0.1284626569999999|159.79549319999998|0.372146926|-47.81835367|12.28107483|101.4993391|0.7459204140000001|-2.055402513|93.1058799|-27.86719323|93.83704414|0.4807018779999999|383.0600707|-1254.023695|-17.0020813|0.254079586|14.46878435|-765.0936586|37.35947255|0.024142162|-300.0775025|536.6368656000001|14.72939894|1.0|1.0|2.0|3.55|2.73|22.0|-7.33|4.0|131.36|1.36|1.0|0.0|109.69|0.0|1.0|-5.63|5.0|404.44|0.0|0.0|1.0|2.18e-05|0.00883|3.2|4.67e-08|1.89e-05|3.2949|-1652.671944|637.06|1077.19|376.29|0.4967|492.36|0.7013199999999999|-0.13345|5.9085|-0.1918|0.03623358|-1652.505041|8.8379|54.0|7.2676|7.2676
