molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|BCUTs-1|SaasN|AATSC1s|n6HRing|JGI4|SaaaC|MATS8i|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|RNCS|RPSA|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
13c_a5|1|0|0|2.944180713|6.605297921|1.377702625|0.0|-0.0090268969999999|3|0.024822695|0.0|-0.098760742|1|1|-0.017427549|-0.092592608|-0.150963534|-0.324868153|2|0.705487111|0.770478689|0.003545487|-0.033833834|0.822789227|0.6775573359999999|0|-0.076591149|158.67712230000004|0.19980328|-33.29709668|10.06137448|51.93687546|0.551328235|-1.302049531|70.46156718|-16.50965711|66.23254483|0.46617977|527.6071331999999|-858.5021696|-10.8855893|0.448671765|15.90846721|-566.0506435|29.94524142|0.0302745689999999|-67.68621352|656.208474|19.96143955|1.0|1.0|1.0|3.13|2.58|23.0|-8.09|3.29|84.0|1.16|1.0|0.0|120.88|0.0|1.0|-3.55|5.0|411.46|0.0|0.0|1.0|0.000109|0.0446|2.15|8.170000000000001e-09|3.36e-06|4.2145|-1351.274441|676.53|1153.36|294.18|509.0|513.33|0.51479|-0.17324|2.3276|-0.22939|0.03747691|-1351.067237|2.9732|123.0|6.9101|6.9101
13j_a6|1|0|0|3.409065702|7.412764017000001|1.430640326|0.0|-0.154502515|1|0.041728395|0.0|-0.0951246069999999|1|1|0.121750719|-0.045418125|-0.073507141|-0.562698347|1|0.8744720490000001|0.783333463|-0.063948098|-0.079161042|0.8353837409999999|0.830577798|0|-0.129511589|180.6709018|0.377035857|-57.82670518|13.89184843|114.6910805|0.7841668409999999|-2.460720196|99.85109065|-31.02389141|101.1210779|0.433600896|416.2679342|-1644.266245|-20.73032827|0.215833159|15.43329684|-1098.707398|39.56287079|0.0199201689999999|-379.7635712|673.8038326000001|13.31076198|1.0|1.0|3.0|3.56|2.26|23.0|-8.5|3.54|115.15|1.18|1.0|0.0|120.17|0.0|1.0|-5.03|5.0|427.46|0.0|0.0|1.0|3.28e-05|14.0|2.95|3.18e-09|1.36e-06|3.5599|-1426.5532050000002|712.52|1196.6|348.28|0.2857|555.0|0.7045100000000001|-0.14602|8.3187|-0.19491|0.03242949|-1426.335207|10.9731|262.0|6.5817|6.5817
24_a20|0|0|0|0.0|6.842683282|1.40648755|1.959359883|0.029711934|2|0.03625|2.041494094|-0.060940703|1|1|0.1468474119999999|-0.036258691|-0.060582944|-0.188335708|2|0.616352201|0.74131936|0.070857143|-0.07179846|0.802353442|0.607038752|1|-0.067869875|12.83518119|0.047972705|-27.02262995|5.102023479|406.1522673|0.771032243|-1.357397496|51.30386873|-17.13019562|46.85253003|0.457794721|600.7235847000001|-856.5097809|-10.80905198|0.228967757|12.63879297|-540.4525990000001|22.21722343|0.013436544|-342.0394805|664.4562602999999|8.478379683|1.0|1.0|0.0|3.4|3.21|27.0|-9.32|4.78|80.28|1.86|2.0|0.0|119.42|0.0|1.0|-4.89|5.0|402.45|0.0|0.0|1.0|1.17e-05|0.00469|3.52|4.82e-10|1.94e-07|3.5876|-1291.896802|685.66|1169.35|345.59|0.2495|551.25|0.44916|-0.15687|3.6107|-0.22435|0.02922392|-1291.706729|4.3906|318.0|6.4976|6.4976
19j_a38|1|0|0|3.235947106|7.412764017000001|1.29704352|0.0|-0.04575843|2|0.04391253|0.0|0.003554228|1|1|0.23209815|-0.09493054|-0.20848518|-0.42133715|1|0.7163622890000001|0.846765471|-0.001131945|-0.060360554|0.908721232|0.6885713729999999|0|-0.108006563|131.29876370000002|0.192823617|-50.60340201|11.74054073|29.18585028|0.714369845|-1.944118135|90.05233553|-26.09259418|74.95583121|0.408533267|552.5012068|-1330.722303|-17.86002424|0.285630155|12.69084117|-910.8612362|36.5253298|0.023555355|-293.4664598|640.025745|16.123318700000002|0.0|1.0|3.0|4.81|2.34|17.0|-6.92|2.42|105.02|1.76|1.0|0.0|130.41|0.0|1.0|-4.35|5.0|426.45|0.0|0.0|0.0|7.55e-05|0.0322|2.5|1.2099999999999998e-07|5.14e-05|3.6886|-1424.426858|686.26|1163.3|336.13|354.0|533.97|0.69435|-0.15182|10.8124|-0.21629|0.03678378|-1424.24494|14.4895|8.0|8.1146|8.1146
24_a47|0|1|1|0.0|6.86171134|1.304328602|1.225600378|-0.1160443999999999|2|0.039520202|1.081401467|-0.063708635|1|1|0.056234624|-0.111494046|-0.2494728939999999|-0.540463145|2|0.662080166|0.812650394|-0.005097239|0.113432542|0.875198713|0.627160379|1|-0.090995097|41.72753688|0.216050899|-28.82156035|6.81713713|47.170683|0.611603578|-1.364926459|69.27912772|-18.28983173|54.82626523|0.479188295|441.2021442|-768.1729327|-10.29341441|0.388396422|13.48797266|-432.3234052|29.90471672|0.032103375|-125.6197312|457.1122177|18.06759887|1.0|1.0|2.0|3.14|3.12|21.0|-7.63|4.64|84.73|2.86|1.0|0.0|104.73|0.0|1.0|-4.61|5.0|396.81|0.0|0.0|1.0|3.05e-05|0.0121|3.16|2.32e-08|9.22e-06|3.9675|-1696.105723|578.94|1002.04|312.5|0.2618|450.98|0.6835|-0.16333|2.6517|-0.2285|0.03414611|-1695.98597|3.6008|3.0|8.5|8.5
14d_a23|0|1|1|0.0|7.423568444|1.197963465|3.405551724|-0.026530366|2|0.043538647|0.758207139|-0.019307114|2|2|0.059486662|-0.074441567|-0.136106024|-0.4483522929999999|2|0.725800261|0.772008792|0.006563565|-0.088996384|0.829764975|0.6906097959999999|1|-0.078282292|39.26987634|0.078305538|-33.99063559|8.074501042|83.40396369|0.790346608|-1.6439281280000002|61.49227899|-21.66510006|47.66288948|0.454495683|607.3441532|-1083.255003|-14.27606695|0.209653392|14.358677900000002|-713.8033475|27.41215037|0.015037275|-382.6437544|666.0036144999999|9.908707432|0.0|1.0|1.0|3.52|3.62|26.0|-7.78|4.33|105.02|3.24|2.0|1.0|125.25|0.0|1.0|-5.85|4.0|425.51|0.0|0.0|0.0|5.61e-06|0.0023899999999999|3.94|1.65e-08|7.03e-06|8.1555|-1669.24571|696.21|1186.17|3688.0|0.3807|554.84|8.1555|-0.14894|5.6156|-0.22152|0.02083626|-1669.045136|8.1555|4.0|8.4001|8.4001
8e_a12|0|1|1|0.0|6.803505258|1.283834633|1.873617728|-0.049397555|2|0.037430556|2.197856963|-0.087658302|1|1|0.112673977|-0.079913108|-0.136145064|-0.448676455|1|0.83954453|0.761892879|-0.036433876|-0.051240735|0.815412281|0.797199175|1|-0.087795345|51.38557748|0.060372083|-28.78776717|5.0872236|0.0|0.7112578709999999|-1.492520871|61.4656313|-17.80522313|38.67488258|0.45384745|538.051884|-854.6507103|-10.19566754|0.2887421289999999|11.80358346|-489.392042|25.03342862|0.019545275|-241.94192880000003|561.9859171|11.19206011|1.0|1.0|1.0|4.11|3.01|21.0|-7.93|2.68|55.1|3.05|2.0|0.0|117.04|0.0|1.0|-4.37|4.0|366.42|0.0|1.0|1.0|2.03e-05|0.00744|3.53|1.19e-08|4.34e-06|3.3044|-1177.619013|612.59|1048.44|375.21|0.2341|481.04|0.6954899999999999|-0.13599|1.0295|-0.19338|0.02580783|-1177.436953|1.9327|588.0|6.2306|6.2306
14u_a23|0|1|1|0.0|7.423568444|1.197962732|3.357982471|-0.025360103|2|0.043321995|0.743634137|-0.026062012|2|2|0.091604179|-0.110069159|-0.199540201|-0.4086345999999999|2|0.756252127|0.787538583|-0.001778422|-0.094773814|0.845160857|0.71381683|1|-0.086465795|43.06242147|0.090245088|-38.57404134|11.3374334|50.47632596|0.702868983|-1.729315897|73.50348823|-22.64798452|53.88349042|0.47648509|607.6448353|-1155.04721|-15.12707504|0.297131017|14.12094979|-771.4808267999999|32.2221994|0.023582305|-271.0010972|683.7405759|15.75112771|0.0|1.0|1.0|3.59|3.68|26.0|-7.51|4.03|114.25|2.72|2.0|1.0|126.78|0.0|1.0|-5.63|5.0|441.51|0.0|0.0|0.0|9.57e-06|0.0042299999999999|3.55|3.11e-08|1.3699999999999998e-05|3.1819|-1744.446261|712.54|1214.4|389.66|0.2253|549.0|0.6703100000000001|-0.1543|5.9743|-0.21613|0.0237199999999999|-1744.2405670000005|8.1549|6.0|8.2449|8.2449
12b_a36 (EW-7197)|1|0|0|3.3685352889999995|7.412764017000001|1.2970445309999998|0.0|-0.082283951|2|0.040899471|0.0|-0.098032695|1|1|0.059005046|-0.101303149|-0.217394466|-0.442656599|1|0.724208473|0.819222745|-0.001567914|-0.097861598|0.8741648479999999|0.698414933|0|-0.10866747|81.63796416|0.236481628|-42.53627024|8.392238798|5.958751634|0.746747352|-1.956014468|80.95733534|-24.47552312|64.31504105|0.45988432|477.6935927|-1223.776156|-15.31305729|0.253252648|12.52485821|-765.6528642999999|32.77617664|0.020730147|-308.7538779|595.8790650000001|12.96977113|||||||||||||||||||||||||||3.7725|-1332.180029|659.48|1104.61|328.66|0.4491|486.64|0.69991|-0.15571|5432.0|-0.20546|0.03202977|-1332.005651|7.3101|7.0|8.1549|8.1549
12k_a30|0|0|0|0.0|7.412764017000001|0.604984231|0.0|-0.029595542|2|0.042739018|0.0|0.067265077|1|1|-0.240110949|-0.089279071|-0.154412059|-0.4186541|1|0.838579475|0.830875659|0.001281277|-0.067714819|0.883029843|0.7933543279999999|0|-0.098188266|106.8195439|0.184916442|-43.09444587|10.61148425|0.0|0.7081361979999999|-1.865577056|80.03127603|-23.31944323|68.37178540000001|0.47195436|539.9866061|-1235.930491|-15.44895229|0.291863802|15.93977881|-818.7944715|32.93073182|0.0226150579999999|-275.77726980000006|704.0353382000001|14.9823028|0.0|1.0|1.0|4.72|0.0|17.0|-6.74|2.63|90.88|2.51|2.0|0.0|133.77|0.0|1.0|-5.44|5.0|428.51|0.0|0.0|0.0|1.19e-05|0.0050799999999999|3.84|1.84e-07|7.87e-05|3.4715|-1690.302721|710.82|1200.31|357.15|0.2257|564.62|0.6864899999999999|-0.14743|4.9516|-0.19798|0.03357755|-1690.094082|5.0736|24.0|7.6144|7.6144
