molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
17_a47|0.0|1|1|0.0|0|6.605297921|0|0|1.4168589319999998|0.0|-0.003764469|4.59511985|3|10.9385382|1|0.004477366|-0.180898239|-0.3004189439999999|3|0.8007970640000001|0.75807704|-0.034891905|-0.010871607|0.814790949|0.7666613659999999|1|-0.07185129|-0.082994667|-50.62550618|7.87914003|90.10552332|-0.02987808|4.806157636|0.7457517659999999|60.33408274|-18.22518223|51.70735256|0.46147021|2672.497352|519.8795281|-911.2591113|0.2542482339999999|7.055517075|13.10144249|0.8569074879999999|155.087622|24.43867122|0.0159160889999999|1221.9335609999998|630.8611986000001|9.708576558|1.0|0.0|1.0|1.0|2.0|3.44|2.39|27.0|-10.1|2.0|0.0|0.0|0.0|-5.4|0.0|-5.21|0.00156|4.03|0.0|3.07|-1254.985125|-1254.943823|656.78|1127.7|0.4308|289.79|0.6844100000000001|0.6844100000000001|-1254.737546|0.4308|-0.17606|0.04130125|5.6949|5.0|8.3|8.3
15a_a22|0.0|0|0|0.0|1|6.842683282|0|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|2|10.9464374|1|0.005757758|0.036467904|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.09744639|-0.027029438|0.794858486|0.655865336|1|-0.061755825|-0.081705465|-55.4621036|14.43653926|90.52525878|-0.031425179|9.799599501|0.702735071|70.12529157|-21.33157831|56.35672103|0.444668211|2884.815511|588.2800507999999|-1109.242072|0.297264929|8.157552588|14.6895113|0.800725296|201.7850124|30.3550786|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|3.42|2.86|27.0|-9.21|1.0|0.0|0.0|1.0|-4.65|0.0|-4.68|0.00945|3.18|0.0|4.98|-1368.35331|-1368.321775|696.57|1189.31|312.0|245.14|0.41078|0.69076|-1368.0755869999998|0.0955|-0.15281|0.03153544|6.8666|143.0|6.8447|6.8447
6a_a31|0.0|1|0|0.0|0|7.703007682000001|1|1|0.610184884|0.0|-0.01694403|5.6869753560000005|0|10.31170939|2|-0.010591881|0.1533239019999999|-0.568500407|0|0.848282918|0.784022685|-0.07385392|-0.0436046509999999|0.848080284|0.803505125|0|-0.132158278|-0.126430958|-74.23718620000001|20.08876284|251.216265|-0.045153913|11.79563339|0.6927462990000001|92.52963742|-26.51328079|97.68889243|0.478330896|2713.694431|335.9594356|-1113.557793|0.307253701|7.516549303|14.408653400000002|0.916923952|180.411907|38.27271371|0.031153284|1607.453976|479.200937|18.29245122|1.0|1.0|1.0|1.0|2.0|3.42|2.51|22.0|-6.96|1.0|0.0|0.0|1.0|-5.22|0.0|-4.34|0.00238|2.8|0.0|4.03|-1613.34153|-1613.295461|607.79|1028.95|0.6404|349.96|0.70416|0.70416|-1613.1416|0.6404|-0.1428|0.04606915|11.2387|1.1|5.9586|5.9586
6c_a31|0.0|1|0|0.0|0|7.78113851|1|1|0.6101347220000001|0.0|-0.015192833|5.733341277|0|10.31169965|2|-0.00668344|0.2301743489999999|-0.582545668|0|0.831901219|0.790900932|-0.078059285|-0.172780048|0.846458013|0.7905201209999999|0|-0.120905075|-0.126324613|-79.97295595|20.09112958|227.1490414|-0.044739967|12.71919216|0.7653239190000001|93.4208388|-28.32375523|96.63311186|0.4463376229999999|2837.949799|405.9259734|-1359.540251|0.234676081|8.102804662|14.63492011|0.8061548709999999|148.5675636|37.00884624|0.0212421629999999|1776.424619|597.3075924999999|13.44788285|1.0|1.0|1.0|1.0|2.0|3.67|3.13|22.0|-7.72|2.0|0.0|0.0|1.0|-6.09|0.0|-4.94|0.000343|3.64|0.0|5.08|-1691.984862|-1691.948653|667.01|1125.85|0.5028|376.01|0.7014699999999999|0.7014699999999999|-1691.734564|0.5028|-0.13351|0.03620884|8.8847|0.34|6.4685|6.4685
20_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.399905568|2.017439295|-0.003103385|5.4161004020000005|1|10.9459449|1|0.012025268|-0.098992154|-0.211751813|1|0.691307598|0.7797803109999999|0.246357638|-0.105783279|0.8404413829999999|0.665774148|0|-0.060595472|-0.072188305|-34.74640079|11.03865532|39.3981702|-0.0273144939999999|5.313236547|0.6435852470000001|46.45917085|-13.14728679|40.20507689|0.421704107|1982.961908|441.9318823|-486.4496111|0.356414753|5.543543957000001|9.58599918|0.729218575|171.5531319|20.4281979|0.024334176|755.8433223999999|338.71903330000004|11.71277006|1.0|1.0|1.0|1.0|0.0|3.23|3.06|17.0|-5.55|0.0|0.0|0.0|2.0|-3.46|1.0|-3.87|0.1|2.96|0.0|2.73|-934.2489802|-934.2266312|517.72|861.05|0.2364|239.45|0.5152|0.66028|-934.103809|0.1415|-0.16699|0.022349042|5.5779|646.0|6.1898|6.1898
10_a15|0.0|0|0|0.0|0|0.0|0|0|1.4356889780000002|0.0|-0.006872984|0.0|2|10.95972828|0|0.0034254209999999|-0.132759909|-0.391156537|2|0.8310685940000001|0.713794823|0.0107135269999999|0.018211609|0.7585998270000001|0.7933685340000001|0|-0.052826735|-0.101494566|-59.05618983|6.101312009|38.90530741|-0.036384844|3.550143186|0.8301726490000001|65.80736417|-21.17108692|36.83936823|0.449323734|2605.82709|542.9602292000001|-1122.067607|0.169827351|5.555044294|10.08767698|0.815948972|98.81668286|25.50202895|0.0116026369999999|1351.607534|673.7288405|6.751174337|1.0|1.0|1.0|1.0|1.0|3.58|3.64|24.0|-9.82|2.0|0.0|0.0|1.0|-6.22|0.0|-5.83|0.0002379999999999|5.29|0.0|5.16|-1281.088565|-1281.061184|631.2|1136.48|0.1412|277.48|0.66799|0.70313|-1280.804272|0.0042|-0.15377|0.02738146|3.1460000000000004|7.0|8.1549|8.1549
7_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.343865525|2.060422336|-0.001729561|5.4161004020000005|2|10.92992954|1|0.008242591|-0.162314698|-0.174410426|2|0.527072036|0.8046449179999999|0.022270259|0.0707653759999999|0.87010589|0.518356619|1|-0.0650223009999999|-0.071288428|-35.88407105|7.402610584|87.67070691|-0.026733161|3.726212114|0.7179916670000001|44.34066533|-13.45652664|40.13253521|0.437317462|2286.169166|415.6938929|-538.2610657|0.282008333|5.512905888|9.797542165|0.7772010559999999|141.9530115|18.74189807|0.016800137|749.6759227000001|407.1471338|8.456594282000001|1.0|0.0|1.0|1.0|0.0|3.05|2.7|21.0|-7.46|0.0|0.0|0.0|1.0|-3.81|1.0|-4.41|0.0514|3.22|0.0|2.91|-1089.870249|-1089.847072|538.92|915.46|0.0697|307.05|0.59702|0.59702|-1089705.0|0.0697|-0.16975|0.02317758|4926.0|151.0|6821.0|6821.0
12aa_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604983643|0.0|-0.008848121|5.351858133|2|10.31162784|1|0.005111479|-0.023695642|-0.394520145|1|0.8397577820000001|0.809127478|0.024991407|-0.012535889|0.855880335|0.794193541|0|-0.078042288|-0.101368383|-70.79444906|21.58471858|130.84205079999998|-0.033789461|15.0745057|0.630759573|91.51563481|-23.59814969|76.08850600000001|0.4659424379999999|3115.249471|567.5458219999999|-1345.094532|0.369240427|8.65813938|16.21199661|0.872457337|257.8730361|37.41227352|0.029670025|2132.499591|792.3440337000001|20.72118575|1.0|1.0|1.0|1.0|1.0|4.86|0.0|17.0|-6.83|2.0|0.0|0.0|1.0|-5.61|0.0|-5.0|0.00113|3.81|0.0|3.34|-1804.818818|-1804.784381|748.78|1275.73|0.1667|238.78|0.30341|0.68642|-1804.516348|0.1506|-0.1472099999999999|0.03443621|6.4878|8.0|8.1135|8.1135
11a_a5|0.0|1|0|0.0|0|6.605297921|0|1|1.212363224|0.0|-0.002894726|4.59511985|2|10.94877942|1|0.007955512|-0.081506|-0.254944026|2|0.7505403709999999|0.73344478|-0.037220974|-0.0489811909999999|0.773417838|0.7410766209999999|0|-0.064565402|-0.071517578|-51.09940261|8.474559367000001|76.14130253|-0.026223112|6.055083705|0.740865275|61.4470419|-18.73644762|54.60662289|0.466436596|2727.027899|638.3599998999999|-1124.186857|0.259134725|9.740948724|18.25640338|0.874191508|185.1520983|25.28995251|0.014482324|1517.39715|835.912531|10.34763929|0.0|0.0|1.0|1.0|1.0|3.53|3.68|23.0|-9.93|2.0|0.0|0.0|1.0|-7.25|0.0|-6.4|2.39e-05|6.13|0.0|4.83|-1339.8362619999998|-1339.802852|739.79|1272.7|0.5473|281.57|0.6735|0.65363|-1339.493223|0.1838|-0.16735|0.03340977|3.6525|81.0|7.0915|7.0915
12u_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|1.270259304|0.0|-0.006461999|5.351858133|2|10.95266014|1|0.005035022|0.055588998|-0.438988314|1|0.901715152|0.8101678720000001|0.080270195|-0.018047007|0.855176759|0.860667615|0|-0.07260571|-0.0969881059999999|-67.50289394|12.27663887|109.8080843|-0.03452119|8.544435884|0.77938748|78.06218646|-24.02645378|62.80959338|0.486156325|2831.106839|586.1833819|-1417.5607730000002|0.22061252|7.65672775|14.90088936|0.946117173|153.5444314|30.82735404|0.015171583|1818.813889|799.5563855|10.55929252|1.0|1.0|1.0|1.0|2.0|5.05|0.0|17.0|-7.38|2.0|0.0|0.0|1.0|-4.95|1.0|-4.86|0.0047799999999999|3.8|0.0|4.21|-1350.8981130000002|-1350.865506|739.12|1254.5|0.4267|319.16|0.69258|0.70272|-1350.575382|0.0176|-0.15109|0.03260752|7.8877|16.0|7.7959|7.7959
