molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|SaaaC|MATS8i|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
11_a4|0.0|0|0|0.0|0.0|1|1|0.626711769|2.159635561|-0.20567828|-0.001098364|2|0.03617284|2.216390726|-0.073554945|1|0.010782511|-0.030003079|2|0.6575743310000001|0.820318166|-0.163623353|-0.007574475|0.647727179|1|0.930113409|-0.054262142|0.009336075|-31.35942689|-37.74083422|5.395547437|12.88007087|0.069886591|-0.023620625|-21.81135655|59.55648883|-1.110169356|44.63993001|-13.65094004|36.75497433|2452.527871|1640.559148|-7.889214068999999|0.243908684|6.850305797000001|13.18281017|0.924411925|5425.1341090000005|18.0546182|0.011937709|575.2252237|6.89909579|1.0|1.0|1.0|1.0|3.31|21.0|-8.05|68.9|3.15|0.0|111.64|1.0|4.0|-5.14|27.0|3.0|-5.74|372.49|0.0|1.0|-4.97|0.00271|1.06e-05|3.99|0.0|0.0|3.31e-06|-0.05582|4907.0|3.2|3.78|-1467.463842|-1467.440475|630.04|1071.03|479.99|0.4444|0.0403|4187.0|-0.2146699999999999|0.02336674|-1467.255521|6.9586|6.9586
1_a3|0.0|0|0|0.0|0.0|1|1|0.6195934120000001|0.0|0.079857077|-0.006053652|2|0.034166667|2.194605012|0.038572075|0|-0.005006707|-0.007705076|2|1.005427002|0.7905285390000001|-0.126299711|0.057919092|0.943582278|1|0.7762512779999999|-0.098872259|0.008036786|-45.44133321|-42.54530997|3.693677623|289.8942564|0.2237487219999999|-0.034105115|-19.55367089|0.0|-1.295994381|49.05980305|-15.67458788|49.13501083|2012.9704|1162.737831|-7.203984013|0.207914282|4.984064981|9.046658216|0.8151164259999999|4510.611026|19.78900457|0.014174378|373.1494221|6.514493077999999|1.0|0.0|1.0|1.0|3.83|16.0|-5.77|77.1|1.52|0.0|91.52|2.0|2.0|-3.07|22.0|4.0|-6.87|306.38|0.0|0.0|-3.3|261.0|0.000503|1.83|0.0|0.0|0.000518|-53.0|5.8805|2.08|3.8645|-1273.316428|-1273.290432|496.09|845.2|316.61|0.30619|0.0096|2.2332|-0.21886|0.02599563|-1273.22339|6.1403|6.1403
5b_a50|0.0|0|1|0.0|0.0|1|1|1.397278957|4.190114953|-0.253064589|-0.00141071|1|0.034845679|2.473508677|-0.137595558|2|0.012290091|-0.0873662269999999|1|0.693611382|0.791163321|0.019856551|-0.1866330389999999|0.6642694929999999|1|0.958606481|-0.041157676|0.012204641|-20.90908698|-31.07327358|6.200250541|6.656963127999999|0.041393519|-0.02140774|-15.78596849|60.5565203|-0.8563096170000001|42.76068675|-10.87564575|27.10933752|2183.545404|1452.442728|-5.525088972000001|0.411250953|5.543302677000001|10.01036188|0.8058479690000001|4577.809819|18.47246431|0.023005632|409.0289917|11.68741316|1.0|0.0|1.0|1.0|3.37|20.0|-5.86|35.64|2.4|0.0|96.89|2.0|2.0|-3.48|24.0|2.0|-6.03|312.37|0.0|1.0|-4.19|105.0|6.47e-05|3.06|0.0|0.0|0.0004269999999999|-0.0256899999999999|5.6332|2.81|4.0222|-990.6114185|-990.5849031|547.35|922.49|411.9|0.4270899999999999|0.1094|4.4181|-0.19252|0.02651535|-990.487545|4.9126|4.9126
6d_a40|0.0|0|0|0.0|0.0|1|2|0.604893491|1.695192271|0.12627602|-0.015362927|0|0.039160494|0.683786612|0.086704068|2|-0.00448098|-0.249967637|0|0.6224555620000001|0.8361555479999999|-0.039077432|-0.289988439|0.604211552|1|0.663670372|-0.115007564|0.017359149|-73.59650182|-76.51205671|11.10859664|192.5638526|0.336329628|-0.050049893|-48.96216855|38.04267542|-2.15214542|85.47607798|-32.02830281|84.70509846|3063.227702|3212.360755|-20.49579149|0.13994759|6.908972922999999|12.08146906|0.7486635420000001|7436.576348|37.23994308|0.01400787|555.2010623|8.964021265|1.0|1.0|0.0|1.0|3.98|14.0|-4.31|173.43|2.01|2.0|120.09|2.0|5.0|-7.21|30.0|6.0|-6.36|460.52|1.0|1.0|-5.15|2.85e-05|7.1e-06|3.87|1.0|0.0|0.0226|-0.09462|2.9559|7.98|2.9559|-2470.82949|-2470.793925|656.5|1111.69|511.88|0.6624800000000001|0.3518|7.8884|-214.0|0.03556489|-2470.684323|8.9208|8.9208
1h_a5|0.0|1|0|2.9516097130000003|0.0|0|0|1.427564094|0.0|-0.259241577|-0.001978474|2|0.026339869|0.0|-0.1197834419999999|1|0.007357977|-0.043247682|2|0.71274658|0.780175595|0.070628165|-0.082079343|0.6977404359999999|0|0.8806402259999999|-0.067599619|0.008798715|-35.25675213|-36.2462047|4.588992214|160.0744187|0.119359774|-0.027798699|-18.90429957|0.484419999|-1.111947978|44.51475742|-14.49848188|39.84574434|2107.271793|819.6979313999999|-7.561719827|0.2549450239999999|6.711386288|13.14687756|0.958891501|4334.547353|19.45961351|0.01585373|409.0289917|8.268552715|1.0|0.0|1.0|1.0|2.8|23.0|-8.41|54.46|2.13|0.0|95.45|1.0|3.0|-4.25|24.0|3.0|-5.77|312.37|0.0|1.0|-4.45|0.0174|3.5600000000000005e-05|3.43|0.0|0.0|1.21e-06|-0.04124|4652.0|3.17|4.3651|-990.6346565|-990.6032645|556.57|934.7|430.83|0.4112699999999999|0.1754|2.2396|-0.21921|0.031392033|-990.523098|7.5528|7.5528
47a_a18|0.0|0|0|0.0|0.0|1|1|0.403918489|0.0|0.018016478|-0.006027559|0|0.033641026|0.0|-0.025401815|0|-0.000633273|0.066507683|0|0.842412605|0.766261502|-0.008965701|0.089156939|0.792293789|0|0.778790861|-0.082855697|0.014124484|-67.93456546|-81.42570819|11.58086543|100.7293848|0.2212091389999999|-0.036234741|-66.76209701|110.0917322|-2.681370849|93.5899242|-29.70938001|79.51543089|3612.105567|2250.179086|-24.3591435|0.2063806289999999|10.20255289|19.74153879|0.934960691|8405.670404|37.435301|0.014835962|1225.939287|12.16421601|1.0|1.0|1.0|1.0|4.97|18.0|-8.27|123.06|1.85|1.0|158.24|1.0|12.0|-6.74|39.0|5.0|-6.49|547.67|0.0|0.0|-5.58|9.9e-05|2.62e-06|4.44|0.0|1.0|2.95e-06|-0.05191|3.1947|8.82|3.1947|-2098.807018|-2098.773074|874.47|1536.87|813.01|0.69508|0.6094|2.6271|-0.18291|0.0339441|-2098.359766|9.0|9.0
11_a1|0.0|1|0|3.3361517380000003|0.0|1|1|1.430935838|0.0|0.033732316|-0.018080197|1|0.035620155|0.0|-0.05257082|1|-0.009578125|0.126722854|1|0.823460272|0.747358374|-0.069193862|-0.075188762|0.7846345840000001|0|0.5955245029999999|-0.131972845|0.034974992|-77.81495049|-74.35738693|20.62225192|274.39137789999995|0.404475497|-0.048723884|-43.84323456|84.40380304|-2.143850877|89.80732824|-28.7289904|98.43720241|2697.640232|1885.148133|-16.93943154|0.248121855|7.43666407|14.2257294|0.912918113|5798.645137|38.20963621|0.02620284|495.0560271000001|15.44994131|1.0|1.0|1.0|1.0|3.25|23.0|-7.47|97.33|1.95|0.0|105.71|1.0|4.0|-5.07|29.0|6.0|-6.27|385.37|0.0|1.0|-4.66|0.00327|2.17e-05|3.35|0.0|0.0|1.29e-05|-0.06546|3.7383|5.26|3.1924|-1312.462371|-1312.4282380000002|614.86|1036.18|471.76|0.68162|0.3201|5.0526|-0.19462|0.03413353|-1312.2963630000002|6.7696|6.7696
21a_a23|0.0|0|1|0.0|0.0|0|0|1.197963603|3.43622302|0.1049806919999999|-0.005708466|2|0.042862319|0.773970837|-0.133417036|2|0.01180744|0.130024255|2|0.725800261|0.7367638240000001|0.1022509819999999|-0.137122549|0.6906097959999999|1|0.926538469|-0.051521215|0.011564247|-34.01266735|-54.35891011|7.634348008|39.56172507|0.073461531|-0.03458322|-35.88602363|82.08958626|-1.729161021|61.73864319|-22.83074225|41.64701536|2880.257677|2272.736256|-15.07212993|0.157878617|7.950891003|15.66066298|0.969673962|6464.524241|27.11098744|0.011178565|666.0036144999999|7.379733085|0.0|1.0|1.0|1.0|3.53|26.0|-7.78|105.02|3.24|1.0|125.25|1.0|5.0|-5.89|31.0|4.0|-6.07|425.51|0.0|0.0|-5.28|0.000552|5.29e-06|3.98|0.0|0.0|7.03e-06|-0.07243|3.6993|3.75|3.6993|-1669.250866|-1669.23053|701.01|1189.63|558.61|0.60824|0.3692|5.3733|-0.2226699999999999|0.0203361|-1669.0502720000002|6.9914|6.9914
8c_a32|0.0|1|1|3.46252244|0.0|0|0|0.609420757|0.0|0.080016722|-0.0093793719999999|0|0.036711712|2.143746338|-0.026048985|3|-0.001662219|-0.047650724|0|0.788133615|0.845443342|-0.024032462|-0.11492754|0.7507116140000001|1|0.801747512|-0.076876481|0.016240436|-46.47597924|-58.93213925|9.818219446|126.6561213|0.198252488|-0.027548799|-35.6276568|78.19443734|-1.267244762|74.36515033|-16.654735000000002|56.29419869|2571.62241|3038.837633|-10.06868562|0.399315117|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|27.72624296|0.025527931|557.1050635|15.43301109|1.0|1.0|1.0|1.0|3.46|19.0|-7.65|140.04|1.1|0.0|110.47|1.0|7.0|-5.82|27.0|4.0|-6.45|397.52|1.0|1.0|-4.39|0.000597|4.11e-05|3.21|0.0|0.0|8.86e-06|-0.04161|3.5673|4.28|3.5673|-1880.764533|-1880.733377|646.97|1090.0|516.78|0.70135|0.3272|8.4922|-0.18873|0.03115673|-1880.597039|7.4318|7.4318
18_a4|0.0|0|0|0.0|0.0|1|1|1.3998285519999998|1.904090136|-0.181683336|-0.004533883|1|0.042924837|0.0|-0.200683549|1|0.00042|0.108754635|1|0.624748358|0.793041267|0.102914528|-0.105846349|0.615655659|0|0.7755960390000001|-0.094231531|0.017694182|-46.48874223|-42.33787448|8.729352711|203.5264327|0.224403961|-0.03479101|-20.88721799|0.0|-1.287267373|50.98777224|-17.16400317|55.21809494|2069.649003|1573.744396|-8.467791078|0.2305616919999999|6.133421395|10.31843368|0.682329162|4381.693113|22.30718562|0.0175331289999999|337.0066459|8.649897756|0.0|0.0|1.0|0.0|3.32|17.0|-5.53|50.94|2.2|0.0|86.22|2.0|3.0|-2.95|23.0|4.0|-6.58|307.32|0.0|1.0|-3.51|349.0|0.000312|2.24|0.0|0.0|0.0009109999999999|-0.03538|4.5152|3.02|4.2045|-1033.480025|-1033.454769|523.81|870.74|404.27|0.52475|0.1|2.7878|-0.20883|0.02525528|-1033.398285|5.5817|5.5817
