molecula|SddssS|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8d|SIC2|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Veber filter|Heavy atom count|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
16a_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|-0.014399612|5.733341277|-0.0848387459999999|0|0.03995614|-0.008098765|10.31100271|-0.058518519|-0.005552127|-0.0999399409999999|-0.107321286|-0.199563743|0|0.859696525|-0.098258706|0.909908319|-0.090389538|-0.119471489|0.283324612|0.020664867|-74.35152328|12.86051026|92.00611646|151.5123947|-0.037168908|8.003570876|0.6968200370000001|-1.6726008419999998|0.450892763|470.82456669999993|-1040.921326|2992.60858|-14.39564033|7.183246604|13.08168264|5746.082161|188.6800971|-647.803815|-244.9767673|1493.816582|14.6095244|1.0|0.0|1.0|1.0|3.0|2.66|0.22|19.0|-7.3|5.32|1.0|0.0|1.0|27.0|398.51|1.0|3.06|0.00128|0.0364|2.65|0.0|0.0|5.04e-08|2.01e-05|3.6314|-1896.81177|-1896.770883|664.67|1096.48|0.2859|341.42|535.63|0.70245|-1896.589348|0.2859|-0.15045|1.3736|-0.20718|-1896.649286|11.0|7.9586|7.9586
18_a4|0.0|0|0|0.0|1|7.535296702|1|1|-0.004533883|5.4161004020000005|-0.164169913|1|0.042924837|0.000379379|10.94611841|-0.063708832|0.00042|0.108754635|0.006968314|0.015390457|1|0.624748358|-0.105846349|0.8547339420000001|-0.094231531|-0.085817825|0.269470313|0.017694182|-42.33787448|8.729352711|203.5264327|110.7087804|-0.03479101|4.306590617|0.769438308|-1.287267373|0.405586004|382.6371479|-635.0681172000001|1573.744396|-8.467791078|6.133421395|10.31843368|4381.693113|113.7466718|-313.3082699|-265.85258480000005|825.3658678999999|8.649897756|0.0|1.0|0.0|0.0|1.0|2.56|0.11|17.0|-5.53|3.46|0.0|0.0|0.0|23.0|307.32|0.0|2.78|349.0|0.0959|2.24|0.0|0.0|2.96e-06|0.0009109999999999|4.2045|-1033.480025|-1033.454769|523.81|870.74|0.2083|274.59|404.27|0.52475|-1033.349218|0.1|-0.17345|2.7878|-0.20883|-1033.398285|2.62|5.5817|5.5817
7c_a8|0.0|1|0|0.0|1|7.05012252|0|0|-0.007509694|4.844187086|-0.025233184|1|0.043533333|0.00325576|10.94670214|-0.118915929|0.004301963|0.079425146|-0.047874|-0.077006275|1|0.718994164|-0.196826366|0.795846675|-0.080277893|-0.089778346|0.292274414|0.0306012339999999|-56.2991566|19.18974586|49.43944876|94.73836511|-0.03366688|12.03370912|0.626902145|-1.6160102369999998|0.492823119|532.3522286|-1013.384819|2162.326414|-13.23925183|7.700542366|15.18314943|6013.168519|233.9661552|-635.4840877|-159.15828340000002|1616.4960130000002|20.10370648|0.0|1.0|1.0|1.0|1.0|3.1|0.09|23.0|-7.76|4.22|1.0|0.0|0.0|30.0|398.41|0.0|3.26|0.00399|0.00851|3.37|0.0|0.0|1.73e-08|6.91e-06|3.1406|-1331.8206369999998|-1331.793312|662.05|1116.53|275.0|269.17|579.97|0.62361|-1331.567632|0.1779|-0.1318599999999999|12.0073|-0.20658|-1331.625743|18.59|4.7307|4.7307
10_a27|0.0|0|0|0.0|2|6.605297921|0|0|-0.006285923|4.59511985|-0.044164147|2|0.040512821|0.00991794|10.93783185|-0.000903965|0.010329671|-0.309727442|-0.2030237389999999|-0.341622797|2|0.639413469|-0.001453596|0.862408925|-0.061299064|-0.087022238|0.346344305|0.017676458|-46.27574168|9.399794974|6.0140309720000005|78.34972221|-0.031079371|4.998521009|0.7453606909999999|-1.305333567|0.477162521|453.4194305|-694.1361252|943.2258247|-8.788575695|6.761146212000001|12.9316403|4894.8090170000005|135.40932969999997|-369.1201792|-260.9504933|931.2754667000002|8.782938574|1.0|0.0|1.0|1.0|0.0|3.15|0.16|21.0|-6.24|2.81|0.0|0.0|0.0|25.0|331.37|0.0|2.74|0.0882|0.0394|2.55|0.0|0.0|5.81e-07|0.000192|4.1495|-1083.137871|-1083.1151289999998|573.31|958.95|0.4452|298.79|450.26|0.63894|-1082.956472|0.4452|-0.16805|4.6684|-0.21785|-1083.008551|69.0|7.1612|7.1612
12bf_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|-0.00832865|5.351858133|-0.119979424|2|0.044197531|-0.006877664|10.96022305|-0.0206090089999999|-0.004358975|0.359635716|-0.098027247|-0.250781298|1|0.653741315|-0.033696875|0.892249657|-0.090461753|-0.110255801|0.356652646|0.0217611939999999|-71.01192632|14.01562806|87.14111344|206.6543367|-0.037486972|9.026978489|0.7054709690000001|-1.874348624|0.474826911|437.4108773|-1207.2027480000002|2522.341812|-15.55034592|7.546900716000001|14.37031118|6271.550446|189.6959033|-777.5172959|-264.6734075|1711.2011699999998|15.27267945|1.0|0.0|0.0|0.0|2.0|0.0|0.14|17.0|-7.12|3.55|1.0|0.0|0.0|31.0|417.41|0.0|2.44|0.0424|0.0201|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|3874.0|-1431.413697|-1431.380702|670.85|1120.94|0.4518|236.98|517.66|0.40663|-1431.187555|0.4006|-0.15677|5.4787|-0.2139|-1431.246893|6.0|8.2218|8.2218
1_a6 (SB-431542)|0.0|1|0|0.0|0|7.423568444|1|1|-0.015636898|5.351858133|-0.175408303|1|0.035620155|-0.011639964|10.94959842|-0.0492229479999999|-0.008385698|0.164429684|-0.020716495|-0.033765606|1|0.838928085|-0.083341531|0.805877431|-0.126408788|-0.122555709|0.210050443|0.033020439|-72.69619778|19.58668728|160.410387|240.8019609|-0.0462988229999999|11.61820782|0.7531996609999999|-2.083447046|0.472445176|352.3666367|-1235.8353619999998|1890.228713|-16.29019397|7.523839331|14.26172029|5748.417262|146.3942108|-733.0587287000001|-300.3801761|1640.78056|14.4623285|1.0|1.0|1.0|1.0|2.0|2.35|0.05|23.0|-7.69|4.04|1.0|0.0|0.0|29.0|384.39|0.0|2.85|0.0116|0.0218|2.7|0.0|0.0|2.03e-08|7.81e-06|3295.0|-1292.588032|-1292.553086|619.92|1049.69|0.5765|324.5|464.07|0.55256|-1292.358966|0.3346|-0.13329|6.0113|-193.0|-1292.41452|1542.0|5.8119|5.8119
17_a12|0.0|0|0|0.0|0|6.823286122000001|1|1|-0.00864055|4.727387819|-0.058347964|3|0.035816993|-0.002523977|10.31157659|-0.070249784|-0.000651751|-0.3748198379999999|-0.113649923|-0.202276514|2|0.918713011|-0.11976662|0.87653892|-0.069570363|-0.096209886|0.318309599|0.011226177|-50.13411606|5.849860887999999|69.36398419|73.93273708|-0.035198739|3.048310481|0.786701219|-1.443148294|0.466056241|447.1583691000001|-752.0117408|1470.257187|-9.557722681|5.669161963|10.61752641|4866.339908|111.1480977|-391.8666299|-298.7949107|955.9051425|7.842053909|1.0|1.0|1.0|1.0|1.0|2.97|0.17|17.0|-7.16|4.51|0.0|0.0|0.0|24.0|333.41|0.0|3.14|0.0103|0.0191|3.19|0.0|0.0|6.97e-08|2.32e-05|3.7723|-1366.804178|-1366.776169|560.09|933.62|0.2213|281.69|419.49|0.39539|-1366.638303|148.0|-0.15459|2128.0|-0.21781|-1366.689546|16.0|7.7959|7.7959
18c_a25|0.0|0|0|0.0|1|6.842683282|0|0|-0.002704524|4.727387819|-0.008080236|2|0.043274232|0.007804726|10.31285373|0.006360768|0.007488918|0.01222181|-0.038006869|-0.064145547|2|0.7644072209999999|0.0114970419999999|0.8005589320000001|-0.048636087|-0.0719340379999999|0.385593349|0.009585904|-47.27625541|6.300016824|26.54367263|34.1639413|-0.026975264|4.140476673999999|0.7479204509999999|-1.510614788|0.484730247|623.0528232|-992.8013635|2095.730631|-11.65153036|7.553051762000001|14.65844196|6736.25597|165.67090530000002|-652.4856999|-325.8749539|1327.415719|9.560410146|1.0|1.0|1.0|1.0|1.0|3.89|0.11|27.0|-10.17|6.29|2.0|1.0|0.0|33.0|449.57|1.0|4.77|0.000398|0.00113|4.49|0.0|0.0|6.79e-11|3.0499999999999995e-08|3.3396|-1714.597797|-1714.5777670000002|698.86|1243.76|0.3558|226.01|547.87|0.31993|-1714.280779|0.0041|-0.13312|6.1775|-0.19532|-1714.342386|88.0|7.0555|7.0555
7_a1|0.0|0|0|0.0|1|7.860570786|2|2|-0.010040172|5.777652323|0.001018628|1|0.035718954|0.0021597079999999|10.9513015|-0.024096172|0.004950534|-0.077833285|-0.245732751|-0.391298966|1|0.7795049279999999|-0.042175602|0.862051935|-0.083362936|-0.098295453|0.289201649|0.035937867|-47.35863598|17.31482297|111.9204437|139.2595474|-0.031040669|8.342261787|0.603382856|-1.179545431|0.452829665|342.53930230000003|-568.3036318|1466.924404|-7.205474633|5.07667644|9.278054953|4519.238270000001|191.0896839|-273.8080361|-99.61948195|941.8624118|14.36764539|0.0|1.0|0.0|1.0|0.0|2.83|0.22|17.0|-5.64|3.43|0.0|0.0|0.0|23.0|305.33|0.0|2.72|213.0|0.0595|2.48|0.0|0.0|2.29e-06|0.000698|4.0504|-1009.509475|-1009.48087|515.2|864.85|0.2961|306.1|365.53|0.69902|-1009.350293|0.2961|-0.16734|4575.0|-0.19167|-1009.398029|0.46|6.3372|6.3372
12bg_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|-0.0076819|5.351858133|-0.044573523|2|0.044197531|-0.001012333|10.95885259|-0.0206090089999999|-0.00097037|0.097928606|-0.101451485|-0.1716508239999999|1|0.884841888|-0.033696875|0.892249657|-0.075439837|-0.102664465|0.543472602|0.019606406|-70.42534258|13.44952052|107.3347739|109.3374477|-0.036959207|9.22604612|0.747867728|-1.847960372|0.46245521|576.6383913|-1267.656166|2915.548359|-17.39163005|7.549463377|14.04434294|6753.439903|172.9566471|-869.5815023|-340.0625449|1695.0272350000002|13.35534589|1.0|0.0|1.0|0.0|2.0|0.0|0.14|17.0|-7.76|3.99|2.0|0.0|0.0|31.0|450.32|0.0|2.82|0.00372|0.00295|3.93|0.0|0.0|1.74e-08|7.83e-06|3.8944|-2152.13793|-2152.104584|703.94|1186.75|0.4409|318.36|554.7|0.69395|-2151.914954|0.4409|-0.15743|6.6844|-0.21166|-2151.975577|15.0|7.8239|7.8239
18c_a22|0.0|0|0|0.0|1|6.842683282|0|0|-0.003749104|4.727387819|0.013131848|2|0.038137255|0.005449965|10.31286086|0.006275578|0.005597023|-0.081550274|-0.078828791|-0.143402172|2|0.7290394929999999|0.010828071|0.8287956870000001|-0.057956428|-0.076388478|0.5003904610000001|0.019843706|-52.84635017|13.72808419|30.63947336|47.68404831|-0.028825841|9.49723261|0.682690024|-1.52776956|0.4777430589999999|644.1264387|-1056.927003|2574.178324|-13.79609783|7.332936064|14.04085897|7101.057047|219.5183688|-731.1931848999999|-252.7737494|1548.179944|14.88645273|1.0|1.0|1.0|1.0|1.0|3.3|0.08|27.0|-9.46|5.36|1.0|1.0|0.0|34.0|461.54|0.0|3.72|0.000739|0.0036799999999999|3.5|0.0|0.0|3.4299999999999995e-10|1.58e-07|3.7222|-1783.562578|-1783.5397829999995|707.08|1249.84|0.2996|219.25|583.88|0.4609|-1783.277296|0.0817|-0.15158|1.2938|-0.22365|-1783.340519|26.0|7585.0|7585.0
12b_a50|0.0|0|1|0.0|2|7.927685046000001|1|1|-0.002929899|5.82008293|-0.0016330379999999|1|0.034845679|0.01164808|10.94501743|-0.115659308|0.011790103|-0.139522815|-0.168032508|-0.291865836|1|0.699597776|-0.189976035|0.8718949979999999|-0.045602469|-0.066155918|0.24516882|0.0214891|-33.25880166|10.80329197|8.07905572|37.24447201|-0.0237482779999999|5.43117764|0.5731907470000001|-0.926182858|0.430791247|465.4891075000001|-465.6232233|1446.231761|-6.002164865|5.7232816060000005|10.05480253|4672.843578|214.5713436|-234.0844297|-73.59089223|812.3355548|13.86849326|1.0|1.0|0.0|1.0|0.0|2.45|0.11|20.0|-5.49|2.59|0.0|0.0|0.0|24.0|313.36|0.0|2.59|215.0|45.0|2.5|0.0|0.0|3.22e-06|0.00101|3.9305|-1006.664619|-1006.641541|539.15|909.8|0.2425|263.3|401.64|0.6016199999999999|-1006.501585|0.0777|-0.16451|4.0567|-0.19425|-1006.550688|4.74|5.3242|5.3242
1o_a5|0.0|1|0|0.0|0|6.605297921|0|0|-0.002633927|4.59511985|0.033105871|2|0.025987654|0.0057302559999999|10.94518594|-0.008511304|0.0051989459999999|-0.05876042|0.038275248|0.06759341|2|0.670787375|-0.016408975|0.85693939|-0.079346457|-0.072886362|0.447318682|0.01325562|-39.1638643|7.122612351|167.3051756|62.16682117|-0.028770932|3.827177229|0.699913551|-1.093295425|0.470590799|475.1609233|-587.4579645|833.537568|-8.306775343|7.522366517000001|14.20898333|4572.818263|161.2447749|-315.657463|-214.8381946|839.3293197999999|10.95092849|1.0|1.0|1.0|1.0|1.0|2.2|0.0|23.0|-8.11|4.48|0.0|0.0|0.0|25.0|323.35|0.0|2.95|0.0269|27.0|2.78|0.0|0.0|7.85e-09|2.54e-06|4.1692|-1043.577386|-1043.536121|561.04|938.37|0.3966|275.45|443.88|0.4988899999999999|-1043.422345|0.0071|-0.1693599999999999|4.7435|-0.23973|-1043.472984|35.0|7.4559|7.4559
6a_a40|0.0|0|0|0.0|1|8.421342866|1|2|-0.014623575|6.401917197|-0.077397672|0|0.035707071|-0.001347823|10.30179985|-0.230955427|-0.001171195|-0.272320301|-0.021759541|-0.040435852|0|0.682273668|-0.340539542|0.861720535|-0.109047987|-0.117413572|0.360858579|0.016399125|-73.33687786|10.24294396|185.06174|166.2999483|-0.049149867|6.397774285|0.8678518190000001|-2.113444291|0.41480944|458.303126|-1320.063801|2536.88262|-19.17478857|6.945713476|11.8691482|7059.617542|82.54016015|-824.5159087000001|-459.522754|1521.070502|8.040268001|1.0|0.0|1.0|1.0|1.0|3.01|0.21|14.0|-4.05|4.38|2.0|2.0|1.0|29.0|442.53|1.0|3.17|3.47e-05|0.00457|3.77|1.0|0.0|8.950000000000001e-05|0.0396|2.9836|-2371.579899|-2371.560378|649.48|1103.4|0.4015|415.55|497.78|0.6782699999999999|-2371.3827|0.4015|-0.11995|6.9379|-0.21255|-2371.443161|0.04|7.3979|7.3979
14h_a23|0.0|0|1|0.0|2|7.423568444|0|0|-0.005921293|5.351858133|0.006191846|2|0.04255787|0.009895793|10.31321773|-0.034313725|0.009266617|0.060820238|-0.0686282459999999|-0.131709531|2|0.708395022|-0.05745554|0.860920386|-0.063825076|-0.081058742|0.223157991|0.021982565|-54.6468131|14.81983413|41.34207782|51.620282|-0.033774476|9.990985411|0.753100584|-1.621174834|0.48032488|622.5428245|-1092.936262|2371.16134|-15.35036053|7.833334036|15.0735214|6722.809649|166.45047749999998|-736.8173055999999|-341.2621515|1451.248725|12.79687369|0.0|0.0|1.0|1.0|1.0|3.2|0.04|26.0|-7.47|3.4|1.0|1.0|0.0|32.0|436.49|0.0|3.23|0.0009109999999999|0.00554|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|3.6689|-1722.1762399999998|-1722.148272|699.86|1190.62|0.3424|306.09|569.53|0.67365|-1721.9314420000003|0.2727|-0.15209|9.7146|-0.2374099999999999|-1721.99264|5.0|8.3468|8.3468
11a_a50|0.0|0|1|0.0|2|7.927685046000001|1|1|-0.002914262|5.82008293|-0.014702942|1|0.038040936|0.011959339|10.94500606|-0.129547471|0.012037198|-0.0739260509999999|-0.162848233|-0.277408878|1|0.701976536|-0.200986578|0.8535780190000001|-0.048213112|-0.071180382|0.2931724189999999|0.01848869|-37.63057389|9.774322692|7.53108119|43.81199235|-0.025421565|5.167341939|0.6543614329999999|-1.067705728|0.463749257|484.8529701000001|-564.4586084|1550.320581|-7.104987834|5.965221997|11.123941699999998|4858.670497|182.7270002|-298.409489|-163.21096210000002|862.6098364|11.04263807|0.0|0.0|1.0|1.0|0.0|2.8|0.15|20.0|-5.87|3.09|0.0|0.0|0.0|25.0|327.38|0.0|2.95|0.0862|0.0228|2.9|0.0|0.0|1.35e-06|0.000441|4.0636|-1045.978598|-1045.954278|574.01|963.2|0.1761|305.11|437.9|0.65485|-1045.794689|0.1761|-0.16769|5.4342|-0.2005299999999999|-1045.84627|59.0|7.2291|7.2291
11g_a5|0.0|1|0|0.0|1|7.139660336|0|0|-0.004593347|5.209486153|0.009272269|2|0.020943152|0.00599982|10.94877951|-0.007175378|0.006964153|-0.14133011|-0.137739838|-0.233590516|2|0.777565622|-0.01453517|0.8737292720000001|-0.067247149|-0.076326887|0.396049407|0.023215707|-50.16001519|15.25675|68.77977167|106.4990972|-0.025442296|10.02633335|0.543581314|-1.297557078|0.485790997|550.6745046|-852.7202582999998|935.4227938|-10.98794595|9.342496899|18.16867625|5817.569415|299.94631180000005|-560.3852433999999|-57.28097817|1568.70782|21.05845771|1.0|1.0|1.0|1.0|1.0|2.34|0.08|28.0|-9.04|4.17|1.0|0.0|0.0|31.0|408.46|0.0|2.96|0.0312|0.0199|2.75|0.0|0.0|9.229999999999999e-10|3.770000000000001e-07|4.2083|-1330.189793|-1330.144218|693.48|1180.25|0.4609|274.87|542.13|0.56924|-1329.927772|0.2403|-0.1714|3.2282|-0.2146199999999999|-1329.988893|0.03|7.5229|7.5229
25b_a34|0.0|0|0|0.0|1|7.412764017000001|1|1|-0.015658012|5.351858133|-0.0929479709999999|1|0.04037037|-0.00378755|10.95957635|-0.061390533|-0.000223677|-0.2360985169999999|-0.278635968|-0.435821207|1|0.832166825|-0.101529052|0.83883012|-0.1030760719999999|-0.137924163|0.5020264870000001|0.030138301|-86.13394472|18.82143547|165.2408865|214.470853|-0.042438204|11.75402804|0.76274549|-2.206786613|0.419904835|410.0313565|-1378.143115|2671.608537|-16.55102732|6.383564979|11.00434095|5786.015654|148.1659658|-860.6534206|-328.1702779|1806.819095|11.90766609|0.0|1.0|1.0|1.0|2.0|3.39|0.29|17.0|-6.42|2.63|1.0|0.0|0.0|29.0|393.44|0.0|2.58|59.0|0.0796|2.29|0.0|0.0|3.8100000000000004e-07|0.00015|4.2253|-1313.388114|-1313.361559|668.48|1136.16|0.2259|293.43|562.84|0.6925600000000001|-1313.132261|0.2259|-0.17564|7.0586|-0.21103|-1313.194808|2.08|5.6819|5.6819
13k_a6|0.0|1|0|0.0|0|7.412764017000001|1|1|-0.014257799|5.351858133|-0.132667824|1|0.04162037|-0.009326562|10.95129637|-0.072504783|-0.006280295|0.08217847|-0.045794891|-0.073210645|1|0.8694295409999999|-0.123105035|0.84018367|-0.11937574|-0.127178105|0.212093198|0.0296987679999999|-88.29427104|20.6185734|183.1261118|249.215618|-0.045420752|14.31458589|0.7971316940000001|-2.543562101|0.426031882|445.0412356000001|-1765.8854210000002|3332.974951|-21.89246528|8.370126134|14.58291125|6492.211639|140.8427117|-1225.9780560000002|-412.5714301|2215.299472|12.48372364|1.0|1.0|1.0|1.0|3.0|2.8|0.16|23.0|-8.89|4.55|1.0|0.0|0.0|33.0|441.48|0.0|3.18|0.00144|0.0075599999999999|3.39|0.0|0.0|1.29e-09|5.7e-07|3.5476|-1465.862962|-1465.83213|731.25|1246.69|0.3971|242.53|577.68|0.4547|-1465.557346|0.0137|-0.14589|8.1639|-0.1944|-1465.621288|46.0|7.3372|7.3372
25_a47|0.0|0|1|0.0|1|6.86171134|0|0|-0.010144825|4.727387819|-0.1084905069999999|2|0.043695652|-0.003963349|10.94972207|0.002716049|-0.00269275|-0.120903298|-0.108691353|-0.235822787|2|0.6553889970000001|0.004104478|0.906449648|-0.073339312|-0.08797211|0.574771479|0.020224271|-53.40631957|12.27779881|11.20142696|129.3338553|-0.031278972|7.453635586|0.6238742279999999|-1.407553754|0.4760601829999999|477.748546|-854.5011131000001|1514.111398|-11.52783528|6.951055196|13.26689626|6236.813862|228.3393366|-518.7525876|-150.4037281|1369.668876|17.76440561|0.0|1.0|1.0|1.0|2.0|3.27|0.1|21.0|-8.01|3.29|2.0|0.0|0.0|29.0|410.83|0.0|3.62|0.00417|0.00626|3.53|0.0|0.0|9.79e-09|4.02e-06|3.9878|-1735.414386|-1735.385814|626.55|1062.81|287.0|258.29|491.7|0.53663|-1735.2218059999998|0.0702|-0.16588|3.8832|-0.22919|-1735.279715|16.0|7.8|7.8
41_a47|0.0|0|1|0.0|1|6.842683282|0|0|-0.004083905|4.727387819|-0.072088843|3|0.042537538|0.003530307|10.98214139|0.075316535|0.0047106|-0.178132441|-0.1430639269999999|-0.317014709|3|0.62974551|0.123676975|0.900915114|-0.061101947|-0.0899793719999999|0.245948366|0.018348892|-50.81597048|10.36256127|54.15850042|99.86584673|-0.02929561|5.852270304|0.653147815|-1.259711209|0.447046066|464.8854878|-711.4235867000001|1073.170368|-9.34366093|7.168742909|12.96444871|5042.636398|195.8852341|-401.77742|-172.98086630000003|1089.222944|13.02756406|1.0|1.0|1.0|1.0|1.0|3.18|0.16|21.0|-7.47|3.34|0.0|0.0|0.0|26.0|348.38|0.0|3.06|0.0929|0.0436|2.49|0.0|0.0|3.36e-08|1.17e-05|3.7144|-1162.492089|-1162.462261|603.1|995.43|0.2849|308.67|471.9|0.6779|-1162.288187|0.2504|-0.15208|4.9162|-0.2026099999999999|-1162.342476|0.01|8.0|8.0
18_a47|0.0|1|1|0.0|0|6.605297921|0|0|-0.004337918|4.59511985|-0.06345679|3|0.037919622|0.0008454789999999|10.93838451|-0.016728205|0.0015586929999999|-0.056674151|-0.02470455|-0.053119347|3|0.646771311|-0.027351545|0.851462739|-0.078937385|-0.084415066|0.454324931|0.014741763|-52.88049505|9.234746417|70.55642796|139.1786571|-0.0303894239999999|5.784962137000001|0.7327484470000001|-1.5194711930000002|0.432077184|487.2556678|-951.8489108|2184.962887|-11.9254166|7.018342267|12.35791568|6261.441874|167.41554630000002|-596.2708299|-291.6032324|1299.011844|10.84884165|1.0|1.0|0.0|1.0|2.0|2.5|0.08|27.0|-10.36|5.53|2.0|0.0|0.0|31.0|410.45|1.0|4.16|0.00129|0.00176|4.13|0.0|0.0|4.34e-11|1.78e-08|4.2222|-1354.221126|-1354.180815|652.12|1130.76|0.4335|290.58|487.81|0.4659|-1353.979194|0.0516|-0.17349|3.4464|-0.22313|-1354.037606|3.0|8.6|8.6
8h_a8|0.0|1|0|0.0|1|7.05012252|0|0|-0.010324979|4.844187086|-0.249095464|0|0.046205674|-0.007796225|10.94341368|0.007079485|-0.007036544|0.021094825|0.09830823|0.254819201|0|0.578166105|0.010682683|0.751162751|-0.122706004|-0.11302328|0.273425421|0.0111998669999999|-66.4523265|6.58499063|316.4918269|233.7669182|-0.048805507|3.871662077|0.918315905|-2.147442322|0.451435543|354.18563860000006|-1262.594204|2019.780061|-16.87148841|7.453557203|13.58738632|5956.417906000001|48.02637252|-742.3454901|-491.8998117|1374.901814|4.492304417|0.0|0.0|0.0|0.0|2.0|2.73|0.0|23.0|-7.95|4.69|2.0|0.0|0.0|29.0|391.37|0.0|4.01|0.0023899999999999|0.00395|3.82|0.0|0.0|1.13e-08|4.43e-06|3.7327|-1361.651799|-1361.618499|608.39|1029.51|0.3011|258.25|480.09|0.56196|-1361.455676|272.0|-0.15475|3.4779|-0.21819|-1361.5113789999998|11.59|4.9359|4.9359
8b_a8|0.0|1|0|0.0|1|7.535296702|1|1|-0.013834266|5.4161004020000005|-0.182065125|1|0.040054466|-0.0055544409999999|10.94650923|-0.03443232|-0.003593429|0.031896755|0.049587543|0.079250224|1|0.758899977|-0.0527918259999999|0.8354024290000001|-0.130159955|-0.11627069|0.28604765|0.032440348|-71.23625346|19.87542051|172.84152849999998|270.5854753|-0.047457424|12.1771918|0.781454722|-2.325413799|0.4835310479999999|342.0904577|-1424.7250689999998|1821.324722|-17.8141788|7.507665421|14.53652808|6471.7604200000005|133.8974321|-872.8947609999999|-344.8810688|1823.170337|13.73949201|0.0|0.0|1.0|0.0|2.0|2.93|0.09|23.0|-7.13|3.65|1.0|0.0|0.0|31.0|414.41|0.0|2.9|7.0|0.0153|2.76|0.0|0.0|7.33e-08|3.04e-05|3.2992|-1407.0843|-1407.052256|640.35|1098.17|0.2618|270.59|488.56|0.57234|-1406.829227|0.1515|-0.13807|5.8389|-0.19921|-1406.887058|5.08|5.2941|5.2941
13_a47|0.0|1|1|0.0|0|6.605297921|0|0|-0.0049262279999999|4.59511985|-0.0777650159999999|2|0.036632997|-0.00105415|10.9452934|0.038682232|-0.000211465|-0.108780879|-0.0101047869999999|-0.0233277889999999|2|0.6427334020000001|0.065869272|0.8582665429999999|-0.081148294|-0.088128939|0.244975411|0.017736598|-45.39284663|9.13564442|63.12660940000001|112.453046|-0.032468557|4.705524762|0.688261242|-1.23380515|0.472007922|402.6200617|-635.4998528|669.2729199|-8.613918003|7.038683428|13.33103985|4542.479565|160.5682509|-327.3288841|-193.936606|923.3410426|11.99338291|1.0|1.0|0.0|1.0|2.0|1.75|0.06|21.0|-7.9|4.06|0.0|0.0|0.0|24.0|319.34|0.0|3.19|0.0185|0.0173|3.17|0.0|0.0|1.26e-08|4.04e-06|4.0302|-1067.820961|-1067.78457|542.62|895.21|0.3382|307.63|404.73|0.67466|-1067.665127|0.3382|-166.0|3.5455|-0.22065|-1067.71601|16.0|7.8|7.8
12a_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|-0.007471648|5.351858133|-0.0427777779999999|2|0.040166667|0.002039107|10.96083376|-0.065913514|0.003199301|0.134423193|-0.1063550619999999|-0.183140926|1|0.907322874|-0.119322074|0.846614758|-0.076154312|-0.104828755|0.436020272|0.019595485|-64.36949846|12.03249549|109.9069212|110.1075804|-0.037738352|7.388485123|0.755315434|-1.886917597|0.470444928|503.9367075|-1158.650972|2258.5909920000004|-14.22926022|6.600635115|12.464492300000002|5710.355735|150.24716030000002|-711.4630111|-313.5499672|1533.996157|11.72953701|1.0|0.0|0.0|0.0|2.0|0.0|0.14|17.0|-6.59|2.72|1.0|0.0|0.0|29.0|381.43|0.0|1.86|0.0625|0.0384|2.68|0.0|0.0|2.56e-07|9.78e-05|3.6682|-1232.951968|-1232.916523|653.94|1096.31|0.4435|323.35|481.98|0.67869|-1232.707754|0.0012|-0.1519299999999999|6.3637|-0.20139|-1232.764108|13.0|7.8861|7.8861
