molecula|SddssS|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8d|SIC2|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Veber filter|Heavy atom count|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
2_a4|0.0|0|0|0.0|0|6.605297921|1|1|-0.00708265|4.59511985|-0.103346554|1|0.037777778|-0.001386521|10.95268469|0.076479666|-0.0016168089999999|0.127695325|0.147657684|0.228655117|1|0.930871261|0.1355918559999999|0.847373823|-0.117395215|-0.105102755|0.442778552|0.006330673|-44.27948986|2.667094277|166.102249|108.4760726|-0.0379537729999999|1.123639184|0.843107708|-1.366335816|0.3961813179999999|312.82106489999995|-575.6333682|910.3327882|-6.736463618999999|4.710383035|7.800989232999999|3396.86527|66.09827364|-242.5126903|-289.1005902|682.7518749|4.657326379|0.0|1.0|0.0|0.0|2.0|0.0|0.27|12.0|-4.83|2.12|0.0|0.0|0.0|19.0|253.3|0.0|1.24|1.67|434.0|1.62|0.0|0.0|1.4800000000000002e-05|0.00374|3.2230000000000003|-819.9326497000001|-819.8996124|458.73|764.77|0.1315|210.28|333.36|0.4682|-819.771754|0.0008|-0.14614|1.7717|-0.16226|-819.8174190000001|31.0|7.5086|7.5086
15c_a10|0.0|0|0|0.0|1|7.535296702|2|2|-0.002218445|5.4161004020000005|0.040869377|3|0.034807692|0.01143745|10.92970798|0.0123939039999999|0.012271987|-0.101214571|-0.226679901|-0.35845963|2|0.7655272009999999|0.022187689|0.772328328|-0.046967376|-0.072537853|0.418835517|0.014703076|-50.32840842|10.2013281|65.41494073|66.28884934|-0.019267867|7.077912953999999|0.528228415|-1.233143495|0.449308156|627.5338454|-855.5829431|1817.047455|-9.275357237|8.639636218|15.6886947|6673.826433|327.3258326|-593.6228632|-39.17102961|1619.721543|16.25826809|0.0|1.0|1.0|1.0|0.0|4.09|0.37|21.0|-7.79|3.77|1.0|0.0|0.0|34.0|454.57|0.0|3.1|0.0646|0.0122|2.94|0.0|0.0|1.6100000000000002e-08|7.3e-06|3.6709|-1450.241475|-1450.500669|762.21|1318.35|0.3939999999999999|221.75|595.63|-0.26999|-1450.139335|0.0|-0.14739|2.4256|-0.19463|-1450.201574|0.1|7.0|7.0
19_a47|0.0|0|1|0.0|1|6.842683282|0|0|-0.00973456|4.727387819|-0.227538423|2|0.032764858|-0.013020816|10.95058274|0.0604168609999999|-0.010153352|0.074201869|-0.046265509|-0.126992366|2|0.635684951|0.095841135|0.8873627890000001|-0.105205489|-0.104459947|0.270767873|0.026805875|-57.87554797|14.85167037|335.10989930000005|199.6541807|-0.037307124|8.228498913|0.637832605|-1.566899206|0.463378097|354.3911695|-868.1332196000001|1238.799875|-11.45202794|7.06969105|13.17443625|5846.960345|200.6571609|-480.9851737|-152.7310283|1361.067484|18.25682461|0.0|1.0|1.0|1.0|2.0|1.72|0.05|21.0|-6.92|2.49|1.0|0.0|0.0|28.0|380.35|0.0|2.34|0.0816|0.0824|1.97|0.0|0.0|1.2099999999999998e-07|4.59e-05|3.8423|-1335.75742|-1335.725639|571.23|974.59|0.3243|322.68|412.31|0.68924|-1335.580357|0.3243|-0.15845|5.1151|-0.2117099999999999|-1335.634976|0.05|7.3|7.3
12aq_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|-0.0116333169999999|5.351858133|-0.135770278|2|0.041728395|-0.006653538|10.95447882|-0.028591187|-0.004569485|0.131910912|-0.052743904|-0.090926893|1|0.892815402|-0.047695595|0.89459881|-0.1093001919999999|-0.122078233|0.162384515|0.021389734|-81.56528598|14.29132551|86.6958382|212.8220574|-0.042953452|9.548598682|0.7619767479999999|-2.319486422|0.426481765|455.31741460000006|-1549.740434|2906.024504|-19.17486584|8.596645087999999|14.98931431|6296.75201|159.03272990000002|-1035.442755|-350.0740123|2033.842158|13.83147784|0.0|0.0|0.0|0.0|3.0|0.0|0.13|17.0|-6.14|1.92|1.0|0.0|0.0|32.0|424.46|0.0|1.15|129.0|152.0|1.55|0.0|0.0|7.19e-07|0.000305|3.3759|-1401.669694|-1401.637414|703.04|1190.22|0.4988|317.51|534.96|0.6933199999999999|-1401.391057|0.0059|-0.13908|6.7649|-0.19967|-1401.452487|55.0|7.2596|7.2596
12f_a40|0.0|0|0|0.0|1|7.515889085|0|0|-0.006206277|5.4161004020000005|-0.015621373|0|0.040501792|0.008525796|10.31197207|-0.172869148|0.006841832|0.115814835|-0.033224348|-0.054891771|0|0.679527138|-0.271493213|0.841769186|-0.067004323|-0.082198664|3.43e-05|0.021549915|-45.41519509|11.90644165|62.72992556|49.72883796|-0.032879466|6.57837176|0.7314440520000001|-1.150781297|0.490421149|502.7764322|-635.8127312999999|628.5604981|-10.03685385|8.404802652999999|16.49362536|5326.217734000001|148.3785764|-351.2898849|-255.7481174|869.2568204|11.1163852|1.0|0.0|1.0|0.0|0.0|3.61|0.06|20.0|-7.32|5.35|2.0|0.0|0.0|24.0|376.26|0.0|4.76|0.0001|0.0003819999999999|5.4|0.0|0.0|4.81e-08|1.8100000000000003e-05|2.8374|-2212.359379|-2212.348599|572.63|951.55|0.4348|286.25|487.85|0.6679999999999999|-2212.222254|0.3858|-0.11765|3.2818|-0.19526|-2212.275094|0.38|6.4202|6.4202
8d_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|-0.010604502|5.733341277|-0.089662873|0|0.0388738739999999|-0.006974711|10.31100269|-0.0682721729999999|-0.005162219|0.113030335|0.001558357|0.002805572|0|0.825020753|-0.11492754|0.875986707|-0.109612139|-0.109968322|0.261692269|0.01593079|-69.11005922|10.01177286|321.2496412|181.8092016|-0.03346862|6.291941176|0.708567136|-1.539556512|0.47012654|446.6450457|-967.5408291|2371.595484|-13.21859008|8.106843676|15.29958432|5523.492436|183.1522214|-608.0551435|-262.14980440000005|1365.489282|12.43588915|1.0|0.0|1.0|1.0|2.0|2.84|0.26|19.0|-7.26|6.42|1.0|0.0|1.0|27.0|397.52|1.0|3.57|0.000334|0.0173|3.17|0.0|0.0|5.51e-08|2.19e-05|3.5588|-1880.773727|-1880.733071|671.71|111.16|0.3018|348.39|540.98|0.7026100000000001|-1880.540067|0.3018|-0.14765|1.0269|-0.20115|-1880.602038|8.0|8.0809|8.0809
7b_a10|0.0|0|0|0.0|0|7.535296702|2|2|-0.001621737|5.4161004020000005|0.037541178|2|0.037804233|0.011041815|10.93274506|0.039221939|0.010068964|-0.0982988509999999|-0.051052176|-0.082499103|2|0.624866343|0.065705128|0.8200487120000001|-0.0590666679999999|-0.0720417159999999|0.5113525529999999|0.009734392|-37.45675757|5.061217187|13.37827368|39.29815915|-0.027444463|2.6314862480000003|0.781045839|-1.152667458|0.446575367|480.6333417|-599.3081212000001|2150.375871|-7.419027879|4.854451707|8.771658176|5212.568172|113.8411654|-311.5991709|-292.2491701|767.3149142000001|6.46179973|1.0|0.0|1.0|0.0|0.0|0.0|0.25|16.0|-6.99|4.34|1.0|1.0|0.0|25.0|346.81|0.0|3.02|0.00183|0.00182|4.68|0.0|0.0|1.0200000000000001e-07|3.54e-05|3.6426|-1450.09312|-1450.06366|562.31|951.55|0.1488|205.85|400.65|0.4195399999999999|-1450.075119|0.0899|-0.1584799999999999|4.2068|-0.21225|-1450.124551|19.8|4.7033|4.7033
17d_a50|0.0|0|1|0.0|2|8.105609402|2|2|-0.002166617|6.042632834|0.03538699|1|0.031990741|0.012079|10.94500663|-0.125540541|0.01245647|0.009780681|-0.200725906|-0.323333765|1|0.754575205|-0.2177003589999999|0.789310938|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|-48.40178147|10.55016861|5.007868064|48.62532158|-0.025589979|7.31681784|0.75405703|-1.535398758|0.445708152|644.9008302|-1064.839192|2950.99157|-12.30823045|6.996105516|12.62170017|6281.764548|170.5678813|-738.4938272999999|-352.3903892|1412.14676|9.139672835|0.0|1.0|1.0|1.0|0.0|3.68|0.35|20.0|-7.07|4.0|2.0|0.0|0.0|32.0|424.54|0.0|3.68|0.0135|0.00557|3.72|0.0|0.0|8.55e-08|3.63e-05|4.0506|-1335.989008|-1335.962757|727.15|1263.22|0.1819|306.09|579.45|0.66103|-1335.649722|0.1819|-0.16716|5.6557|-0.19967|-1335.713194|74.0|7.1308|7.1308
1h_a5|0.0|1|0|0.0|0|6.605297921|0|0|-0.001978474|4.59511985|-0.009075016|2|0.026339869|0.008031558|10.94466758|-0.044117647|0.007357977|-0.043247682|0.034752304|0.0578378779999999|2|0.71274658|-0.082079343|0.8436458929999999|-0.067599619|-0.069496749|0.39793593|0.008798715|-36.2462047|4.588992214|160.0744187|62.25239147|-0.027798699|2.393400474|0.7450549759999999|-1.111947978|0.489507204|459.3001331|-579.9392753|819.6979313999999|-7.561719827|6.711386288|13.14687756|4334.547353|132.96722079999998|-302.4687931|-255.618083|778.3845404|8.268552715|1.0|1.0|0.0|1.0|1.0|2.07|0.05|23.0|-8.41|4.99|0.0|0.0|0.0|24.0|312.37|0.0|3.43|0.0174|0.0111|3.43|0.0|0.0|3.87e-09|1.21e-06|4.3651|-990.6346565|-990.6032645|556.57|934.7|0.3333|266.52|430.83|0.4112699999999999|-990.472129|0.1754|-0.17797|2.2396|-0.21921|-990.523098|28.0|7.5528|7.5528
18a_a22|0.0|0|0|0.0|1|6.842683282|0|0|-0.003488994|4.727387819|-0.018344659|2|0.038167849|0.007066388|10.31286146|-0.015194063|0.007079018|0.059645624|-0.0835538409999999|-0.147724859|2|0.760537197|-0.027029438|0.7881113679999999|-0.050645213|-0.076119803|0.573315195|0.01713283|-51.6464295|11.62443251|29.59800426|49.84469832|-0.029276847|7.887046626|0.710467198|-1.5223960559999998|0.487405342|628.6440468999999|-1032.92859|2213.859172|-13.47750813|7.037677899|13.72951861|6630.646100999999|196.4447473|-700.830423|-285.5992506|1453.872315|13.15449139|1.0|1.0|1.0|1.0|1.0|3.17|0.08|27.0|-9.4|5.32|2.0|1.0|0.0|32.0|436.53|0.0|3.9|0.00113|0.00305|3.78|0.0|0.0|3.95e-10|1.73e-07|3.4832|-1691.3151059999998|-1691.2957760000002|695.35|1211.84|0.3174|246.91|531.16|0.35107|-1691.036502|0.0354|-0.1408|3851.0|-0.21148|-1691.097989|13.0|7.8861|7.8861
