molecula|n9FaHRing|n9FaRing|SssssC|NaasN|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|MATS8i|AATSC8d|n5aHRing|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8b_a32|1|1|0.0|0|0.0|0.113639567|-0.009362305|-0.057200812|0.03995614|2.123714284|-0.024375676|-0.0684566009999999|3|-0.014634534|-0.1534110109999999|0|0.788133615|0.845443342|0.060636167|0.8966299409999999|0.7507116140000001|1|-0.0850068559999999|0.016711528|-68.4085006|10.49093175|102.4297669|132.9495116|6.585851946|68.21751748|0.669149204|-33.50038167|81.73293254|-19.33283713|63.85535908|0.458155153|494.8166492|-889.3105078|-12.13650094|0.330850796|8.10555784|14.95918599|0.845546757|5619.400983|207.6969342|-558.2790432999999|28.89166873|0.021225152|-212.3722924|1329.016762|557.1050635|13.32443194|1.0|1.0|1.0|2.0|0.26|19.0|4.19|140.04|1.0|0.0|110.47|1.0|-5.83|4.0|397.52|0.0|1.0|3.61|-4.39|4.06e-05|3.22|0.0|0.0|8.86e-06|-0.05404|3.5442|3.5442|671.54|349.82|0.2943|558.16|0.70285|-1880.539698|0.2943|-0.14717|846.0|0.03602276|-1880.602014|1.2797|12.0|7.9208
4m_a46|0|0|0.16407746|1|2.12888511|-0.245599013|-0.000686578|0.051308728|0.041865079|0.0|-0.142061192|0.007901235|1|-0.487230027|-0.029022201|1|0.615482006|0.747676221|-0.099662698|0.7975218959999999|0.626578283|0|-0.067320375|0.010905551|-35.43866734|5.74716122|6.161736337000001|26.89046601|3.028720082|35.77391986|0.733236381|-18.69640205|41.88525631|-11.81288911|41.22460182|0.463006576|500.1036387|-531.5800101|-6.225322922999999|0.266763619|5.329061873000001|9.923886653|0.8622201970000001|4750.325312|140.5828543|-280.1395315|16.11061509|0.012232753|-245.828396|724.9776792|486.9589609|6.446588969|0.0|1.0|1.0|0.0|0.29|17.0|4.63|54.5|1.0|0.0|98.69|0.0|-4.52|3.0|328.41|1.0|1.0|3.59|-4.57|2.68e-05|3.69|0.0|0.0|4.31e-05|-0.04808|6.0419|4.3476|558.63|285.18|0.2465|468.63|0.38389|-1030.929791|0.1557|-0.18308|3.9226|0.02920209|-1030.980844|5.2326|1288.0|5.8901
4n_a46|0|0|0.126268818|1|2.093595994|-0.061148449|-0.004696854|-0.036492128|0.045335917|0.0|-0.144852516|-0.064683066|1|-0.349865095|0.109017734|0|0.741742667|0.722331115|-0.06655165|0.7681452190000001|0.7427183759999999|0|-0.103381106|0.008424451|-47.16810275|4.629240193|172.8490949|53.22165035|2.543769935|0.0|0.863203663|-31.21601103|51.4039205|-17.06080312|61.43721285|0.428896538|496.2788787|-801.8577467|-9.374920341|0.136796337|5.666371466|9.921794991|0.750996215|4955.374473|75.1696593|-440.621256|19.76451658|0.0077084869999999|-399.1612105|928.9322794|525.8291956999999|4.235817757|0.0|1.0|1.0|1.0|0.27|17.0|4.94|61.84|1.0|0.0|102.92|0.0|-5.43|3.0|343.42|1.0|1.0|3.9|-5.1|7.95e-06|4.41|0.0|0.0|7.340000000000001e-05|-0.04044|5.7448|3953.0|578.83|313.65|253.0|502.02|0.41625|-1090.098769|0.0711|-0.16641|6.2318|0.04131598|-1090.151267|8773.0|5194.0|5.2845
18_a31|0|0|0.0|0|0.0|0.0690370959999999|-0.013634202|-0.138136629|0.0427124179999999|0.0|-0.001973566|-0.096301845|2|-0.084218532|-0.107017926|0|0.868704545|0.8595579409999999|0.022160691|0.904870098|0.838968212|0|-0.11789212|0.014467496|-75.99442464|8.49194438|238.9516432|160.8952371|4.984491996|0.0|0.7774768320000001|-40.61741697|85.81723707|-23.64270989|77.69074057|0.4492048839999999|426.0718665|-1063.9219449999998|-13.87749294|0.222523168|7.076684189|12.84812443|0.8155571290000001|4856.251645|130.6137795|-624.4871824|30.40953623|0.01673486|-325.73954460000004|1368.42913|477.1857166|9.822812434|1.0|1.0|1.0|3.0|0.28|16.0|3.48|119.14|1.0|0.0|99.32|0.0|-4.62|4.0|356.44|0.0|1.0|2.89|-3.62|0.000241|2.47|0.0|0.0|0.000104|-0.03702|5.0092|3.9105|630.26|317.05|444.0|541.33|0.51842|-1465.300904|0.2457|-0.16212|3.0607|0.04825999|-1465.359325|4.6746|0.13|6.8861
43_a18|0|0|0.0|0|0.0|0.032999679|-0.005099385|-0.01369899|0.033734062|0.0|0.031746165|-0.032429984|0|-0.079184068|-0.2093696189999999|0|0.718255592|0.713379703|-0.023109314|0.7458234990000001|0.712848727|0|-0.070166168|0.006890688|-63.87648583|5.35147222|0.66443384|114.6724699|4.156080507|21.60709738|0.8743733490000001|-42.32033664|69.46280937|-24.16948112|59.84418608|0.481954273|661.9512957999999|-1788.541603|-18.77059344|0.125626651|10.01438533|19.33108376|0.930331529|7428.282915000001|97.56464265|-1389.023915|27.64206062|0.007193089|-581.4944803999999|2045.512486|1228.492038|5.5863235410000005|1.0|0.0|1.0|2.0|0.34|18.0|4.08|76.5|3.0|1.0|160.76|0.0|-6.45|3.0|508.65|0.0|0.0|3.48|-5.96|1.09e-06|5.1|0.0|1.0|1.28e-07|-0.04949|3.2233|3.2233|843.1|384.65|0.5429|702.4|0.6926800000000001|-1611.126246|0.5429|-0.13196|3.0482|0.02315412|-1611.198355|3.6943|625.0|6.2041
12a_a32|1|1|0.0|0|0.0|0.087371302|-0.009460484|-0.057200812|0.036711712|2.136609567|-0.031249617|-0.074344282|3|-0.024155151|-0.1534110109999999|0|0.788133615|0.845443342|-0.018578911|0.8966299409999999|0.7507116140000001|1|-0.085324121|0.016535497|-68.06885478|10.31184223|111.9735444|131.7691491|6.430656017|62.28768050000001|0.667706375|-33.18255791|81.41372467|-19.23685026|63.52154605|0.456641145|491.8493928|-884.8951120999999|-11.99645651|0.332293625|7.083688576|13.03685125|0.840404348|5656.0082|207.2244662|-551.8369996|28.81034388|0.021399091|-209.1696096|1325.275819|557.1050635|13.34486989|1.0|1.0|1.0|2.0|0.26|19.0|4.19|140.04|1.0|0.0|110.47|1.0|-6.01|4.0|397.52|0.0|1.0|3.6|-4.5|3.17e-05|3.39|0.0|0.0|8.86e-06|-0.05222|3576.0|3576.0|667.68|346.71|0.2908|548.66|0.7025600000000001|-1880.539078|0.2908|-0.14827|3.0517|0.03682626|-1880.600043|4.2371|25.0|7.6021
18_a20|0|0|0.0|0|0.0|0.1160337319999999|-0.008841844|-0.12050413|0.0396875|1.983673343|-0.011236836|-0.054458882|1|0.268927191|0.003282792|2|0.809917509|0.7602869659999999|-0.107446431|0.8162774979999999|0.778639593|1|-0.0927760219999999|0.0108136339999999|-63.36348363|7.195302872999999|318.5587088|158.7879106|4.787695004|82.70867776|0.8109110409999999|-41.07622672|72.31812218|-23.91074854|68.92770059|0.483668611|506.6038164|-1267.269673|-15.91001426|0.1890889589999999|8.011174137000001|15.51556677|0.936740671|6206.896662|125.81822920000002|-843.230756|29.4862782|0.013457694|-413.7552685|1562.772745|712.1606951|8.954638548|1.0|1.0|1.0|2.0|0.08|27.0|4.69|97.55|2.0|0.0|125.07|0.0|-5.59|4.0|419.48|0.0|1.0|3.78|-5.16|6.91e-06|3.85|0.0|0.0|4.17e-08|-0.05604|5.9778|3.5355|703.24|350.69|0.2991|531.11|0.31154|-1352.073755|0.2011|-0.14685|5.3978|0.03787435|-1352.135304|8.0505|34.0|7.4685
12e_a31|0|0|0.0|0|0.0|0.052663358|-0.011519192|-0.044316064|0.037098765|0.0|-0.107630327|-0.015755876|2|0.01824365|-0.142921555|0|0.7968154940000001|0.7761616020000001|-0.039273975|0.82100963|0.76012894|0|-0.0939597569999999|0.02665413|-79.96257188|19.38343763|166.1479229|202.5115275|14.09603901|595.9853231000001|0.725120432|-49.6906263|95.1187282|-26.65419063|87.71292755|0.474858042|524.7092721|-1519.288866|-19.38348182|0.274879568|10.24381236|19.50674899|0.904247004|6557.418968999999|199.8981394|-1104.858464|36.75829484|0.020841203|-327.4245209|2095.222806|798.7285626|15.15615632|1.0|1.0|1.0|2.0|0.24|22.0|5.4|117.37|3.0|0.0|129.38|0.0|-6.66|5.0|460.55|0.0|1.0|4.5|-5.42|3.83e-06|4.48|0.0|0.0|2.27e-07|-0.03445|5.3264|3.8391|781.61|322.95|0.3831|640.03|0.55114|-1809.581226|0.2627|-0.15934|2.6024|0.04614662|-1809.650069|3.4818|0.17|6.7696
34_a20|0|0|0.0|1|1.877209467|0.0305860929999999|-0.0057643419999999|-0.104520106|0.0396875|1.991704333|-0.046356705|-0.054458882|1|0.327535029|0.057022334|2|0.7071284179999999|0.74801464|-0.101401966|0.80310139|0.690530489|1|-0.0851907119999999|0.0130295999999999|-57.49912174|8.766605631000001|297.5548445|136.81360859999998|5.898367836|80.66541842|0.776414086|-38.56497154|67.53437417|-21.69778179|66.0848174|0.462785432|536.0086996|-1149.982435|-14.59875162|0.223585914|7.940146766|14.7802149|0.8614536140000001|6211.26199|150.43359099999998|-773.7338361000001|27.94614651|0.01491516|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|0.08|27.0|4.62|86.69|2.0|0.0|125.0|0.0|-5.14|4.0|419.48|0.0|1.0|3.63|-5.02|9.51e-06|3.63|0.0|0.0|2.780000000000001e-07|-0.05181|5.4132|3.8699|711.19|320.38|0.4388|544.93|0.38519|-1352.041015|0.0766|-0.16103|3.8519|0.03558836|-1352.102407|5.4994|61.0|7.2147
2_a49|0|0|0.0|1|2.12788659|-0.084499704|-0.004112807|-0.03981057|0.038726287|1.999073077|-0.041202373|0.005918367|1|-0.170631119|0.055400364|2|0.802447754|0.79056501|0.084099874|0.851413454|0.7701578720000001|1|-0.08647612|0.01105681|-40.34672657|5.634353797999999|226.4450566|95.04720801|2.871166625|0.0|0.7154059890000001|-22.45560511|49.26352575|-14.409545199999998|49.7010488|0.454163307|414.5350312|-605.2008985|-7.34284831|0.284594011|5.667936413|10.38394173|0.8320497920000001|4874.364109|145.02405359999997|-308.399629|20.14177325|0.017498253|-219.534132|845.9544764000001|439.9973344|8.91679918|1.0|0.0|1.0|1.0|0.15|21.0|3.7|69.62|0.0|1.0|99.52|0.0|-3.53|3.0|327.38|1.0|1.0|2.76|-3.89|0.000129|2.43|0.0|0.0|4.94e-05|-0.04372|5.4614|3743.0|553.52|331.24|0.2988|371.96|0.34449|-1045.810794|0.0572|-0.1555099999999999|4.8986|0.0366366999999999|-1045.8595810000002|6.7117|59.0|7.2291
