molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|AATSC1c|SRW07|AATSC1s|n6HRing|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|TPSA_x|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GRAVp|TASA|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
2_a3|0|0|0.0|0.0|0|0|0.605017347|-0.008422099|4.727387819|-0.09743592|2|-0.311617665|-0.006049098|0.09933632|10.31162302|0.036301827|1|1|-0.0045709459999999|-0.18746945|0.017902469|0.032450556|-0.568019422|2|-0.192034735|0.8401405609999999|1|0.750206578|-0.104577702|-0.09392632|0.011938463|-49.07072207|-44.07280196|228.178656|117.2099151|2.628543258|74.89956423|-1.127115845|-23.02532673|54.67257594|2056.399995|352.0174726|0.272015731|4.88513521|0.845708123|127.637231|-248.1619888|21.36736636|0.019143348|-213.9529255|726.4904564|1.0|1.0|1.0|1.0|1.0|2.97|0.0|21.0|-6.89|4.01|92.93|1.6|0.0|0.0|2.0|-4.75|22.0|-5.93|0.0|0.0|1.0|3.06|-4.27|1.7800000000000002e-05|0.0054|5.33e-05|0.0162|3.13|0.0|1.3e-07|3.9500000000000005e-05|-0.06423|5.4397|1.97|3.3354|-1272.143337|503.34|841.85|340.69|0.69543|-1272.001389|-0.21028|0.02925101|-1272.04778|5.4|5.4
12u_a30|0|0|0.0|0.0|0|2|0.604983445|-0.006935447|5.351858133|-0.027452346|2|-0.367578706|0.002431329|0.028815747|10.31162873|-0.0646674999999999|1|1|0.001805829|-0.15896471|-0.0493878409999999|-0.0857954809999999|-0.467189145|1|-0.055829439|0.889479916|0|0.84944095|-0.0773921259999999|-0.097867106|0.015562896|-51.83732031|-65.55148142|78.15130994|100.8445957|6.982033926000001|0.0|-1.859475018|-34.72068676|62.26136323|3001.03926|568.9563615000001|0.189537132|7.804487592999999|0.7958728709999999|126.9521524|-834.2224549|31.36222814|0.014495402|-415.8966522|1536.749179|0.0|1.0|1.0|0.0|1.0|4.63|0.14|17.0|-7.8|3.92|81.65|3.79|2.0|0.0|5.0|-6.58|31.0|-5.52|0.0|0.0|1.0|3.59|-6.04|2.64e-07|0.000123|9.14e-07|0.0004269999999999|5.12|0.0|1.58e-08|7.39e-06|-0.0528299999999999|3.5003|5.08|3.5003|-2494.962309|705.15|1202.06|559.16|0.6847|-2494.736802|-0.20146|0.03472994|-2494.7995530000003|7.4647|7.4647
3a_a12|0|0|0.0|0.0|0|1|1.28383802|-0.007671441|0.0|-0.042445446|2|-0.322200517|-0.0025830939999999|-0.062973953|10.95455336|-0.0161799839999999|0|0|-0.001011111|-0.205054123|-0.072889493|-0.1213636769999999|-0.5274624179999999|1|-0.021522321|0.759068438|0|0.871985494|-0.07121814|-0.090803706|0.009433302|-34.84701355|-44.430225|71.11710277|62.63745781|2.258466332|0.0|-1.362055589|-17.05063286|39.46272532|2045.857684|426.6622302|0.2189499039999999|5.924949067000001|0.859002624|107.1321197|-326.0954285|21.87893986|0.015909241|-275.0354486|853.2786545|1.0|1.0|0.0|1.0|1.0|3.84|0.05|18.0|-7.5|2.49|37.28|3.09|0.0|0.0|3.0|-3.6|23.0|-5.88|0.0|1.0|1.0|2.98|-4.06|0.00025|0.0745|8.8e-05|0.0263|3.15|0.0|3.13e-08|9.33e-06|-0.06829|4.2336|3.33|3.7304|-951.3711872|528.84|875.71|383.08|0.66895|-951.217594|-0.22157|0.023184956|-951.264072|6.7122|6.7122
12a_a40|0|0|0.0|0.0|1|0|0.604990853|-0.00431394|5.4161004020000005|-0.012791297|0|-0.14667395|0.01039129|0.100414476|10.31197265|-0.226763788|2|2|0.007890601|0.298197213|0.018655637|0.031326603|-0.4764003679999999|0|0.023863832|0.7867243829999999|1|0.940879765|-0.064340227|-0.074840643|0.011766311|-32.81611621|-38.17175304|107.5277007|30.15370934|3.060902482|49.24750281|-1.047769006|-16.73754566|38.81741016|2185.594734|479.8867095|0.14863036|7.563170499|0.908597808|75.8074911|-272.5679167|20.24838026|0.010759845|-358.4254366|627.699788|0.0|1.0|0.0|0.0|0.0|3.2|0.0|20.0|-7.21|5.43|58.43|4.34|1.0|0.0|2.0|-6.41|22.0|-4.56|0.0|1.0|1.0|4.78|-5.95|3.86e-07|0.000134|1.13e-06|0.00039|5.43|0.0|6.15e-08|2.13e-05|-0.08015|3.0966|5.01|3.0966|-2097.826771|530.55|875.15|429.21|0.6998800000000001|-2097.7296100000003|-0.2091|0.0104658999999999|-2097.779499|5.7501|5.7501
18_a15|0|0|0.0|0.0|0|0|1.435689019|-0.006149666|0.0|-0.090130715|2|-0.319782642|-0.001044324|-0.066226471|10.95986315|0.002685285|0|0|0.000539978|-0.190640601|-0.072506962|-0.145790726|-0.431836192|2|-0.0374132629999999|0.765450925|0|0.8362289070000001|-0.067562078|-0.090730185|0.007146033|-41.31992544|-55.48918283|40.37881101|100.159876|2.672871589|1.833724661|-1.723873519|-25.27062952|45.69032922|2541.440611|511.4247108|0.132569119|5.990767063|0.711733271|81.07723009|-644.79025|24.80452821|0.008781964|-449.4301265|1215.421882|1.0|0.0|1.0|1.0|1.0|3.37|0.08|24.0|-9.98|6.86|47.04|3.6|2.0|0.0|5.0|-6.16|29.0|-4.8|1.0|0.0|1.0|5.06|-5.93|6.86e-07|0.000265|1.18e-06|0.0004559999999999|5.42|0.0|1.0399999999999999e-10|4.01e-08|-0.03581|4543.0|5.65|3.8232|-1265.810138|650.53|1110.18|535.02|0.70427|-1265.556558|-0.19371|0.03989594|-1265.614679|6.8894|6.8894
5a_a49|0|0|0.0|0.0|1|2|1.343848751|-0.009147269|5.777652323|0.007039248|2|-0.493952547|0.007647515|-0.046327135|10.92976459|0.076610236|1|1|0.008623164|-0.1205081119999999|-0.158356406|-0.26176436|-0.51958118|2|0.001251171|0.855876084|1|0.800090055|-0.072109357|-0.0787216|0.028578361|-42.1802818|-46.04810561|124.92862240000002|116.9370825|9.77851757|54.35929907|-1.338267206|-24.67330519|58.89715956|2797.737637|468.0117167|0.393071247|6.0732145310000005|0.962527525|229.9265537|-457.9083293000001|26.32248561|0.0270848489999999|-125.09569170000002|1289.801795|0.0|1.0|1.0|1.0|0.0|3.37|0.22|21.0|-6.92|3.68|73.14|2.07|1.0|0.0|3.0|-3.84|30.0|-6.84|0.0|1.0|1.0|2.93|-4.29|0.000146|0.0578|5.09e-05|0.0202|2.65|0.0|1.1900000000000001e-07|4.72e-05|-0.05062|5.2443|4.14|3.9219|-1311.995327|625.06|1082.25|443.78|0.66225|-1311.743648|-0.21238|0.03478454|-1311.799168|7.3665|7.3665
8a_a12|0|0|0.0|0.0|0|1|1.283813597|-0.00771093|0.0|-0.052287869|3|-0.362413703|-0.001510006|-0.050603335|10.95472846|-0.084035283|0|0|0.000249868|-0.3422915179999999|-0.135424346|-0.226106307|-0.5385001079999999|2|-0.1261547959999999|0.8157289759999999|0|0.892656426|-0.05926895|-0.093050281|0.010336879|-30.69873711|-48.195997|46.32568673|55.59930083|2.773166902|0.0|-1.4888045019999998|-15.90061008|36.0527909|2212.38965|462.3571879|0.208569274|5.113243051|0.878904705|108.02980890000002|-399.41487|22.14447395|0.014012546|-301.89687089999995|974.3568539|1.0|1.0|0.0|1.0|1.0|4.06|0.15|18.0|-7.89|2.5|50.17|2.89|0.0|0.0|3.0|-3.9|25.0|-6.04|0.0|1.0|1.0|3.1|-4.21|0.000125|0.0408|6.19e-05|0.0203|3.18|0.0|1.28e-08|4.2e-06|-0.06246|3.9091|3.41|3.9091|-1046.0428949999998|556.3|952.71|424.14|0.6309100000000001|-1045.851982|-0.2194199999999999|0.02180654|-1045.902509|6.7011|6.7011
15_a4|0|0|0.0|0.0|1|1|1.399867493|-0.001986535|5.4161004020000005|-0.061469545|1|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|0.022446689|1|1|0.00918585|0.097046535|-0.017259078|-0.038707204|-0.226703465|1|0.095534883|0.8347553529999999|0|0.867716376|-0.062151785|-0.073738544|0.010893057|-29.80513879|-35.36161572|12.70877085|63.43714456|2.505098786|86.01453643|-1.106078158|-14.29317436|35.02894809|1973.978183|416.1168833|0.156108698|5.459799482|0.7783994009999999|74.8625551|-254.3670787|17.45960235|0.009743323|-329.8289177|628.5456843999999|0.0|0.0|1.0|0.0|0.0|3.28|0.11|17.0|-6.09|4.4|30.71|3.05|0.0|0.0|2.0|-3.82|22.0|-5.6|0.0|1.0|1.0|3.61|-4.28|0.000152|0.0443|5.19e-05|0.0151|3.49|0.0|8.070000000000001e-07|0.000235|-0.03539|4.5048|3.8|4.2148|-958.270023|512.65|848.47|396.58|0.56413|-958.147682|-0.2091199999999999|0.018092091|-958.195344|6757.0|6757.0
20_a47|0|1|0.0|0.0|1|0|1.408721455|-0.011237762|4.727387819|-0.161476442|2|-0.505699304|-0.009220816|-0.052370531|10.95058273|0.071506228|1|1|-0.006342241|0.087325054|-0.108236785|-0.297094867|-0.5332051720000001|2|-0.069674604|0.8575369009999999|1|0.6888286020000001|-0.083811055|-0.092005493|0.023587109|-45.68149289|-50.14789824|43.63174229999999|169.6050003|7.00733184|49.00609086|-1.38008239|-24.89884887|58.53772498|2630.63609|375.4483088|0.404765791|7.022502229|0.86659377|220.6189341|-409.9991682|30.08893541|0.034758191|-103.815441|1263.735287|1.0|1.0|1.0|1.0|2.0|3.19|0.05|21.0|-7.31|4.54|84.73|2.75|1.0|0.0|5.0|-4.06|28.0|-6.75|0.0|0.0|1.0|3.09|-4.08|8.72e-05|0.0332|8.32e-05|0.0316|2.63|0.0|4.89e-08|1.86e-05|-0.06357|3.9808|4.08|3.9808|-1335.742176|557.84|964.94|426.08|0.68219|-1335.566785|-0.22734|0.03389691|-1335.620783|8.6|8.6
6g_a40|0|0|0.0|0.0|1|1|0.604893315|-0.022381557|6.401917197|-0.261952754|0|-1.09669629|-0.019683422|0.07194868|10.30179936|-0.251161616|2|2|-0.018182514|-0.221674172|0.0312035079999999|0.05728593|-0.588058458|0|0.075283207|0.8917390820000001|1|0.605346707|-0.164941808|-0.156296046|0.017750905|-107.2113398|-101.5916383|328.78166810000005|256.5226419|7.499640603|47.36081569|-2.657032782|-69.68682788|118.7493383|3142.74733|393.4722933000001|0.175795811|6.95079805|0.740853565|114.2663866|-1122.578856|46.56499428|0.020240097|-421.4621621|2095.424743|0.0|1.0|0.0|1.0|3.0|4.06|0.21|14.0|-2.87|2.48|213.89|0.59|1.0|2.0|5.0|-7.22|31.0|-7.02|1.0|0.0|0.0|2.37|-4.71|6.049999999999999e-08|2.87e-05|1.93e-05|0.00917|3.06|1.0|0.0013599999999999|0.6459999999999999|-0.08622|3.3197|7.38|2.8135|-2522.023752|669.8|1144.59|514.77|0.5794199999999999|-2521.8114530000003|-0.20479|0.03363483|-2521.87499|7.3279|7.3279
