molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|BCUTs-1|SaasN|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50
4f_a46|0|0|0.0|0.2096617139999999|7.825245291|1|1.134637108|2.190536659|-0.001868546|-0.099507167|0.0|-0.053860324|0.012332859|-0.056114865|10.96352592|1|1|-0.154986658|-0.079238184|-0.150189733|2|0.6901151990000001|-0.2076648489999999|-0.1697014539999999|0.7796270059999999|-0.055836642|0.296072934|0.008734825|-30.29079362|-36.60887321|0.065026794|35.27635517|-0.022035297|-19.85993046|56.50645576|0.759842275|-1.079729539|-16.43243843|42.21890747|-11.95391778|35.0293449|0.424708366|2103.214727|507.213176|-585.7419712999999|0.240157725|5.654067072999999|0.7382488140000001|4661.569032|15.73210412|0.010341277|-281.9234274|770.8731021000001|5.6100342670000005|1.0|1.0|1.0|0.38|17.0|-7.21|4.56|4.71|43.6|1.0|0.0|0.0|1.0|3.0|25.0|-5.65|332.44|0.0|1.0|1.0|4.18e-05|0.0|2.04e-05|-0.02947|4548.0|3.87|4548.0|-1033.550809|1020.33|0.1719|272.61|493.53|-1033.315821|3.2783|0.02238723|6.7375
12p_a30|0|0|0.0|0.0|7.412764017000001|2|0.604984421|0.0|-0.031328052|-0.062956958|0.0|-0.3550576729999999|0.005613018|0.000321545|10.31162861|1|1|-0.109773594|-0.053644471|-0.456474815|1|0.8414737059999999|-0.051402518|-0.2210072669999999|0.8371763179999999|-0.074356395|0.371591982|0.015107947|-47.54197452|-60.65858419|0.156618406|100.1386407|-0.0364888379999999|-38.78387161|0.0|0.8199554720000001|-1.897419563|-30.39737673|68.98315679|-23.33022469|57.20168999|0.469983155|2783.628159|539.2411292|-1213.171684|0.180044528|7.392482526|0.886732486|6166.812731|28.4530386|0.0130197619999999|-409.146112|1479.558007|8.3245726|1.0|1.0|0.0|0.17|17.0|-7.01|4.35|2.93|81.65|2.0|0.0|0.0|1.0|5.0|30.0|-5.81|412.51|0.0|0.0|1.0|2.21e-06|0.0|4.02e-05|-0.05169|5.1922|4.14|3.4955|-1615.094336|1167.16|0.1768|238.79|526.91|-1614.830085|4.0456|0.03198743|7.7721
15_a4|0|0|0.0|0.0|7.535296702|1|1.399867493|1.956386054|-0.061469545|0.0432718859999999|0.0|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|1|1|0.097046535|-0.017259078|-0.226703465|1|0.5118792910000001|0.095534883|0.036363636|0.8347553529999999|-0.062151785|0.2517542889999999|0.010893057|-29.80513879|-35.36161572|0.132283624|63.43714456|-0.030724393|-16.95780525|86.01453643|0.8438913020000001|-1.106078158|-14.29317436|40.03406565|-14.73400655|35.02894809|0.437696617|1973.978183|416.1168833|-530.4242358|0.156108698|5.459799482|0.7783994009999999|4134.603400999999|17.45960235|0.009743323|-329.8289177|628.5456843999999|4.672449937|1.0|0.0|0.0|0.11|17.0|-6.09|4.09|4.4|30.71|0.0|0.0|0.0|1.0|2.0|22.0|-5.6|291.32|0.0|1.0|1.0|0.000152|0.0|0.000235|-0.03539|4.5048|3.8|4.2148|-958.270023|848.47|0.1996|275.22|396.58|-958.147682|2.1603|0.018092091|6757.0
16_a15|0|0|0.0|0.0|0.0|0|0.300207157|0.0|-0.463771194|-0.003882928|0.0|-0.4898555739999999|-0.009769916|-0.109386268|10.31928197|0|0|-0.006331105|-0.046871961|-0.528097878|2|0.787100127|0.080837546|-0.018331526|0.77948108|-0.08870471|0.7427725270000001|0.0070920509999999|-60.63825695|-69.38556779999999|0.276402595|188.9479321|-0.039472502|-47.4317527|17.68542055|0.868460507|-2.131515106|-41.45211893|76.07332645|-26.98327637|65.48636021|0.419910645|3173.773379|494.6488764|-1457.096924|0.131539493|6.798937229|0.7238723509999999|6931.531554000001|31.07023998|0.009783192|-503.7568532|1677.792959|6.687758643|1.0|1.0|1.0|0.08|24.0|-9.21|3.37|6.02|115.58|2.0|0.0|0.0|1.0|6.0|32.0|-6.27|446.52|1.0|0.0|1.0|9.89e-07|0.0|2.72e-07|-0.04082|4.1731|8.26|4.1295|-1770.509465|1229.58|0.3809|297.1|600.98|-1770.217907|8.0361|0.06079704|7.6778
14ad_a23|1|1|0.0|0.0|7.423568444|0|1.197962774|3.3437482860000003|-0.028065075|0.118047355|0.735584095|-0.4663820279999999|0.008996289|-0.05348283|10.31321689|2|2|0.2086248289999999|-0.143336826|-0.376350719|2|0.7763406840000001|0.165157698|-0.050707765|0.8356326820000001|-0.059168372|0.224009311|0.033831691|-42.29008971|-61.35364811|0.112868365|80.67170209999999|-0.029653934|-43.85199724|114.237062|0.575880959|-1.630966366|-30.226481300000003|85.20135045|-21.19489662|66.47100256|0.46995189|3209.330728|634.0697778|-1165.7193140000002|0.424119041|8.661363236|0.8866211979999999|7308.229822|36.80430179|0.033365494|-108.4705382|2024.236598|23.84770234|0.0|1.0|1.0|0.12|26.0|-7.6|3.48|4.03|123.48|2.0|1.0|0.0|1.0|7.0|34.0|-6.68|471.53|0.0|0.0|0.0|1.6e-06|0.0|1.17e-05|-0.06925|3.3867|2.99|3.3867|-1858.957788|1287.26|0.4106|366.09|618.01|-1858.668058|5.2331|0.01481488|8.3595
7a_a8|0|0|3.1730222510000003|0.0|7.535296702|1|1.4000287219999998|1.4494883790000002|-0.0407248439999999|-0.017706371|0.0|-0.482688615|0.000736369|0.004607684|10.94671402|1|1|-0.02923588|-0.019499132|-0.412963751|1|0.7168594159999999|0.033708575|-0.032562221|0.831914523|-0.102174163|0.238462711|0.035405618|-60.00793116|-59.83546383|0.281589625|165.38046830000002|-0.042647654|-35.14198015|71.85980901|0.733884399|-1.833849114|-35.24327197|75.4573633|-25.04740346|80.80201312|0.477611327|2715.360649|421.9297638000001|-1077.038349|0.266115601|7.699041907000001|0.914283468|5907.9340090000005|34.12990316|0.0265990589999999|-274.7254012|1467.585836|15.62189947|0.0|1.0|1.0|0.05|23.0|-7.27|3.96|3.49|92.93|1.0|0.0|0.0|1.0|3.0|29.0|-6.33|382.37|0.0|0.0|1.0|1.36e-05|0.0|2.05e-05|-0.07616|4.5808|5.2|3.0704|-1291.313963|1031.61|315.0|270.66|494.48|-1291.10235|9.9646|0.0269461|4.6068
13_a1|0|0|3.409865599|0.0|7.423568444|1|1.430073963|0.0|-0.144782061|0.1129747169999999|0.0|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|1|1|0.1769162319999999|-0.07665159|-0.485427571|1|0.87703849|-0.051729721|-0.150485437|0.825117597|-0.111667908|0.207843387|0.033737733|-64.94184903|-62.04288975|0.320539533|186.4137189|-0.040302516|-36.08180773|528.3795274|0.7082629840000001|-1.813613202|-37.76773325|77.55889436|-23.43842502|84.56244352|0.477212829|2555.623166|395.1486144|-1054.729126|0.291737016|7.493979856|0.912824292|5456.353212|33.09282789|0.026679865|-242.2358135|1489.177255|15.51600461|1.0|1.0|1.0|0.09|23.0|-7.94|4.75|3.87|80.26|1.0|0.0|0.0|1.0|4.0|28.0|-6.48|371.39|0.0|0.0|1.0|5.16e-05|0.0|4.24e-06|-0.04962|4.0783|3.17|3.4483|-1238.395767|1035.04|0.5339|304.01|472.52|-1238.174491|2.7595|0.0284695999999999|6585.0
12b_a40|0|0|0.0|0.0|7.515889085|0|0.604989475|1.713497417|-0.011794908|0.1744506639999999|0.747253086|-0.158107422|0.00779293|0.107454819|10.31197236|2|2|0.279216571|0.023952313|-0.513870527|0|0.58925219|0.026452642|-0.227384615|0.7818091140000001|-0.065048707|0.2160572999999999|0.010845303|-37.05091872|-42.67442006|0.044352844|25.26281742|-0.0338355829999999|-24.3068084|48.17000329|0.856829717|-1.048903063|-21.10373336|48.54667776|-19.27231874|43.22826564|0.494842289|2462.878448|544.3244990000001|-597.4418808999999|0.143170283|8.132984007000001|0.979579799|5933.385347|22.49258909|0.010309671|-406.4913617|697.2702616|5.872257692000001|0.0|1.0|0.0|0.0|20.0|-8.39|6.58|6.74|58.43|2.0|0.0|0.0|1.0|2.0|24.0|-4.09|415.12|1.0|0.0|1.0|1.95e-08|0.0|1.7e-06|-0.08279|3407.0|6.27|3407.0|-3016.999329|960.94|306.0|363.91|490.5|-3016.927883|4.5528|0.01251873|7.3979
18_a34|0|0|0.0|0.0|7.423568444|1|1.4547811819999998|1.801574074|-0.101546926|-0.100548575|0.0|-0.677741618|-0.001615187|-0.141332289|10.9595763|1|1|-0.155197864|-0.3102088839999999|-0.493450778|1|0.759292258|0.0468829359999999|-0.224951558|0.8584852479999999|-0.090328365|0.295523326|0.040845819|-49.86847383|-71.65163761|0.31018528|171.24705480000003|-0.0422555509999999|-39.55742812|54.26737825|0.695849945|-1.816988713|-27.53138148|86.77082535|-23.32844015|72.41862911|0.441058733|2424.18137|380.8328339|-1003.122927|0.304150055|6.282442545|0.789096743|5296.289007|33.52510165|0.027385869|-216.2496321|1441.579371|15.11918774|1.0|1.0|1.0|0.21|17.0|-5.65|3.13|3.15|75.47|1.0|0.0|0.0|2.0|5.0|26.0|-6.26|351.36|0.0|1.0|1.0|4.77e-05|0.0|0.000781|-0.03925|4.4335|5.07|4.1234|-1199.288654|991.93|0.3525|279.66|483.87|-1199.101028|5.0935|0.02902032|5.6144
6_a4|0|0|0.0|0.0|7.535296702|1|1.271761557|2.170234316|0.010164572|0.042096749|2.186806868|-0.064723237|0.011457667|0.0032928379999999|10.92992785|1|1|0.0671397079999999|-0.046166422|-0.1738111839999999|2|0.664591856|-0.169533683|-0.340860215|0.810030118|-0.052396457|0.417868437|0.0077624059999999|-29.18838891|-37.33240845|0.054454162|30.33467048|-0.024618083|-20.7966895|45.93422613|0.814470803|-1.206286076|-16.25991695|42.27020924|-13.71394596|33.5125766|0.423084148|2342.371538|526.7333132|-671.9833521|0.1855291969999999|5.758624844|0.733355042|5256.215815|16.83786074|0.008863911|-350.36323230000005|825.0551765|4.937800786|0.0|1.0|1.0|0.26|21.0|-7.99|5.1|5.23|43.6|2.0|0.0|0.0|1.0|3.0|27.0|-5.42|354.45|0.0|1.0|1.0|1.24e-05|0.0|3.67e-06|-0.04867|4.8714|4.11|4.0354|-1108.585859|1057.7|0.1235|254.51|453.87|-1108.338577|2.8026|0.02244097|5.8861
