molecula|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|n6HRing|MATS7i|SaaaC|MATS8i|AATSC1pe|n6aHRing|BIC2|MATS8d|nFaHRing|PBF|FPSA3|PNSA3|PNSA5|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
13g_a6|1|0|0.0|0|6.842683282|0|1.424099171|-0.0961994219999999|-0.006574579|2|0.03536788|1.648997541|0.073394284|-0.000644109|2|0.774238891|-0.144664763|1|0.2141642839999999|0.017637229|-51.67543048|-64.02222283|0.128027951|-0.0323525729999999|-44.57717132|8.550546653|0.0|0.7357333540000001|-1.747038966|-35.98038956|76.50577593|-22.52633766|0.444443571|2929.039254|607.1336751|3916.754765|-15.68456028|0.264266646|7.968172425|0.7999971709999999|-846.9662551000001|30.61752948|0.017929016|-328.2712049|1653.346592|12.48355309|1.0|1.0|1.0|1.0|1.0|2.0|3.61|-10.57|2.0|128.63|0.0|6.0|-5.56|33.0|-6.31|431.49|0.0|3.47|-5.06|0.0012|0.0038|3.7|0.0|0.0|2.67e-11|-0.07536|3.83|3.2472|-1386.611265|-1386.573241|739.55|1253.71|381.82|0.8442|207.09|592.49|0.38325|0.7034100000000001|-1386.3020800000002|0.0105|10.1708|-0.20806|13.3225|6.9245|6.9245
18c_a25|0|0|0.0|1|6.842683282|0|1.193723817|-0.087958541|-0.002704524|2|0.007241543|2.069766482|-0.038865826|0.007488918|2|0.748718056|0.0114970419999999|1|0.385593349|0.009585904|-31.96445203|-47.27625541|0.05198276|-0.026975264|-31.07074762|4.140476673999999|0.0|0.7479204509999999|-1.510614788|-21.00757374|56.83666555|-17.72859578|0.484730247|2917.369488|623.0528232|2095.730631|-11.65153036|0.2520795489999999|7.553051762000001|0.940731034|-652.4856999|23.70385212|0.014546814|-325.8749539|1327.415719|9.560410146|1.0|1.0|1.0|1.0|1.0|1.0|3.58|-10.17|2.0|138.65|0.0|7.0|-6.05|33.0|-5.85|449.57|0.0|4.77|-5.6|0.000398|0.00113|4.49|0.0|0.0|6.79e-11|-0.0622|4.75|3.3396|-1714.597797|-1714.5777670000002|698.86|1243.76|371.26|0.3558|226.01|547.87|0.31993|0.70516|-1714.280779|0.0041|6.1775|-0.19532|7.9283|7.0555|7.0555
12a_a36|1|0|0.0|0|7.412764017000001|2|1.297044783|-0.0632801509999999|-0.007471648|2|0.078063311|0.0|-0.070252245|0.003199301|1|0.7934042040000001|-0.119322074|0|0.436020272|0.019595485|-46.76212019|-64.36949846|0.179315373|-0.037738352|-39.52572284|7.388485123|5.277117996|0.755315434|-1.886917597|-28.71401279|76.09903547|-23.17301945|0.470444928|2647.835699|503.9367075|2258.5909920000004|-14.22926022|0.244684566|6.600635115|0.888377722|-711.4630111|30.67992313|0.019102103|-313.5499672|1533.996157|11.72953701|1.0|0.0|0.0|1.0|0.0|2.0|4.75|-6.59|1.0|123.75|1.0|5.0|-3.79|29.0|-6.72|381.43|1.0|1.86|-4.0|0.0625|0.0384|2.68|0.0|0.0|2.56e-07|-0.04946|3.16|3.6682|-1232.951968|-1232.916523|653.94|1096.31|338.0|0.4435|323.35|481.98|0.67869|0.6997|-1232.707754|0.0012|6.3637|-0.20139|8.5603|7.8861|7.8861
14_a4|0|0|0.0|1|7.535296702|1|1.399909181|-0.2248919089999999|-0.001935612|1|-0.0135414919999999|0.0|-0.08389836|0.008943549|1|0.77505994|0.204594017|0|0.218112446|0.013047382|-29.91067393|-32.31961528|0.148961754|-0.03015272|-14.69670456|2.697931638|85.72299913|0.768457211|-0.995039765|-13.60128622|39.49511556|-13.71135194|0.40126838|1911.448021|386.9927769|1378.961008|-6.23496557|0.231542789|5.304461808|0.6701974079999999|-205.7538638|17.84270058|0.015779688|-244.1511936|588.8091192|7.175500282000001|1.0|0.0|0.0|1.0|0.0|0.0|3.14|-5.71|0.0|80.09|2.0|2.0|-3.4|21.0|-5.8|277.3|1.0|3.2|-3.97|0.11|0.0295|3.09|0.0|0.0|1.95e-06|-0.03639|3.22|4.2312|-918.9507745|-918.9304744|475.32|794.51|293.02|0.1864|274.1|353.16|0.53298|0.55975|-918.851356|0.1067|2.3797|-0.2102|3.3312|5.8794|5.8794
12f_a31|1|0|0.0|0|7.765993078999999|1|0.6101347579999999|0.034876922|-0.011835152|0|0.043286807|0.0|-0.0944165219999999|0.000889251|0|0.8167107029999999|-0.029803241|0|0.262896936|0.027617942|-68.14417693|-82.48950216|0.299007775|-0.0337826789999999|-57.54866283|13.44201623|569.7325277000001|0.686882955|-1.891830012|-47.54067074|97.53070764|-23.56842919|0.482666192|2710.311963|489.0460499|1805.921786|-16.44247509|0.313117045|9.859605078|0.932987917|-920.7786053|34.31214739|0.021559868|-260.7571603|1921.480254|15.04120547|1.0|1.0|1.0|1.0|1.0|2.0|3.86|-8.02|3.0|117.78|1.0|10.0|-5.98|30.0|-6.19|426.53|0.0|4.01|-4.63|0.0004469999999999|0.0101|3.82|0.0|0.0|9.53e-09|-0.03317|5.39|3.8305|-1696.785527|-1696.741889|755.33|1258.6|323.68|0.2664|323.68|665.22|0.7006600000000001|0.7006600000000001|-1696.466804|0.2664|1.8803|-0.19211|3.3538|6.8861|6.8861
4m_a46|0|0|0.16407746|1|7.825245291|1|1.134637002|-0.245599013|-0.000686578|1|-0.302054595|0.0|-0.142061192|0.010359417|1|0.747676221|0.011235955|0|0.373463876|0.010905551|-35.4774406|-35.43866734|0.051026123|-0.0224155999999999|-18.67596877|3.028720082|35.77391986|0.733236381|-1.008702005|-18.69640205|41.88525631|-11.81288911|0.463006576|2133.331634|500.1036387|1639.260563|-6.225322922999999|0.266763619|5.329061873000001|0.8622201970000001|-280.1395315|16.11061509|0.012232753|-245.828396|724.9776792|6.446588969|1.0|0.0|1.0|1.0|1.0|0.0|3.59|-6.88|1.0|98.69|1.0|2.0|-4.52|25.0|-5.68|328.41|1.0|3.59|-4.57|0.00981|0.0088|3.69|0.0|0.0|1.31e-07|-0.04808|3.45|4.3476|-1031.138426|-1031.109224|558.63|975.72|285.18|0.2465|205.21|468.63|0.38389|0.68505|-1030.929791|0.1557|3.9226|-0.23116|5.2326|5.8901|5.8901
18d_a30|0|0|0.0|0|7.412764017000001|2|0.6049874|0.041146136|-0.0072724869999999|2|-0.071608958|0.0|-0.053728319|0.002064369|1|0.815003426|-0.149451598|0|0.346980269|0.017843227|-49.44608411|-65.3088221|0.196719738|-0.037906966|-41.33339749|7.147133584|0.0|0.783284395|-1.85744132|-31.29400567|75.80070349|-23.99099587|0.443774287|2848.574353|508.389239|2894.162522|-15.18369704|0.216715605|7.063141946|0.797831306|-744.0011548|30.62871675|0.016577694|-358.5765637|1500.807121|10.49188139|1.0|0.0|1.0|1.0|0.0|1.0|4.75|-6.9|2.0|127.24|1.0|5.0|-5.39|30.0|-6.02|416.47|0.0|2.92|-5.01|0.00171|0.00405|3.97|0.0|0.0|1.26e-07|-0.05506|4.07|3.4682|-1675.020297|-1674.987709|669.66|1129.46|357.49|0.3856|247.35|508.7|0.4325|0.69017|-1674.785879|0.3788|5.0115|-0.19673|6.2946|7.6737|7.6737
3q_a32|1|1|0.0|0|7.765993078999999|0|0.609420748|-0.017280695|-0.008072705|0|0.02785755|2.120544848|-0.022925245|0.002487149|0|0.853737093|-0.1585635|1|0.34156046|0.018527744|-41.72706804|-60.46462749|0.15006201|-0.027989085|-37.3203761|7.058489861|53.27315741|0.6349739010000001|-1.371465184|-25.7550561|74.3682963|-17.27560785|0.46136998|2649.276311|524.6043311000001|3335.898591|-10.6629646|0.365026099|6.428518903|0.856561949|-522.4852655000001|27.20679986|0.022526037|-166.61896299999998|1333.133193|13.90366881|1.0|0.0|1.0|1.0|1.0|1.0|3.57|-7.31|1.0|115.37|1.0|7.0|-5.91|28.0|-6.35|411.54|0.0|3.86|-4.62|0.000508|0.00992|3.47|0.0|0.0|4.88e-08|-0.04968|5.15|3.6236|-1920.066488|-1920.042674|666.16|1136.46|342.16|0.2897|342.16|549.78|0.70216|0.70216|-1919.821707|0.2897|4.1362|-0.19969|5.2657|7.5528|7.5528
36_a18|0|0|0.0|0|7.03438793|2|1.25117638|0.050448408|-0.006407141|1|-0.05224259|0.0|-0.0077246719999999|0.000825855|0|0.741135729|0.0059061|0|0.3847791889999999|0.009440278|-55.38202488|-56.82615305|0.195706133|-0.031922305|-40.46339026|4.786442152|83.34177364|0.812056067|-2.074949798|-39.43509046|65.59412783|-22.73046122|0.4751830729999999|2979.013751|572.70209|1547.485543|-16.1853561|0.187943933|9.560644525|0.905426346|-1052.048147|27.99124609|0.0123136069999999|-444.4026478999999|1819.430996|8.767974776|1.0|1.0|0.0|1.0|1.0|3.0|4.19|-9.16|2.0|146.24|1.0|7.0|-5.68|35.0|-6.18|466.57|0.0|2.8|-5.28|0.000975|0.00242|4.18|0.0|0.0|6.87e-10|-0.04991|7.75|3.1908|-1493.686737|-1493.661092|769.73|1350.57|388.57|0.4674|388.57|636.33|0.69372|0.69372|-1493.266344|0.4674|1.9944|-0.18124|2.7547|7.4949|7.4949
3n_a32|1|1|0.0|0|7.773594467000001|1|0.609420754|-0.0376583329999999|-0.00615216|1|-0.056907012|2.22272854|-0.1006122119999999|0.002379137|0|0.816774665|-0.121627423|1|0.287402381|0.01889769|-42.83673428|-53.32184118|0.159958218|-0.027401986|-30.65624207|6.246493173999999|0.0|0.648933114|-1.205687365|-24.62805609|65.41881458|-15.75418035|0.456693072|2526.071154|482.963897|2426.73803|-9.057526067|0.351066886|6.369579712999999|0.840580248|-398.5311469|24.27704797|0.0210408339999999|-171.25176130000003|1068.190111|12.0969734|1.0|0.0|1.0|1.0|1.0|1.0|3.51|-6.96|2.0|106.44|1.0|3.0|-5.96|26.0|-5.98|382.5|0.0|4.07|-4.91|0.000424|0.0047|3.74|0.0|0.0|1.1e-07|-0.05535|2.57|3.5459|-1825.378576|-1825.349557|614.67|1036.75|349.65|0.2839|349.65|464.67|0.7028399999999999|0.7028399999999999|-1825.163542|0.2839|3.5849|-0.20256|6.2667|7.6778|7.6778
