molecula|NaaNH|n9FaHRing|SaaNH|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|SIC2|nFaHRing|RASA|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
6a_a40|0|0|0.0|2|0.604893625|1.78213955|0.117890918|-0.077397672|0.035707071|-0.146542353|-0.68730803|-0.001347823|10.30179985|-0.230955427|2|2|-0.272320301|-0.040435852|-0.620787469|0.682273668|0.801647855|0.861720535|1|0.733750993|0.016399125|-68.11170799|-73.33687786|10.24294396|185.06174|0.266249007|166.2999483|-0.049149867|-45.80643937|36.84483305|-2.113444291|81.37714586|78.35465194|2936.1501780000003|458.303126|2536.88262|-19.17478857|6.945713476|11.8691482|0.708845065|82.54016015|35.37373259|0.012872604|-459.522754|557.4018948|8.040268001|1.0|0.0|1.0|0.0|1.0|1.0|0.21|14.0|-4.05|3.07|1.62|2.0|2.0|120.14|2.0|5.0|-7.11|5.0|-6.32|442.53|0.0|3.17|-4.99|7.85e-08|0.00457|1.0|-0.0926|7.73|2.9836|-2371.579899|649.48|1103.4|415.55|497.78|0.6782699999999999|0.4015|-0.21255|9.3893|7.3979|7.3979
16_a31|1|0|3.096824452|1|0.61013894|0.0|0.152128735|-0.186617888|0.042528736|-0.050076586|-0.726543099|-0.017017891|10.31170095|0.06214876|2|2|-0.0897217219999999|-0.09530799|-0.60894688|0.951830892|0.8318419909999999|0.8948140790000001|0|0.546450126|0.0374314139999999|-66.9420327|-70.82239128|17.63615984|130.369865|0.4535498739999999|213.694252|-0.050105055|-33.36862997|467.7901274|-1.653466811|83.86629191|84.57819254|2071.962924|257.4650715|1212.615438|-11.12287666|5.521618837|9.649327262|0.747554032|126.8340354|32.30339751|0.027684692|-217.4912527|280.39844320000003|13.04390063|0.0|1.0|0.0|1.0|1.0|2.0|0.14|16.0|-4.94|2.83|0.78|0.0|0.0|80.57|2.0|2.0|-4.36|4.0|-6.48|300.34|0.0|2.33|-3.6|4.38e-05|0.0762|0.0|-0.0318899999999999|1.7|3.6596|-1308.242314|503.18|818.1|338.79|369.73|0.70108|0.2534|-0.1842|5.5943|7.0458|7.0458
12az_a36|1|0|3.465535084|2|1.297042831|0.0|-0.196183836|-0.040156368|0.040566449|0.078817323|-0.593399474|0.000482522|10.95957115|-0.012800556|1|1|0.129156742|-0.289604649|-0.387734368|0.884226781|0.812921349|0.858971809|0|0.819163613|0.034771534|-50.28669997|-75.58351856|24.36575918|60.11023222|0.180836387|126.71905359999998|-0.033474609|-52.96429617|8.104966044|-1.941527339|99.82512582|74.65245915|3039.528467|574.0196415|2455.7577530000003|-16.43719536|8.449849817|15.73229538|0.861843195|291.60189260000004|40.17530387|0.034594361|-117.53490990000002|766.4854363|24.24160725|1.0|0.0|0.0|1.0|1.0|2.0|0.21|17.0|-6.79|1.9|1.42|1.0|0.0|136.74|1.0|7.0|-4.11|6.0|-7.13|441.49|0.0|1.75|-4.15|7.75e-05|0.0315|0.0|-0.04967|2.68|3.6095|-1461.990465|737.12|1252.18|319.03|576.54|0.69385|0.0146|-0.19846|7.821000000000001|7.2366|7.2366
12w_a30|0|0|0.0|2|0.604983445|0.0|0.063514061|-0.0316452179999999|0.044197531|-0.0999572419999999|-0.372029919|0.002431329|10.31162873|-0.04950715|1|1|-0.173643543|-0.0857954809999999|-0.477636454|0.8149999040000001|0.83236194|0.889479916|0|0.8522163970000001|0.015446225|-52.53307388|-65.85056003|10.59162334|82.06520565|0.147783603|101.3366249|-0.037237182|-45.15435649|0.0|-1.824621925|75.77366969|63.12469722|2999.810425|584.3729039|2783.769563|-17.50883211|8.063690539|14.70077638|0.8230829059999999|131.7949495|31.60926388|0.014471302|-422.1196298|685.6665849999999|9.923109661|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-7.8|3.92|3.79|2.0|0.0|137.3|1.0|5.0|-6.58|4.0|-5.52|467.37|0.0|3.59|-6.04|2.64e-07|0.0004269999999999|0.0|-0.05682|5.08|3.5585|-2494.966575|716.83|1211.28|244.87|577.06|0.31353|0.1614|-0.20755|3.0068|7821.0|7821.0
5a_a50|0|1|0.0|1|1.3972442980000002|4.202707546|-0.203248487|-0.017108794|0.038040936|0.017227585|-0.06986407|0.012640587|10.93256969|-0.130929632|2|2|0.028229556|-0.168135655|-0.161169418|0.699970832|0.788709546|0.847812674|1|0.969892876|0.010185297|-20.77548565|-34.7974024|5.435098605|6.819160781|0.030107124|16.06582337|-0.022747617|-18.56865899|60.04351409|-0.978147545|44.17662122|26.21058426|2246.106104|517.556163|1605.985157|-6.477439183|5.892775027000001|10.76914508|0.8275167520000001|178.61652859999998|18.24602704|0.017576522|-176.38892919999998|462.1867149|9.379218813|1.0|0.0|1.0|1.0|1.0|0.0|0.14|20.0|-6.24|4.33|2.62|0.0|0.0|101.86|1.0|2.0|-3.89|2.0|-5.83|326.39|1.0|3.47|-4.5|0.000129|0.0102|0.0|-0.02487|3.39|4.0159|-1029.930364|582.98|976.41|220.82|455.34|0.39948|0.1156|-0.19146|5649.0|5.3872|5.3872
IN1166_a11|1|0|3.433539068|0|1.429020445|0.0|-0.089778965|-0.008507023|0.044021739|0.018376555|-0.378539035|-0.003356527|10.95053349|-0.037793156|1|1|0.032420935|-0.223618825|-0.462344944|0.841211811|0.765593573|0.827254552|1|0.863273559|0.0200246639999999|-51.07061499|-61.90325275|13.82641888|112.0066065|0.136726441|94.40543077|-0.031642539|-42.74230509|20.83871871|-1.6137695069999998|76.76995134|64.89703387|2865.055175|596.0640225999999|2953.475057|-15.08551944|6.777827685|12.63334911|0.8639230290000001|211.0745642|31.46783535|0.021531291|-268.3203251|676.2770877|14.86669859|1.0|1.0|1.0|1.0|1.0|2.0|0.08|27.0|-10.18|4.53|0.92|1.0|0.0|123.82|0.0|5.0|-5.11|5.0|-6.52|417.47|0.0|3.31|-4.78|7.74e-06|0.00688|0.0|-0.07275|3.36|3.2827|-1347.298558|704.48|1198.36|248.68|554.63|0.4358399999999999|0.1239|-0.21098|4.3481|7.9318|7.9318
21b_a23|0|1|0.0|0|1.197963051|3.351726269|0.094654108|-0.008526338|0.042455556|0.057405955|-0.326506055|0.01055698|10.31321725|-0.0490623259999999|2|2|0.107996329|-0.130528352|-0.481470603|0.7038407329999999|0.7717839409999999|0.8339434929999999|1|0.930728719|0.014481931|-41.81114831|-58.25915868|10.15224639|41.6766724|0.0692712809999999|48.56114386|-0.034219814|-40.84133198|86.65837165|-1.745210489|67.68046598|51.9633947|3074.083057|652.4673795|2531.041828|-16.81701905|8.773746105|16.20152864|0.846591917|131.5587155|29.53101081|0.013439264|-437.9110924|712.6737861|9.421307298|0.0|0.0|1.0|1.0|1.0|1.0|0.08|26.0|-7.84|4.2|2.6|2.0|1.0|129.97|1.0|5.0|-6.1|5.0|-6.42|450.52|0.0|3.57|-5.22|8.02e-07|0.00273|0.0|-0.08401|3.57|3.6237|-1761.498874|735.65|1247.38|309.79|611.6|0.57848|0.2333|-0.23434|13.2567|7.0691|7.0691
14a_a3|0|0|0.0|0|0.6050202020000001|0.0|0.111575338|-0.1160619169999999|0.043464052|-0.143740653|-0.363198151|-0.00603969|10.3116301|-0.172643335|1|1|-0.267665193|-0.094863591|-0.582572884|0.882394075|0.7574238740000001|0.822587422|1|0.790894937|0.0140376889999999|-45.12132248|-46.53709886|6.904918591|256.5548327|0.209105063|102.8554977|-0.036792719|-22.89086827|83.70773843|-1.324537874|55.84414456|52.02624107|2160.698862|389.0288018|1186.412113|-8.902004327|5.308770254|10.24853699|0.930491715|117.6209094|23.78539971|0.0189212089999999|-256.6424807|358.3503513|9.307045698|0.0|1.0|1.0|1.0|1.0|1.0|0.06|21.0|-6.89|3.71|1.04|0.0|0.0|93.25|1.0|2.0|-4.45|4.0|-6.42|319.38|0.0|2.76|-3.99|3.54e-05|0.0327|0.0|-0.06736|2.44|3.2363|-1327.513792|528.91|822.33|383.1|373.85|0.69708|0.4524|-0.19946|4.6689|7.5229|7.5229
20_a47|0|1|0.0|0|1.408721455|1.1934608|0.055662511|-0.161476442|0.039520202|0.031814023|-0.505699304|-0.009220816|10.95058273|0.071506228|1|1|0.087325054|-0.297094867|-0.5332051720000001|0.61847122|0.7962508290000001|0.8575369009999999|1|0.6888286020000001|0.023587109|-45.68149289|-50.14789824|12.85623208|43.63174229999999|0.311171398|169.6050003|-0.032859105|-27.33327788|49.00609086|-1.38008239|69.09296541|58.53772498|2630.63609|375.4483088|1219.306754|-9.761884958|7.022502229|13.10815891|0.86659377|220.6189341|30.08893541|0.034758191|-103.815441|428.5826478|18.94506718|0.0|1.0|1.0|1.0|1.0|2.0|0.05|21.0|-7.31|4.54|2.75|1.0|0.0|99.68|1.0|5.0|-4.06|6.0|-6.75|380.35|0.0|3.09|-4.08|8.72e-05|0.0316|0.0|-0.06357|4.08|3.9808|-1335.742176|557.84|964.94|311.45|426.08|0.68219|0.2807|-0.22734|4.3277|8.6|8.6
12f_a31|1|0|3.4780522210000004|1|0.6101347579999999|0.0|0.034876922|-0.033056721|0.03703252|0.043286807|-0.698273995|-0.00150321|10.31169747|-0.0164221939999999|2|2|0.068054139|-0.205011573|-0.551471017|0.805862937|0.8167107029999999|0.8530975000000001|0|0.700992225|0.027617942|-68.14417693|-82.48950216|19.26761061|159.84734269999998|0.299007775|208.6022728|-0.0337826789999999|-57.54866283|569.7325277000001|-1.891830012|97.53070764|87.41178754|2710.311963|489.0460499|1805.921786|-16.44247509|9.859605078|19.05849748|0.932987917|218.4455813|34.31214739|0.021559868|-260.7571603|713.5657448|15.04120547|1.0|1.0|1.0|1.0|1.0|2.0|0.41|16.0|-8.02|4.48|1.53|3.0|0.0|117.78|1.0|10.0|-5.98|5.0|-6.19|426.53|0.0|4.01|-4.63|1.05e-06|0.0101|0.0|-0.03317|5.39|3.8305|-1696.785527|755.33|1258.6|323.68|665.22|0.7006600000000001|0.2664|-0.19211|3.3538|6.8861|6.8861
