molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
4b_a46|0.0|0|0|0.0|0.206072846|1.1346370890000002|-0.155670183|-0.00113356|5.587248657999999|2|0.047736111|-0.082722572|0.0|-0.058945144|0.012332859|-0.135121207|-0.111103941|1|1|-0.128843936|-0.079238184|-0.123416853|-0.16915334|2|0.7306307590000001|-0.153841155|0.69830739|0.935245062|-0.0524080009999999|0.27128814|0.007568202|-28.58477842|-38.30877966|4.127907383|7.986637869|0.064754938|35.31914031|-0.0229342729999999|0.8104680259999999|-1.123779397|-15.59093155|-12.50898928|2105.172229|510.1086157|0.751274223|4681.895329999999|103.3759991|-334.31474760000003|0.007963679|-338.6757579|756.2796491|0.0|0.0|1.0|1.0|3.03|0.38|-7.2|2.58|1.0|0.0|101.7|1.0|-4.35|25.0|-5.67|332.44|1.0|1.0|4.49e-05|3.74|0.0|2.12e-05|4.5515|-1033.556797|588.79|1020.9|272.4|272.4|0.68682|-1033.3243619999998|0.1784|-0.19082|-0.21811|0.02176759|3.7571|548.0|6.2612|6.2612
19l_a38|0.0|0|0|3.280796643|0.0|1.297043246|-0.086107169|-0.007360265|5.351858133|2|0.04391253|0.103904811|0.0|-0.426895387|-0.001197042|-0.02967593|-0.032264281|1|1|0.217841852|-0.091460175|-0.191751024|-0.4224000739999999|1|0.839953955|-0.053823023|0.700181525|0.799611189|-0.079681862|0.51306986|0.0219046379999999|-51.6277901|-65.35669452|14.19254029|133.9992534|0.200388811|129.8367176|-0.037359603|0.7374102309999999|-2.017418574|-33.45088372|-24.20618316|2921.048554|518.0872716|0.754730276|6705.993411|170.13821069999997|-846.9234048000001|0.021129331|-307.64756780000005|1772.6006989999998|0.0|1.0|1.0|1.0|2.7|0.12|-7.28|2.75|2.0|0.0|135.78|1.0|-4.94|32.0|-6.39|427.48|0.0|1.0|1.15e-05|3.55|0.0|2.25e-05|3.6709|-1409.5865199999998|660.04|1164.34|369.66|337.75|0.7044|-1409.309206|0.0233|-0.13977|-0.2001|0.02856649|9026.0|14.0|7.8633|7.8633
16b_a23|0.0|1|1|0.0|0.0|1.197960988|0.031073244|-0.005139233|5.351858133|3|0.037664609|0.054655144|0.754232958|-0.3237716519999999|0.0116350769999999|-0.068280331|-0.05237763|2|2|0.099244509|-0.123524943|-0.224300431|-0.401493392|2|0.7740962779999999|-0.09063701|0.711576167|0.928579764|-0.050637391|0.2256448969999999|0.018614978|-37.52431601|-58.69232154|13.79443768|7.971529518|0.071420236|52.92522904|-0.031407956|0.738977|-1.821661419|-27.80700713|-23.2745413|3370.826124|688.1144512|0.949345397|7575.784511|193.4284005|-1000.346801|0.018384316|-354.1828792|1826.746158|0.0|1.0|1.0|0.0|0.0|0.07|-7.33|3.14|2.0|1.0|146.03|1.0|-6.19|36.0|-6.3|489.57|0.0|0.0|6.41e-07|4.21|0.0|2.26e-05|1.6041|-1877.655481|772.84|1340.35|772.92|772.92|0.95419|-1877.270284|0.3456|-0.13741|-0.21093|0.03978022|14.8849|96.0|7.0191|7.0191
14q_a23|0.0|1|1|0.0|0.0|1.19796338|0.141057047|-0.0101981219999999|5.351858133|2|0.044138322|0.064903564|0.720966302|-0.5608967029999999|0.002243702|-0.058543701|-0.056324491|2|2|0.121109106|-0.017918675|-0.033435987|-0.573130981|2|0.808928963|-0.089657283|0.7333675390000001|0.773194598|-0.08960718|0.227948491|0.02158178|-61.51997721|-66.16349731|14.81701129|350.836102|0.226805402|155.7136729|-0.039682061|0.777340899|-2.023785094|-42.23665548|-27.24379301|3097.399651|530.8381985000001|0.893957277|6982.066379000001|152.86702240000002|-953.9181308|0.01932289|-380.8178266000001|1787.418422|0.0|1.0|1.0|0.0|2.66|0.04|-6.96|2.28|1.0|1.0|128.38|1.0|-5.21|33.0|-7.33|454.51|0.0|0.0|6.11e-06|2.46|0.0|5.03e-05|3.6431|-1798.645459|714.22|1222.17|340.33|340.33|0.5949|-1798.3704079999998|0.4943|-0.14854|-0.23013|0.03458552|12.0503|16.0|7.8069|7.8069
18_a4|0.0|0|0|0.0|0.0|1.3998285519999998|-0.181683336|-0.004533883|5.4161004020000005|1|0.042924837|0.049240675|0.0|-0.181355303|0.000379379|-0.200683549|-0.063708832|1|1|0.108754635|0.006968314|0.015390457|-0.319213511|1|0.793041267|-0.105846349|0.615655659|0.7755960390000001|-0.094231531|0.269470313|0.017694182|-46.48874223|-42.33787448|8.729352711|203.5264327|0.224403961|110.7087804|-0.03479101|0.769438308|-1.287267373|-22.93503169|-17.16400317|2069.649003|382.6371479|0.682329162|4381.693113|113.7466718|-313.3082699|0.0175331289999999|-265.85258480000005|825.3658678999999|1.0|0.0|1.0|0.0|2.56|0.11|-5.53|2.2|0.0|0.0|86.22|2.0|-2.95|23.0|-6.58|307.32|1.0|1.0|0.00113|2.24|0.0|0.0009109999999999|4.5152|-1033.480025|523.81|870.74|294.88|274.59|0.57777|-1033.349218|0.1|-0.17345|-0.20883|0.02525528|3498.0|2.62|5.5817|5.5817
7_a1|0.0|0|0|0.0|0.0|1.348826331|-0.055291895|-0.010040172|5.777652323|1|0.035718954|-0.048878707|0.0|-0.421687222|0.0021597079999999|-0.07233584|-0.024096172|1|1|-0.077833285|-0.245732751|-0.391298966|-0.441054548|1|0.801577133|-0.042175602|0.729621031|0.710959153|-0.083362936|0.289201649|0.035937867|-40.16416679|-47.35863598|17.31482297|111.9204437|0.289040847|139.2595474|-0.031040669|0.603382856|-1.179545431|-19.35104936|-14.95535873|2150.215999|342.53930230000003|0.827584457|4519.238270000001|191.0896839|-273.8080361|0.029820838|-99.61948195|941.8624118|1.0|0.0|1.0|1.0|2.83|0.22|-5.64|1.6|0.0|0.0|85.88|2.0|-3.16|23.0|-6.4|305.33|1.0|1.0|0.000696|2.48|0.0|0.000698|4.0504|-1009.509475|515.2|864.85|306.1|306.1|0.69902|-1009.350293|0.2961|-0.16734|-0.19167|0.02860499|6.5936|0.46|6.3372|6.3372
7a_a8|0.0|0|0|3.1730222510000003|0.0|1.4000287219999998|-0.11821781|-0.010269971|5.4161004020000005|1|0.041123188|-0.017706371|0.0|-0.482688615|0.000736369|0.004607684|-0.019054799|1|1|-0.02923588|-0.019499132|-0.032195997|-0.412963751|1|0.764224152|-0.032562221|0.681200974|0.718410375|-0.102174163|0.238462711|0.035405618|-60.00793116|-59.83546383|20.79408196|145.3710976|0.281589625|165.38046830000002|-0.042647654|0.733884399|-1.833849114|-35.24327197|-25.04740346|2715.360649|421.9297638000001|0.914283468|5907.9340090000005|156.2924154|-632.5556427|0.0265990589999999|-274.7254012|1467.585836|0.0|1.0|1.0|1.0|3.06|0.05|-7.27|2.01|1.0|0.0|105.83|1.0|-4.86|29.0|-6.33|382.37|0.0|1.0|1.36e-05|3.24|0.0|2.05e-05|4.5808|-1291.313963|605.72|1031.61|403.8|270.66|0.70367|-1291.10235|0.1575|-0.12889|-0.20505|0.0269461|12.8748|24.73|4.6068|4.6068
17c_a50|0.0|1|1|0.0|0.0|1.347835869|-0.212075666|-0.002676029|5.82008293|2|0.031870748|0.021572081|2.193763306|-0.1766179239999999|0.01130519|-0.144763835|-0.120904775|2|2|0.034485992|-0.233451925|-0.373205592|-0.2256811219999999|1|0.774994313|-0.212611846|0.728169863|0.89719894|-0.051905615|0.446454378|0.021675174|-35.70979598|-50.69922125|14.91199042|133.46240020000002|0.10280106|70.72462009999998|-0.021745577|0.569750429|-1.32648017|-24.567468100000003|-14.96042594|2951.495914|617.2509739|0.98033276|6438.380804|296.00120400000003|-627.8368834|0.0232952879999999|-95.97318605|1601.729346|1.0|1.0|1.0|1.0|3.61|0.35|-6.79|1.91|1.0|0.0|134.28|1.0|-3.8|33.0|-6.96|440.54|1.0|0.0|0.000158|2.86|0.0|7.08e-05|4.2397|-1411.187392|746.5|1289.05|306.65|292.44|0.66213|-1410.838844|0.1801|-0.16697|-0.19818|0.02957871|8.5146|69.0|7.1612|7.1612
12b_a50|0.0|1|1|0.0|0.0|1.397986833|-0.19841119|-0.002929899|5.82008293|1|0.034845679|-0.08032584|2.112397566|-0.125985651|0.01164808|-0.101728189|-0.115659308|2|2|-0.139522815|-0.168032508|-0.291865836|-0.246831987|1|0.804535572|-0.189976035|0.660148928|0.925916085|-0.045602469|0.24516882|0.0214891|-22.92589265|-33.25880166|10.80329197|8.07905572|0.074083915|37.24447201|-0.0237482779999999|0.5731907470000001|-0.926182858|-11.52561607|-11.93905701|2224.116359|465.4891075000001|0.756824707|4672.843578|214.5713436|-234.0844297|0.027586169|-73.59089223|812.3355548|1.0|0.0|1.0|1.0|2.45|0.11|-5.49|2.02|0.0|0.0|94.69|2.0|-3.16|24.0|-6.44|313.36|1.0|1.0|0.000685|2.5|0.0|0.00101|4.7089|-1006.664619|539.15|909.8|315.44|263.3|0.6581|-1006.501585|0.0777|-0.16451|-0.19425|0.02307802|5.6617|4.74|5.3242|5.3242
8e_a12|0.0|1|1|0.0|0.0|1.283834633|0.050021617|-0.006350143|4.727387819|2|0.037430556|0.0661362779999999|2.197856963|-0.330207456|0.005196034|-0.087658302|-0.0309579439999999|1|1|0.112673977|-0.079913108|-0.136145064|-0.448676455|1|0.761892879|-0.051240735|0.797199175|0.939627917|-0.05202522|0.001151979|0.0155147339999999|-29.79080011|-50.273571200000006|8.884082475|51.38557748|0.060372083|34.57040021|-0.031094185|0.7112578709999999|-1.492520871|-17.05887601|-17.80522313|2548.979738|538.051884|0.830990262|5490.975165|165.34017769999997|-489.392042|0.019545275|-241.94192880000003|1201.604574|1.0|1.0|1.0|1.0|3.01|0.14|-7.93|3.05|2.0|0.0|117.04|1.0|-4.37|28.0|-6.03|366.42|1.0|1.0|4.25e-05|3.53|0.0|4.34e-06|5.247999999999999|-1177.619013|612.59|1048.44|375.21|236.25|0.6954899999999999|-1177.380602|0.2252|-0.13599|-0.19338|0.02580783|1.9327|588.0|6.2306|6.2306
