molecula|SddssS|n9FaRing|SssssC|NaasN|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|RASA|PNSA3|RNCS|TPSA_x|WPSA3|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
15_a47|0.0|1|0.0|0|0|1.304329657|0.0|-0.00516949|-0.072588375|2|1.56205245|-0.21194909|-0.0026314909999999|0.086682657|10.9497222|0.0506476009999999|1|-0.299654464|-0.007670908|-0.017562097|-0.332654104|2|0.830688568|-0.131424138|0.081171071|0.791753677|-45.1562696|61.0548099|111.3994409|4.770072524|0.0|-24.15592798|-17.81765281|54.07328082|2327.320914|423.5412927|-677.0708068|-9.531388265|0.288369895|6.984778596|13.37174753|5075.773767000001|154.260803|0.021370407|951.4364299|383.4213189|1.0|0.0|1.0|1.0|2.0|2.1|0.06|21.0|-8.49|4.69|5.28|66.49|2.0|0.0|96.6|0.0|1.0|-5.76|-4.85|0.00455|1.41e-05|0.00499|3.8|0.0|0.0|3.22e-09|1.14e-06|-0.0591799999999999|4.0594|-1527.4104|-1527.376145|930.51|305.43|0.2828|419.75|0.67203|-1527.265523|-0.16762|2.2271|-0.2268|0.03425526|-1527.316555|3.7709|16.0|7.8|7.8
8b_a31|0.0|0|0.0|0|1|0.610137861|0.0|-0.013629145|-0.12841288|0|0.0|-0.57242407|-0.010300564|-0.211457443|10.31170011|-0.069423138|2|-0.222667869|-0.05421947|-0.092604362|-0.510259793|0|0.843119174|-0.058494079|-0.1155280009999999|0.6076192260000001|-63.04219151|129.8921115|204.9365822|8.823644775|472.8995873|-32.92631065|-21.30529654|79.93633765|2189.617009|317.3534883|-830.906565|-11.12754483|0.296530645|6.142377144|11.79588561|4696.728592|154.8750114|0.02483711|1181.155311|372.3224834|0.0|1.0|1.0|1.0|2.0|2.71|0.25|16.0|-5.73|4.52|2.74|114.29|0.0|0.0|88.64|0.0|2.0|-6.87|-3.4|0.0294|0.000399|131.0|2.02|0.0|0.0|1.86e-06|0.00061|-0.0325|3.8582|-1386.852117|-1386.815519|927.61|321.36|0.2643|439.96|0.70036|-1386.681003|-0.16015|3.6945|-0.19265|0.03659821|-1386.734257|5.6001|2.2|5.6576|5.6576
18a_a22|0.0|0|0.0|1|0|1.194229718|1.854982521|-0.003488994|-0.018344659|2|1.6891461019999998|-0.19538364|0.007066388|-0.021976395|10.31286146|-0.015194063|1|0.059645624|-0.0835538409999999|-0.147724859|-0.296897301|2|0.7329701259999999|-0.042139855|-0.027029438|0.926535704|-34.36220678|29.59800426|49.84469832|7.887046626|18.5219848|-23.31437056|-19.86401135|45.98663929|2898.068989|628.6440468999999|-1032.92859|-13.47750813|0.289532802|7.037677899|13.72951861|6630.646100999999|196.4447473|0.0193879289999999|1453.872315|730.9420477000001|1.0|1.0|1.0|1.0|1.0|3.17|0.08|27.0|-9.4|5.32|5.11|100.61|2.0|1.0|131.64|0.0|1.0|-6.28|-5.16|0.00113|6.98e-06|0.00305|3.78|0.0|0.0|3.95e-10|1.73e-07|-0.0706799999999999|3.4832|-1691.3151059999998|-1691.2957760000002|1211.84|355.95|0.3174|531.16|0.35107|-1691.036502|-0.1408|3851.0|-0.21148|0.01932946|-1691.097989|5.3946|13.0|7.8861|7.8861
12k_a30|0.0|0|0.0|0|2|0.604984231|0.0|-0.007818038|-0.029595542|2|0.0|-0.44562817|0.0043261129999999|0.067265077|10.31162844|-0.038714845|1|-0.240110949|-0.089279071|-0.154412059|-0.4186541|1|0.830875659|0.001281277|-0.067714819|0.815083558|-52.35426525|106.8195439|122.5057244|10.61148425|0.0|-34.68429919|-23.31944323|68.37178540000001|2920.279667|539.9866061|-1235.930491|-15.44895229|0.291863802|8.416930701|15.93977881|6393.133321|193.3575303|0.0226150579999999|1745.328787|704.0353382000001|1.0|1.0|1.0|1.0|1.0|0.0|0.17|17.0|-6.74|3.89|2.63|90.88|2.0|0.0|133.77|0.0|1.0|-6.19|-4.93|0.00154|1.19e-05|0.0050799999999999|3.84|0.0|0.0|1.84e-07|7.87e-05|-0.05055|3.4715|-1690.302721|-1690.269144|1200.31|357.15|0.2257|564.62|0.39318|-1690.031103|-0.14743|4.9516|-0.19798|0.03357755|-1690.094082|5.0736|24.0|7.6144|7.6144
19c_a38|0.0|0|0.0|0|2|1.297043851|0.0|-0.008177185|-0.04575843|2|0.0|-0.449745181|-0.004442319|-0.0725602509999999|10.95429182|-0.0431896509999999|1|0.04814981|-0.09493054|-0.20848518|-0.434836855|1|0.846765471|0.073931688|-0.071918235|0.7591916240000001|-57.79749770000001|139.1570837|151.612258|9.638658988|4.848162625|-36.38913762|-24.06579196|73.10674676|2967.98627|477.9848537|-1227.35539|-15.15175311|0.281292809|6.97753104|13.36189552|6618.350708|177.10114030000005|0.023120664|1707.726604|640.025745|1.0|1.0|1.0|1.0|3.0|3.0|0.13|17.0|-6.92|3.17|2.42|105.02|1.0|0.0|130.41|0.0|1.0|-7.13|-4.12|19.0|7.55e-05|0.0322|2.5|0.0|0.0|1.2099999999999998e-07|5.14e-05|-0.05691|3.8322|-1424.42734|-1424.3899310000002|1138.6|323.53|0.2961|517.28|0.2597|-1424.1880119999998|-0.15612|2495.0|-0.21303|0.03740877|-1424.247603|3.2846|9.0|8.0348|8.0348
10_a27|0.0|0|0.0|2|0|1.400533489|3.383341915|-0.006285923|-0.044164147|2|1.296293777|-0.282866526|0.00991794|0.034318674|10.93783185|-0.000903965|1|-0.309727442|-0.2030237389999999|-0.341622797|-0.487435299|2|0.804375252|0.129719095|-0.001453596|0.8526621529999999|-32.5969511|6.0140309720000005|78.34972221|4.998521009|49.19800605|-17.33405307|-16.5270506|41.99674607|2270.538352|453.4194305|-694.1361252|-8.788575695|0.254639309|6.761146212000001|12.9316403|4894.8090170000005|135.40932969999997|0.01651645|931.2754667000002|424.8821143|1.0|1.0|0.0|1.0|0.0|3.15|0.16|21.0|-6.24|2.81|2.97|65.6|0.0|0.0|97.39|0.0|1.0|-6.51|-3.92|0.0882|0.0001189999999999|0.0394|2.55|0.0|0.0|5.81e-07|0.000192|-0.0498|4.1495|-1083.137871|-1083.1151289999998|958.95|298.79|0.4452|450.26|0.63894|-1082.956472|-0.16805|4.6684|-0.21785|0.0227416|-1083.008551|6.9456|69.0|7.1612|7.1612
12be_a36|0.0|0|0.0|0|2|1.297042758|0.0|-0.009368126|-0.0419484829999999|2|0.0|-0.580823835|0.000482522|-0.08981965|10.95957887|0.00430921|1|0.19405344|-0.176729938|-0.289604649|-0.3825349939999999|1|0.812921349|0.132962547|0.00734728|0.798015877|-54.15309606|63.31681179|140.1361326|16.25222352|0.0|-37.57129686|-22.15805062|77.57811183|3039.9167260000004|553.6616295|-1285.166936|-15.37320593|0.433925602|8.773114043|16.14074295|6592.168374|301.05661160000005|0.034632557|2270.314539|766.4854363|1.0|0.0|1.0|1.0|2.0|0.0|0.21|17.0|-6.79|2.83|1.9|87.66|1.0|0.0|136.74|0.0|1.0|-7.13|-4.15|0.0342|7.13e-05|0.0315|2.62|1.0|0.0|1.6100000000000005e-07|7.11e-05|-0.0518799999999999|3.3487|-1462.0007349999998|-1461.968283|1256.67|370.25|0.7034|594.44|0.40844|-1461.68274|-0.13781|7.7861|-0.18969|0.03245204|-1461.747501|10.3044|44.0|7.3565|7.3565
15c_a10|0.0|0|0.0|1|2|1.343850105|2.154210861|-0.002218445|0.040869377|3|2.063253638|-0.153072705|0.01143745|-0.1036030219999999|10.92970798|0.0123939039999999|1|-0.101214571|-0.226679901|-0.35845963|-0.1742732839999999|2|0.7351096359999999|-0.03167553|0.022187689|0.904458517|-32.5870313|65.41494073|66.28884934|7.077912953999999|136.2098503|-22.60962187|-13.36848349|42.7883594|3012.018586|627.5338454|-855.5829431|-9.275357237|0.471771585|8.639636218|15.6886947|6673.826433|327.3258326|0.023432886|1619.721543|924.9341455|0.0|1.0|1.0|1.0|0.0|4.09|0.37|21.0|-7.79|3.77|2.97|59.31|1.0|0.0|141.96|0.0|1.0|-6.99|-4.57|0.0646|2.68e-05|0.0122|2.94|0.0|0.0|1.6100000000000002e-08|7.3e-06|-0.04724|3.6709|-1450.241475|-1450.500669|1318.35|337.75|0.3939999999999999|595.63|-0.26999|-1450.139335|-0.14739|2.4256|-0.19463|-0.25919486|-1450.201574|4.8283|0.1|7.0|7.0
38_a18|0.0|0|0.0|0|2|1.251175383|0.0|-0.00575311|-0.009006798|1|0.0|-0.448742607|0.000520558|-0.020056674|10.94702086|-0.003893067|0|-0.0993372269999999|-0.074661643|-0.11123356|-0.498932552|0|0.719168079|-0.03302891|-0.007310849|0.8310704529999999|-61.25359673|100.7046282|134.4282836|5.3122971560000005|74.46052717|-48.74349112|-25.65190078|67.92930461|3162.36475|661.3370874|-1898.240658|-20.41289434|0.119072105|10.98254153|20.5922319|7261.130718|94.75345803|0.007165119|2154.819559|1228.492038|1.0|0.0|1.0|1.0|3.0|0.0|0.34|18.0|-10.33|4.94|4.13|85.29|3.0|1.0|160.66|0.0|0.0|-5.55|-6.11|5.36e-05|7.85e-07|0.000399|5.43|0.0|1.0|4.68e-11|2.38e-08|-0.0483699999999999|3.2241|-1611.630281|-1611.60375|1515.64|384.55|0.5147|734.93|0.69235|-1611.133158|-0.13229|1.9877|-0.18066|0.02653109|-1611.206669|2.7244|91.0|7041.0|7041.0
9c_a31|0.0|0|0.0|0|1|0.610135804|0.0|-0.013082561|-0.055520387|0|0.0|-0.6933757159999999|-0.003618466|-0.1047269419999999|10.311698300000002|-0.062737615|2|-0.062065125|-0.138799714|-0.223856622|-0.546598398|0|0.842823186|-0.000533581|-0.108617754|0.6746901059999999|-65.84728287|153.5739377|207.3144829|12.30439782|552.8237349999999|-41.96335759|-22.85764436|85.15486955|2592.448925|429.9685721|-1142.882218|-14.56678943|0.329283294|8.188627935|15.04941978|5658.985169|209.8466636|0.024456662|1703.9715989999995|583.9691392000001|1.0|1.0|1.0|1.0|2.0|3.09|0.35|16.0|-7.24|5.64|3.7|117.37|2.0|0.0|108.16|0.0|1.0|-6.53|-4.16|0.00233|6.94e-05|0.0277|3.1|0.0|0.0|5.79e-08|2.31e-05|-0.03249|3849.0|-1618.157698|-1618.115927|1147.93|322.12|0.2554|588.58|0.7007399999999999|-1617.892493|-0.15975|1.3617|-0.19224|0.04177078|-1617.9568470000002|2.2323|0.42|6.3768|6.3768
