molecula|NaaNH|n9FaRing|nARing|BCUTs-1|SaasN|SRW07|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|FPSA1|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
10_a47|0|0|0|1.381868067|0.0|0.0|0.042276423|-0.169242585|-0.008120645|0.0814897|10.93671036|0.007193585|0|-0.0065562469999999|-0.349569106|-0.045289209|2|0.754096463|0.011239977|0.8077565520000001|1|0.841070966|-0.076311525|0.417511484|0.00951788|-40.80144983|5.088920549|103.41137940000002|0.158929034|-0.035388634|-26.77924406|2.720890925|0.0|-1.592488524|57.59863288|-18.9212254|0.198117368|0.699661037|5482.319019|23.5960035|0.014051737|1061.820157|498.0016816|7.51303623|1.0|1.0|2.0|3.02|2.97|0.09|22.0|-8.85|5.92|3.21|0.0|106.43|3.0|-5.75|27.0|-5.08|1.0|0.0|1.0|-5.5|1.77e-06|0.000638|0.00114|0.0|1.4199999999999999e-09|5.110000000000001e-07|-0.0486399999999999|5.7693|4.37|3.7236|-1188.405988|-1188.3744|579.86|332.97|0.69212|0.2175|1.9281|-0.20309|7.9|7.9
8_a27|1|0|0|1.406757715|1.7626247169999998|4.59511985|0.039673203|-0.14212377|0.0040883959999999|0.093450172|10.93783465|0.067074515|1|0.004801929|-0.24946295|-0.187486926|2|0.8000360390000001|0.11158995|0.8688656459999999|1|0.776384028|-0.078709803|0.3608031339999999|0.021852066|-37.50265703|10.41179748|122.0597403|0.223615972|-0.035880862|-20.94612822|4.960882344|61.18801154|-1.291711016|53.20197882|-17.09606174|0.248298166|0.92208134|4522.989286999999|22.74314225|0.019394143|818.753121|326.3351007|9.240677197|0.0|0.0|1.0|2.79|2.28|0.06|21.0|-6.28|2.48|2.19|0.0|87.68|2.0|-3.23|23.0|-6.73|0.0|1.0|1.0|-3.52|0.000586|178.0|0.0907|0.0|5.2e-07|0.000158|-0.05015|4.1276|3.96|4.1276|-1004.515654|-1004.489001|507.76|300.38|0.64893|0.2336|3.0415|-0.21973|8.2218|8.2218
4n_a46|0|0|1|1.13463699|2.093595994|5.587248657999999|0.045335917|-0.2264394139999999|0.004988019|-0.144852516|10.94021058|-0.064683066|1|0.0042595609999999|-0.349865095|0.109017734|0|0.722331115|-0.088858764|0.7681452190000001|0|0.903145407|-0.103381106|0.371438024|0.008424451|-56.80797266|4.629240193|172.8490949|0.096854593|-0.031047837|-25.91889741|2.543769935|0.0|-1.459248362|51.4039205|-17.06080312|0.136796337|0.750996215|4955.374473|19.76451658|0.0077084869999999|928.9322794|525.8291956999999|4.235817757|1.0|1.0|1.0|3.75|2.84|0.27|17.0|-6.67|4.94|2.99|0.0|102.92|2.0|-5.43|26.0|-5.26|0.0|1.0|1.0|-5.1|3.75e-06|0.00129|0.00273|0.0|2.14e-07|7.340000000000001e-05|-0.04044|5.7448|4.57|3953.0|-1090.343872|-1090.302556|578.83|313.65|0.7025|0.0711|6.2318|-0.20685|5.2845|5.2845
19a_a38|1|0|2|1.297044508|0.0|5.351858133|0.043848238|0.054257043|-0.002526241|-0.122385526|10.96083376|-0.077535135|1|-0.000673716|0.116434494|-0.217394466|1|0.819222745|-0.133130383|0.8741648479999999|0|0.747152898|-0.08593151|0.298938581|0.022142322|-51.36166266|13.23456869|137.2318698|0.252847102|-0.038988111|-38.69037594|7.910363161|0.0|-1.949405536|77.20795279999999|-23.30337482|0.255203463|0.872060139|6115.030149|31.28824271|0.020873781|1564.412135|595.8790650000001|12.47635608|1.0|1.0|3.0|4.83|2.56|0.14|17.0|-6.86|2.55|2.4|0.0|125.69|5.0|-4.14|30.0|-6.77|0.0|0.0|1.0|-4.17|7.209999999999999e-05|29.0|0.0272|0.0|1.4e-07|5.610000000000001e-05|-0.05271|3.9212|3.41|3.6504|-1332.186327|-1332.1529369999998|628.65|339.65|0.68835|0.0721|4.7986|-0.20379|8.0106|8.0106
47j_a18|0|0|1|1.251176464|0.0|4.844187086|0.033563218|-0.048528478|0.00031105|-0.006923502|10.94702285|0.0033281|0|0.002317206|-0.073551529|-0.331885553|0|0.7444236670000001|0.005740124|0.77844379|0|0.80651845|-0.073041469|0.476575952|0.015967126|-56.816779|12.42035127|95.57657747|0.19348155|-0.033837212|-57.32800549|9.661420661|99.50526447|-2.368604851|86.31641604|-26.32095773|0.235574938|0.928170101|7316.123159000001|34.43235841|0.016220875|2410.265089|1081.726154|12.6177344|1.0|1.0|3.0|4.54|0.0|0.28|18.0|-8.79|2.82|2.63|2.0|149.96|11.0|-5.83|37.0|-6.46|0.0|0.0|0.0|-5.14|1.49e-06|0.000743|0.00366|1.0|1.63e-09|8.159999999999999e-07|-0.04423|3.1054|8.09|3.1054|-1625.445572|-1625.413107|839.37|399.25|0.6983600000000001|0.5439|4.1619|-0.17273|7.4559|7.4559
EW7203_a60|0|0|2|0.604984431|0.0|5.351858133|0.041767677|-0.092774356|0.003099827|0.03824498|10.31162855|-0.051413084|1|0.0036417359999999|-0.1696249719999999|-0.090115975|1|0.822401103|-0.089945913|0.8839272779999999|0|0.8860751579999999|-0.076068195|0.345488097|0.020156795|-49.19385637|13.03554647|80.48638339|0.113924842|-0.036566012|-40.24477665|8.430183|0.0|-1.828300603|73.82739839|-23.64750675|0.233162923|0.989250745|6403.777228|30.83771958|0.01793256|1541.885979|666.0036144999999|11.59711747|1.0|1.0|2.0|4.75|3.21|0.13|17.0|-6.7|2.6|2.17|0.0|133.97|5.0|-5.74|31.0|-6.35|0.0|0.0|0.0|-4.82|1.81e-06|0.000768|0.0065|0.0|2e-07|8.51e-05|-0.06188|5.0166|3.64|3.5192|-1668.025575|-1667.993536|678.83|352.3|0.69857|0.0448|1.7676|-0.20654|8.0334|8.0334
20b_a10|0|0|1|1.343837209|2.103422978|5.4161004020000005|0.035818182|-0.030238422|0.001965496|-0.042013549|10.92966143|-0.013623188|1|0.002637529|-0.049452599|0.031942481|2|0.761071345|-0.022843761|0.817426568|1|0.75259177|-0.094975935|0.6741049840000001|0.013038163|-60.68950774|8.331370518|81.39248686|0.24740823|-0.033783202|-36.12803002|5.323735696|91.02309592|-1.85807612|67.46831286|-21.58742537|0.238378673|0.8317951020000001|7173.225184999999|28.34404003|0.0171045989999999|1558.922202|769.1246171|10.92981783|1.0|1.0|1.0|3.54|3.15|0.11|27.0|-8.93|5.0|2.41|0.0|129.73|5.0|-5.22|34.0|-6.53|0.0|0.0|1.0|-5.09|6.05e-06|0.00271|0.00364|0.0|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|5.9354|4.88|3.9013|-1465.62724|-1465.587932|687.84|317.8|669.0|0.1382|5725.0|-0.2217199999999999|5.9586|5.9586
3c_a32|1|1|0|0.6094207970000001|0.0|5.733341277|0.043817204|-0.0522536959999999|-0.00017094|-0.113334836|10.31100278|-0.01180891|3|0.00124359|-0.097512832|-0.145525719|0|0.839409251|-0.019130435|0.901864778|1|0.888766719|-0.0679200029999999|0.216289509|0.015118975|-34.91603827|7.772301225|59.72163595|0.1112332809999999|-0.0288417079999999|-24.94510426|3.995552912|0.0|-1.038301506|57.94025396|-14.82682786|0.306047878|0.733606015|4598.027604999999|21.36577928|0.018316536|769.1680542|370.5811396|9.416090047|1.0|1.0|1.0|3.22|2.95|0.19|19.0|-6.89|4.68|1.7|0.0|93.05|3.0|-6.18|22.0|-5.35|0.0|0.0|1.0|-4.91|6.65e-07|0.000217|0.00399|0.0|1.28e-07|4.18e-05|-0.05487|3.5169|3.02|3.5169|-1633.443791|-1633.419633|544.22|352.54|0.7034600000000001|0.5017|3123.0|-0.1970599999999999|8.0458|8.0458
19_a31|1|0|0|0.61013725|0.0|5.351858133|0.0427124179999999|-0.044625452|-0.005956522|-0.040386271|10.31169935|-0.081641954|2|-0.0038998559999999|-0.095997335|-0.1751017789999999|0|0.8558149140000001|-0.138769819|0.902130276|0|0.7312647940000001|-0.0909201569999999|0.279690511|0.014675044|-53.25742146|8.596058678|75.32978176|0.268735206|-0.036060715|-38.88650245|5.035230173|67.42915967|-1.586671445|75.31824576|-21.12293613|0.223788196|0.805382437|4917.329034|27.21285095|0.0152483439999999|1197.365442|460.3754405|8.931875058|1.0|1.0|2.0|3.44|2.62|0.28|16.0|-7.39|4.33|1.68|0.0|97.25|7.0|-4.67|25.0|-6.41|0.0|0.0|1.0|-3.92|2.14e-05|0.0076799999999999|0.0431|0.0|4.08e-08|1.46e-05|-0.04308|5.0344|5.24|3.9477|-1489.532192|-1489.4951640000002|625.93|314.06|0.7005600000000001|0.2271|1.7076|-0.20675|5.7447|5.7447
4a_a46|0|0|1|1.13463711|2.180332577|5.587248657999999|0.0473245609999999|-0.137420119|0.012632881|-0.11172225|10.96352058|-0.0466186959999999|1|0.0120924389999999|-0.216904465|-0.129430244|2|0.764741337|-0.06611606|0.8075680409999999|0|0.923958017|-0.05488948|0.264863483|0.00935578|-28.50561609|4.858713991|6.579492736000001|0.076041983|-0.022129285|-18.30276019|2.523263761|55.05332552|-1.017947119|41.15334508|-11.49234623|0.2573736219999999|0.751302315|4481.754309|15.47527339|0.011380391|711.8625758999999|480.9500663|5.910149982|1.0|1.0|0.0|3.76|2.8|0.35|17.0|-6.82|4.46|2.35|0.0|96.74|2.0|-3.93|24.0|-5.87|0.0|1.0|1.0|-4.31|0.000117|0.0372|0.0156|0.0|1.53e-07|4.86e-05|-0.02921|4.5454|3.4|4.5454|-994.237445|-994.2146342|560.87|272.77|0.6893600000000001|0.1694|3.1825|-0.21988|6.7423|6.7423
