molecula|NaaNH|n9FaRing|nARing|BCUTs-1|SaasN|SRW07|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|FPSA1|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
12u_a36|1|0|2|1.270259304|0.0|5.351858133|0.042560386|0.033763276|0.0042553209999999|-0.063855309|10.95266014|-0.010669561|1|0.005035022|0.055588998|-0.163978382|1|0.8101678720000001|-0.018047007|0.855176759|0|0.842227829|-0.07260571|0.3765068079999999|0.017639065|-50.53295452|12.27663887|86.1184622|0.157772171|-0.03452119|-46.98143813|8.544435884|5.944854912|-2.036750221|78.06218646|-24.02645378|0.22061252|0.946117173|6127.402572|30.82735404|0.015171583|1818.813889|799.5563855|10.55929252|1.0|1.0|2.0|5.05|0.0|0.24|17.0|-7.38|3.01|2.66|0.0|138.33|6.0|-4.95|32.0|-6.19|0.0|1.0|1.0|-4.86|1.13e-05|0.0047799999999999|0.00589|0.0|4.2e-08|1.7800000000000002e-05|-53.0|3.8847|4.21|3675.0|-1350.8981130000002|-1350.865506|739.12|337.37|0.70272|0.0176|5.8702|-0.20409|7.7959|7.7959
12b_a32|1|1|0|0.609420757|0.0|5.733341277|0.0388738739999999|-0.044307211|-0.003484915|-0.031446256|10.31100269|-0.053480599|3|-0.001662219|-0.079768013|-0.1534110109999999|0|0.838021287|-0.090027803|0.8887585240000001|1|0.782593|-0.081450418|0.2996018789999999|0.016282332|-50.88975159|10.17310723|90.57560878|0.217407|-0.027561517|-38.07076621|6.356098747000001|65.29222164|-1.267829764|76.65746734|-17.22027667|0.39579391|0.756331814|5653.268811|28.50066715|0.025166975|1311.0306890000002|557.1050635|15.72418067|1.0|1.0|2.0|3.47|2.9|0.26|19.0|-7.65|4.19|1.1|0.0|110.47|7.0|-5.9|27.0|-6.4|1.0|0.0|1.0|-4.43|1.27e-06|0.000505|0.0148|0.0|2.23e-08|8.86e-06|-0.05173|3.5703|4.12|3.5703|-1880.770588|-1880.732075|663.89|347.27|0.70258|0.2865|3208.0|-0.19976|7585.0|7585.0
13_a4|0|0|1|1.399843898|2.050136054|5.4161004020000005|0.044357639|-0.059300584|0.012994083|-0.14818661|10.94205723|-0.0963182119999999|1|0.012019888|-0.094404255|-0.025714912|1|0.744134785|-0.157188841|0.7986239909999999|0|0.970027005|-0.050017793|0.229685203|0.008746805|-24.48959182|4.282589756|11.85953992|0.029972995|-0.0279998139999999|-16.36114989|2.096831328|54.71349575|-1.091992764|37.12083496|-13.70920202|0.137460473|0.751144285|3983.972795|15.89399858|0.007566425|619.8659446|373.9073307|3.704655033|1.0|0.0|0.0|3.39|2.87|0.16|17.0|-6.2|4.15|2.9|0.0|90.06|2.0|-4.09|22.0|-5.39|0.0|1.0|1.0|-4.42|8.18e-05|0.0235|0.0108|0.0|6.28e-07|0.00018|-0.03168|4.4811|3.87|4.1733|-898.3562912999998|-898.3381672|536.09|297.09|0.59537|0.1282|2471.0|-0.20372|5.3979|5.3979
25b_a34|0|0|1|1.290860233|1.94553288|5.351858133|0.04037037|-0.150946163|-0.00378755|-0.112970844|10.95957635|-0.061390533|1|-0.000223677|-0.2360985169999999|-0.435821207|1|0.7969500890000001|-0.101529052|0.83883012|0|0.656573108|-0.1030760719999999|0.5020264870000001|0.030138301|-64.37123451|18.82143547|165.2408865|0.343426892|-0.042438204|-53.79083879|11.75402804|49.2835599|-2.206786613|98.0416108|-26.50275222|0.23725451|0.723855085|5786.015654|34.74652105|0.019067452|1806.819095|595.8522372|11.90766609|1.0|1.0|2.0|3.53|3.39|0.29|17.0|-6.42|3.03|1.56|0.0|108.21|7.0|-3.82|29.0|-7.07|0.0|0.0|0.0|-3.69|0.00015|59.0|0.0796|0.0|3.8100000000000004e-07|0.00015|-0.03539|4.2253|5.06|4.2253|-1313.388114|-1313.361559|668.48|293.43|0.6925600000000001|0.2259|7.0586|-0.21103|5.6819|5.6819
14n_a23|0|1|0|1.197963531|3.3716621960000004|5.351858133|0.045165485|0.079559363|0.010561248|-0.049694913|10.3132176|-0.059870135|2|0.010508236|0.144230149|-0.199540201|2|0.802854174|-0.099694124|0.861597051|1|0.89327435|-0.058928845|0.209387766|0.027028617|-39.82324087|18.26553926|97.93357279|0.10672565|-0.032325501|-37.64460956|12.34358104|97.39429807|-1.648600566|72.09248208|-21.84509525|0.313179459|0.885393105|6740.54932|31.80611809|0.0242495529999999|1622.112023|683.7405759|16.3874892|1.0|1.0|1.0|3.53|3.66|0.09|26.0|-7.51|4.03|2.72|1.0|126.78|6.0|-5.63|32.0|-6.47|0.0|0.0|0.0|-5.02|2.32e-06|0.0010199999999999|0.0042299999999999|0.0|3.11e-08|1.3699999999999998e-05|-0.06951|3.4217|3.23|3.4217|-1744.450916|-1744.42791|710.48|362.35|0.6955|0.4229|5.2196|-0.2077099999999999|9.2441|9.2441
6_a27|1|0|0|1.404458667|1.7996617540000002|4.727387819|0.042942943|-0.237047381|0.00526746|0.075248207|10.93737136|0.081320966|1|0.0058042269999999|-0.406859288|-0.179319226|2|0.787663648|0.1272522519999999|0.849515128|1|0.785047616|-0.0786267609999999|0.344065059|0.020552125|-38.92545695|10.17466399|125.8234721|0.214952384|-0.034625042|-22.06430895|5.03713293|61.10118428|-1.35037664|52.66373343|-17.14169035|0.2251796019999999|0.896201262|4761.820508|22.12343713|0.01635203|862.8140479|373.9912084|8.095338503999999|0.0|0.0|1.0|3.0|2.49|0.11|21.0|-6.67|2.79|2.42|0.0|92.65|2.0|-3.62|24.0|-6.55|0.0|1.0|1.0|-3.82|0.000242|0.0768|0.0485|0.0|2.16e-07|6.86e-05|-0.04793|5.5447|4.27|4.1391|-1043.831559|-1043.806618|526.9|299.55|0.61083|163.0|2.7521|-218.0|9.0|9.0
17_a3|0|0|0|0.605019885|0.0|4.727387819|0.047430556|-0.015463451|-0.007540435|-0.041723219|10.31163036|-0.0510707059999999|1|-0.006696449|-0.027542873|0.036673175|2|0.767641592|-0.085686119|0.838125715|1|0.803075623|-0.098658557|0.225087454|0.010321361|-50.20132919|5.251911643|234.4907116|0.1969243769999999|-0.039557272|-24.87357062|2.672377884|76.17242478|-1.344947254|55.39769571|-20.12828595|0.159937821|0.780420408|4839.543958|23.96047156|0.012803096|814.6560331000001|353.7528308|6.514715538|1.0|1.0|1.0|3.13|2.65|0.0|21.0|-7.48|4.66|2.37|0.0|95.5|2.0|-5.53|23.0|-5.61|0.0|0.0|1.0|-4.93|2.96e-06|1.0|0.00399|0.0|3.28e-08|1.11e-05|-0.0720399999999999|3.2102|3.57|3.2102|-1731.75233|-1731.72355|537.32|386.22|0.69481|0.4062|3.8077|-0.20359|7.6383|7.6383
13b_a5|1|0|1|1.338814635|0.0|5.209486153|0.02468599|-0.006314305|0.0064510459999999|-0.104404004|10.94530329|-0.017963913|1|0.0066003869999999|-0.010368468|-0.091464693|2|0.765309977|-0.0330907489999999|0.8184221559999999|0|0.831557236|-0.0694958329999999|0.468748106|0.0138892369999999|-44.93506461|8.980592802|14.41650822|0.168442764|-0.02636836|-31.23446039|5.806729729|46.77748445|-1.344786367|62.24204745|-17.04942469|0.345923611|0.837970799|5678.380299|26.06641209|0.021552174|1329.387016|638.8437454|13.93534415|1.0|1.0|1.0|2.97|2.64|0.17|23.0|-8.36|4.06|1.96|0.0|119.8|5.0|-4.24|30.0|-6.58|0.0|1.0|1.0|-4.43|5.69e-05|0.0225|0.0148|0.0|4.36e-09|1.72e-06|-0.05177|4.6733|4.66|4.1793|-1276.066049|-1276.030896|672.43|296.66|0.57482|0.3064|3.5881|-0.22451|6.9586|6.9586
4_a27|0|0|0|1.4008954130000002|3.294369174|4.727387819|0.0456410259999999|-0.273119343|0.00991794|0.13397347|10.93736915|-0.01660383|1|0.010329671|-0.459570857|-0.341622797|2|0.7853766809999999|-0.024800302|0.842039655|1|0.852604338|-0.057748369|0.3485918529999999|0.0201467639999999|-29.89961815|10.43112657|8.590238252999999|0.1473956619999999|-0.0281385239999999|-21.12083948|5.40078803|58.27512057|-1.181818|51.33640873|-14.56891559|0.317514326|0.799110312|4988.6278600000005|21.34684457|0.020363697|896.5674718|424.8821143|10.54344507|0.0|1.0|0.0|3.11|3.08|0.16|21.0|-6.22|2.8|2.66|0.0|97.55|2.0|-3.57|25.0|-6.51|0.0|1.0|1.0|-3.99|0.000266|0.0882|0.0339|0.0|6.04e-07|0.0002|-0.0449899999999999|5.5485|4.63|4.1288|-1083.138303|-1083.119531|555.75|300.29|0.6089899999999999|0.1741|2.7371|-0.21533|8.3979|8.3979
15b_a50|0|1|1|1.353059441|4.112770601|5.82008293|0.032843915|-0.103807905|0.004641091|-0.06083723|10.94501702|-0.124047802|2|0.005203263|-0.17223348|-0.2185722769999999|1|0.8259784720000001|-0.216393362|0.8833003970000001|1|0.8209134840000001|-0.082576068|0.447220762|0.020083792|-47.20879251|11.48191704|274.85729960000003|0.179086516|-0.028069672|-26.37622116|6.564219549|0.0|-1.291204916|60.03646705|-16.04745006|0.3609826579999999|0.919348867|5205.2135960000005|25.11269883|0.024313507|1155.184146|510.3677388|13.90004811|1.0|1.0|1.0|3.56|2.11|0.19|20.0|-5.72|3.26|1.66|0.0|105.46|5.0|-3.18|27.0|-6.98|0.0|1.0|1.0|-3.6|0.000654|0.2339999999999999|0.0891|0.0|1.92e-06|0.000687|-0.0333399999999999|4.0561|2.08|4.0561|-1160.4989460000002|-1160.463663|613.37|305.67|0.65917|0.1796|6.9054|-0.20071|7.1024|7.1024
17_a47|1|1|0|1.4168589319999998|0.0|4.59511985|0.031802469|-0.105849578|0.0042378929999999|0.075303828|10.9385382|-0.006331624|1|0.004477366|-0.180898239|-0.031505291|3|0.75807704|-0.010871607|0.814790949|1|0.852282407|-0.07185129|0.522140199|0.01291694|-43.82821253|7.87914003|68.64478326|0.147717593|-0.02987808|-30.88080199|4.806157636|0.0|-1.493904005|60.33408274|-18.22518223|0.2542482339999999|0.8569074879999999|5854.9736840000005|24.43867122|0.0159160889999999|1221.9335609999998|630.8611986000001|9.708576558|1.0|1.0|2.0|3.44|2.39|0.08|27.0|-10.1|5.44|2.26|0.0|119.83|4.0|-5.4|30.0|-5.83|0.0|0.0|1.0|-5.21|3.98e-06|0.00156|0.0024|0.0|7.96e-11|3.12e-08|-0.04873|4.2784|3.07|4.2784|-1254.985125|-1254.943823|656.78|289.79|0.6844100000000001|0.4308|3.4454|-0.22479|8.3|8.3
15a_a22|0|0|0|1.4229176680000002|1.646649187|4.727387819|0.038167849|0.021482585|0.005288335|-0.057308195|10.9464374|-0.015194063|1|0.005757758|0.036467904|-0.165471815|2|0.7392451729999999|-0.027029438|0.794858486|1|0.86664032|-0.061755825|0.410151945|0.02126757|-41.92018177|14.43653926|96.58317516|0.13335968|-0.031425179|-37.6479704|9.799599501|65.53409434|-1.634109304|70.12529157|-21.33157831|0.297264929|0.800725296|6322.278103000001|30.3550786|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|3.42|2.86|0.08|27.0|-9.21|4.31|1.73|0.0|124.05|6.0|-4.65|32.0|-6.61|0.0|0.0|1.0|-4.68|2.25e-05|0.00945|0.00881|0.0|6.1e-10|2.56e-07|-0.0600399999999999|5.0577|4.98|3.6496|-1368.35331|-1368.321775|696.57|339.72|0.69076|0.0955|5.2588|-0.21285|6.8447|6.8447
33_a20|0|0|0|1.4175014119999998|1.915285809|4.727387819|0.0388043479999999|0.148855442|0.009265667|-0.061975089|10.93244905|-0.062750442|1|0.008780074|0.248715569|-0.060582944|2|0.74131936|-0.10978034|0.802353442|1|0.9493896|-0.058927252|0.399354817|0.012738882|-38.58254635|8.340767701|8.680600701|0.0506104|-0.0265385579999999|-29.9394021|5.46110745|64.93395624|-1.326927921|54.60811436|-17.37608867|0.240643818|0.8721516570000001|5916.443448|22.88265911|0.013564844|1144.132956|664.4562602999999|8.881565237|1.0|1.0|0.0|3.39|3.59|0.08|27.0|-9.69|5.39|2.61|0.0|121.62|4.0|-5.6|31.0|-5.58|0.0|0.0|1.0|-5.53|2.48e-06|0.000997|0.0012|0.0|2.04e-10|8.199999999999999e-08|-0.0582899999999999|5443.0|4.07|3.8867|-1275.852801|-1275.823229|689.51|318.99|0.6129|0.0463|3.5714|-0.21788|7.4685|7.4685
1i_a5|1|0|0|1.219028472|0.0|4.59511985|0.0253888889999999|0.018196138|-0.0012491689999999|-0.174016111|10.94550053|-0.003198529|1|-0.000700145|0.059972925|0.004923698|2|0.780175595|-0.00496377|0.8436458929999999|0|0.8876055620000001|-0.091178745|0.4729402929999999|0.008291428|-50.81756452|4.621144795|201.1526326|0.112394438|-0.03570792|-26.09853285|2.575548983|0.213644964|-1.428316788|57.78921354|-19.90145306|0.240540403|0.8858245220000001|5432.586961|26.20475553|0.0196689|1048.190221|403.396385|10.96226516|1.0|1.0|1.0|2.83|2.04|0.05|23.0|-8.88|6.37|2.73|0.0|95.49|4.0|-4.79|27.0|-5.73|1.0|0.0|1.0|-4.97|1.6100000000000002e-05|0.00589|0.00396|0.0|1.3300000000000002e-09|4.86e-07|-0.05729|4.7243|3.58|4.3799|-1288.356212|-1288.322373|569.42|283.08|0.50107|0.0207|2.6336|-0.23674|7.6198|7.6198
12d_a40|0|0|0|0.60499064|1.753432382|5.4161004020000005|0.043185185|0.209157499|-0.000134504|0.087954209|10.31197256|-0.166080871|2|-0.002126898|0.3683138529999999|0.224167029|0|0.7769829840000001|-0.254735308|0.845904643|1|0.840431415|-0.095675903|0.0913543|0.01171131|-50.68561427|6.204226377|207.39648|0.159568585|-0.038873458|-25.71599691|3.286773518|60.80168183|-1.282824111|55.13932669|-20.59374436|0.155716451|0.8899787840000001|5101.479206|24.39197636|0.01245259|804.9352200000001|350.9435025|6.596929268999999|1.0|1.0|1.0|3.23|2.94|0.0|20.0|-6.84|5.02|3.76|1.0|96.16|2.0|-6.25|23.0|-5.13|0.0|0.0|1.0|-5.58|5.58e-07|0.0002009999999999|0.000942|0.0|1.44e-07|5.2e-05|-0.07765|4.3959|4.14|2.7962|-2153.197255|-2153.180821|552.57|443.4|0.70435|115.0|1.2683|-0.19369|7.7212|7.7212
19_a15|0|0|0|0.300209223|0.0|0.0|0.040555556|0.037722611|-0.012350591|-0.04003124|10.31928434|-0.032407407|0|-0.00534669|0.060683674|-0.045543362|1|0.722297906|-0.048611111|0.770451673|0|0.691069123|-0.0946599869999999|0.355677322|0.00527267|-54.70558911|3.04716388|61.63983265|0.308930877|-0.042351319|-37.44217335|1.761006946|15.76831619|-1.905809364|68.10965742|-24.47553536|0.077864438|0.681885245|5417.777463|26.54223128|0.005747326|1194.400408|490.1808545|3.321475588|0.0|1.0|2.0|2.99|2.17|0.11|18.0|-7.14|4.96|1.64|0.0|101.22|5.0|-5.12|26.0|-6.22|0.0|0.0|1.0|-4.39|7.56e-06|0.00279|0.0152|0.0|7.28e-08|2.69e-05|-0.0372399999999999|4.1742|7.53|4.1742|-1523.404372|-1523.361214|601.23|297.03|0.68945|0.4895|6.7515|-0.20742|7.1427|7.1427
5_a47|0|0|0|1.304329328|0.0|0.0|0.037492877|0.003858593|-0.012670377|-0.002627182|10.9367109|0.045246333|0|-0.011237954|0.0083528919999999|-0.0428873159999999|2|0.795032176|0.0743193|0.861595935|1|0.807957755|-0.087763105|0.526509524|0.009936558|-46.33853208|5.246458665|104.9032216|0.192042245|-0.038537768|-27.93318665|2.770107005|0.0|-1.502972943|62.14504725|-20.34777119|0.218428796|0.8997183470000001|5501.708422|26.03444329|0.017501741|1015.343288|416.1194472|9.240842159|1.0|1.0|2.0|2.67|2.79|0.0|22.0|-8.68|5.96|3.26|0.0|101.51|3.0|-5.65|26.0|-5.19|1.0|0.0|1.0|-5.5|2.25e-06|0.000824|0.00116|0.0|2.07e-09|7.590000000000001e-07|-0.05535|3.7083|4.37|3.7083|-1569.369195|-1569.333281|561.61|334.35|0.69291|0.2108|2.9121|-0.20954|7.7|7.7
4k_a46|0|0|1|1.134637098|2.145043462|5.587248657999999|0.0510113959999999|-0.104665424|0.006550513|-0.1149361969999999|10.94631314|-0.1032662209999999|1|0.006050983|-0.158788415|0.012963356|1|0.7477594870000001|-0.141706595|0.787615341|0|0.8789113709999999|-0.091943864|0.260665072|0.007038271|-49.65634024|3.801175594|171.92614719999997|0.121088629|-0.0306644389999999|-25.25406274|2.052909907|0.0|-1.471893066|50.48291318|-16.56101615|0.126761926|0.7163519709999999|4685.0322320000005|18.96506421|0.006892404|910.3230822|519.5743695|3.722397006000001|1.0|1.0|1.0|3.8|3.03|0.33|17.0|-6.61|4.77|2.84|0.0|100.96|2.0|-4.82|25.0|-5.46|0.0|1.0|1.0|-4.83|1.5e-05|5.0|0.0049299999999999|0.0|2.48e-07|8.28e-05|-0.01712|5.4228|4.52|4.4485|-1053.433249|-1053.396715|582.84|278.71|0.68553|0.1505|4.0015|-0.20254|7.0969|7.0969
12a_a50|0|1|1|1.397770359|4.075037557|5.82008293|0.034845679|-0.111689174|0.01164808|0.014596049|10.94501645|-0.122912558|2|0.011790103|-0.193999688|-0.291865836|1|0.795582575|-0.2018898489999999|0.862192416|1|0.904119689|-0.05075501|0.29507467|0.021013336|-25.57033815|10.58650394|7.457998037999999|0.095880311|-0.02383238|-16.85074424|5.333473207|69.83817338|-0.929462803|47.2792242|-12.00673599|0.4247810279999999|0.885635975|4665.239724|20.873331|0.027455156|814.0599092|388.171611|13.83188822|1.0|1.0|0.0|3.3|2.21|0.11|20.0|-5.49|3.42|2.02|0.0|94.69|2.0|-3.16|24.0|-6.44|0.0|1.0|1.0|-3.84|0.000685|215.0|45.0|0.0|3.22e-06|0.00101|-0.03366|4.0783|2.47|4.0783|-1006.659456|-1006.632973|545.54|304.01|0.65267|0.1807|5.7662|-0.20172|7.1249|7.1249
18d_a30|0|0|2|0.6049874|0.0|5.351858133|0.040899471|-0.071608958|0.001139238|-0.053728319|10.31163881|-0.087019298|1|0.002064369|-0.159104532|-0.120380857|1|0.815003426|-0.149451598|0.870930234|0|0.803280262|-0.07812727|0.346980269|0.017843227|-49.44608411|11.29282624|78.23108693|0.196719738|-0.037906966|-41.33339749|7.147133584|0.0|-1.85744132|75.80070349|-23.99099587|0.216715605|0.797831306|6367.958933|30.62871675|0.016577694|1500.807121|618.6004214|10.49188139|1.0|0.0|1.0|4.75|0.0|0.14|17.0|-6.9|3.18|3.2|0.0|127.24|5.0|-5.39|30.0|-6.02|0.0|0.0|0.0|-5.01|4.12e-06|0.00171|0.00405|0.0|1.26e-07|5.260000000000001e-05|-0.05506|5.0125|4.07|3.4682|-1675.020297|-1674.987709|669.66|357.49|0.69017|0.3788|5.0115|-0.19673|7.6737|7.6737
12ag_a36|1|0|2|1.297044434|0.0|5.351858133|0.043848238|0.063109409|-0.002526241|0.0070889269999999|10.96052849|-0.050147748|1|-0.000673716|0.135431487|-0.217394466|1|0.835013502|-0.0861053359999999|0.8910146309999999|0|0.7468300940000001|-0.082492792|0.26896187|0.020136392|-52.02834065|12.70005599|85.84609192|0.253169906|-0.038937089|-43.02381535|8.009946323|0.0|-1.946854457|80.40643223|-24.55768654|0.2411026289999999|0.927847116|5906.879919|32.35969377|0.019328689|1617.984688|595.8790650000001|12.1906363|1.0|0.0|2.0|4.72|0.0|0.14|17.0|-6.86|2.44|2.4|0.0|123.71|5.0|-3.89|30.0|-6.76|0.0|1.0|0.0|-4.16|0.000129|0.0515|0.0278|0.0|1.4e-07|5.58e-05|-0.05486|3.8893|3.41|3.7117|-1332.185403|-1332.151245|658.68|334.04|0.7024699999999999|0.0191|5.4459|-0.20713|7.7696|7.7696
5d_a40|0|0|1|0.6049133329999999|1.601200869|6.167516491000001|0.044526749|-0.1031436519999999|0.007200253|0.2078052269999999|10.31198333|0.029272031|2|0.006642869|-0.259985037|-0.009744685|0|0.8092726020000001|0.0451110059999999|0.877722972|1|0.754010052|-0.086193996|0.049855551|0.022027556|-39.55506228|10.10860823|181.4728912|0.245989948|-0.0377110779999999|-19.85450535|4.638915105|53.85026982|-1.131332331|49.97858532|-17.30589257|0.188819426|0.922825231|4051.712713|21.3342049|0.014630084|640.0261471|243.4287716|6.713853887999999|0.0|0.0|0.0|3.02|2.56|0.21|14.0|-4.32|3.64|2.25|1.0|74.11|3.0|-4.23|20.0|-5.94|0.0|1.0|1.0|-3.82|5.9e-05|17.0|0.0436|0.0|4.7600000000000005e-05|0.0137|-0.06796|3.7374|4.61|3.7374|-1276.833831|-1276.817151|473.48|331.74|0.69613|0.4493|7.0422|-0.2164699999999999|7.7212|7.7212
1a_a18 (SB-431542)|1|0|1|1.430935835|0.0|5.351858133|0.035620155|0.1008839219999999|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|-0.008385698|0.164429684|-0.033765606|1|0.7462411859999999|-0.083341531|0.805877431|0|0.5940412860000001|-0.126408788|0.210046675|0.033020439|-74.98172333|19.58668728|160.410387|0.405958714|-0.0462988229999999|-43.12110169|11.61820782|105.3125675|-2.083447046|87.15852628|-27.46300805|0.2468003389999999|0.895533283|5748.422847|36.46179023|0.02438148|1640.78056|513.4628663999999|14.4623285|1.0|1.0|2.0|3.25|2.35|0.05|23.0|-7.69|3.63|1.54|0.0|106.85|4.0|-4.52|29.0|-6.73|0.0|0.0|1.0|-4.25|3.03e-05|0.0116|0.0218|0.0|2.03e-08|7.81e-06|-0.05971|3.8208|4.57|3295.0|-1292.588031|-1292.553086|620.23|376.27|0.69868|0.3347|5.9926|-193.0|6.9031|6.9031
8_a47|0|0|1|1.24688044|0.0|5.476463552|0.0363475179999999|-0.087101663|-0.008756|-0.153669322|10.93671024|-0.14203855|0|-0.007648516|-0.177626636|-0.003223628|2|0.7847248109999999|-0.223459904|0.842571655|1|0.8497568740000001|-0.075955381|0.517797505|0.008687692|-44.09728708|5.043798869|90.32612351|0.150243126|-0.035797309|-30.83488674|2.928269795|0.0|-1.646676195|60.62152862|-20.78278301|0.180297967|0.707366287|6219.278078|25.35407034|0.012935553|1166.287236|559.4973856|7.509972037000001|1.0|1.0|2.0|3.02|3.21|0.13|22.0|-9.25|6.77|3.9|0.0|113.97|4.0|-6.59|29.0|-4.79|1.0|0.0|1.0|-6.19|2.56e-07|0.000104|0.000263|0.0|5.62e-10|2.28e-07|-0.05495|3.6696|4.91|3.6696|-1686.068471|-1686.0356350000002|621.06|337.87|0.6877800000000001|0.2249|3585.0|-0.2085199999999999|7.3|7.3
6b_a40|0|0|2|0.604892326|1.710647518|6.401917197|0.039863946|-0.137534783|-0.003851208|0.0986825569999999|10.30179924|-0.226457281|2|-0.004728928|-0.248560671|-0.033583055|0|0.842573207|-0.307881994|0.90571269|1|0.753431574|-0.107699967|0.417254814|0.014588568|-72.13527644|9.771129787|176.8246355|0.246568426|-0.049599889|-53.15460718|6.544506614|34.43877986|-2.132795227|87.29061302|-33.22101012|0.1218592019999999|0.793750992|8482.600495|37.83107469|0.011838681|1626.736212|618.8882797|7.929311055|0.0|1.0|1.0|4.02|3.36|0.21|14.0|-5.21|4.38|2.61|2.0|130.16|5.0|-8.41|31.0|-5.85|1.0|0.0|1.0|-6.18|3.86e-09|1.98e-06|0.000335|1.0|6.21e-06|0.00318|-0.09533|3.1026|8.98|3.1026|-3290.775349|-3290.745084|687.2|399.62|0.69429|0.4962|8193.0|-0.21904|7.5229|7.5229
IN1166_a11|1|0|0|1.429020445|0.0|4.727387819|0.044021739|0.018376555|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|-0.001446486|0.032420935|-0.223618825|2|0.765593573|-0.067328767|0.827254552|1|0.863273559|-0.073965061|0.551933595|0.0200246639999999|-51.07061499|13.82641888|112.0066065|0.136726441|-0.031642539|-42.74230509|9.546719887|20.83871871|-1.6137695069999998|76.76995134|-21.84820685|0.305697179|0.8639230290000001|6310.825439|31.46783535|0.021531291|1604.859603|676.2770877|14.86669859|1.0|1.0|2.0|3.51|2.79|0.08|27.0|-10.18|4.53|0.92|0.0|123.82|5.0|-5.11|32.0|-6.52|0.0|0.0|1.0|-4.78|7.74e-06|0.00323|0.00688|0.0|6.59e-11|2.75e-08|-0.07275|4.9857|3.36|3.2827|-1347.298558|-1347.256659|704.48|377.7|0.6998300000000001|0.1239|3365.0|-0.21098|7.9318|7.9318
2_a4|0|0|1|1.189716144|0.0|4.59511985|0.037777778|0.08246129|-0.001386521|0.090707854|10.95268469|0.076479666|0|-0.0016168089999999|0.127695325|0.228655117|1|0.802438682|0.1355918559999999|0.847373823|0|0.742518847|-0.117395215|0.442778552|0.006330673|-49.45826819|2.667094277|166.102249|0.257481153|-0.0379537729999999|-18.65482233|1.123639184|0.0|-1.366335816|48.93681624|-15.98981578|0.156892292|0.656126301|3396.86527|18.96532986|0.011054731|682.7518749|284.26458360000004|4.657326379|1.0|0.0|2.0|3.33|0.0|0.27|12.0|-4.83|0.83|1.63|0.0|79.59|2.0|-2.18|19.0|-6.69|0.0|1.0|0.0|-2.77|0.0066|1.67|434.0|0.0|1.4800000000000002e-05|0.00374|-0.01612|5.8961|2.46|3.2230000000000003|-819.9326497000001|-819.8996124|458.73|384.69|0.6885600000000001|0.0008|1.7717|-0.16226|7.5086|7.5086
12y_a30|0|0|2|0.604984019|0.0|5.351858133|0.044197531|-0.089502772|0.00604028|0.061944378|10.31162818|-0.058184644|1|0.006346396|-0.153680104|-0.0922059569999999|1|0.768409873|-0.095969764|0.8146529229999999|0|0.8489185109999999|-0.070903795|0.374181804|0.0149823289999999|-47.598277|10.05775555|85.17057711|0.151081489|-0.034840345|-41.1215369|6.751850651|0.0|-1.91621895|69.55490151|-23.38859815|0.179891855|0.804154433|6301.067405|28.51891948|0.012362508|1568.540572|754.3941655|8.299049218|1.0|0.0|1.0|4.86|0.0|0.21|17.0|-7.38|3.23|3.25|0.0|137.21|5.0|-6.04|31.0|-5.64|0.0|0.0|0.0|-5.46|9.14e-07|0.00039|0.00148|0.0|4.12e-08|1.76e-05|-0.05065|5.1973|4.45|3.4718|-1654.41361|-1654.382468|728.75|357.11|0.6864399999999999|0.1489|4.7043|-0.19815|7.6576|7.6576
