molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|AATSC1s|MATS7i|SaaaC|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
12c_a5|1|0|0|2.977832018|0.0|0|1|1|1.236775191|0.020594766|-0.086795626|0.0|-0.096073591|1|0.00586291|-0.1386392109999999|-0.01261147|-0.223631474|2|0.014673577|0.782051277|0|0.841092921|-0.066083881|0.016374249|-46.62294305|10.77147171|143.44655559999998|104.5338363|-0.022421317|7.085796743|0.583585895|-1.25559373|-30.6699685|59.40070647|-14.74941369|57.39441476|0.4609383929999999|553.2961182|-825.9671665|2045.184304|0.416414105|13.53008071|0.855075538|5877.765289|-543.3459436|25.27376659|0.024214085|735.3048881|0.0|1.0|1.0|0.24|23.0|5.03|4.32|1.57|1.0|0.0|121.26|0.0|1.0|-4.09|411.5|0.0|3.31|-4.33|8.159999999999999e-05|0.0336|2.84|0.0|2.03e-07|-0.04565|4.6671|4.0116|-1316.542713|-1316.5202869999998|694.24|309.06|0.1513|0.52074|0.6893600000000001|-1316.244961|105.0|-0.16563|3.0135|-0.21128|3.5993|47.0|7.3279
9i_a40|0|0|0|0.0|0.0|1|0|0|0.604992808|-0.105556952|0.187127708|0.891973262|0.201624407|2|0.004019925|0.333430103|0.105172175|-0.542471361|0|-0.28972973|0.7947633409999999|1|0.830980762|-0.088485615|0.011010661|-46.80087537|5.548036224|213.7117392|85.16517222|-0.036869006|2.795536563|0.8590224540000001|-1.327284222|-23.58195819|49.81256531|-18.57750214|52.34891159|0.477626156|418.7133986|-668.7900768999999|335.9672843|0.140977546|14.74203307|0.91433781|4201.058793|-336.98898810000003|21.62632891|0.010372658|351.4600612|1.0|1.0|1.0|0.06|20.0|3.84|4.02|2.99|1.0|1.0|91.11|0.0|1.0|-5.32|306.38|1.0|3.52|-4.71|4.79e-06|0.00147|3.85|0.0|0.000285|-0.05989|4.3611|2.8936|-1273.334714|-1273.31399|534.44|428.48|0.5012|0.56118|0.70339|-1273.167389|0.3362|-0.11967|2.0895|-0.17956|2.7887|1.25|5.9031
14t_a23|0|1|1|0.0|0.0|2|0|0|1.197962538|-0.024472753|0.073534004|0.758345646|-0.041339801|2|0.01180744|0.134446672|-0.074441567|-0.4515027279999999|2|-0.152771194|0.6906097959999999|1|0.920956836|-0.079253435|0.017433037|-36.09926385|11.36130649|36.6149406|51.51331913|-0.033286443|7.404291213|0.799945841|-1.6643221380000002|-23.52629623|61.0040156|-21.69314909|47.46057034|0.465981891|600.1979272000001|-1084.657455|2286.063655|0.2000541589999999|14.13931199|0.872595673|6523.656379|-706.8834616|27.11827225|0.014352462|666.0036144999999|1.0|1.0|1.0|0.09|26.0|3.88|4.33|3.24|2.0|1.0|125.25|0.0|1.0|-5.85|425.51|0.0|3.78|-5.25|1.43e-06|0.000608|3.94|0.0|7.03e-06|-0.06666|3.9855|3.2060000000000004|-1669.240512|-1669.21916|692.08|386.72|0.2061|0.5824199999999999|0.68886|-1668.980578|0.0003|-0.15625|5.8672|-0.22291|8.3062|4.0|8.3979
3c_a32|1|1|1|3.452148526|0.0|0|0|0|0.6094207970000001|-0.048337951|-0.0522536959999999|2.224112182|-0.113334836|3|0.00124359|-0.097512832|-0.0779821129999999|-0.5427297289999999|0|-0.019130435|0.774363061|1|0.888766719|-0.0943910459999999|0.015118975|-34.91603827|7.772301225|59.72163595|57.18235134|-0.0288417079999999|3.995552912|0.693952122|-1.038301506|-17.94949454|57.94025396|-14.82682786|42.68833949|0.423167668|456.8935699|-533.7658031000001|1393.156794|0.306047878|9.717148607|0.733606015|4598.027604999999|-274.3961469|21.36577928|0.018316536|370.5811396|1.0|1.0|1.0|0.19|19.0|6.61|4.68|1.7|1.0|0.0|93.05|0.0|1.0|-6.18|326.44|1.0|4.02|-4.91|6.65e-07|0.000217|4.14|0.0|4.18e-05|-0.05487|3.5169|3.5169|-1633.443791|-1633.419633|544.22|352.54|0.5017|0.7034600000000001|0.7034600000000001|-1633.297494|0.5017|-0.14219|3123.0|-0.1970599999999999|5.0659|9.0|8.0458
4j_a46|0|0|0|0.0|0.19521727|1|1|1|1.134637093|-0.012405467|-0.0529855709999999|0.0|-0.1051618459999999|1|0.011684396|-0.078783783|-0.0589746909999999|-0.226712003|1|-0.258222236|0.728293097|0|0.949893337|-0.074417476|0.01492164|-34.99059698|8.812983129|70.56141095|29.59387777|-0.024805825|5.205103062|0.776932317|-1.339514565|-20.66606288|50.26191521|-14.65075732|43.80358011|0.402450715|561.0237355|-791.1408955|2563.282153|0.223067683|10.49957018|0.673502127|5077.124695|-467.2617475|18.85718615|0.0106831269999999|642.1335502000001|1.0|1.0|1.0|0.39|17.0|5.18|5.33|3.28|2.0|0.0|110.24|0.0|1.0|-5.38|361.48|1.0|4.5|-5.31|4.16e-06|0.0015|4.81|0.0|7.33e-06|-0.01684|5.3949|4.4093|-1132.043677|-1132.018764|646.67|281.19|0.2783|0.37853|0.69413|-1131.761156|0.1418|-0.18387|2.9043|-0.20071|3.8105|805.0|6.0942
14e_a23|0|1|1|0.0|-4.45581912|2|0|0|1.197957573|-0.272389934|0.023369734|0.650989437|0.021081733|2|0.001951778|0.072830644|-0.07256543|-0.5232404310000001|2|-0.014216155|0.5415996160000001|1|0.925392058|-0.089453046|0.018022127|-51.07141556|12.5437807|48.244071000000005|51.92870134|-0.03935934|8.73073591|0.796525872|-1.96796702|-35.54678231|74.75779594|-27.39493099|63.61519626|0.49543439|644.0923882999999|-1369.74655|2428.874279|0.203474128|15.89643482|0.981902808|7663.17288|-953.3724859|34.39302091|0.017954325|658.8108151|1.0|1.0|1.0|0.09|26.0|4.42|6.19|3.82|2.0|1.0|125.29|0.0|1.0|-6.38|479.48|0.0|4.5|-5.79|4.1200000000000004e-07|0.000198|4.46|0.0|2.85e-06|-0.08122|3.7033|3.7033|-1966.96594|-1966.943431|706.39|334.8|0.3178|0.63922|0.63922|-1966.720803|0.3178|-153.0|3.7696|-0.2342199999999999|5.5469|3.0|8.5214
13k_a6|1|0|0|3.423411754|0.0|0|1|1|1.42421381|-0.132667824|0.051404465|0.0|0.0809333929999999|1|-0.006280295|0.08217847|-0.045794891|-0.5627624379999999|1|-0.123105035|0.827754203|0|0.641032542|-0.127178105|0.0296987679999999|-82.8774254|20.6185734|183.1261118|249.215618|-0.045420752|14.31458589|0.7971316940000001|-2.543562101|-57.53822059|100.7779947|-31.53366823|103.4959988|0.426031882|445.0412356000001|-1765.8854210000002|3332.974951|0.202868306|14.58291125|0.7422570490000001|6492.211639|-1225.9780560000002|39.55891914|0.017981419|741.5222707|1.0|1.0|1.0|0.16|23.0|4.55|3.8|1.39|1.0|0.0|124.98|0.0|1.0|-5.49|441.48|1.0|3.18|-4.77|3.26e-06|0.00144|3.39|0.0|5.7e-07|-0.04851|5112.0|3.5476|-1465.862962|-1465.83213|731.25|349.49|0.3971|0.4547|0.70536|-1465.557346|0.0137|-0.14589|8.1639|-0.1944|10.5079|46.0|7.3372
47t_a18|0|0|0|0.0|0.0|0|1|1|1.25117758|-0.161517185|0.018018036|0.0|-0.011641394|0|-0.004985656|0.027313444|-0.068787175|-0.600890268|0|-0.074774521|0.688453085|0|0.67203319|-0.103295568|0.014067024|-79.78154029|9.415011332|280.622476|219.5070758|-0.040580402|6.301435212|0.804531523|-2.272502492|-53.39751484|80.00407742|-27.16032544|89.19655162|0.49779009|449.789539|-1520.978225|1326.524873|0.195468477|17.48280476|0.991199259|6603.597038|-1017.985577|33.75918118|0.016238994|747.6927426|0.0|1.0|0.0|0.15|18.0|2.6|2.93|1.64|2.0|1.0|129.21|0.0|1.0|-5.58|441.48|0.0|2.15|-4.77|2.65e-06|0.00117|3.57|0.0|1.36e-05|-0.06822|3.1164|3.1164|-1470.873743|-1470.836067|703.76|397.84|0.5502|0.6895100000000001|0.6895100000000001|-1470.528808|0.5502|-0.12692|7.7656|-0.19514|9.6938|782.0|6.1068
8a_a32|1|1|1|3.217128449|0.0|0|0|0|0.609420757|-0.056633919|-0.0281981579999999|2.059960334|-0.020716518|3|-0.001662219|-0.050766252|-0.0852122769999999|-0.591393096|0|-0.2166242669999999|0.7507116140000001|1|0.814553726|-0.109412858|0.018321589|-52.34893512|11.48993376|73.64907732|116.298071|-0.035678106|7.205629442999999|0.7490845290000001|-1.641192863|-32.82934751|79.73671389|-22.37464674|63.83886888|0.480024324|510.8273411|-1029.23375|3312.822051|0.250915471|14.26997798|0.923166883|5659.295213|-645.4586397|29.86932167|0.017733503|557.1050635|1.0|1.0|1.0|0.26|19.0|6.49|4.65|1.37|2.0|0.0|110.69|1.0|1.0|-6.82|397.52|1.0|4.07|-4.99|1.5199999999999998e-07|6.03e-05|4.17|0.0|8.86e-06|-0.06166|3562.0|3562.0|-1880.767206|-1880.732222|667.29|348.07|0.4315|0.70316|0.70316|-1880.536478|0.4315|-0.1445|4.8933|-0.2061599999999999|7.6703|45.0|7.3468
14ad_a23|0|1|1|0.0|0.0|2|0|0|1.197962774|-0.028065075|0.118047355|0.735584095|-0.05348283|2|0.009675528|0.2086248289999999|-0.143336826|-0.376350719|2|-0.050707765|0.7317531540000001|1|0.887131635|-0.085840335|0.033831691|-42.29008971|24.18091285|52.63180108|80.67170209999999|-0.029653934|17.28310144|0.575880959|-1.630966366|-30.226481300000003|85.20135045|-21.19489662|66.47100256|0.46995189|634.0697778|-1165.7193140000002|2339.533586|0.424119041|16.34071148|0.8866211979999999|7308.229822|-833.1879476|36.80430179|0.033365494|770.8206617000001|1.0|1.0|1.0|0.12|26.0|3.48|4.03|2.42|2.0|1.0|133.27|0.0|1.0|-5.8|471.53|0.0|3.39|-5.08|1.6e-06|0.000753|3.52|0.0|1.17e-05|-0.06925|3.3867|3.3867|-1858.957788|-1858.942973|747.83|366.09|0.4106|0.6956600000000001|0.6956600000000001|-1858.668058|0.4106|-0.13734|5.2331|-0.20659|6.7584|4.0|8.3595
9s_a24|1|0|0|2.9568988810000003|0.0|0|1|1|1.4275963180000002|-0.00570386|-0.050919714|0.0|-0.060407836|1|0.007695726|-0.0897306019999999|-0.204128966|-0.248704391|3|0.0256742079999999|0.748077475|0|0.8833498320000001|-0.063587778|0.016792118|-30.93968263|10.42725806|33.24649431|72.43525688|-0.019465646|6.474925237000001|0.445160769|-0.953816666|-19.21235005|61.19761205|-12.08741583|41.36694069|0.47085169|548.5261887|-592.2833757999999|969.5210193|0.554839231|17.24354813|0.889829339|5767.9102490000005|-367.7851412|27.15292246|0.03496522|604.8829955|1.0|1.0|1.0|0.04|29.0|3.15|4.29|0.81|1.0|0.0|115.67|0.0|1.0|-3.36|393.44|0.0|2.63|-4.06|0.000434|171.0|2.11|0.0|3.04e-06|-0.03597|3.0726|2.6707|-1271.031372|-1270.994965|654.28|464.24|0.5112|0.69475|0.6907300000000001|-1270.738032|0.0839|-0.10865|4.6141|-0.14462|7.0312|32.0|7.4949
6_a15|0|0|0|0.0|0.0|0|0|0|1.419941278|-0.048804012|0.106485923|0.0|0.011857945|0|0.003942615|0.153430865|-0.195267558|-0.35221474|1|-0.015484797|0.810779115|0|0.859308431|-0.123000073|0.02948637|-41.14459066|17.20414198|105.4415725|82.0880213|-0.0307500179999999|10.03794313|0.581974721|-1.599000943|-24.00625743|88.94853813|-17.94143141|58.34873264|0.3902945579999999|501.3728188|-932.9544335|1971.005637|0.4180252789999999|10.02135591|0.640136254|5589.043165|-544.3423775|30.82854077|0.029449813|592.4420375|1.0|0.0|1.0|0.23|18.0|4.43|5.26|2.18|2.0|0.0|109.7|0.0|1.0|-5.66|380.44|1.0|4.11|-5.14|2.16e-06|0.000823|4.64|0.0|4.3e-06|-0.02419|4.3423|3.7696|-1263.0243449999998|-1263.0072300000002|612.22|328.9|0.2616|0.65191|0.70554|-1262.75978|0.0113|-0.15714|1.3789|-0.18133|1.9421|35.0|7.4559
11b_a5|1|0|0|2.943854668|0.0|0|0|0|1.277648917|0.008093965|-0.067519041|0.0|-0.118167947|1|0.005685558|-0.108457009|-0.0109928619999999|-0.252164213|2|-0.106187688|0.682032125|0|0.8737310509999999|-0.080664777|0.016373566|-45.82509318|9.829471091|55.25128526|75.80248447|-0.029332646|5.900883275|0.66824472|-1.290636432|-27.50997723|62.16286481|-17.60913884|55.65456427|0.456131351|524.5231302|-774.8021092|913.0178976|0.33175528|16.43091298|0.83867925|5107.577902|-465.13355250000006|26.35133256|0.0228838029999999|504.9898148|1.0|1.0|1.0|0.1|23.0|5.38|4.82|2.01|2.0|1.0|106.58|0.0|1.0|-4.65|376.84|1.0|3.68|-4.69|2.26e-05|0.00853|3.62|0.0|2.68e-07|-0.0418399999999999|4.4995|4.1982|-1564.761898|-1564.72614|635.55|295.32|0.5806|0.61027|0.6284|-1564.56504|0.2013|-0.17107|1.9569|-0.21291|2.8531|19.0|7.7212
47f_a18|0|0|0|0.0|0.0|0|1|1|1.251175676|-0.034211867|-0.048472184|0.0|0.033759227|0|0.00531392|-0.071877686|-0.264839041|-0.4138670829999999|0|-0.014370598|0.745431271|0|0.838156881|-0.084851044|0.0138461289999999|-54.18475173|11.75478965|111.1889928|137.3980967|-0.0289997239999999|9.979328976|0.726550657|-2.290978185|-46.00060733|86.11217859|-24.61956302|65.93954138|0.483843526|711.5604361000001|-1944.945479|2343.062749|0.273449343|20.44855806|0.937396993|7870.103594|-1651.17806|33.88554232|0.016581683|1347.416568|0.0|1.0|1.0|0.34|18.0|3.22|3.6|2.79|3.0|2.0|164.47|1.0|1.0|-6.11|541.68|0.0|2.83|-5.52|7.76e-07|0.000421|4.52|1.0|3.27e-07|-0.04439|3.0964|3.0964|-1743.375413|-1743.346389|908.66|400.42|0.5741|0.6984600000000001|0.6984600000000001|-1741.724929|0.5741|-0.12802|3.8532|-0.1724099999999999|4.4861|9.0|8.0458
15d_a10|0|0|0|0.0|0.0|1|2|2|1.343850133|0.0370874879999999|-0.059217023|2.04092658|-0.140487312|1|0.011249462|-0.092884337|-0.1786649189999999|-0.1945202089999999|2|0.0131101969999999|0.71456262|1|0.87609771|-0.070612242|0.02281891|-38.80896881|15.37766538|67.59624856|83.49776405|-0.018829931|10.36301002|0.471900166|-1.129795872|-26.15336742|66.95020436|-12.68949225|54.18663419|0.473858537|590.402322|-761.3695352999999|2036.192049|0.5280998339999999|16.02072769|0.900629528|6511.656447|-513.0869954|26.89020509|0.028735133|825.4425942|1.0|1.0|1.0|0.35|21.0|4.14|3.44|1.54|1.0|0.0|131.43|0.0|1.0|-3.78|441.52|0.0|3.18|-4.38|0.000167|0.0739|2.75|0.0|6.62e-06|-0.05002|5.6004|3.8591|-1430.8144619999998|-1431.051425|737.09|321.28|312.0|0.3685|0.6814100000000001|-1430.733658|0.0856|-0.15916|3.3831|-0.20918|3.8163|69.0|7.1612
4b_a46|0|0|0|0.0|0.206072846|1|1|1|1.1346370890000002|-0.022119857|-0.082722572|0.0|-0.135121207|1|0.011806162|-0.128843936|-0.079238184|-0.16915334|2|-0.153841155|0.69830739|0|0.935245062|-0.070236212|0.007568202|-28.58477842|4.127907383|7.986637869|35.31914031|-0.0229342729999999|2.251475261|0.8104680259999999|-1.123779397|-15.59093155|42.65239101|-12.50898928|32.7126858|0.428987199|510.1086157|-612.9404746|1750.333702|0.189531974|10.09436488|0.751274223|4681.895329999999|-334.31474760000003|15.43427855|0.007963679|538.4165208|0.0|1.0|1.0|0.38|17.0|4.69|4.77|2.58|1.0|0.0|101.7|0.0|1.0|-4.35|332.44|1.0|3.76|-4.63|4.49e-05|0.0149|3.74|0.0|2.12e-05|-0.02729|4.5515|4.5515|-1033.556797|-1033.535029|588.79|272.4|0.1784|0.68682|0.68682|-1033.3243619999998|0.1784|-0.19082|3127.0|-0.21811|3.7571|548.0|6.2612
6_a3|0|0|0|0.0|0.0|0|0|0|0.605016564|-0.106234254|-0.025021661|2.000787282|0.05584062|1|-0.006696449|-0.0445675709999999|0.020589494|-0.594308852|2|0.055002252|0.773152968|1|0.783322023|-0.098669224|0.010921391|-52.01903278|5.449560482000001|236.2008316|108.118071|-0.037726468|2.7192240510000003|0.80281499|-1.282699916|-25.95647951|56.71997588|-18.8247694|57.46859326|0.387883362|390.8623623|-640.0421597|1899.385061|0.19718501|8.982311462|0.633675574|4992.54948|-319.3685142|23.4484528|0.0150025189999999|353.7528308|1.0|1.0|1.0|0.0|21.0|4.96|4.66|2.11|1.0|0.0|95.5|0.0|1.0|-5.44|338.81|1.0|3.63|-4.87|3.67e-06|0.00124|3.79|0.0|1.11e-05|-0.06529|5.8279|3.3963|-1731.735113|-1731.7043199999998|524.88|365.05|0.1997|0.3369|0.69323|-1731.602363|129.0|-0.1465|2.8131|-0.21179|3.7185|1778.0|5.7501
4r_a46|0|0|0|0.0|-0.03033057|1|1|1|1.13129629|-0.074041799|-0.15196733|0.0|-0.1129698999999999|1|0.0061041|-0.237647432|-0.055572881|-0.246070691|2|-0.070397185|0.76719475|0|0.8478197820000001|-0.081339886|0.011446215|-42.06465252|6.071841742999999|176.18445569999997|80.72661483|-0.0259595379999999|3.220912917|0.7146312779999999|-1.220098292|-22.31391864|51.22472631|-13.77068362|48.13649426|0.456487948|449.7405899|-647.2221302999999|1451.6122289999998|0.285368722|10.69131411|0.839885604|4775.760774|-343.3301143|19.26963463|0.015225417|496.0386301|0.0|1.0|1.0|0.35|17.0|3.56|3.43|1.52|0.0|0.0|97.9|0.0|1.0|-3.09|334.41|0.0|2.7|-3.55|0.00081|271.0|2.12|0.0|0.000188|-0.03073|4.5209|4.5209|-1069.447946|-1069.419677|571.75|274.25|0.1404|0.69085|0.69085|-1069.231407|0.1404|-0.18999|2.6630000000000003|-0.2207199999999999|3.5979|1413.0|5.8499
12l_a30|0|0|0|0.0|-4.712037416|0|2|2|0.60498366|-0.274237737|-0.102468864|0.0|0.154540315|1|-0.004395528|-0.300262845|-0.077457998|-0.640870513|1|-0.0395239879999999|0.593245722|0|0.834279405|-0.109810463|0.0154211289999999|-63.31694493|10.78883933|103.5499036|115.9404641|-0.045581702|7.548024079|0.8218150790000001|-2.415830189|-44.29742723|88.64610824|-31.88960104|74.10578426|0.462727396|583.6736326|-1690.148855|2394.793539|0.178184921|17.23248653|0.861252543|7576.362669|-1182.451965|38.8038646|0.016896687|696.6414817000001|1.0|1.0|0.0|0.17|17.0|4.43|4.78|2.82|2.0|0.0|133.96|0.0|1.0|-6.7|482.48|0.0|3.42|-5.92|1.99e-07|9.63e-05|5.05|0.0|3.19e-05|-0.0545299999999999|5.0454|3.5245|-1988.033039|-1987.998976|729.17|351.78|0.2294|0.39486|0.68488|-1987.782294|0.1574|-0.14944|2.5031|-0.20397|2.9851|61.0|7.2154
8_a4|0|0|0|0.0|0.0|1|1|1|1.304250488|0.03148225|-0.072752231|1.987684188|-0.011835327|1|0.009595591|-0.1193184819999999|-0.048133994|-0.150276481|2|0.097165358|0.576540652|1|0.925132446|-0.065595042|0.0103751219999999|-27.90231822|5.362918401|11.02158946|38.69916707|-0.024598141|2.772101712|0.7261541020000001|-0.983925625|-14.42275611|41.57817329|-12.71482105|33.26523662|0.428884426|478.2025467|-508.5928419|1737.932042|0.273845898|9.972991122|0.750959081|5162.482272|-262.8925116|17.50981094|0.0148422489999999|434.9654405|1.0|1.0|1.0|0.15|21.0|4.63|4.76|2.93|1.0|0.0|100.13|0.0|1.0|-4.35|346.81|1.0|3.85|-4.84|4.49e-05|0.0156|3.74|0.0|5.72e-06|-0.05864|5.3544|3.9863|-1450.239105|-1450.21384|561.6|311.03|0.1687|0.30471|0.57675|-1450.071352|0.0642|-0.16821|4.5781|-0.22685|5.7488|54.0|7.2676
12t_a36|1|0|0|3.500121488|0.0|0|2|2|1.297042607|-0.034194893|0.035510516|0.0|-0.030990165|1|0.0045625|0.059266516|-0.101854847|-0.436022708|1|-0.050788309|0.857993338|0|0.8337556420000001|-0.100615514|0.017627553|-48.97252784|11.7409283|86.12920631|110.727965|-0.035934112|7.820109571000001|0.78316808|-2.012310282|-32.61842026|77.32343502|-23.93411213|60.71345614|0.48189543|555.3275093999999|-1340.3102789999998|2320.375227|0.21683192|15.36435856|0.930112292|5936.009091|-892.7209991000001|30.56063281|0.01547607|729.1873176|0.0|1.0|0.0|0.21|17.0|3.62|2.45|2.45|1.0|0.0|133.52|0.0|1.0|-4.61|409.49|0.0|2.4|-4.57|2.48e-05|0.0102|3.47|0.0|1.7899999999999998e-05|-0.05302|3.8844|3.6694|-1311.585049|-1311.552739|713.6|337.89|0.4297|0.69297|0.70313|-1311.287803|0.0155|-0.15088|5.9081|-0.2039|7.9104|8.0|8.0969
47s_a18|0|0|0|0.0|0.0|0|1|1|1.251176205|-0.045792331|-0.026883417|0.0|0.0134295589999999|0|0.003686393|-0.040169986|-0.168728915|-0.46304239|0|-0.0540701129999999|0.716761234|0|0.84543779|-0.08106112|0.008446541|-53.18668656|6.394119331000001|10.92659868|117.0051929|-0.030108416|4.840414512|0.820470855|-2.107589125|-40.26287221|69.29837549|-22.79238258|59.58080589|0.4740142|640.0051571|-1595.466781|1529.863965|0.179529145|18.65422248|0.901192009|6968.705069|-1207.784866|27.77963709|0.010481057|1093.725912|0.0|1.0|1.0|0.3|18.0|4.06|3.93|3.33|3.0|1.0|149.34|0.0|1.0|-5.95|482.62|0.0|3.19|-5.45|1.12e-06|0.000539|4.62|0.0|1.84e-07|-0.0491399999999999|3218.0|3218.0|-1534.196027|-1534.174077|809.4|385.29|0.5203|0.6926800000000001|0.6926800000000001|-1533.737579|0.5203|-0.13195|2.3134|-0.18109|2.9991|616.0|6.2104
7d_a10|0|0|0|0.0|0.0|1|1|1|1.34384996|-0.017919404|-0.042667459|1.591760572|-0.071185424|1|0.008513576|-0.09209689|-0.041520889|-0.2018053139999999|2|-0.051603612|0.525816226|1|0.841052067|-0.070901708|0.010495008|-31.47566249|5.567989142999999|12.32220006|84.32774259|-0.024733154|2.9540236560000004|0.729585423|-1.063525614|-16.69900016|45.08492005|-13.12185056|37.04365163|0.484115691|446.2091497|-564.2395741|1597.531619|0.270414577|11.82615475|0.938419104|5174.981962|-299.34991010000005|17.98535187|0.014078094|460.1866123|1.0|1.0|1.0|0.19|21.0|4.92|4.97|3.04|1.0|0.0|100.04|0.0|1.0|-4.22|344.38|1.0|3.95|-4.72|5.98e-05|0.0206|3.62|0.0|5.04e-06|-0.05634|5.8433|3.8856|-1129.198363|-1129.175857|574.87|319.09|0.2593|0.32059|0.68393|-1129.003694|0.0941|-0.1633099999999999|3.0178|-0.21965|3.4695|928.0|6.0325
3b_a49|0|0|0|0.0|0.0|1|1|1|1.343850026|-0.055724324|-0.090939066|1.844602991|-0.010613212|1|0.001356445|-0.151131362|0.000511959|-0.405529602|2|0.006213385|0.749565191|1|0.749104358|-0.0846496|0.013576151|-54.04959517|8.304484449|325.6896751|153.4719941|-0.0276739079999999|5.07982433|0.656865946|-1.439043207|-33.06194987|64.91785551|-16.92803342|62.35407961|0.477583842|458.224537|-880.2577376|1796.6760370000002|0.3431340539999999|13.85181805|0.914182753|5934.158315|-538.4506046|25.77091035|0.021477952|641.1445234|1.0|1.0|1.0|0.22|21.0|3.16|3.2|1.25|1.0|0.0|116.94|0.0|1.0|-3.53|398.46|1.0|2.38|-3.59|0.000293|0.1169999999999999|1.84|0.0|1.05e-05|-0.06115|4.6669|3.8418|-1293.3286859999998|-1293.291817|664.15|322.72|0.1978|0.5798|0.6632|-1293.048179|0.0759|-0.1587|3.0055|-0.21985|3.1637|25.0|7.6021
3n_a32|1|1|1|3.616639267|0.0|0|1|1|0.609420754|-0.01504795|-0.056907012|2.22272854|-0.1006122119999999|3|0.002379137|-0.100681119|-0.086764744|-0.435658951|0|-0.121627423|0.762657782|1|0.840041782|-0.092745182|0.01889769|-42.83673428|10.86481886|121.6040686|91.96452611|-0.027401986|6.246493173999999|0.648933114|-1.205687365|-24.62805609|65.41881458|-15.75418035|53.70155314|0.456693072|482.963897|-693.1839353999999|2426.73803|0.351066886|11.72372261|0.840580248|5553.014016|-398.5311469|24.27704797|0.0210408339999999|522.1674161999999|1.0|1.0|1.0|0.32|19.0|6.71|5.01|1.58|2.0|0.0|106.44|0.0|1.0|-5.96|382.5|1.0|4.07|-4.91|1.11e-06|0.000424|3.74|0.0|4.19e-05|-0.05535|3.5459|3.5459|-1825.378576|-1825.349557|614.67|349.65|0.2839|0.7028399999999999|0.7028399999999999|-1825.163542|0.2839|-0.1472099999999999|3.5849|-0.20256|6.2667|21.0|7.6778
3f_a32|1|1|1|3.553167045|0.0|0|0|0|0.6094207770000001|-0.0434359079999999|-0.062954205|2.227330929|-0.113189563|3|0.002565215|-0.112493266|-0.074808287|-0.5487283829999999|0|-0.1743238839999999|0.786074011|1|0.874026684|-0.097374443|0.011897886|-41.40131823|6.707989266|47.97543149|71.02334697|-0.030139709|3.78194259|0.78919828|-1.265867765|-23.34192893|61.47296003|-16.99267001|48.1093075|0.435176082|492.7734095|-713.6921402|2130.756016|0.21080172|10.89495051|0.770463268|4993.667711|-402.3773138|21.53155987|0.011659458|475.3634141|1.0|1.0|1.0|0.28|19.0|7.18|5.63|2.18|2.0|0.0|102.66|0.0|1.0|-6.89|354.49|1.0|4.63|-5.4|1.28e-07|4.53e-05|4.83|0.0|1.73e-05|-0.05315|3.5569|3.5569|-1712.0610190000002|-1712.034952|604.9|348.58|293.0|0.70255|0.70255|-1711.863611|293.0|-0.1474599999999999|3.4678|-0.2006099999999999|5.7161|9.0|8.0458
