molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|AATSC1s|MATS7i|SaaaC|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
1e_a5|1|0|0|2.953259375|0.0|0|0|0|1.427503886|-0.009075016|-0.080321049|0.0|-0.1197834419999999|1|0.007357977|-0.133677441|0.034752304|-0.201027861|2|-0.075239398|0.6977404359999999|0|0.8805795|-0.069725333|0.008587563|-35.30075748|4.461204261000001|159.537038|62.03846573|-0.0278901329999999|2.317577542|0.7473936259999999|-1.115605324|-18.33860051|44.38364879|-14.48881117|39.76196174|0.482579989|457.4574833|-579.5524467|827.4861275000001|0.2526063739999999|12.39753333|0.932665879|4342.827698|-301.0751483|19.38578369|0.0157106539999999|409.0289917|0.0|1.0|1.0|0.05|23.0|4.99|4.51|2.13|0.0|0.0|95.45|0.0|1.0|-4.25|312.37|1.0|3.44|-4.45|5.5700000000000005e-05|0.0174|3.43|0.0|1.21e-06|-0.04186|4746.0|4.4292|-990.6320386|-990.6006645|560.58|279.92|0.5156|0.56258|0.51802|-990.471803|0.1355|-0.18105|1916.0|-0.22291|3.0386|191.0|6719.0
1d_a5|1|0|0|2.79978458|-4.455320158|0|0|0|1.217311475|-0.308010841|-0.118028278|0.0|-0.2261588939999999|1|-0.000700145|-0.389011185|0.001493879|-0.38633065|2|-0.015804188|0.513260607|0|0.8965037640000001|-0.086213657|0.007937625|-47.76176205|4.288788702|204.4506579|55.92018945|-0.036640804|2.317281143|0.770504115|-1.465632167|-25.80622135|56.83734591|-19.79744178|52.05055075|0.471074204|484.3911442|-791.897671|1172.890724|0.229495885|11.5640749|0.89062437|5717.438103|-427.8712868|25.69414151|0.018980039|403.396385|0.0|1.0|1.0|0.05|23.0|5.48|6.37|2.73|2.0|0.0|95.49|0.0|1.0|-4.79|366.34|1.0|4.15|-4.97|1.6100000000000002e-05|0.00589|3.95|0.0|4.86e-07|-0.04528|4.8725|4.6112|-1288.340378|-1288.306458|567.04|268.88|0.2805|0.41781|0.5764600000000001|-1288.201219|0.0982|-0.18991|3.7798|-0.23519|5.3765|9333.0|5.03
5a_a40|0|0|0|0.0|0.0|1|0|1|0.604913477|0.059258947|-0.108428634|0.808197279|0.180125135|2|0.010425818|-0.191663433|0.004130836|-0.363338726|0|-0.0395444479999999|0.5263598389999999|1|0.8531783270000001|-0.090991462|0.020641204|-34.5789643|9.135164355|174.99981530000002|64.97877226|-0.036396585|4.042943749|0.8224652720000001|-1.091897544|-15.30358975|46.06507254|-16.10801287|43.71412865|0.4889874279999999|377.5905776|-483.24038600000006|508.8362301|0.177534728|10.7779923|0.956899016|3736.248815|-213.8673835|19.58503709|0.0130940839999999|244.8873477|1.0|0.0|1.0|0.21|14.0|3.68|3.08|1.85|0.0|1.0|74.15|0.0|2.0|-4.13|269.32|1.0|2.8|-3.67|7.49e-05|0.0202|2.88|0.0|0.0241|-0.0657799999999999|3.7921|3.7921|-1177.598691|-1177.5835470000002|466.79|326.96|0.4461|0.69499|0.69499|-1177.51016|0.4461|-0.15066|5.7163|-0.21644|7.6003|81.0|7.0915
14g_a23|0|1|1|0.0|-4.794439428|2|0|0|1.197957711|-0.301504331|0.058422864|0.653317181|-0.031968899|2|-0.0004039459999999|0.179219801|-0.0962526|-0.648987099|2|-0.044895912|0.575188253|1|0.907334473|-0.096288005|0.018341721|-51.82254036|13.05300369|95.64648102|65.94601775|-0.041536002|9.289253982|0.780315815|-2.118336119|-36.87984398|83.15907597|-29.55936307|64.87554405|0.461846955|645.7104105000001|-1507.527516|2531.8503170000004|0.219684185|16.32997765|0.8582074559999999|8005.353973|-1072.841648|37.88128151|0.020564836|676.4530574|1.0|0.0|1.0|0.09|26.0|3.97|6.18|3.04|2.0|1.0|126.97|0.0|1.0|-6.89|495.48|0.0|4.35|-6.0|1.29e-07|6.38e-05|4.76|0.0|5.57e-06|-0.08011|3.7042|3.7042|-2042.1835260000005|-2042.161409|730.13|334.71|0.3478|0.56658|0.56658|-2041.934312|0.3478|-0.1519|7.2913|-0.23201|10245.0|0.01|8.0
12bc_a36|1|0|0|3.43846811|0.0|0|2|2|1.284647662|-0.042515909|0.068351685|0.0|-0.079009683|1|-0.00097037|0.115647623|-0.101451485|-0.442519304|1|-0.045186455|0.771220556|0|0.834305498|-0.107107992|0.01824287|-51.87437401|12.2593899|83.35308244|111.3483497|-0.038558877|8.238431664|0.77146807|-1.927943855|-34.8600941|83.97121855|-25.91194805|64.13376391|0.467645467|560.6615736|-1295.597402|2623.395239|0.22853193|15.54183457|0.878447423|6587.689277|-870.6543108999999|33.5878425|0.017847333|661.6709012|1.0|1.0|0.0|0.14|17.0|3.99|3.19|2.99|2.0|0.0|133.77|0.0|1.0|-5.08|450.32|1.0|2.82|-5.18|8.27e-06|0.00372|3.93|0.0|7.83e-06|-0.05828|5.2189|3.8696|-2152.134749|-2152.100551|705.12|320.4|0.7456|0.35775|0.69094|-2151.9100780000003|0.3478|-0.15671|6.5854|-0.21499|9.2445|8.0|8.0969
13f_a6|1|0|0|3.440154557|0.0|0|0|0|1.429020649|-0.008507023|0.04505613|1.651047524|-0.071478789|1|-0.001446486|0.079490516|-0.126749697|-0.466314952|2|-0.088948538|0.790249345|1|0.863222493|-0.092939631|0.018554018|-49.2635105|12.46087045|62.42897239999999|91.85971442|-0.032802223|8.368715213|0.720711855|-1.672913351|-33.08535238|75.61173794|-22.02995852|61.72438096|0.401838426|579.7398537|-1123.527884|3253.287533|0.279288145|15.13042752|0.6717890999999999|6128.208571|-754.5608419|30.56694343|0.0196449239999999|676.2770877|1.0|1.0|1.0|0.08|27.0|5.01|4.53|0.92|1.0|0.0|123.82|0.0|0.0|-5.11|417.47|1.0|3.19|-4.78|7.74e-06|0.00323|3.27|0.0|2.75e-08|-0.07786|4.8413|3139.0|-1347.301285|-1347.266914|711.29|394.98|901.0|0.49643|0.70541|-1347.018087|0.0048|-0.12805|10.8469|-0.2059099999999999|13.9612|42.0|7.3768
12be_a36|1|0|0|3.466734143|0.0|0|2|2|1.297042758|-0.0419484829999999|0.118420241|0.0|-0.08981965|1|0.002872872|0.19405344|-0.176729938|-0.3825349939999999|1|0.00734728|0.8350231859999999|0|0.798015877|-0.108962668|0.033763464|-54.15309606|23.42501577|63.31681179|140.1361326|-0.031937334|16.25222352|0.5660743979999999|-1.852365352|-37.57129686|99.62604537|-22.15805062|77.57811183|0.4564615729999999|553.6616295|-1285.166936|2552.721046|0.433925602|16.14074295|0.839796323|6592.168374|-891.645944|39.14335412|0.034632557|766.4854363|0.0|1.0|1.0|0.21|17.0|2.83|1.9|1.42|1.0|0.0|136.74|0.0|1.0|-4.11|441.49|0.0|1.75|-4.15|7.75e-05|0.0342|2.62|1.0|7.11e-05|-0.0518799999999999|5.2184|3.3487|-1462.0007349999998|-1461.968283|739.48|370.25|0.7034|0.40844|0.70465|-1461.68274|0.0018|-0.13781|7.7861|-0.18969|10.3044|44.0|7.3565
18a_a22|0|0|0|0.0|0.0|1|0|0|1.194229718|-0.018344659|0.033735832|1.6891461019999998|-0.021976395|1|0.007079018|0.059645624|-0.0835538409999999|-0.296897301|2|-0.027029438|0.722009212|1|0.926535704|-0.076119803|0.01713283|-34.36220678|11.62443251|29.59800426|49.84469832|-0.029276847|7.887046626|0.710467198|-1.5223960559999998|-23.31437056|64.80092090000001|-19.86401135|45.98663929|0.487405342|628.6440468999999|-1032.92859|2213.859172|0.289532802|13.72951861|0.950859191|6630.646100999999|-700.830423|27.95908297|0.0193879289999999|730.9420477000001|1.0|1.0|1.0|0.08|27.0|5.32|5.11|2.13|2.0|1.0|131.64|0.0|1.0|-5.59|436.53|1.0|3.9|-5.16|2.59e-06|0.00113|3.78|0.0|1.73e-07|-0.0706799999999999|5.0214|3.4832|-1691.3151059999998|-1691.2957760000002|695.35|355.95|0.3174|0.35107|0.68577|-1691.036502|0.0354|-0.1408|3851.0|-0.21148|5.3946|13.0|7.8861
19k_a38|1|0|0|3.218103741|0.0|0|2|2|1.297042875|-0.17467835|0.098947776|0.0|0.016990252|1|-0.00835812|0.208892195|-0.060668296|-0.51857087|1|-0.029357143|0.730686013|0|0.658700057|-0.126936513|0.0232707939999999|-71.54314527|14.76615358|157.4834779|216.567059|-0.044662847|9.369654226|0.75964689|-2.411793744|-45.3966925|94.38036132|-28.3401789|86.30929885|0.4769127179999999|417.968819|-1530.369661|2929.493496|0.24035311|12.89431427|0.911726848|7091.215492|-971.0744563|37.3070426|0.021802691|686.8472757999999|0.0|1.0|0.0|0.13|17.0|2.34|1.65|1.65|1.0|0.0|133.79|0.0|1.0|-3.87|444.46|0.0|1.9|-3.62|0.000134|0.0594|1.65|0.0|0.000175|-0.05534|5.1869|3.5378|-1500.8984380000002|-1500.852284|677.64|350.45|0.2038|0.38269|0.70327|-1500.618667|0.1156|-0.14568|9.1508|-0.20102|12.5022|11.0|7.9666
3t_a32|1|1|1|3.4477303|0.0|0|0|0|0.609420752|-0.0338714389999999|0.028527045|2.141978747|0.012069208|3|0.00139283|0.049606573|-0.070331512|-0.496165036|0|-0.146047869|0.687253845|1|0.828676243|-0.0974995|0.014242899|-50.65701113|8.995863948|97.01046154|108.2086749|-0.026967947|5.681818647999999|0.684474482|-1.267493496|-31.99514268|72.43498782|-17.03304802|59.65287508|0.481726305|523.3947687|-800.5532571|2241.507646|0.315525518|15.64252992|0.929482453|5525.861115|-505.632194|24.88485469|0.017184783|582.0730423|1.0|1.0|1.0|0.3|19.0|7.65|5.42|1.74|2.0|0.0|112.48|0.0|1.0|-6.48|396.53|1.0|4.46|-4.93|3.28e-07|0.00013|4.09|0.0|3.91e-06|-0.05507|3.5487|3.5487|-1864.708995|-1864.678788|677.16|349.38|0.2906|0.70286|0.70286|-1864.472646|0.2906|-0.14739|1.2641|-0.20246|2.7003|9.0|8.0458
14e_a25|0|0|0|0.0|0.0|1|0|0|1.4200152069999998|-0.138693649|0.0065927719999999|1.906869097|0.002856489|1|-0.0005394919999999|0.010976703|0.015497482|-0.50909623|2|0.018432983|0.6954126970000001|1|0.7240504329999999|-0.1004553119999999|0.015024526|-73.99302943|10.99497534|372.1805977|201.94039730000003|-0.038772226|8.046143033|0.806446896|-2.2100168680000003|-54.14823405|84.60373462|-28.3735856|84.98800478|0.491527882|529.8614286999999|-1617.294379|2620.6698690000003|0.1935531039999999|16.63781964|0.966676175|6952.485076999999|-1183.53898|35.18345194|0.015154859|811.3237836|1.0|1.0|1.0|0.07|27.0|3.65|4.02|1.69|1.0|0.0|134.35|0.0|1.0|-5.14|462.5|0.0|3.02|-4.73|7.29e-06|0.00337|3.04|0.0|3.38e-07|-0.0538|5.8431|3.9613|-1521.012915|-1520.964156|760.96|312.99|0.2409|0.31019|0.69958|-1520.701142|0.0007|-0.15787|5.3651|-0.2116699999999999|7.2625|75.0|7.1249
11a_a5|1|0|0|2.9781886010000003|0.0|0|0|1|1.212363224|0.052217882|-0.052944925|0.0|-0.1301505359999999|1|0.007955512|-0.081506|0.003975818|-0.254944026|2|-0.0489811909999999|0.7410766209999999|0|0.89343434|-0.071517578|0.011860803|-46.13206353|8.474559367000001|61.32301293|76.14130253|-0.026223112|6.055083705|0.740865275|-1.573386716|-32.96141947|61.4470419|-18.73644762|54.60662289|0.466436596|638.3599998999999|-1124.186857|1170.247903|0.259134725|18.25640338|0.874191508|5756.783268|-803.2329738|25.28995251|0.014482324|835.912531|0.0|1.0|1.0|0.3|23.0|6.38|6.55|3.05|2.0|0.0|128.51|0.0|1.0|-7.25|424.54|1.0|5.16|-6.4|5.63e-08|2.39e-05|6.13|0.0|5.019999999999999e-08|-0.03694|4.4033|4.0938|-1339.8362619999998|-1339.802852|739.79|302.86|0.5473|0.6735|0.65363|-1339.493223|0.1838|-0.16735|2.8611|-0.20429|3.6525|81.0|7.0915
13n_a6|1|0|0|3.425442623|0.0|0|0|0|1.4290206230000002|-0.135152403|0.058267173|1.628408574|-0.06507689|1|-0.00687003|0.100294804|-0.068956229|-0.57091314|2|-0.056293641|0.82642394|1|0.70890216|-0.109392959|0.017758385|-68.88015714|12.18768927|90.97854097|199.7822434|-0.038490115|8.36448634|0.748967057|-2.078466222|-47.27287681|88.73738138|-26.41600355|81.06784641|0.47066442|486.5239262|-1426.464192|2535.307313|0.251032943|16.76075427|0.889160748|6386.381394|-978.9911754|35.2699138|0.019904118|724.3873672999999|1.0|1.0|1.0|0.08|27.0|4.19|3.76|0.81|1.0|0.0|127.2|0.0|1.0|-4.64|435.48|1.0|2.62|-4.28|2.27e-05|0.00987|2.43|0.0|9.35e-08|-0.07131|4.8185|3.3510000000000004|-1423.765005|-1423.714738|727.69|369.99|0.9117|0.55028|0.64027|-1423.451366|0.1945|-0.13863|7.1946|-0.20994|10.1967|75.0|7.1249
