molecula|NaaNH|n9FaRing|SaaNH|nAHRing|nARing|SaasN|MATS2c|n6HRing|JGI4|MATS7i|ATSC1c|AATSC8d|n5aHRing|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
18_a34|0|0|0.0|1|1|1.801574074|-0.063113846|1|0.040527066|-0.100548575|-0.677741618|-0.136990511|1|-0.155197864|-0.478810922|-0.493450778|1|0.805756513|0.713979177|0|-0.090328365|-0.129784908|0.295523326|-49.86847383|66.6880793|0.31018528|171.24705480000003|-0.0422555509999999|-39.55742812|12.44948722|0.695849945|-1.816988713|-27.53138148|72.41862911|0.441058733|380.8328339|-1003.122927|-12.87916264|6.282442545|11.23989749|5296.289007|-553.8039936|0.027385869|-216.2496321|1441.579371|428.6241319|1.0|1.0|0.0|3.28|0.21|17.0|-5.65|3.13|3.15|75.47|1.0|0.0|0.0|2.0|26.0|6.0|351.36|0.0|1.0|-4.11|0.0167|7.829999999999999e-05|0.0275|3.07|0.000781|-0.03925|4.4335|4.1234|-1199.288654|-1199.259634|592.04|0.3525|483.87|-1199.101028|0.0303|5.0935|-0.21474|0.02902032|-1199.158044|6.7806|2.43|5.6144
12a_a50|0|1|0.0|1|1|4.075037557|-0.199881787|1|0.034845679|-0.111689174|-0.126263256|-0.122912558|2|-0.193999688|-0.291865836|-0.247407423|1|0.795582575|0.660148928|1|-0.05075501|-0.0663902|0.29507467|-25.57033815|7.457998037999999|0.095880311|48.30443297|-0.02383238|-16.85074424|5.333473207|0.575218972|-0.929462803|-12.88231829|36.15684209|0.469674946|455.4948605000001|-468.2627037|-6.048985111|5.116970861|9.648744341|4665.239724|-235.9104193|0.027455156|-75.79052945|814.0599092|388.171611|1.0|0.0|1.0|3.3|0.11|20.0|-5.49|2.59|3.42|48.53|0.0|0.0|0.0|2.0|24.0|3.0|313.36|0.0|1.0|-3.84|215.0|0.000144|45.0|2.5|0.00101|-0.03366|4.0783|4.0783|-1006.659456|-1006.632973|545.54|0.1807|394.52|-1006.498352|0.1807|5.7662|-0.20172|0.02648238|-1006.546706|7.9123|75.0|7.1249
11a_a50|0|1|0.0|1|1|4.088412042|-0.156121881|1|0.038040936|-0.04339705|-0.134056065|-0.129547471|2|-0.0739260509999999|-0.277408878|-0.267331063|1|0.792574879|0.667956827|1|-0.048213112|-0.071180382|0.2931724189999999|-25.48858279|7.53108119|0.0828728879999999|43.81199235|-0.025421565|-19.89396594|5.167341939|0.6543614329999999|-1.067705728|-13.47492066|35.26290548|0.463749257|484.8529701000001|-564.4586084|-7.104987834|5.965221997|11.123941699999998|4858.670497|-298.409489|0.020887781|-163.21096210000002|862.6098364|439.9973344|0.0|1.0|1.0|3.44|0.15|20.0|-5.87|3.09|3.73|48.53|0.0|0.0|0.0|2.0|25.0|3.0|327.38|0.0|1.0|-4.16|0.0862|6.97e-05|0.0228|2.9|0.000441|-0.03284|4.0636|4.0636|-1045.978598|-1045.954278|574.01|0.1761|437.9|-1045.794689|0.1761|5.4342|-0.2005299999999999|0.02431947|-1045.84627|7.5619|59.0|7.2291
13a_a6|1|0|3.417162147|1|1|0.0|-0.042110772|1|0.041767677|0.031837397|-0.602500119|-0.0525259259999999|1|0.05269025|-0.180339002|-0.488098052|1|0.7722228729999999|0.8013954109999999|0|-0.094081761|-0.113446379|0.22670695|-61.52313164|154.9639272|0.22549456|147.4582473|-0.040840697|-48.51283287|13.62714959|0.759912392|-2.042034827|-40.23198232|82.36189896|0.467070451|506.474367|-1335.353173|-17.46461983|8.038453162|15.08351934|6019.922535|-873.2309916000002|0.02016134|-339.9303794|1757.246214|627.4287311|1.0|1.0|1.0|3.53|0.12|23.0|-9.01|4.98|4.32|95.85|2.0|0.0|0.0|1.0|31.0|5.0|409.44|0.0|0.0|-4.99|0.0012699999999999|1.02e-05|0.00417|3.8|4e-07|-0.05018|5.9934|3651.0|-1350.085889|-1350.057702|695.29|0.5352|571.9|-1349.834826|0.2697|7.7145|-0.19987|0.02818646|-1349.895534|9.2157|46.0|7.3372
17a_a50|0|1|0.0|1|1|4.319202937|-0.186084687|1|0.034142512|-0.109740063|-0.133526134|-0.131632653|2|-0.178162528|-0.3891730779999999|-0.220088198|1|0.784570118|0.732114362|1|-0.045404408|-0.078525868|0.4062532579999999|-29.57096251|10.03717565|0.07699335|50.14419437|-0.0280449529999999|-33.3079288|5.847033234|0.7899109000000001|-1.570517366|-19.25896309|38.54872522|0.486855438|601.1353533|-1022.84584|-11.89568886|8.087984548|15.76161018|5718.782531|-666.1585759999999|0.011602876|-377.6260803|1294.887612|719.3470265|1.0|1.0|1.0|3.95|0.29|20.0|-6.76|3.39|4.14|51.77|1.0|0.0|0.0|1.0|30.0|4.0|398.5|0.0|1.0|-4.44|0.0408|3.61e-05|0.0144|3.23|6.97e-05|-0.03196|4.2478|4.0477|-1258.566007|-1258.540058|705.96|0.1817|616.93|-1258.260865|0.1754|6.2113|-0.1992|0.02594911|-1258.322582|8.2991|85.0|7.0706
19l_a38|1|0|3.280796643|2|2|0.0|-0.086107169|2|0.04391253|0.103904811|-0.426895387|-0.032264281|1|0.217841852|-0.191751024|-0.4224000739999999|1|0.839953955|0.700181525|0|-0.079681862|-0.100870929|0.51306986|-51.6277901|133.9992534|0.200388811|129.8367176|-0.037359603|-42.34617024|9.195687319|0.7374102309999999|-2.017418574|-33.45088372|65.82033039|0.430111845|518.0872716|-1307.13389|-15.68376675|6.568874137999999|11.52660233|6705.993411|-846.9234048000001|0.021129331|-307.64756780000005|1772.6006989999998|696.3887025|0.0|1.0|1.0|4.94|0.12|17.0|-7.28|4.03|3.09|81.23|2.0|0.0|0.0|1.0|32.0|4.0|427.48|0.0|0.0|-4.72|0.0049|1.89e-05|0.00807|3.55|2.25e-05|-0.0603299999999999|3.6709|3354.0|-1409.5865199999998|-1409.557954|660.04|0.2883|502.31|-1409.309206|0.0233|6.5627|-0.2001|0.02856649|-1409.37001|9026.0|14.0|7.8633
8g_a12|1|1|2.897921027|1|1|0.0|0.10205033|2|0.038347953|-0.038463841|-0.40429396|-0.040257632|1|-0.068810076|0.122649613|-0.532504083|1|0.7475224290000001|0.7714487940000001|1|-0.076856227|-0.1045061519999999|0.274352085|-42.39297373|84.95000993|0.142374631|78.53214058|-0.042752517|-31.79592789|2.7111119089999995|0.90166696|-1.881110729|-23.38345638|47.30807670000001|0.463772637|473.055878|-1037.59814|-13.00742505|6.882798206|12.83559677|5327.736626|-572.326702|0.007890315|-443.109365|1150.7554189999998|480.0590283|1.0|1.0|1.0|4.07|0.1|21.0|-8.0|3.31|2.07|78.85|1.0|0.0|0.0|1.0|27.0|5.0|353.38|0.0|0.0|-4.34|0.0146|4.61e-05|0.0163|3.06|3.53e-06|-0.06432|4.2057|3731.0|-1154.321531|-1154.281986|590.93|0.3786|418.41|-1154.121362|0.1601|2.9986|-0.21633|0.03954539|-1154.173831|4.2131|3715.0|5.43
12bi_a36|1|0|3.466222049|2|2|0.0|-0.088734077|2|0.043854875|0.03474497|-0.559678363|0.041834838|1|0.056936052|-0.289604649|-0.37220074|1|0.812921349|0.8350231859999999|0|-0.082914301|-0.107613368|0.382000949|-57.89562053|129.685076|0.214998882|150.12481100000002|-0.027831043|-52.46851415|16.87080604|0.4996603229999999|-1.614200516|-40.42611289999999|82.05687954|0.461975362|548.1337538|-1127.129336|-13.56944331|8.454426643|15.71382803|6572.410403|-787.0277122|0.037590587|0.474365004|2255.791153|766.4854363|0.0|0.0|1.0|4.97|0.21|17.0|-6.79|2.83|1.9|87.66|1.0|0.0|0.0|1.0|33.0|6.0|441.49|0.0|0.0|-4.15|0.0342|7.13e-05|0.0315|2.62|7.11e-05|-0.0510199999999999|3.8855|3.6851|-1461.997992|-1461.966152|742.94|0.4214|603.92|-1461.69263|0.0252|7.0514|-0.2018|0.0318395999999999|-1461.75632|8.8903|14.0|7.8539
8c_a31|1|0|3.435435563|1|1|0.0|-0.012583838|0|0.03995098|-0.106461724|-0.574140137|-0.1029580369999999|2|-0.178276512|-0.09039853|-0.513257014|0|0.847752299|0.87237334|0|-0.1170607269999999|-0.128067781|0.280934088|-64.57121646|133.3100368|0.3739272389999999|206.2599245|-0.039640027|-38.96685783|9.027343766|0.72308253|-1.66488115|-35.61776956|80.93682766|0.47508938|345.3445134|-918.3558307|-12.06117028|6.820988495|12.99457133|4835.748065|-506.5691518|0.021986076|-246.1066271|1270.056726|423.1367008|1.0|1.0|1.0|3.51|0.29|16.0|-6.13|4.89|3.13|114.29|0.0|0.0|0.0|1.0|24.0|5.0|342.42|0.0|0.0|-3.63|13.0|0.000237|0.0811|2.38|0.0002549999999999|-0.03222|3.8492|3.8492|-1426.166503|-1426.129055|595.67|0.2597|475.72|-1425.968408|0.2597|3.3453|-0.19207|0.03744829|-1426.024361|5.1815|0.81|6.0915
7b_a8|1|0|3.213855584|1|1|1.4628217119999998|-0.119760914|1|0.040873016|-0.024156447|-0.4829936279999999|-0.0254956129999999|1|-0.039357491|-0.035044152|-0.415894017|1|0.7812177770000001|0.677544268|0|-0.101439013|-0.1000685009999999|0.282366236|-60.75943432|145.0783004|0.277652387|166.30684230000003|-0.041332642|-35.90168309|11.89970852|0.753935657|-1.901301524|-36.39338307|80.62622045|0.4787988|432.6681725|-1138.832108|-14.82895606|7.698000901|14.76972982|6185.0105140000005|-682.1319788|0.022982731|-304.2022276|1510.516312|545.9267515|0.0|1.0|1.0|3.49|0.09|23.0|-7.65|4.48|3.8|92.93|2.0|0.0|0.0|1.0|30.0|5.0|396.4|0.0|0.0|-4.94|0.00224|1.14e-05|0.00454|3.61|8.94e-06|-0.06833|4.5945|3.26|-1330.622441|-1330.595067|621.4|0.2517|506.21|-1330.392289|139.0|9.9463|-0.20472|0.0273745|-1330.448193|12.7344|13.53|4.8687
