molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PNSA3|PPSA3|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
8_a10|0.0|0|0.0|1|7.535296702|1|1.3430438530000002|2.071128354|-0.075368755|-0.00560152|5.4161004020000005|-0.012055162|2|0.035828092|-0.000315856|1.546251312|-0.15615298|10.92578782|1|1|0.009056935|-0.082893697|0.6357042860000001|0.809386132|-0.167376069|0.864927472|0.616731847|1|0.874843982|0.597912185|0.015758182|-32.63117642|8.619652859|68.45976606|-25.80127401|4.714910465|9.35593124|0.722649449|-17.849103399999997|56.7864899|-16.36478554|41.25082928|2612.274447|478.5356341|-801.8744912000001|1899.542278|-8.951462413|0.7599356820000001|151.7094758|-438.6216583|22.64553798|-243.5764486|1109.631361|583.7217118|0.0|0.0|1.0|1.0|0.0|3.42|3.27|21.0|4.2|2.46|1.0|0.0|1.0|4.0|29.0|384.43|-4.62|3.05e-05|0.0117|0.00926|3.37|0.0|2.49e-08|9.59e-06|4.6964|3684.0|-1257.819281|594.63|336.55|264.0|416.69|0.41583|0.68815|-1257.59269|0.0916|1.2052|-0.21789|0.02243902|-1257.648047|1.5482|6279.0|6279.0
2_a1|0.0|0|0.0|1|7.535296702|1|1.348828131|2.233384354|-0.049975995|-0.004621682|5.4161004020000005|-0.014296455|1|0.0409444439999999|-0.1056298369999999|0.0|-0.0619710709999999|10.9520472|1|1|0.003205156|-0.145015842|0.571324013|0.795932678|0.1766333219999999|0.8571146190000001|0.5574897879999999|0|0.808210065|0.220315042|0.011282631|-28.32386891|5.135384136|87.29479691|-16.00805425|2.337413146|84.54541681|0.6944040029999999|-12.89184641|43.24570924|-12.05838656|33.45925305|1884.85038|367.8635872|-422.0435297|1378.496713|-5.488475744|0.6619695520000001|139.0945801|-192.096651|17.36508791|-176.9692239|607.7780769999999|299.6692382|1.0|1.0|1.0|1.0|0.0|2.91|2.69|17.0|4.12|2.49|0.0|0.0|1.0|2.0|21.0|279.31|-3.78|0.000871|243.0|0.0466|2.76|0.0|6.64e-07|0.000185|4.0877|4.0877|-920.184721|489.42|303.31|303.31|355.79|0.7007899999999999|0.7007899999999999|-920.078239|0.2991|3.5853|-0.19826|0.024658671|-920.123726|5.2754|5.2366|5.2366
12l_a30|0.0|0|-4.712037416|0|7.412764017000001|2|0.60498366|0.0|0.157020295|-0.015371073|5.351858133|-0.274237737|2|0.044036281|-0.102468864|0.0|0.154540315|10.31162828|1|1|-0.004395528|-0.077457998|0.613786308|0.830875659|-0.0395239879999999|0.883029843|0.593245722|0|0.834279405|0.37422435|0.0154211289999999|-63.31694493|10.78883933|115.9404641|-53.74781658|7.548024079|1.697908189|0.8218150790000001|-44.29742723|88.64610824|-31.88960104|74.10578426|3306.001879|583.6736326|-1690.148855|2394.793539|-22.31041443|0.861252543|124.6606826|-1182.451965|38.8038646|-450.2927313999999|2056.604824|696.6414817000001|1.0|0.0|1.0|0.0|1.0|4.72|0.0|17.0|4.78|2.82|2.0|0.0|1.0|7.0|34.0|482.48|-5.92|1.99e-07|9.63e-05|0.000579|5.05|0.0|6.61e-08|3.19e-05|5.0454|3.5245|-1987.998976|729.17|351.78|245.74|574.72|0.39486|0.68488|-1987.782294|0.1574|2.5031|-0.20397|0.03406276|-1987.848331|2.9851|7.2154|7.2154
12m_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043522|0.0|0.013543656|-0.011502861|5.351858133|-0.133854569|2|0.03912037|0.14264424|0.0|-0.025127218|10.95440733|1|1|-0.004569485|-0.052743904|0.892815402|0.825587924|-0.064035403|0.8792981679999999|0.849217847|0|0.711961428|0.4493096629999999|0.022725561|-67.27772044|15.24099981|193.174369|-54.45666327|10.22144534|107.233999|0.7471181240000001|-45.120107|96.11918789|-28.57011677|82.51872026|2925.315028|477.48014630000006|-1542.786306|2637.948424|-19.16067782|0.8702895190000001|169.596372|-1034.676602|38.24042793|-331.4617713|2064.983108|689.2886595|0.0|0.0|1.0|0.0|3.0|4.83|0.0|17.0|0.98|1.28|1.0|0.0|1.0|6.0|32.0|424.46|-3.8|7.96e-05|0.0338|0.0676|2.11|0.0|7.19e-07|0.000305|3.8658|3.8658|-1401.6158890000002|692.4|320.72|320.72|505.51|0.69382|0.69382|-1401.385923|0.4718|6.5789|-0.20993|0.03861003|-1401.446557|9.1003|7.5229|7.5229
4i_a46|0.0|0|0.19654443|1|7.825245291|1|1.1346370959999998|2.184105962|-0.167244168|-0.002360192|5.587248657999999|-0.018872727|1|0.049498645|-0.088884176|0.0|-0.160741899|10.94638684|1|1|0.011931187|-0.060809732|0.7204791309999999|0.749522825|-0.17856753|0.786754478|0.7172344890000001|0|0.940780437|0.263514985|0.015663081|-33.08099617|8.847405392999999|33.45060163|-23.99628633|4.997521397|70.55661087|0.763831778|-18.68604171|49.04951810000001|-14.16067794|41.92840157|2200.19132|531.4066842|-722.1945751000001|2253.484644|-7.998762108999999|0.685288314|133.40134070000002|-407.9368676|18.53900079|-298.0546045|945.4890404|579.2365607|1.0|0.0|1.0|1.0|0.0|3.88|3.5|17.0|5.07|3.06|1.0|0.0|1.0|3.0|26.0|347.45|-5.04|1.16e-05|0.00403|0.00317|4.38|0.0|5.04e-08|1.75e-05|5.3987|4.4232|-1092.70435|611.74|280.31|229.66|546.24|0.41877|0.69035|-1092.473422|0.1421|2.8538|-0.20084|0.02614355|-1092.528145|3.8696|6.2132|6.2132
12bh_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043258|0.0|-0.052761366|-0.006687484|5.351858133|-0.047482048|2|0.044197531|0.001012669|0.0|0.075747971|10.94728093|1|1|0.0045625|-0.101854847|0.902377067|0.78699829|-0.0591586759999999|0.833398429|0.857993338|0|0.833491953|0.317612728|0.017627098|-47.04367494|11.73109101|110.81353529999998|-44.11115058|7.807212275|0.0|0.783294222|-31.30825225|76.46867897|-23.6718811|58.77476595|2773.193279|554.7010591|-1325.625342|2437.805332|-15.75398235|0.930697921|144.22085800000002|-882.2230117|30.2209316|-377.0728785|1692.3721690000002|729.1873176|1.0|0.0|1.0|0.0|2.0|4.95|0.0|17.0|2.5|2.45|1.0|0.0|1.0|5.0|31.0|409.49|-4.6|2.8600000000000004e-05|0.0117|0.0102|3.41|0.0|4.55e-08|1.86e-05|3.8811|3.6255|-1311.558898|715.94|341.97|319.46|575.23|0.69377|0.7039|-1311.293683|11.0|5.8338|-0.20168|0.03071385|-1311.356102|7.7975|7.8539|7.8539
12ad_a36|0.0|0|0.0|0|7.412764017000001|2|1.297042846|0.0|-0.040810025|-0.01083262|5.351858133|-0.073048351|2|0.040787037|0.046496301|0.0|-0.0072527669999999|10.95445455|1|1|0.000906224|-0.136151085|0.817851296|0.832674224|0.018207862|0.8846605|0.7767870459999999|0|0.760267769|0.423689705|0.030769062|-58.34300549|21.78471426|169.7321223|-54.02363038|15.4237324|81.68309557|0.656407461|-41.30726219|96.81391944|-25.88878839|80.12771975|3041.082692|538.2749789|-1449.77215|2474.175727|-18.32944602|0.912420081|243.2659577|-1026.448977|39.44011905|-221.4751857|2208.646667|735.3783268|1.0|0.0|1.0|0.0|2.0|4.9|0.0|17.0|1.67|1.89|1.0|0.0|1.0|7.0|33.0|439.47|-4.08|6.579999999999999e-05|0.0289|0.0367|2.53|0.0|2.42e-07|0.000106|5733.0|3.8512|-1460.794632|737.53|321.93|216.26|588.2|0.27316|0.67215|-1460.5468529999998|0.2532|5.3349|-0.21044|0.03648828|-1460.610659|6.8996|7.7696|7.7696
12as_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043209|0.0|-0.051208473|-0.007672841|5.351858133|-0.073735973|2|0.041728395|0.096454203|0.0|-0.114290948|10.95347588|1|1|0.0018565629999999|-0.098698552|0.8058720979999999|0.817372883|-0.04244711|0.869455765|0.770400825|0|0.77043791|0.291030086|0.019229943|-55.75872553|12.95780416|154.6869148|-49.71556877|8.731418812000001|0.0|0.768125394|-37.57216725|85.53474971|-25.48765709|68.71652969|2904.092809|519.1478419|-1401.82114|2365.632846|-17.17446921|0.834059821|156.2451686|-944.5958066|33.18163581|-361.3444194|1824.98997|716.9974499|1.0|0.0|1.0|0.0|2.0|4.86|0.0|17.0|2.09|1.59|1.0|0.0|1.0|6.0|32.0|423.47|-3.95|0.000154|0.0653|0.0476|2.36|0.0|1.29e-07|5.4600000000000006e-05|4.5202|3851.0|-1385.5651710000002|712.04|321.96|274.29|568.52|0.53815|0.68211|-1385.322633|0.2402|4.8580000000000005|-0.21419|0.03674596|-1385.384524|6.8556|7.2291|7.2291
4_a38 (LY-2157299)|0.0|0|0.0|1|7.535296702|1|1.343847059|2.0959524330000003|0.050460026|-0.00638266|5.4161004020000005|-0.080432741|2|0.041252955|-0.0501467259999999|1.721297609|-0.159241692|10.9277672|1|1|0.003107816|0.028964355|0.702976795|0.8099394329999999|-0.032369326|0.868207983|0.6848692759999999|1|0.754313773|0.459041332|0.01243241|-52.90108631|7.104736984|140.40206619999998|-29.21101111|4.060137052|71.22674185|0.7861170609999999|-30.23133173|58.99645489|-18.48863993|60.00582329|2501.945802|431.0669496|-868.9660769|1686.693134|-10.56568487|0.949475478|122.2274724|-496.5871888|23.51893991|-327.0140711|1105.390176|542.7276591|0.0|1.0|1.0|1.0|1.0|3.27|2.6|21.0|3.51|1.84|1.0|0.0|1.0|3.0|28.0|369.42|-3.99|0.0001409999999999|52.0|0.0375|2.39|0.0|7.45e-08|2.75e-05|4.65|3.78|-1198.64695|617.61|327.69|266.68|449.44|0.4|0.68|-1198.442536|0.06|5.9043|-0.22|0.03652312|-1198.49738|7.6529|7.1586|7.1586
9s_a24|0.0|0|0.0|0|6.605297921|1|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|4|0.023585859|-0.050919714|0.0|-0.060407836|10.96129902|1|1|0.007695726|-0.204128966|0.799076569|0.773544454|0.0256742079999999|0.8327425070000001|0.748077475|0|0.8833498320000001|0.483170382|0.016792118|-30.93968263|10.42725806|72.43525688|-24.51900941|6.474925237000001|0.695462853|0.445160769|-19.21235005|61.19761205|-12.08741583|41.36694069|2747.809842|548.5261887|-592.2833757999999|969.5210193|-7.505819207999999|0.889829339|344.5337711|-367.7851412|27.15292246|68.10609672|1330.4932|604.8829955|0.0|1.0|1.0|1.0|1.0|3.43|2.78|29.0|4.29|0.81|1.0|0.0|1.0|4.0|30.0|393.44|-4.06|0.000434|171.0|0.0343|2.11|0.0|7.73e-09|3.04e-06|3.0726|2.6707|-1270.994965|654.28|464.24|403.51|521.4|0.69475|0.6907300000000001|-1270.738032|0.0839|4.6141|-0.14462|0.03640642|-1270.796154|7.0312|7.4949|7.4949
