molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC7i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA5|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
IN1166_a11|0.0|1|0|3.433539068|0.0|0|1.429020445|-0.089778965|-0.006882528|4.727387819|0.044021739|0.018376555|-0.378539035|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|0.032420935|-0.223618825|2|0.102257199|-0.067328767|0.827254552|0.790249345|1|-0.073965061|-0.0896538619999999|0.551933595|-61.90325275|94.40543077|-0.031642539|9.546719887|20.83871871|-1.6137695069999998|76.76995134|64.89703387|0.463497159|-1114.258549|2953.475057|-15.08551944|0.305697179|6.777827685|0.8639230290000001|6310.825439|31.46783535|-268.3203251|1604.859603|676.2770877|1.0|1.0|1.0|1.0|2.0|3.51|2.79|0.08|5.01|4.53|103.17|0.92|1.0|0.0|123.82|0.0|-5.11|5.0|-6.52|0.0|1.0|3.31|7.74e-06|0.00323|1.65e-05|0.00688|6.59e-11|-0.07275|-1347.298558|-1347.256659|704.48|377.7|0.3425|248.68|554.63|0.4358399999999999|0.6998300000000001|-0.13823|3365.0|-0.21098|0.04189898|4.3481|7.9318
12u_a36|0.0|1|0|3.508898495|0.0|0|1.270259304|-0.054501792|-0.006461999|5.351858133|0.042560386|0.033763276|-0.407105926|0.0042553209999999|-0.063855309|10.95266014|-0.010669561|1|0.055588998|-0.163978382|1|0.080270195|-0.018047007|0.855176759|0.860667615|0|-0.07260571|-0.0969881059999999|0.3765068079999999|-67.50289394|109.8080843|-0.03452119|8.544435884|5.944854912|-2.036750221|78.06218646|62.80959338|0.486156325|-1417.5607730000002|2455.7556010000003|-16.72220679|0.22061252|7.65672775|0.946117173|6127.402572|30.82735404|-388.9026034|1818.813889|799.5563855|0.0|1.0|1.0|1.0|2.0|5.05|0.0|0.24|3.85|3.01|69.2|2.66|2.0|0.0|138.33|1.0|-4.95|4.0|-6.19|1.0|1.0|2.66|1.13e-05|0.0047799999999999|1.39e-05|0.00589|4.2e-08|-53.0|-1350.8981130000002|-1350.865506|739.12|337.37|0.4267|319.16|590.18|0.69258|0.70272|-0.15109|5.8702|-0.20409|0.03260752|7.8877|7.7959
15_a31|0.0|1|0|3.155574452|0.0|0|0.610137926|0.1893807519999999|-0.018913735|5.733341277|0.038809524|-0.0302581979999999|-0.775463115|-0.011797858|-0.070065105|10.31169996|-0.074455342|2|-0.052339921|-0.272545088|0|-0.0869591359999999|-0.116356616|0.8582665429999999|0.782925607|0|-0.116196194|-0.131697567|0.287991212|-70.00513464|230.1075793|-0.041588706|10.88541717|514.6215199|-1.58037081|88.05886218|82.24348203|0.466164359|-840.0616157|1675.977147|-11.75113151|0.358466423|6.148947296|0.873235738|5087.628096|34.45943505|-150.46712390000002|1309.458532|363.593507|1.0|1.0|1.0|1.0|2.0|3.31|1.64|0.19|4.12|3.0|117.37|0.41|0.0|0.0|90.47|2.0|-4.28|5.0|-6.84|0.0|1.0|2.27|5.27e-05|18.0|0.000272|0.0931|2.19e-06|-0.04192|-1460.900291|-1460.861851|556.68|271.36|348.0|271.36|452.98|0.5241899999999999|0.5241899999999999|-0.15202|5.5793|-0.19394|0.03843988|7.5831|5.9586
14_a1|0.0|1|0|3.3674017380000003|0.0|0|1.430935835|0.043282217|-0.015636898|5.351858133|0.035620155|0.1008839219999999|-0.766207981|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|0.164429684|-0.033765606|1|-0.08530265|-0.083341531|0.805877431|0.795744863|0|-0.12658238|-0.122581374|0.206941175|-72.59355177|240.9270705|-0.046308519|11.59015807|104.2594419|-2.083883365|87.02320758|94.53410059|0.47517581|-1234.09038|1876.042189|-16.24082222|0.246642602|7.46120838|0.905399978|5748.712211|36.40268318|-300.0800645|1638.120743|513.4628663999999|1.0|1.0|1.0|1.0|2.0|3.25|2.35|0.05|4.04|3.63|103.12|1.54|1.0|0.0|106.85|1.0|-4.52|5.0|-6.73|0.0|1.0|2.85|3.03e-05|0.0116|5.660000000000001e-05|0.0218|2.03e-08|-0.05962|-1292.588129|-1292.55322|621.08|375.01|0.4442|323.35|464.08|0.6572600000000001|0.69894|-0.1336|4.1207|-0.19322|0.03490867|5.3099|7.0269
12ag_a36|0.0|1|0|3.408828027|0.0|0|1.297044434|-0.042092217|-0.008085448|5.351858133|0.043848238|0.063109409|-0.436614203|-0.002526241|0.0070889269999999|10.96052849|-0.050147748|1|0.135431487|-0.217394466|1|0.124298337|-0.0861053359999999|0.8910146309999999|0.698414933|0|-0.082492792|-0.1081585809999999|0.26896187|-68.21579593|159.6746787|-0.038937089|8.009946323|0.0|-1.946854457|80.40643223|64.72839664|0.481286668|-1227.884327|2305.164626|-15.48857353|0.2411026289999999|7.849377942|0.927847116|5906.879919|32.35969377|-326.5740008|1617.984688|595.8790650000001|0.0|0.0|1.0|0.0|2.0|4.72|0.0|0.14|3.13|2.44|69.2|2.4|1.0|0.0|123.71|1.0|-3.89|5.0|-6.76|1.0|0.0|2.15|0.000129|0.0515|6.96e-05|0.0278|1.4e-07|-0.05486|-1332.185403|-1332.151245|658.68|334.04|0.4286|318.79|507.72|0.69204|0.7024699999999999|-0.15227|5.4459|-0.20713|0.03415856|7.5405|7.7696
4q_a46|0.0|0|0|0.0|0.09591943|1|1.131262631|-0.2520920439999999|-0.001250008|5.587248657999999|0.0462962959999999|-0.012611536|-0.066250447|0.012173202|-0.155661124|10.96363644|-0.081623022|1|-0.019471024|-0.187559576|2|-0.15266708|-0.121752717|0.848935944|0.703627625|0|-0.052170875|-0.070035423|0.258420996|-39.09149156|48.25357162|-0.021010627|4.520667361|72.14599138|-1.050531344|49.37907349|37.21920695|0.487775649|-586.3723734|1491.412605|-6.545879136|0.38044274|6.038093227999999|0.952269544|4992.497361|18.92875482|-133.46593529999998|946.4377411|554.3688216|1.0|1.0|1.0|1.0|0.0|3.95|3.16|0.38|4.09|4.09|52.83|1.75|0.0|0.0|102.63|1.0|-3.41|4.0|-6.54|1.0|0.0|3.15|0.000389|135.0|0.000129|0.0449|1.14e-07|-0.03042|-1108.751283|-1108.729426|606.7333|273.72|0.1432|273.72|510.13|0.69002|0.69002|-0.1903|2.7026|-0.2207199999999999|0.02185677|3.2968|6129.0
7l_a46|0.0|0|0|0.0|0.256706467|1|1.160371354|-0.2644255789999999|-0.00090473|5.533389489|0.04006734|-0.203375108|-0.038903382|0.013150047|-0.074511843|10.9642261|0.050638298|1|-0.331246137|-0.143129469|2|-0.1237456669999999|0.076724694|0.825629852|0.6539666829999999|0|-0.0565894359999999|-0.06289606|0.253138137|-30.34397256|44.79605077|-0.022013621|2.698568452|51.39110437|-0.880544835|38.22273917|32.8948756|0.46327253|-424.8156159|1246.417766|-5.1237682730000005|0.32532919|5.273701985|0.863142947|4046.614178|15.74158869|-168.5385796|629.6635476|375.721552|1.0|0.0|1.0|1.0|0.0|3.04|2.64|0.28|3.59|3.59|43.6|1.89|0.0|0.0|86.96|1.0|-3.18|3.0|-6.22|1.0|1.0|2.86|0.000668|0.1939999999999999|0.0001889999999999|0.0548|5.19e-07|-0.03324|-915.6081232|-915.5830363|517.29|272.71|0.2024|272.71|414.82|0.68834|0.68834|-0.18993|3.3119|-0.2231699999999999|0.025086919|3.9009|5.7122
11b_a50|0.0|0|1|0.0|0.0|2|1.3979498330000002|-0.154649459|-0.002908227|5.82008293|0.038040936|-0.007722567|-0.13377846|0.011959339|-0.218953127|10.94500697|-0.133073229|2|-0.013155246|-0.277408878|1|-0.146696566|-0.20645662|0.862408925|0.667956827|1|-0.0445367309999999|-0.069841183|0.229754094|-36.43643854|35.832562100000004|-0.02494328|5.295379767|86.04123302|-1.047617742|47.72173991|33.38515735|0.42907551|-546.5465781|1650.235214|-6.788943965|0.357948005|5.697537591000001|0.751545111|4884.730303|20.26785036|-148.2182458|851.2497152000001|439.9973344|0.0|1.0|1.0|1.0|0.0|3.44|2.84|0.15|3.09|3.73|48.53|2.25|0.0|0.0|99.65|2.0|-3.58|3.0|-6.24|1.0|1.0|2.96|0.000263|0.0862|6.97e-05|0.0228|1.35e-06|-0.02817|-1045.98235|-1045.961211|560.06|311.03|195.0|266.8|431.63|0.53885|0.64477|-0.16684|2.7805|-0.19501|0.02113855|3.7922|5.7696
12g_a36|0.0|1|0|3.5202147110000004|0.0|0|1.2678464|-0.063344124|-0.006495469|5.351858133|0.03912037|0.078990142|-0.409214521|0.0042553209999999|0.078155467|10.95259306|-0.0521750109999999|1|0.130052038|-0.163978382|1|-0.19532883|-0.088251318|0.847239339|0.860667615|0|-0.069292341|-0.097067302|0.374686587|-66.72829531|100.2028184|-0.034549379|8.382969151000001|5.097410387|-2.038413337|77.14470618|59.82898654|0.473274545|-1401.294202|2476.712654|-16.3273005|0.2202546819999999|7.285010602000001|0.898522257|6223.658545|30.45962398|-384.6182564|1797.1178149999998|799.5563855|0.0|1.0|1.0|1.0|2.0|5.06|0.0|0.24|3.85|3.01|69.2|2.66|2.0|0.0|138.33|1.0|-4.95|4.0|-6.19|1.0|1.0|2.66|1.13e-05|0.0047799999999999|1.39e-05|0.00589|4.2e-08|-0.0505199999999999|-1350.887005|-1350.861445|724.32|333.83|0.4393|238.01|657.02|0.38165|0.70097|-0.15236|5.912000000000001|-0.20288|0.0255597|7.8537|7.8539
19i_a38|0.0|1|0|3.169368622|0.0|0|1.297043925|-0.125335237|-0.008447598|5.351858133|0.043197531|0.08414367|-0.4561702689999999|-0.006877664|-0.074033381|10.96052467|-0.053762162|1|0.215263198|-0.250781298|1|-0.040954326|-0.087904124|0.892249657|0.632625562|0|-0.08347616|-0.113250303|0.4748744179999999|-69.40536597|154.953787|-0.040770109|8.479305267|10.71501217|-2.038505453|82.98550237|64.99417804|0.444551315|-1249.2965869999998|2335.0953870000003|-15.31261014|0.258076158|6.690507557999999|0.800346329|6744.7785650000005|33.67721904|-296.5257022|1683.860952|593.6088758|1.0|1.0|1.0|1.0|3.0|4.8|2.88|0.14|3.55|3.11|81.23|2.78|1.0|0.0|125.65|1.0|-4.25|5.0|-6.81|0.0|1.0|3.04|5.68e-05|0.0238|4.67e-05|0.0196|7.599999999999999e-08|-0.0564799999999999|-1431.415351|-1431.384243|641.31|343.17|0.2156|217.36|457.26|0.4342|0.69267|-0.14872|6.6636|-0.2052|0.03110827|8.6365|7.9031
14_a4|0.0|0|0|0.0|0.0|1|1.399909181|-0.2248919089999999|-0.001935612|5.4161004020000005|0.0409444439999999|-0.0135414919999999|-0.069682036|0.009588001|-0.08389836|10.94612798|0.117232935|1|-0.031578333|-0.039321879|1|0.158051825|0.204594017|0.843811017|0.500893739|0|-0.065776751|-0.071074269|0.218112446|-32.31961528|67.73740575|-0.03015272|2.697931638|85.72299913|-0.995039765|39.49511556|35.84371234|0.40126838|-452.4746139|1378.961008|-6.23496557|0.231542789|5.304461808|0.6701974079999999|3944.638539|17.84270058|-244.1511936|588.8091192|280.2639278|0.0|0.0|1.0|0.0|0.0|3.14|2.39|0.06|3.59|4.09|30.71|2.82|0.0|0.0|80.09|2.0|-3.4|3.0|-5.8|1.0|1.0|3.2|0.000396|0.11|0.000106|0.0295|1.95e-06|-0.03639|-918.9507745|-918.9304744|475.32|293.02|0.1864|274.1|353.16|0.53298|0.55975|-0.17381|2.3797|-0.2102|0.020300099|3.3312|5.8794
7_a3|0.0|0|0|0.0|0.0|0|0.60501656|0.198126776|-0.008855374|4.727387819|0.03757716|-0.047419994|-0.327648836|-0.007540435|0.054347129|10.3116226|0.030246987|1|-0.084462575|0.036673175|2|-0.224253635|0.0507482109999999|0.8632654590000001|0.773152968|1|-0.1034274319999999|-0.096448591|0.5999725029999999|-47.72824381|107.7330046|-0.036877402|2.377557323|76.07607751|-1.253831681|55.15105143|55.98630667|0.3987206729999999|-620.4671695000001|1952.029549|-9.030659289|0.2007853889999999|5.198046584|0.663120542|5055.700186|22.83370969|-296.13678660000005|776.3461295|353.7528308|1.0|1.0|1.0|1.0|1.0|3.02|2.61|0.0|4.96|4.66|92.93|2.11|1.0|0.0|95.5|1.0|-5.44|3.0|-5.68|0.0|1.0|3.63|3.67e-06|0.00124|1.34e-05|0.00455|3.28e-08|-0.0640299999999999|-1731.7341420000002|-1731.703107|522.73|360.06|0.1926|210.68|362.61|0.3456|0.69224|-0.14816|3.1299|-0.21219|0.03103579|3.9813|5.9901
4S4l_a46|0.0|0|0|0.0|0.171853072|1|1.134637095|-0.058870177|-0.004736212|5.587248657999999|0.049498645|-0.067419714|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|-0.1012114369999999|0.010799648|1|-0.001318857|-0.229089688|0.762625193|0.7936534740000001|0|-0.090807851|-0.084663086|0.213675946|-46.10883478|57.30330315|-0.029881089|2.117940478|0.0|-1.523935543|49.6055056|53.34424204|0.469439238|-829.959026|1744.8220399999998|-8.862913904|0.1220608659999999|5.668394116|0.884798257|4920.211524|18.5362581|-411.6630752|945.3491632|579.2365607|1.0|1.0|1.0|1.0|1.0|3.92|3.19|0.36|4.64|5.02|50.94|3.06|1.0|0.0|105.77|1.0|-5.28|3.0|-5.23|1.0|1.0|4.08|5.25e-06|0.00182|7.78e-06|0.0027|9.980000000000001e-08|-0.02015|-1092.753999|-1092.727031|583.76|299.38|0.2586|234.25|500.66|0.57885|0.6763600000000001|-0.17632|2.5083|-0.19647|0.02696794|2.8473|6.5834
15_a4|0.0|0|0|0.0|0.0|1|1.399867493|-0.159419214|-0.001986535|5.4161004020000005|0.044357639|0.0432718859999999|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|0.022446689|1|0.097046535|-0.038707204|1|0.095534883|0.036363636|0.8347553529999999|0.509447294|0|-0.062151785|-0.073738544|0.2517542889999999|-35.36161572|63.43714456|-0.030724393|2.505098786|86.01453643|-1.106078158|40.03406565|35.02894809|0.437696617|-530.4242358|1495.715718|-7.065752187|0.156108698|5.459799482|0.7783994009999999|4134.603400999999|17.45960235|-329.8289177|628.5456843999999|324.5687005|0.0|0.0|1.0|0.0|0.0|3.28|3.01|0.11|4.09|4.4|30.71|3.05|0.0|0.0|85.06|1.0|-3.82|3.0|-5.6|1.0|1.0|3.61|0.000152|0.0443|5.19e-05|0.0151|8.070000000000001e-07|-0.03539|-958.270023|-958.251931|512.65|294.16|0.1996|275.22|396.58|0.4778699999999999|0.56413|-0.17373|2.1603|-0.2091199999999999|0.018092091|3.0091|6757.0
18_a15|0.0|0|0|0.0|0.0|0|1.435689019|-0.020185809|-0.006149666|0.0|0.037948718|-0.094812415|-0.319782642|-0.001044324|-0.066226471|10.95986315|0.002685285|0|-0.190640601|-0.145790726|2|-0.0374132629999999|0.004699248|0.765450925|0.645117465|0|-0.067562078|-0.090730185|0.819442071|-55.48918283|100.159876|-0.035181092|2.672871589|1.833724661|-1.723873519|60.86009645|45.69032922|0.415796832|-1054.294474|2510.854462|-13.15898469|0.132569119|5.990767063|0.711733271|5705.360332|24.80452821|-449.4301265|1215.421882|590.2470602999999|1.0|0.0|1.0|1.0|1.0|3.37|3.75|0.08|5.68|6.86|47.04|3.6|2.0|0.0|113.42|1.0|-6.16|4.0|-4.8|0.0|1.0|5.06|6.86e-07|0.000265|1.18e-06|0.0004559999999999|1.0399999999999999e-10|-0.03581|-1265.810138|-1265.770242|650.53|324.29|0.2686|272.91|535.02|0.6074|0.70427|-0.1579|4.2476|-0.19371|0.03989594|6.5864|6.8894
9o_a24|0.0|1|0|2.9340792330000003|0.0|0|1.294229152|-0.064667223|-0.007052095|4.59511985|0.028472222|-0.087807028|-0.387865233|0.0012214139999999|-0.097596429|10.94506726|-0.000236595|1|-0.145366976|0.00294424|2|-0.0062180169999999|-0.000453155|0.846075714|0.7086274779999999|0|-0.088586421|-0.08834189|0.6253256110000001|-51.14964436|133.0106596|-0.032911684|6.1994599720000005|44.8382925|-1.678495905|66.24061038|61.99847688|0.4861134689999999|-971.8432428|1906.512273|-11.03321234|0.331953623|6.080741586|0.945954873|6697.297449000001|28.52459128|-194.5965258|1454.754155|663.2688909|0.0|1.0|1.0|1.0|2.0|3.96|2.84|0.04|3.75|4.36|92.79|1.23|1.0|0.0|120.73|1.0|-4.49|5.0|-6.83|0.0|0.0|3.01|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0167|1.24e-08|-0.04527|-1388.147972|-1388.094657|611.03|290.75|0.1409|210.85|432.84|0.41688|0.65292|-0.17826|4.3816|-0.22353|0.0533144|5.9089|6.3507
13k_a6|0.0|1|0|3.423411754|0.0|0|1.42421381|0.031525207|-0.014257799|5.351858133|0.04162037|0.051404465|-0.8554679409999999|-0.009326562|0.0809333929999999|10.95129637|-0.072504783|1|0.08217847|-0.073210645|1|0.1373649019999999|-0.123105035|0.84018367|0.827754203|0|-0.11937574|-0.127178105|0.212093198|-88.29427104|249.215618|-0.045420752|14.31458589|113.5526088|-2.543562101|100.7779947|103.4959988|0.426031882|-1765.8854210000002|3332.974951|-21.89246528|0.202868306|8.370126134|0.7422570490000001|6492.211639|39.55891914|-412.5714301|2215.299472|741.5222707|1.0|1.0|1.0|1.0|3.0|3.68|2.8|0.16|4.55|3.8|115.15|1.39|1.0|0.0|124.98|1.0|-5.49|5.0|-6.59|0.0|1.0|3.18|3.26e-06|0.00144|1.7100000000000002e-05|0.0075599999999999|1.29e-09|-0.04851|-1465.862962|-1465.83213|731.25|349.49|0.3971|242.53|577.68|0.4547|0.70536|-0.14589|8.1639|-0.1944|0.0308324|10.5079|7.3372
8f_a12|0.0|0|1|0.0|0.0|0|0.609895166|0.110310585|-0.008295703|4.59511985|0.038347953|-0.013400998|-0.3981937339999999|-0.002596875|0.028505422|10.31134658|-0.024023866|1|-0.023769395|-0.125424286|1|-0.13747286|-0.042014638|0.80546986|0.8409290840000001|1|-0.072634742|-0.098932601|0.285353468|-56.220383|73.97552223|-0.03822396|4.290980116|0.0|-1.6818542230000002|63.05721575|48.82707007|0.460344828|-955.746511|1448.568734|-12.34367323|0.161876566|7.016225129|0.853035146|5481.952981|25.9168408|-384.290491|1140.340995|524.0516742|1.0|1.0|1.0|1.0|1.0|4.09|3.26|0.1|4.99|3.41|78.41|3.1|2.0|0.0|115.66|1.0|-5.7|4.0|-5.47|1.0|1.0|3.82|1.99e-06|0.000735|5.72e-06|0.00211|3.79e-09|-0.06179|-1481.146454|-1481.115891|606.97|339.35|312.0|297.01|441.97|0.59107|0.65098|-0.15061|0.9092|-0.2124|0.03056355|1.4701|6.1898
7b_a8|0.0|1|0|3.213855584|0.0|1|1.395658671|-0.119760914|-0.009659873|5.4161004020000005|0.040873016|-0.024156447|-0.4829936279999999|0.002074537|-0.052309137|10.9465091|-0.0254956129999999|1|-0.039357491|-0.035044152|1|0.048462902|-0.040994467|0.8453887859999999|0.677544268|0|-0.101439013|-0.1000685009999999|0.282366236|-59.93853201|166.30684230000003|-0.041332642|11.89970852|75.93423425|-1.901301524|73.70461365|80.62622045|0.4787988|-1138.832108|1780.952171|-14.82895606|0.246064343|7.698000901|0.918644854|6185.0105140000005|32.83731114|-304.2022276|1510.516312|545.9267515|0.0|1.0|1.0|1.0|1.0|3.49|3.37|0.09|4.48|3.8|92.93|2.23|2.0|0.0|110.8|1.0|-5.25|5.0|-6.15|0.0|1.0|3.5|5.64e-06|0.00224|1.14e-05|0.00454|2.25e-08|-0.06833|-1330.622441|-1330.595067|621.4|380.32|0.2517|269.85|506.21|0.44725|0.7025100000000001|-0.13639|9.9463|-0.20472|0.0273745|12.7344|4.8687
12_a15|0.0|0|0|0.0|0.0|0|1.435689014|-0.071096525|-0.006620824|0.0|0.034285714|-0.035728911|-0.370766171|0.001740635|-0.106061273|10.95973444|-0.01062828|0|-0.054575504|-0.184255041|2|0.049877871|-0.019064393|0.769289315|0.7933685340000001|0|-0.061084417|-0.094209248|0.738437971|-60.15445365|66.16793071|-0.031995594|6.123040777999999|4.192089814|-1.695766456|70.6606311|48.59303169|0.476419838|-1082.780166|2661.728915|-13.04483751|0.253510603|5.448223888999999|0.909927213|5897.820841|27.36785616|-314.7766363|1450.496376|673.7288405|1.0|0.0|1.0|1.0|1.0|3.56|3.73|0.12|5.32|6.3|56.27|2.87|2.0|0.0|119.95|1.0|-6.22|4.0|-4.97|0.0|1.0|4.7|5.99e-07|0.0002379999999999|1.47e-06|0.000584|1.51e-10|-0.03196|-1281.087109|-1281.060163|688.91|321.72|0.1374|276.63|585.26|0.50595|0.70444|-0.15858|4.3338|-0.19054|0.02694613|6.0547|8.3979
8b_a31|0.0|1|0|3.37710223|0.0|0|0.610137861|-0.01883655|-0.013629145|5.733341277|0.041161616|-0.130371116|-0.57242407|-0.010300564|-0.211457443|10.31170011|-0.069423138|2|-0.222667869|-0.092604362|0|-0.058494079|-0.1155280009999999|0.8956498159999999|0.8761979520000001|0|-0.120703408|-0.132574249|0.281200674|-69.24221375|204.9365822|-0.040792077|8.823644775|472.8995873|-1.590890986|82.21438954|79.93633765|0.479278|-830.906565|1587.743824|-11.12754483|0.296530645|6.142377144|0.920410507|4696.728592|30.28603362|-212.5400476|1181.155311|372.3224834|1.0|1.0|1.0|1.0|2.0|3.4|2.71|0.25|4.52|2.74|114.29|0.61|0.0|0.0|88.64|2.0|-4.05|5.0|-6.87|0.0|1.0|2.52|8.97e-05|0.0294|0.000399|131.0|1.86e-06|-0.0325|-1386.852117|-1386.815519|566.18|321.36|0.2643|321.36|439.96|0.70036|0.70036|-0.16015|3.6945|-0.19265|0.03659821|5.6001|5.6576
6_a15|0.0|0|0|0.0|0.0|0|1.419941278|-0.199979249|-0.00951284|0.0|0.042926829|0.106485923|-0.513693384|0.001080419|0.011857945|10.95880677|-0.009025163|0|0.153430865|-0.281352401|1|0.0371776429999999|-0.015484797|0.7248900659999999|0.810779115|0|-0.07051817|-0.123000073|0.398681391|-71.76572566|82.0880213|-0.0307500179999999|10.03794313|55.65697829|-1.599000943|88.94853813|58.34873264|0.3902945579999999|-932.9544335|1971.005637|-10.46812265|0.4180252789999999|6.110075236|0.640136254|5589.043165|30.82854077|-95.65807914|1603.08412|592.4420375|1.0|1.0|0.0|1.0|1.0|3.29|4.03|0.23|4.43|5.26|61.84|2.18|2.0|0.0|109.7|1.0|-5.66|5.0|-5.33|1.0|1.0|4.11|2.16e-06|0.000823|7.32e-06|0.00278|1.13e-08|-0.02419|-1263.0243449999998|-1263.0072300000002|612.22|328.9|0.2616|285.52|545.21|0.65191|0.70554|-0.15714|1.3789|-0.18133|0.01711539|1.9421|7.4559
8_a27|0.0|1|0|2.599100867|0.0|1|1.406757715|0.188762686|-0.008444078|4.59511985|0.039673203|-0.14212377|-0.329319041|0.0040883959999999|0.093450172|10.93783465|0.067074515|1|-0.24946295|-0.187486926|2|0.141900468|0.11158995|0.8688656459999999|0.64927069|1|-0.078709803|-0.092265073|0.3608031339999999|-43.96130162|106.5457267|-0.035880862|4.960882344|61.18801154|-1.291711016|53.20197882|47.91445451|0.479730655|-615.4582227000001|989.0070768|-8.145716531|0.248298166|5.016799703|0.92208134|4522.989286999999|22.74314225|-239.8554499|818.753121|326.3351007|0.0|0.0|0.0|0.0|1.0|2.79|2.28|0.06|2.98|2.48|76.46|2.19|0.0|0.0|87.68|1.0|-3.23|4.0|-6.73|1.0|1.0|2.38|0.000586|178.0|0.000299|0.0907|5.2e-07|-0.05015|-1004.515654|-1004.489001|507.76|300.38|0.2336|300.38|374.88|0.64893|0.64893|-0.16958|3.0415|-0.21973|0.02665292|4.2899|8.2218
4g_a46|0.0|0|0|0.0|0.171759574|1|1.134637064|-0.153373738|-0.001702489|5.587248657999999|0.046415344|-0.093447672|-0.088529411|0.011488768|-0.055084605|10.96333695|-0.138341481|1|-0.144064904|-0.121452903|2|-0.200628401|-0.193115055|0.7796270059999999|0.635494818|0|-0.056893316|-0.070153728|0.318162858|-40.24987057|30.50581108|-0.024339048|2.638545451|72.82863401|-1.192613373|44.72726697|37.24073329|0.448462961|-684.2477996|2285.43285|-8.0118178|0.1731389069999999|5.8466355000000005|0.8131148579999999|5176.321714|16.88825479|-375.0653627|827.5244845|568.1534007|0.0|1.0|1.0|1.0|0.0|3.9|3.61|0.38|5.19|5.37|43.6|3.06|2.0|1.0|106.55|1.0|-5.38|3.0|-5.18|1.0|1.0|4.39|4.22e-06|0.00155|4.16e-06|0.00153|1.57e-08|-0.03985|-1493.154666|-1493.132001|615.33|280.74|0.1294|280.74|530.39|0.6983199999999999|0.6983199999999999|-0.18602|3.5526|-0.22587|0.02266493|3.7113|5.5615
1e_a5|0.0|1|0|2.953259375|0.0|0|1.427503886|-0.260066152|-0.001975193|4.59511985|0.027873016|-0.080321049|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|-0.133677441|0.0578378779999999|2|0.045376705|-0.075239398|0.834250802|0.6977404359999999|0|-0.06795194|-0.069725333|0.373935381|-36.22202792|62.03846573|-0.0278901329999999|2.317577542|0.0|-1.115605324|44.38364879|39.76196174|0.482579989|-579.5524467|827.4861275000001|-7.526878708|0.2526063739999999|6.41473183|0.932665879|4342.827698|19.38578369|-257.0399733|775.4313476|409.0289917|1.0|0.0|1.0|1.0|1.0|2.83|2.17|0.05|4.99|4.51|54.46|2.13|0.0|0.0|95.45|1.0|-4.25|3.0|-5.77|1.0|1.0|3.44|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|3.87e-09|-0.04186|-990.6320386|-990.6006645|560.58|279.92|0.5156|261.24|427.87|0.56258|0.51802|-0.18105|1916.0|-0.22291|0.0313740589999999|3.0386|6719.0
