molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC7i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA5|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
25c_a34|0.0|0|0|0.0|0.0|1|1.377881974|0.024837617|-0.014384932|5.351858133|0.037424242|-0.16034464|-0.834326082|-0.002827527|-0.056443595|10.95957635|-0.041629027|1|-0.250299211|-0.563411433|1|0.118901861|-0.072907053|0.844690266|0.760055383|0|-0.088513496|-0.113392997|0.478421157|-75.6298008|211.2752099|-0.031498055|19.49130854|93.28638171|-1.7008949569999998|100.6665476|88.25954175|0.4356106729999999|-1134.447012|2439.174137|-14.01190479|0.4625715629999999|7.484891117|0.77182656|6306.980593|39.09037289|-49.9273377|2110.880136|648.0187526000001|1.0|1.0|1.0|1.0|1.0|3.64|3.17|0.32|2.18|1.98|90.74|1.0|1.0|0.0|116.0|2.0|-2.81|6.0|-7.95|0.0|0.0|1.93|0.00156|659.0|0.000523|0.22|1.97e-06|-0.03272|-1426.704645|-1426.666471|704.43|294.54|0.2239999999999999|294.54|561.29|0.69247|0.69247|-0.17424|7.12|-0.2069599999999999|0.03817361|9.8087|5.7496
19g_a38|0.0|1|0|3.229090845|0.0|0|1.297044182|-0.077355838|-0.008497058|5.351858133|0.042419753|-0.037579797|-0.458841138|-0.006877664|-0.009881824|10.96052467|-0.046735135|1|-0.096139701|-0.250781298|1|-0.063110203|-0.076414544|0.892249657|0.632625562|0|-0.086314802|-0.114243258|0.5322242429999999|-72.29378538|177.181631|-0.038842708|9.191644336|18.41027014|-1.942135378|86.78105144|69.14572278|0.455443492|-1228.994351|2506.378649|-15.5542928|0.280058007|6.327835378|0.836356715|6631.17356|34.14148263|-278.3610963|1707.074131|593.6088758|1.0|1.0|1.0|1.0|3.0|4.82|2.52|0.14|3.55|3.11|81.23|2.78|1.0|0.0|125.65|1.0|-4.25|5.0|-6.81|0.0|1.0|2.97|5.68e-05|0.0238|4.67e-05|0.0196|7.599999999999999e-08|-0.05479|-1431.419426|-1431.386981|638.82|336.12|0.2285|234.97|475.84|0.3937|0.69982|-0.15269|5.0677|-0.20748|0.03244515|6.1765|7.3778
12aq_a36|0.0|1|0|3.427017327|0.0|0|1.297043497|0.0332421529999999|-0.0116333169999999|5.351858133|0.041728395|0.076517478|-0.674732412|-0.006653538|-0.1031859869999999|10.95447882|-0.028591187|1|0.131910912|-0.090926893|1|-0.0606936879999999|-0.047695595|0.89459881|0.849217847|0|-0.1093001919999999|-0.122078233|0.162384515|-81.56528598|212.8220574|-0.042953452|9.548598682|112.415579|-2.319486422|95.39676382|87.31909781|0.426481765|-1549.740434|2906.024504|-19.17486584|0.238023252|8.596645087999999|0.743623723|6296.75201|37.66374367|-350.0740123|2033.842158|689.2886595|0.0|0.0|1.0|0.0|3.0|4.83|0.0|0.13|1.92|0.98|112.29|1.28|1.0|0.0|131.85|1.0|-3.52|5.0|-7.79|0.0|0.0|1.15|0.000304|129.0|0.000359|152.0|7.19e-07|-0.06059|-1401.669694|-1401.637414|703.04|367.26|0.4988|317.51|534.96|0.6933199999999999|0.7058300000000001|-0.13908|6.7649|-0.19967|0.03228003|8671.0|7.2596
15c_a22|0.0|0|0|0.0|0.0|1|1.42291727|-0.134137693|-0.005236206|4.727387819|0.038137255|-0.026986769|-0.298463715|0.003784292|-0.023927419|10.9464374|0.006275578|1|-0.047249795|-0.160566657|2|-0.096749121|0.010828071|0.8353837409999999|0.639264982|1|-0.067475429|-0.080088202|0.615901609|-57.66130245|96.05497587|-0.0302219629999999|12.731723|78.22334636|-1.60176404|75.52188549|66.26407672|0.462157867|-1153.226049|2092.620825|-15.66586856|0.338224886|8.626398368|0.859281634|6882.442370999999|32.87972244|-232.9472639|1742.625289|731.8178649|1.0|1.0|1.0|1.0|1.0|3.49|2.85|0.08|3.9|4.18|109.38|1.08|1.0|0.0|128.77|1.0|-4.86|6.0|-6.96|0.0|0.0|2.98|1.39e-05|0.00618|2.4e-05|0.0107|5.269999999999997e-10|-0.07399|-1460.602657|-1460.571156|715.42|337.46|0.5082|216.15|575.8|0.30831|0.69113|-0.15408|7.382000000000001|-0.22807|0.03150096|9.0393|6.1325
19j_a38|0.0|1|0|3.235947106|0.0|0|1.29704352|-0.089207643|-0.007976154|5.351858133|0.04391253|0.105682345|-0.438688445|-0.004442319|0.003554228|10.95429182|-0.036248822|1|0.23209815|-0.20848518|1|-0.001131945|-0.060360554|0.908721232|0.6885713729999999|0|-0.0844479869999999|-0.108006563|0.625966089|-73.92901683|131.9851314|-0.038119963|11.74054073|29.18585028|-1.944118135|90.05233553|74.95583121|0.408533267|-1330.722303|3109.238056|-17.86002424|0.285630155|7.506210369|0.6907121629999999|6704.612831|36.5253298|-293.4664598|1862.79182|640.025745|0.0|1.0|1.0|1.0|3.0|4.81|2.34|0.13|3.17|2.42|105.02|1.76|1.0|0.0|130.41|1.0|-4.35|5.0|-7.13|0.0|0.0|2.44|4.46e-05|19.0|7.55e-05|0.0322|1.2099999999999998e-07|-0.06447|-1424.426858|-1424.390074|686.26|336.13|354.0|205.41|533.97|0.30419|0.69435|-0.15182|10.8124|-0.21629|0.03678378|14.4895|8.1146
5_a15|0.0|0|0|0.0|0.0|0|1.419941043|-0.222657379|-0.008878343|0.0|0.035982906|0.0729170329999999|-0.54157893|0.000420839|-0.0156037999999999|10.95880662|0.0118220069999999|0|0.1093187759999999|-0.28098676|2|0.092692253|0.020920163|0.74438723|0.7950674740000001|0|-0.06128567|-0.0989946469999999|0.743577162|-73.61131563|93.65193084|-0.0273088679999999|18.03465935|64.12413387|-1.583914356|100.6631306|69.82487767|0.486150431|-1177.78105|2179.757502|-15.09973885|0.491010028|7.795174584|0.946094849|6656.720346|39.89581513|-13.36968593|2313.9572780000003|779.0599798999999|1.0|1.0|1.0|1.0|1.0|3.79|3.68|0.15|4.92|6.01|74.73|2.0|3.0|0.0|127.97|1.0|-6.16|6.0|-5.55|0.0|1.0|4.29|6.86e-07|0.000304|2.18e-06|0.000967|2.25e-10|-0.03714|-1470.816175|-1470.779775|737.16|341.96|291.0|286.35|629.67|0.62664|0.70244|-0.14839|4.3576|-0.18553|0.03640044|6.35|7.8861
12k_a30|0.0|0|0|0.0|0.0|0|0.604984231|-0.001755273|-0.007818038|5.351858133|0.042739018|-0.13882907|-0.44562817|0.0043261129999999|0.067265077|10.31162844|-0.038714845|1|-0.240110949|-0.154412059|1|0.001281277|-0.067714819|0.883029843|0.7933543279999999|0|-0.079026221|-0.098188266|0.340031035|-65.04897323|122.5057244|-0.035199567|10.61148425|0.0|-1.865577056|80.03127603|68.37178540000001|0.47195436|-1235.930491|2277.687222|-15.44895229|0.291863802|8.416930701|0.893775698|6393.133321|32.93073182|-275.77726980000006|1745.328787|704.0353382000001|0.0|1.0|1.0|1.0|1.0|4.72|0.0|0.17|3.89|2.63|90.88|2.51|2.0|0.0|133.77|1.0|-5.44|5.0|-6.19|0.0|0.0|2.57|3.59e-06|0.00154|1.19e-05|0.0050799999999999|1.84e-07|-0.05055|-1690.302721|-1690.269144|710.82|357.15|0.2257|238.62|564.62|0.39318|0.6864899999999999|-0.14743|4.9516|-0.19798|0.03357755|5.0736|7.6144
14ad_a23|0.0|0|1|0.0|0.0|2|1.197962774|-0.1101542319999999|-0.00790478|5.351858133|0.0444129979999999|0.118047355|-0.4663820279999999|0.008996289|-0.05348283|10.31321689|-0.031279567|2|0.2086248289999999|-0.253318853|2|0.165157698|-0.050707765|0.8356326820000001|0.7317531540000001|1|-0.059168372|-0.085840335|0.224009311|-61.35364811|80.67170209999999|-0.029653934|17.28310144|114.237062|-1.630966366|85.20135045|66.47100256|0.46995189|-1165.7193140000002|2339.533586|-15.14887177|0.424119041|8.661363236|0.8866211979999999|7308.229822|36.80430179|-108.4705382|2024.236598|770.8206617000001|0.0|1.0|1.0|1.0|1.0|3.73|3.49|0.12|3.48|4.03|123.48|2.42|2.0|1.0|133.27|1.0|-5.8|6.0|-6.68|0.0|0.0|3.39|1.6e-06|0.000753|8.22e-06|0.0038799999999999|2.49e-08|-0.06925|-1858.957788|-1858.942973|747.83|366.09|0.4106|366.09|618.01|0.6956600000000001|0.6956600000000001|-0.13734|5.2331|-0.20659|0.01481488|6.7584|8.3595
32_a47|0.0|0|1|0.0|0.0|1|1.216307925|-0.1746026239999999|-0.003573735|4.727387819|0.035568182|-0.013510009|-0.2037028839999999|0.001861676|-0.026022099|10.95005715|-0.044598914|1|-0.0274939029999999|-0.157688306|2|-0.0094137619999999|-0.078006445|0.858292442|0.634406338|1|-0.05770007|-0.0726950079999999|0.266433793|-52.38450683|106.9180086|-0.026060474|10.01980854|44.50423685|-1.381205148|68.76811937|55.48373932|0.44289006|-995.3056298|2255.632049|-13.53252578|0.35883878|8.656942728999999|0.794977846|6235.398576|29.28959351|-203.4434306|1552.348456|682.9868225|1.0|0.0|1.0|1.0|2.0|3.35|3.67|0.26|4.18|5.07|67.66|3.11|2.0|0.0|125.17|1.0|-4.81|5.0|-6.34|0.0|1.0|3.94|1.5399999999999998e-05|0.00674|8.89e-06|0.0038799999999999|1.5e-09|-0.05682|-1778.127634|-1778.0970140000002|692.49|336.65|0.2969|252.79|548.86|0.48011|0.68986|-0.1509599999999999|4.8234|-0.20778|0.03062031|6.3139|7.0
28_a34|0.0|0|0|0.0|0.0|1|1.454781307|0.000561166|-0.016942875|5.351858133|0.04515873|-0.201047053|-0.6946578940000001|-0.012039484|-0.15803127|10.9595763|-0.0500053959999999|1|-0.33032879|-0.311884247|1|0.092890802|-0.078146961|0.8582665429999999|0.7829667309999999|0|-0.1306693569999999|-0.140864841|0.316156689|-72.11491331|232.4555747|-0.048190604|9.876233397|88.32197602|-1.831242935|85.99382787|86.18702382|0.454339954|-937.4938731|1689.357471|-12.63011537|0.270129894|5.613534285|0.832642882|4803.256974|33.80175623|-235.3612529|1284.466737|344.69029950000004|1.0|1.0|1.0|1.0|1.0|3.02|2.55|0.12|1.99|2.07|92.26|0.88|0.0|0.0|85.92|2.0|-3.27|5.0|-7.04|0.0|1.0|1.84|0.000533|172.0|0.000565|182.0|1.66e-05|-0.03896|-1100.797628|-1100.760824|544.24|289.3|0.2043|289.3|417.28|0.69263|0.69263|-0.17802|6.4596|-0.21698|0.03680411|8.5886|5.4179
