molecula|SddssS|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w MLOGP|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
6e_a40|0.0|0.0|0.0|1|1|2|0.604892975|1.75595616|-0.0148450439999999|0.039160494|0.744550501|-0.69771706|-0.0026177839999999|0.103594243|10.30179954|2|-0.002992481|-0.276969278|-0.020200684|-0.037027769|-0.6319354389999999|0|0.685858263|0.8361555479999999|-0.011405885|-0.289988439|0.8988141140000001|0.648802794|1|0.74620476|-0.107312598|-0.1164147119999999|0.015875595|-70.52033811|-76.50178121|10.43262695|185.1473293|0.25379524|166.7812216|-0.04873174|6.85578763|35.33106374|0.866991176|-2.095464821|84.95203628|-32.02400144|80.95296505|3075.060648|-1377.032062|-21.04453212|0.133008824|12.49434084|87.40658058|-904.9148811|36.93694043|-482.3355765|1588.2884390000002|587.7345677999999|1.0|0.0|0.0|1.0|1.0|3.98|3.16|0.21|2.12|5.0|5.0|-6.09|476.98|0.0|1.0|-5.58|1.74e-08|8.31e-06|0.00124|1.0|0.0|2.35e-05|0.0112|-0.09682|8.35|2.9549|-2831.191706|-2831.156883|671.95|1149.77|537.07|-2830.986514|-0.1195799999999999|-0.2164|0.03482243|18.0|7.7447|7.7447
9_a27|0.0|2.627701427|0.0|1|0|0|1.391067068|1.830911754|-0.0073742819999999|0.042847222|1.233610009|-0.331842668|0.00611794|-0.051160217|10.93740461|1|0.00651856|-0.2559122789999999|-0.101933162|-0.171520296|-0.541535578|2|0.677253824|0.8214321609999999|0.017503266|-0.071974951|0.8806964490000001|0.654138816|1|0.7988644709999999|-0.078270599|-0.088404481|0.019589991|-40.3551562|-45.58003501|10.10030794|128.27738490000002|0.2011355289999999|103.702486|-0.033677898|5.20756849|65.12542467|0.7892801540000001|-1.414471696|53.0685473|-17.36382286|50.45546414|2256.4955670000004|-729.2805601|-8.952528705|0.210719846|9.442988795|108.6440173|-376.0062056|21.99956856|-298.297086|923.9818797|424.8821143|1.0|0.0|0.0|1.0|1.0|3.12|2.62|0.16|2.66|3.0|4.0|-6.33|331.37|1.0|1.0|-4.08|8.66e-05|0.0287|0.0274|0.0|0.0|8.69e-08|2.88e-05|-0.0471|4.67|4.1673|-1083.143348|-1083.118736|549.64|945.35|425.08|-1082.965434|-0.1716|-0.2187|0.02461151|2.0|8699.0|8699.0
12c_a31|0.0|3.387641566|0.0|0|1|1|0.6101358029999999|0.0|-0.013026643|0.040982906|0.0|-0.690412101|-0.003618466|-0.094991098|10.311698300000002|2|-0.000813398|-0.048694677|-0.138799714|-0.223856622|-0.54466023|0|0.8083148840000001|0.842823186|0.066071056|-0.098452311|0.8856644770000001|0.770283733|0|0.665463503|-0.104643824|-0.129736755|0.030543026|-66.41224264|-82.33748068|19.38414321|153.400467|0.334536497|212.313715|-0.036326291|12.30215386|553.8695417|0.6817087|-1.816314565|97.28775086|-23.05449459|85.79638585|2592.4503010000003|-1152.7247289999998|-14.63154376|0.3182913|14.67172662|202.0036947|-731.5771879|33.81868912|-230.6429907|1690.934456|583.9691392000001|1.0|1.0|1.0|1.0|2.0|3.69|3.1|0.35|1.08|8.0|5.0|-6.53|398.48|0.0|1.0|-4.16|5.85e-06|0.00233|0.0277|0.0|0.0|5.79e-08|2.31e-05|-0.0338399999999999|4.6|3.8328|-1618.1530810000002|-1618.112841|679.71|1138.89|578.69|-1617.888981|-0.15904|-0.19288|0.04023903|0.38|6.4202|6.4202
13b_a5|0.0|2.948625157|0.0|0|1|1|1.338814635|0.0|-0.004573365|0.02468599|0.0|-0.251535058|0.0064510459999999|-0.104404004|10.94530329|1|0.0066003869999999|-0.010368468|-0.055701188|-0.091464693|-0.357011244|2|0.6700114770000001|0.765309977|0.03431921|-0.0330907489999999|0.8184221559999999|0.653356347|0|0.831557236|-0.0694958329999999|-0.074710354|0.0138892369999999|-44.93506461|-48.3067033|8.980592802|14.41650822|0.168442764|108.9128108|-0.02636836|5.806729729|46.77748445|0.654076389|-1.344786367|62.24204745|-17.04942469|53.91565742|2661.597781|-869.5206594|-11.0239272|0.345923611|15.48959317|223.6695238|-562.2202871000001|26.06641209|-199.2474147|1329.387016|638.8437454|0.0|1.0|1.0|1.0|1.0|2.97|2.64|0.17|1.96|5.0|4.0|-6.58|395.46|1.0|1.0|-4.43|5.69e-05|0.0225|0.0148|0.0|0.0|4.36e-09|1.72e-06|-0.05177|4.66|4.1793|-1276.066049|-1276.030896|672.43|1138.73|503.93|-1275.806761|-0.17274|-0.22451|0.035153|0.11|6.9586|6.9586
13_a1|0.0|3.409865599|0.0|0|1|1|1.430073963|0.0|-0.012199718|0.036382114|0.0|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|1|-0.005924486|0.1769162319999999|-0.07665159|-0.120034915|-0.485427571|1|0.87703849|0.76714213|-0.051729721|-0.150485437|0.825117597|0.833702788|0|0.6794604670000001|-0.111667908|-0.10668313|0.033737733|-64.94184903|-62.04288975|19.62059449|148.7311076|0.320539533|186.4137189|-0.040302516|11.41059871|528.3795274|0.7082629840000001|-1.813613202|77.55889436|-23.43842502|84.56244352|2555.623166|-1054.729126|-13.63090514|0.291737016|14.33466671|169.6632599|-613.3907313999999|33.09282789|-242.2358135|1489.177255|505.2124255|1.0|1.0|1.0|1.0|2.0|3.35|2.83|0.09|1.74|4.0|5.0|-6.48|371.39|0.0|1.0|-4.34|5.16e-05|0.0192|17.0|0.0|0.0|1.14e-08|4.24e-06|-0.04962|3.17|3.4483|-1238.395767|-1238.367298|613.52|1035.04|472.52|-1238.174491|-0.13921|-0.18883|0.0284695999999999|0.26|6585.0|6585.0
12ba_a36|0.0|3.389685532|0.0|0|2|2|1.297043659|0.0|-0.0075620109999999|0.040566449|0.0|-0.423472625|-0.002123045|0.003750685|10.9478512|1|-0.000621302|0.159880159|-0.091676619|-0.168084618|-0.410941182|1|0.844641715|0.8256014690000001|0.041478447|-0.0202572689999999|0.890675195|0.796093405|0|0.849738126|-0.083210415|-0.108410153|0.0246090489999999|-56.0578808|-73.03464847|16.57882744|100.798163|0.150261874|101.229662|-0.037526591|11.16896162|16.1479891|0.7068957840000001|-1.951382748|89.06670390000001|-25.28122447|72.63670824|3035.390784|-1314.6236720000002|-17.03166444|0.293104216|14.59456478|197.4608731|-885.6465508|35.76372225|-278.7665262|1859.713557|688.1986357999999|1.0|0.0|1.0|0.0|2.0|4.8|0.0|0.12|0.74|5.0|6.0|-7.04|431.45|0.0|0.0|-4.25|1.6800000000000002e-05|0.0072599999999999|0.0244|0.0|0.0|1.91e-07|8.240000000000001e-05|-0.08446|2.79|3.0114|-1417.454721|-1417.426327|687.23|1187.56|547.82|-1417.187763|-0.12587|-0.21033|0.02839417|21.0|7.6778|7.6778
8b_a8|0.0|3.191799887|0.0|1|1|1|1.395658149|1.42474537|-0.013834266|0.040054466|0.0|-0.733216119|-0.0055544409999999|-0.0422693659999999|10.94650923|1|-0.003593429|0.031896755|0.049587543|0.079250224|-0.5058761820000001|1|0.758899977|0.778853499|0.097555876|-0.0527918259999999|0.8354024290000001|0.726912742|0|0.558354653|-0.130159955|-0.11627069|0.032440348|-79.74587194|-71.23625346|19.87542051|172.84152849999998|0.441645347|270.5854753|-0.047457424|12.1771918|89.09854311|0.781454722|-2.325413799|84.97574547|-29.07602182|99.62129245|2863.095568|-1424.7250689999998|-17.8141788|0.218545278|14.53652808|133.8974321|-872.8947609999999|37.20755791|-344.8810688|1823.170337|589.263087|0.0|0.0|1.0|0.0|2.0|3.52|2.93|0.09|2.12|4.0|5.0|-6.87|414.41|0.0|0.0|-4.43|1.6899999999999997e-05|7.0|0.0153|0.0|0.0|7.33e-08|3.04e-05|-0.06114|6.41|3.2992|-1407.0843|-1407.052256|640.35|1098.17|488.56|-1406.829227|-0.13807|-0.19921|0.03204403|5.08|5.2941|5.2941
7h_a8|0.0|2.99743835|0.0|1|0|0|1.391840221|1.2793830309999998|-0.00534208|0.04737037|0.0|-0.23505152|0.00112124|-0.0873792009999999|10.94341365|1|0.00084936|-0.043606497|0.052081992|0.141285105|-0.382578949|0|0.515235986|0.7051689170000001|0.095758228|0.041366689|0.7677336090000001|0.507325475|0|0.771011027|-0.093181899|-0.0934764819999999|0.011647275|-53.71230941|-53.88211443|6.71377223|70.28953528|0.228988973|131.9948047|-0.041038456|3.86998135|47.81104825|0.892830345|-1.6825766830000002|58.94376531|-23.65556243|60.42608164|2534.324886|-969.8780597|-13.63564064|0.107169655|13.42380338|61.77519141|-559.0612661|26.49502512|-452.8739011|1086.29603|446.5544107|1.0|0.0|0.0|0.0|1.0|3.12|3.2|0.0|4.27|3.0|4.0|-5.27|373.35|0.0|1.0|-5.5|2.09e-06|0.00078|0.00118|0.0|1.0|3.5e-09|1.31e-06|-0.06799|6.81|3.9282|-1285.182226|-1285.151298|593.53|999.62|500.94|-1285.017252|-0.16076|-0.22875|0.03092828|10.5|4.9788|4.9788
14y_a23|0.0|0.0|0.0|2|0|0|1.197960595|3.3149940630000003|-0.005875443|0.046678487|0.731397292|-0.2996475999999999|0.009174505|-0.051539811|10.31321795|2|0.007229683|0.07646106|-0.069023218|-0.125978901|-0.4598871539999999|2|0.719722236|0.802520527|0.137426346|-0.049318182|0.8668730109999999|0.64069202|1|0.925252932|-0.057809342|-0.080613242|0.018804822|-39.9727336|-55.74067298|13.00274534|39.66769923|0.074747068|51.68445972|-0.034303507|8.990852582999999|82.29531392|0.78322549|-1.612264842|67.16839951|-23.71943531|52.97547894|3096.562257|-1114.8134599999998|-16.40099384|0.21677451|16.00209862|149.890474|-770.8467102999999|30.28429949|-391.6770747|1423.362076|665.6233736|0.0|0.0|0.0|1.0|1.0|3.41|3.49|0.05|3.99|5.0|4.0|-5.8|480.37|0.0|0.0|-6.13|1.7e-07|8.18e-05|0.000354|0.0|0.0|2.6899999999999996e-09|1.29e-06|-0.08374|4.73|3.6413|-2549.104894|-2549.091817|713.1|1217.48|585.2|-2548.8917260000003|-0.14942|-0.2331599999999999|0.01307741|4.0|8.4225|8.4225
6_a1|0.0|0.0|0.0|1|1|1|1.3488280769999998|2.325221088|-0.005477033|0.039635417|0.0|-0.230035376|0.005054086|-0.00983397|10.95180041|1|0.006851583|-0.180874123|-0.230322048|-0.3632559589999999|-0.353456514|1|0.781885145|0.798346291|0.13761072|-0.095907969|0.8524898329999999|0.741035199|0|0.8782596159999999|-0.057199415|-0.077422386|0.021009352|-27.63847818|-37.41011914|10.15161645|64.63457366|0.121740384|58.82435931|-0.0238222729999999|4.905211525|95.13138767|0.576759436|-0.929068634|49.61122373|-11.51080589|37.79009463|1956.144556|-448.9214297|-5.56196523|0.423240564|9.609375529|204.5077752|-216.916644|19.95772445|-74.17956941|778.3512535|359.9965854|1.0|1.0|1.0|1.0|0.0|2.94|2.54|0.22|1.75|3.0|3.0|-6.21|291.35|1.0|1.0|-3.68|0.0007599999999999|221.0|0.0613|0.0|0.0|9.51e-07|0.000277|-0.02214|2.81|4.0635|-935.5024827|-935.4750982|527.41|875.29|405.23|-935.330989|-0.16784|-0.1899799999999999|0.027384499|5.1|5.2924|5.2924
