molecula|n9FaHRing|n9FaRing|SaaNH|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8d|SIC2|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|Mor01p|PPSA5|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lowest Unoccupied Molecular Orbital Energy|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
11c_a31|0|0|3.336985072|7.765993078999999|1|0.6101368770000001|0.069254998|-0.0184155389999999|5.733341277|0|0.037731481|0.0|-0.011679927|-0.137912959|-0.085216451|2|-0.008375297|-0.0512371409999999|0|0.825336018|-0.139933586|0.8906705429999999|0.564143263|-0.14043574|0.3608415239999999|0.034256743|-80.82023592|-82.24513417|20.06220362|0.435856737|255.2562173|70.98337779|-47.33176279|99.31985763|-24.864808|0.47997061|2470.585429|330.3862551|-1069.186744|1770.045716|0.323910768|13.95917988|0.922968238|5329.481371|189.6959033|0.029155542|-206.2506659|449.7512005|17.07472346|1.0|2.0|3.51|2.66|0.28|-5.84|5.04|3.64|125.57|1.03|97.32|6.0|-5.11|-6.56|371.41|0.0|0.0|1.0|3.04|0.000105|39.0|2.82|0.0|-0.03532|622.22|1022.77|0.2627|321.61|512.9|0.7005899999999999|0.7005899999999999|-0.15994|5289.0|-0.19526|7.5091|6.8861|6.8861
5g_a40|0|0|0.0|8.149890544|1|0.604913142|0.0094595959999999|-0.016033575|6.167516491000001|0|0.044946237|0.64025463|-0.012794054|0.122088541|-0.091116241|2|-0.012008571|-0.104356485|0|0.795454476|-0.1312278909999999|0.882781953|0.67772744|-0.14338431|0.245639795|0.024937196|-72.93994279|-68.05025116|11.83520323|0.32227256|152.9506864|0.0|-34.61732609|80.22859145|-23.39227384|0.488538966|2054.810452|321.64971460000004|-748.5527627|593.8133184|0.254650681|12.10939827|0.955183157|4358.890754999999|120.8573152|0.025660198|-232.8857705|266.8102663|12.1783403|0.0|2.0|3.13|1.96|0.21|-2.89|2.69|2.5|115.96|0.74|78.2|3.0|-4.24|-6.6|301.32|0.0|0.0|1.0|2.01|0.000426|128.0|2.17|0.0|-0.0540299999999999|489.04|800.98|261.0|356.27|367.19|0.6563|0.6563|-0.14505|4.9132|-0.19908|6.7957|6.9101|6.9101
4b_a49|0|0|0.0|7.535296702|1|1.343847828|-0.109946885|-0.0074627159999999|5.4161004020000005|2|0.036555556|1.645329244|0.001769804|-0.033486358|0.02907541|1|0.002557204|-0.10158752|2|0.720824193|0.049923437|0.852400617|0.7581492670000001|-0.090284437|0.438784865|0.0241270029999999|-56.45224362|-55.5653235|14.84890147|0.241850733|148.84640819999998|64.87087098|-34.74338731|71.2971749|-18.89220999|0.477868186|2708.998101|466.6010051|-944.6104994|1701.832352|0.354669161|14.53457293|0.915225186|6025.790417|218.2802175|0.02556165|-178.8869784|600.3287567000001|15.73185141|1.0|1.0|3.37|3.1|0.22|-7.05|3.71|3.26|90.13|1.66|112.36|6.0|-3.81|-7.12|400.43|0.0|0.0|1.0|2.8|0.000132|0.0527|2.28|0.0|-0.06731|664.86|1121.45|0.2856|267.08|509.78|0.4151899999999999|0.68242|-0.15635|1.8265|-0.22366|2.2306|7.1024|7.1024
3j_a32|1|1|3.564417045|8.234564993|1|0.609420782|0.0053427669999999|-0.006580847|6.3044488020000005|0|0.037373737|2.248764828|-0.000202965|-0.086191775|-0.052622352|3|0.001173363|-0.055211759|0|0.812195122|-0.084553991|0.8884057059999999|0.865101945|-0.095013178|0.27811778|0.013773753|-37.33051857|-50.46105839|7.315176208|0.134898055|71.64373163|0.0|-19.82606536|58.58770587|-16.36574867|0.4482615029999999|2282.569698|459.4516326|-605.5327007000001|1778.1826620000002|0.251226|10.69497519|0.812452828|4866.613493|133.42496409999998|0.015301673|-264.245436|398.2788055|8.126647477|1.0|1.0|3.27|3.0|0.24|-6.69|6.68|4.93|110.94|1.94|95.74|3.0|-5.92|-5.6|338.45|0.0|0.0|1.0|4.09|1.58e-05|0.00533|3.89|0.0|-0.05361|564.55|934.19|0.3005|354.42|405.19|0.7028|0.7028|-0.14498|3.6238|-0.19859|5.9266|8.0969|8.0969
12as_a36|0|0|3.447017327|7.412764017000001|2|1.297043209|-0.051208473|-0.007672841|5.351858133|2|0.041728395|0.0|0.000584134|-0.114290948|-0.025398105|1|0.0018565629999999|0.162571317|1|0.8058720979999999|-0.04244711|0.869455765|0.77043791|-0.109492809|0.291030086|0.019229943|-55.75872553|-73.78005999|12.95780416|0.22956209|154.6869148|0.0|-37.57216725|85.53474971|-25.48765709|0.454761514|2904.092809|519.1478419|-1401.82114|2365.632846|0.231874606|16.08155469|0.834059821|6224.698969|156.2451686|0.017444469|-361.3444194|716.9974499|11.75468972|0.0|2.0|4.86|0.0|0.17|-6.89|3.16|2.09|86.27|1.59|133.95|6.0|-3.81|-7.21|423.47|0.0|0.0|0.0|1.84|0.000112|0.0476|2.36|0.0|-0.05789|712.04|1207.35|0.5902|274.29|568.52|0.53815|0.68211|-0.1563|4.8580000000000005|-0.21419|6.8556|7.2291|7.2291
4R4k_a46|0|0|0.0|7.825245291|1|1.134637098|-0.050636784|-0.0049602|5.587248657999999|1|0.0510113959999999|0.0|0.006550513|-0.1149361969999999|-0.1032662209999999|1|0.006050983|-0.158788415|1|0.78837943|-0.141706595|0.787615341|0.890625164|-0.085931818|0.237621572|0.007883196|-47.73036108|-45.72566346|4.194771739|0.109374836|58.20005971|0.0|-25.39807111|49.58292992|-16.19450581|0.465590034|2105.035168|473.9155694|-777.3362788|1767.850427|0.133318901|10.33328154|0.871222588|4711.736397|70.94107067|0.007248925|-390.2334878|519.5743695|3.857266463|1.0|1.0|3.8|3.12|0.33|-6.61|4.26|4.77|50.94|2.84|100.96|2.0|-4.82|-5.46|333.43|0.0|1.0|1.0|3.81|1.4800000000000002e-05|0.0049299999999999|4.05|0.0|-0.02045|565.94|994.13|0.2896|234.09|490.83|0.54119|0.68404|-0.17484|1.8559|-0.19529|1.9753|7.0132|7.0132
17c_a50|1|1|0.0|7.934155233999999|2|1.347835869|-0.212075666|-0.002676029|5.82008293|2|0.031870748|2.193763306|0.01130519|-0.144763835|-0.120904775|2|0.012222674|0.034485992|1|0.762883243|-0.212611846|0.816442883|0.89719894|-0.073693343|0.446454378|0.021675174|-35.70979598|-50.69922125|14.91199042|0.10280106|70.72462009999998|94.15397246|-24.567468100000003|66.7258111|-14.96042594|0.49503436|2951.495914|617.2509739|-912.5859825|2014.72331|0.430249571|16.45688922|0.98033276|6438.380804|296.00120400000003|0.0232952879999999|-95.97318605|849.1345426000001|16.02658985|1.0|0.0|4.12|3.61|0.35|-6.79|3.59|3.53|61.0|1.91|134.28|6.0|-3.8|-6.96|440.54|0.0|1.0|0.0|3.1|3.75e-05|0.0165|2.86|0.0|-0.03121|746.5|1289.05|0.1814|292.44|596.23|0.63122|0.66213|-0.16697|6.3989|-0.19818|8.5146|7.1612|7.1612
18_a15|0|0|0.0|0.0|0|1.435689019|-0.020185809|-0.006149666|0.0|2|0.037948718|0.0|-0.001044324|-0.066226471|0.002685285|0|0.000539978|-0.190640601|2|0.660075777|0.004699248|0.765450925|0.8362289070000001|-0.090730185|0.819442071|0.007146033|-41.31992544|-55.48918283|4.370403779|0.163771093|100.159876|1.833724661|-25.27062952|60.86009645|-21.51621375|0.415796832|2541.440611|511.4247108|-1054.294474|2510.854462|0.132569119|10.2545953|0.711733271|5705.360332|81.07723009|0.008781964|-449.4301265|590.2470602999999|5.370913621000001|1.0|1.0|3.37|3.75|0.08|-9.98|5.68|6.86|47.04|3.6|113.42|5.0|-6.16|-4.8|385.43|1.0|0.0|1.0|5.06|1.18e-06|0.0004559999999999|5.42|0.0|-0.03581|650.53|1110.18|0.2686|272.91|535.02|0.6074|0.70427|-0.1579|4.2476|-0.19371|6.5864|6.8894|6.8894
18_a20|0|0|3.463603867|6.842683282|0|1.400923654|0.1160337319999999|-0.008841844|4.727387819|2|0.0396875|1.983673343|-0.005614194|-0.011236836|-0.054458882|1|-0.004071701|0.268927191|2|0.809917509|-0.090732503|0.8162774979999999|0.76136176|-0.095227339|0.356461863|0.0108136339999999|-61.73239771|-63.36348363|7.195302872999999|0.23863824|158.7879106|82.70867776|-41.07622672|72.31812218|-23.91074854|0.483668611|2809.844943|506.6038164|-1267.269673|1822.210286|0.1890889589999999|15.51556677|0.936740671|6206.896662|125.81822920000002|0.013457694|-413.7552685|712.1606951|8.954638548|1.0|2.0|3.48|2.76|0.08|-10.0|5.54|4.69|97.55|2.06|125.07|5.0|-5.59|-6.13|419.48|0.0|0.0|1.0|3.78|6.91e-06|0.0029|3.85|0.0|-0.05604|703.24|1204.88|0.2991|207.41|531.11|0.31154|0.6953699999999999|-0.14685|5.3978|-0.20289|8.0505|7.4685|7.4685
13_a47|1|1|2.920663104|6.605297921|0|1.417757826|-0.174238791|-0.0049262279999999|4.59511985|2|0.036632997|1.5940801480000002|-0.00105415|0.003874205|0.038682232|1|-0.000211465|-0.108780879|2|0.6427334020000001|0.065869272|0.8582665429999999|0.781675563|-0.088128939|0.244975411|0.017736598|-41.79730418|-45.39284663|9.13564442|0.2183244369999999|112.453046|0.0|-21.52866736|57.38622954|-16.72368034|0.472007922|2190.316257|402.6200617|-635.4998528|669.2729199|0.311738758|13.33103985|0.8939678120000001|4542.479565|160.5682509|0.023284817|-193.936606|359.12161539999994|11.99338291|1.0|2.0|2.9|1.75|0.06|-7.9|4.06|4.63|66.49|2.34|91.59|3.0|-4.24|-6.0|319.34|0.0|1.0|1.0|3.19|5.41e-05|0.0173|3.17|0.0|-0.05465|542.62|895.21|0.3382|307.63|404.73|0.67466|0.67466|-166.0|3.5455|-0.22065|4.8308|7.8|7.8
