molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12ba_a36|0.0|0|0|3.389685532|0|7.412764017000001|2|2|1.297043659|2|0.087201747|-0.423472625|-0.002123045|0.003750685|10.9478512|-0.011949092|1|-0.000621302|0.159880159|-0.168084618|-0.410941182|1|0.844641715|0.8256014690000001|0.041478447|0.796093405|0.849738126|-0.083210415|-0.108410153|0.330220757|-56.0578808|-73.03464847|16.57882744|0.150261874|-49.20258616|11.16896162|16.1479891|0.7068957840000001|-37.76553687|89.06670390000001|72.63670824|0.49229954|3035.390784|572.4586103999999|-1314.6236720000002|-17.03166444|0.293104216|7.409667253999999|14.59456478|0.969665341|197.4608731|-885.6465508|0.023797439|-278.7665262|1859.713557|688.1986357999999|1.0|0.0|1.0|0.0|0.12|-6.72|2.79|1.0|0.0|133.18|0.0|1.0|5.0|-4.77|33.0|6.0|431.45|0.0|0.0|-4.25|1.6800000000000002e-05|0.0072599999999999|5.65e-05|0.0244|2.67|0.0|0.0|5.2506|3.0114|-1417.454721|-1417.426327|1187.56|411.71|0.7436|236.13|0.3989999999999999|0.70432|-1417.187763|0.0009|-0.21033|-1417.249741|4.5448|7.6778|7.6778
17e_a50|0.0|1|1|0.0|2|7.934155233999999|2|2|1.320916122|2|-0.011278897|-0.141076059|0.012036705|-0.086639125|10.94500663|-0.114420412|2|0.012372059|-0.017965698|-0.310566368|-0.229030473|1|0.7596299459999999|0.7409645029999999|-0.1710526319999999|0.736221185|0.930108205|-0.046347299|-0.073011385|0.4239465089999999|-32.24487658|-50.7956915|8.950665784|0.069891795|-35.33972521|6.227183052000001|86.98647608|0.803671114|-22.43349867|57.93079973|41.19554236|0.489797496|2883.936138|647.0975667|-1168.300905|-12.90180444|0.196328886|8.52101688|16.70124474|0.960006062|136.5904997|-812.8136797000001|0.010255676|-422.5418889|1453.705234|904.3172644|0.0|1.0|1.0|4.23|0.37|-7.33|4.23|2.0|0.0|138.0|0.0|1.0|6.0|-4.87|33.0|4.0|438.57|1.0|0.0|-5.18|1.34e-05|0.00589|6.58e-06|0.00288|4.08|0.0|0.0|4.2373|4.0298|-1375.295877|-1375.268259|1312.91|307.67|0.1809|292.6|0.6322800000000001|0.66478|-1374.927998|0.1785|-0.19805|-1374.992422|8.8326|6.8097|6.8097
9a_a40|0.0|0|0|0.0|1|7.515889085|0|0|0.604993021|0|0.168990628|-0.136162501|0.01310675|0.157704751|10.31197235|-0.1720337089999999|2|0.011966382|0.291102625|0.016958188|-0.449508498|0|0.624889926|0.690568477|-0.394662853|0.61091688|0.937600185|-0.060029933|-0.072887601|0.002467659|-29.02567082|-35.24260989|5.334966331|0.062399815|-17.0405052|2.579562688|51.49564873|0.868476591|-14.03449109|39.45618424|34.36063715|0.493941591|1971.148912|453.3484005|-528.6391483|-7.51786994|0.131523409|6.749223592000001|13.33684703|0.976056482|63.59419322|-255.607578|0.008714375|-356.33157|608.6970611|323.79254|1.0|0.0|0.0|3.28|0.06|-6.4|4.58|1.0|0.0|86.7|0.0|1.0|2.0|-5.49|21.0|2.0|291.37|1.0|1.0|-5.08|3.24e-06|0.000944|8.33e-06|0.00243|4.54|0.0|0.0|4.7066|3.3192|-1217.955997|-1217.9449|847.69|373.53|0.4746|263.42|0.47831|0.69958|-1217.825264|0.3483|-0.20303|-1217.873686|5.09|6.6696|6.6696
18_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.3998285519999998|1|0.049240675|-0.181355303|0.000379379|-0.200683549|10.94611841|-0.063708832|1|0.00042|0.108754635|0.015390457|-0.319213511|1|0.624748358|0.793041267|0.102914528|0.615655659|0.7755960390000001|-0.094231531|-0.085817825|0.269470313|-46.48874223|-42.33787448|8.729352711|0.224403961|-20.88721799|4.306590617|0.0|0.769438308|-22.93503169|50.98777224|55.21809494|0.405586004|2069.649003|382.6371479|-635.0681172000001|-8.467791078|0.2305616919999999|6.133421395|10.31843368|0.682329162|113.7466718|-313.3082699|0.0175331289999999|-265.85258480000005|825.3658678999999|337.0066459|0.0|1.0|1.0|2.56|0.11|-5.53|3.46|0.0|0.0|86.22|0.0|2.0|3.0|-2.95|23.0|4.0|307.32|1.0|1.0|-3.51|0.00113|349.0|0.000312|0.0959|2.24|0.0|0.0|4.5152|4.2045|-1033.480025|-1033.454769|870.74|294.88|0.2083|274.59|0.52475|0.57777|-1033.349218|0.1|-0.20883|-1033.398285|3498.0|5.5817|5.5817
12ax_a36|0.0|0|0|3.429529478|0|7.412764017000001|2|2|1.280791885|2|0.075802407|-0.414810497|-0.001012333|-0.057017299|10.958822|-0.034663063|1|-0.00097037|0.128253871|-0.1716508239999999|-0.440372791|1|0.884841888|0.836170906|-0.0394369539999999|0.771220556|0.846837721|-0.073739612|-0.107815607|0.375647684|-49.32384393|-72.11700812|12.79462904|0.153162279|-48.23849712|8.558226304|1.236876307|0.7648530440000001|-32.99232962|84.58859134|62.11847297|0.488501696|2926.929456|566.4430628|-1298.106146|-17.36585896|0.235146956|7.563197245|14.78635841|0.955040697|157.28794140000002|-868.2929481000001|0.018645135|-354.3162187|1697.196809|661.6709012|1.0|0.0|1.0|0.0|0.14|-7.76|3.99|2.0|0.0|133.77|0.0|1.0|5.0|-5.08|31.0|4.0|450.32|1.0|1.0|-5.18|8.27e-06|0.00372|6.55e-06|0.00295|3.93|0.0|0.0|5.2372|3.8889|-2152.130959|-2152.100515|1182.31|318.82|0.5236|236.74|0.39564|0.69348|-2151.910753|0.4167|-0.21324|-2151.971761|6.0402|7.9208|7.9208
16_a15|-3.726252327|0|0|0.0|0|0.0|0|0|0.300207157|2|-0.003882928|-0.4898555739999999|-0.009769916|-0.109386268|10.31928197|-0.011969556|0|-0.00379317|-0.006331105|-0.0764246109999999|-0.528097878|2|0.787100127|0.729432583|0.080837546|0.72660548|0.723597405|-0.08870471|-0.101500719|0.7427725270000001|-60.63825695|-69.38556779999999|4.848103252|0.276402595|-47.4317527|3.31414791|17.68542055|0.868460507|-41.45211893|76.07332645|65.48636021|0.419910645|3173.773379|494.6488764|-1457.096924|-18.44568161|0.131539493|6.798937229|11.720499900000002|0.7238723509999999|89.91997762|-996.0668068|0.009783192|-503.7568532|1677.792959|728.353441|1.0|1.0|0.0|2.93|0.08|-9.21|3.37|2.0|0.0|124.45|0.0|1.0|6.0|-6.0|32.0|6.0|446.52|0.0|1.0|-5.21|9.89e-07|0.000442|6.14e-06|0.00274|3.88|0.0|0.0|4.1731|4.1295|-1770.509465|-1770.448668|1229.58|300.24|0.3809|297.1|0.6541100000000001|0.66615|-1770.217907|0.1409|-0.20953|-1770.281427|11.7447|7.6778|7.6778
47g_a18|0.0|0|0|0.0|0|7.03438793|1|1|1.251175676|0|-0.048472184|-0.477030713|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|0.00531392|-0.071877686|-0.3927204379999999|-0.4138670829999999|0|0.765824398|0.750610215|-0.009917608|0.745431271|0.834424154|-0.065225536|-0.08547236|0.413435809|-55.35188184|-72.53379954|11.37505183|0.165575846|-61.55384106|9.653129118|47.07867403|0.731870777|-46.97287277|86.33162323|66.72693367|0.4913566339999999|3367.0578530000003|708.1114197|-1958.412588|-21.03738872|0.268129223|10.33698377|20.32265524|0.966014041|227.5405903|-1661.953709|0.016259076|-393.5416883|2675.8994190000003|1347.416568|1.0|1.0|1.0|0.0|0.34|-9.22|3.22|3.0|2.0|164.47|1.0|1.0|13.0|-6.11|40.0|4.0|541.68|0.0|0.0|-5.52|7.76e-07|0.000421|3.01e-06|0.00163|4.52|1.0|1.0|3.0965|3.0965|-1743.375845|-1743.346243|1604.37|400.4|0.5955|400.4|0.69828|0.69828|-1742.7686640000002|0.5955|-0.17202|-1742.847918|5.9864|8.0458|8.0458
12l_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.60498366|2|-0.102468864|-0.876151158|-0.00695299|0.154540315|10.31162828|-0.02588969|1|-0.004395528|-0.300262845|-0.226973911|-0.640870513|1|0.613786308|0.830875659|-0.045411075|0.593245722|0.834279405|-0.0905026719999999|-0.109810463|0.37422435|-63.31694493|-76.82494797|10.78883933|0.165720595|-53.74781658|7.548024079|1.697908189|0.8218150790000001|-44.29742723|88.64610824|74.10578426|0.462727396|3306.001879|583.6736326|-1690.148855|-22.31041443|0.178184921|9.258542907|17.23248653|0.861252543|124.6606826|-1182.451965|0.016896687|-450.2927313999999|2056.604824|696.6414817000001|1.0|0.0|1.0|0.0|0.17|-7.18|4.43|2.0|0.0|133.96|0.0|1.0|7.0|-6.7|34.0|8.0|482.48|0.0|0.0|-5.92|1.99e-07|9.63e-05|1.2e-06|0.000579|5.05|0.0|0.0|5.0454|3.5245|-1988.033039|-1987.998976|1223.54|351.78|0.2294|245.74|0.39486|0.68488|-1987.782294|0.1574|-0.20397|-1987.848331|2.9851|7.2154|7.2154
17b_a50|0.0|1|1|0.0|2|7.934155233999999|1|1|1.348984601|1|0.035558152|-0.144000296|0.012409091|-0.152660972|10.94500663|-0.15040528|2|0.012686493|0.05636897|-0.357011777|-0.237489143|1|0.7715057479999999|0.7621727979999999|-0.1585336269999999|0.748900413|0.931849183|-0.047785496|-0.07555585|0.4220781729999999|-33.25475672|-52.58062823|8.976922737999999|0.068150817|-36.59177249|6.247196459|86.9549829|0.803386523|-23.14256283|59.65808461|42.23167946|0.4835366239999999|2765.537065|648.4900322000001|-1156.773821|-12.98417734|0.1966134769999999|8.324966952|16.11918162|0.936245718|136.82673369999998|-805.0189948|0.010169967|-422.2639022|1439.872076|862.3868512|1.0|1.0|1.0|3.57|0.35|-7.54|4.18|3.0|0.0|131.39|0.0|1.0|8.0|-4.75|32.0|4.0|426.56|1.0|0.0|-4.91|1.7899999999999998e-05|0.00763|1.22e-05|0.0052|3.96|0.0|0.0|4.2447|4.0418|-1337.1910779999998|-1337.164673|1300.3|306.75|0.1817|292.09|0.6269899999999999|0.66195|-1336.833957|0.1758|-0.19879|-1336.899093|8.4096|6.9136|6.9136
7_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.343865525|2|-0.07290303|-0.076100699|0.008409909|-0.125778587|10.92992954|0.04206117|1|0.008242591|-0.162314698|-0.094000778|-0.174410426|2|0.527072036|0.8046449179999999|0.022270259|0.518356619|0.825830607|-0.0650223009999999|-0.071288428|0.470973822|-32.72992462|-35.88407105|7.402610584|0.174169393|-18.06277106|3.726212114|79.08210981|0.7179916670000001|-16.47508541|44.34066533|40.13253521|0.437317462|2286.169166|415.6938929|-538.2610657|-6.773539148999999|0.282008333|5.512905888|9.797542165|0.7772010559999999|141.9530115|-270.9415659|0.016800137|-219.4585767|749.6759227000001|407.1471338|1.0|1.0|1.0|2.7|0.15|-7.46|4.42|0.0|0.0|95.07|0.0|1.0|2.0|-3.81|25.0|4.0|330.36|1.0|1.0|-4.41|0.000156|0.0514|3.92e-05|13.0|3.22|0.0|0.0|4.0379|4.0379|-1089.870249|-1089.847072|915.46|307.05|0.0697|307.05|0.59702|0.59702|-1089705.0|0.0697|-0.2219199999999999|-1089.753885|4926.0|6821.0|6821.0
