molecula|SddssS|NaaNH|n9FaHRing|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8d|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
1a_a18 (SB-431542)|0.0|1|0|1|1|1.430935835|0.0|0.043282217|-0.015636898|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|-0.766207981|10.94959842|-0.0492229479999999|-0.008385698|0.164429684|-0.567791164|0.838928085|0.7462411859999999|-0.083341531|0.5940412860000001|-0.126408788|-0.122555709|0.210046675|0.033020439|-74.98172333|-72.69619778|19.58668728|160.410387|240.8019609|105.3125675|0.7531996609999999|-44.47680367|87.15852628|94.56841061|0.472443977|352.3666367|-1235.8353619999998|1890.195809|-16.29019397|7.52384981|14.26170773|0.895533283|5748.422847|146.3942108|36.46179023|0.02438148|-300.3801761|1640.78056|513.4628663999999|14.4623285|1.0|1.0|1.0|2.35|0.05|4.04|3.63|103.12|1.54|0.0|106.85|0.0|1.0|-4.52|5.0|-6.73|384.39|0.0|-4.25|5.660000000000001e-05|0.0218|2.03e-08|7.81e-06|3.8208|4.57|3295.0|-1292.588031|-1292.553086|620.23|0.5767|324.5|464.08|0.69868|0.3347|5.9926|-1292.414518|8.8609|125.0|6.9031
9_a15|0.0|0|0|0|0|1.419941378|0.0|-0.217598467|-0.009923019|0.0|-0.042227775|1|0.04022792|0.096418279|-0.506073953|10.95880687|0.005692073|0.003160815|0.140072812|-0.344978312|0.85357243|0.7059441040000001|0.010183805|0.846156316|-0.073701648|-0.11668349|0.416635119|0.032464905|-41.10356167|-65.07462414|18.10574464|105.5304352|85.79894134|54.69975317|0.51257747|-22.92354152|85.14415759|59.20930631|0.4517825079999999|471.903131|-780.8954896|1689.926339|-8.88789863|5.485176331|10.00547485|0.8240935659999999|5375.400861|271.83655510000006|31.09118831|0.03598612|-14.02896218|1523.4682269999998|532.0914339999999|20.06953345|1.0|1.0|1.0|3.37|0.19|3.9|4.95|61.84|1.96|0.0|104.74|0.0|1.0|-5.25|5.0|-5.52|366.41|0.0|-4.81|1.53e-05|0.00562|2.69e-08|9.86e-06|4.3447|3.36|3.7487|-1223.705126|-1223.687392|588.55|0.2693|285.37|507.33|0.70552|0.0115|1.4625|-1223.522216|2188.0|107.0|6.9706
9s_a24|0.0|1|0|1|1|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|4|0.023585859|-0.050919714|-0.190782186|10.96129902|0.013901071|0.007695726|-0.0897306019999999|-0.248704391|0.799076569|0.773544454|0.0256742079999999|0.8833498320000001|-0.049825449|-0.063587778|0.483170382|0.016792118|-30.93968263|-39.48555839|10.42725806|33.24649431|72.43525688|0.695462853|0.445160769|-19.21235005|61.19761205|41.36694069|0.47085169|548.5261887|-592.2833757999999|969.5210193|-7.505819207999999|9.124394347|17.24354813|0.889829339|5767.9102490000005|344.5337711|27.15292246|0.03496522|68.10609672|1330.4932|604.8829955|21.71205366|0.0|1.0|1.0|2.78|0.04|3.15|4.29|77.21|0.81|0.0|115.67|0.0|1.0|-3.36|4.0|-7.2|393.44|0.0|-4.06|8.71e-05|0.0343|7.73e-09|3.04e-06|3.0726|1.82|2.6707|-1271.031372|-1270.994965|654.28|0.5112|403.51|521.4|0.6907300000000001|0.0839|4.6141|-1270.796154|7.0312|32.0|7.4949
33_a47|0.0|0|1|0|0|1.409403453|1.758479676|-0.229935275|-0.004263267|4.727387819|-0.085712613|3|0.034691358|-0.11544858|-0.183320497|10.98214099|0.0741098479999999|0.003634698|-0.26447859|-0.270498605|0.63155995|0.82821379|0.1186944519999999|0.8197001309999999|-0.060080724|-0.083739854|0.404334141|0.022346992|-32.1568697|-44.81989209|11.96072985|30.94680001|96.50148984|0.0|0.57681348|-17.2112484|60.65229445|44.11759955|0.4607629339999999|438.726241|-582.6585971|787.797733|-7.79637597|6.979305126|12.94292541|0.854471925|4889.09585|226.5011607|25.25333652|0.029580684|-82.22540944|1010.133461|388.178924|15.83240237|0.0|1.0|1.0|2.76|0.11|2.96|4.04|68.52|1.52|0.0|94.28|0.0|1.0|-3.26|5.0|-6.78|334.35|0.0|-3.72|0.000192|0.0643|8.339999999999999e-08|2.79e-05|4.1869|2.06|4.1869|-1123.16428|-1123.135036|566.29|0.2566|296.13|423.52|0.67508|0.2566|4.5647|-1123.04547|6.2284|4.0|8.4
12ay_a36|0.0|1|0|2|2|1.2970434|0.0|-0.05976542|-0.006733838|5.351858133|-0.043778345|2|0.043383838|0.1012005419999999|-0.404030255|10.9463292|-0.06756661|0.0045625|0.1689021819999999|-0.438622276|0.902377067|0.78699829|-0.111814717|0.829406408|-0.074251203|-0.098945129|0.419950383|0.018016934|-48.12939044|-64.13591431|11.67851857|126.7858133|110.578217|8.677627506|0.778164805|-31.1973159|74.29343346|59.80790901|0.4530143439999999|537.618563|-1282.718286|3238.138932|-14.84739041|6.466730436000001|11.82248632|0.828201506|6204.216872999999|143.79285900000002|29.43551742|0.015670425|-360.6110621|1648.388976|729.1873176|10.15751916|1.0|0.0|0.0|0.0|0.21|3.76|2.5|69.2|2.45|0.0|133.68|0.0|1.0|-4.54|4.0|-6.38|409.49|0.0|-4.6|2.5e-05|0.0102|4.55e-08|1.86e-05|3.9348|3.79|3.6561|-1311.576473|-1311.547668|674.33|0.2939|315.09|532.22|0.6914|0.1464|6.2579|-1311.343228|9.1844|18.0|7.7447
12u_a30|0.0|0|0|2|2|0.604983445|0.0|0.028039604|-0.006935447|5.351858133|-0.027452346|2|0.043383838|-0.091507428|-0.367578706|10.31162873|-0.0646674999999999|0.001805829|-0.15896471|-0.467189145|0.8149999040000001|0.83236194|-0.105767484|0.84944095|-0.0773921259999999|-0.097867106|0.477056017|0.015562896|-51.83732031|-65.55148142|10.42404292|78.15130994|100.8445957|0.0|0.810462868|-34.72068676|75.26051582|62.26136323|0.443167712|568.9563615000001|-1245.478147|2608.6452440000003|-17.02494806|7.804487592999999|14.01586754|0.7958728709999999|7133.515802|126.9521524|31.36222814|0.014495402|-415.8966522|1536.749179|685.6665849999999|9.709034401|1.0|1.0|0.0|0.0|0.14|5.11|3.92|81.65|3.79|0.0|137.3|0.0|1.0|-6.58|4.0|-5.52|467.37|0.0|-6.04|9.14e-07|0.0004269999999999|1.58e-08|7.39e-06|3.5003|5.08|3.5003|-2494.962309|-2494.927579|705.15|0.1502|354.21|559.16|0.6847|0.1502|5.3020000000000005|-2494.7995530000003|7.0553|34.0|7.4647
13a_a5|0.0|1|0|0|0|1.393002748|0.0|-0.154076582|-0.006081807|4.59511985|-0.033436214|2|0.023989899|-0.007871499|-0.328417593|10.94530369|-0.025324157|0.003196482|-0.012798693|-0.367284642|0.746303189|0.8045357209999999|-0.048575318|0.7667501609999999|-0.08903048|-0.0839257009999999|0.470564031|0.016739606|-57.31787843|-54.03141848|10.77696869|126.2663658|150.1663914|39.93934134|0.598791539|-36.90128585|72.13276165|68.09484712|0.460877309|493.6342317|-918.5341141|1314.232685|-11.59515363|8.571729592999999|15.89940424|0.854865353|5628.9694|258.29825730000005|30.07803494|0.02811638|-127.2041084|1533.979782|620.5697596|18.10134317|1.0|1.0|1.0|2.46|0.13|4.39|3.58|92.79|0.95|0.0|114.18|0.0|1.0|-3.77|5.0|-7.18|399.45|0.0|-3.74|0.000184|0.0734|1.26e-09|5.02e-07|4.6285|3.81|4.2107|-1313.167422|-1313.126035|688.18|0.5953|267.87|567.51|0.50037|0.1992|3.3414|-1312.968936|4.1671|91.0|7041.0
9a_a36|0.0|1|0|2|2|1.297044807|0.0|-0.109305298|-0.007853595|5.351858133|-0.046964839|2|0.040166667|0.095192109|-0.41624054|10.96066876|-0.06502499|0.00484375|0.160672128|-0.398235589|0.839235677|0.7885597609999999|-0.1177413269999999|0.826559623|-0.073689118|-0.10869601|0.204819754|0.0236784079999999|-45.04449811|-66.44342306|14.47407729|49.52042402|106.0201967|0.0|0.7638345870000001|-27.53468726|78.37175688|59.5185754|0.453098452|505.25728260000005|-1195.981615|2167.77208|-14.91993116|7.546661564|13.79893984|0.828482664|5693.562367|144.36259840000002|31.95428497|0.019513779|-322.5522826|1565.759963|578.2841135|11.92833382|1.0|0.0|0.0|0.0|0.14|3.04|2.04|66.4|2.02|0.0|120.94|0.0|1.0|-3.71|5.0|-6.74|382.42|0.0|-3.99|0.000102|0.0391|5.26e-07|0.0002009999999999|3.8677|3.38|3.8677|-1252.802159|-1252.77514|648.41|0.4811|320.56|495.18|0.68682|0.4811|5.7274|-1252.636005|7.4992|13.0|7.8861
12_a3|0.0|0|0|0|0|0.605020506|0.0|0.167987916|-0.009093383|4.727387819|-0.118456941|2|0.042795699|-0.120694579|-0.336455156|10.31163031|-0.069857022|-0.0045709459999999|-0.218774634|-0.604704476|0.899733837|0.718481325|-0.125395523|0.829399708|-0.092838926|-0.096133903|0.101891875|0.011076075|-44.07517037|-45.63945658|5.258353635|239.2266101|80.99228663|76.23910943|0.830418645|-20.92463497|52.16354015|49.333524|0.463780604|393.75653|-638.9523922000001|1064.221958|-8.921820355|5.6343192|10.50748861|0.864908294|4400.493202000001|80.50854774|22.63041363|0.01374218|-313.7317211|769.4340634|330.4083896|6.524083564|1.0|1.0|1.0|2.17|0.0|4.34|4.01|92.93|1.6|0.0|90.49|0.0|1.0|-5.68|3.0|-5.3|304.37|0.0|-4.84|1.44e-05|0.0044|1.3e-07|3.9500000000000005e-05|3263.0|2.94|3263.0|-1272.152002|-1272.125792|515.23|0.5056|379.97|361.95|0.69784|0.5056|2.3762|-1272.058487|3.1979|3548.0|5.45
47k_a18|0.0|0|0|1|1|1.25117623|0.0|0.029145635|-0.0067578909999999|4.844187086|-0.0605329409999999|0|0.033777778|-0.017736343|-0.5135996820000001|10.94702256|-0.008576013|0.00493127|-0.026672956|-0.451417954|0.762665453|0.721697829|-0.014398731|0.8309354040000001|-0.065324278|-0.088346874|0.3533268229999999|0.015080484|-51.59195677|-69.77479556|11.91029894|20.66242736|133.5242222|58.77865447|0.7153044209999999|-40.74641317|84.23875372|63.50225571|0.467246896|656.2580564|-1744.369889|2009.418849|-18.87222501|9.777177947|18.35217454|0.877042091|7575.637462000001|224.8475227|33.40602576|0.018313855|-340.0872332|2438.639881|1167.054827|14.46395816|1.0|1.0|1.0|0.0|0.3|2.39|3.17|88.97|2.82|2.0|154.86|1.0|1.0|-5.84|4.0|-6.41|513.63|0.0|-5.33|4.65e-06|0.0023899999999999|3.6099999999999997e-09|1.85e-06|3.0948|8.45|3.0948|-1664.756029|-1664.728002|842.29|0.5920000000000001|400.63|793.48|0.69823|0.5920000000000001|4.1818|-1664.341238|5.2253|29.0|7.5376
12az_a36|0.0|1|0|2|2|1.297042831|0.0|-0.196183836|-0.009570959|5.351858133|-0.040156368|2|0.040566449|0.078817323|-0.593399474|10.95957115|-0.012800556|0.002872872|0.129156742|-0.387734368|0.884226781|0.812921349|-0.021825174|0.819163613|-0.071762413|-0.10786263|0.411597359|0.034771534|-50.28669997|-75.58351856|24.36575918|60.11023222|126.71905359999998|8.104966044|0.583865006|-35.23783652|99.82512582|74.65245915|0.462897841|574.0196415|-1360.503334|2455.7577530000003|-16.43719536|8.449849817|15.73229538|0.861843195|6700.839465|291.60189260000004|40.17530387|0.034594361|-117.53490990000002|2330.167624|766.4854363|24.24160725|1.0|0.0|1.0|0.0|0.21|2.83|1.9|87.66|1.42|0.0|136.74|0.0|1.0|-4.11|6.0|-7.13|441.49|0.0|-4.15|7.13e-05|0.0315|1.6100000000000005e-07|7.11e-05|3.8863|2.68|3.6095|-1461.990465|-1461.962459|737.12|0.4383|319.03|576.54|0.70333|0.0146|6.3778|-1461.750394|7.821000000000001|58.0|7.2366
3l_a32|0.0|1|1|0|1|0.609420748|0.0|-0.003342759|-0.0054004|5.733341277|0.0043645509999999|0|0.035643275|-0.039331295|-0.270019992|10.31100268|-0.107818594|0.002942329|-0.068876714|-0.524711546|0.820540279|0.751853889|-0.184582641|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|0.012244965|-40.30321333|-51.41835077|7.120934925|61.72183119|66.55229892|0.0|0.788236719|-23.43792428|58.10243176|47.42414825|0.453630671|514.9875423000001|-771.2752615|2415.340446|-9.750593329|6.414825717|11.74082324|0.8302637909999999|5429.531532999999|123.148785|21.27134288|0.011493763|-335.2422712|978.4817724|565.7000781|6.6840809960000005|1.0|1.0|1.0|3.54|0.35|7.34|6.17|110.94|2.64|0.0|110.16|0.0|1.0|-7.6|3.0|-4.71|380.53|1.0|-6.01|9.7e-07|0.0003689999999999|3.16e-08|1.2e-05|3.5319|4.21|3.5319|-1789.475625|-1789.4501510000002|629.26|0.2876|351.04|468.81|0.70282|0.2876|3.3955|-1789.298086|5.7721|12.0|7.9208
12z_a36|0.0|1|0|2|2|1.297044126|0.0|-0.065211069|-0.007671785|5.351858133|-0.010732275|2|0.041767677|0.037307819|-0.421948174|10.95429182|-0.030529442|0.001194592|0.066366917|-0.433580807|0.8707354620000001|0.826316772|-0.0533649729999999|0.834790405|-0.081592361|-0.102674964|0.492335362|0.023371488|-54.11489962|-68.09761735|15.50078625|114.3931487|109.572766|15.59091678|0.712682362|-35.89088901|83.07227002|69.61568586|0.4577848329999999|553.6621150000001|-1225.757112|2451.657399|-15.940487699999998|8.016303367999999|14.78435842|0.844286292|6146.834385|190.5590792|33.72393432|0.0225782039999999|-282.1167226|1719.920651|642.3830552000001|14.97465267|1.0|0.0|0.0|0.0|0.13|2.75|1.76|92.99|1.38|0.0|128.47|0.0|1.0|-3.99|5.0|-7.08|406.44|0.0|-3.95|0.000113|0.0458|2.21e-07|8.97e-05|3.8969|2.98|3.8969|-1325.195958|-1325.157504|686.33|0.4423|318.16|539.36|0.69397|0.4423|4814.0|-1325.010808|6.5892|5.0|8301.0
4j_a46|0.0|0|0|1|1|1.134637093|2.194310043|-0.175292207|-0.002284836|5.587248657999999|-0.012405467|1|0.048126615|-0.0529855709999999|-0.130235627|10.94638774|-0.176133068|0.011684396|-0.078783783|-0.226712003|0.72796254|0.7298040140000001|-0.258222236|0.949893337|-0.05924408|-0.074417476|0.295221643|0.01492164|-34.99059698|-43.95227197|8.812983129|70.56141095|29.59387777|71.98911503|0.776932317|-20.66606288|50.26191521|43.80358011|0.402450715|561.0237355|-791.1408955|2563.282153|-8.652995323999999|6.274010655|10.49957018|0.673502127|5077.124695|131.7477027|18.85718615|0.0106831269999999|-327.122208|1018.288052|642.1335502000001|6.30964324|0.0|1.0|1.0|3.9|0.39|5.18|5.33|39.94|3.28|0.0|110.24|0.0|1.0|-5.38|3.0|-5.09|361.48|0.0|-5.31|4.86e-06|0.00176|2.03e-08|7.33e-06|5.3949|4.93|4.4093|-1132.043677|-1132.018764|646.67|0.2783|229.82|572.31|0.69413|0.1418|2.9043|-1131.817578|3.8105|805.0|6.0942
4p_a46|0.0|0|0|1|1|1.134636977|2.102855253|-0.060700883|-0.004413243|5.587248657999999|-0.038295755|0|0.046533816|-0.164311513|-0.233901882|10.93681929|-0.120823841|0.004453195|-0.251219946|-0.369670745|0.7471162309999999|0.747019097|-0.1623103719999999|0.905966489|-0.0997229069999999|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|-47.22779946|4.195717966|175.10295019999998|53.32991189|0.0|0.87420565|-32.07534663|51.05047787|60.7522985|0.423511708|513.8073925|-850.1003902999998|2219.4587530000003|-9.642472876|5.828038618|10.10955243|0.734640605|5167.091582|71.34266847|19.44852199|0.006740305|-424.4519674|972.4260993|585.8536976|3.822678404|1.0|1.0|0.0|3.2|0.3|4.85|5.25|61.84|3.2|0.0|107.89|0.0|1.0|-5.8|3.0|-5.09|357.45|0.0|-5.4|4.03e-06|0.00144|8.95e-08|3.2e-05|5.4796|4.89|3.9958|-1129.65844|-1129.618646|598.19|0.2363|226.26|537.47|0.70138|0.0763|3.6961|-1129.4459470000002|5.3996|341.0|6.4672
19l_a38|0.0|1|0|2|2|1.297043246|0.0|-0.086107169|-0.007360265|5.351858133|-0.10490608|2|0.04391253|0.103904811|-0.426895387|10.94917392|-0.032264281|0.000347207|0.217841852|-0.4224000739999999|0.723755855|0.839953955|-0.053823023|0.799611189|-0.079681862|-0.100870929|0.51306986|0.0219046379999999|-51.6277901|-65.35669452|14.19254029|133.9992534|129.8367176|19.55998015|0.7374102309999999|-33.45088372|79.04689476|65.82033039|0.430111845|518.0872716|-1307.13389|2934.313773|-15.68376675|6.568874137999999|11.52660233|0.754730276|6705.993411|170.13821069999997|32.82593886|0.021129331|-307.64756780000005|1772.6006989999998|696.3887025|13.69020024|1.0|1.0|1.0|2.7|0.12|4.03|3.09|81.23|2.75|0.0|135.78|0.0|1.0|-4.94|4.0|-6.39|427.48|0.0|-4.72|1.89e-05|0.00807|5.27e-08|2.25e-05|3.6709|4.08|3354.0|-1409.5865199999998|-1409.557954|660.04|0.2883|337.75|502.31|0.7044|0.0233|6.5627|-1409.37001|9026.0|14.0|7.8633
16_a4|0.0|0|0|1|1|1.398650725|1.843196334|-0.219944434|-0.00228637|5.4161004020000005|-0.095499301|1|0.04501634|0.007101649|-0.089168424|10.94592242|0.019290123|0.006466406|0.020218035|-0.214481956|0.490768328|0.774455255|0.0293772029999999|0.7898461090000001|-0.073335635|-0.080093659|0.292255386|0.013727656|-36.11951685|-39.44800181|6.761192037000001|13.51923899|103.5057102|74.430775|0.832461695|-17.789707500000002|45.11883447|42.88070889|0.455802506|389.0176968|-591.7200271|1522.164774|-8.095443438|5.548106463|10.19502391|0.837568182|4520.2597670000005|82.51653675|19.74465314|0.0115138339999999|-327.4903335|710.807513|322.8922084|5.67083266|1.0|0.0|0.0|3.08|0.11|4.49|4.96|30.71|3.44|0.0|85.02|0.0|1.0|-3.92|4.0|-5.64|309.31|0.0|-4.43|3.68e-05|0.0114|4.33e-07|0.000134|4511.0|4.05|4.2257|-1057.494456|-1057.478071|515.68|0.2213|274.85|407.99|0.54061|0.1006|1863.0|-1057.429593|1.9873|343.0|6.4647
6e_a40|0.0|0|0|1|2|0.604892975|1.75595616|0.128035402|-0.0148450439999999|6.401917197|-0.074872854|0|0.039160494|-0.15110197|-0.69771706|10.30179954|-0.205140551|-0.002992481|-0.276969278|-0.6319354389999999|0.685858263|0.8361555479999999|-0.289988439|0.74620476|-0.107312598|-0.1164147119999999|0.376602018|0.015875595|-70.52033811|-76.50178121|10.43262695|185.1473293|166.7812216|35.33106374|0.866991176|-46.34235117|84.95203628|80.95296505|0.441911406|490.3675161000001|-1377.032062|3854.417113|-21.04453212|6.972949117000001|12.49434084|0.791830204|7585.605268000001|87.40658058|36.93694043|0.012858969|-482.3355765|1588.2884390000002|587.7345677999999|8.450255075|1.0|1.0|1.0|3.16|0.21|5.02|3.72|173.43|2.12|2.0|125.15|1.0|2.0|-7.76|5.0|-6.09|476.98|1.0|-5.58|2.6e-06|0.00124|2.35e-05|0.0112|2.9549|8.35|2.9549|-2831.191706|-2831.156883|671.95|0.3625|419.59|537.07|0.67187|0.3625|8.3311|-2831.048968|11.5248|18.0|7.7447
17f_a50|0.0|0|1|1|1|1.349854916|4.305828452|-0.2208117919999999|-0.002205848|5.82008293|0.022892513|1|0.03135101|-0.167275895|-0.125733326|10.94501702|-0.132773563|0.0129274519999999|-0.275290802|-0.204651539|0.758335704|0.7851209440000001|-0.2257632789999999|0.911458734|-0.047333916|-0.074859564|0.333180181|0.016414675|-29.10566644|-46.03121141|10.09339793|6.382846132999999|54.44410182|82.90209608|0.721122105|-17.89709978|55.9791334|39.19906437|0.472769049|560.4567739|-874.5930167000001|1929.981543|-10.14694362|7.200480876|13.65716648|0.896702|5579.97966|171.48226169999998|22.88344084|0.01617809|-271.9363523|1212.822364|652.6793116|9.947921993|1.0|1.0|1.0|2.97|0.26|2.87|3.83|51.77|2.09|0.0|116.81|0.0|1.0|-3.58|4.0|-6.64|384.48|0.0|-4.12|7.57e-05|0.0291|4.15e-07|0.00016|4.0664|2.5|4.0664|-1219.2481369999998|-1219.220465|653.63|0.1708|304.9|564.52|0.6573899999999999|0.1708|6.1931|-1219.02507|8.312999999999999|398.0|6.4001
3o_a32|0.0|1|1|1|1|0.609420753|0.0|-0.022603806|-0.006253394|5.733341277|-0.014299905|1|0.035643275|-0.064818511|-0.306416317|10.3110027|-0.090297882|0.000243592|-0.117744493|-0.483580522|0.90022001|0.8214857240000001|-0.154436834|0.8377808240000001|-0.073742105|-0.095457829|0.252703854|0.012519666|-42.51640563|-55.03672286|7.218280399|62.67187821|93.52833522|0.0|0.7850948190000001|-24.51306152|62.56936516|49.73468603|0.455089918|483.0270239|-825.5508427999999|2469.87467|-10.57723917|6.392329273|11.73098001|0.835165165|5488.777096|123.9047338|23.36733582|0.0130649069999999|-328.7458915|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|3.06|0.32|6.39|4.2|122.97|1.58|0.0|112.07|0.0|1.0|-5.72|4.0|-6.17|381.52|0.0|-4.73|1.87e-05|0.00714|5.35e-08|2.04e-05|3.5333|2.35|3.5333|-1805.504508|-1805.473626|620.56|0.2851|350.9|464.85|0.70216|0.2851|3.2729|-1805.333039|5.8476|0.24|6.6198
19j_a38|0.0|1|0|2|2|1.29704352|0.0|-0.089207643|-0.007976154|5.351858133|-0.04575843|2|0.04391253|0.105682345|-0.438688445|10.95429182|-0.036248822|-0.002443797|0.23209815|-0.42133715|0.7163622890000001|0.846765471|-0.060360554|0.8071763829999999|-0.0844479869999999|-0.108006563|0.625966089|0.0250587|-57.80349365|-73.92901683|17.15233756|131.29876370000002|131.9851314|29.18585028|0.714369845|-39.565701700000005|90.05233553|74.95583121|0.408533267|552.5012068|-1330.722303|3109.238056|-17.86002424|7.506210369|12.69084117|0.6907121629999999|6704.612831|195.5099392|36.5253298|0.023555355|-293.4664598|1862.79182|640.025745|16.123318700000002|1.0|1.0|1.0|2.34|0.13|3.17|2.42|105.02|1.76|0.0|130.41|0.0|1.0|-4.35|5.0|-7.13|426.45|0.0|-4.12|7.55e-05|0.0322|1.2099999999999998e-07|5.14e-05|6.0361|3.23|3.6886|-1424.426858|-1424.390074|686.26|354.0|205.41|533.97|0.69435|0.2625|10.8124|-1424.24494|14.4895|8.0|8.1146
11d_a5|0.0|1|0|0|0|1.388848584|0.0|-0.245058546|-0.003373937|4.59511985|0.001099755|2|0.0228184279999999|-0.125546291|-0.185566552|10.94877952|0.01948342|0.008809179|-0.202307745|-0.22897714|0.786587307|0.783891527|0.036918829|0.87090286|-0.063028408|-0.0847408619999999|0.359644732|0.012828514|-40.04753555|-53.84338206|8.151092424|61.45330587|82.02685783|0.0|0.712305422|-25.44574968|65.35645739|48.19862797|0.49396568|553.3617954|-969.1808771|900.3825317|-11.84243331|8.920296087|17.62784804|0.976150552|5283.02167|182.7978704|26.16587381|0.018119737|-269.7929124|1360.625438|631.9206508|11.51307533|1.0|1.0|1.0|3.37|0.17|4.41|4.14|66.93|1.42|0.0|114.29|0.0|1.0|-4.14|5.0|-6.47|385.46|0.0|-4.29|5.14e-05|0.0198|2.31e-09|8.909999999999999e-07|4.4175|2.59|4107.0|-1239.127458|-1239.093739|682.09|507.0|280.66|594.45|0.6533399999999999|0.2068|2.8731|-1238.914819|3.7008|15.0|7.8239
15_a15|0.0|0|0|1|1|1.435688991|0.0|-0.132759299|-0.006378587|0.0|-0.031457366|3|0.029814815|-0.063032481|-0.395472407|10.95980315|0.0020555079999999|0.003766915|-0.098862691|-0.3597407929999999|0.843715005|0.724319314|0.003774415|0.8972060479999999|-0.061884697|-0.091075463|0.7028760070000001|0.020649569|-41.11675625|-60.51136736|13.71976186|142.8140301|68.29723829999999|4.306196778|0.702544178|-27.31834743|73.99578515|54.83651811|0.435723718|596.1118717|-1210.227347|2868.890383|-13.86355301|6.673906339|11.8273735|0.772181523|7039.747576999999|197.6323578|29.700607300000005|0.0202953539999999|-269.1443943|1722.635223|830.7967967000001|13.48441779|1.0|1.0|0.0|4.34|0.07|4.33|6.69|59.51|2.52|0.0|138.24|0.0|1.0|-6.32|4.0|-5.26|448.52|1.0|-6.1|7.970000000000001e-07|0.000357|1.27e-09|5.7e-07|3.6968|5.04|2582.0|-1450.7538470000002|-1450.725355|700.82|0.4459|335.38|573.46|0.70572|0.0066|1.6365|-1450.462493|2.9566|109.0|6.9626
8k_a46|-3.737070812|0|0|1|1|0.300205953|2.105349622|0.1436554669999999|-0.006208399|5.533389489|-0.380857136|2|0.038616352|-0.061030265|-0.397337564|10.31928125|-0.038125|0.002202734|-0.1017929319999999|-0.510222233|0.73768327|0.786206898|-0.051289238|0.7381768390000001|-0.08638304|-0.0863473759999999|0.400181795|0.009441365|-61.98124174|-61.95565276|6.774333772|104.0919365|187.86239430000003|19.34993627|0.8265691140000001|-44.4725532|70.036452|68.75557551|0.4938768979999999|529.6539372999999|-1424.980013|2328.360804|-17.04077386|8.070811215|15.94634031|0.975803904|7352.280688|124.4394929|28.73282642|0.0112621819999999|-468.6373459|1723.969585|865.6610153999999|8.080799245|1.0|1.0|1.0|2.82|0.24|2.94|5.37|124.17|1.86|0.0|132.47|0.0|1.0|-5.74|6.0|-6.75|474.58|0.0|-5.13|7.47e-06|0.00355|2.17e-09|1.03e-06|5.0379|7.63|4.1034|-1845.304274|-1845.257085|742.04|0.1354|246.1|642.39|0.5577300000000001|0.1166|3.4118|-1845.037411|3.8107|147.0|6.8327
