molecula|SddssS|NaaNH|n9FaHRing|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8d|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
27c_a34|0.0|0|0|1|1|1.4335249819999998|1.996958431|0.02583752|-0.014036512|5.351858133|-0.1450543259999999|1|0.041728395|-0.08157574|-0.80008116|10.95447877|-0.014364543|-0.004694534|-0.132026575|-0.543350914|0.850511415|0.783333463|-0.0239323839999999|0.631065353|-0.114233896|-0.12597014|0.32643486|0.0304948179999999|-76.84420762|-84.73908278|20.51361454|176.7076265|248.17931940000005|119.8660257|0.7381974290000001|-51.69246989|100.1948155|97.35782216|0.424716257|424.51250080000005|-1525.30349|2477.818875|-19.35960719|8.808655321|15.31184469|0.738272657|6308.331369|176.1124482|38.98592708|0.022975949|-320.4669239|2066.254135|673.8038326000001|15.45573273|1.0|1.0|1.0|3.11|0.12|3.11|3.34|104.29|1.71|0.0|119.71|0.0|1.0|-4.75|5.0|-6.85|427.46|0.0|-4.45|3.52e-05|0.0151|2.13e-08|9.1e-06|4277.0|5.23|3.9186|-1426.521813|-1426.482676|709.72|0.2385|289.89|558.04|0.70336|0.0093|7.6204|-1426.31053|9.6148|0.8|6.0969
14ad_a23|0.0|0|1|0|0|1.197962774|3.3437482860000003|-0.1101542319999999|-0.00790478|5.351858133|-0.028065075|2|0.0444129979999999|0.118047355|-0.4663820279999999|10.31321689|-0.031279567|0.009675528|0.2086248289999999|-0.376350719|0.7763406840000001|0.7830067820000001|-0.050707765|0.887131635|-0.059168372|-0.085840335|0.224009311|0.033831691|-42.29008971|-61.35364811|24.18091285|52.63180108|80.67170209999999|114.237062|0.575880959|-30.226481300000003|85.20135045|66.47100256|0.46995189|634.0697778|-1165.7193140000002|2339.533586|-15.14887177|8.661363236|16.34071148|0.8866211979999999|7308.229822|303.1354708|36.80430179|0.033365494|-108.4705382|2024.236598|770.8206617000001|23.84770234|0.0|1.0|1.0|3.49|0.12|3.48|4.03|123.48|2.42|1.0|133.27|0.0|1.0|-5.8|6.0|-6.68|471.53|0.0|-5.08|8.22e-06|0.0038799999999999|2.49e-08|1.17e-05|3.3867|2.99|3.3867|-1858.957788|-1858.942973|747.83|0.4106|366.09|618.01|0.6956600000000001|0.4106|5.2331|-1858.733603|6.7584|4.0|8.3595
11a_a31|0.0|1|0|1|1|0.610138462|0.0|-0.045290366|-0.02376325|5.733341277|-0.259732443|0|0.044949495|-0.087576474|-0.8792402579999999|10.31170041|-0.019865299|-0.017433557|-0.149933348|-0.563537536|0.861302755|0.8433024170000001|-0.030335912|0.486754956|-0.151872243|-0.161027639|0.271818874|0.041435152|-76.64827023|-81.26889906|20.91187076|258.8577775|259.0291941|71.03772901|0.735254945|-38.68354874|97.23036756|97.560141|0.451795285|245.6599349|-975.2267888|1769.346573|-14.47606937|5.791411901|10.5643234|0.8241360790000001|4940.657452|133.6139513|39.01114987|0.031626337|-237.4612264|1326.379096|302.14325319999995|15.96146849|0.0|1.0|1.0|2.16|0.13|3.93|2.94|125.57|0.57|0.0|83.12|0.0|2.0|-4.81|6.0|-6.51|329.33|0.0|-3.79|0.000161|0.0531|2.22e-05|0.00731|3.8042|3.97|3.8042|-1441.452616|-1441.411622|529.63|0.2797|325.92|407.76|0.69222|0.2797|6.4691|-1441.37897|8.9667|0.19|6.7212
4b_a46|0.0|0|0|1|1|1.1346370890000002|2.189591837|-0.155670183|-0.00113356|5.587248657999999|-0.022119857|2|0.047736111|-0.082722572|-0.058945144|10.96200942|-0.111103941|0.011806162|-0.128843936|-0.16915334|0.6901151990000001|0.7306307590000001|-0.153841155|0.935245062|-0.0524080009999999|-0.070236212|0.27128814|0.007568202|-28.58477842|-38.30877966|4.127907383|7.986637869|35.31914031|56.7922535|0.8104680259999999|-15.59093155|42.65239101|32.7126858|0.428987199|510.1086157|-612.9404746|1750.333702|-6.822749952000001|5.76401157|10.09436488|0.751274223|4681.895329999999|103.3759991|15.43427855|0.007963679|-338.6757579|756.2796491|538.4165208|4.343611349|1.0|0.0|1.0|3.03|0.38|4.69|4.77|43.6|2.58|0.0|101.7|0.0|1.0|-4.35|3.0|-5.67|332.44|0.0|-4.63|2.35e-05|0.00782|6.38e-08|2.12e-05|4.5515|3.98|4.5515|-1033.556797|-1033.535029|588.79|0.1784|272.4|508.79|0.68682|0.1784|3127.0|-1033.378455|3.7571|548.0|6.2612
8m_a46|0.0|0|0|1|1|1.160371261|2.126524943|-0.044830187|-0.00517896|5.533389489|-0.085284636|1|0.047345679|-0.134230003|-0.248590088|10.94650201|-0.064176245|0.005865049|-0.206020062|-0.380393836|0.783187801|0.7699708959999999|-0.090247845|0.876210355|-0.0911455|-0.085204935|0.280198209|0.007059399|-48.32436573|-45.17474201|3.742817678|166.8508795|65.63194084|0.0|0.8854896870000001|-25.62105988|48.72163155|52.0671834|0.425802465|464.5573228999999|-767.9706141|1913.813025|-9.04821721|5.684332261000001|9.899611044|0.7415609409999999|4439.758321|60.71213839999999|19.27296714|0.006689855|-408.7649869|867.2835213999999|463.1469765|3.546889545|0.0|0.0|1.0|2.92|0.3|4.16|4.21|50.94|2.62|0.0|96.16|0.0|1.0|-4.48|3.0|-5.61|319.4|0.0|-4.56|2.78e-05|0.0088799999999999|3.5e-07|0.000112|5.3062|4.12|4.2881|-1014.126693|-1014.091966|570.72|0.3905|233.66|489.57|0.6997800000000001|0.1441|2.0174|-1013.962913|3.1675|229.0|6.6402
1o_a5|0.0|1|0|0|0|1.427566509|0.0|-0.266637757|-0.002633927|4.59511985|0.033105871|2|0.025987654|-0.033273504|-0.1079910069999999|10.94518594|-0.008511304|0.0051989459999999|-0.05876042|-0.231165601|0.670787375|0.78144982|-0.016408975|0.88430372|-0.079346457|-0.072886362|0.447318682|0.01325562|-42.63505279|-39.1638643|7.122612351|167.3051756|62.16682117|1.01402588|0.699913551|-22.90899675|50.11479279|49.75766514|0.470590799|475.1609233|-587.4579645|833.537568|-8.306775343|7.522366517000001|14.20898333|0.8888980340000001|4572.818263|161.2447749|22.08761368|0.020380352|-214.8381946|839.3293197999999|393.5487205|10.95092849|1.0|1.0|1.0|2.2|0.0|4.48|4.07|78.25|1.23|0.0|95.2|0.0|1.0|-4.08|4.0|-6.3|323.35|0.0|-4.08|8.340000000000001e-05|27.0|7.85e-09|2.54e-06|4.5011|2.66|4.1692|-1043.577386|-1043.536121|561.04|0.3966|275.45|443.88|0.5492100000000001|0.0071|4.7435|-1043.472984|5.4919|35.0|7.4559
3_a3|0.0|0|0|0|0|0.605000514|0.0|0.159413311|-0.010040064|5.283203728999999|-0.114647585|1|0.034259259|-0.015653979|-0.3413621639999999|10.31154314|0.069435247|-0.006362643|-0.030486489|-0.599804962|0.913546349|0.8083172479999999|0.123113049|0.7538064790000001|-0.107269779|-0.098797066|0.583866845|0.012617742|-48.91675544|-45.05306124|5.753894372|228.5396864|112.2682304|75.88125246|0.7000038270000001|-22.30683222|55.67251784|54.67064981|0.415122657|343.74795510000007|-495.58367360000005|1349.6286710000002|-7.290134722999999|5.025797436|8.592908408|0.709760196|4677.617255|136.8031103|22.83783244|0.023287455|-182.4099648|707.9728057|302.8386149|10.6194566|1.0|1.0|1.0|2.39|0.0|5.0|4.07|121.17|1.41|0.0|88.36|0.0|1.0|-5.48|3.0|-5.88|310.4|0.0|-4.39|4.06e-05|0.0126|7.009999999999999e-07|0.000218|5.8458|1.92|3.3475|-1592.904586|-1592.873593|491.26|0.2383|212.09|316.65|0.69206|0.0851|2.1507|-1592.839065|2.8045|1175.0|5.93
4c_a46|0.0|0|0|1|1|1.134637091|2.137504882|-0.068543882|-0.005085922|5.587248657999999|-0.048990529|1|0.0440307329999999|-0.111750026|-0.300069396|10.94298307|-0.068256579|0.010040825|-0.165951544|-0.421467037|0.649753668|0.726862617|-0.0976963169999999|0.890777395|-0.063644365|-0.087503927|0.305199509|0.013924723|-40.22007179|-55.2981278|8.799732282999999|35.22734468|69.02325225|53.13410852|0.840753785|-25.41708422|60.67664538|49.01980408|0.450883931|562.9269925|-1050.664428|2487.942529|-11.85656505|7.172412106|13.06174141|0.8211086059999999|5571.088357|100.6356847|22.31552819|0.008510983|-430.6788754|1249.669579|696.2528933|5.378517586|1.0|1.0|1.0|3.8|0.38|5.11|5.24|57.01|3.4|0.0|115.03|0.0|1.0|-5.55|4.0|-5.39|389.49|0.0|-5.28|5.3e-06|0.00207|2.39e-08|9.32e-06|5.4579|6.38|4.1026|-1245.4159619999998|-1245.392965|683.75|0.2296|227.16|617.56|0.6986600000000001|0.2083|4.1039|-1245.176359|5.4491|2008.0|5.6972
8e_a46|0.0|0|0|1|1|1.160371308|2.161814059|-0.205882192|-0.001015139|5.533389489|0.000950213|2|0.043238095|-0.126773923|-0.046696417|10.96411233|-0.016857659|0.0123581919999999|-0.203086023|-0.132524216|0.669602597|0.789844634|-0.024620704|0.921352352|-0.053352779|-0.065982313|0.281227001|0.009576086|-27.16690715|-33.59778824|4.876083942|7.389496216|40.04689925|53.05984592|0.7492419109999999|-13.83322216|39.62167507|32.04299109|0.444693313|469.146955|-503.9668235|1415.320228|-5.967832774|5.504080656|9.911785304|0.8008066970000001|4239.252176|127.6844779|15.64268965|0.011830243|-253.8248986|672.6356549999999|426.71841|6.023886838999999|0.0|0.0|1.0|2.93|0.32|4.09|3.9|43.6|2.13|0.0|91.93|0.0|1.0|-3.59|3.0|-6.02|304.39|0.0|-4.04|9.15e-05|0.0279|2.16e-07|6.57e-05|4.5092|3.0|4.5092|-954.9296396|-954.9056294|552.99|0.2162|274.96|457.96|0.6967|0.2162|3.2194|-954.793305|3.7755|406.0|6.3915
AKLKII_a46|0.0|1|0|0|0|1.4316666480000002|0.0|-0.206312209|-0.003417504|4.59511985|-0.030657|3|0.0386379929999999|-0.008897473|-0.129865138|10.96959256|0.036226415|0.006731579|-0.015805561|-0.270506095|0.718266758|0.758995484|0.064690027|0.837641394|-0.071827497|-0.089369278|0.271156366|0.010384859|-34.061229|-42.37969553|4.924591245|160.85204040000002|76.99187522|0.0|0.7721395329999999|-16.15213359|49.76981906|38.98582025|0.47999819|397.2168972|-550.9360419|792.7439217|-7.464534402999999|5.83938898|11.22955511|0.92307023|4110.764451|108.05343229999998|20.38625028|0.015584114|-258.10190780000005|713.5187596|314.0966684|7.390123534|1.0|0.0|1.0|1.6|0.06|3.9|3.39|67.35|1.18|0.0|85.32|0.0|1.0|-3.24|4.0|-6.5|287.32|0.0|-3.58|0.000266|0.0764|6.18e-08|1.7800000000000002e-05|||||||||||||||181.0|6.7423
