molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
13d_a6|1|0|0|3.447870607|0.0|7.412764017000001|1|1|1.424214188|0.0|-0.010665225|5.351858133|-0.0122495089999999|1|0.0|-0.607917822|-0.003346018|-0.042531782|-0.10528143|1|1|-0.000899678|-0.106686991|-0.174259072|0.7995080809999999|0|0.78862121|-0.110731261|0.19992155|-75.40072983|20.96853949|156.67194009999997|143.9350986|-51.34295409|564.780402|0.769432845|-2.103893962|-42.92734103|88.02705449|-27.03045032|0.4128711229999999|-1432.613867|3075.022992|9.086171078|15.47559904|6185.117192000001|157.0011174|-975.5161277|35.13035671|-366.9322097|1861.908905|692.8471883999999|12.62632467|1.0|1.0|1.0|1.0|0.16|23.0|-9.4|4.57|95.85|2.0|0.0|6.0|5.0|-5.88|0.0|3.74|-5.27|1.11e-06|0.000471|5.42e-06|4.23|3.96e-10|1.68e-07|4.5|3.6298|-1389.403308|-1389.374844|341.57|0.7905|0.58381|0.7007399999999999|-1389.125098|-0.14894|11.0994|0.02846332|14.0012|6.4437|6.4437
9h_a24|1|0|0|2.916716427|0.0|7.153833802|0|0|1.428198245|1.726213624|-0.002864393|5.209486153|2.01e-05|2|0.0|-0.105982525|0.013595277|-0.209618231|-0.002471577|2|2|0.012380829|-0.02551563|-0.047269812|0.656172477|0|0.883775278|-0.0687348109999999|0.4016070679999999|-32.48899638|8.724425117000001|167.2085719|54.93613103|-15.35662744|1.773520599|0.572371258|-0.8935525440000001|-13.48059881|47.51520531|-12.42226332|0.477589721|-422.3569529|768.1954692|5.805547147|11.11300329|4170.098082|202.1279819|-199.6361567|21.70315707|-68.41568372|737.9073405|295.8603625|15.02620893|1.0|0.0|0.0|1.0|0.0|22.0|-6.05|2.72|72.28|0.0|0.0|3.0|4.0|-6.85|1.0|1.97|-3.24|0.00147|423.0|0.000575|1.7|8.95e-07|0.000258|1.16|4.3437|-945.2642633|-945.2337612|285.43|0.3844|0.54606|0.61928|-945.153352|-0.18239|5.6654|0.0305020989999999|7.7741|7.1135|7.1135
12h_a30|0|0|0|0.0|0.0|7.412764017000001|2|2|0.604984682|0.0|-0.00737961|5.351858133|-0.06631353|2|0.0|-0.391119352|0.001139238|0.001698966|-0.072247675|1|1|0.002064369|-0.0541804029999999|-0.120380857|0.64876559|0|0.763568404|-0.09907575|0.353607682|-63.03519645|11.06352871|89.66095835|150.42542849999998|-40.10503079|0.0|0.7979748729999999|-1.882439244|-33.64938551|73.14241438|-24.44221903|0.468446216|-1197.668733|2268.811589|8.066818026|15.1759206|6252.192213|128.5349203|-761.9955851|30.63031164|-379.1625034|1500.88527|618.6004214|10.10721793|1.0|0.0|1.0|1.0|0.14|17.0|-6.9|3.18|81.65|2.0|0.0|5.0|5.0|-6.02|0.0|2.92|-5.01|4.12e-06|0.00171|9.71e-06|3.97|1.26e-07|5.260000000000001e-05|4.07|3.5101|-1675.011389|-1674.977665|353.22|0.1878|-0.26697|0.68543|-1674.777786|-0.14889|2.9684|0.03372393|3.4138|8065.0|8065.0
9a_a31|1|0|0|3.348289714|0.0|7.765993078999999|1|1|0.6101356720000001|0.0|-0.01391798|5.733341277|-0.093457477|0|0.0|-0.723734943|-0.006189303|0.03406986|-0.0007638889999999|2|2|-0.0033853629999999|-0.093527289|-0.15653721|0.76226755|0|0.691768132|-0.122626525|0.235442032|-78.6954713|21.33533299|163.6011874|197.8075471|-50.50275387|95.14995868|0.737758755|-2.0846509230000003|-41.55773748|94.03540892|-27.87131275|0.484502446|-1337.8230119999998|1955.13855|7.812278516|15.15483138|6273.506211999999|168.29310269999996|-858.5468158|37.77835579999999|-305.16297060000005|1813.361078|597.3075924999999|15.33993762|1.0|1.0|1.0|1.0|0.14|22.0|-8.13|4.02|117.37|1.0|0.0|6.0|5.0|-6.39|0.0|3.47|-4.77|2.42e-06|0.00101|1.7100000000000002e-05|3.47|7.35e-09|3.07e-06|5.27|3.7892|-1691.9526239999998|-1691.9137670000002|327.21|0.7028|0.7028|0.7028|-1691.716118|-0.15757|5.0244|0.03885662|6.2203|6.8239|6.8239
8d_a8|1|0|0|3.190160226|0.0|7.05012252|0|0|1.395657339|1.41693287|-0.0111144189999999|4.844187086|-0.155313194|1|0.0|-0.633521883|-0.00267541|-0.077977198|-0.117111249|1|1|-0.001038264|0.016471091|0.025642021|0.734212688|0|0.6932924890000001|-0.103150936|0.377028311|-67.26951954|18.28507531|57.93693239|200.0182229|-43.86958028|92.49576602|0.675359878|-2.063018716|-45.62337399|86.29065071|-24.91463687|0.483207744|-1345.390391|2093.380666|7.507839835|14.52777156|6596.888351|211.7129122|-877.3916055999999|36.89090464|-228.7206541|1992.108851|682.0472537|19.02113117|0.0|0.0|1.0|1.0|0.12|23.0|-7.62|3.32|112.23|1.0|0.0|6.0|5.0|-6.87|0.0|3.0|-4.47|1.24e-05|0.00533|3.4200000000000005e-05|2.89|2.38e-08|1.03e-05|6.22|3.2963|-1447.595474|-1447.559429|376.13|0.3|0.62361|0.70165|-1447.2928029999998|-0.13754|6.0111|0.03604461|7.5674|4.7303|4.7303
47n_a18|0|0|0|0.0|0.0|7.03438793|1|1|1.251175627|0.0|-0.007614955|4.844187086|-0.057061805|0|0.0|-0.609196374|0.000271488|-0.003276575|-0.048404296|0|0|0.001705837|-0.172015161|-0.258092915|0.711628292|0|0.792429396|-0.091185806|0.288989992|-75.24728669|8.759783644|61.29571241|171.2889916|-62.09468789|47.476904100000006|0.783921929|-2.4620167580000003|-54.00070374|86.44740177|-26.38541222|0.482565384|-2031.676741|2052.393389|10.43689152|20.17045476|7909.580851999999|178.30942439999998|-1676.556573|33.65821422|-468.58948260000005|2591.682495|1306.125688|11.20011508|1.0|1.0|0.0|1.0|0.31|18.0|-9.76|3.31|105.6|3.0|1.0|13.0|4.0|-6.68|0.0|2.76|-5.24|9.48e-07|0.000511|5.7e-06|4.1|1.7500000000000002e-10|9.44e-08|9.78|3.2028|-1743.3283440000002|-1743.299948|387.11|0.5056|0.6914600000000001|0.6914600000000001|-1740.5852670000002|-0.13138|2.4754|0.02839695|3.3568|7.1938|7.1938
9d_a40|0|0|0|0.0|0.0|7.515889085|0|0|0.604992329|1.839557351|-0.003961493|5.4161004020000005|-0.022152094|0|0.89023715|-0.146575228|0.011823978|0.15723868|-0.137738587|2|2|0.010101686|0.0116099239999999|0.019621984|0.55759121|1|0.941627612|-0.071656839|0.002088915|-36.92750973|5.539796446|108.1468558|30.08152399|-19.03015798|50.47044708|0.8664205709999999|-1.074852592|-16.01918037|41.42218692|-16.29154841|0.467275972|-553.912646|336.6614768|8.023385851|15.06105494|4401.742338|68.83858806|-285.4523697|18.80327978|-377.6610668|639.3115126|346.9019309|4.49467719|1.0|0.0|1.0|0.0|0.06|20.0|-7.0|5.09|58.43|1.0|0.0|2.0|2.0|-4.62|1.0|4.63|-5.65|7.37e-07|0.0002399999999999|2.23e-06|5.16|1.01e-07|3.3e-05|4.7|3.3464|-1677.551678|-1677.540538|370.51|0.4888|0.4557199999999999|0.69986|-1677.429981|-0.13875|6.2032|0.01113991|7.9502|6.9706|6.9706
6_a15|0|0|0|0.0|0.0|0.0|0|0|1.419941278|0.0|-0.00951284|0.0|-0.048804012|1|0.0|-0.513693384|0.001080419|0.011857945|-0.009025163|0|0|0.003942615|-0.195267558|-0.281352401|0.810779115|0|0.859308431|-0.123000073|0.398681391|-71.76572566|17.20414198|105.4415725|82.0880213|-41.87249058|55.65697829|0.581974721|-1.599000943|-24.00625743|88.94853813|-17.94143141|0.3902945579999999|-932.9544335|1971.005637|6.110075236|10.02135591|5589.043165|243.9013805|-544.3423775|30.82854077|-95.65807914|1603.08412|592.4420375|17.18281248|1.0|1.0|1.0|0.0|0.23|18.0|-7.95|5.26|61.84|2.0|0.0|7.0|5.0|-5.33|1.0|4.11|-5.14|2.16e-06|0.000823|7.32e-06|4.64|1.13e-08|4.3e-06|3.94|3.7696|-1263.0243449999998|-1263.0072300000002|328.9|0.2616|0.65191|0.70554|-1262.75978|-0.15714|1.3789|0.01711539|1.9421|7.4559|7.4559
1_a15|0|0|0|0.0|0.0|0.0|0|0|1.419940974|0.0|-0.0084598019999999|0.0|-0.043374667|2|0.0|-0.541427319|0.001244652|-0.068297833|-0.000905902|0|0|0.003816011|-0.1816819589999999|-0.270248221|0.795437721|0|0.875723465|-0.1117462069999999|0.7100707390000001|-72.24770503|16.94887506|121.3844816|80.34898605|-46.71058649|63.14412039|0.605927517|-1.899685524|-28.45664402|90.40184737|-20.13460632|0.437969049|-1228.210985|2855.495631|6.580146251|11.7078005|7284.337537|254.7811976|-794.0799704|33.22939752|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|0.19|24.0|-10.02|6.32|74.73|3.0|0.0|8.0|6.0|-5.38|0.0|4.68|-5.97|2.830000000000001e-07|0.00013|1.08e-06|5.23|9.53e-11|4.36e-08|4.68|3.2188|-1510.136281|-1510.117336|385.18|0.2464|0.64662|0.70553|-1509.785098|-0.1365|1.2218|0.01894559|2.3261|7.3565|7.3565
8b_a50|1|1|1|3.1324050960000003|0.0|7.860570786|1|1|1.398299046|2.021915391|-0.0045301379999999|5.777652323|-0.009597908|1|1.98971238|-0.1812055289999999|0.006841944|-0.009441452|-0.0180233089999999|2|2|0.007057361|-0.065440141|-0.116174481|0.71043578|1|0.845349082|-0.078068703|0.267094693|-37.39727879|10.30543157|131.417573|74.08248511|-17.91443197|0.0|0.6717097959999999|-1.092961836|-16.66636363|49.02840043|-14.54338619|0.428882006|-523.561903|1401.458274|5.292277178|9.26652151|4446.001554|157.2609748|-250.8020475|21.65129387|-164.5084115|779.4465792000001|339.5806858|11.63112165|1.0|1.0|0.0|1.0|0.06|20.0|-5.94|3.41|59.39|0.0|0.0|2.0|3.0|-6.32|1.0|2.51|-3.81|0.000359|108.0|0.000154|2.55|1.16e-06|0.000347|2.11|4.1804|-967.3527447|-967.3160428|296.58|0.1717|0.5533|0.59283|-967.212701|-0.1724099999999999|3.8213|0.036701907|5.8205|7.1675|7.1675
