molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|AATSC8d|n5aRing|AATSC7i|MATS1i|n6aHRing|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|WNSA5|FNSA1|WNSA3|DPSA5|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
3m_a32|1|1|1|0.0|7.773594467000001|0|1|0.013867955|-0.006290106|5.733341277|-0.017268778|-0.0370712179999999|-0.3082152019999999|-0.078038283|3|-0.065422345|-0.04918838|0|0.817967125|0.872498916|0.6672533589999999|1|0.798023273|-0.084626325|-0.09390309|0.317009723|0.013428623|-50.60363458|-56.15082133|-33.57626169|0.674468222|-30.25923462|67.1606709|2588.590536|-729.9606772999999|2363.601309|-9.699808932|13.31775015|5724.714257|-436.4914018999999|24.05057475|0.018412178|554.9424306|1.0|0.0|1.0|1.0|1.0|19.0|7.02|128.01|2.0|0.0|110.36|0.0|1.0|-5.94|27.0|-6.17|0.0|1.0|4.12|-4.86|1.14e-06|0.000449|1.39e-05|0.00547|3.57|1.65e-05|3.5749|5.1|3.5749|-1863.46877|641.52|346.82|0.2952|346.82|0.7026600000000001|0.2952|-0.2056599999999999|0.0339106999999999|8.0755|23.0|7.6383
1o_a5|1|0|0|0.0|6.605297921|0|0|-0.266637757|-0.002633927|4.59511985|0.033105871|-0.033273504|-0.1079910069999999|-0.008511304|1|-0.05876042|0.038275248|2|0.78144982|0.85693939|0.650008224|0|0.88430372|-0.079346457|-0.072886362|0.447318682|0.01325562|-42.63505279|-39.1638643|-21.04383087|0.699913551|-22.90899675|50.11479279|2238.291862|-587.4579645|833.537568|-8.306775343|14.20898333|4572.818263|-315.657463|22.08761368|0.020380352|393.5487205|1.0|1.0|1.0|1.0|1.0|23.0|4.48|78.25|0.0|0.0|95.2|0.0|1.0|-4.08|25.0|-6.3|0.0|1.0|2.95|-4.08|8.329999999999999e-05|0.0269|8.340000000000001e-05|27.0|2.78|2.54e-06|4.5011|2.66|4.1692|-1043.536121|561.04|297.38|0.3966|275.45|0.4988899999999999|0.0071|-0.23973|0.04126499|5.4919|35.0|7.4559
6_a15|0|0|0|0.0|0.0|0|0|-0.199979249|-0.00951284|0.0|-0.048804012|0.106485923|-0.513693384|-0.009025163|0|0.153430865|-0.195267558|1|0.691316481|0.7248900659999999|0.810779115|0|0.859308431|-0.07051817|-0.123000073|0.398681391|0.02948637|-41.14459066|-71.76572566|-41.87249058|0.581974721|-24.00625743|88.94853813|2454.904173|-932.9544335|1971.005637|-10.46812265|10.02135591|5589.043165|-544.3423775|30.82854077|0.029449813|592.4420375|1.0|1.0|1.0|1.0|1.0|18.0|4.43|61.84|2.0|0.0|109.7|0.0|1.0|-5.66|28.0|-5.33|1.0|1.0|4.11|-5.14|2.16e-06|0.000823|7.32e-06|0.00278|4.64|4.3e-06|4.3423|3.94|3.7696|-1263.0072300000002|612.22|328.9|0.2616|285.52|0.65191|0.0113|-0.18133|0.01711539|1.9421|35.0|7.4559
19_a47|0|1|1|0.0|6.842683282|0|0|-0.038804671|-0.00973456|4.727387819|-0.227538423|0.027033021|-0.4380552029999999|0.0604168609999999|1|0.074201869|-0.046265509|2|0.823945134|0.8873627890000001|0.614975047|1|0.639642891|-0.105205489|-0.104459947|0.270767873|0.026805875|-58.28861174|-57.87554797|-32.06567824|0.637832605|-32.2945343|76.13237258|2612.978054|-868.1332196000001|1238.799875|-11.45202794|13.17443625|5846.960345|-480.9851737|32.40636867|0.03295186|428.5826478|0.0|1.0|1.0|1.0|2.0|21.0|2.49|98.72|1.0|0.0|99.2|0.0|1.0|-3.67|28.0|-7.22|0.0|1.0|2.34|-3.66|0.000214|0.0816|0.000217|0.0824|1.97|4.59e-05|3.8423|3.51|3.8423|-1335.725639|571.23|322.68|0.3243|322.68|0.68924|0.3243|-0.2117099999999999|0.03178118|6.3247|0.05|7.3
17g_a50|0|1|1|0.0|7.934155233999999|2|2|-0.185924266|-0.002050512|5.82008293|0.052557574|-0.05611228|-0.13328325|-0.1155555559999999|2|-0.090386911|-0.200725906|1|0.738521694|0.7787714459999999|0.7276268779999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|-32.14758511|-47.17463902|-31.48270383|0.749948388|-21.45417373|56.28102287|2821.3922|-1037.842058|1975.996014|-11.54365807|15.28352231|6102.424958|-692.6194843|23.06474408|0.013645282|829.3813984|0.0|1.0|1.0|1.0|0.0|20.0|3.71|51.77|2.0|0.0|133.03|0.0|1.0|-4.46|32.0|-6.28|1.0|0.0|3.63|-4.86|3.4899999999999995e-05|0.0148|1.39e-05|0.0059|3.68|4.6500000000000005e-05|4.0458|3.22|4.0458|-1335.946919|725.92|306.45|0.1795|306.45|0.6623600000000001|0.1795|-0.19929|0.02957267|9.1706|246.0|6.6091
26_a47|0|1|1|0.0|6.86171134|0|0|0.11828578|-0.012090143|4.727387819|-0.200192886|-0.110530752|-0.544056455|0.0081426509999999|1|-0.24731748|-0.035472095|2|0.845040087|0.910081385|0.651797437|1|0.7104381999999999|-0.098127284|-0.101679756|0.549740398|0.020884606|-57.01987795|-59.08415114|-34.3326642|0.717639177|-33.13315474|73.39007585|2625.572598|-945.3464183|1341.904566|-13.07911017|13.22794532|5994.406615|-549.3226272|31.36429668|0.024619511|457.1122177|0.0|1.0|1.0|1.0|2.0|21.0|2.84|98.72|1.0|0.0|104.8|0.0|1.0|-4.86|28.0|-6.51|0.0|1.0|3.18|-4.56|1.3699999999999998e-05|0.00545|2.77e-05|11.0|3.12|2.37e-05|4.7963|4.37|3992.0|-1696.075481|592.84|310.58|0.3197|258.5|0.50921|77.0|-0.22921|0.02111593|4.8242|13.0|7.9
7e_a8|1|0|0|0.0|7.05012252|0|0|-0.150447714|-0.006027596|4.844187086|-0.052939815|-0.03633378|-0.289324602|-0.0446343779999999|1|-0.075638618|0.034227147|0|0.732001738|0.790500031|0.577394732|0|0.8291560379999999|-0.08608941|-0.0886889709999999|0.286669793|0.0215993429999999|-51.4880895|-53.04282692|-31.72369068|0.776001552|-30.79383811|64.23177694|2605.914474|-1007.813711|2032.501296|-13.39444718|14.654025199999998|5808.479788000001|-602.7501229|28.86058693|0.018708212|519.5762494|1.0|0.0|1.0|0.0|1.0|23.0|5.16|70.81|2.0|0.0|108.43|0.0|1.0|-5.75|29.0|-5.43|0.0|1.0|4.31|-5.41|1.78e-06|0.000686|3.87e-06|0.00149|4.54|1.95e-06|3.8142|6.32|3.2363|-1300.467069|622.23|383.1|0.3461|325.06|0.6998300000000001|0.1522|-0.2054699999999999|0.02845071|11.4436|35.1|4.4547
47g_a18|0|0|0|0.0|7.03438793|1|1|-0.005500039|-0.005817448|4.844187086|-0.034211867|-0.048472184|-0.477030713|-0.008224928|0|-0.071877686|-0.264839041|0|0.750610215|0.780474694|0.745431271|0|0.834424154|-0.065225536|-0.08547236|0.413435809|0.013404131|-55.35188184|-72.53379954|-61.55384106|0.731870777|-46.97287277|86.33162323|3367.0578530000003|-1958.412588|2268.439188|-21.03738872|20.32265524|7870.887027|-1661.953709|33.87214455|0.016259076|1347.416568|1.0|1.0|0.0|1.0|2.0|18.0|3.22|88.97|3.0|2.0|164.47|1.0|1.0|-6.11|40.0|-6.4|0.0|0.0|2.83|-5.52|7.76e-07|0.000421|3.01e-06|0.00163|4.52|3.27e-07|3.0965|8.13|3.0965|-1743.346243|905.71|400.4|0.5955|400.4|0.69828|0.5955|-0.17202|0.02960182|5.9864|9.0|8.0458
12z_a36|1|0|0|0.0|7.412764017000001|2|2|-0.065211069|-0.007671785|5.351858133|-0.010732275|0.037307819|-0.421948174|-0.030529442|1|0.066366917|-0.098598933|1|0.826316772|0.886776351|0.8212311840000001|0|0.834790405|-0.081592361|-0.102674964|0.492335362|0.023371488|-54.11489962|-68.09761735|-45.16471514|0.712682362|-35.89088901|83.07227002|2841.692299|-1225.757112|2451.657399|-15.940487699999998|14.78435842|6146.834385|-812.9648725|33.72393432|0.0225782039999999|642.3830552000001|1.0|0.0|0.0|0.0|2.0|17.0|2.75|92.99|1.0|0.0|128.47|0.0|1.0|-3.99|31.0|-7.08|0.0|0.0|1.66|-3.95|0.000101|0.0412|0.000113|0.0458|2.4|8.97e-05|3.8969|2.98|3.8969|-1325.157504|686.33|318.16|0.4423|318.16|0.69397|0.4423|-0.2139199999999999|0.03845474|6.5892|5.0|8301.0
47n_a18|0|0|0|0.0|7.03438793|1|1|0.0487694459999999|-0.007614955|4.844187086|-0.057061805|0.017491759|-0.609196374|-0.048404296|0|0.026244774|-0.172015161|0|0.696612213|0.726888951|0.711628292|0|0.792429396|-0.079299822|-0.091185806|0.288989992|0.0106152389999999|-65.43887366|-75.24728669|-62.09468789|0.783921929|-54.00070374|86.44740177|3349.802294|-2031.676741|2052.393389|-21.77346199|20.17045476|7909.580851999999|-1676.556573|33.65821422|0.01357247|1306.125688|1.0|1.0|0.0|1.0|3.0|18.0|3.67|105.6|3.0|1.0|162.18|1.0|1.0|-6.02|40.0|-6.68|0.0|0.0|2.76|-5.24|9.48e-07|0.000511|5.7e-06|0.00308|4.1|9.44e-08|3.2028|9.78|3.2028|-1743.299948|879.92|387.11|0.5056|387.11|0.6914600000000001|0.5056|-0.18391|0.02839695|3.3568|64.0|7.1938
