molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|AATSC8d|n5aRing|AATSC7i|MATS1i|n6aHRing|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|WNSA5|FNSA1|WNSA3|DPSA5|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
6e_a31|1|0|0|0.0|7.773594467000001|1|1|0.06650322|-0.016012184|5.733341277|-0.178758575|0.132664341|-0.784597028|-0.0462850729999999|2|0.225356759|-0.002840672|0|0.78240875|0.841537966|0.795570315|0|0.623340994|-0.122985602|-0.130898441|0.177030306|0.032627586|-74.99224589|-79.81721349|-48.66969791|0.7604979040000001|-45.72760428|93.68572477|2776.836977|-1277.075416|2188.417358|-17.30478148|14.40145519|6053.812282|-778.7151665|37.31693873|0.022744048|536.6368656000001|1.0|1.0|1.0|1.0|2.0|22.0|5.19|131.36|1.0|0.0|109.69|0.0|1.0|-5.63|29.0|-6.5|0.0|1.0|3.27|-4.66|2.34e-06|0.000947|2.18e-05|0.00883|3.2|1.89e-05|3.3083|4.31|3.3083|-1652.63264|634.34|374.76|0.5103|374.76|0.70391|0.5103|-0.18844|0.03676794|8.3583|0.37|6.4318
8j_a46|0|0|0|0.214753401|7.727094485|1|1|-0.13040237|-0.0017688329999999|5.533389489|-0.008523199|-0.129276363|-0.081366324|-0.053618988|1|-0.204674804|-0.084266433|2|0.789844634|0.837678812|0.6109926379999999|0|0.934648421|-0.054707287|-0.068971544|0.308052557|0.008672342|-29.38737046|-37.04976799|-19.90219786|0.822112519|-15.7861518|41.80044861|2121.846387|-592.7962878|1888.679875|-7.405468973|9.817783823|4759.107832|-318.43516580000005|16.76894569|0.008843828|453.1959065|1.0|0.0|1.0|1.0|0.0|17.0|4.71|43.6|1.0|1.0|96.94|0.0|1.0|-4.59|24.0|-5.55|1.0|1.0|3.82|-4.83|2.59e-05|0.00878|1.47e-05|0.00497|3.97|1.85e-05|4.9636|3.78|4.4107|-1414.50743|576.48|281.1|0.1728|249.79|0.50703|0.1427|-0.22599|0.02408052|6.4463|1228.0|5.9108
9g_a24|1|0|0|0.0|7.273092596000001|0|0|-0.318471716|-0.00106361|5.283203728999999|0.001126633|-0.162313932|-0.0425444|-0.02471184|2|-0.292600863|-0.0273623029999999|2|0.7931626959999999|0.859302479|0.657503038|0|0.8671367529999999|-0.064835725|-0.065668047|0.383340003|0.01876163|-32.080056199999994|-32.49188065|-16.07665151|0.4819264479999999|-15.87288497|49.25777584|2123.257348|-389.9025677|1196.910121|-5.214049137|10.69818114|4355.725609|-192.9198181|21.8662148|0.033884884|341.3207334|0.0|1.0|0.0|1.0|1.0|22.0|2.91|72.28|0.0|0.0|87.53|0.0|1.0|-2.49|23.0|-7.17|1.0|0.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|247.0|1.37|0.000113|5.2521|0.75|4.2802|-984.5565078|524.03|289.67|0.2444|236.07|0.4227399999999999|0.1023|-0.21391|0.032630457|4.4131|68.0|7.1675
1_a1 (SKF-104365)|0|0|0|0.0|7.535296702|1|1|0.011230812|-0.006055958|5.4161004020000005|-0.01959813|-0.091086986|-0.218014497|0.11172918|1|-0.221214316|-0.123703409|1|0.7926983559999999|0.857919181|0.551667506|0|0.8131557509999999|-0.067997692|-0.081192283|0.2405471019999999|0.0133681239999999|-31.45099608|-37.55389489|-17.369816|0.709744919|-14.547040099999998|46.32985169|1997.193006|-450.6467387|1551.362941|-6.316296726|9.042613965|4225.4765640000005|-208.4377919|19.24066156|0.018973797|297.2783688|1.0|1.0|1.0|1.0|0.0|17.0|3.93|56.01|0.0|0.0|81.72|0.0|1.0|-3.8|21.0|-6.01|1.0|1.0|3.27|-4.02|0.000159|0.0472|9.65e-05|0.0287|2.96|0.000295|3.8901|3.45|3.8901|-1279.060907|491.18|318.72|0.2178|318.72|0.70081|0.2178|-0.19624|0.02377006|6.9338|1.6|5.7959
13b_a5|1|0|0|0.0|7.153833802|1|1|-0.142746146|-0.004573365|5.209486153|0.011339656|-0.006314305|-0.251535058|-0.017963913|1|-0.010368468|-0.055701188|2|0.765309977|0.8184221559999999|0.653356347|0|0.831557236|-0.0694958329999999|-0.074710354|0.468748106|0.0138892369999999|-44.93506461|-48.3067033|-31.23446039|0.654076389|-29.05440446|62.24204745|2661.597781|-869.5206594|1177.571784|-11.0239272|15.48959317|5678.380299|-562.2202871000001|26.06641209|0.021552174|638.8437454|0.0|1.0|1.0|1.0|1.0|23.0|4.64|74.77|1.0|0.0|119.8|0.0|1.0|-4.24|30.0|-6.58|1.0|1.0|3.26|-4.43|5.69e-05|0.0225|3.75e-05|0.0148|3.01|1.72e-06|4.6733|4.66|4.1793|-1276.030896|672.43|296.66|0.5528|265.31|0.32779|0.3064|-0.22451|0.035153|4.7964|0.11|6.9586
12k_a36|1|0|0|0.0|7.412764017000001|2|2|-0.076124222|-0.0071232019999999|5.351858133|-0.063399056|0.096315593|-0.413145744|-0.058284869|1|0.163804836|-0.095253274|1|0.811903388|0.8647233590000001|0.856135378|0|0.8427704640000001|-0.075717305|-0.101946803|0.367754573|0.018067063|-49.87227128|-67.14870046|-44.22843899|0.7806817009999999|-32.84907515|78.24529096|2792.202559|-1342.974009|2294.707886|-16.38090333|13.89698356|6027.033337|-884.5687799000001|31.85663123|0.016847116|698.847203|1.0|0.0|0.0|0.0|2.0|17.0|3.62|69.2|1.0|0.0|133.84|0.0|1.0|-4.58|31.0|-6.34|1.0|0.0|2.37|-4.55|2.6e-05|0.0106|2.82e-05|0.0115|3.45|3.94e-05|5053.0|3.83|3.6631|-1310.312649|697.92|338.46|0.3116|245.37|0.5249199999999999|0.0908|-0.20023|0.03274587|7.3988|14.0|7.8539
14p_a23|0|1|1|0.0|7.423568444|0|0|0.044380583|-0.005975594|5.351858133|0.006191846|0.041987653|-0.310730878|-0.053921569|2|0.080581604|-0.0686282459999999|2|0.799506006|0.8683808959999999|0.669357479|1|0.923455749|-0.063033628|-0.080784473|0.223758613|0.0221104079999999|-42.52653933|-54.50240143|-36.77082544|0.751638299|-28.69113861|67.36602512|3010.721939|-1090.0480289999998|2170.5738260000003|-15.32117727|16.84664803|6696.264498|-735.4165088|30.21311441|0.0190667019999999|646.2584547|0.0|0.0|1.0|1.0|1.0|26.0|3.4|128.81|1.0|1.0|125.0|0.0|1.0|-5.68|32.0|-6.62|0.0|0.0|3.25|-4.9|2.09e-06|0.0009109999999999|1.27e-05|0.00554|3.3|1.4800000000000002e-05|3.5752|3.29|3.5752|-1722.152257|699.61|346.79|0.3802|346.79|0.6816|0.3802|-0.2382|0.02935511|9986.0|3.0|8.5302
SB431542_a8|1|0|0|0.0|7.535296702|1|1|-0.007805495|-0.014434378|5.4161004020000005|-0.1950388569999999|0.096884952|-0.721718925|-0.0453332859999999|1|0.156874293|0.055198015|1|0.762577159|0.8220300859999999|0.7318727540000001|0|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|0.034730361|-76.82006387|-74.57768059|-44.6389196|0.7608280590000001|-45.98111161|89.64885355|2801.428659|-1342.398251|1947.072021|-17.46740332|14.04829994|6203.505123|-803.5005528|38.35632812|0.025179219|529.053307|0.0|0.0|1.0|0.0|2.0|23.0|3.13|112.23|1.0|0.0|109.21|0.0|1.0|-4.4|30.0|-7.04|0.0|0.0|2.58|-4.14|3.99e-05|16.0|7.28e-05|0.0292|2.4|6.96e-05||||||||||||||79.08|4.1019
21_a4|0|0|0|0.0|7.535296702|1|1|-0.164057585|-0.003068098|5.4161004020000005|-0.014982235|0.019346682|-0.131928225|-0.104638158|1|0.030586117|-0.063064908|1|0.777866961|0.833191212|0.674434042|0|0.932146735|-0.0571545999999999|-0.076470465|0.239652988|0.020173071|-28.99048719|-38.7880598|-19.67444009|0.7231676229999999|-14.70482428|47.69702403|2045.488184|-581.8208971|1584.866567|-7.377915035|9.956436217|4277.396118|-295.1166014|20.11362507|0.017563978|387.240586|1.0|1.0|1.0|1.0|0.0|17.0|3.7|39.94|0.0|0.0|91.59|0.0|2.0|-3.88|23.0|-5.76|1.0|1.0|3.23|-4.19|0.000133|0.0403|6.51e-05|0.0197|3.36|0.000352|5.1623|3.31|4.0245|-973.5481197|549.71|308.08|0.2016|240.17|0.5260600000000001|0.1457|-0.19588|0.020181098|2.9409|121.0|6.9172
8a_a32|1|1|1|0.0|7.773594467000001|0|0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|-0.0281981579999999|-0.497414715|-0.128684642|3|-0.050766252|-0.0852122769999999|0|0.845443342|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|0.221908108|0.018321589|-52.34893512|-68.61558335|-43.03057598|0.7490845290000001|-32.82934751|79.73671389|2574.085885|-1029.23375|3312.822051|-14.03170956|14.26997798|5659.295213|-645.4586397|29.86932167|0.017733503|557.1050635|1.0|1.0|1.0|1.0|2.0|19.0|6.49|140.04|2.0|0.0|110.69|1.0|1.0|-6.82|27.0|-5.76|0.0|1.0|4.07|-4.99|1.5199999999999998e-07|6.03e-05|1.02e-05|0.00406|4.17|8.86e-06|3562.0|4.98|3562.0|-1880.732222|667.29|348.07|0.4315|348.07|0.70316|0.4315|-0.2061599999999999|0.03498398|7.6703|45.0|7.3468
9i_a40|0|0|0|0.0|7.515889085|0|0|0.074116257|-0.0071562119999999|5.4161004020000005|-0.105556952|0.187127708|-0.279092262|-0.1788455119999999|2|0.333430103|0.105172175|0|0.762774506|0.824009442|0.7947633409999999|1|0.830980762|-0.092881258|-0.088485615|0.006324687|0.011010661|-46.80087537|-44.58600513|-22.46593254|0.8590224540000001|-23.58195819|49.81256531|2056.370683|-668.7900768999999|335.9672843|-9.360805225|14.74203307|4201.058793|-336.98898810000003|21.62632891|0.010372658|351.4600612|1.0|1.0|1.0|1.0|1.0|20.0|3.84|84.45|1.0|1.0|91.11|0.0|1.0|-5.32|22.0|-5.44|0.0|1.0|3.52|-4.71|4.79e-06|0.00147|1.97e-05|0.00603|3.85|0.000285|4.3611|3.2|2.8936|-1273.31399|534.44|428.48|0.5012|284.3|0.56118|0.3362|-0.17956|0.02072395|2.7887|1.25|5.9031
4e_a49|0|0|0|0.0|7.535296702|1|1|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|-0.080255074|-0.3631108529999999|0.018857363|1|-0.130491035|-0.037142108|2|0.803344301|0.856023531|0.731643066|1|0.757062331|-0.09422276|-0.087866673|0.433385455|0.017142176|-57.79309816|-53.89448633|-33.05708028|0.650328475|-35.44835874|68.38360061|2675.626006|-916.2062675|1647.641653|-11.01902676|15.01788083|5950.361470000001|-561.9703647000001|27.6242383|0.023622273|620.5697596|0.0|1.0|1.0|1.0|2.0|21.0|3.4|92.93|1.0|0.0|114.08|0.0|1.0|-3.28|30.0|-7.52|0.0|1.0|2.42|-3.52|0.000528|211.0|0.000305|122.0|1.71|1.74e-05|5.7301|3.34|3.7876|-1313.158118|660.22|327.34|0.2273|216.37|0.4078199999999999|0.0789|-0.2231199999999999|0.04133034|4.8707|34.0|7.4685
1m_a5|1|0|0|0.0|6.605297921|0|0|-0.252787668|-0.002410445|4.59511985|-0.005518104|-0.07112464|-0.096417794|-0.011848312|1|-0.118494698|0.042813643|2|0.7824502320000001|0.851987765|0.63664685|0|0.8823955520000001|-0.070959368|-0.071478865|0.429612762|0.009030414|-37.380714700000006|-37.65438054|-19.83596661|0.73847373|-19.69180207|46.74648368|2183.167528|-564.8157081|841.0375686000001|-8.041608085|13.35855701|4584.808374|-297.5394992|20.67140479|0.0172594319999999|383.4128238|1.0|1.0|0.0|1.0|1.0|23.0|5.11|54.46|1.0|0.0|95.5|0.0|1.0|-4.52|24.0|-5.71|1.0|1.0|3.63|-4.74|2.99e-05|0.00996|1.82e-05|0.00607|3.69|7.82e-07|4.6678|3.48|4.3983|-1410.88022|553.42|281.89|0.5497|265.61|0.4527899999999999|0.2373|-0.22857|0.03223201|2.4582|43.0|7.3665
12b_a5|0|0|0|0.0|6.605297921|2|2|-0.297319874|-0.001991527|4.59511985|0.023224044|-0.021265946|-0.1214831359999999|-0.016614746|0|-0.033279992|-0.070406884|2|0.779793078|0.819417554|0.8121510009999999|0|0.827613693|-0.066227158|-0.068586754|0.350286421|0.016556707|-41.76622313|-43.25430513|-27.27837078|0.530379611|-26.33991037|59.53145615|2602.046823|-735.3231872|1071.500538|-8.135654442|16.16438947|5501.255679|-463.7323032|24.32296891|0.025810077|727.8586176|0.0|1.0|0.0|1.0|1.0|18.0|3.29|50.28|1.0|0.0|123.46|0.0|1.0|-2.3|30.0|-7.57|1.0|0.0|1.44|-3.45|0.00503|2.0|0.000359|143.0|1.63|8.5e-06|4.6156|2.24|1.4454|-1276.8943800000002|669.05|857.76|0.2345|268.62|0.42949|0.0001|-0.16607|0.03447919|8.2868|42.0|7.3768
12h_a30|0|0|0|0.0|7.412764017000001|2|2|0.046965756|-0.00737961|5.351858133|-0.06631353|-0.074988669|-0.391119352|-0.072247675|1|-0.166613751|-0.0541804029999999|1|0.831176513|0.888213143|0.64876559|0|0.763568404|-0.083127678|-0.09907575|0.353607682|0.017389133|-52.88851758|-63.03519645|-40.10503079|0.7979748729999999|-33.64938551|73.14241438|2848.98238|-1197.668733|2268.811589|-15.55093031|15.1759206|6252.192213|-761.9955851|30.63031164|0.015886049|618.6004214|1.0|0.0|1.0|0.0|1.0|17.0|4.25|81.65|2.0|0.0|127.24|0.0|1.0|-5.39|30.0|-6.02|0.0|0.0|2.92|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|3.97|5.260000000000001e-05|5.0289|4.07|3.5101|-1674.977665|672.54|353.22|0.1878|246.54|-0.26697|155.0|-0.2023599999999999|0.03372393|3.4138|9.0|8065.0
12h_a36|1|0|0|0.0|7.412764017000001|2|2|-0.128701804|-0.0086750619999999|5.351858133|-0.041228471|0.059920602|-0.503153567|-0.051080247|1|0.100530266|-0.1430106119999999|1|0.820041835|0.87043328|0.84179881|0|0.819614525|-0.073572836|-0.10720355|0.3726296|0.027905055|-48.17643878|-70.19826261|-45.96672487|0.665254541|-31.5465515|87.85958486|2845.467486|-1263.568727|2391.856014|-15.32224162|13.87400978|6159.17335|-827.4010477|35.1736357|0.026971557|679.7230552999999|1.0|0.0|0.0|0.0|2.0|17.0|2.77|78.43|1.0|0.0|130.24|0.0|1.0|-3.95|31.0|-6.93|0.0|0.0|1.81|-4.07|0.000113|0.0464|8.499999999999999e-05|35.0|2.65|8.340000000000001e-05|5.1998|2.92|3.4554|-1347.451759|697.29|358.81|0.5756|238.44|0.34589|0.0056|-0.1926|0.02925492|8.7377|14.0|7.8539
14e_a23|0|1|1|-4.45581912|7.423568444|0|0|0.059967018|-0.008865361|5.351858133|-0.272389934|0.023369734|-0.4787294729999999|-0.009871698|2|0.072830644|-0.07256543|2|0.791790895|0.8510270329999999|0.5415996160000001|1|0.925392058|-0.073376247|-0.089453046|0.267882223|0.018022127|-51.07141556|-62.2612068|-43.33511299|0.796525872|-35.54678231|74.75779594|3255.313968|-1369.74655|2428.874279|-19.06744972|15.89643482|7663.17288|-953.3724859|34.39302091|0.017954325|658.8108151|0.0|0.0|1.0|1.0|1.0|26.0|4.42|105.02|2.0|1.0|125.29|0.0|1.0|-6.38|34.0|-6.06|0.0|0.0|4.5|-5.79|4.1200000000000004e-07|0.000198|1.61e-06|0.000773|4.46|2.85e-06|3.7033|4.2|3.7033|-1966.943431|706.39|334.8|0.3178|334.8|0.63922|0.3178|-0.2342199999999999|0.02250947|5.5469|3.0|8.5214
12y_a36|1|0|0|0.0|7.412764017000001|2|2|-0.061103469|-0.00707164|5.351858133|-0.065314765|0.036174187|-0.410155116|-0.028440975|1|0.06152178|-0.095253274|1|0.820226782|0.873588247|0.856135378|0|0.83704133|-0.076585128|-0.098532865|0.424572485|0.019404665|-51.48548385|-66.24017399|-44.53093547|0.755735734|-34.61187706|78.8341402|2793.629988|-1324.80348|2304.463084|-16.49293906|14.80236899|6082.16777|-890.6187094000001|32.46293206|0.01873364|698.847203|1.0|0.0|0.0|0.0|2.0|17.0|3.62|69.2|1.0|0.0|133.84|0.0|1.0|-4.58|31.0|-6.34|1.0|0.0|2.37|-4.55|2.6e-05|0.0106|2.82e-05|0.0115|3.45|3.94e-05|3.8794|3.83|3.8794|-1310.315063|702.38|319.6|0.4358|319.6|0.66796|0.4358|-0.20673|0.03583863|8249.0|12.0|7.9208
4a_a46|0|0|0|0.210988875|7.825245291|1|1|-0.214093513|-0.001042349|5.587248657999999|-0.008364558|-0.137420119|-0.051075084|-0.0466186959999999|1|-0.216904465|-0.082000707|2|0.764741337|0.8075680409999999|0.683616517|0|0.923958017|-0.05488948|-0.067863141|0.264863483|0.00935578|-28.50561609|-35.24319509|-18.30276019|0.742626378|-14.80375017|41.15334508|2042.529911|-528.6479264|1427.844961|-5.968291366|9.831485239|4481.754309|-274.5414028|15.47527339|0.011380391|480.9500663|1.0|1.0|0.0|1.0|0.0|17.0|4.18|43.6|0.0|0.0|96.74|0.0|1.0|-3.93|24.0|-5.87|1.0|1.0|3.43|-4.31|0.000117|0.0372|4.89e-05|0.0156|3.34|4.86e-05|4.5454|3.4|4.5454|-994.2146342|560.87|272.77|0.1694|272.77|0.6893600000000001|0.1694|-0.21988|0.022810825|3.7138|181.0|6.7423
12c_a5|1|0|0|0.0|6.605297921|1|1|-0.212798523|-0.002685954|4.59511985|0.020594766|-0.086795626|-0.16115723|0.0072946769999999|1|-0.1386392109999999|-0.01261147|2|0.797601178|0.8446264459999999|0.782051277|0|0.841092921|-0.070873852|-0.066083881|0.450827114|0.016374249|-46.62294305|-43.47195613|-28.59715492|0.583585895|-30.6699685|59.40070647|2697.345008|-825.9671665|2045.184304|-9.702606135|13.53008071|5877.765289|-543.3459436|25.27376659|0.024214085|735.3048881|0.0|1.0|0.0|1.0|2.0|23.0|5.03|75.72|1.0|0.0|121.26|0.0|1.0|-4.09|31.0|-6.79|0.0|0.0|3.31|-4.33|8.159999999999999e-05|0.0336|4.64e-05|0.0191|2.84|2.03e-07|4.6671|2.06|4.0116|-1316.5202869999998|694.24|309.06|0.1513|265.66|0.52074|105.0|-0.21128|0.02242648|3.5993|47.0|7.3279
5a_a50|0|1|1|0.0|7.927685046000001|1|1|-0.203248487|-0.00148647|5.82008293|-0.017108794|0.017227585|-0.06986407|-0.130929632|2|0.028229556|-0.102607753|1|0.788709546|0.847812674|0.6759066159999999|1|0.969892876|-0.038932964|-0.065209836|0.2814514|0.010185297|-20.77548565|-34.7974024|-18.56865899|0.66527517|-11.08625592|44.17662122|2246.106104|-521.9610361|1605.985157|-6.477439183|10.76914508|4770.917486|-278.5298849|18.24602704|0.017576522|462.1867149|1.0|0.0|1.0|1.0|0.0|20.0|3.66|35.64|0.0|0.0|101.86|0.0|1.0|-3.89|25.0|-5.83|1.0|1.0|3.47|-4.5|0.000129|42.0|3.14e-05|0.0102|3.46|0.000186|5.6146|3.39|4.0159|-1029.905844|582.98|308.73|0.2735|220.82|0.39948|0.1156|-0.19146|0.02452028|5649.0|4.1|5.3872
14y_a23|0|1|1|0.0|7.423568444|0|0|0.0600764409999999|-0.005875443|5.351858133|-0.022719307|0.041892637|-0.2996475999999999|-0.031435038|2|0.07646106|-0.069023218|2|0.802520527|0.8668730109999999|0.64069202|1|0.925252932|-0.057809342|-0.080613242|0.2271539169999999|0.018804822|-39.9727336|-55.74067298|-38.54233552|0.78322549|-27.63946733|67.16839951|3096.562257|-1114.8134599999998|2336.815247|-16.40099384|16.00209862|7320.809595999999|-770.8467102999999|30.28429949|0.016527|665.6233736|0.0|0.0|1.0|1.0|1.0|26.0|4.64|105.02|2.0|1.0|130.3|0.0|1.0|-6.77|32.0|-5.8|0.0|0.0|4.45|-6.13|1.7e-07|8.18e-05|7.37e-07|0.000354|4.83|1.29e-06|3.6413|4.73|3.6413|-2549.091817|713.1|340.49|444.0|340.49|0.61338|444.0|-0.2331599999999999|0.01307741|6.5205|4.0|8.4225
7_a47|0|0|0|0.0|0.0|0|0|0.00763426|-0.008206422|0.0|-0.143650735|-0.128433676|-0.3939082339999999|-0.0781924059999999|0|-0.262805289|-0.021071408|2|0.817389583|0.8755534909999999|0.671549194|1|0.8473227320000001|-0.081264417|-0.095957591|0.427432212|0.008915606|-45.82735481|-54.113260200000006|-30.51603217|0.816979353|-25.84337052|61.47335819|2491.885862|-919.9254234|1968.695833|-11.52827882|10.90440708|5958.904826|-518.7725468|25.02240371|0.0130514639999999|526.6144628999999|1.0|1.0|0.0|1.0|2.0|22.0|5.63|58.04|2.0|0.0|111.28|0.0|1.0|-6.47|28.0|-4.8|0.0|1.0|4.89|-6.06|3.41e-07|0.000134|8.75e-07|0.000345|5.49|1.3900000000000001e-07|3.7203|5.08|3.7203|-1647.963177|604.84|333.26|0.2144|333.26|0.69314|0.2144|-0.2073699999999999|0.03348545|4.4255|25.0|7.6
12ba_a36|1|0|0|0.0|7.412764017000001|2|2|-0.090865777|-0.0075620109999999|5.351858133|0.026411489|0.087201747|-0.423472625|-0.011949092|1|0.159880159|-0.091676619|1|0.8256014690000001|0.890675195|0.796093405|0|0.849738126|-0.083210415|-0.108410153|0.330220757|0.0246090489999999|-56.0578808|-73.03464847|-49.20258616|0.7068957840000001|-37.76553687|89.06670390000001|3035.390784|-1314.6236720000002|2492.5731100000003|-17.03166444|14.59456478|6722.60947|-885.6465508|35.76372225|0.023797439|688.1986357999999|1.0|0.0|1.0|0.0|2.0|17.0|2.79|116.78|1.0|0.0|133.18|0.0|1.0|-4.77|33.0|-7.04|0.0|0.0|1.57|-4.25|1.6800000000000002e-05|0.0072599999999999|5.65e-05|0.0244|2.67|8.240000000000001e-05|5.2506|2.79|3.0114|-1417.426327|687.23|411.71|0.7436|236.13|0.3989999999999999|0.0009|-0.21033|0.02839417|4.5448|21.0|7.6778
13k_a6|1|0|0|0.0|7.412764017000001|1|1|0.031525207|-0.014257799|5.351858133|-0.132667824|0.051404465|-0.8554679409999999|-0.072504783|1|0.08217847|-0.045794891|1|0.7908110340000001|0.84018367|0.827754203|0|0.641032542|-0.11937574|-0.127178105|0.212093198|0.0296987679999999|-82.8774254|-88.29427104|-61.29890279999999|0.7971316940000001|-57.53822059|100.7779947|2966.890288|-1765.8854210000002|3332.974951|-21.89246528|14.58291125|6492.211639|-1225.9780560000002|39.55891914|0.017981419|741.5222707|1.0|1.0|1.0|1.0|3.0|23.0|4.55|115.15|1.0|0.0|124.98|0.0|1.0|-5.49|33.0|-6.59|0.0|1.0|3.18|-4.77|3.26e-06|0.00144|1.7100000000000002e-05|0.0075599999999999|3.39|5.7e-07|5112.0|5.41|3.5476|-1465.83213|731.25|349.49|0.3971|242.53|0.4547|0.0137|-0.1944|0.0308324|10.5079|46.0|7.3372
34_a47|0|1|1|0.0|6.842683282|0|0|-0.210257395|-0.004157676|4.727387819|-0.064842466|-0.094313757|-0.191253079|0.078153957|1|-0.208989427|-0.1430639269999999|3|0.833786184|0.89234354|0.609110565|1|0.8260556609999999|-0.061957581|-0.090141168|0.437215023|0.019723558|-34.3104683|-49.91779281|-27.64315244|0.653993216|-19.00022922|62.66739933|2371.236125|-698.8490993|918.6458674|-9.000096143|12.96364153|5105.274301|-387.0041342|24.85087647|0.023023142|439.9906467|1.0|1.0|1.0|1.0|1.0|21.0|3.34|68.52|0.0|0.0|99.09|0.0|1.0|-3.57|26.0|-6.66|1.0|1.0|3.02|-3.9|0.000267|0.0929|0.000125|0.0436|2.49|1.17e-05|4.2077|2.41|3.8892|-1162.450678|585.79|318.79|0.2309|294.66|0.6602399999999999|0.1718|-0.21536|0.03084502|6.2235|2.0|8.7
1j_a5|1|0|0|0.0|6.605297921|0|0|-0.2031633169999999|-0.003981454|4.59511985|-0.010620031|-0.115553003|-0.175183967|-0.032333695|1|-0.190920568|-0.010807075|2|0.7862755770000001|0.848473695|0.717355058|0|0.847163872|-0.073803258|-0.074505844|0.35883584|0.019690225|-39.64241895|-40.01980349|-21.49609451|0.616489567|-21.29338752|54.3827755|2242.805131|-600.2970524|847.5275797|-7.86442482|13.80288876|4618.562904|-322.4414176|23.74961767|0.026739895|422.96706330000006|1.0|1.0|1.0|1.0|1.0|23.0|4.5|63.69|0.0|0.0|96.98|0.0|1.0|-4.03|25.0|-6.15|1.0|1.0|3.19|-4.2|9.27e-05|0.0304|6.29e-05|0.0206|3.03|2.36e-06|4.4331|2.61|4.1205|-1065.817476|572.47|300.89|0.5115|279.68|0.66182|0.1644|-0.20645|0.03246499|3.0364|24.0|7.6198
16_a4|0|0|0|0.0|7.535296702|1|1|-0.219944434|-0.00228637|5.4161004020000005|-0.095499301|0.007101649|-0.089168424|0.019290123|1|0.020218035|-0.018051608|1|0.774455255|0.8366279120000001|0.482473457|0|0.7898461090000001|-0.073335635|-0.080093659|0.292255386|0.013727656|-36.11951685|-39.44800181|-19.42906425|0.832461695|-17.789707500000002|45.11883447|2101.6948030000003|-591.7200271|1522.164774|-8.095443438|10.19502391|4520.2597670000005|-291.4359638|19.74465314|0.0115138339999999|322.8922084|1.0|0.0|0.0|0.0|0.0|17.0|4.49|30.71|1.0|0.0|85.02|0.0|1.0|-3.92|23.0|-5.64|1.0|1.0|3.91|-4.43|0.0001199999999999|0.0371|3.68e-05|0.0114|3.59|0.000134|4511.0|4.05|4.2257|-1057.478071|515.68|293.41|0.2213|274.85|0.51149|0.1006|-0.2134|0.01638524|1.9873|343.0|6.4647
12aa_a36|1|0|0|0.0|7.412764017000001|2|2|0.033952382|-0.011588438|5.351858133|-0.135770278|0.03597264|-0.672129428|-0.013898809|1|0.0620143779999999|-0.052743904|1|0.833911317|0.888163057|0.849217847|0|0.688945241|-0.1066659309999999|-0.117270578|0.4679233379999999|0.023617545|-72.94175494|-80.19356964|-54.83906299|0.731335741|-49.88002793|96.18613736|2928.7759760000004|-1523.677823|2418.848273|-19.29522587|14.60824604|6438.603019|-1041.942197|38.58180913|0.023386634|689.2886595|0.0|0.0|0.0|0.0|3.0|17.0|1.92|112.29|1.0|0.0|131.85|0.0|1.0|-3.52|32.0|-7.79|0.0|0.0|1.15|-3.45|0.000304|129.0|0.000359|152.0|1.55|0.000305|3.8899|3.88|3.8899|-1401.617177|701.99|318.73|0.4446|318.73|0.6931|0.4446|-0.20829|0.04550032|4.7433|9.0|8.0458
