molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|BCUTs-1|SaasN|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
8b_a12|0.0|0|0|0|0.0|1.283836078|0.0|0.0|2|0.03977208|0.028584223|0.0|-0.618894925|-0.010117477|10.95438057|0|-0.007926474|0.003898807|-0.659952678|1|0.89481633|0.792160599|0|-0.1053827859999999|-0.116554734|0.4384536329999999|0.011257065|-67.44287685|6.513753986|319.0086845|149.9096134|-0.045608374|-39.02494133|0.888936354|-2.097985204|72.85978933|67.49212879999999|0.480938153|2388.888334|428.7273481000001|-1213.971783|-15.27062922|0.111063646|6.373278096|12.27845608|64.26553043|-702.4489440000001|1365.645333|510.3677388|5.416912474|0.0|1.0|2.0|18.0|-7.45|3.11|1.9|80.37|110.58|0.0|1.0|4.0|-4.1|27.0|4.0|355.39|0.0|-4.01|7.890000000000001e-05|9.74e-05|0.0|1.26e-05|4.2263|5.11|3.7446|-1159.365835|1020.47|331.1|293.37|460.08|-1159.188228|127.0|-0.15294|-0.21184|0.03936706|6.1286|263.0|6.58
12a_a36|0.0|1|0|0|0.0|1.297044783|0.0|5.351858133|2|0.040166667|0.078063311|0.0|-0.403468978|0.002039107|10.96083376|1|0.003199301|-0.1063550619999999|-0.432975237|1|0.907322874|0.846614758|0|-0.076154312|-0.104828755|0.436020272|0.019595485|-64.36949846|12.03249549|109.9069212|110.1075804|-0.037738352|-39.52572284|0.755315434|-1.886917597|76.09903547|58.79461567|0.470444928|2647.835699|503.9367075|-1158.650972|-14.22926022|0.244684566|6.600635115|12.464492300000002|150.24716030000002|-711.4630111|1533.996157|598.1535763999999|11.72953701|1.0|1.0|2.0|17.0|-6.59|2.72|1.88|69.2|123.75|0.0|1.0|5.0|-3.79|29.0|4.0|381.43|0.0|-4.0|0.000164|0.000101|0.0|9.78e-05|3.8343|3.16|3.6682|-1232.916523|1096.31|338.0|323.35|481.98|-1232.707754|0.0012|-0.1519299999999999|-0.20139|0.03544528|8.5603|13.0|7.8861
14_a47|0.0|1|1|1|0.0|1.417758105|0.0|4.59511985|2|0.036632997|0.017068634|1.484493371|-0.2306964|-0.008212621|10.95058279|1|-0.006335783|-0.020596219|-0.33240126|2|0.5975877820000001|0.8467634620000001|1|-0.093553938|-0.094132436|0.2662137639999999|0.020106089|-47.47362906|10.1400648|64.60629385|160.57883|-0.034963476|-23.9422834|0.664709719|-1.223721666|61.62381153|57.32194098|0.474828277|2254.664317|343.7492333|-617.1571777|-8.892848121|0.335290281|6.909385453|13.15643085|169.0962983|-311.2496842|928.4611922|310.8026328|14.15018248|1.0|1.0|2.0|21.0|-7.79|3.97|4.88|66.49|86.58|0.0|1.0|3.0|-3.97|24.0|5.0|323.3|0.0|-4.13|0.000108|7.46e-05|0.0|5.27e-06|3.9671|2.64|3.9671|-1127.700693|849.76|312.53|312.53|375.43|-1127.610422|0.2452|-0.16377|-0.22434|0.03679054|3665.0|8.0|8.1
6_a47|0.0|0|0|0|0.0|1.304328257|0.0|0.0|2|0.042276423|-0.14404966|1.291219116|-0.392537045|-0.010708889|10.93671042|0|-0.0094242819999999|-0.020576777|-0.459934519|2|0.701994505|0.84654143|1|-0.080118846|-0.096689626|0.446564415|0.009820713|-52.41283988|5.323543706000001|101.7290544|85.6917678|-0.036834143|-28.411587800000003|0.7943908059999999|-1.547034008|60.76103606|48.75381069|0.4059072379999999|2431.668154|456.3812788|-838.6054381|-10.82346202|0.205609194|6.480620646|10.90843226|111.4552019|-454.5854048000001|1055.658539|469.7495559|8.348196185|1.0|1.0|2.0|22.0|-9.06|5.24|6.27|58.04|106.47|0.0|1.0|3.0|-6.02|27.0|4.0|379.81|1.0|-5.79|9.53e-07|1.63e-06|0.0|3.310000000000001e-07|5.5188|4.69|3.7196|-1608.652005|990.85|333.32|224.66|422.9|-1608.50108|0.2119|-0.1544|-0.20794|0.03288085|4.2153|13.0|7.9
14y_a23|0.0|0|1|1|0.0|1.197960595|3.3149940630000003|5.351858133|2|0.046678487|0.041892637|0.731397292|-0.2996475999999999|0.009174505|10.31321795|2|0.007229683|-0.069023218|-0.4598871539999999|2|0.719722236|0.8668730109999999|1|-0.057809342|-0.080613242|0.2271539169999999|0.018804822|-55.74067298|13.00274534|39.66769923|51.68445972|-0.034303507|-38.54233552|0.78322549|-1.612264842|67.16839951|52.97547894|0.486730407|3096.562257|639.7735629|-1114.8134599999998|-16.40099384|0.21677451|8.213390641|16.00209862|149.890474|-770.8467102999999|1423.362076|665.6233736|11.42772654|0.0|0.0|1.0|26.0|-8.57|4.64|5.32|105.02|130.3|0.0|1.0|5.0|-6.77|32.0|4.0|480.37|0.0|-6.13|1.7e-07|7.37e-07|0.0|1.29e-06|3.6413|4.73|3.6413|-2549.091817|1217.48|340.49|340.49|585.2|-2548.8917260000003|444.0|-0.14942|-0.2331599999999999|0.01307741|6.5205|4.0|8.4225
14h_a23|0.0|0|1|1|0.0|1.197963488|3.309480899|5.351858133|2|0.04255787|0.0316908439999999|0.7290938920000001|-0.307907256|0.009895793|10.31321773|2|0.009266617|-0.0686282459999999|-0.4460845129999999|2|0.708395022|0.860920386|1|-0.063825076|-0.081058742|0.223157991|0.021982565|-54.6468131|14.81983413|41.34207782|51.620282|-0.033774476|-36.84086528|0.753100584|-1.621174834|67.44368679|57.84834575|0.48032488|3010.418229|622.5428245|-1092.936262|-15.35036053|0.246899416|7.833334036|15.0735214|166.45047749999998|-736.8173055999999|1451.248725|646.2584547|12.79687369|0.0|1.0|1.0|26.0|-7.47|3.4|3.89|128.81|125.0|0.0|1.0|5.0|-5.68|32.0|5.0|436.49|0.0|-4.9|2.09e-06|1.27e-05|0.0|1.4800000000000002e-05|4.0506|3.29|3.6689|-1722.148272|1190.62|337.93|306.09|569.53|-1721.9314420000003|0.2727|-0.15209|-0.2374099999999999|0.02796857|13.4823|5.0|8.3468
12f_a30|0.0|0|0|0|-4.734662095|0.60498366|0.0|5.351858133|2|0.041555556|0.1468972409999999|0.0|-0.874676289|-0.00695299|10.31162828|1|-0.004395528|-0.077457998|-0.6394697460000001|1|0.613786308|0.876441789|0|-0.090450992|-0.108935062|0.56363596|0.01570263|-76.85198573|11.07796031|101.2862703|115.8783181|-0.0452183279999999|-54.21787616|0.815175332|-2.396571368|89.21786458|74.88972286|0.472521727|3305.792133|589.6060704|-1690.743686|-22.5055335|0.184824668|8.366190175|15.86072943|130.3909181|-1192.793275|2074.08593|696.6414817000001|12.36587885|1.0|1.0|1.0|17.0|-7.18|4.43|4.78|90.88|133.96|0.0|1.0|7.0|-6.7|34.0|8.0|482.48|0.0|-5.92|1.99e-07|1.2e-06|0.0|3.19e-05|5.0587|5.52|3.5298|-1987.998635|1225.63|351.25|245.09|574.31|-1987.782125|0.1596|-0.14958|-0.20422|0.03400408|4.6865|19.0|7.7144
43_a18|0.0|0|0|0|0.0|1.251175234|0.0|4.844187086|1|0.033734062|-0.05314954|0.0|-0.397752066|0.002712865|10.94702053|0|0.003801459|-0.140532044|-0.460675034|0|0.718255592|0.7458234990000001|0|-0.070166168|-0.0822489459999999|0.3439906129999999|0.006890688|-63.87648583|5.35147222|0.66443384|114.6724699|-0.0311212229999999|-49.60799696|0.8743733490000001|-2.302970476|69.46280937|59.84418608|0.481954273|3172.923606|661.9512957999999|-1788.541603|-18.77059344|0.125626651|10.01438533|19.33108376|97.56464265|-1389.023915|2045.512486|1228.492038|5.5863235410000005|0.0|1.0|2.0|18.0|-9.6|4.5|4.08|76.5|160.76|0.0|1.0|9.0|-6.45|38.0|3.0|508.65|0.0|-5.96|3.55e-07|1.09e-06|1.0|1.28e-07|3.2233|8.79|3.2233|-1611.598032|1493.25|384.65|384.65|702.4|-1611.126246|0.5429|-0.13196|-0.18145|0.02315412|3.6943|625.0|6.2041
12t_a30|0.0|0|0|0|0.0|0.60498454|0.0|5.351858133|2|0.044197531|-0.0596036729999999|0.0|-0.411045472|-0.002544958|10.31162892|1|-0.001131023|-0.0546637159999999|-0.464720444|1|0.609043558|0.889479916|0|-0.090535776|-0.1011561919999999|0.408290036|0.018862708|-65.79920855|12.26965165|88.42093081|197.4742794|-0.037159417|-42.80050261|0.745705883|-1.82081145|78.8278828|71.1605835|0.445760296|2976.648597|452.99711|-1184.385754|-15.72263361|0.254294117|7.957774504|14.358001500000002|165.4110479|-770.409047|1588.274656|616.2856203|13.02867425|1.0|1.0|1.0|17.0|-7.16|4.67|3.74|81.65|127.19|0.0|1.0|5.0|-5.49|31.0|6.0|434.46|0.0|-5.17|3.24e-06|6.71e-06|0.0|3e-05|5.0693|4.32|3.5457|-1774.208418|1139.2|349.67|244.58|527.87|-1774.0165149999998|0.1561|-0.15029|-0.20571|0.0337599|3.2145|9.0|8.0496
18_a20|0.0|1|0|0|0.0|1.400923654|0.0|4.727387819|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|10.93301779|1|-0.004071701|0.001996439|-0.597167441|2|0.809917509|0.8162774979999999|1|-0.0927760219999999|-0.095227339|0.356461863|0.0108136339999999|-63.36348363|7.195302872999999|318.5587088|158.7879106|-0.035934845|-42.1615378|0.8109110409999999|-1.904546783|72.31812218|68.92770059|0.483668611|2809.844943|506.6038164|-1267.269673|-15.91001426|0.1890889589999999|8.011174137000001|15.51556677|125.81822920000002|-843.230756|1562.772745|712.1606951|8.954638548|1.0|1.0|2.0|27.0|-10.0|5.54|4.69|97.55|125.07|0.0|0.0|5.0|-5.59|32.0|4.0|419.48|0.0|-5.16|2.54e-06|6.91e-06|0.0|4.17e-08|5.9778|5.35|3.5355|-1352.32685|1204.88|350.69|207.41|531.11|-1352.073755|0.2011|-0.14685|-0.20289|0.03787435|8.0505|34.0|7.4685
