molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8_a4|0.0|0|0|0|1|7.535296702|1|1.304250488|2.126514848|-0.001277205|5.4161004020000005|2|-0.072752231|1.987684188|-0.056197036|0.010647563|-0.011835327|0.05775266|1|0.009595591|-0.1193184819999999|-0.048133994|-0.078942941|-0.150276481|0.619844116|0.813333185|0.097165358|0.879500982|1|-0.05397993|-0.065595042|0.0103751219999999|-27.90231822|-33.90618946|5.362918401|11.02158946|-0.024598141|-17.52616744|2.772101712|0.7261541020000001|-0.983925625|41.57817329|-12.71482105|33.26523662|2297.5526170000003|478.2025467|1737.932042|0.273845898|9.972991122|0.750959081|141.55141369999998|-262.8925116|0.0148422489999999|-233.7988862|700.3924376|434.9654405|7.671983829|1.0|1.0|1.0|2.99|3.19|0.15|21.0|-7.78|4.76|43.6|1.0|0.0|3.0|-5.76|0.0|3.85|0.0156|0.00506|3.74|0.0|0.0|1.65e-08|5.72e-06|-0.05864|3.29|-1450.239105|-1450.21384|561.6|311.03|0.1687|231.56|391.01|0.30471|4.5781|0.0252645|-1450.121028|5.7488|54.0|7.2676
13b_a6|0.0|1|0|0|0|7.412764017000001|1|1.430640379|0.0|-0.011206134|5.351858133|1|0.060593678|0.0|-0.6051312529999999|-0.00460563|-0.104663349|-0.064811009|1|-0.00194781|0.100281317|-0.10896749|-0.180339002|-0.490758329|0.850080948|0.7788169070000001|-0.11338525|0.8370824240000001|0|-0.093125205|-0.112915801|0.032036214|-61.06841733|-74.04643339|21.00828557|154.7847961|-0.0406496879999999|-48.5571926|13.77653618|0.757233678|-2.032484418|87.39962829999999|-26.65671602|82.07670290000002|2821.72831|508.6895893|2587.000662|0.2427663219999999|15.37022155|0.69141956|159.1980937|-874.0294667999999|0.0203627189999999|-337.3706117|1760.1380379999998|627.4287311|13.35319491|1.0|1.0|1.0|3.56|2.85|0.12|23.0|-9.01|4.32|95.85|2.0|0.0|5.0|-6.1|0.0|3.45|0.0012699999999999|0.00417|3.8|0.0|0.0|9.77e-10|4e-07|-0.0525799999999999|4.04|-1350.0903970000002|-1350.061187|694.33|341.35|0.7846|255.67|574.07|0.58026|10.8032|0.02920955|-1349.898848|13.5746|174.0|6.7595
6b_a40|0.0|0|0|0|1|8.421342866|2|0.604892326|1.710647518|-0.014861289|6.401917197|0|-0.137534783|0.6899826|-0.698480566|-0.003851208|0.0986825569999999|-0.226457281|2|-0.004728928|-0.248560671|-0.018582337|-0.033583055|-0.630957955|0.691778838|0.842573207|-0.307881994|0.90571269|1|-0.107699967|-0.118488624|0.014588568|-72.13527644|-79.36130196|9.771129787|176.8246355|-0.049599889|-53.15460718|6.544506614|0.878140798|-2.132795227|87.29061302|-33.22101012|81.90640622|3214.047452|504.6333458|4049.386572|0.1218592019999999|12.51342818|0.793750992|81.61884754|-956.7829293|0.011838681|-506.5422338|1626.736212|618.8882797|7.929311055|1.0|0.0|1.0|4.02|3.36|0.21|14.0|-5.21|4.38|173.43|2.0|2.0|5.0|-5.85|1.0|4.21|1.98e-06|0.000335|5.03|1.0|1.0|6.21e-06|0.00318|-0.09533|8.98|-3290.775349|-3290.745084|687.2|399.62|0.4962|399.62|552.01|0.69429|8193.0|0.03026498|-3290.648012|11.3203|0.03|7.5229
4_a18 (SD-208)|0.0|0|0|0|0|0.0|2|1.304335262|0.0|-0.012457606|0.0|3|-0.020226647|0.0|-0.498304229|-0.018723101|-0.009648044|-0.056245435|0|-0.015153358|-0.047745689|-0.15379315|-0.3630339729999999|-0.564165402|0.773173718|0.83508768|-0.098971722|0.904723479|0|-0.077885485|-0.099573708|0.0211761979999999|-40.10670787|-51.27494074|10.90456851|103.6318511|-0.034985357|-26.40375252|5.615248385|0.602029021|-1.2944582059999998|69.63488061|-18.01551972|51.01127638|2395.526727|401.1916387|1822.914738|0.397970979|11.42979655|0.831728055|204.9329964|-343.2487827|0.035654206|-105.0785813|1107.212786|363.2306414|18.35993987|0.0|1.0|1.0|2.77|2.54|0.0|22.0|-8.15|4.44|76.48|1.0|0.0|6.0|-6.31|0.0|3.11|18.0|0.0146|3.02|0.0|0.0|7.06e-09|2.49e-06|-0.09992|2.58|-1542.296276|-1542.276332|537.47|378.26|0.2761|239.56|396.17|0.4646|3.4629|0.0199445|-1542.207472|5.2085|0.08|7.0969
8_a20 (IN-1130)|0.0|1|0|0|0|6.842683282|0|1.400923668|0.0|-0.009430196|4.727387819|2|0.1728459339999999|1.622562232|-0.528090969|-0.006620594|-0.019554464|-0.0574882679999999|1|-0.004654742|0.293415753|-0.049177437|-0.083481481|-0.573278819|0.811128636|0.760688473|-0.0957193819999999|0.817914963|1|-0.09623672|-0.097790028|0.0158089389999999|-63.72828772|-64.75689362|10.46873389|336.574332|-0.035730972|-42.88223811|6.93243166|0.7481063720000001|-1.858010535|77.31081766|-23.66117267|74.19702161|2849.395895|481.70475260000006|1829.419484|0.251893628|15.46983888|0.932362084|166.8048285|-814.7625241000001|0.018957805|-328.593789|1644.660472|684.5377542|12.55392404|1.0|1.0|1.0|3.49|2.43|0.08|27.0|-9.63|4.08|110.44|1.0|0.0|5.0|-6.83|0.0|3.14|0.00596|0.0119|2.87|0.0|0.0|2.34e-10|9.86e-08|-0.07014|4.53|-1368.412748|-1368.372708|696.06|383.5|0.3782|248.98|517.94|0.4377|3803.0|0.04004011|-1368.180121|5.4751|36.0|7.4437
19_a20|0.0|1|0|0|0|6.842683282|0|1.4009239059999998|0.0|-0.0096278259999999|4.727387819|3|0.103271147|1.622562232|-0.539158264|-0.006620594|0.077469518|-0.063133522|1|-0.004654742|0.175308615|-0.049177437|-0.083481481|-0.5838248970000001|0.811128636|0.7619768840000001|-0.105118869|0.8193003000000001|1|-0.091725453|-0.099685049|0.013643765|-60.26825633|-65.49811346|8.964643162|339.8339889|-0.038340404|-43.03556944|5.890223441|0.796070588|-1.993700989|75.98477124|-25.1915821|69.23289949|2849.084477|495.7134289|1818.518838|0.203929412|15.38668579|0.935398401|133.9919257|-860.7113887|0.0159602|-389.0666676|1645.535318|684.5377542|10.48665779|1.0|1.0|1.0|3.49|2.49|0.08|27.0|-9.63|4.08|110.44|1.0|0.0|5.0|-6.8|0.0|3.16|0.00541|0.0112|2.91|0.0|0.0|2.34e-10|9.86e-08|-0.06767|5.01|-1368.413151|-1368.378274|687.79|368.83|0.2998|368.83|519.34|0.6987399999999999|4.2507|0.03487615|-1368.190746|6.3327|2.6|5585.0
13n_a6|0.0|1|0|0|0|6.842683282|0|1.4290206230000002|0.0|-0.010884884|4.727387819|2|0.058267173|1.628408574|-0.631323273|-0.0093684169999999|-0.06507689|-0.033224059|1|-0.00687003|0.100294804|-0.068956229|-0.118693789|-0.57091314|0.870730542|0.7767360059999999|-0.056293641|0.832753533|1|-0.100363599|-0.109392959|0.017758385|-68.88015714|-75.07706271|12.18768927|90.97854097|-0.038490115|-51.52585133|8.36448634|0.748967057|-2.078466222|88.73738138|-26.41600355|81.06784641|2952.259627|486.5239262|2535.307313|0.251032943|16.76075427|0.889160748|172.28545730000002|-978.9911754|0.019904118|-341.7352549|1904.575345|724.3873672999999|13.66031867|1.0|1.0|1.0|3.55|1.9|0.08|27.0|-9.67|3.76|122.47|1.0|0.0|5.0|-7.23|0.0|2.62|0.00987|0.0228|2.43|0.0|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.27|-1423.765005|-1423.714738|727.69|369.99|0.9117|257.31|548.09|0.55028|7.1946|0.05026727|-1423.514154|10.1967|75.0|7.1249
17g_a50|0.0|0|1|1|2|7.934155233999999|2|1.320916184|4.377239517|-0.002050512|5.82008293|2|-0.05611228|2.236579664|-0.13328325|0.012079|-0.022378911|-0.1155555559999999|2|0.01245647|-0.090386911|-0.200725906|-0.323333765|-0.213708251|0.754575205|0.738521694|-0.2126789369999999|0.7787714459999999|1|-0.048170917|-0.0706879109999999|0.014550016|-32.14758511|-47.17463902|9.710172008|10.60268439|-0.025918901|-31.48270383|6.48022912|0.749948388|-1.555134042|56.28102287|-17.29736764|41.85775712|2821.3922|614.4183967|1975.996014|0.250051612|15.28352231|0.879688945|166.8756987|-692.6194843|0.013645282|-333.6136209|1383.884645|829.3813984|9.106383854|0.0|1.0|1.0|4.04|3.66|0.35|20.0|-6.96|4.37|51.77|2.0|0.0|4.0|-6.28|0.0|3.63|0.0148|0.0059|3.68|0.0|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|3.22|-1335.976491|-1335.946919|725.92|306.45|0.1795|306.45|559.45|0.6623600000000001|7.0584|0.02957267|-1335.693266|9.1706|246.0|6.6091
11_a27|0.0|1|0|0|0|7.535296702|2|1.1606177359999998|0.0|-0.0067474069999999|5.4161004020000005|2|-0.080272515|1.3706083080000002|-0.344117757|0.004538653|-0.0864111069999999|-0.027287578|0|0.005111147|-0.1299181459999999|-0.041662169|-0.067428705|-0.488734846|0.734834532|0.814843016|-0.043616687|0.8629676709999999|1|-0.079921166|-0.094820973|0.016171515|-42.27430065|-50.15555389|8.553922917000001|143.3238715|-0.034296948|-26.52978026|4.524597532|0.8088958709999999|-1.611956546|56.8702158|-18.14137056|50.82822357|2339.465471|404.4089873|1646.903525|0.1911041289999999|9.562117063|0.82770457|101.0845293|-451.0062644|0.012694323|-326.780942|1054.084273|504.209846|6.714661907000001|1.0|0.0|0.0|3.95|0.0|0.35|16.0|-6.09|1.67|61.88|0.0|0.0|4.0|-6.47|0.0|2.04|0.0716|0.0326|2.73|0.0|0.0|8.2e-07|0.000283|-0.05985|4.54|-1122.456105|-1122.433411|571.4|499.21|0.3492|370.92|415.32|0.6125|3.1278|0.0226944|-1122.242519|4.2894|5.0|8301.0
9b_a36|0.0|1|0|0|0|7.412764017000001|2|0.62670079|0.0|-0.0058276019999999|5.351858133|2|0.082806042|0.0|-0.308862918|0.005050384|-0.077361324|-0.06502499|1|0.005458948|0.146828453|-0.053309522|-0.094526372|-0.4060950789999999|0.8421237309999999|0.7885597609999999|-0.1177413269999999|0.842671963|0|-0.074181597|-0.098301686|0.017007854|-46.58565720000001|-61.73294817|10.68084402|67.12293326|-0.036110824|-38.76797062|6.707514535|0.78242217|-1.769430355|71.70079424|-22.67740953|57.26650122|2715.020034|530.8939077|2464.2160510000003|0.21757783|13.80758516|0.828997331|136.63774650000002|-697.8234711|0.015872498|-354.7193098|1420.196295|620.9195447000001|9.967846072|1.0|0.0|1.0|4.73|0.0|0.14|17.0|-6.64|2.76|82.47|1.0|0.0|4.0|-6.46|0.0|2.48|0.00992|0.0148|3.2|0.0|0.0|2.3100000000000002e-07|9.21e-05|-0.05146|3.82|-1575.7800140000002|-1575.751975|666.01|321.74|0.5392|321.74|514.45|0.69763|6.2846|0.02803905|-1575.616432|8.4288|21.0|7.6778
