molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|n6HRing|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
7e_a8|0.0|1|3.038052327|0.0|7.05012252|0|0|1.394799915|-0.006027596|0|0.0|-0.11032771|10.94332434|1|0.002669179|-0.075638618|0.034227147|0.07125309|0|0.732001738|-0.023521398|-0.072307692|0.790500031|0.577394732|0|0.8291560379999999|-0.08608941|-0.0886889709999999|0.286669793|-53.04282692|12.91806855|0.170843962|102.177831|-31.72369068|7.725998682999999|63.5628736|0.776001552|-1.6850904519999998|-30.79383811|64.40615805|0.4742828629999999|495.8990914|-1007.813711|2032.501296|0.223998448|14.654025199999998|0.902163597|133.9683023|-602.7501229|28.86058693|0.018708212|1298.726412|11.18895001|1.0|0.0|3.2|3.38|0.04|-8.29|5.16|4.94|70.81|3.54|2.0|108.43|0.0|4.0|-5.75|4.0|0.0|0.0|1.0|1.78e-06|0.000686|3.87e-06|5.07e-09|3.8142|6.32|3.2363|-1300.495519|-1300.467069|622.23|0.3461|325.06|544.55|0.70177|-1300.271093|0.1522|-0.13577|9.0006|0.02845071|35.1|4.4547
13b_a6|0.0|1|3.423777636|0.0|7.412764017000001|1|1|1.430640379|-0.011206134|1|0.0|-0.104663349|10.95129557|1|-0.00194781|0.100281317|-0.10896749|-0.180339002|1|0.7788169070000001|-0.029988734|-0.11338525|0.8370824240000001|0.8013954109999999|0|0.7757172059999999|-0.093125205|-0.112915801|0.202093555|-74.04643339|21.00828557|0.2242827939999999|147.0772097|-48.5571926|13.77653618|554.4007331|0.757233678|-2.032484418|-40.04664055|82.07670290000002|0.408780634|508.6895893|-1332.835801|2587.000662|0.2427663219999999|15.37022155|0.69141956|159.1980937|-874.0294667999999|35.20276076|0.0203627189999999|1760.1380379999998|13.35319491|1.0|1.0|3.56|2.85|0.12|-9.01|4.98|4.32|95.85|1.29|2.0|116.79|0.0|5.0|-5.51|5.0|0.0|0.0|1.0|3.11e-06|0.0012699999999999|1.02e-05|9.77e-10|4.8494|4.04|3.6322|-1350.0903970000002|-1350.061187|694.33|0.7846|255.67|574.07|0.7006600000000001|-1349.837661|0.2461|-0.14898|10.8032|0.02920955|174.0|6.7595
1_a6 (SB-431542)|0.0|1|3.3674017380000003|0.0|7.423568444|1|1|1.430935835|-0.015636898|1|0.0|-0.029658865|10.94959842|1|-0.008385698|0.164429684|-0.020716495|-0.033765606|1|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.5940412860000001|-0.126408788|-0.122555709|0.210050443|-72.69619778|19.58668728|0.405958714|240.8019609|-43.12110169|11.61820782|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|94.56841061|0.472445176|352.3666367|-1235.8353619999998|1890.228713|0.2468003389999999|14.26172029|0.895537592|146.3942108|-733.0587287000001|36.46179023|0.02438148|1640.78056|14.4623285|1.0|1.0|3.25|2.35|0.05|-7.69|4.04|3.63|103.12|1.54|1.0|106.85|0.0|4.0|-4.52|5.0|0.0|0.0|1.0|3.03e-05|0.0116|5.660000000000001e-05|2.03e-08|3.8208|4.57|3295.0|-1292.588032|-1292.553086|619.92|0.5765|324.5|464.07|0.69868|-1292.358966|0.3346|-0.13329|6.0113|0.03494577|1542.0|5.8119
6_a4|0.0|0|0.0|0.0|7.535296702|1|1|1.271761557|-0.001221193|2|2.186806868|0.0032928379999999|10.92992785|1|0.01098094|0.0671397079999999|-0.046166422|-0.073630392|2|0.76089528|-0.169533683|-0.340860215|0.810030118|0.664247086|1|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|-37.33240845|4.324187697|0.054454162|30.33467048|-20.7966895|2.408866521|45.93422613|0.814470803|-1.206286076|-16.25991695|33.5125766|0.423084148|526.7333132|-671.9833521|1968.0178670000005|0.1855291969999999|9.981741408|0.733355042|103.3523757|-374.340411|16.83786074|0.008863911|825.0551765|4.937800786|0.0|1.0|3.38|3.45|0.26|-7.99|5.1|5.23|43.6|3.09|2.0|109.7|0.0|3.0|-4.91|3.0|0.0|1.0|1.0|1.24e-05|0.0043799999999999|7.74e-06|1.04e-08|4.8714|4.11|4.0354|-1108.585859|-1108.563418|613.83|0.1235|254.51|453.87|0.5877|-1108.338577|0.0772|-0.16959|2.8026|0.02244097|1.3|5.8861
33_a20|0.0|0|0.0|0.0|6.842683282|0|0|1.4175014119999998|-0.00145476|2|2.0219022580000003|-0.061975089|10.93244905|1|0.008780074|0.248715569|-0.036258691|-0.060582944|2|0.74131936|-0.0854333469999999|-0.10978034|0.802353442|0.607038752|1|0.9493896|-0.058927252|-0.069838312|0.399354817|-45.72654913|8.340767701|0.0506104|33.13709773|-29.9394021|5.46110745|64.93395624|0.759356182|-1.326927921|-25.26187502|46.92331405|0.465855239|621.611679|-868.8044333999999|2274.654579|0.240643818|15.094865900000002|0.8721516570000001|157.56124519999997|-568.84864|22.88265911|0.013564844|1144.132956|8.881565237|1.0|1.0|3.39|3.59|0.08|-9.69|5.33|5.39|67.39|2.61|2.0|121.62|0.0|4.0|-5.6|4.0|0.0|0.0|1.0|2.48e-06|0.000997|2.98e-06|2.04e-10|5443.0|4.07|3.8867|-1275.852801|-1275.823229|689.51|0.6157|227.79|563.98|0.6129|-1275.602977|0.0463|-0.15959|3.5714|0.02957286|34.0|7.4685
13i_a6|0.0|1|3.399318783|0.0|7.412764017000001|1|1|1.430639411|-0.0149593219999999|1|0.0|0.034304189|10.95129557|1|-0.007703306|0.057038772|-0.045418125|-0.073507141|1|0.7771558909999999|0.145878803|-0.054229558|0.8287956870000001|0.830577798|0|0.624046118|-0.120457274|-0.129526268|0.221116773|-86.83156133|20.90143854|0.375953882|252.0312146|-58.20996912|14.01186473|116.5456632|0.783597763|-2.460999087|-54.13430283|101.6533459|0.429711323|418.3467934|-1649.799665|2880.134143|0.216402237|14.54375165|0.753497905|145.07130039999998|-1105.989413|39.72483975|0.019989461|2105.416507|13.40049533|1.0|1.0|3.59|2.7|0.12|-8.5|4.16|3.54|115.15|1.18|1.0|120.17|0.0|6.0|-5.03|5.0|0.0|0.0|1.0|9.32e-06|0.00398|3.28e-05|3.18e-09|3.6668|4.94|3.5614|-1426.549926|-1426.518007|703.43|0.2903|338.12|553.67|0.70517|-1426.269916|19.0|-0.1464|7.8342|0.03191957|21.0|7.6778
1o_a5|0.0|1|2.923171926|0.0|6.605297921|0|0|1.427566509|-0.002633927|2|0.0|-0.102739602|10.94518594|1|0.0051989459999999|-0.05876042|0.038275248|0.06759341|2|0.78144982|-0.003561205|-0.016408975|0.85693939|0.650008224|0|0.88430372|-0.079346457|-0.072886362|0.447318682|-39.1638643|7.122612351|0.11569628|62.16682117|-21.04383087|3.827177229|1.01402588|0.699913551|-1.093295425|-22.90899675|49.75766514|0.470590799|475.1609233|-587.4579645|833.537568|0.300086449|14.20898333|0.8888980340000001|161.2447749|-315.657463|22.08761368|0.020380352|839.3293197999999|10.95092849|1.0|1.0|2.81|2.2|0.0|-8.11|4.48|4.07|78.25|1.23|0.0|95.2|0.0|3.0|-4.08|4.0|0.0|0.0|1.0|8.329999999999999e-05|0.0269|8.340000000000001e-05|7.85e-09|4.5011|2.66|4.1692|-1043.577386|-1043.536121|561.04|0.3966|275.45|443.88|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|0.04126499|35.0|7.4559
11b_a5|0.0|1|2.943854668|0.0|6.605297921|0|0|1.277648917|-0.003900104|2|0.0|-0.118167947|10.94877958|1|0.005685558|-0.108457009|-0.0109928619999999|-0.017658026|2|0.805760343|-0.0497097529999999|-0.106187688|0.8645824520000001|0.682032125|0|0.8737310509999999|-0.07633373|-0.080664777|0.378154801|-48.42513182|9.829471091|0.126268949|75.80248447|-29.07084703|5.900883275|1.880682804|0.66824472|-1.290636432|-27.50997723|55.65456427|0.456131351|524.5231302|-774.8021092|913.0178976|0.33175528|16.43091298|0.83867925|199.1611925|-465.13355250000006|26.35133256|0.0228838029999999|1159.458633|13.73773299|1.0|1.0|2.99|2.55|0.1|-9.15|5.38|4.82|63.69|2.01|2.0|106.58|0.0|6.0|-4.65|4.0|0.0|1.0|1.0|2.26e-05|0.00853|2.04e-05|7.109999999999997e-10|4.4995|3.31|4.1982|-1564.761898|-1564.72614|635.55|0.5806|275.55|511.28|0.6284|-1564.56504|0.2013|-0.17107|1.9569|0.03575776|19.0|7.7212
13d_a5 (GW788388)|0.0|1|2.945204608|0.0|6.605297921|1|1|1.236844097|-0.005668173|3|0.0|-0.086484275|10.94530363|1|0.003668464|-0.14893897|-0.010147323|-0.016337128|2|0.78479342|0.024905619|0.047169811|0.834800344|0.71006207|0|0.774103723|-0.086824482|-0.0844793|0.54169129|-55.87383979|9.637686167|0.2258962769999999|149.40573999999998|-36.95444874|6.374277851|44.69922692|0.669182121|-1.605106706|-37.98032007|67.0626077|0.488398052|511.985152|-1061.602956|1377.863026|0.330817879|15.788837|0.954644629|218.7999323|-702.1345259999999|28.84397435|0.022041749|1586.418589|14.57821204|0.0|1.0|3.21|2.74|0.2|-8.84|4.56|4.11|92.79|1.37|1.0|121.68|0.0|6.0|-4.35|5.0|0.0|0.0|1.0|4.429999999999999e-05|0.0189|4.5e-05|1.45e-09|4.6091|3.81|4.1706|-1390.589662|-1390.548362|707.09|0.5251|269.0|532.01|0.48848|-1390.294368|0.1549|-0.17299|2.4867|0.04130059|18.0|7.7447
13a_a6|0.0|1|3.417162147|0.0|7.412764017000001|1|1|1.430639975|-0.01115741|1|0.0|0.0015242189999999|10.95129557|1|-0.00194781|0.05269025|-0.10896749|-0.180339002|1|0.7722228729999999|0.090839165|-0.091892803|0.8299950709999999|0.8013954109999999|0|0.77450544|-0.094081761|-0.113446379|0.22670695|-74.18628740000001|20.83876732|0.22549456|147.4582473|-48.51283287|13.62714959|554.4922449|0.759912392|-2.042034827|-40.23198232|82.36189896|0.467070451|506.474367|-1335.353173|2626.396685|0.240087608|15.08351934|0.8764206290000001|157.0011174|-873.2309916000002|35.14492428|0.02016134|1757.246214|13.18415753|1.0|1.0|3.53|3.2|0.12|-9.01|4.98|4.32|95.85|1.29|2.0|116.79|0.0|5.0|-5.51|5.0|0.0|0.0|1.0|3.11e-06|0.0012699999999999|1.02e-05|9.77e-10|5.9934|4.04|3651.0|-1350.085889|-1350.057702|695.29|0.5352|206.87|571.9|0.70072|-1349.834826|0.2697|-0.14969|7.7145|0.02818646|46.0|7.3372
