molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|n6HRing|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
15b_a50|0.0|0|0.0|0.0|7.934155233999999|1|1|1.353059441|-0.0045393|1|2.018777006|-0.06083723|10.94501702|2|0.005203263|-0.17223348|-0.131737048|-0.2185722769999999|1|0.8259784720000001|0.000882622|-0.216393362|0.8833003970000001|0.764606364|1|0.8209134840000001|-0.082576068|-0.080700307|0.447220762|-46.13641893|11.48191704|0.179086516|102.3838797|-26.37622116|6.564219549|0.0|0.639017342|-1.291204916|-26.98929785|58.69070955|0.478989976|469.3167805|-738.1827030000001|1692.3273379999998|0.3609826579999999|13.22671714|0.919348867|206.3740238|-422.0195386|25.11269883|0.024313507|1155.184146|13.90004811|1.0|1.0|3.56|2.11|0.19|-5.72|2.71|3.26|68.76|1.66|1.0|105.46|0.0|5.0|-3.18|4.0|0.0|1.0|1.0|0.000654|0.2339999999999999|0.000249|1.92e-06|4.0561|2.08|4.0561|-1160.4989460000002|-1160.463663|613.37|0.1796|305.67|475.99|0.65917|-1160.275856|0.1796|-0.16737|6.9054|0.03528279|79.0|7.1024
12u_a36|0.0|1|3.508898495|0.0|7.412764017000001|2|2|1.270259304|-0.006461999|2|0.0|-0.063855309|10.95266014|1|0.005035022|0.055588998|-0.099596099|-0.163978382|1|0.8101678720000001|0.080270195|-0.018047007|0.855176759|0.860667615|0|0.842227829|-0.07260571|-0.0969881059999999|0.3765068079999999|-67.50289394|12.27663887|0.157772171|109.8080843|-46.98143813|8.544435884|5.944854912|0.77938748|-2.036750221|-35.17050511|62.80959338|0.486156325|586.1833819|-1417.5607730000002|2455.7556010000003|0.22061252|14.90088936|0.946117173|153.5444314|-986.6102007|30.82735404|0.015171583|1818.813889|10.55929252|1.0|1.0|5.05|0.0|0.24|-7.38|3.85|3.01|69.2|2.66|2.0|138.33|0.0|6.0|-4.95|4.0|0.0|1.0|1.0|1.13e-05|0.0047799999999999|1.39e-05|4.2e-08|3.8847|4.21|3675.0|-1350.8981130000002|-1350.865506|739.12|0.4267|319.16|590.18|0.70272|-1350.575382|0.0176|-0.15109|5.8702|0.03260752|16.0|7.7959
14u_a23|0.0|0|0.0|0.0|7.423568444|0|0|1.197962732|-0.007017844|2|0.743634137|-0.026062012|10.31321759|2|0.010508236|0.091604179|-0.110069159|-0.199540201|2|0.787538583|-0.001778422|-0.094773814|0.845160857|0.71381683|1|0.909754912|-0.055259924|-0.086465795|0.445665682|-57.75236052|16.97420126|0.090245088|60.27663131|-38.57404134|11.3374334|50.47632596|0.702868983|-1.729315897|-24.65250654|53.88349042|0.47648509|607.6448353|-1155.04721|2430.634114|0.297131017|14.12094979|0.910165272|198.4601847|-771.4808267999999|32.2221994|0.023582305|1643.332169|15.75112771|0.0|1.0|3.59|3.68|0.09|-7.51|3.42|4.03|114.25|2.72|2.0|126.78|0.0|6.0|-5.63|5.0|0.0|0.0|0.0|2.32e-06|0.0010199999999999|9.57e-06|3.11e-08|4.0409|3.23|3.1819|-1744.446261|-1744.422541|712.54|0.2253|306.82|549.0|0.6703100000000001|-1744.1781010000002|0.0008|-0.1543|5.9743|0.0237199999999999|6.0|8.2449
8_a47|0.0|0|0.0|0.0|7.252053952000001|0|1|1.24688044|-0.007835945|2|1.335354131|-0.153669322|10.93671024|0|-0.007648516|-0.177626636|-0.00158075|-0.003223628|2|0.7847248109999999|-0.035681436|-0.223459904|0.842571655|0.659210804|1|0.8497568740000001|-0.075955381|-0.091482011|0.517797505|-53.11155658|5.043798869|0.150243126|87.2263982|-30.83488674|2.928269795|0.0|0.819702033|-1.646676195|-25.60148752|49.14108595|0.414302597|493.3419136|-956.0080185|2217.264922|0.180297967|11.08581716|0.707366287|104.6752861|-555.0279614|25.35407034|0.012935553|1166.287236|7.509972037000001|1.0|1.0|3.02|3.21|0.13|-9.25|5.67|6.77|58.04|3.9|2.0|113.97|0.0|4.0|-6.59|4.0|1.0|0.0|1.0|2.56e-07|0.000104|6.490000000000001e-07|5.62e-10|3.6696|4.91|3.6696|-1686.068471|-1686.0356350000002|621.06|0.2249|337.87|433.38|0.6877800000000001|-1685.8518170000002|0.2249|-0.15357|3585.0|0.03283575|0.05|7.3
14ae_a23|0.0|0|0.0|0.0|7.423568444|0|0|1.1979624290000002|-0.007539122|2|0.7338690390000001|-0.0174992419999999|10.31321689|2|0.009675528|0.047563299|-0.143336826|-0.253318853|2|0.7830067820000001|0.107765697|0.0469453379999999|0.8356326820000001|0.7317531540000001|1|0.872362051|-0.065169397|-0.087074783|0.202342743|-62.38566188|24.84237243|0.127637949|91.4475768|-44.69687612|17.79858399|110.5716332|0.53040766|-1.480271319|-33.45249142|71.53368511|0.479058976|625.0131414|-1060.556252|2575.36078|0.46959234|15.59484379|0.919603093|336.444465|-759.846894|36.35475577|0.034488074|1999.511567|24.70935041|0.0|1.0|3.74|3.76|0.12|-7.6|3.48|4.03|123.48|2.42|2.0|133.27|0.0|7.0|-5.8|6.0|0.0|0.0|0.0|1.6e-06|0.000753|8.22e-06|2.49e-08|3.6036|2.99|3.6036|-1858.967022|-1858.952529|751.57|0.3205|344.06|627.57|0.58144|-1858.675325|0.3205|-0.14537|7.0211|0.01449323|2.0|8.6038
14a_a10|0.0|0|0.0|0.0|7.535296702|2|2|1.3438495730000002|-0.002047597|3|2.070512208|-0.045759336|10.92970798|1|0.012272222|0.042968756|-0.220250238|-0.344811314|2|0.7348225290000001|-0.011977878|-0.007680215|0.770129205|0.740051323|1|0.911549451|-0.044416218|-0.070610745|0.43555903|-51.23835032|9.840503082|0.088450549|64.18371923|-37.18086445|7.140714112|134.15514270000003|0.542015878|-1.270993412|-23.38784787|42.07091945|0.469029865|661.4615097|-922.2903058|1774.8853399999998|0.457984122|18.88856367|0.8833450959999999|332.3339934|-669.2555601|25.39690722|0.0219172279999999|1701.592784|15.9041322|0.0|1.0|3.98|4.4|0.39|-8.18|4.16|3.36|59.31|1.94|1.0|146.76|0.0|7.0|-4.21|6.0|0.0|1.0|0.0|6.159999999999999e-05|0.0288|1.58e-05|6.55e-09|5.5808|2.25|3802.0|-1489.655581|-1489.803158|800.01|0.2835|222.16|645.26|0.7047100000000001|-1489.42155|0.0005|0.2422099999999999|3.1205|-0.14757681|74.0|7.1308
4e_a49|0.0|0|0.0|0.0|7.535296702|1|1|1.343847746|-0.006602016|2|1.713107022|-0.053787795|10.92777282|1|0.000660956|-0.130491035|-0.037142108|-0.060391347|2|0.803344301|0.0063958109999999|0.032396301|0.856023531|0.731643066|1|0.757062331|-0.09422276|-0.087866673|0.433385455|-53.89448633|10.51443916|0.242937669|149.0098632|-33.05708028|6.449206277999999|60.11195021|0.650328475|-1.493733437|-35.44835874|68.30753733|0.471635821|464.3567821|-916.2062675|1647.641653|0.349671525|15.01788083|0.892633982|214.47685|-561.9703647000001|27.6242383|0.023622273|1408.836153|14.48911428|0.0|1.0|3.35|2.89|0.22|-7.36|3.4|2.83|92.93|1.25|1.0|114.08|0.0|6.0|-3.28|5.0|0.0|0.0|1.0|0.000528|211.0|0.000305|4.35e-08|5.7301|3.34|3.7876|-1313.199448|-1313.158118|660.22|0.2273|216.37|504.63|0.68043|-1312.924353|0.0789|-0.1585099999999999|3.9718|0.04133034|34.0|7.4685
33_a47|0.0|0|0.0|0.0|6.823286122000001|0|0|1.409403453|-0.004263267|3|1.688794654|-0.033554816|10.98214099|1|0.003634698|-0.26447859|-0.147591116|-0.338113214|3|0.82821379|0.065468525|0.1186944519999999|0.8913954909999999|0.607650682|1|0.8197001309999999|-0.060080724|-0.083739854|0.404334141|-44.81989209|11.96072985|0.1802998689999999|96.50148984|-23.98884914|6.401714296000001|0.0|0.57681348|-1.088618103|-17.2112484|44.11759955|0.4607629339999999|438.726241|-582.6585971|787.797733|0.42318652|12.94292541|0.854471925|226.5011607|-311.85503880000005|25.25333652|0.029580684|1010.133461|15.83240237|0.0|1.0|3.08|2.76|0.11|-7.08|2.96|4.04|68.52|1.52|0.0|94.28|0.0|3.0|-3.26|5.0|0.0|1.0|1.0|0.000546|183.0|0.000192|8.339999999999999e-08|4.1869|2.06|4.1869|-1123.16428|-1123.135036|566.29|0.2566|296.13|423.52|0.67508|-1122.992964|0.2566|-0.15985|4.5647|0.02924367|4.0|8.4
47n_a18|0.0|0|0.0|0.0|7.03438793|1|1|1.251175627|-0.007614955|0|0.0|-0.003276575|10.94702025|0|0.001705837|0.026244774|-0.172015161|-0.258092915|0|0.696612213|-0.09714337|-0.083719099|0.726888951|0.711628292|0|0.792429396|-0.079299822|-0.091185806|0.288989992|-75.24728669|8.759783644|0.207570604|171.2889916|-62.09468789|7.228646444|47.476904100000006|0.783921929|-2.4620167580000003|-54.00070374|74.19865731|0.482565384|653.9193397999999|-2031.676741|2052.393389|0.216078071|20.17045476|0.932611327|178.30942439999998|-1676.556573|33.65821422|0.01357247|2591.682495|11.20011508|1.0|1.0|4.69|0.0|0.31|-9.76|3.67|3.31|105.6|2.72|3.0|162.18|1.0|13.0|-6.02|4.0|0.0|0.0|0.0|9.48e-07|0.000511|5.7e-06|1.7500000000000002e-10|3.2028|9.78|3.2028|-1743.3283440000002|-1743.299948|879.92|0.5056|387.11|799.02|0.6914600000000001|-1740.5852670000002|0.5056|-0.13138|2.4754|0.02839695|64.0|7.1938
8a_a32|0.0|1|3.217128449|0.0|7.773594467000001|0|0|0.609420757|-0.010151321|0|2.059960334|-0.020716518|10.31100269|3|-0.001662219|-0.050766252|-0.0852122769999999|-0.1534110109999999|0|0.845443342|-0.184419911|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|0.221908108|-68.61558335|11.48993376|0.185446274|116.298071|-43.03057598|7.205629442999999|66.81560596|0.7490845290000001|-1.641192863|-32.82934751|63.83886888|0.480024324|510.8273411|-1029.23375|3312.822051|0.250915471|14.26997798|0.923166883|157.3554684|-645.4586397|29.86932167|0.017733503|1373.988797|11.12113054|1.0|1.0|3.48|3.67|0.26|-7.65|6.49|4.65|140.04|1.37|2.0|110.69|1.0|7.0|-6.82|4.0|1.0|0.0|1.0|1.5199999999999998e-07|6.03e-05|1.02e-05|2.23e-08|3562.0|4.98|3562.0|-1880.767206|-1880.732222|667.29|0.4315|348.07|566.07|0.70316|-1880.536478|0.4315|-0.1445|4.8933|0.03498398|45.0|7.3468
12k_a30|0.0|0|0.0|0.0|7.412764017000001|2|2|0.604984231|-0.007818038|2|0.0|0.067265077|10.31162844|1|0.0053380919999999|-0.240110949|-0.089279071|-0.154412059|1|0.830875659|0.001281277|-0.067714819|0.883029843|0.7933543279999999|0|0.815083558|-0.079026221|-0.098188266|0.340031035|-65.04897323|16.01752015|0.184916442|122.5057244|-43.09444587|10.61148425|0.0|0.7081361979999999|-1.865577056|-34.68429919|68.37178540000001|0.47195436|539.9866061|-1235.930491|2277.687222|0.291863802|15.93977881|0.893775698|193.3575303|-818.7944715|32.93073182|0.0226150579999999|1745.328787|14.9823028|1.0|1.0|4.72|0.0|0.17|-6.74|3.89|2.63|90.88|2.51|2.0|133.77|0.0|6.0|-5.44|5.0|0.0|0.0|0.0|3.59e-06|0.00154|1.19e-05|1.84e-07|5.1958|3.58|3.4715|-1690.302721|-1690.269144|710.82|0.2257|238.62|564.62|0.6864899999999999|-1690.031103|0.1512|-0.14743|4.9516|0.03357755|24.0|7.6144
26_a20|0.0|0|0.0|0.0|6.842683282|0|0|1.4165417530000002|-0.00578453|2|2.01129617|-0.054222344|10.93106273|1|0.003149352|0.249416844|0.0346782989999999|0.057022334|2|0.7541508029999999|-0.070815554|-0.055150498|0.8096894440000001|0.690530489|1|0.79337253|-0.0862808009999999|-0.082729415|0.423153994|-55.81998701|8.604974082|0.20662747|139.417676|-37.66339899|5.806030949|80.47551422|0.7848887259999999|-1.737317706|-39.28020352|66.82118688|0.472355054|535.3119506|-1172.219727|2534.075607|0.215111274|14.40103379|0.8952138340000001|145.1419493|-790.9313788|28.17896678|0.014879363|1493.485239|10.03954725|1.0|1.0|3.42|3.07|0.08|-9.18|4.5|4.62|86.69|2.47|2.0|125.0|0.0|5.0|-5.14|4.0|0.0|0.0|1.0|7.27e-06|0.00305|9.51e-06|6.64e-10|4.8421|4.97|3.8894|-1352.315376|-1352.277633|715.27|0.2081|256.05|543.96|0.68167|-1352.036122|0.0814|-0.16129|3.8173|0.03774288|131.0|6.8827
47i_a18|0.0|0|0.0|0.0|7.03438793|1|1|1.251177255|-0.006882626|0|0.0|0.073977454|10.94702091|0|0.000427479|-0.057689282|-0.106018078|-0.162274487|0|0.744472118|-0.064085904|-0.068524374|0.7842882870000001|0.727767462|0|0.8030751740000001|-0.0780255879999999|-0.089609068|0.279553995|-62.41153158|6.787641686000001|0.196924826|137.1555392|-43.46880696|4.727502734|82.81385171|0.8608685909999999|-2.150617629|-37.84973202|61.13143233|0.487446923|559.3312455|-1497.876758|1333.332089|0.139131409|18.67881257|0.951017454|96.90318745|-1043.251367|28.52393145|0.009393984|1739.959818|6.542785417999999|1.0|1.0|4.05|0.0|0.22|-8.98|3.28|2.8|85.29|2.74|3.0|134.83|0.0|8.0|-5.18|3.0|0.0|0.0|1.0|6.58e-06|0.0029|1.67e-05|1.04e-09|3.2321|7.37|3.2321|-1416.260696|-1416.233978|744.95|0.5085|383.61|664.78|0.69175|-1415.875678|0.5085|-0.13237|2.7749|0.02671774|19.0|7.7212
