molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|PPSA3|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
16d_a32|0.0|1|1|3.311658163|0|0|0|0.609420775|0.0|0.170838661|2.07416189|-0.7589895790000001|-0.00839148|-0.134892903|10.31100273|3|3|-0.005427254|-0.128753933|-0.239509216|-0.68301199|0.8575664540000001|0.107238939|-0.0847953219999999|0.7689748270000001|1|0.7554930740000001|-0.11491796|0.41654798|0.032003415|-53.23914436|18.67986534|142.7146582|-0.036437402|-39.15098916|48.61700321|0.615749698|-1.493933474|-31.07481011|86.50964771|-21.26791022|71.91900971|0.4429631189999999|2588.214866|440.9688416|-12.41372827|0.384250302|0.79521327|5768.495166|34.53986301|0.0332953229999999|-135.1223777|1416.134383|457.7130665|19.43393087|1.0|0.0|1.0|1.0|2.0|3.35|3.01|0.18|149.27|0.65|102.33|1.0|6.0|-5.65|1.0|-4.18|2.22e-06|0.000856|6.659999999999999e-05|2.86|0.0|9.84e-05|-0.05068|3.6271|3.6271|-1877.360551|-1877.332369|0.2915|0.70217|-1877.185022|0.2915|0.02818209|-1877.241687|3.8853|8.0|8.1135|8.1135
5a_a49|0.0|0|0|0.0|1|2|2|1.343848751|2.111324504|0.079751437|1.878067786|-0.493952547|0.007647515|-0.046327135|10.92976459|1|1|0.008623164|-0.158356406|-0.26176436|-0.51958118|0.7979412790000001|0.001251171|0.127914587|0.632463498|1|0.800090055|-0.0787216|0.6254267029999999|0.028578361|-42.1802818|16.71687776|116.9370825|-0.027311576|-26.93578408|54.35929907|0.6069287529999999|-1.338267206|-24.67330519|61.89135559|-15.97587337|58.89715956|0.490453006|2797.737637|468.0117167|-9.345067946|0.393071247|0.962527525|6294.404170000001|26.32248561|0.0270848489999999|-125.09569170000002|1289.801795|592.5885712|15.84324998|0.0|0.0|1.0|1.0|0.0|3.37|2.93|0.22|73.14|2.07|116.62|0.0|3.0|-3.84|0.0|-4.29|0.000146|0.0578|5.09e-05|2.65|0.0|4.72e-05|-0.05062|5.2443|3.9219|-1311.995327|-1311.960542|795.0|0.66225|-1311.743648|0.0529|0.03478454|-1311.799168|7.0102|43.0|7.3665|7.3665
12z_a30|0.0|0|0|0.0|0|2|2|0.604983642|0.0|-0.1155022219999999|0.0|-0.537984876|0.003529389|0.018796341|10.31162784|1|1|0.005111479|-0.12254489|-0.207153446|-0.39205163|0.809127478|-0.02232319|-0.077335468|0.794193541|0|0.832920077|-0.107776943|0.315493739|0.030875938|-49.68145417|21.47520633|116.2094523|-0.034034824|-52.13870496|0.0|0.630839856|-1.939984979|-34.55504699|95.20867045|-23.67231332|71.1566605|0.48740649|3112.622632|579.3226647000001|-16.464854199999998|0.3691601439999999|0.950863559|7074.004131999999|37.52507564|0.029109145|-182.00664430000003|2138.929312|792.3440337000001|20.24634493|1.0|0.0|1.0|1.0|1.0|4.86|0.0|0.21|100.11|2.2|140.26|0.0|7.0|-5.61|0.0|-5.0|2.47e-06|0.00113|9.94e-06|3.81|0.0|6.720000000000001e-05|-0.04679|4.8063|3.4438|-1804.814868|-1804.785911|0.1855|0.6853199999999999|-1804.51674|0.1441|0.02895763|-1804.581882|7.2113|44.0|7.3615|7.3615
19_a31|0.0|1|0|3.2411335510000003|0|0|0|0.61013725|0.0|0.062492295|0.0|-0.46087445|-0.005956522|-0.040386271|10.31169935|2|2|-0.0038998559999999|-0.081398052|-0.1751017789999999|-0.615878515|0.8558149140000001|0.019858798|-0.138769819|0.6427749970000001|0|0.7312647940000001|-0.113333675|0.279690511|0.014675044|-53.25742146|8.596058678|157.414423|-0.036060715|-38.88650245|67.42915967|0.776211804|-1.586671445|-31.1960848|75.31824576|-21.12293613|61.85348014|0.446100738|2265.6917350000003|428.3459076|-12.37297805|0.223788196|0.805382437|4917.329034|27.21285095|0.0152483439999999|-323.5878356|1197.365442|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.0|3.44|2.62|0.28|98.91|1.68|97.25|0.0|7.0|-4.67|0.0|-3.92|2.14e-05|0.0076799999999999|0.0001199999999999|2.93|0.0|1.46e-05|-0.04308|5.0344|3.9477|-1489.532192|-1489.4951640000002|0.3205|0.7005600000000001|-1489.323855|0.2271|0.03702801|-1489.382077|2.4209|1.8|5.7447|5.7447
4m_a46|0.0|0|0|0.0|1|1|1|1.134637002|2.12888511|-0.245599013|0.0|-0.0329557579999999|0.011122528|-0.142061192|10.94319657|1|1|0.010359417|-0.017992096|-0.029022201|-0.098201489|0.747676221|-0.099662698|0.011235955|0.626578283|0|0.948973877|-0.0672468|0.373463876|0.010905551|-35.4774406|5.74716122|26.89046601|-0.0224155999999999|-18.67596877|35.77391986|0.733236381|-1.008702005|-18.69640205|41.88525631|-11.81288911|41.22460182|0.463006576|2133.331634|500.1036387|-6.225322922999999|0.266763619|0.8622201970000001|4750.325312|16.11061509|0.012232753|-245.828396|724.9776792|486.9589609|6.446588969|1.0|0.0|1.0|1.0|0.0|3.59|2.9|0.29|54.5|2.5|98.69|0.0|2.0|-4.52|0.0|-4.57|2.99e-05|0.00981|2.68e-05|3.69|0.0|4.31e-05|-0.04808|6.0419|4.3476|-1031.138426|-1031.109224|0.2465|0.68505|-1030.929791|0.1557|0.02920209|-1030.980844|5.2326|1288.0|5.8901|5.8901
37_a18|0.0|0|0|0.0|0|2|2|1.251176176|0.0|-0.0013530679999999|0.0|-0.385273662|0.002300582|-0.034593342|10.94702064|0|0|0.003512954|-0.1483628609999999|-0.224171123|-0.44541772|0.725028151|0.020848396|-0.020149364|0.699483099|0|0.831783747|-0.074857954|0.385121249|0.009098426|-50.09028298|6.653112344|123.0060763|-0.0286221589999999|-40.02719655|60.1335413|0.7648766029999999|-1.946306811|-36.62790634|65.15554136|-20.92960342|56.74339533|0.488368082|3055.795406|608.2316837999999|-15.30451633|0.2351233969999999|0.954530133|7035.839448000001|27.36337253|0.0142451319999999|-387.3755475|1860.709332|1056.535856|10.41657856|0.0|1.0|1.0|1.0|2.0|4.31|0.0|0.3|76.5|3.33|151.14|0.0|7.0|-5.68|0.0|-5.47|2.08e-06|0.000999|3.35e-06|4.36|0.0|7.27e-07|-0.04925|3.2127|3.2127|-1532.997117|-1532.974371|499.0|0.69305|-1532.553949|499.0|0.02274574|-1532.622404|3.0375|35.0|7.4559|7.4559
16g_a32|0.0|1|1|3.363965155|0|0|0|0.609420729|0.0|0.1739995319999999|2.084553994|-0.771439265|-0.002456725|-0.029193403|10.31100263|3|3|-0.00030659|-0.117577419|-0.202656848|-0.696926204|0.83902731|-0.026098259|0.008494733|0.762429418|1|0.8206422409999999|-0.105500574|0.542303725|0.023959586|-57.77542509|17.659402|132.1955522|-0.033839807|-57.31234426|43.37912747|0.6863323440000001|-1.79350976|-42.58335004|94.54074206|-24.94161377|75.43482709|0.3972359179999999|2833.521937|604.8539801|-18.38320476|0.313667656|0.65902387|6372.261243999999|36.34043182|0.02276861|-274.67233460000006|1926.042887|701.9321161|16.78159325|1.0|1.0|1.0|1.0|2.0|3.87|3.42|0.33|149.27|1.57|121.56|1.0|10.0|-7.51|1.0|-5.32|3.08e-08|1.36e-05|4.83e-06|4.65|0.0|3.04e-06|-0.05|3.6161|3.6161|-2034.621991|-2034.593036|0.2879|0.70222|-2034.342619|0.2879|0.02895494|-2034.408165|4.3204|11.0|7.9586|7.9586
18a_a22|0.0|0|0|0.0|1|0|0|1.194229718|1.854982521|-0.197348157|1.6891461019999998|-0.19538364|0.007066388|-0.021976395|10.31286146|1|1|0.007079018|-0.0835538409999999|-0.147724859|-0.296897301|0.7329701259999999|-0.042139855|-0.027029438|0.722009212|1|0.926535704|-0.076119803|0.573315195|0.01713283|-34.36220678|11.62443251|49.84469832|-0.029276847|-35.04152115|18.5219848|0.710467198|-1.5223960559999998|-23.31437056|64.80092090000001|-19.86401135|45.98663929|0.487405342|2898.068989|628.6440468999999|-13.47750813|0.289532802|0.950859191|6630.646100999999|27.95908297|0.0193879289999999|-285.5992506|1453.872315|730.9420477000001|13.15449139|1.0|1.0|1.0|1.0|1.0|3.49|3.17|0.08|100.61|2.13|131.64|0.0|6.0|-5.59|0.0|-5.16|2.59e-06|0.00113|6.98e-06|3.78|0.0|1.73e-07|-0.0706799999999999|5.0214|3.4832|-1691.3151059999998|-1691.2957760000002|0.3174|0.68577|-1691.036502|0.0354|0.01932946|-1691.097989|5.3946|13.0|7.8861|7.8861
19_a34|0.0|0|0|0.0|1|1|1|1.438829424|1.898101852|-0.068004837|0.0|-0.5357267960000001|-0.00802652|-0.143343425|10.95957634|1|1|-0.0042364759999999|-0.255220734|-0.401414514|-0.469568766|0.8022000659999999|0.08178394|-0.0235903339999999|0.818710955|0|0.6399024520000001|-0.1255804019999999|0.308793959|0.039589023|-56.30608209|19.74799697|179.6256831|-0.039656969|-31.24772528|470.4453529|0.662289492|-1.506964829|-28.08688512|77.38527508|-19.78189027|76.05407906|0.467358389|2127.363207|319.1993829|-9.86770272|0.3377105079999999|0.877434994|4496.516479|29.86894781|0.029554695|-161.90813300000002|1135.020017|337.9440349|14.74262256|0.0|1.0|1.0|1.0|1.0|3.07|2.77|0.18|69.4|1.08|83.95|0.0|3.0|-2.73|0.0|-3.15|0.00186|574.0|0.000704|1.66|0.0|0.00291|-0.02901|4.1721|4.1721|-1046.606458|-1046.5747720000002|0.2189|0.6897300000000001|-1046.458335|0.2189|0.03168624|-1046.509891|5.0441|0.99|6.0044|6.0044
12g_a40|0.0|0|0|0.0|1|0|0|0.604990688|1.687211672|0.037440516|0.726175674|-0.354104815|-0.001011175|0.075327376|10.31197254|2|2|-0.003205145|0.063401514|0.106286677|-0.512657141|0.769016155|0.020185301|-0.326139923|0.6941475490000001|1|0.8702014570000001|-0.099521372|0.289122732|0.012706769|-49.94706785|6.670206427999999|68.1355805|-0.0435406|-27.42361099|0.0|0.852031227|-1.393299206|-26.21888031|59.29860462|-22.85591194|56.61727428|0.465725912|2287.970776|456.7977427|-11.99782981|0.147968773|0.871698484|5211.675486|26.82520454|0.013442698|-369.5858437|858.4065454|335.7078145|7.056520179|1.0|0.0|0.0|0.0|1.0|3.24|3.2|0.0|78.66|3.76|93.78|0.0|2.0|-6.46|0.0|-5.79|3.43e-07|0.000124|1.62e-06|5.07|0.0|8.57e-05|-0.07424|4.0224|3.1577|-2173.044757|-2173.0224510000003|0.3539|0.6988|-2172.9382|0.2682|0.02230594|-2172.988604|2.7075|724.0|6.1403|6.1403
