molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|nFaHRing|RASA|FNSA5|PBF|PNSA5|PPSA3|RPSA|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|TASA|WNSA4|GeomDiameter|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
12ap_a36|0.0|1|0|3.4417292610000003|0.0|7.412764017000001|2|2|1.2970441659999998|0.0|5.351858133|-0.010732275|0.0|-0.424579308|-0.000143196|-0.105824575|0.001194592|-0.098598933|-0.175397741|-0.436880644|1|0.832758813|0|0.830587483|-0.106173763|0.27547717|-69.6632787|14.26936622|0.1694125169999999|9.36249036|0.0|0.737851886|-1.91112774|83.16347311|-24.58703954|2843.18721|544.9693552|-16.13217554|16.37284224|172.00197649999998|-822.7409526|33.32245946|0.020575639|-312.1212186|642.3830552000001|13.50019441|0.0|0.0|0.0|2.0|0.0|0.13|17.0|-6.66|1.76|92.99|0.0|128.47|0.0|1.0|5.0|31.0|5.0|-7.08|0.0|0.0|1.66|-3.95|0.000101|0.0458|2.4|0.0|0.0|2.21e-07|4.9124|2.98|-1325.199863|691.41|0.8819|252.39|0.6929|0.3982|7.0249|-1325.0127220000002|32.0|7.4949|7.4949
3b_a12|0.0|0|0|0.0|0.0|0.0|1|1|1.283824445|0.0|0.0|-0.043495794|0.0|-0.332497127|-0.004028952|-0.065558712|-0.003019113|-0.071149325|-0.116772665|-0.547002361|1|0.768772928|0|0.903204699|-0.088443201|0.073824142|-46.11064215|5.401901357000001|0.096795301|2.816328871|0.0|0.7688221909999999|-1.326648015|54.77629766|-17.73486237|2186.64676|470.8937285|-9.246226764|10.88757628|120.5265876|-360.6028438|23.06757345|0.0166212889999999|-280.3056362|406.0361621|8.665655511|1.0|1.0|1.0|1.0|2.98|0.05|18.0|-8.1|3.14|37.28|0.0|102.53|0.0|1.0|3.0|24.0|3.0|-5.65|1.0|1.0|3.59|-4.64|5.539999999999999e-05|0.00759|3.78|0.0|0.0|7.91e-09|4.2092|3.96|-1410.971864|548.05|0.5013|294.55|0.6654800000000001|0.2418|5.9551|-1410.8759220000002|49.0|7.3098|7.3098
47c_a18|0.0|0|0|0.0|0.0|7.03438793|1|1|1.251176227|0.0|4.844187086|-0.048726885|0.0|-0.537230966|0.0007979619999999|-0.058748345|0.002674691|-0.212991596|-0.320309303|-0.455055055|0|0.758269842|0|0.8128616409999999|-0.094000037|0.246894346|-75.57063623|12.75381432|0.1871383589999999|10.25333491|103.416376|0.7489981509999999|-2.350000928|88.76073429|-25.88035487|3228.879782|653.4941186000001|-20.80632033|18.73268473|201.7910841|-1518.861384|34.55329606|0.016406766|-400.3604527|1167.054827|13.19009806|1.0|0.0|1.0|3.0|0.0|0.3|18.0|-9.18|2.87|97.76|2.0|154.77|1.0|1.0|12.0|38.0|4.0|-6.61|0.0|0.0|2.42|-5.09|1.84e-06|0.00417|3.98|1.0|1.0|6.67e-10|3.1096|7.72|-1664.753129|850.89|0.5869|398.71|0.6983199999999999|0.5869|3.3075|-1664.277127|3.0|8.5229|8.5229
16_a31|0.0|1|0|3.096824452|0.0|7.758333467000001|1|1|0.61013894|0.0|5.733341277|-0.186617888|0.0|-0.726543099|-0.017017891|-0.00795845|-0.0125582419999999|-0.053194463|-0.09530799|-0.60894688|0|0.8318419909999999|0|0.546450126|-0.150315165|0.29485045|-70.82239128|17.63615984|0.4535498739999999|8.309441139|467.7901274|0.73080436|-1.653466811|83.86629191|-23.60746376|2071.962924|257.4650715|-11.12287666|9.649327262|126.8340354|-367.0549296|32.30339751|0.027684692|-217.4912527|280.39844320000003|13.04390063|1.0|0.0|1.0|2.0|1.93|0.14|16.0|-4.94|2.83|114.29|0.0|80.57|0.0|2.0|2.0|21.0|4.0|-6.48|0.0|1.0|2.33|-3.6|4.38e-05|0.0762|2.32|0.0|0.0|1.16e-05|3.6596|1.7|-1308.242314|503.18|0.2534|338.79|0.70108|0.2534|3.7419|-1308.161433|0.09|7.0458|7.0458
19i_a38|0.0|1|0|3.169368622|0.0|7.412764017000001|2|2|1.297043925|0.0|5.351858133|-0.115864198|0.0|-0.4561702689999999|-0.006877664|-0.074033381|-0.004358975|-0.098027247|-0.250781298|-0.430016467|1|0.836170906|0|0.747158407|-0.113250303|0.4748744179999999|-69.40536597|13.83587388|0.252841593|8.479305267|10.71501217|0.7419238420000001|-2.038505453|82.98550237|-24.98593175|2896.470706|457.89548719999993|-15.31261014|12.04523072|158.161786|-765.6305068|33.67721904|0.022159015|-296.5257022|593.6088758|13.5801364|1.0|1.0|1.0|3.0|2.88|0.14|17.0|-7.12|3.11|81.23|0.0|125.65|0.0|1.0|5.0|31.0|5.0|-6.81|0.0|1.0|3.04|-4.33|5.68e-05|0.0196|2.88|0.0|0.0|7.599999999999999e-08|5.7041|3.66|-1431.415351|641.31|0.2156|217.36|0.69267|0.1886|6.6636|-1431.239177|13.0|7.9031|7.9031
12al_a36|0.0|1|0|3.469383582|0.0|7.412764017000001|2|2|1.297043737|0.0|5.351858133|-0.04314418|0.0|-0.4908576189999999|0.00127667|-0.074215038|0.003077071|-0.1430106119999999|-0.239932418|-0.404703593|1|0.8344566859999999|0|0.801179217|-0.105915949|0.2689491989999999|-69.69632923|17.71943397|0.198820783|11.65999569|0.0|0.671084645|-1.906487074|86.77628559|-23.23210974|2843.740855|527.2034213000001|-15.28752554|16.15533063|216.4375922|-825.5263792000001|34.61874732|0.025956027|-225.1591357|679.7230552999999|17.07995636|0.0|0.0|0.0|2.0|0.0|0.17|17.0|-6.69|1.89|78.43|0.0|130.24|0.0|1.0|6.0|31.0|5.0|-6.93|0.0|0.0|1.81|-4.07|0.000113|35.0|2.65|1.0|0.0|2.03e-07|3878.0|2.92|-1347.479819|702.95|0.4466|319.71|0.70417|0.0095|6.4473|-1347.257936|48.0|7.3188|7.3188
14x_a23|0.0|0|1|0.0|0.0|7.423568444|0|0|1.197963189|3.101221922|5.351858133|-0.111315218|0.6753138120000001|-0.335030301|0.003379755|-0.075184011|0.003906274|-0.073958723|-0.206574435|-0.443633823|2|0.802520527|1|0.7768288609999999|-0.084244058|0.229141189|-55.83053941|14.64350681|0.223171139|9.704599953|87.28077098|0.722211323|-1.6006371069999998|70.40248829|-22.56979253|3071.48868|514.8229467|-14.95753786|14.62325432|184.0971574|-703.0042792|31.25095356|0.0219879679999999|-294.5294492|597.2903597999999|14.57194888|0.0|1.0|0.0|1.0|3.42|0.05|26.0|-7.93|5.14|105.02|1.0|120.2|0.0|1.0|5.0|32.0|6.0|-6.35|0.0|0.0|4.06|-5.27|2.09e-06|0.00242|3.78|0.0|0.0|1.17e-08|4.0641|3.97|-1828.393372|675.21|0.3184|305.07|0.62836|0.3057|5.7933|-1828.228912|3.0|8.4949|8.4949
18_a15|0.0|0|0|0.0|0.0|0.0|0|0|1.435689019|0.0|0.0|-0.090130715|0.0|-0.319782642|-0.001044324|-0.066226471|0.000539978|-0.072506962|-0.145790726|-0.431836192|2|0.7162974740000001|0|0.8362289070000001|-0.090730185|0.819442071|-55.48918283|4.370403779|0.163771093|2.672871589|1.833724661|0.867430881|-1.723873519|60.86009645|-21.51621375|2541.440611|511.4247108|-13.15898469|10.2545953|81.07723009|-644.79025|24.80452821|0.008781964|-449.4301265|590.2470602999999|5.370913621000001|1.0|0.0|1.0|1.0|3.75|0.08|24.0|-9.98|6.86|47.04|0.0|113.42|0.0|1.0|5.0|29.0|4.0|-4.8|0.0|1.0|5.06|-5.93|6.86e-07|0.0004559999999999|5.42|0.0|0.0|1.0399999999999999e-10|4543.0|5.65|-1265.810138|650.53|0.2686|272.91|0.70427|0.0066|4.2476|-1265.614679|129.0|6.8894|6.8894
22_a10|0.0|0|0|0.0|0.0|7.535296702|1|1|1.343837143|2.113627059|5.4161004020000005|-0.017163935|1.880539113|-0.332316729|0.008350227|0.01204992|0.008903905|-0.129989728|-0.208132084|-0.356699217|2|0.747363443|1|0.8698299140000001|-0.0649866779999999|0.775071808|-50.61577509|13.023146|0.130170086|10.14325785|60.10354816|0.564323334|-1.3647202319999998|71.13124588|-17.4251029|3241.833491|677.4790907|-13.57178303|15.30289992|339.3328129|-827.8787647|30.87787063|0.026340252|-100.1982412|916.8601445|20.51547079|1.0|1.0|1.0|0.0|4.14|0.17|27.0|-9.37|5.6|73.14|0.0|139.53|0.0|1.0|6.0|36.0|5.0|-6.29|0.0|0.0|4.26|-5.53|4.55e-06|0.0014|4.1|0.0|0.0|4.27e-10|4.8251|5.65|-1544.237634|770.92|0.2624|256.95|0.6834100000000001|0.1922|4.8409|-1543.959333|1.1|5.9586|5.9586
19c_a38|0.0|1|0|3.332128134|0.0|7.412764017000001|2|2|1.297043851|0.0|5.351858133|-0.04575843|0.0|-0.449745181|-0.004442319|-0.0725602509999999|-0.002443797|-0.09493054|-0.20848518|-0.434836855|1|0.846765471|0|0.7591916240000001|-0.108301657|0.396635872|-68.18641054|15.30924906|0.240808376|9.638658988|4.848162625|0.7187071909999999|-1.949429829|82.74311399|-24.06579196|2967.98627|477.9848537|-15.15175311|13.36189552|177.10114030000005|-772.7394084|33.48483537|0.023120664|-275.39483110000003|640.025745|14.55670345|0.0|1.0|1.0|3.0|3.0|0.13|17.0|-6.92|2.42|105.02|0.0|130.41|0.0|1.0|5.0|32.0|5.0|-7.13|0.0|0.0|2.57|-4.12|4.46e-05|0.0322|2.5|0.0|0.0|1.2099999999999998e-07|5.8832|3.23|-1424.42734|652.09|0.2961|210.74|0.6279899999999999|0.1417|2495.0|-1424.247603|9.0|8.0348|8.0348
