molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|MATS1i|AATSC1i|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
5f_a40|0.0|0|0|0|0.0|1|8.149890544|0|1|0.60491326|1.656591081|-0.008387329|6.167516491000001|-0.0468504759999999|-0.085493191|-0.293556526|10.31198329|0.062183277|2|0.100535344|0.18254908|0.7039183109999999|0.811339477|875.0|0.680674762|1|-0.113521559|0.0528268609999999|0.020236763|-50.68028366|0.258528569|119.4441339|-0.041135239|4.319700326|0.814393685|-1.316327637|57.61052946|0.484099946|1932.388838|599.1117195|-8.780648419|5.780627322000001|11.20493646|0.938359946|3963.475837|85.75294257|-280.9807494|23.33651|746.7683199|269.0442248|1.0|1.0|3.08|0.21|-3.69|2.94|1.29|-3.97|3.0|-6.47|0.0|1.0|2.23|-3.31|0.000108|0.0307|2.2|0.0|0.000207|0.0587|-0.06227|3.8036|3.5|-1232.959261|793.54|405.03|0.2747|325.97|361.03|0.56507|0.69727|-1232.851443|0.0415|5.5961|0.02389588|7.6183|112.0|6.9508|6.9508
6f_a40|0.0|0|0|0|0.0|1|8.421342866|1|2|0.604893424|1.750582483|-0.01691341|6.401917197|-0.156988665|-0.122783873|-0.8287570679999999|10.30179966|-0.190617284|2|0.048543494|0.092206207|0.7710013309999999|0.836826225|0.896373207|0.742681934|1|-0.134203859|0.363785804|0.015998475|-83.88605319|0.344213487|221.1408856|-0.052228625|6.6032981820000005|0.8628087240000001|-2.350288117|92.77827871|0.410805404|3021.330686|3072.581297|-21.5571287|6.993991456|11.87042702|0.69723213|7328.308886|88.13890599|-970.0707913999998|38.88975659|1750.039046|593.503189|1.0|2.0|4.05|0.21|-3.67|3.66|1.1|-6.95|5.0|-6.9|1.0|0.0|2.61|-4.64|1.13e-07|5.18e-05|3.09|0.0|0.0002109999999999|0.0967|-0.08982|3.5741|6.96|-2426.924155|1139.55|482.43|0.2362|346.89|507.64|0.66642|0.69911|-2426.725129|0.0158|6.2384|0.04845403|8.7269|42.0|7.3768|7.3768
12_a15|0.0|0|0|0|0.0|0|0.0|0|0|1.435689014|0.0|-0.006620824|0.0|-0.0455566929999999|-0.035728911|-0.370766171|10.95973444|-0.01062828|0|-0.120626133|-0.184255041|0.8310685940000001|0.723852961|0.769289315|0.7933685340000001|0|-0.061084417|0.738437971|0.015018226|-60.15445365|0.10362709|66.16793071|-0.031995594|6.123040777999999|0.746489397|-1.695766456|70.6606311|0.476419838|2613.57759|2661.728915|-13.04483751|5.448223888999999|10.40571107|0.909927213|5897.820841|161.8714956|-691.376388|27.36785616|1450.496376|673.7288405|1.0|1.0|3.56|0.12|-9.82|5.32|2.87|-6.22|4.0|-4.97|1.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|5.29|0.0|1.51e-10|5.99e-08|-0.03196|4.4819|5.16|-1281.060163|1177.81|321.72|0.1374|276.63|585.26|0.50595|0.70444|-1280.810963|0.0093|4.3338|0.02694613|6.0547|4.0|8.3979|8.3979
8_a47|0.0|0|0|0|0.0|0|7.252053952000001|0|1|1.24688044|0.0|-0.007835945|5.476463552|-0.099564745|-0.087101663|-0.391797226|10.93671024|-0.14203855|0|-0.00158075|-0.003223628|0.686795267|0.7847248109999999|0.842571655|0.659210804|1|-0.075955381|0.517797505|0.008687692|-53.11155658|0.150243126|87.2263982|-0.035797309|2.928269795|0.819702033|-1.646676195|60.62152862|0.414302597|2621.772106|2217.264922|-12.06582525|6.492934319|11.08581716|0.707366287|6219.278078|104.6752861|-555.0279614|25.35407034|1166.287236|559.4973856|1.0|2.0|3.02|0.13|-9.25|5.67|3.9|-6.59|4.0|-4.79|1.0|1.0|5.03|-6.19|2.56e-07|0.000104|5.61|0.0|5.62e-10|2.28e-07|-0.05495|3.6696|4.91|-1686.0356350000002|1071.62|337.87|0.2249|337.87|433.38|0.6877800000000001|0.6877800000000001|-1685.8518170000002|0.2249|3585.0|0.03283575|4.6281|0.05|7.3|7.3
14n_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197963531|3.3716621960000004|-0.0068536419999999|5.351858133|-0.027380305|0.079559363|-0.376950283|10.3132176|-0.059870135|2|-0.110069159|-0.199540201|0.756252127|0.802854174|0.861597051|0.71381683|1|-0.058928845|0.209387766|0.027028617|-55.70499288|0.10672565|72.12361433|-0.032325501|12.34358104|0.6868205409999999|-1.648600566|72.09248208|0.469606631|3014.591033|2195.877777|-14.76259199|8.662092555|16.33144958|0.885393105|6740.54932|211.642042|-752.8921912999999|31.80611809|1622.112023|683.7405759|1.0|1.0|3.53|0.09|-7.51|3.42|2.72|-5.63|5.0|-6.47|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|-0.06951|3.4217|3.23|-1744.42791|1209.95|362.35|0.4229|362.35|575.71|0.6955|0.6955|-1744.1828670000002|0.4229|5.2196|0.02300614|7.2975|1.0|9.2441|9.2441
13_a10|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343837907|2.091672336|-0.0057715859999999|5.4161004020000005|-0.055497169|-0.093280469|-0.259721373|10.9296146|-0.001592366|1|-0.017015286|-0.02811323|0.761923976|0.78472614|0.84680169|0.736686715|1|-0.094726989|0.4676169839999999|0.0122005|-41.62089688|0.181972309|91.99711608|-0.030119651|3.118282386|0.7144943490000001|-1.234905671|51.21590298|0.449563457|2261.82488|1630.880014|-7.698174391|5.069505473|9.209972585|0.816739845|4941.066161|144.338975|-315.62515|21.31179541|873.7836118999999|422.96706330000006|1.0|1.0|3.02|0.15|-6.6|3.52|1.88|-3.76|4.0|-6.34|0.0|1.0|2.91|-4.1|0.000176|0.0576|2.76|0.0|2.49e-07|8.170000000000001e-05|-0.05022|5.8308|2.48|-1065.839441|926.41|322.72|0.3905|212.63|376.77|0.34881|0.68386|-1065.68351|0.1514|3.6904|0.0346535|5.3726|0.16|6.7959|6.7959
15_a10|0.0|0|0|0|0.0|1|7.535296702|1|1|1.277647202|2.124460476|-0.0027892409999999|5.4161004020000005|0.035396617|-0.0729795729999999|-0.142251304|10.92966702|-0.05940848|1|-0.085979341|-0.136323668|0.682616223|0.808676284|0.863438637|0.635064845|1|-0.059234364|0.710970489|0.018614889|-44.18725043|0.084473199|50.34268476|-0.025240716|6.61142847|0.646412648|-1.186313662|56.66229609|0.434181679|2549.580207|2288.954984|-8.964715924|6.35937164|11.23924661|0.767351752|5769.347123|210.7240726|-421.3416484|23.27068984|1093.722422|563.875765|1.0|0.0|3.29|0.23|-8.3|4.91|2.53|-4.48|4.0|-6.07|0.0|1.0|3.83|-4.81|3.32e-05|13.0|3.68|0.0|5.01e-09|1.96e-06|-0.05243|5.7922|3.12|-1604.057542|1086.19|326.3|0.4553|214.05|484.05|0.41458|0.68543|-1603.851644|0.1647|4.5192|0.03039798|6.1563|33.0|7.4815|7.4815
12aw_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.297044239|0.0|-0.008293935|5.351858133|-0.115864198|0.066435701|-0.4478724979999999|10.96021804|-0.034663063|1|-0.098027247|-0.250781298|0.653741315|0.836170906|0.892249657|0.632625562|0|-0.088516379|0.373775982|0.023038651|-73.52224315|0.2938251289999999|188.3390873|-0.041292362|9.4658605|0.749052287|-2.06461809|87.37742985|0.47322369|2901.451841|2380.579051|-16.96573876|7.545677222999999|14.32425315|0.898338973|6370.06138|160.8550748|-848.2869380000001|35.33532702|1766.7663510000002|593.6088758|0.0|2.0|4.73|0.14|-7.12|3.55|2.78|-3.99|6.0|-6.8|0.0|0.0|2.44|-4.32|0.000102|0.0424|2.88|0.0|7.599999999999999e-08|3.17e-05|-0.05513|5.2313|3.66|-1431.373326|1120.43|319.85|0.4088|237.0|507.71|0.38905|0.69109|-1431.180191|0.3892|4.8181|0.03134789|6.5278|9.0|8.0458|8.0458
16g_a32|0.0|1|1|1|0.0|0|7.765993078999999|0|0|0.609420729|0.0|-0.013775701|5.733341277|-0.0429252429999999|-0.049658216|-0.771439265|10.31100263|0.004735761|3|-0.117577419|-0.202656848|0.79965447|0.83902731|0.8821580379999999|0.762429418|1|-0.078387439|0.542303725|0.023959586|-77.75914881|0.1793577589999999|132.1955522|-0.033839807|13.01585399|0.6863323440000001|-1.79350976|94.54074206|0.3972359179999999|2833.521937|3497.469035|-18.38320476|9.3963701|15.58880229|0.65902387|6372.261243999999|231.1885989|-974.3098525|36.34043182|1926.042887|701.9321161|1.0|2.0|3.87|0.33|-8.16|6.81|1.57|-7.51|5.0|-5.69|1.0|1.0|4.37|-5.32|3.08e-08|1.36e-05|4.65|0.0|6.890000000000001e-09|3.04e-06|-0.05|3.6161|5.38|-2034.593036|1245.25|342.86|0.2879|342.86|639.49|0.70222|0.70222|-2034.342619|0.2879|3.7346|0.02895494|4.3204|11.0|7.9586|7.9586
14a_a3|0.0|0|0|0|0.0|0|6.823286122000001|0|0|0.6050202020000001|0.0|-0.009312773|4.727387819|-0.1160619169999999|-0.143740653|-0.363198151|10.3116301|-0.172643335|1|-0.050943323|-0.094863591|0.882394075|0.7574238740000001|0.822587422|0.8255789570000001|1|-0.091731577|0.21389849|0.0140376889999999|-46.53709886|0.209105063|102.8554977|-0.036792719|3.396421044|0.7608768779999999|-1.324537874|55.84414456|0.481997259|2160.698862|1186.412113|-8.902004327|5.308770254|10.24853699|0.930491715|4716.423352000001|117.6209094|-320.4721558|23.78539971|856.2743893999999|358.3503513|1.0|1.0|3.27|0.06|-6.89|4.28|1.04|-4.45|4.0|-6.42|0.0|1.0|2.76|-3.99|3.54e-05|0.0113|2.58|0.0|1.28e-07|4.08e-05|-0.06736|3.2363|2.44|-1327.485188|822.33|383.1|0.4524|383.1|373.85|0.69708|0.69708|-1327.354384|0.4524|3.5358|0.02860456|4.6689|0.03|7.5229|7.5229
47j_a18|0.0|0|0|0|0.0|0|7.03438793|1|1|1.251176464|0.0|-0.007807275|4.844187086|-0.068902246|-0.048528478|-0.569931053|10.94702285|0.0033281|0|-0.218974385|-0.331885553|0.783538352|0.7444236670000001|0.77844379|0.757001264|0|-0.073041469|0.476575952|0.015967126|-73.69868165|0.19348155|150.5035248|-0.033837212|9.661420661|0.764425062|-2.368604851|86.31641604|0.481373558|3172.831382|2064.803327|-20.47428768|9.597380968|18.50538303|0.928170101|7316.123159000001|183.246715|-1433.2001369999998|34.43235841|2410.265089|1081.726154|1.0|3.0|4.54|0.28|-8.79|2.43|2.63|-5.83|4.0|-6.46|0.0|0.0|2.39|-5.14|1.49e-06|0.000743|4.07|0.0|1.63e-09|8.159999999999999e-07|-0.04423|3.1054|8.09|-1625.413107|1459.55|399.25|0.5439|399.25|776.31|0.6983600000000001|0.6983600000000001|-1624.9784550000002|0.5439|4.1619|0.03246539|5.2118|35.0|7.4559|7.4559
8b_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|1|0.610137861|0.0|-0.013629145|5.733341277|-0.12841288|-0.130371116|-0.57242407|10.31170011|-0.069423138|2|-0.05421947|-0.092604362|0.928940547|0.843119174|0.8956498159999999|0.8761979520000001|0|-0.120703408|0.281200674|0.03234629|-69.24221375|0.392380774|204.9365822|-0.040792077|8.823644775|0.703469355|-1.590890986|82.21438954|0.479278|2189.617009|1587.743824|-11.12754483|6.142377144|11.79588561|0.920410507|4696.728592|154.8750114|-433.9742484|30.28603362|1181.155311|372.3224834|1.0|2.0|3.4|0.25|-5.73|4.52|0.61|-4.05|5.0|-6.87|0.0|1.0|2.52|-3.4|8.97e-05|0.0294|2.02|0.0|1.86e-06|0.00061|-0.0325|3.8582|1.77|-1386.815519|927.61|321.36|0.2643|321.36|439.96|0.70036|0.70036|-1386.681003|0.2643|3.6945|0.03659821|5.6001|2.2|5.6576|5.6576
14a_a22|0.0|0|0|0|0.0|1|6.842683282|0|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|-0.052476637|0.021482585|-0.280236463|10.9464374|-0.015194063|1|-0.097476465|-0.165471815|0.6819423609999999|0.7392451729999999|0.794858486|0.655865336|1|-0.062215607|0.490491034|0.021268761|-55.51601021|0.135922381|92.61079081|-0.031338217|9.873779458|0.7007904070000001|-1.629587269|70.33046351|0.446584227|2885.858295|2169.870866|-14.54840956|8.052850876|14.55117701|0.8069597009999999|6348.976909|203.8666248|-756.5172972|30.46889826|1584.38271|684.5377542|1.0|1.0|3.42|0.08|-9.21|3.87|1.73|-4.65|5.0|-6.61|0.0|1.0|3.19|-4.68|2.25e-05|0.00945|3.18|0.0|6.1e-10|2.56e-07|-0.06145|5.0653|4.98|-1368.321586|1191.81|347.23|0.3051|244.77|534.87|0.45928|0.63156|-1368.075682|0.0578|4.9775|0.03539365|6603.0|38.0|7.4202|7.4202
12ah_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.297013411|0.0|-0.007648622|5.351858133|-0.043678703|0.078459408|-0.41302559|10.95983779|-0.050147748|1|-0.103922055|-0.177407665|0.8941919290000001|0.835013502|0.8910146309999999|0.8065052890000001|0|-0.0758457179999999|0.271553945|0.0184777819999999|-68.45222166|0.171594725|110.8777131|-0.038137281|7.714903458999999|0.768906425|-1.906864035|80.02464883|0.468162246|2786.56479|2334.380591|-15.92320089|8.26712637|15.54445187|0.8802726820000001|6015.129321|149.3235124|-796.1600443|32.04915319|1602.457659|629.5017194000001|0.0|2.0|4.73|0.14|-7.18|3.35|2.51|-4.44|4.0|-6.49|0.0|1.0|2.34|-4.59|3.64e-05|0.0151|3.31|0.0|6.65e-08|2.77e-05|-0.05637|5.2259|3.79|-1692.512868|1148.39|328.07|0.6729|237.25|532.36|0.40051|0.6970000000000001|-1692.3109559999998|0.0485|5.4979|0.03300341|7.6265|11.0|7.9586|7.9586
12aa_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|2|0.604983643|0.0|-0.008848121|5.351858133|-0.028524865|-0.014017531|-0.539735362|10.31162784|-0.007369513|1|-0.12254489|-0.207153446|0.8397577820000001|0.809127478|0.855880335|0.794193541|0|-0.078042288|0.418522684|0.030906491|-70.79444906|0.1873486869999999|130.84205079999998|-0.033789461|15.0745057|0.630759573|-1.925999268|91.51563481|0.4659424379999999|3115.249471|2455.130164|-16.48066156|8.65813938|16.21199661|0.872457337|6944.511023|257.8730361|-939.3977091|37.41227352|2132.499591|792.3440337000001|1.0|1.0|4.86|0.21|-6.83|3.94|2.2|-5.61|6.0|-6.39|0.0|0.0|2.52|-5.0|2.47e-06|0.00113|3.81|0.0|1.47e-07|6.720000000000001e-05|-0.04966|5.1925|3.34|-1804.784381|1275.73|357.9|0.1667|238.78|605.07|0.30341|0.68642|-1804.516348|0.1506|5.8962|0.03443621|6.4878|8.0|8.1135|8.1135
12g_a40|0.0|0|0|0|0.0|1|7.515889085|0|0|0.604990688|1.687211672|-0.01011728|5.4161004020000005|-0.129331216|0.167050952|-0.354104815|10.31197254|-0.211162861|2|0.063401514|0.106286677|0.777835705|0.769016155|0.8396782220000001|0.6941475490000001|1|-0.0951493559999999|0.289122732|0.012706769|-52.24208444|0.129798543|68.1355805|-0.0435406|3.501413627|0.852031227|-1.393299206|59.29860462|0.465725912|2287.970776|681.6778419|-11.99782981|7.692740528|14.39849078|0.871698484|5211.675486|77.67373972|-383.9305539|26.82520454|858.4065454|335.7078145|0.0|1.0|3.24|0.0|-6.63|4.83|3.76|-6.46|3.0|-4.91|0.0|1.0|4.4|-5.79|3.43e-07|0.000124|5.07|0.0|2.37e-07|8.57e-05|-0.07424|4.0224|4.84|-2173.0224510000003|896.63|392.64|0.3539|308.23|429.31|0.67055|0.6988|-2172.9382|0.2682|1.9175|0.02230594|2.7075|724.0|6.1403|6.1403
14ac_a23|0.0|0|1|1|-9.994971573|2|7.423568444|0|0|1.1979507740000002|2.7104403130000003|-0.011656739|5.351858133|-0.4422550999999999|0.016532702|-0.66443411|10.3132169|0.043387326|2|-0.069765112|-0.287952039|0.5562570379999999|0.7797862459999999|0.834426845|0.537271445|1|-0.0883661019999999|0.300389872|0.016832361|-73.32014595|0.068856366|51.99287907|-0.043970249|9.597200637|0.8077820920000001|-2.330423202|87.75911516|0.489147172|3695.344378|3417.45156|-25.07023818|8.122941134|15.90074614|0.95751094|9203.543798|145.1421706|-1328.722623|41.10214358|2178.41361|718.3324686000001|1.0|1.0|3.69|0.12|-9.03|5.52|4.6|-7.31|10.0|-5.84|1.0|0.0|5.43|-6.65|4.92e-08|2.69e-05|5.35|2.0|9.25e-10|5.06e-07|-0.08813|4.0014|4.93|-2303.9786940000004|1285.58|341.32|0.3209|309.85|627.76|0.6408|0.69962|-2303.749331|0.2391|6.3004|0.02262555|8.6341|4.0|8.3851|8.3851
19_a3|0.0|1|0|0|0.0|0|6.605297921|0|0|1.4316666480000002|0.0|-0.003417504|4.59511985|-0.030657|-0.008897473|-0.129865138|10.96959256|0.036226415|1|-0.037291767|-0.066245471|0.718266758|0.758995484|0.8264237520000001|0.687139108|1|-0.067674689|0.225451546|0.0116401719999999|-40.8473715|0.146982098|68.43484547|-0.032585664|2.523394126|0.75798185|-1.140498238|48.55416845|0.476813896|2000.66399|869.7868956|-7.064025721|5.342307798999999|10.21110415|0.911365749|4138.413977|112.6836188|-247.2409002|20.01615321|700.5653624|314.0966684|1.0|1.0|2.81|0.06|-7.21|3.9|1.18|-3.24|4.0|-6.5|0.0|1.0|2.45|-3.58|0.000578|166.0|2.19|0.0|6.18e-08|1.7800000000000002e-05|-0.05757|3945.0|2.43|-929.2608626|832.23|314.28|0.3006|314.28|362.92|0.67351|0.67351|-929.14689|0.3006|2191.0|0.020989746|2.8758|23.0|7.6383|7.6383
7_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343865525|2.060422336|-0.001729561|5.4161004020000005|-0.003297033|-0.07290303|-0.076100699|10.92992954|0.04206117|1|-0.042220092|-0.094000778|0.527072036|0.8046449179999999|0.87010589|0.518356619|1|-0.0650223009999999|0.470973822|0.01470626|-35.88407105|0.174169393|87.67070691|-0.026733161|3.726212114|0.7179916670000001|-1.06932642|44.34066533|0.437317462|2286.169166|1915.566579|-6.773539148999999|5.512905888|9.797542165|0.7772010559999999|5022.496714|141.9530115|-270.9415659|18.74189807|749.6759227000001|407.1471338|1.0|0.0|3.05|0.15|-7.46|4.42|2.82|-3.81|4.0|-6.03|0.0|1.0|3.56|-4.41|0.000156|0.0514|3.22|0.0|3.49e-08|1.15e-05|-0.05217|4.0379|2.91|-1089.847072|915.46|307.05|0.0697|307.05|365.73|0.59702|0.59702|-1089705.0|0.0697|3.9832|0.02317758|4926.0|151.0|6821.0|6821.0
18a_a25|0.0|0|0|0|0.0|1|6.842683282|0|0|1.194229606|1.875390684|-0.0029953159999999|4.727387819|-0.019008377|0.062229409|-0.170732995|10.31286118|-0.019985937|1|-0.037072518|-0.06333068|0.761417363|0.7385460309999999|0.792935475|0.7291583840000001|1|-0.055926422|0.341320954|0.0095281269999999|-51.83514755|0.068371614|45.33086513|-0.03097773|4.188358905|0.817072039|-1.641819678|59.45091020000001|0.493301255|2857.88027|2331.966135|-13.61714122|7.39539242|14.59524518|0.973559258|6523.923911999999|121.2825364|-721.7084848|25.136651|1332.242503|759.4953883|1.0|1.0|3.5|0.08|-9.78|5.89|2.88|-6.33|3.0|-5.58|0.0|1.0|4.53|-5.77|4.65e-07|0.000202|4.76|0.0|1.67e-10|7.28e-08|-0.05591|5.4965|4.51|-1675.2501519999998|1229.09|390.98|0.3234|225.57|556.26|0.2834|0.5274399999999999|-1674.982248|0.0027|3.1313|0.02456497|4.3839|94.0|7.0269|7.0269
24_a20|0.0|0|0|0|0.0|1|6.842683282|0|0|1.40648755|1.959359883|-0.001547029|4.727387819|0.029711934|0.087887688|-0.083539572|10.93106245|-0.04104|1|-0.036258691|-0.060582944|0.616352201|0.74131936|0.802353442|0.607038752|1|-0.061437722|0.531656762|0.012814211|-42.82548904|0.047972705|30.27049276|-0.02714795|5.102023479|0.771032243|-1.357397496|51.30386873|0.457794721|2736.601949|1961.887639|-10.80905198|6.852820269|12.63879297|0.844319927|6109.1040920000005|144.47729840000002|-540.4525990000001|22.21722343|1110.861171|664.4562602999999|1.0|0.0|3.4|0.08|-9.32|4.76|1.86|-4.89|5.0|-6.26|0.0|1.0|3.63|-4.93|1.29e-05|0.00519|3.52|0.0|4.82e-10|1.94e-07|-0.06748|5.3396|3.74|-1291.867578|1169.35|345.59|0.2495|232.2|551.25|0.46668|0.44916|-1291.647083|0.0108|3.6107|0.02922392|4.3906|318.0|6.4976|6.4976
47i_a18|0.0|0|0|0|0.0|0|7.03438793|1|1|1.251177255|0.0|-0.006882626|4.844187086|-0.066917145|-0.037689885|-0.440488042|10.94702091|-0.040514277|0|-0.106018078|-0.162274487|0.742536498|0.744472118|0.7842882870000001|0.727767462|0|-0.0780255879999999|0.279553995|0.009745543|-62.41153158|0.196924826|137.1555392|-0.035256027|4.727502734|0.8608685909999999|-2.150617629|68.954317|0.487446923|2795.907966|1333.332089|-17.10248143|9.573882864|18.67881257|0.951017454|6353.6617320000005|96.90318745|-1043.251367|28.52393145|1739.959818|855.7438937000001|1.0|3.0|4.05|0.22|-8.98|3.28|2.74|-5.18|3.0|-6.36|0.0|1.0|2.5|-4.78|6.58e-06|0.0029|3.7|0.0|1.04e-09|4.6e-07|-0.05062|3.2321|7.37|-1416.233978|1297.7|383.61|0.5085|383.61|664.78|0.69175|0.69175|-1415.875678|0.5085|2.7749|0.02671774|3.5235|19.0|7.7212|7.7212
14e_a25|0.0|0|0|0|0.0|1|6.842683282|0|0|1.4200152069999998|1.5926486519999998|-0.008591251|4.727387819|-0.138693649|0.0065927719999999|-0.524066339|10.93106299|0.011176663|1|0.015497482|0.025802692|0.717460414|0.776960216|0.8322445820000001|0.6954126970000001|1|-0.1011107469999999|0.448918026|0.015024526|-73.51338088|0.275949567|201.94039730000003|-0.038772226|8.046143033|0.806446896|-2.2100168680000003|84.60373462|0.491527882|3126.080106|2620.6698690000003|-20.76384175|8.459867391|16.63781964|0.966676175|6952.485076999999|141.642515|-1183.53898|35.18345194|2005.4567600000005|811.3237836|1.0|2.0|3.62|0.07|-9.14|3.65|1.69|-5.14|5.0|-6.96|0.0|0.0|3.02|-4.73|7.29e-06|0.00337|3.04|0.0|7.31e-10|3.38e-07|-0.0538|5.8431|6.51|-1520.964156|1300.08|312.99|0.2409|212.19|596.96|0.31019|0.69958|-1520.701142|0.0007|5.3651|0.04875868|7.2625|75.0|7.1249|7.1249
8b_a32|0.0|1|1|1|0.0|0|7.765993078999999|0|0|0.609420757|0.0|-0.009362305|5.733341277|-0.057200812|-0.008128765|-0.458752924|10.31100269|-0.0684566009999999|3|-0.0852122769999999|-0.1534110109999999|0.788133615|0.845443342|0.8966299409999999|0.7507116140000001|1|-0.0850068559999999|0.253018806|0.016711528|-68.4085006|0.211781902|132.9495116|-0.03079624|6.585851946|0.669149204|-1.4166270230000002|81.73293254|0.458155153|2573.703546|2275.886421|-12.13650094|8.10555784|14.95918599|0.845546757|5619.400983|207.6969342|-558.2790432999999|28.89166873|1329.016762|557.1050635|1.0|2.0|3.46|0.26|-7.65|6.49|1.1|-5.83|4.0|-6.44|1.0|1.0|3.61|-4.39|1.47e-06|0.000583|3.22|0.0|2.23e-08|8.86e-06|-0.05404|3.5442|4.22|-1880.735397|1114.24|349.82|0.2943|349.82|558.16|0.70285|0.70285|-1880.539698|0.2943|846.0|0.03602276|1.2797|12.0|7.9208|7.9208
11_a3|0.0|0|0|0|0.0|0|6.823286122000001|0|0|0.605020608|0.0|-0.01008647|4.727387819|-0.127546771|-0.101436441|-0.363112913|10.31163053|-0.023103765|1|-0.0495219879999999|-0.0947326669999999|0.8947911009999999|0.724492061|0.793311683|0.834020779|1|-0.0955396769999999|0.175996916|0.014376713|-47.02715152|0.222196952|105.101718|-0.0391657429999999|3.216644354|0.752484736|-1.292469516|57.08178682|0.4680759679999999|2097.896727|1105.41974|-8.76293931|5.475372235|10.29352296|0.8799677029999999|4487.967272999999|117.0775712|-289.1769972|24.61956593|812.4456757999999|311.6695405|1.0|1.0|3.19|0.0|-6.51|3.79|0.8|-4.08|4.0|-6.59|0.0|1.0|2.46|-3.71|8.37e-05|0.0256|2.22|0.0|3.06e-07|9.35e-05|-69.0|3.2232|2.12|-1288.165162|834.82|384.66|0.4441|384.66|346.18|0.6966600000000001|0.6966600000000001|-1288.058926|0.4441|3.3694|0.02994326|4.4522|0.04|7.3979|7.3979
5b_a50|0.0|0|1|1|0.0|2|7.927685046000001|1|1|1.397278957|4.190114953|-0.00141071|5.82008293|-0.003549558|-0.052494624|-0.062071259|10.9325725|-0.113846154|2|-0.1052449509999999|-0.175158017|0.693611382|0.791163321|0.855527513|0.6642694929999999|1|-0.041157676|0.271653991|0.012204641|-31.07327358|0.041393519|21.02890062|-0.02140774|3.149876031|0.5887490470000001|-0.8563096170000001|42.76068675|0.4462435279999999|2183.545404|1452.442728|-5.525088972000001|5.543302677000001|10.01036188|0.8058479690000001|4577.809819|208.925351|-221.0035589|18.47246431|738.8985723999999|409.0289917|1.0|0.0|3.37|0.1|-5.86|3.15|2.4|-3.48|2.0|-6.03|0.0|1.0|3.11|-4.19|0.000335|105.0|3.06|0.0|1.37e-06|0.0004269999999999|-0.0256899999999999|5.6332|2.81|-990.5849031|922.49|308.25|0.2749|220.09|411.9|0.4270899999999999|0.66968|-990.43875|0.1094|4.4181|0.02651535|6.1284|12.23|4.9126|4.9126
