molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|MATS1i|AATSC1i|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
18c_a25|0.0|0|0|0|0.0|1|6.842683282|0|0|1.193723817|1.959418462|-0.002704524|4.727387819|-0.008080236|0.007241543|-0.162271435|10.31285373|0.006360768|1|-0.038006869|-0.064145547|0.7644072209999999|0.748718056|0.8005589320000001|0.7357918440000001|1|-0.048636087|0.385593349|0.009585904|-47.27625541|0.05198276|34.1639413|-0.026975264|4.140476673999999|0.7479204509999999|-1.510614788|56.83666555|0.484730247|2917.369488|2095.730631|-11.65153036|7.553051762000001|14.65844196|0.940731034|6736.25597|165.67090530000002|-652.4856999|23.70385212|1327.415719|831.3429628|1.0|1.0|3.58|0.11|-10.17|6.29|3.08|-6.05|3.0|-5.85|1.0|1.0|4.77|-5.6|8.86e-07|0.000398|4.49|0.0|6.79e-11|3.0499999999999995e-08|-0.0622|5.4858|4.75|-1714.5777670000002|1243.76|371.26|0.3558|226.01|547.87|0.31993|0.70516|-1714.280779|0.0041|6.1775|0.02003004|7.9283|88.0|7.0555|7.0555
21_a10|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343837211|2.093218896|-0.009308076|5.4161004020000005|-0.085463279|-0.032405474|-0.549176498|10.92966143|-0.003554514|1|-0.0236638829999999|-0.03765494|0.7135035209999999|0.7620337359999999|0.81962595|0.68876002|1|-0.091053776|0.8663152820000001|0.018892889|-59.80834512|0.225214587|159.11338909999998|-0.03292131|9.430154402|0.704106635|-1.777750751|75.80259699|0.391384102|3104.255496|2701.142106|-16.4322688|8.388036625|13.78215169|0.643072426|7048.414464|209.0477207|-887.342515|33.03306591|1783.785559|746.5727327999999|0.0|1.0|3.5|0.11|-8.71|4.47|2.81|-5.77|6.0|-6.07|0.0|0.0|4.04|-5.51|1.69e-06|0.0007599999999999|4.17|0.0|1.94e-09|8.68e-07|-0.06082|5.9596|5.57|-1485.461532|1225.01|321.21|0.2574|208.04|517.44|0.4226399999999999|0.68165|-1485.216871|0.1489|1.5138|0.03802869|1.1872|4.8|5.3188|5.3188
28_a34|0.0|0|0|0|0.0|1|7.423568444|1|1|1.454781307|1.767685185|-0.016942875|5.351858133|-0.206909349|-0.201047053|-0.6946578940000001|10.9595763|-0.0500053959999999|1|-0.189821204|-0.311884247|0.8318609690000001|0.798057295|0.8582665429999999|0.7829667309999999|0|-0.1306693569999999|0.316156689|0.03768308|-72.11491331|0.4540644379999999|232.4555747|-0.048190604|9.876233397|0.7298701059999999|-1.831242935|85.99382787|0.454339954|2252.098123|1689.357471|-12.63011537|5.613534285|10.28760365|0.832642882|4803.256974|138.2913845|-479.9443839|33.80175623|1284.466737|344.69029950000004|1.0|1.0|3.02|0.12|-4.78|1.99|0.88|-3.27|5.0|-7.04|0.0|1.0|1.84|-3.25|0.000533|172.0|1.72|0.0|1.66e-05|0.00535|-0.03896|4.2857|4.11|-1100.760824|896.02|289.3|0.2043|289.3|417.28|0.69263|0.69263|-1100.6525880000002|0.2043|6.4596|0.03680411|8.5886|3.82|5.4179|5.4179
12w_a36|0.0|1|0|0|-4.750262163|0|7.412764017000001|2|2|1.24014105|0.0|-0.015825416|5.351858133|-0.297354748|0.041058884|-0.917874106|10.96020797|-0.010726574|1|-0.1187503719999999|-0.3344729369999999|0.647732719|0.828393514|0.8792981679999999|0.624142499|0|-0.086826396|0.532980165|0.021104445|-79.88912835|0.171636756|123.23411609999998|-0.041210062|10.87965823|0.70536279|-2.225343322|99.51883498|0.4672300679999999|3230.870697|2602.5207|-21.24440511|8.365472166|15.701847400000002|0.8769828040000001|7418.252264|211.5476713|-1147.197876|41.94801097|2265.1925920000003|672.4630346|0.0|2.0|4.82|0.17|-7.14|3.31|2.04|-5.2|8.0|-6.4|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|3.86|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|-1645.169951|1198.72|318.88|0.4508|318.88|552.55|0.69466|0.69466|-1644.953222|0.4508|5043.0|0.0328886|7.0746|23.0|7.6383|7.6383
14_a1|0.0|1|0|0|0.0|0|7.423568444|1|1|1.430935835|0.0|-0.015636898|5.351858133|-0.175408303|0.1008839219999999|-0.766207981|10.94959842|-0.0492229479999999|1|-0.020716495|-0.033765606|0.838928085|0.7462411859999999|0.805877431|0.795744863|0|-0.12658238|0.206941175|0.033047776|-72.59355177|0.406829129|240.9270705|-0.046308519|11.59015807|0.753357398|-2.083883365|87.02320758|0.47517581|2678.985809|1876.042189|-16.24082222|7.46120838|14.21658628|0.905399978|5748.712211|146.0634832|-730.8369997000001|36.40268318|1638.120743|513.4628663999999|1.0|2.0|3.25|0.05|-7.69|4.04|1.54|-4.52|5.0|-6.73|0.0|1.0|2.85|-4.25|3.03e-05|0.0116|2.7|0.0|2.03e-08|7.81e-06|-0.05962|3.8344|4.57|-1292.55322|1049.56|375.01|0.4442|323.35|464.08|0.6572600000000001|0.69894|-1292.359534|0.3497|4.1207|0.03490867|5.3099|94.0|7.0269|7.0269
14k_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.1979621459999998|3.358995671|-0.005866159|5.351858133|-0.024758731|0.04479394|-0.299174093|10.31321813|-0.055708465|2|-0.071484865|-0.13187015|0.722187957|0.800643488|0.864845456|0.659570836|1|-0.0562483359999999|0.226547411|0.018829201|-53.17069631|0.077602272|51.64167457|-0.033999976|8.338417622|0.783562394|-1.597998852|64.04991522|0.486654314|2955.4566170000003|2174.886074|-15.05671972|8.21201115|15.99703938|0.948005074|6715.186162999999|144.0318708|-707.6658267999999|28.87559227|1357.152837|633.3278634|1.0|1.0|3.39|0.05|-7.99|4.0|3.51|-6.13|4.0|-6.03|0.0|0.0|3.99|-5.55|7.49e-07|0.000334|4.21|0.0|1.02e-08|4.55e-06|-0.07933|3.6421|4.1|-2089.501786|1179.17|340.42|0.4694|340.42|552.65|0.63765|0.63765|-2089.293765|0.4694|5.8718|0.02271117|8.3627|4.0|8.4123|8.4123
4e_a46|-3.742323661|0|0|0|0.092094405|1|7.825245291|1|1|0.300205548|2.12386814|-0.005995748|5.587248657999999|-0.370202917|-0.08224348|-0.4017151029999999|10.31928077|-0.05803828|1|-0.030065705|-0.049530834|0.738134189|0.77019676|0.8146060740000001|0.69063113|0|-0.0835371459999999|0.68427144|0.010671173|-64.33855433|0.246284959|186.9007941|-0.030951758|6.145520557|0.7951078540000001|-1.949960781|73.87174786|0.4753010039999999|3411.457836|3129.575458|-17.82509456|7.906917146|15.06943449|0.905854609|7615.063066|155.48860530000002|-1122.980957|29.54149986|1861.114491|942.2127953|1.0|2.0|4.5|0.27|-8.81|3.05|2.06|-6.08|6.0|-6.6|1.0|0.0|3.5|-5.41|8.29e-07|0.000405|3.78|0.0|1.56e-09|7.64e-07|-0.03893|4.2446|8.03|-1884.564974|1343.97|296.81|0.4814|292.1|655.69|0.5745600000000001|0.56481|-1884.255802|0.3109|1.9941|0.04805633|3.2466|154.0|6.8125|6.8125
38_a18|0.0|0|0|0|0.0|0|7.03438793|2|2|1.251175383|0.0|-0.00575311|4.844187086|-0.009006798|-0.066676644|-0.448742607|10.94702086|-0.003893067|0|-0.074661643|-0.11123356|0.745084567|0.719168079|0.751875124|0.7400818459999999|0|-0.076974444|0.423402315|0.00838904|-65.45657441|0.1689295469999999|134.4282836|-0.0322355079999999|5.3122971560000005|0.880927895|-2.385427574|71.15832778|0.4666657999999999|3162.36475|1855.157022|-20.41289434|10.98254153|20.5922319|0.874996952|7261.130718|94.75345803|-1510.554181|29.11918324|2154.819559|1228.492038|1.0|3.0|4.53|0.34|-10.33|4.94|3.7|-6.98|3.0|-5.55|0.0|1.0|3.64|-6.11|1.05e-07|5.36e-05|5.43|1.0|4.68e-11|2.38e-08|-0.0483699999999999|3.2241|8.95|-1611.60375|1515.64|384.55|0.5147|384.55|734.93|0.69235|0.69235|-1611.133158|0.5147|1.9877|0.02653109|2.7244|91.0|7041.0|7041.0
17b_a25|0.0|0|0|0|0.0|1|6.842683282|0|0|1.3732004619999998|1.785120622|-0.004368141|4.727387819|-0.002108117|-0.026412432|-0.266456625|10.93106294|0.016982601|1|-0.044156525|-0.073994564|0.653180996|0.780221059|0.838260077|0.636746066|1|-0.068207754|0.410780725|0.015879547|-60.19950116|0.1178296009999999|89.34443096|-0.029249891|9.129863339|0.724866184|-1.6672437880000002|73.52844745|0.476276266|3100.8813760000003|2514.295488|-16.81707305|9.700133933|18.52147096|0.909403632|6674.061446|208.6205329|-958.573164|30.59704545|1744.031591|832.226697|1.0|1.0|3.56|0.11|-10.04|4.88|2.0|-5.32|5.0|-6.53|0.0|1.0|3.78|-5.07|4.75e-06|0.00218|3.61|0.0|9.08e-11|4.16e-08|-0.05531|5.4236|5.89|-1483.830524|1329.35|313.02|0.4635|228.6|654.18|0.31395|0.6594800000000001|-1483.563965|0.1741|3.5074|0.04272963|5.2142|101.0|6.9957|6.9957
8d_a8|0.0|1|0|0|0.0|1|7.05012252|0|0|1.395657339|1.41693287|-0.0111144189999999|4.844187086|-0.155313194|0.071729931|-0.633521883|10.94649761|-0.117111249|1|0.016471091|0.025642021|0.76211539|0.757805416|0.804372443|0.734212688|0|-0.1072746469999999|0.377028311|0.028038295|-67.26951954|0.306707511|200.0182229|-0.03820405|11.92454747|0.675359878|-2.063018716|86.29065071|0.483207744|2863.968296|2093.380666|-16.2479927|7.507839835|14.52777156|0.935013517|6596.888351|211.7129122|-877.3916055999999|36.89090464|1992.108851|682.0472537|1.0|2.0|3.61|0.12|-7.62|3.93|1.92|-4.91|5.0|-6.87|0.0|0.0|3.0|-4.47|1.24e-05|0.00533|2.89|0.0|2.38e-08|1.03e-05|-0.0600299999999999|4.6765|6.22|-1447.559429|1185.65|376.13|0.3|265.12|572.21|0.62361|0.70165|-1447.2928029999998|0.1879|6.0111|0.03604461|7.5674|18.61|4.7303|4.7303
