molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|AATSC1are|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA3|PBF|RPSA|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12u_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604983445|0.0|0.028039604|-0.006935447|2|0.0|0.002431329|1|0.001805829|-0.0493878409999999|-0.0857954809999999|1|0.8149999040000001|0.83236194|-0.055829439|0.889479916|0|-0.0773921259999999|0.477056017|0.15055905|-0.03794847|6.982033926000001|0.810462868|-1.859475018|-34.72068676|75.26051582|62.26136323|0.443167712|568.9563615000001|2608.6452440000003|7.804487592999999|0.7958728709999999|7133.515802|-834.2224549|-415.8966522|1536.749179|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-7.8|5.11|81.65|2.0|0.0|-6.58|31.0|-5.52|467.37|0.0|1.0|2.64e-07|0.000123|5.12|0.0|1.58e-08|3.5003|3.5003|-2494.962309|-2494.927579|705.15|1202.06|354.21|354.21|0.6847|0.1502|-0.1486299999999999|-0.20146|0.03472994|-2494.7995530000003|7.0553|7.4647|7.4647
18_a10|0.0|0|0|0|0.0|0.0|1|7.78113851|2|2|1.243178376|2.142254323|-0.182332901|-0.00309846|2|2.026949641|0.009941402|1|0.010573165|-0.091730492|-0.143149563|2|0.7155022459999999|0.785539083|0.048377088|0.832812971|1|-0.0575419659999999|0.656664457|0.114447045|-0.024889861|7.692822451|0.641615544|-1.368942347|-23.18149476|61.38857307|48.64284759|0.4670293179999999|562.0732377|2137.914113|7.204851347999999|0.876275815|6213.631543|-551.4954071000001|-179.7708584|1354.218219|0.0|1.0|1.0|1.0|1.0|0.0|0.32|21.0|-7.88|4.65|62.06|1.0|0.0|-4.48|31.0|-6.34|412.48|1.0|1.0|3.34e-05|0.0138|3.49|0.0|1.32e-08|5.7687|3.7977|-1336.433782|-1336.404041|687.19|1181.5|326.47|214.93|0.37729|0.1637|-0.15735|-0.20692|0.02974086|-1336.185978|5.9029|6.8861|6.8861
1g_a5|0.0|1|0|0|2.942391606|0.0|0|6.605297921|0|0|1.4275159730000002|0.0|-0.203595168|-0.003919036|2|0.0|0.00683534|1|0.006957291|-0.010807075|-0.0178558139999999|2|0.74740095|0.7778380309999999|0.030722968|0.8393686990000001|0|-0.070108797|0.39389953|0.134079034|-0.027205531|5.8729303|0.61393343|-1.11542677|-20.16505667|54.34919851|48.55052611|0.4713154089999999|464.3994751|832.7655896000001|7.312498266|0.891486942|4639.260975|-320.82484500000004|-122.2065919|974.3909596|1.0|1.0|1.0|1.0|1.0|1.0|0.05|23.0|-8.14|4.5|63.69|0.0|0.0|-4.03|25.0|-6.15|328.37|1.0|1.0|9.27e-05|0.0304|3.03|0.0|7.190000000000001e-09|4.7822|4.1733|-1065.846194|-1065.818889|572.15|961.17|297.09|259.26|0.4386899999999999|0.0504|-0.17042|-0.20972|0.02730461|-1065.727193|5.2707|6.9393|6.9393
19b_a38|0.0|1|0|0|3.26554965|0.0|0|7.412764017000001|2|2|1.297044256|0.0|-0.122009545|-0.008652352|2|0.0|-0.006877664|1|-0.004358975|-0.098027247|-0.250781298|1|0.653741315|0.8295290000000001|0.019437461|0.8851623040000001|0|-0.086013549|0.336505882|0.270689433|-0.041606241|8.643817972|0.7596369590000001|-2.0803120280000003|-33.13317155|84.49751102|67.31146923|0.478948837|452.6479704|2436.66785|7.159317935|0.91919733|6518.872269|-801.3543933999999|-322.28833010000005|1699.692918|1.0|0.0|1.0|1.0|0.0|3.0|0.14|17.0|-7.12|3.55|81.23|1.0|0.0|-4.25|31.0|-6.81|419.43|0.0|1.0|5.68e-05|0.0238|2.88|0.0|7.599999999999999e-08|5363.0|3.7509|-1431.414099|-1431.38073|646.81|1111.29|330.55|231.18|0.38952|0.1945|-0.15414|-0.20445|0.03336932|-1431.2418630000002|6.3396|7.9172|7.9172
1l_a5|0.0|1|0|0|2.964063799|0.0|0|6.605297921|0|0|1.270375394|0.0|-0.244609612|-0.00183668|2|0.0|0.008244856|1|0.007613233|0.0271820189999999|0.043915678|2|0.7245669790000001|0.7656671279999999|-0.174469948|0.818803517|0|-0.068685233|0.357062421|0.109710998|-0.026512937|2.506287665|0.769406114|-1.219595099|-21.91725365|45.64819758|43.23617395|0.47265823|502.9124512|903.1631908|7.401206343999999|0.896303416|4665.793689|-389.1691717|-304.3678822|895.4089219|1.0|1.0|0.0|1.0|1.0|1.0|0.14|23.0|-8.83|5.56|54.46|1.0|0.0|-5.04|26.0|-5.4|340.42|1.0|1.0|9.06e-06|0.00308|4.19|0.0|1.4800000000000003e-09|4.6403|4.3664|-1069.261615|-1069.229786|609.85|1033.47|283.95|267.19|0.45892|187.0|-0.1779|-0.21939|0.03182983|-1069.101032|3.3694|7.4949|7.4949
7h_a8|0.0|1|0|0|2.99743835|0.0|1|7.05012252|0|0|1.391840221|1.2793830309999998|-0.118981425|-0.00534208|0|0.0|0.00112124|1|0.00084936|0.052081992|0.141285105|0|0.515235986|0.7051689170000001|0.095758228|0.7677336090000001|0|-0.093181899|0.314190914|0.228988973|-0.041038456|3.86998135|0.892830345|-1.6825766830000002|-30.96107949|58.94376531|60.42608164|0.4346108389999999|444.4294792|1919.19991|7.589672923999999|0.768693264|5657.402114|-559.0612661|-452.8739011|1086.29603|1.0|0.0|1.0|0.0|0.0|1.0|0.0|23.0|-8.46|5.52|61.58|2.0|0.0|-5.68|28.0|-5.27|373.35|0.0|1.0|2.09e-06|0.00078|4.66|0.0|3.5e-09|3.9282|3.9282|-1285.182226|-1285.151298|593.53|999.62|315.62|315.62|0.6963199999999999|0.3885|-0.16076|-0.22875|0.03092828|-1285.0707960000002|9.1188|4.9788|4.9788
12a_a50|0.0|0|1|1|0.0|0.0|2|7.927685046000001|1|1|1.397770359|4.075037557|-0.199881787|-0.002936355|1|2.112397566|0.01164808|2|0.011790103|-0.168032508|-0.291865836|1|0.699597776|0.795582575|-0.030758487|0.862192416|1|-0.05075501|0.29507467|0.095880311|-0.02383238|5.333473207|0.575218972|-0.929462803|-12.88231829|47.2792242|36.15684209|0.469674946|455.4948605000001|1462.827156|5.116970861|0.885635975|4665.239724|-235.9104193|-75.79052945|814.0599092|1.0|1.0|0.0|1.0|1.0|0.0|0.11|20.0|-5.49|2.59|48.53|0.0|0.0|-3.16|24.0|-6.44|313.36|1.0|1.0|0.000685|215.0|2.5|0.0|3.22e-06|4.0783|4.0783|-1006.659456|-1006.632973|545.54|908.22|304.01|304.01|0.65267|0.1807|-0.16806|-0.20172|0.02648238|-1006.546706|7.9123|7.1249|7.1249
12g_a36|0.0|1|0|0|3.5202147110000004|0.0|0|7.412764017000001|2|2|1.2678464|0.0|-0.063344124|-0.006495469|2|0.0|0.0042553209999999|1|0.005035022|-0.099596099|-0.163978382|1|0.901715152|0.8026482070000001|-0.19532883|0.847239339|0|-0.069292341|0.374686587|0.1457615119999999|-0.034549379|8.382969151000001|0.779745318|-2.038413337|-32.74608471|77.14470618|59.82898654|0.473274545|587.240781|2476.712654|7.285010602000001|0.898522257|6223.658545|-963.3107298|-384.6182564|1797.1178149999998|1.0|0.0|1.0|1.0|1.0|2.0|0.24|17.0|-7.38|3.85|69.2|2.0|0.0|-4.95|32.0|-6.19|423.51|1.0|1.0|1.13e-05|0.0047799999999999|3.8|0.0|4.2e-08|5.2092|3714.0|-1350.887005|-1350.861445|724.32|1241.66|333.83|238.01|0.38165|45.0|-0.15236|-0.20288|0.0255597|-1350.633209|7.8537|7.8539|7.8539
18b_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604987149|0.0|0.036563014|-0.006947027|2|0.0|0.003099827|1|0.0036417359999999|-0.049287858|-0.090115975|1|0.80330079|0.822401103|0.022695194|0.8839272779999999|0|-0.078751666|0.413791511|0.130659636|-0.036237883|8.698138813|0.759715688|-1.811894154|-34.45606603|75.30642440000001|65.24093056|0.424912258|575.0330633|3057.267112|7.513189589|0.7388650920000001|6387.715069|-792.7545943|-343.5825913|1577.555697|1.0|0.0|1.0|1.0|0.0|1.0|0.13|17.0|-6.7|3.87|105.44|2.0|0.0|-5.49|31.0|-6.33|423.49|0.0|0.0|3.23e-06|0.00137|3.59|0.0|2e-07|3.5256|3.5256|-1668.034279|-1667.995173|697.37|1178.08|351.66|351.66|0.67715|0.3576|-0.14385|-0.2052699999999999|0.03910602|-1667.849173|6.5037|7.6003|7.6003
2_a47|0.0|0|0|0|0.0|0.0|0|0.0|0|0|1.381899691|0.0|-0.002024001|-0.008527649|2|1.454085483|-0.007479445|0|-0.006079384|-0.017113434|-0.0274111779999999|2|0.916092248|0.671819147|0.115527282|0.728066943|1|-0.083455669|0.482748996|0.152675989|-0.036790752|2.112397382|0.784978115|-1.4348393119999998|-20.71307621|55.81329383|45.81686991|0.433425706|422.1277419|1242.745585|5.308758149|0.764993595|4559.060763|-356.116445|-283.9460863|910.626111|1.0|1.0|0.0|1.0|1.0|2.0|0.0|22.0|-7.82|3.7|58.04|1.0|0.0|-5.46|24.0|-5.0|313.35|1.0|1.0|3.46e-06|0.00109|4.52|0.0|1.51e-08|3.7181|3.7181|-1010.540464|-1010.505024|536.13|902.07|333.46|333.46|0.69102|0.2143|-0.15446|-0.20731|0.03544055|-1010.412694|3.1004|6.2|6.2
