molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|AATSC1are|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA3|PBF|RPSA|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
3_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|1.343866299|2.147369615|-0.241609351|-0.001141383|2|2.180369373|0.011825591|1|0.011276682|-0.048796855|-0.08121207|2|0.637819558|0.773786787|-0.0862461019999999|0.8367373309999999|1|-0.052578183|0.462670692|0.080195284|-0.024645574|2.493716402|0.7196876640000001|-0.985822953|-12.40663231|39.38579676|30.67413075|0.430553837|446.8068266|1602.411021|4.832514477|0.7560922609999999|4677.30755|-232.6201124|-213.4321476|665.3942366|1.0|1.0|0.0|1.0|1.0|0.0|0.15|21.0|-7.19|4.02|43.6|0.0|0.0|-3.7|24.0|-5.99|312.37|1.0|1.0|0.000198|0.0617|3.12|0.0|6.49e-08|4.9088|4.0639|-990.6395508|-990.6149055|535.44|905.23|305.09|252.57|0.58445|0.0871|-0.17005|-0.21969|0.024645265|-990.514888|3205.0|6983.0|6983.0
20_a31|0.0|1|1|1|3.3852303|0.0|0|7.765993078999999|0|0|0.609420757|0.0|0.0469387759999999|-0.009722467|0|2.114008068|-0.003484915|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.788133615|0.8602874540000001|0.028036914|0.912372776|1|-0.085849869|0.246878555|0.2045729339999999|-0.033537774|7.592555532|0.710707042|-1.542737604|-33.71260536|81.35171021|65.91404723|0.464597945|498.4558574|1758.762093|8.289864307|0.86775525|5678.167489|-605.8215871|-264.0799235|1360.278351|1.0|1.0|1.0|1.0|1.0|2.0|0.26|19.0|-7.65|6.49|140.04|1.0|1.0|-5.91|27.0|-6.39|397.52|0.0|1.0|1.24e-06|0.000493|3.29|0.0|2.23e-08|3.5381|3.5381|-1880.768349|-1880.734655|666.67|1113.19|350.43|350.43|0.7036600000000001|0.2011|-0.1483|-0.20895|0.0336943|-1880.599777|4.9218|8.0862|8.0862
5_a15|0.0|0|0|0|0.0|0.0|0|0.0|0|0|1.419941043|0.0|-0.222657379|-0.008878343|2|0.0|0.000420839|0|0.003194793|-0.187421793|-0.28098676|2|0.8384601770000001|0.704479781|0.092692253|0.74438723|0|-0.06128567|0.743577162|0.125945852|-0.0273088679999999|18.03465935|0.5089899720000001|-1.583914356|-33.88634094|100.6631306|69.82487767|0.486150431|649.9369163|2179.757502|7.795174584|0.946094849|6656.720346|-875.7848531999999|-13.36968593|2313.9572780000003|1.0|1.0|1.0|1.0|1.0|1.0|0.15|24.0|-9.65|4.92|74.73|3.0|0.0|-6.16|33.0|-5.55|443.49|0.0|1.0|6.86e-07|0.000304|4.86|0.0|2.25e-10|4.3299|3.6257|-1470.816175|-1470.779775|737.16|1272.84|341.96|286.35|0.62664|0.0199|-0.14839|-0.18553|0.03640044|-1470.55517|6.35|7.8861|7.8861
19h_a38|0.0|1|0|0|3.2723542610000003|0.0|0|7.412764017000001|2|2|1.297044177|0.0|-0.088176988|-0.007781653|2|0.0|-0.002526241|1|-0.000673716|-0.101303149|-0.217394466|1|0.724208473|0.819222745|-0.054149342|0.8741648479999999|0|-0.082211319|0.3263113569999999|0.225371198|-0.03959525|7.370099699|0.75379331|-1.979762478|-28.533396600000003|76.70128100000001|60.94327866|0.47459722|456.3568442|1839.424968|6.820483788|0.903301693|6253.901215|-687.1237247|-299.0343596|1547.290068|1.0|1.0|1.0|1.0|1.0|3.0|0.14|17.0|-6.86|3.13|81.23|1.0|0.0|-4.14|30.0|-6.77|401.44|0.0|1.0|7.209999999999999e-05|29.0|2.78|0.0|1.4e-07|3.7384|3.5358|-1332.187847|-1332.1538779999998|626.65|1092.17|350.65|331.65|0.68472|88.0|-0.1467099999999999|-0.20379|0.03396934|-1331.999352|9.0777|8.0348|8.0348
5a_a40|0.0|0|0|0|0.0|0.0|1|8.149890544|0|1|0.604913477|1.688148148|-0.116583806|-0.004609716|0|0.808197279|0.011345707|2|0.010425818|0.004130836|0.007301856|0|0.538671739|0.756882266|-0.442215721|0.820901326|1|-0.078132307|0.04987082|0.146821673|-0.036396585|4.042943749|0.8224652720000001|-1.091897544|-15.30358975|46.06507254|43.71412865|0.4889874279999999|377.5905776|508.8362301|5.507689573|0.956899016|3736.248815|-213.8673835|-285.426492|587.5511127|1.0|0.0|1.0|0.0|1.0|0.0|0.21|14.0|-4.05|3.68|75.5|0.0|0.0|-4.13|19.0|-5.9|269.32|1.0|1.0|7.49e-05|0.0202|2.88|0.0|8.950000000000001e-05|3.7921|3.7921|-1177.598691|-1177.5835470000002|466.79|757.45|326.96|326.96|0.69499|0.4461|-0.15066|-0.21644|0.01514427|-1177.555706|7.6003|7.0915|7.0915
18a_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604987543|0.0|0.045071414|-0.006673169|2|0.0|0.005050384|1|0.005458948|-0.053309522|-0.094526372|1|0.8421237309999999|0.7885597609999999|0.003991162|0.842671963|0|-0.072474599|0.294303776|0.14081879|-0.036990859|6.611941026|0.7904991659999999|-1.812552105|-28.08889239|69.35818061|55.73981304|0.445995681|534.88346|2814.429655|7.050626413|0.8050400790000001|5942.293347|-702.4886239|-361.7006453|1427.458469|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-6.64|3.84|81.65|2.0|0.0|-5.28|29.0|-5.98|398.48|0.0|0.0|5.23e-06|0.00208|3.87|0.0|2.3100000000000002e-07|3.4712|3.4712|-1575.786909|-1575.755101|665.12|1120.46|357.18|357.18|0.69033|0.3781|-0.1418|-0.19785|0.03180853|-1575.604922|5.2813|7.6108|7.6108
8c_a12|0.0|0|0|0|0.0|0.0|0|0.0|1|1|1.283851303|0.0|0.1948786139999999|-0.0104125509999999|3|0.0|-0.004211843|0|-0.00160589|-0.210669119|-0.370782022|2|0.905486734|0.782864175|-0.10899871|0.8425863029999999|0|-0.067004282|0.239216075|0.159602554|-0.038245644|5.104595615|0.764449832|-1.529825767|-17.44675795|61.66383178|44.19432689|0.472503372|428.8355831|1245.6132289999998|5.670223821|0.8957467170000001|4610.945152|-398.3402139|-269.8853937|1021.17241|0.0|1.0|0.0|0.0|1.0|1.0|0.11|18.0|-7.14|2.81|63.06|0.0|0.0|-3.47|24.0|-6.44|314.34|1.0|1.0|0.000339|107.0|2.5|0.0|7.24e-08|4.3598|3.8341|-1022.77302|-1022.750382|551.66|909.19|323.37|284.38|0.53657|0.1355|-0.15571|-0.2227699999999999|0.02263772|-1022.663298|2.4806|7.3979|7.3979
6_a47|0.0|0|0|0|0.0|0.0|0|0.0|0|0|1.304328257|0.0|0.011739916|-0.008723045|2|1.291219116|-0.010708889|0|-0.0094242819999999|-0.020576777|-0.04324355|2|0.701994505|0.786041178|-0.149904224|0.84654143|1|-0.080118846|0.446564415|0.158081588|-0.036834143|2.885749555|0.7943908059999999|-1.547034008|-23.54237714|60.76103606|48.75381069|0.4059072379999999|456.3812788|1577.98246|6.480620646|0.6832388209999999|5766.962611999999|-454.5854048000001|-319.1626428|1055.658539|1.0|1.0|0.0|1.0|1.0|2.0|0.05|22.0|-9.06|5.24|58.04|2.0|0.0|-6.02|27.0|-5.02|379.81|0.0|1.0|9.53e-07|0.000362|5.06|0.0|8.71e-10|5.5188|3.7196|-1608.684886|-1608.652005|576.56|990.85|333.32|224.66|0.30468|0.2119|-0.1544|-0.20794|0.03288085|-1608.554019|4.2153|7.9|7.9
12aj_a36|0.0|1|0|0|3.482902101|0.0|0|7.412764017000001|2|2|1.29704406|0.0|-0.056210607|-0.00706023|2|0.0|0.002951176|1|0.003962098|-0.104118159|-0.1763783589999999|1|0.90414347|0.812278823|0.091113865|0.8632656809999999|0|-0.073002742|0.251263868|0.173013687|-0.0368515929999999|7.521007149|0.77492734|-1.953134451|-29.99399664|76.5855549|58.52715472|0.47532973|530.0854761|2275.825451|8.056502837|0.905958957|5763.333098|-802.4672307|-352.4483722|1615.543812|1.0|0.0|0.0|1.0|0.0|2.0|0.17|17.0|-6.97|3.24|69.2|1.0|0.0|-4.16|30.0|-6.55|395.46|1.0|0.0|6.929999999999999e-05|0.0274|3.04|0.0|1.08e-07|5.2301|3.6017|-1272.27339|-1272.241135|682.84|1157.64|344.24|237.06|0.4112|0.0082|-0.14818|-0.20093|0.03225532|-1272.060325|7.8393|7.7696|7.7696
25d_a34|0.0|0|0|0|0.0|0.0|1|7.412764017000001|1|1|1.433689841|1.940324546|0.128783829|-0.015046463|1|0.0|-0.005017781|1|-0.001685762|-0.211368416|-0.342090037|1|0.8265507809999999|0.7498681140000001|0.14554928|0.799694715|0|-0.100582621|0.631894475|0.325717647|-0.044492794|12.8082206|0.7772035959999999|-2.358118108|-44.00298587|95.24066462|85.89233572|0.478308897|445.9861716|2564.887803|6.933980884|0.916843118|6513.063805|-1031.631874|-366.6979266|2006.828923|1.0|1.0|1.0|1.0|1.0|2.0|0.12|23.0|-8.08|3.05|90.3|1.0|0.0|-4.61|32.0|-6.74|427.46|0.0|1.0|2.44e-05|0.0104|3.05|0.0|8.26e-09|4.2732|4.2732|-1426.496796|-1426.468726|706.21|1198.19|290.15|290.15|0.6764600000000001|0.2106|-0.1771299999999999|-0.21234|0.02807001|-1426.307095|8.0068|6.0223|6.0223
10_a15|0.0|0|0|0|0.0|0.0|0|0.0|0|0|1.4356889780000002|0.0|-0.137104477|-0.006872984|2|0.0|0.001740635|0|0.0034254209999999|-0.120626133|-0.184255041|2|0.8310685940000001|0.713794823|0.0107135269999999|0.7585998270000001|0|-0.052826735|0.640780603|0.066863055|-0.036384844|3.550143186|0.8301726490000001|-1.928396745|-17.88541558|65.80736417|36.83936823|0.449323734|542.9602292000001|2305.991259|5.555044294|0.815948972|6204.37804|-652.8924702|-384.2321709|1351.607534|1.0|1.0|1.0|1.0|1.0|1.0|0.12|24.0|-9.82|5.32|56.27|2.0|0.0|-6.22|30.0|-4.97|397.47|0.0|1.0|5.99e-07|0.0002379999999999|5.29|0.0|1.51e-10|4.4682|3.6448|-1281.088565|-1281.061184|631.2|1136.48|340.17|277.48|0.66799|0.0042|-0.15377|-0.18958|0.02738146|-1280.862627|3.1460000000000004|8.1549|8.1549
3_a3|0.0|0|0|0|0.0|0.0|0|7.285506549|0|0|0.605000514|0.0|0.159413311|-0.010040064|1|2.063441043|-0.007818326|2|-0.006362643|0.041786524|0.081380229|1|0.913546349|0.8083172479999999|-0.082619043|0.885339037|1|-0.107269779|0.583866845|0.246193521|-0.035057023|2.623868963|0.7000038270000001|-1.086767728|-22.30683222|55.67251784|54.67064981|0.415122657|343.74795510000007|1349.6286710000002|5.025797436|0.709760196|4677.617255|-225.9941764|-182.4099648|707.9728057|1.0|1.0|1.0|1.0|1.0|1.0|0.0|20.0|-6.15|5.0|121.17|0.0|0.0|-5.48|21.0|-5.88|310.4|0.0|1.0|3.32e-06|0.00103|3.26|0.0|7.009999999999999e-07|5.8458|3.3475|-1592.904586|-1592.873593|491.26|817.21|370.38|212.09|0.29441|0.0851|-0.14599|-0.20969|0.03099295|-1592.839065|2.8045|5.93|5.93
1b_a5|0.0|1|0|0|2.881451247|0.0|0|6.605297921|0|0|1.4258024619999998|0.0|-0.250420203|-0.00279809|2|0.0|0.003886035|1|0.003708988|0.019611905|0.045204303|2|0.567806811|0.759794937|0.122747292|0.827319059|0|-0.07823203|0.341795323|0.191171377|-0.031306145|2.737713392|0.7324812509999999|-1.158327367|-19.82538668|48.55415504|44.82086533|0.474445758|407.1693177|919.9167129|6.11909445|0.90275317|4577.125071|-293.5407385|-234.0649914|796.0738116|1.0|1.0|0.0|1.0|1.0|1.0|0.0|23.0|-8.3|4.88|54.46|0.0|0.0|-3.97|24.0|-5.99|316.33|1.0|1.0|0.000106|0.0336|3.16|0.0|4.99e-09|4789.0|4.6481|-1050.538976|-1050.506509|536.59|892.61|266.74|258.89|0.5153800000000001|87.0|-0.1892|-0.23055|0.03246637|-1050.462425|4.3687|7.2291|7.2291
24_a20|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.40648755|1.959359883|-0.217098257|-0.001547029|2|2.041494094|0.009265667|1|0.008780074|-0.036258691|-0.060582944|2|0.616352201|0.74131936|0.070857143|0.802353442|1|-0.061437722|0.531656762|0.047972705|-0.02714795|5.102023479|0.771032243|-1.357397496|-24.46164548|51.30386873|46.85253003|0.457794721|600.7235847000001|1961.887639|6.852820269|0.844319927|6109.1040920000005|-540.4525990000001|-342.0394805|1110.861171|1.0|1.0|1.0|1.0|1.0|0.0|0.08|27.0|-9.32|4.76|80.28|2.0|0.0|-4.89|31.0|-6.26|402.45|0.0|1.0|1.29e-05|0.00519|3.52|0.0|4.82e-10|5.3396|3.5876|-1291.896802|-1291.867578|685.66|1169.35|345.59|232.2|0.46668|0.0108|-0.15687|-0.22435|0.02922392|-1291.706729|4.3906|6.4976|6.4976
4a_a46|0.0|0|0|0|0.0|0.210988875|1|7.825245291|1|1|1.13463711|2.180332577|-0.214093513|-0.001042349|2|0.0|0.012632881|1|0.0120924389999999|-0.082000707|-0.129430244|2|0.679741138|0.764741337|-0.215877982|0.8075680409999999|0|-0.05488948|0.264863483|0.076041983|-0.022129285|2.523263761|0.742626378|-1.017947119|-14.80375017|41.15334508|33.36433008|0.4289963579999999|479.8368017|1427.844961|5.613813876|0.751302315|4481.754309|-274.5414028|-252.0050978|711.8625758999999|1.0|1.0|0.0|1.0|1.0|0.0|0.35|17.0|-6.82|4.18|43.6|0.0|0.0|-3.93|24.0|-5.87|318.42|1.0|1.0|0.000117|0.0372|3.34|0.0|1.53e-07|4.5454|4.5454|-994.237445|-994.2146342|560.87|967.0|272.77|272.77|0.6893600000000001|0.1694|-0.19067|-0.21988|0.022810825|-994.079365|3.7138|6.7423|6.7423
1e_a5|0.0|1|0|0|2.953259375|0.0|0|6.605297921|0|0|1.427503886|0.0|-0.260066152|-0.001975193|2|0.0|0.008031558|1|0.007357977|0.034752304|0.0578378779999999|2|0.71274658|0.771487328|0.045376705|0.834250802|0|-0.06795194|0.373935381|0.1194205|-0.0278901329999999|2.317577542|0.7473936259999999|-1.115605324|-18.33860051|44.38364879|39.76196174|0.482579989|457.4574833|827.4861275000001|6.41473183|0.932665879|4342.827698|-301.0751483|-257.0399733|775.4313476|1.0|1.0|0.0|1.0|1.0|1.0|0.05|23.0|-8.41|4.99|54.46|0.0|0.0|-4.25|24.0|-5.77|312.37|1.0|1.0|5.5700000000000005e-05|0.0174|3.43|0.0|3.87e-09|4746.0|4.4292|-990.6320386|-990.6006645|560.58|935.47|279.92|261.24|0.56258|0.1355|-0.18105|-0.22291|0.0313740589999999|-990.522307|3.0386|6719.0|6719.0
18a_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.194229718|1.854982521|-0.197348157|-0.003488994|2|1.6891461019999998|0.007066388|1|0.007079018|-0.0835538409999999|-0.147724859|2|0.760537197|0.7329701259999999|-0.042139855|0.7881113679999999|1|-0.050645213|0.573315195|0.073464296|-0.029276847|7.887046626|0.710467198|-1.5223960559999998|-23.31437056|64.80092090000001|45.98663929|0.487405342|628.6440468999999|2213.859172|7.037677899|0.950859191|6630.646100999999|-700.830423|-285.5992506|1453.872315|1.0|1.0|1.0|1.0|1.0|1.0|0.08|27.0|-9.4|5.32|100.61|2.0|0.0|-5.59|32.0|-6.28|436.53|0.0|1.0|2.59e-06|0.00113|3.78|0.0|3.95e-10|5.0214|3.4832|-1691.3151059999998|-1691.2957760000002|695.35|1211.84|355.95|246.91|0.35107|0.0354|-0.1408|-0.21148|0.01932946|-1691.097989|5.3946|7.8861|7.8861
16_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|1.398650725|1.843196334|-0.219944434|-0.00228637|1|0.0|0.0067511459999999|1|0.006466406|-0.018051608|-0.0513920109999999|1|0.490768328|0.774455255|-0.0894138519999999|0.8366279120000001|0|-0.073335635|0.292255386|0.210153891|-0.033372358|3.330045338|0.832461695|-1.201404885|-17.789707500000002|45.11883447|42.88070889|0.455802506|389.0176968|1522.164774|5.548106463|0.837568182|4520.2597670000005|-291.4359638|-327.4903335|710.807513|1.0|0.0|0.0|1.0|0.0|0.0|0.11|17.0|-6.36|4.49|30.71|1.0|0.0|-3.92|23.0|-5.64|309.31|1.0|1.0|0.0001199999999999|0.0371|3.59|0.0|4.33e-07|4511.0|4.2257|-1057.494456|-1057.478071|515.68|856.55|293.41|274.85|0.51149|0.1006|-0.17375|-0.2134|0.01638524|-1057.429593|1.9873|6.4647|6.4647
19c_a38|0.0|1|0|0|3.332128134|0.0|0|7.412764017000001|2|2|1.297043851|0.0|-0.085545751|-0.008177185|2|0.0|-0.004442319|1|-0.002443797|-0.09493054|-0.20848518|1|0.7163622890000001|0.846765471|0.073931688|0.908721232|0|-0.0918007669999999|0.396635872|0.240808376|-0.038224114|9.638658988|0.7187071909999999|-1.949429829|-36.38913762|82.74311399|73.10674676|0.477803802|477.9848537|2660.812979|6.97753104|0.914989047|6618.350708|-772.7394084|-275.39483110000003|1707.726604|1.0|0.0|1.0|1.0|1.0|3.0|0.13|17.0|-6.92|3.17|105.02|1.0|0.0|-4.35|32.0|-7.13|426.45|0.0|0.0|4.46e-05|19.0|2.5|0.0|1.2099999999999998e-07|5.8832|3.8322|-1424.42734|-1424.3899310000002|652.09|1138.6|323.53|210.74|0.2597|0.1417|-0.15612|-0.21303|0.03740877|-1424.247603|3.2846|8.0348|8.0348
12c_a36|0.0|1|0|0|3.447900368|0.0|0|7.412764017000001|2|2|1.29696741|0.0|-0.087096843|-0.007667703|2|0.0|0.0005016269999999|1|0.0010871589999999|-0.103922055|-0.177407665|1|0.8941919290000001|0.819222745|-0.033217921|0.8741648479999999|0|-0.073370864|0.462597812|0.159266488|-0.038024893|8.079011794|0.75500974|-1.901244658|-30.27053327|80.22754474|59.70517794|0.473610011|540.0159387|2365.641348|6.772454418|0.899732176|6256.172329|-784.3943293|-327.5932797|1617.460455|1.0|0.0|0.0|1.0|0.0|2.0|0.14|17.0|-7.18|3.35|69.2|1.0|0.0|-4.44|30.0|-6.49|415.88|1.0|1.0|3.64e-05|0.0151|3.31|0.0|6.65e-08|3.8436|3.8436|-1692.540795|-1692.511019|672.74|1137.55|322.58|322.58|0.68913|0.3927|-0.15835|-0.2082699999999999|0.02977602|-1692.3713309999998|6.6973|8.0458|8.0458
13b_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604984129|0.0|0.112353041|-0.011016128|2|0.0|-0.003436924|1|-0.002215642|0.003429114|0.006103754|1|0.841060094|0.836520136|-0.045844862|0.892104517|0|-0.109962789|0.3529073379999999|0.305898198|-0.042850934|8.459192992|0.800290866|-2.271099499|-50.13056864|88.26741491|86.77473353|0.454574838|468.6532296|2319.48655|8.804739699999999|0.8334321|6627.406474|-1035.363967|-405.5090587|1916.093704|1.0|0.0|0.0|1.0|0.0|2.0|0.13|17.0|-6.19|3.04|124.74|1.0|0.0|-5.01|32.0|-7.05|441.51|0.0|0.0|9.68e-06|0.00427|2.74|0.0|6.520000000000001e-07|5.0501|3.5056|-1744.492044|-1744.446479|721.48|1210.94|353.68|245.51|0.32563|0.1415|-0.14879|-0.20313|0.0455651|-1744.281763|5.3762|7.5901|7.5901
12s_a36|0.0|1|0|0|3.486136149|0.0|0|7.412764017000001|2|2|1.297044029|0.0|-0.057853364|-0.007059109|2|0.0|0.002951176|1|0.003962098|-0.104118159|-0.1763783589999999|1|0.90414347|0.8060798779999999|-0.118671653|0.856677627|0|-0.07216709|0.4314309979999999|0.169662191|-0.035868226|8.106112169|0.754198383|-1.901015959|-30.06529118|76.34126108|59.13914165|0.4604765839999999|535.942162|2294.468358|7.545963801|0.853487672|5890.905249|-791.9759303|-328.1450742|1626.909053|1.0|0.0|0.0|1.0|0.0|2.0|0.17|17.0|-6.97|3.24|69.2|1.0|0.0|-4.16|30.0|-6.55|395.46|1.0|0.0|6.929999999999999e-05|0.0274|3.04|0.0|1.08e-07|3.8751|3.7604|-1272.270833|-1272.236664|683.24|1150.67|329.71|319.95|0.6843600000000001|0.0002|-0.15559|-0.20467|0.03416928|-1272.061111|8.7738|8.0458|8.0458
8k_a46|-3.737070812|0|0|0|0.0|0.1337610719999999|1|7.727094485|1|1|0.300205953|2.105349622|0.1436554669999999|-0.006208399|2|0.0|-0.002099764|1|0.002202734|-0.030019362|-0.050069565|2|0.73768327|0.786206898|0.095179795|0.8341090329999999|0|-0.08638304|0.400181795|0.261823161|-0.033099828|4.860695117|0.8265691140000001|-1.985989657|-44.4725532|70.036452|68.75557551|0.4938768979999999|529.6539372999999|2328.360804|8.070811215|0.975803904|7352.280688|-1022.446432|-468.6373459|1723.969585|1.0|0.0|1.0|1.0|1.0|2.0|0.24|23.0|-8.66|2.94|124.17|1.0|0.0|-5.74|34.0|-6.75|474.58|0.0|0.0|1.82e-06|0.000866|3.45|0.0|2.17e-09|5.0379|4.1034|-1845.304274|-1845.257085|742.04|1302.56|302.15|246.1|0.41618|0.1166|-0.16967|-0.20954|0.04718819|-1845.037411|3.8107|6.8327|6.8327
9a_a31|0.0|1|0|0|3.348289714|0.0|0|7.765993078999999|1|1|0.6101356720000001|0.0|-0.009086485|-0.01391798|0|0.0|-0.006189303|2|-0.0033853629999999|-0.093527289|-0.15653721|0|0.8058046320000001|0.782715368|0.045292529|0.837697452|0|-0.100906991|0.235442032|0.308231868|-0.043430228|13.69193237|0.737758755|-2.0846509230000003|-41.55773748|94.03540892|86.0923113|0.484502446|443.941629|1955.13855|7.812278516|0.939873412|6273.506211999999|-858.5468158|-305.16297060000005|1813.361078|1.0|1.0|1.0|1.0|1.0|2.0|0.14|22.0|-8.13|5.51|117.37|1.0|0.0|-5.62|30.0|-6.39|418.47|0.0|1.0|2.42e-06|0.00101|3.47|0.0|7.35e-09|3.7892|3.7892|-1691.9526239999998|-1691.9137670000002|680.72|1145.99|327.21|327.21|0.7028|0.7028|-0.15757|-0.20032|0.03885662|-1691.7777600000002|6.2203|6.8239|6.8239
12a_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|0|0.604990853|1.784989449|0.021610099|-0.00431394|0|0.8332127109999999|0.01039129|2|0.007890601|0.018655637|0.031326603|0|0.58630452|0.718281767|0.023863832|0.7867243829999999|1|-0.064340227|0.000279043|0.059120235|-0.033799|3.060902482|0.85136964|-1.047769006|-16.73754566|43.65970865|38.81741016|0.476055146|479.8867095|600.1247016|7.563170499|0.908597808|4873.458436|-272.5679167|-358.4254366|627.699788|1.0|0.0|1.0|0.0|0.0|0.0|0.0|20.0|-7.21|5.33|58.43|1.0|0.0|-6.41|22.0|-4.56|346.23|1.0|1.0|3.86e-07|0.000134|5.43|0.0|6.15e-08|3.0966|3.0966|-2097.826771|-2097.8163050000003|530.55|875.15|400.39|400.39|0.6998800000000001|0.3701|-0.12895|-0.2091|0.0104658999999999|-2097.779499|3.8054|5.7501|5.7501
14ad_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|0|1.197962774|3.3437482860000003|-0.1101542319999999|-0.00790478|2|0.735584095|0.008996289|2|0.009675528|-0.143336826|-0.253318853|2|0.7763406840000001|0.7830067820000001|0.165157698|0.8356326820000001|1|-0.059168372|0.224009311|0.112868365|-0.029653934|17.28310144|0.575880959|-1.630966366|-30.226481300000003|85.20135045|66.47100256|0.46995189|634.0697778|2339.533586|8.661363236|0.8866211979999999|7308.229822|-833.1879476|-108.4705382|2024.236598|0.0|0.0|1.0|1.0|1.0|1.0|0.12|26.0|-7.6|3.48|123.48|2.0|0.0|-5.8|34.0|-6.68|471.53|0.0|0.0|1.6e-06|0.000753|3.52|0.0|2.49e-08|3.3867|3.3867|-1858.957788|-1858.942973|747.83|1287.26|366.09|366.09|0.6956600000000001|0.4106|-0.13734|-0.20659|0.01481488|-1858.733603|6.7584|8.3595|8.3595
14k_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|0|1.1979621459999998|3.358995671|0.070940371|-0.005866159|2|0.74561778|0.010682694|2|0.009263715|-0.071484865|-0.13187015|2|0.722187957|0.800643488|0.140087361|0.864845456|1|-0.0562483359999999|0.226547411|0.077602272|-0.033999976|8.338417622|0.783562394|-1.597998852|-24.9092952|64.04991522|49.96154892|0.486654314|613.8243395|2174.886074|8.21201115|0.948005074|6715.186162999999|-707.6658267999999|-377.4022725|1357.152837|0.0|0.0|1.0|0.0|1.0|1.0|0.05|26.0|-7.99|4.0|105.02|2.0|0.0|-6.13|31.0|-6.03|445.93|0.0|0.0|7.49e-07|0.000334|4.21|0.0|1.02e-08|3.6421|3.6421|-2089.524497|-2089.501786|691.9|1179.17|340.42|340.42|0.63765|0.4694|-0.14784|-0.2271699999999999|0.02271117|-2089.354026|8.3627|8.4123|8.4123
37_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|2|2|1.251176176|0.0|-0.0013530679999999|-0.005351023|1|0.0|0.002300582|0|0.003512954|-0.1483628609999999|-0.224171123|0|0.7100921609999999|0.725028151|0.020848396|0.761336899|0|-0.068500679|0.385121249|0.168216253|-0.0286221589999999|4.865006968|0.7648766029999999|-1.946306811|-36.62790634|65.15554136|56.74339533|0.488368082|608.2316837999999|1571.7484060000002|9.460456975|0.954530133|7035.839448000001|-1040.70711|-387.3755475|1860.709332|0.0|1.0|0.0|1.0|1.0|2.0|0.3|18.0|-8.82|3.68|76.5|2.0|0.0|-5.68|36.0|-6.14|480.6|1.0|0.0|2.08e-06|0.000999|4.36|0.0|1.51e-09|3.2127|3.2127|-1532.997117|-1532.974371|794.5|1395.35|385.91|385.91|0.69305|499.0|-0.13194|-0.18119|0.02274574|-1532.622404|3.0375|7.4559|7.4559
