molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FPSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12j_a30|0.0|0|0|0.0|0.0|0.604984421|0.0|-0.006336585|-0.033312179|2|-0.02473642|0.0|0.005613018|0.0074730759999999|-0.075816941|1|0.005965451|-0.0431311459999999|-0.456342646|1|0.8414737059999999|0.0060012969999999|-0.130412856|0.846470093|0.7991060659999999|0|0.015613498|-60.832977500000005|10.09017681|0.157800959|-0.036204884|-39.31313154|6.520746879|0.0|0.8134611009999999|69.55167701|-23.39729904|0.476658597|544.2686362000001|-1216.65955|2258.891981|0.91079856|6105.3402670000005|120.550211|28.76265258|0.01349128|686.039456|8.71869951|1.0|0.0|1.0|1.0|1.0|4.76|0.0|0.17|17.0|81.65|2.0|0.0|1.0|-5.66|30.0|4.0|-5.81|0.0|1.0|7.05e-06|4.23|0.0|4.02e-05|-0.05106|4.14|3.4788|-1615.064152|695.8|1175.75|356.4|238.56|549.64|0.3087|0.68625|-1614.831741|-0.14772|-0.1987799999999999|0.03201935|-1614.894278|5.1081|9.0|8058.0
3g_a32|0.0|1|1|3.542426304|-0.047725143|0.60942078|0.0|-0.006258272|-0.072619634|0|-0.058985916|2.2144733530000003|0.001276735|-0.1154223269999999|-0.125170068|3|0.002565215|-0.105402305|-0.563371932|0|0.833981748|-0.1015732219999999|-0.1719626169999999|0.802214256|0.786074011|1|0.0119962889999999|-54.47722347|6.647498326|0.112304055|-0.030429702|-30.18744099|3.683575459|0.0|0.8007401590000001|60.55421302|-16.86199774|0.447358137|491.89858160000006|-708.2039051|1886.244271|0.809490137|5058.622432|110.4157723|21.05801434|0.01096673|475.3634141|6.076989555|1.0|0.0|1.0|1.0|1.0|3.43|3.44|0.28|19.0|110.94|2.0|0.0|1.0|-7.09|24.0|3.0|-4.9|0.0|1.0|2.58e-06|5.02|0.0|1.8e-05|-0.0535|4.13|3.5456|-1712.036238|593.24|998.86|349.68|349.68|495.4|0.70275|0.70275|-1711.865318|-0.14715|-0.20065|0.02384763|-1711.919273|5.5816|14.0|7.8539
12f_a40|0.0|0|0|0.0|0.0|0.604990261|1.768354671|-0.006206277|-0.015621373|0|0.070099257|0.807254372|0.008525796|0.108909202|-0.172869148|2|0.006841832|0.115814835|-0.397377446|0|0.679527138|-0.160218113|-0.271493213|0.841769186|0.605644757|1|0.021549915|-45.41519509|11.90644165|0.090006088|-0.032879466|-25.09213464|6.57837176|61.55859085|0.7314440520000001|56.53158029|-18.16607804|0.490421149|502.7764322|-635.8127312999999|628.5604981|0.962404834|5326.217734000001|148.3785764|24.83590915|0.0201199619999999|384.1423925|11.1163852|1.0|0.0|1.0|0.0|0.0|3.24|3.61|0.06|20.0|67.66|2.0|0.0|1.0|-6.58|24.0|3.0|-4.76|0.0|1.0|1.02e-06|5.4|0.0|1.8100000000000003e-05|-0.07761|4.77|2.8374|-2212.348599|572.63|951.55|436.97|286.25|487.85|0.6679999999999999|0.7029|-2212.222254|-0.11765|-0.19526|0.01077929|-2212.275094|4.8562|0.38|6.4202
8a_a31|0.0|1|0|3.28085223|0.0|0.610138387|0.0|-0.015034136|-0.158899731|0|-0.1480271209999999|0.0|-0.013230176|-0.135144546|-0.01861065|2|-0.009293513|-0.258538098|-0.520051508|0|0.938325481|0.0502030679999999|-0.030149254|0.895174844|0.883113019|0|0.0375544779999999|-67.46619355|18.56711239|0.405860136|-0.0416959379999999|-33.35560699|9.179668678|465.4559302|0.666437359|82.32407724|-20.61467025|0.4512945479999999|293.7455749|-742.1281291|1443.955093|0.822471411|4538.505909|164.9149565|30.93264504|0.030052065|324.7430642|14.85788369|0.0|1.0|0.0|1.0|2.0|3.34|2.05|0.2|16.0|114.29|0.0|0.0|2.0|-3.57|22.0|5.0|-7.11|0.0|1.0|0.000773|1.56|0.0|0.00145|-0.02993|1.53|3.8097|-1347.507102|538.75|872.11|325.45|325.45|396.15|0.7027100000000001|0.7027100000000001|-1347.3959220000002|-0.1587599999999999|-0.18869|0.03432763|-1347.446223|5.3042|0.79|6.1024
1k_a5|0.0|1|0|2.9020229360000003|0.0|1.427567903|0.0|-0.0030192829999999|-0.064652321|2|-0.095857885|0.0|0.003886035|-0.145151027|-0.011848312|1|0.003708988|-0.220946861|-0.254495542|2|0.567806811|-0.011552666|-0.022280685|0.851987765|0.558485747|0|0.010892351|-38.00629774|5.571869083999999|0.216307319|-0.0301207529999999|-19.44172742|2.850231839|0.498979532|0.724954458|47.83775802|-15.40795854|0.48165588|400.8898627|-570.0944662|824.0133397999999|0.929220303|4479.484358|140.69669409999997|21.25369168|0.019219352|357.34245360000006|9.83146028|1.0|1.0|0.0|1.0|1.0|2.71|2.02|0.0|23.0|54.46|0.0|0.0|1.0|-3.97|24.0|4.0|-5.99|1.0|1.0|4.970000000000001e-05|3.16|0.0|1.58e-06|-0.04516|3.1|4.4063|-1050.51717|533.8|890.76|281.38|262.56|398.63|0.53086|0.5282|-1050.418953|-0.1798799999999999|-0.22504|0.03133456|-1050.468159|2.3036|48.0|7.3188
3d_a12|0.0|0|0|0.0|0.0|1.28383852|0.0|-0.008186708|-0.053022041|3|-0.166233441|0.0|-0.00259095|-0.002185753|-0.058191686|0|-0.000643935|-0.282667477|-0.532019854|2|0.91670178|-0.097468573|-0.108208213|0.82682708|0.8605417409999999|0|0.011128076|-49.24083018|5.717316796|0.145275317|-0.035063929|-25.2986621|2.9374091630000003|0.0|0.77428353|57.52228251|-18.01493787|0.472404561|439.1353855|-738.6124526000001|1205.356874|0.89539167|4509.417998|115.96727140000002|23.26659057|0.01611886|410.9162081|8.281452338|1.0|1.0|1.0|0.0|1.0|3.98|2.71|0.11|18.0|50.17|0.0|0.0|1.0|-3.52|24.0|4.0|-6.22|1.0|1.0|0.000123|2.81|0.0|9.64e-06|-0.06842|3.1|3.7719|-1006.704001|548.21|918.3|328.71|294.4|411.35|0.53114|0.6572100000000001|-1006.556654|-0.15387|-0.22229|0.02399772|-1006.606666|3.0037|25.0|7.6021
5_a47|0.0|0|0|0.0|0.0|1.304329328|0.0|-0.009295857|-0.188550227|2|0.003858593|1.284688504|-0.012670377|-0.002627182|0.045246333|0|-0.011237954|0.0083528919999999|-0.454659897|2|0.7063295709999999|0.065981732|0.0743193|0.861595935|0.675164258|1|0.009936558|-52.90420509|5.246458665|0.192042245|-0.038537768|-27.93318665|2.770107005|0.0|0.781571204|62.14504725|-20.34777119|0.4736061789999999|426.5981263000001|-793.5630764|1349.003107|0.8997183470000001|5501.708422|115.3294396|26.03444329|0.017501741|416.1194472|9.240842159|1.0|1.0|0.0|1.0|2.0|2.67|2.79|0.0|22.0|58.04|2.0|0.0|1.0|-5.65|26.0|4.0|-5.19|0.0|1.0|3.18e-06|4.7|0.0|7.590000000000001e-07|-0.05535|4.37|3.7083|-1569.333281|561.61|951.68|334.35|334.35|401.16|0.69291|0.69291|-1569.20723|-0.15419|-0.20954|0.03591467|-1569.258939|3.8816|0.02|7.7
47k_a18|0.0|0|0|0.0|0.0|1.25117623|0.0|-0.0067578909999999|-0.0605329409999999|0|-0.017736343|0.0|0.003047962|-0.02822032|-0.008576013|0|0.00493127|-0.026672956|-0.451417954|0|0.762665453|0.022512501|-0.014398731|0.753132457|0.737517943|0|0.015080484|-69.77479556|11.91029894|0.169064596|-0.030255779|-55.10689702|9.406543039|58.77865447|0.7153044209999999|84.23875372|-23.89547793|0.467246896|656.2580564|-1744.369889|2009.418849|0.877042091|7575.637462000001|224.8475227|33.40602576|0.018313855|1167.054827|14.46395816|1.0|1.0|1.0|1.0|2.0|4.66|0.0|0.3|18.0|88.97|3.0|2.0|1.0|-5.84|38.0|4.0|-6.41|0.0|0.0|4.65e-06|4.26|1.0|1.85e-06|-0.04359|8.45|3.0948|-1664.728002|842.29|1492.36|400.63|400.63|793.48|0.69823|0.69823|-1664.2657390000002|-0.1277599999999999|-0.17135|0.02802749|-1664.341238|5.2253|29.0|7.5376
16_a3|0.0|0|0|0.0|0.0|0.605020428|0.0|-0.010031024|-0.186717242|2|0.027762972|1.614080058|-0.010377537|-0.013328983|-0.018884246|1|-0.008409607|0.069124437|-0.614173961|2|0.659478546|-0.142670655|-0.031683873|0.838125715|0.640070307|1|0.012203576|-49.45999101|6.027544549|0.302520871|-0.041233465|-24.42909382|2.977102266|82.16042286|0.8296818009999999|56.56724056|-20.36587865|0.484889078|344.4962834|-692.4398741|1290.305313|0.941329444|4733.033232|84.12292796|24.54661368|0.0143895839999999|328.71459869999995|7.107249553|1.0|1.0|1.0|1.0|1.0|3.13|2.59|0.0|21.0|92.93|0.0|0.0|1.0|-4.98|23.0|4.0|-5.89|0.0|1.0|3.2200000000000003e-05|3.35|0.0|2.25e-05|-0.07095|3.19|3.2208|-1371.360243|520.28|856.09|384.94|384.94|368.22|0.6944100000000001|0.6944100000000001|-1371.250459|-0.13195|-0.2029|0.02847445|-1371.297964|3613.0|42.0|7.3768
17a_a50|0.0|0|1|0.0|0.0|1.349854788|4.319202937|-0.002225436|0.009691515|1|-0.109740063|2.189373662|0.012510153|-0.0979202769999999|-0.131632653|2|0.012893333|-0.178162528|-0.220088198|1|0.762224122|-0.204032723|-0.215448852|0.828062407|0.732114362|1|0.013784807|-51.14229199|8.977762705|0.07699335|-0.0280449529999999|-33.3079288|5.847033234|84.34722313|0.7899109000000001|58.69900789|-18.26510428|0.486855438|601.1353533|-1022.84584|1799.721631|0.948768582|5718.782531|136.82673369999998|23.12299308|0.011602876|719.3470265|7.556715901|1.0|1.0|1.0|1.0|0.0|3.95|3.29|0.29|20.0|51.77|1.0|0.0|1.0|-3.99|30.0|4.0|-6.44|1.0|0.0|3.61e-05|3.23|0.0|6.97e-05|-0.03196|3.08|4.0477|-1258.540058|705.96|1204.79|306.31|291.88|616.93|0.6244|0.66046|-1258.260865|-0.16724|-0.1992|0.02594911|-1258.322582|8.2991|85.0|7.0706
8a_a12|0.0|0|0|0.0|0.0|1.283813597|0.0|-0.00771093|-0.052287869|3|-0.205012437|0.0|-0.001510006|-0.050603335|-0.084035283|0|0.000249868|-0.3422915179999999|-0.5385001079999999|2|0.913877696|-0.1261547959999999|-0.146966854|0.8157289759999999|0.862306783|0|0.010336879|-48.195997|5.354053791|0.107343574|-0.033836466|-24.96342938|2.773166902|0.0|0.791430726|55.45388635|-17.52581709|0.46777503|462.3571879|-771.1359521|2093.2274030000003|0.878904705|4806.044707999999|108.02980890000002|22.14447395|0.014012546|464.1781753|7.257889351|1.0|1.0|1.0|0.0|1.0|4.06|3.06|0.15|18.0|50.17|0.0|0.0|1.0|-3.9|25.0|4.0|-6.04|1.0|1.0|6.19e-05|3.18|0.0|4.2e-06|-0.06246|3.41|3.9091|-1046.0210880000002|556.3|952.71|317.17|317.17|424.14|0.6309100000000001|0.6309100000000001|-1045.851982|-0.15696|-0.2194199999999999|0.02180654|-1045.902509|5.4032|199.0|6.7011
3d_a32|0.0|1|1|3.503398526|0.0|0.609420786|0.0|-0.006420365|-0.034290847|0|-0.0620110029999999|2.230648962|0.000655875|-0.113314811|-0.0602430179999999|3|0.002004382|-0.1131110759999999|-0.539652902|0|0.8315372|-0.069007775|-0.100251236|0.90169022|0.77923808|1|0.014419776|-50.45435743|7.807299836|0.107154498|-0.02867299|-27.31750365|4.22710649|0.0|0.720540286|59.15151032|-15.52441767|0.427813496|483.4133562|-605.4522892000001|1855.167124|0.747681906|4752.534658|151.30787800000002|21.54552351|0.0160633|421.3548777|8.697152881000001|1.0|1.0|1.0|1.0|1.0|3.34|3.11|0.24|19.0|110.94|1.0|0.0|1.0|-6.55|23.0|3.0|-5.18|0.0|1.0|7.36e-06|4.5|0.0|1.75e-05|-0.05482|3.42|3.5105|-1672.733979|569.29|959.11|353.18|353.18|465.41|0.7035100000000001|0.7035100000000001|-1672.585902|-0.14189|-0.19671|0.02457348|-1672.638515|5.1728|8.0|8.0915
18c_a25|0.0|0|0|0.0|0.0|1.193723817|1.959418462|-0.002704524|-0.008080236|2|0.007241543|2.069766482|0.007804726|-0.038865826|0.006360768|1|0.007488918|0.01222181|-0.282103688|2|0.7644072209999999|0.084188427|0.0114970419999999|0.8005589320000001|0.7357918440000001|1|0.009585904|-47.27625541|6.300016824|0.05198276|-0.026975264|-31.07074762|4.140476673999999|0.0|0.7479204509999999|56.83666555|-17.72859578|0.484730247|623.0528232|-992.8013635|2095.730631|0.940731034|6736.25597|165.67090530000002|23.70385212|0.014546814|831.3429628|9.560410146|1.0|1.0|1.0|1.0|1.0|3.58|3.89|0.11|27.0|87.72|2.0|1.0|0.0|-6.05|33.0|3.0|-5.85|0.0|1.0|2.51e-06|4.49|0.0|3.0499999999999995e-08|-0.0622|4.75|3.3396|-1714.5777670000002|698.86|1243.76|371.26|226.01|547.87|0.31993|0.70516|-1714.280779|-0.13312|-0.19532|0.02003004|-1714.342386|7.9283|88.0|7.0555
14_a1|0.0|1|0|3.3674017380000003|0.0|1.430935835|0.0|-0.015636898|-0.175408303|1|0.1008839219999999|0.0|-0.011639964|-0.029658865|-0.0492229479999999|1|-0.008385698|0.164429684|-0.567791164|1|0.838928085|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.033047776|-72.59355177|19.5711254|0.406829129|-0.046308519|-42.99041175|11.59015807|104.2594419|0.753357398|87.02320758|-27.42423067|0.47517581|351.2799603|-1234.09038|1876.042189|0.905399978|5748.712211|146.0634832|36.40268318|0.0243658979999999|513.4628663999999|14.42965582|1.0|1.0|1.0|1.0|2.0|3.25|2.35|0.05|23.0|103.12|1.0|0.0|1.0|-4.52|29.0|5.0|-6.73|0.0|1.0|5.660000000000001e-05|2.7|0.0|7.81e-06|-0.05962|4.57|3.3061|-1292.55322|621.08|1049.56|375.01|323.35|464.08|0.6572600000000001|0.69894|-1292.359534|-0.1336|-0.19322|0.03490867|-1292.415211|5.3099|94.0|7.0269
12b_a32|0.0|1|1|3.477905329|0.0|0.609420757|0.0|-0.009432679|-0.055500132|0|-0.044307211|2.153718992|-0.003484915|-0.031446256|-0.053480599|3|-0.001662219|-0.079768013|-0.584995111|0|0.788133615|-0.0533240309999999|-0.090027803|0.8887585240000001|0.7507116140000001|1|0.016282332|-60.93328667|10.17310723|0.217407|-0.027561517|-38.07076621|6.356098747000001|65.29222164|0.60420609|76.65746734|-17.22027667|0.430631506|488.9595947|-792.1327267000001|3148.185476|0.756331814|5653.268811|247.2897528|28.50066715|0.025166975|557.1050635|15.72418067|1.0|1.0|1.0|1.0|2.0|3.47|2.9|0.26|19.0|140.04|1.0|0.0|1.0|-5.9|27.0|4.0|-6.4|0.0|1.0|3.72e-05|3.28|0.0|8.86e-06|-0.05173|4.12|3.5703|-1880.732075|663.89|1109.93|347.27|347.27|541.49|0.70258|0.70258|-1880.537231|-0.14803|-0.19976|0.0385132|-1880.599158|4.1080000000000005|26.0|7585.0
3f_a32|0.0|1|1|3.553167045|0.0|0.6094207770000001|0.0|-0.00611496|-0.0434359079999999|0|-0.062954205|2.227330929|0.001276735|-0.113189563|-0.110286539|3|0.002565215|-0.112493266|-0.5487283829999999|0|0.833981748|-0.110248899|-0.1743238839999999|0.871865543|0.786074011|1|0.011897886|-54.8993954|6.707989266|0.125973316|-0.030139709|-30.95210106|3.78194259|0.0|0.78919828|61.47296003|-16.99267001|0.435176082|492.7734095|-713.6921402|2130.756016|0.770463268|4993.667711|118.8493262|21.53155987|0.011659458|475.3634141|6.573564628|1.0|1.0|1.0|1.0|1.0|3.9|3.31|0.28|19.0|110.94|2.0|0.0|1.0|-6.89|24.0|3.0|-5.03|0.0|1.0|3.96e-06|4.83|0.0|1.73e-05|-0.05315|3.92|3.5569|-1712.034952|604.9|1006.92|348.58|348.58|488.74|0.70255|0.70255|-1711.863611|-0.1474599999999999|-0.2006099999999999|0.02606687|-1711.9193289999998|5.7161|9.0|8.0458
3a_a32|0.0|1|1|3.226454082|0.0|0.6094208210000001|0.0|-0.007588088|-0.045659995|0|-0.014365682|2.211368234|-0.002794182|0.102212031|0.125185185|3|-0.001223394|-0.028290955|-0.491457345|0|0.84134255|-0.045516432|0.215012723|0.921812162|0.7757299320000001|1|0.0224684379999999|-44.92473442|10.39727075|0.182929032|-0.032360692|-20.78892268|4.811337463|0.0|0.6723099029999999|55.87310101|-14.97491147|0.461044711|378.0996237|-449.2473442|812.930125|0.855441483|4249.04624|151.63860559999998|22.27382254|0.0236593529999999|278.73805810000005|10.9483666|0.0|1.0|1.0|1.0|1.0|2.96|2.21|0.07|19.0|110.94|0.0|0.0|1.0|-5.32|20.0|3.0|-5.77|0.0|1.0|4.51e-05|3.31|0.0|0.0002279999999999|-0.0558|2.17|3.6308|-1554.768725|492.91|801.12|341.48|341.48|355.48|0.70229|0.70229|-1554.7020630000002|-0.15058|-0.20638|0.02744024|-1554.748543|5.7916|3.0|8.5686
4i_a46|0.0|0|0|0.0|0.19654443|1.1346370959999998|2.184105962|-0.002360192|-0.018872727|1|-0.088884176|0.0|0.012211602|-0.160741899|-0.125773054|1|0.011931187|-0.133434195|-0.22302552|1|0.7204791309999999|-0.0656636|-0.17856753|0.786754478|0.7172344890000001|0|0.015663081|-42.48203383|8.847405392999999|0.0592195629999999|-0.025069479|-23.99628633|4.997521397|70.55661087|0.763831778|49.04951810000001|-14.16067794|0.406629719|531.4066842|-722.1945751000001|2253.484644|0.685288314|4893.587424|133.40134070000002|18.53900079|0.011626803|579.2365607|6.567484272000001|1.0|0.0|1.0|1.0|0.0|3.88|3.5|0.36|17.0|39.94|1.0|0.0|1.0|-4.94|26.0|3.0|-5.31|1.0|1.0|9.13e-06|4.38|0.0|1.75e-05|-0.01646|4.46|4.4232|-1092.70435|611.74|1058.5|280.31|229.66|546.24|0.41877|0.69035|-1092.473422|-0.18438|-0.20084|0.02614355|-1092.528145|3.8696|612.0|6.2132
LY364947_a10|0.0|1|0|2.949609552|0.0|1.390175303|0.0|-0.00235945|-0.00390904|2|0.0938628109999999|2.084955541|0.007575|0.010202602|-0.006198347|1|0.006909045|0.1625645369999999|-0.204644982|2|0.706034038|-0.072740964|-0.012096774|0.7792035190000001|0.681525895|1|0.009678082|-33.26705198|4.275500834|0.156895451|-0.029665114|-14.69643595|1.88879448|0.0|0.7234846559999999|41.53157099|-13.10520229|0.486715511|372.4595738|-432.4716757000001|839.5356408|0.948237326|3903.496845|122.1566022|18.1140017|0.018707677|287.99188260000005|8.264519015|1.0|1.0|0.0|1.0|1.0|2.46|1.88|0.0|21.0|54.46|0.0|0.0|1.0|-3.54|21.0|3.0|-6.02|1.0|1.0|0.000137|2.74|0.0|1.7199999999999998e-05||||||||||||||||||59.0|7.2291
8d_a32|0.0|1|1|3.474433107|0.0|0.609420756|0.0|-0.010604502|-0.089662873|0|0.062782795|2.146260246|-0.006974711|-0.044765977|-0.0682721729999999|3|-0.005162219|0.113030335|-0.629535754|0|0.825020753|-0.054095278|-0.11492754|0.875986707|0.789198712|1|0.01593079|-69.11005922|10.01177286|0.2892958439999999|-0.03346862|-43.43251025|6.291941176|89.20994250000001|0.708567136|81.54594837|-21.03349629|0.47012654|446.6450457|-967.5408291|2371.595484|0.887243042|5523.492436|183.1522214|29.684549600000004|0.019788058|557.1050635|12.43588915|1.0|0.0|1.0|1.0|2.0|3.5|2.84|0.26|19.0|154.03|1.0|0.0|1.0|-6.08|27.0|4.0|-6.47|0.0|1.0|4.36e-05|3.17|0.0|2.19e-05|-0.0535|4.26|3.5588|-1880.733071|671.71|111.16|348.39|348.39|540.98|0.7026100000000001|0.7026100000000001|-1880.540067|-0.14765|-0.20115|0.04065536|-1880.602038|1873.0|8.0|8.0809
8b_a8|0.0|1|0|3.191799887|0.0|1.395658149|1.42474537|-0.013834266|-0.182065125|1|0.019958073|0.0|-0.0055544409999999|-0.0422693659999999|-0.03443232|1|-0.003593429|0.031896755|-0.5058761820000001|1|0.758899977|0.097555876|-0.0527918259999999|0.8354024290000001|0.726912742|0|0.032440348|-71.23625346|19.87542051|0.441645347|-0.047457424|-43.64473805|12.1771918|89.09854311|0.781454722|84.97574547|-29.07602182|0.4835310479999999|342.0904577|-1424.7250689999998|1821.324722|0.936224813|6471.7604200000005|133.8974321|37.20755791|0.022425382|589.263087|13.73949201|0.0|0.0|1.0|1.0|2.0|3.52|2.93|0.09|23.0|112.23|1.0|0.0|1.0|-4.77|31.0|5.0|-6.87|0.0|0.0|3.69e-05|2.76|0.0|3.04e-05|-0.06114|6.41|3.2992|-1407.052256|640.35|1098.17|375.8|270.59|488.56|0.57234|0.70195|-1406.829227|-0.13807|-0.19921|0.03204403|-1406.887058|7.4497|5.08|5.2941
4_a47|0.0|0|0|0.0|0.0|1.304464196|0.0|-0.008204735|-0.121159855|2|-0.158636969|1.42341819|-0.007295208|0.0687047279999999|0.011775922|0|-0.006506051|-0.247195952|-0.462831711|2|0.893350891|-0.095209424|0.019305509|0.84420422|0.8124901999999999|1|0.007772995|-50.35610033|4.22896799|0.1257991219999999|-0.03525955|-27.39669054|2.300808176|0.0|0.806604393|57.78603076|-19.18327632|0.402148382|475.6168721|-805.6976052|1528.797085|0.67265584|5254.939281|105.2186243|23.78275706|0.013656479|471.7712484|7.429930428|1.0|1.0|0.0|1.0|2.0|2.75|3.01|0.05|22.0|58.04|2.0|0.0|1.0|-5.92|26.0|3.0|-4.99|0.0|1.0|2.31e-06|4.96|0.0|5.81e-07|-0.05606|4.44|3.73|-1509.4201369999998|576.9|988.42|332.4|214.85|432.89|0.45947|0.69157|-1509.262887|-0.1547|-0.21076|0.03342033|-1509.3147789999998|5.4892|32.0|7.5
11b_a50|0.0|0|1|0.0|0.0|1.3979498330000002|4.071188272|-0.002908227|-0.014702942|1|-0.007722567|2.114272566|0.011959339|-0.218953127|-0.133073229|2|0.012037198|-0.013155246|-0.266743077|1|0.701976536|-0.146696566|-0.20645662|0.862408925|0.667956827|1|0.019455771|-36.43643854|10.1501574|0.068683675|-0.02494328|-19.0090431|5.295379767|86.04123302|0.642051995|47.72173991|-13.01301376|0.42907551|485.8716402|-546.5465781|1650.235214|0.751545111|4884.730303|186.7429782|20.26785036|0.021631609|439.9973344|11.28530137|0.0|0.0|1.0|1.0|0.0|3.44|2.84|0.15|20.0|48.53|0.0|0.0|2.0|-3.58|25.0|3.0|-6.24|1.0|1.0|6.97e-05|2.9|0.0|0.000441|-0.02817|3.05|3.9863|-1045.961211|560.06|955.4|311.03|266.8|431.63|0.53885|0.64477|-1045.798634|-0.16684|-0.19501|0.02113855|-1045.849774|3.7922|1.7|5.7696
47j_a18|0.0|0|0|0.0|0.0|1.251176464|0.0|-0.007807275|-0.068902246|0|-0.048528478|0.0|0.00031105|-0.006923502|0.0033281|0|0.002317206|-0.073551529|-0.48833504|0|0.783538352|-0.002262399|0.005740124|0.77844379|0.757001264|0|0.015967126|-73.69868165|12.42035127|0.19348155|-0.033837212|-57.32800549|9.661420661|99.50526447|0.764425062|86.31641604|-26.32095773|0.481373558|627.366638|-1842.467041|2064.803327|0.928170101|7316.123159000001|183.246715|34.43235841|0.016220875|1081.726154|12.6177344|1.0|1.0|0.0|1.0|3.0|4.54|0.0|0.28|18.0|97.76|3.0|2.0|1.0|-5.83|37.0|4.0|-6.46|0.0|0.0|7.32e-06|4.07|1.0|8.159999999999999e-07|-0.04423|8.09|3.1054|-1625.413107|839.37|1459.55|399.25|399.25|776.31|0.6983600000000001|0.6983600000000001|-1624.9784550000002|-0.1285|-0.17273|0.03246539|1625.053346|5.2118|35.0|7.4559
22_a4|0.0|0|0|0.0|0.0|1.399866564|1.987636054|-0.006436201|-0.115883451|1|0.004808337|0.0|0.004765062|-0.2078428719999999|-0.023072107|1|0.004237768|0.00771584|-0.3877007|1|0.774689758|0.086940934|-0.037423832|0.8404413829999999|0.755510052|0|0.010702353|-43.23011833|5.1432274630000006|0.138796849|-0.036468635|-20.77508795|2.47167963|0.0|0.8444670409999999|48.65880447|-17.52572365|0.4359219589999999|413.8681986|-648.451775|1477.437886|0.772804341|4074.564287|74.7444381|20.75359108|0.011296354|338.71903330000004|5.428686137000001|1.0|1.0|0.0|1.0|1.0|3.3|2.2|0.11|17.0|50.94|0.0|0.0|2.0|-3.77|22.0|3.0|-5.91|1.0|1.0|0.000104|3.03|0.0|0.0016699999999999|-0.03046|3.38|4.0537|-934.240411|519.39|860.77|305.85|277.43|400.29|628.0|0.65771|-934.12356|-0.16754|-198.0|0.030263407|-934.171365|5.4110000000000005|47.0|7.3279
19_a20|0.0|1|0|3.423603867|0.0|1.4009239059999998|0.0|-0.0096278259999999|-0.130949446|3|0.103271147|1.622562232|-0.006620594|0.077469518|-0.063133522|1|-0.004654742|0.175308615|-0.5838248970000001|3|0.811128636|-0.143992458|-0.105118869|0.8193003000000001|0.7741509329999999|1|0.013643765|-65.49811346|8.964643162|0.245547466|-0.038340404|-43.03556944|5.890223441|88.19441661|0.796070588|75.98477124|-25.1915821|0.483310517|495.7134289|-1309.962269|1818.518838|0.935398401|6325.747732|133.9919257|31.64490997|0.0159602|684.5377542|10.48665779|1.0|1.0|1.0|1.0|2.0|3.49|2.49|0.08|27.0|110.44|1.0|0.0|1.0|-4.89|32.0|5.0|-6.8|0.0|1.0|2.6600000000000003e-05|2.91|0.0|9.86e-08|-0.06767|5.01|3.3616|-1368.378274|687.79|1190.68|368.83|368.83|519.34|0.6987399999999999|0.6987399999999999|-1368.129074|-0.13903|-0.2067|0.03487615|-1368.190746|6.3327|2.6|5585.0
