molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FPSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
4_a27|0.0|0|0|0.0|0.0|1.4008954130000002|3.294369174|-0.006181204|-0.058641975|2|-0.273119343|1.274166982|0.00991794|0.13397347|-0.01660383|1|0.010329671|-0.459570857|-0.480852615|2|0.639413469|-0.07759915|-0.024800302|0.842039655|0.614205449|1|0.0201467639999999|-40.79296366|10.43112657|0.1473956619999999|-0.0281385239999999|-21.12083948|5.40078803|58.27512057|0.682485674|51.33640873|-14.56891559|0.444169714|441.4418013|-611.8944548999999|1213.060761|0.799110312|4988.6278600000005|164.3952417|21.34684457|0.020363697|424.8821143|10.54344507|0.0|0.0|1.0|0.0|0.0|3.11|3.08|0.16|21.0|65.6|0.0|0.0|1.0|-3.57|25.0|4.0|-6.51|1.0|1.0|0.000102|2.55|0.0|0.0002|-0.0449899999999999|4.63|4.1288|-1083.119531|555.75|946.77|300.29|223.46|445.65|0.36899|0.6089899999999999|-1082.963712|-0.17034|-0.21533|0.01877181|-1083.01571|3.9202|4.0|8.3979
11_a3|0.0|0|0|0.0|0.0|0.605020608|0.0|-0.01008647|-0.127546771|3|-0.101436441|1.710245969|-0.008037672|0.044912659|-0.023103765|1|-0.005959152|-0.194041982|-0.577616902|3|0.8947911009999999|0.132535663|-0.04179402|0.793311683|0.834020779|1|0.014376713|-47.02715152|6.800350988|0.222196952|-0.0391657429999999|-22.2443844|3.216644354|80.34769756|0.752484736|57.08178682|-18.52584757|0.4680759679999999|367.9098016|-611.3529698|1105.41974|0.8799677029999999|4487.967272999999|117.0775712|24.61956593|0.021256639|311.6695405|10.0546353|0.0|1.0|1.0|1.0|1.0|3.19|2.07|0.0|21.0|105.82|0.0|0.0|1.0|-4.08|22.0|4.0|-6.59|0.0|1.0|0.000197|2.22|0.0|9.35e-05|-69.0|2.12|3.2232|-1288.165162|508.58|834.82|384.66|384.66|346.18|0.6966600000000001|0.6966600000000001|-1288.058926|-0.13118|-0.20018|0.02994326|-1288.10577|4.4522|0.04|7.3979
17_a4|0.0|0|0|0.0|-4.533317957|1.219995452|1.690442177|-0.006491052|-0.319716072|1|-0.01849014|0.0|0.001892883|-0.3948966229999999|-0.094767116|1|0.002155864|-0.073733221|-0.392770755|1|0.49887819|0.0147116789999999|-0.12969185|0.8347553529999999|0.484393047|0|0.01061251|-46.06264282|5.472562628|0.111208775|-0.042181562|-23.75316417|2.822041259|0.0|0.861696586|52.67753395|-21.75180355|0.4440629029999999|458.3237652|-783.0649279|1658.726841|0.798764653|5322.773303|71.31904507|25.24299609|0.012827738|319.5521911|6.61489113|1.0|0.0|0.0|1.0|0.0|3.31|2.94|0.11|17.0|30.71|1.0|0.0|1.0|-4.36|25.0|6.0|-5.56|0.0|1.0|1.5399999999999998e-05|4.01|0.0|9.44e-05|-0.04186|4.44|4.3363|-1255.968357|527.39|873.5|285.92|285.92|413.28|0.47353|0.47353|-1255.881628|-0.17559|-0.21745|0.02636403|-1255.932407|6.3221|877.0|6057.0
14t_a23|0.0|0|1|0.0|0.0|1.197962538|3.410065804|-0.005383494|-0.024472753|2|0.073534004|0.758345646|0.01269616|-0.041339801|-0.093434862|2|0.01180744|0.134446672|-0.4515027279999999|2|0.725800261|0.113493155|-0.152771194|0.820002545|0.6906097959999999|1|0.017433037|-51.65035498|11.36130649|0.079043164|-0.033286443|-33.66111722|7.404291213|42.20767549|0.799945841|61.0040156|-21.69314909|0.465981891|600.1979272000001|-1084.657455|2286.063655|0.872595673|6523.656379|130.3775455|27.11827225|0.014352462|666.0036144999999|9.353660614|0.0|0.0|1.0|1.0|1.0|3.52|3.49|0.09|26.0|105.02|2.0|1.0|1.0|-5.85|31.0|4.0|-6.1|0.0|0.0|5.61e-06|3.94|0.0|7.03e-06|-0.06666|3.79|3.2060000000000004|-1669.21916|692.08|1184.43|386.72|311.09|534.86|0.5824199999999999|0.68886|-1668.980578|-0.15625|-0.22291|0.02135191|-1669.040656|8.3062|4.0|8.3979
8a_a32|0.0|1|1|3.217128449|0.0|0.609420757|0.0|-0.010151321|-0.056633919|0|-0.0281981579999999|2.059960334|-0.003484915|-0.020716518|-0.128684642|3|-0.001662219|-0.050766252|-0.591393096|0|0.788133615|-0.184419911|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|0.018321589|-68.61558335|11.48993376|0.185446274|-0.035678106|-43.03057598|7.205629442999999|66.81560596|0.7490845290000001|79.73671389|-22.37464674|0.480024324|510.8273411|-1029.23375|3312.822051|0.923166883|5659.295213|157.3554684|29.86932167|0.017733503|557.1050635|11.12113054|1.0|1.0|1.0|1.0|2.0|3.48|3.67|0.26|19.0|140.04|2.0|0.0|1.0|-6.82|27.0|4.0|-5.76|0.0|1.0|1.02e-05|4.17|0.0|8.86e-06|-0.06166|4.98|3562.0|-1880.732222|667.29|1110.23|348.07|348.07|566.07|0.70316|0.70316|-1880.536478|-0.1445|-0.2061599999999999|0.03498398|-1880.595748|7.6703|45.0|7.3468
12g_a40|0.0|0|0|0.0|0.0|0.604990688|1.687211672|-0.01011728|-0.129331216|0|0.167050952|0.726175674|-0.001011175|0.075327376|-0.211162861|2|-0.003205145|0.280045216|-0.512657141|0|0.777835705|0.020185301|-0.326139923|0.8396782220000001|0.6941475490000001|1|0.012706769|-52.24208444|6.670206427999999|0.129798543|-0.0435406|-27.42361099|3.501413627|0.0|0.852031227|59.29860462|-22.85591194|0.465725912|456.7977427|-731.3891821000001|681.6778419|0.871698484|5211.675486|77.67373972|26.82520454|0.013442698|335.7078145|7.056520179|1.0|0.0|1.0|0.0|1.0|3.24|3.2|0.0|20.0|78.66|2.0|0.0|1.0|-6.46|23.0|3.0|-4.91|0.0|1.0|1.62e-06|5.07|0.0|8.57e-05|-0.07424|4.84|3.1577|-2173.0224510000003|540.25|896.63|392.64|308.23|429.31|0.67055|0.6988|-2172.9382|-0.13191|-0.20615|0.02230594|-2172.988604|2.7075|724.0|6.1403
10_a4|0.0|0|0|0.0|0.0|1.343863662|2.146166934|-0.002959121|0.005483539|2|0.00941601|2.149387791|0.01107733|-0.122141977|-0.090413559|1|0.011142889|0.014917047|-0.241683916|2|0.6990620390000001|-0.120059574|-0.150288496|0.861225169|0.6799081490000001|1|0.014582852|-45.97324097|8.440134933|0.078346981|-0.027007048|-26.60798798|4.884907049|64.26218096|0.744529685|54.09964719|-15.63090193|0.4858700179999999|533.4262268|-781.5450965|2064.276654|0.945033425|5598.949417|147.85886159999998|20.99433004|0.014040792|594.7358385|8.126406226|1.0|1.0|1.0|1.0|0.0|3.46|3.38|0.26|21.0|52.83|2.0|0.0|1.0|-4.66|28.0|4.0|-5.83|1.0|1.0|1.4e-05|3.85|0.0|3.15e-06|-0.04689|3.34|3.6465|-1183.790554|619.99|1083.65|340.01|249.6|470.02|0.4662|0.7038399999999999|-1183.54701|-0.15561|-0.2025|0.02232068|-1183.602045|2.2386|88.0|7.0555
16a_a10|0.0|0|0|0.0|0.0|1.325756911|2.041062372|-0.00230615|0.023926176|2|-0.085711535|2.009832665|0.011207938|0.014886502|-0.0048530629999999|1|0.011558506|-0.133979603|-0.1948324069999999|2|0.748039584|-0.068377262|-0.008879187|0.813036304|0.72613292|1|0.013872737|-53.28817038|9.606840334|0.083851314|-0.026063936|-36.90194151|6.652715932|99.81657855|0.7270593190000001|63.53441386|-18.049219|0.4629532229999999|634.4309626|-1119.0515779999998|1823.310808|0.862035195|6366.0631060000005|189.0108247|24.82496066|0.014796066|879.8636987|10.24624348|1.0|1.0|1.0|1.0|0.0|4.11|4.46|0.3|21.0|56.07|3.0|0.0|1.0|-5.22|33.0|5.0|-5.91|1.0|1.0|6.76e-06|4.33|0.0|1.4e-06|-0.04647|3.46|3.8718|-1395.13019|760.0|1310.44|320.22|221.33|629.65|332.0|0.6852199999999999|-1394.797092|-0.1605|-0.20697|0.02819643|-1394.861824|4.6574|47.0|7.3279
12_a1|0.0|1|0|3.3894574360000003|0.0|1.430936075|0.0|-0.011221829|-0.02164054|1|0.076867966|0.0|-0.0038943009999999|-0.0811332759999999|-0.051772288|1|-0.001416381|0.127560614|-0.487073772|1|0.8016064479999999|-0.045776997|-0.093957115|0.817998205|0.7534284040000001|0|0.033770552|-60.78517756|19.60151089|0.234878615|-0.039894864|-35.28166588|11.37734536|477.1158679|0.724666653|74.99749378|-23.15625812|0.46449367|444.1009824|-972.562841|1825.150911|0.867391557|5468.378562|159.81230209999998|31.95435864|0.024485753|473.040639|14.21231622|1.0|1.0|1.0|1.0|1.0|3.29|2.72|0.05|23.0|83.82|2.0|0.0|1.0|-4.98|28.0|5.0|-6.02|0.0|1.0|1.77e-05|3.54|0.0|2.3e-06|-0.07042|3.67|3.1744|-1216.099134|607.42|1018.84|390.57|332.04|482.51|0.69114|0.69763|-1215.922313|-0.12874|-0.19916|0.0296752|-1215.975876|10.1801|2.95|5.5302
25d_a34|0.0|0|0|0.0|0.0|1.433689841|1.940324546|-0.015046463|-0.089654563|1|-0.163072107|0.0|-0.005017781|-0.1266965|0.00670464|1|-0.001685762|-0.263924686|-0.605891389|1|0.8265507809999999|0.14554928|0.011919831|0.799694715|0.778903495|0|0.0292772039999999|-82.09024497|19.36462983|0.325717647|-0.044492794|-54.29641443|12.8082206|69.64131956|0.7772035959999999|95.24066462|-29.42857839|0.478308897|445.9861716|-1559.714654|2564.887803|0.916843118|6513.063805|147.36277019999997|37.86469665|0.019881997|673.8038326000001|13.15041965|1.0|1.0|1.0|1.0|2.0|3.58|3.76|0.12|23.0|90.3|1.0|0.0|1.0|-4.61|32.0|5.0|-6.74|0.0|1.0|3.3e-05|3.05|0.0|3.53e-06|-0.03521|6.05|4.2732|-1426.468726|706.21|1198.19|290.15|290.15|554.05|0.6764600000000001|0.6764600000000001|-1426.243341|-0.1771299999999999|-0.21234|0.02807001|-1426.307095|8.0068|0.95|6.0223
