molecula|n9FaHRing|SaaNH|SRW09|nAHRing|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC7i|MATS1i|MATS1c|GATS1are|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|FNSA4|RPCS|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
14_a15|0|0.0|0.0|0|0.0|-0.006678826|0.0|-0.0455566929999999|2|0.037073171|0.0|-0.374014235|0.001740635|-0.053931584|10.9597359|-0.015736888|0|-0.051908601|-0.120626133|-0.3848940629999999|0.8310685940000001|-0.028227917|0.7651878809999999|0.7933685340000001|0.8870890459999999|-0.063809873|-0.0917424269999999|0.7461324029999999|-40.89540491|9.403293601|92.51564418|-0.032888795|2.923143027|-1.743106111|-26.20964538|68.59458198|-21.0782518|50.29869851|0.406717767|568.5306056|-1117.1473460000002|2731.841165|0.229690275|6.040010666000001|0.685538423|5861.387612|27.36334635|0.015286995|-346.4801021|673.7288405|1.0|1.0|1.0|3.56|0.12|24.0|-9.82|5.32|6.3|56.27|2.87|2.0|0.0|119.95|0.0|1.0|6.0|4.0|4.7|5.99e-07|5.29|0.0|0.0|-0.0338199999999999|4.4518|689.8|1177.14|342.41|0.3131|278.5|0.65079|0.7055899999999999|-1280.809256|-0.18379|0.03885834|-1280.87015|5.0894|0.03|7.5229
19_a34|0|0.0|7.412764017000001|1|1.898101852|-0.013066507|5.351858133|-0.169170251|1|0.044107744|0.0|-0.5357267960000001|-0.00802652|-0.143343425|10.95957634|-0.014196676|1|-0.29861864|-0.255220734|-0.469568766|0.866604574|-0.0235903339999999|0.8582665429999999|0.818710955|0.6399024520000001|-0.112877411|-0.1255804019999999|0.308793959|-56.30608209|19.74799697|131.5318459|-0.039656969|470.4453529|-1.506964829|-28.08688512|77.38527508|-19.78189027|76.05407906|0.467358389|319.1993829|-751.7118302|1537.244187|0.3377105079999999|5.495780422|0.877434994|4496.516479|29.86894781|0.029554695|-161.90813300000002|337.9440349|0.0|1.0|1.0|3.07|0.18|17.0|-5.03|2.69|2.31|69.4|1.08|0.0|0.0|83.95|0.0|2.0|3.0|5.0|2.1|0.00186|1.66|0.0|0.0|-0.02901|4.1721|538.96|882.87|297.18|0.2189|297.18|0.6897300000000001|0.6897300000000001|-1046.458335|-0.20251|0.03168624|-1046.509891|5.0441|0.99|6.0044
4d_a46|0|0.0|7.825245291|1|2.146507937|-0.001749881|5.587248657999999|-0.017469934|2|0.047736111|0.0|-0.085744171|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|-0.206000242|-0.0814707009999999|-0.240143042|0.6535171|-0.103199079|0.8075680409999999|0.623144956|0.936057958|-0.056384895|-0.070772596|0.290035518|-30.95621863|4.750218646|8.241078584|-0.024616555|74.62074724|-1.132361533|-16.99546444|43.60839351|-13.51488667|35.70643728|0.441136013|513.9109507000001|-621.6847867|2233.65548|0.186572035|5.757075209|0.7893441379999999|4993.774007|16.6147308|0.0086574759999999|-344.15403910000003|509.0572545|1.0|0.0|1.0|3.78|0.35|17.0|-7.41|4.81|5.11|43.6|2.84|2.0|1.0|101.75|0.0|1.0|2.0|3.0|4.11|1.18e-05|4.3|0.0|0.0|-0.0396399999999999|4.4265|588.18|1009.78|280.09|0.1313|280.09|0.69884|0.69884|-1453.635434|-0.22603|0.02292966|-1453.688943|3.7104|517.0|6.2865
16c_a32|1|3.329674745|7.765993078999999|0|0.0|-0.01639019|5.733341277|-0.087497559|0|0.03995614|2.077479142|-0.770338913|-0.0064007569999999|-0.031087095|10.31100271|-0.036931818|3|-0.057356214|-0.1260956869999999|-0.697601261|0.809370315|-0.061904762|0.915639476|0.764217655|0.773043206|-0.088841599|-0.119988297|0.367322508|-53.00702241|15.38819548|102.2022233|-0.038178095|37.0285246|-1.679836163|-31.62645048|86.97970500000001|-22.77882371|68.39521789|0.463897164|461.2334662|-1002.268243|3143.196853|0.3153632939999999|6.313526111|0.8653137670000001|5979.891916|33.27140293|0.02579269|-220.3256617|513.9156315|1.0|0.0|1.0|3.5|0.22|19.0|-6.99|5.64|4.21|149.27|0.88|1.0|0.0|107.14|1.0|1.0|7.0|5.0|3.41|9.17e-07|3.23|0.0|0.0|-0.0505|3.6264|639.66|1069.28|341.89|0.2955|341.89|0.70198|0.70198|-1916.478107|-0.20047|0.02806787|-1916.536967|5.3459|5.0|8.3468
6e_a31|0|3.402951625|7.773594467000001|1|0.0|-0.016012184|5.733341277|-0.178758575|0|0.037803618|0.0|-0.784597028|-0.011483229|-0.008757878|10.31165994|-0.0462850729999999|2|0.225356759|-0.002840672|-0.579941248|0.838789705|-0.072882794|0.841537966|0.795570315|0.623340994|-0.122985602|-0.130898441|0.177030306|-74.99224589|19.89514173|159.9587946|-0.046541668|99.0823033|-2.0943750530000003|-45.72760428|93.68572477|-28.37945369|94.88738762|0.4782688439999999|380.0911673|-1277.075416|2188.417358|0.239502096|7.513687859|0.916695963|6053.812282|37.31693873|0.022744048|-317.6847132|536.6368656000001|1.0|1.0|1.0|3.55|0.1|22.0|-7.33|5.19|4.0|131.36|1.36|1.0|0.0|109.69|0.0|1.0|4.0|5.0|3.27|2.34e-06|3.2|0.0|0.0|-0.05426|3.3083|634.34|1077.48|374.76|0.5103|374.76|0.70391|0.70391|-1652.445002|-0.18844|0.03676794|-1652.503557|8.3583|0.37|6.4318
26_a47|1|0.0|6.86171134|0|1.06819297|-0.012090143|4.727387819|-0.200192886|2|0.045681818|0.956774672|-0.544056455|-0.0098410169999999|-0.046771537|10.94972213|0.0081426509999999|1|-0.24731748|-0.035472095|-0.5899218279999999|0.6850994429999999|0.0120097289999999|0.910081385|0.651797437|0.7104381999999999|-0.098127284|-0.101679756|0.549740398|-57.01987795|12.13564316|9.608109253|-0.038735145|60.07342336|-1.626876095|-33.13315474|73.39007585|-22.50824805|69.15552111|0.474969855|412.8219782|-945.3464183|1341.904566|0.282360823|6.945070057000001|0.90465254|5994.406615|31.36429668|0.024619511|-252.9318822|457.1122177|0.0|1.0|1.0|3.13|0.05|21.0|-7.22|2.84|4.68|98.72|2.59|1.0|0.0|104.8|0.0|1.0|4.0|5.0|3.18|1.3699999999999998e-05|3.12|0.0|0.0|-0.06279|4.7963|592.84|1006.59|310.58|0.3197|258.5|0.50921|0.68707|-1695.9387359999998|-0.22921|0.02111593|-1695.993821|4.8242|13.0|7.9
26_a20|0|0.0|6.842683282|0|1.877209467|-0.00578453|4.727387819|-0.104520106|2|0.0396875|2.01129617|-0.3297182369999999|0.003085806|-0.054222344|10.93106273|-0.033102079|1|0.249416844|0.0346782989999999|-0.446730587|0.7071284179999999|-0.055150498|0.8096894440000001|0.690530489|0.79337253|-0.0862808009999999|-0.082729415|0.423153994|-58.21621279|8.604974082|299.8332395|-0.0327795789999999|80.47551422|-1.737317706|-39.28020352|65.85953426|-22.11735334|66.82118688|0.472355054|535.3119506|-1172.219727|2534.075607|0.215111274|7.598632688999999|0.8952138340000001|6221.067002000001|28.17896678|0.014879363|-384.4457279|712.1606951|1.0|1.0|1.0|3.42|0.08|27.0|-9.18|4.5|4.62|86.69|2.47|2.0|0.0|125.0|0.0|1.0|5.0|4.0|3.66|7.27e-06|3.63|0.0|0.0|-0.05097|4.8421|715.27|1211.34|318.77|0.2081|256.05|0.50878|0.68167|-1352.036122|-0.21226|0.03774288|-1352.098465|4.8742|131.0|6.8827
17c_a50|1|0.0|7.934155233999999|2|4.349159921|-0.002676029|5.82008293|0.024219848|2|0.031870748|2.193763306|-0.1766179239999999|0.01130519|-0.144763835|10.94500663|-0.120904775|2|0.034485992|-0.233451925|-0.2256811219999999|0.762883243|-0.212611846|0.816442883|0.728169863|0.89719894|-0.051905615|-0.073693343|0.446454378|-35.70979598|14.91199042|133.46240020000002|-0.021745577|94.15397246|-1.32648017|-24.567468100000003|66.7258111|-14.96042594|50.6217864|0.49503436|617.2509739|-912.5859825|2014.72331|0.430249571|8.310163601000001|0.98033276|6438.380804|26.25785813|0.0232952879999999|-95.97318605|849.1345426000001|0.0|1.0|1.0|4.12|0.35|20.0|-6.79|3.59|3.53|61.0|1.91|1.0|0.0|134.28|0.0|1.0|6.0|5.0|3.1|0.000158|2.86|0.0|0.0|-0.03121|4.2397|746.5|1289.05|306.65|0.1814|292.44|0.63122|0.66213|-1410.838844|-0.19818|0.02957871|-1410.902767|8.5146|69.0|7.1612
20_a31|1|3.3852303|7.765993078999999|0|0.0|-0.009722467|5.733341277|-0.057200812|0|0.03995614|2.114008068|-0.476400874|-0.003484915|-0.020082435|10.31100269|-0.078213611|3|-0.023477148|-0.0852122769999999|-0.594513619|0.788133615|-0.131662689|0.912372776|0.7507116140000001|0.7954270659999999|-0.085849869|-0.110195543|0.246878555|-53.79798102|12.1160662|64.42171513|-0.033537774|75.10345696|-1.542737604|-33.71260536|81.35171021|-21.01650877|65.91404723|0.464597945|498.4558574|-966.7594033|1758.762093|0.289292958|8.289864307|0.86775525|5678.167489|29.5712685|0.019624081|-264.0799235|557.1050635|1.0|1.0|1.0|3.46|0.26|19.0|-7.65|6.49|4.38|140.04|1.1|1.0|0.0|110.47|1.0|1.0|7.0|4.0|3.6|1.24e-06|3.29|0.0|0.0|-0.06065|3.5381|666.67|1113.19|350.43|0.2011|350.43|0.7036600000000001|0.7036600000000001|-1880.538664|-0.20895|0.0336943|-1880.599777|4.9218|8.0|8.0862
3_a27|0|0.0|6.605297921|0|3.127072625|-0.00648099|4.59511985|-0.096132106|2|0.040512821|1.177265999|-0.27868256|0.009082086|0.042659548|10.93782973|0.024154412|1|-0.296039263|-0.1984716939999999|-0.479874452|0.640545265|0.038685745|0.8759548629999999|0.610158103|0.862115922|-0.06145119|-0.086153958|0.397733752|-31.82136336|9.960129259|10.71226495|-0.032307734|57.97805043|-1.292309364|-16.47810502|54.32114618|-16.72996312|41.78149261|0.44566003|446.4308003|-669.1985248999999|1043.697725|0.266146248|6.457886343999999|0.803947133|4960.583812|22.79740761|0.018747239|-242.1936891|401.7540197|1.0|0.0|1.0|3.03|0.05|21.0|-5.89|2.8|2.94|65.6|2.18|0.0|0.0|97.71|0.0|2.0|3.0|4.0|2.74|0.0002|2.67|0.0|0.0|-0.05512|5.5045|547.92|931.06|312.93|0.2305|225.24|0.34864|0.6734600000000001|-1081.744053|-0.21969|0.02032437|-1081.794829|4.1551|4.0|8.3979
