molecula|NaaNH|n9FaRing|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomRadius|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
3e_a32|1|1|0|0|0.015619823|-0.006553709|5.733341277|-0.058503168|0|0.044949495|-0.057366352|0.000655875|-0.114649277|3|0.002004382|-0.1046390059999999|-0.076494363|-0.1395294259999999|-0.551661318|0|0.8315372|-0.061561535|-0.12378337|0.85921771|0.77923808|1|0.8681696109999999|-0.100056595|-39.56206964|-53.92151824|6.69516884|71.04473954|-0.030786645|3.608094688|0.0|0.7752553659999999|-1.200679139|-21.32040233|60.86894767|0.4513338939999999|2212.661182|-647.0582188|1732.3689949999998|5.863649531|21.40099522|0.012891628|-296.6758413|834.6388134|421.3548777|6.94742943|1.0|1.0|1.0|1.0|1.0|1.0|6.8|5.24|110.94|1.0|0.0|97.86|0.0|-6.52|23.0|340.47|0.0|0.0|-5.18|3.02e-07|6.6e-06|0.00225|4.47|1.2099999999999998e-07|-0.0534399999999999|3.5589|-1672.748189|-1672.722302|578.77|956.67|348.38|0.2914|456.76|0.7025399999999999|-1672.576776|-0.14754|-1672.62984|8.0|8.0862|8.0862
12az_a36|1|0|2|2|-0.196183836|-0.009570959|5.351858133|-0.040156368|2|0.040566449|0.078817323|0.000482522|-0.024018255|1|0.002872872|0.129156742|-0.176729938|-0.289604649|-0.387734368|1|0.884226781|-0.061924322|-0.021825174|0.858971809|0.8350231859999999|0|0.819163613|-0.10786263|-50.28669997|-75.58351856|24.36575918|126.71905359999998|-0.033474609|17.0740303|8.104966044|0.583865006|-1.941527339|-35.23783652|99.82512582|0.462897841|3039.528467|-1360.503334|2455.7577530000003|8.449849817|40.17530387|0.034594361|-117.53490990000002|2330.167624|766.4854363|24.24160725|1.0|0.0|0.0|1.0|1.0|2.0|2.83|1.9|87.66|1.0|0.0|136.74|0.0|-4.11|33.0|441.49|0.0|0.0|-4.15|7.75e-05|7.13e-05|0.0315|2.62|1.6100000000000005e-07|-0.04967|3.8863|-1461.990465|-1461.962459|737.12|1252.18|343.5|0.4383|576.54|0.69385|-1461.686269|-0.14879|-1461.750394|58.0|7.2366|7.2366
9_a4|0|0|1|1|-0.211556011|-0.00136737|5.4161004020000005|0.016639331|2|0.040449735|-0.019160308|0.010709527|-0.091393763|1|0.009731833|-0.030976753|-0.0475186259999999|-0.076824065|-0.172904817|2|0.625717993|-0.151437311|-0.072130166|0.861113198|0.58669472|1|0.937102792|-0.069566741|-28.63837014|-37.85762102|4.918284148|34.22811902|-0.025885299|2.676487872|45.21212204|0.792890434|-1.113067849|-15.58475436|43.71760622|0.43745176|2359.945586|-605.7219363|2012.840082|5.744374392999999|17.76608225|0.010768243|-318.7769026|763.9415367|489.7528555|5.859985199|1.0|0.0|1.0|1.0|1.0|0.0|5.14|5.07|43.6|2.0|0.0|105.09|0.0|-4.76|26.0|360.84|0.0|1.0|-5.15|1.73e-05|7.06e-06|0.00255|4.14|6.9e-09|-0.05256|4.7284|-1489.554198|-1489.533032|586.24|999.93|308.91|0.1217|430.12|0.5182100000000001|-1489.36688|-0.16948|-1489.41872|48.0|7.3188|7.3188
19i_a38|1|0|2|2|-0.125335237|-0.008447598|5.351858133|-0.115864198|2|0.043197531|0.08414367|-0.006877664|-0.074033381|1|-0.004358975|0.215263198|-0.098027247|-0.250781298|-0.430016467|1|0.653741315|-0.040954326|-0.087904124|0.892249657|0.632625562|0|0.747158407|-0.113250303|-51.15830416|-69.40536597|13.83587388|154.953787|-0.040770109|8.479305267|10.71501217|0.7419238420000001|-2.038505453|-31.35232957|82.98550237|0.444551315|2896.470706|-1249.2965869999998|2335.0953870000003|6.690507557999999|33.67721904|0.022159015|-296.5257022|1683.860952|593.6088758|13.5801364|1.0|1.0|1.0|1.0|1.0|3.0|3.55|3.11|81.23|1.0|0.0|125.65|0.0|-4.25|31.0|419.43|0.0|0.0|-4.33|5.68e-05|4.67e-05|0.0196|2.88|7.599999999999999e-08|-0.0564799999999999|5.7041|-1431.415351|-1431.384243|641.31|1101.03|343.17|0.2156|457.26|0.4342|-1431.181148|-0.14872|-1431.239177|13.0|7.9031|7.9031
3_a4|0|0|1|1|-0.241609351|-0.001141383|5.4161004020000005|0.03287721|2|0.033760684|-0.07806942|0.011825591|-0.010537082|1|0.011276682|-0.129930078|-0.048796855|-0.08121207|-0.133874898|2|0.637819558|-0.0862461019999999|0.0904255319999999|0.8367373309999999|0.623172012|1|0.919804716|-0.06572153|-25.5405205|-31.92506825|5.133610255|38.95587796|-0.024645574|2.493716402|40.30885999|0.7196876640000001|-0.985822953|-12.40663231|39.38579676|0.430553837|2159.04913|-478.8760237|1602.411021|4.832514477|16.63485592|0.015358792|-213.4321476|665.3942366|409.0289917|7.460728516|1.0|1.0|0.0|1.0|1.0|0.0|4.02|4.11|43.6|0.0|0.0|95.12|0.0|-3.7|24.0|312.37|0.0|1.0|-4.26|0.000198|5.520000000000001e-05|0.0173|3.12|6.49e-08|-0.04964|4.9088|-990.6395508|-990.6149055|535.44|905.23|305.09|0.1415|350.36|0.58445|-990.467184|-0.17005|-990.514888|104.0|6983.0|6983.0
19a_a22|0|0|0|0|-0.000989685|-0.009145283|4.727387819|-0.144269652|2|0.0389622639999999|-0.020553065|-0.002607064|-0.011513343|1|-0.001355145|-0.03516233|-0.035723406|-0.0611158559999999|-0.496053375|2|0.72808001|-0.155892259|0.0271939039999999|0.834033833|0.699744887|1|0.744354735|-0.09370213|-67.26339083|-69.91748544|18.53458775|190.7541925|-0.035138299|13.82990734|106.645364|0.684706189|-1.967744721|-50.18975739|89.23486638|0.4347718229999999|3167.140147|-1468.267194|2607.322873|8.648671382|38.29242013|0.025888799|-275.6435167|2144.375527|781.8210659|19.31738094|1.0|1.0|1.0|1.0|1.0|2.0|3.08|3.41|128.68|1.0|0.0|132.15|0.0|-4.38|35.0|463.49|0.0|0.0|-4.11|4.16e-05|7.69e-05|0.0356|2.05|1.73e-09|-0.06398|5.0397|-1537.071348|-1537.0241640000002|740.07|1277.14|346.24|0.2218|567.03|0.34556|-1536.756515|-0.1508|-1536.823574|48.0|7.3188|7.3188
18_a31|1|0|0|0|0.0690370959999999|-0.013634202|5.351858133|-0.138136629|0|0.0427124179999999|-0.051184519|-0.009923585|-0.001973566|2|-0.007811355|-0.084218532|-0.065041042|-0.107017926|-0.604728055|0|0.868704545|0.022160691|-0.1647054359999999|0.904870098|0.838968212|0|0.72588713|-0.129469649|-69.19879619|-75.99442464|8.49194438|160.8952371|-0.040279446|4.984491996|0.0|0.7774768320000001|-1.81257508|-40.61741697|85.81723707|0.4492048839999999|2241.561812|-1063.9219449999998|1935.374782|7.076684189|30.40953623|0.01673486|-325.73954460000004|1368.42913|477.1857166|9.822812434|1.0|1.0|1.0|1.0|1.0|3.0|4.9|3.48|119.14|1.0|0.0|99.32|0.0|-4.62|25.0|356.44|0.0|0.0|-3.62|2.42e-05|0.000241|86.0|2.47|2.9e-07|-0.03702|5.0092|-1465.528656|-1465.4803960000002|630.26|1041.21|317.05|444.0|541.33|0.51842|-1465.300904|-0.16212|-1465.359325|0.13|6.8861|6.8861
17_a3|0|0|0|0|0.188373421|-0.009450704|4.727387819|-0.118246266|2|0.047430556|-0.015463451|-0.007540435|-0.041723219|1|-0.006696449|-0.027542873|0.020589494|0.036673175|-0.633373061|2|0.881253042|0.1789147639999999|-0.085686119|0.838125715|0.773152968|1|0.803075623|-0.096067661|-50.20132919|-48.88298017|5.251911643|100.2028184|-0.039557272|2.672377884|76.17242478|0.840062179|-1.344947254|-25.54439812|55.39769571|0.4383349039999999|2196.728425|-684.3617224|1667.279771|6.2477303310000005|23.96047156|0.012803096|-346.0738521|814.6560331000001|353.7528308|6.514715538|1.0|1.0|1.0|1.0|1.0|1.0|4.96|4.66|92.93|1.0|0.0|95.5|0.0|-5.53|23.0|338.81|0.0|0.0|-4.93|2.96e-06|1.18e-05|0.00399|3.88|3.28e-08|-0.0720399999999999|3.2102|-1731.75233|-1731.72355|537.32|891.3|386.22|0.4062|393.58|0.69481|-1731.6147670000005|-0.13155|-1731.663157|23.0|7.6383|7.6383
8c_a31|1|0|1|1|-0.012583838|-0.01275867|5.733341277|-0.104377029|0|0.03995098|-0.106461724|-0.0080009219999999|-0.1903992189999999|2|-0.004832959|-0.178276512|-0.053983462|-0.09039853|-0.513257014|0|0.922486359|0.006000201|-0.1759864119999999|0.896193695|0.87237334|0|0.626072761|-0.128067781|-64.57121646|-70.64275621|16.3656112|206.2599245|-0.039640027|9.027343766|477.2277896000001|0.72308253|-1.66488115|-35.61776956|82.77037329|0.47508938|2251.08563|-918.3558307|1678.6836239999998|6.820988495|30.23944586|0.021986076|-246.1066271|1270.056726|423.1367008|12.12761708|1.0|1.0|1.0|1.0|1.0|2.0|4.89|3.13|114.29|0.0|0.0|93.45|0.0|-4.42|24.0|342.42|0.0|0.0|-3.63|3.79e-05|0.000237|0.0811|2.38|7.45e-07|-0.03222|3.8492|-1426.166503|-1426.129055|595.67|981.89|322.11|0.2597|475.72|0.7005|-1425.968408|-0.15985|-1426.024361|0.81|6.0915|6.0915
7c_a10|0|0|1|1|-0.152261681|-0.00375251|5.4161004020000005|0.012145872|2|0.039433962|-0.1122332619999999|0.01006918|-0.033792245|1|0.0107756969999999|-0.176560297|-0.12177839|-0.191576261|-0.215874011|2|0.725146704|-0.087063341|-0.105104647|0.84177174|0.6952665379999999|1|0.906276489|-0.0876410609999999|-29.66615908|-51.2378943|16.04055193|54.79389751|-0.0223398779999999|9.377842892|58.07647902|0.52630639|-1.139333798|-17.34382833|67.01436709|0.4675549639999999|2616.8970870000003|-666.0926258|1881.379304|6.703148323|24.81565867|0.0269852389999999|-30.75918962|1265.598592|611.4957509|15.7764728|1.0|1.0|1.0|1.0|1.0|0.0|4.59|4.43|62.06|1.0|0.0|113.07|0.0|-4.44|29.0|386.45|0.0|1.0|-4.69|3.59e-05|2.05e-05|0.00793|3.46|1.66e-08|-0.04004|5.4267|-1259.011598|-1258.985004|635.47|1102.43|323.24|0.4049|488.89|0.41348|-1258.744382|-0.16055|-1258.801509|3.81|5.4191|5.4191
