molecula|NaaNH|n9FaRing|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomRadius|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
47u_a18|0|0|1|1|0.039883149|-0.010219187|4.844187086|-0.0872206669999999|0|0.035393939|0.008108241|-0.000829573|0.031337464|0|0.00082284|0.0121925089999999|-0.126628013|-0.1904128389999999|-0.539738821|0|0.664796402|-0.0112778039999999|-0.053126304|0.7960273840000001|0.646724968|0|0.741066474|-0.092271172|-62.99873374|-64.32800179|14.42377665|180.5187465|-0.0344062|10.0557163|77.59162925|0.721837463|-2.029965788|-43.92035521|79.06741651|0.483819806|2965.254516|-1415.216039|1415.590236|9.18142206|33.23007431|0.021142007|-309.31352410000005|1960.574384|818.9389171|14.73941472|0.0|0.0|1.0|1.0|0.0|2.0|3.15|3.02|99.56|3.0|1.0|133.53|0.0|-5.69|34.0|455.51|0.0|0.0|-4.98|2.05e-06|1.04e-05|0.00472|3.9|6.34e-09|-0.06392|3.1186|-1510.182477|-1510.153552|738.53|1282.66|397.57|0.5849|646.45|0.69143|-1509.771642|-0.12717|-1509.839543|1.97|5.7055|5.7055
3c_a32|1|1|0|0|0.025890116|-0.006923974|5.733341277|-0.048337951|0|0.043817204|-0.0522536959999999|-0.00017094|-0.113334836|3|0.00124359|-0.097512832|-0.0779821129999999|-0.145525719|-0.5427297289999999|0|0.831186295|-0.003205869|-0.019130435|0.901864778|0.774363061|1|0.888766719|-0.0943910459999999|-34.91603827|-48.52416391|7.772301225|57.18235134|-0.0288417079999999|3.995552912|0.0|0.693952122|-1.038301506|-17.94949454|57.94025396|0.423167668|2152.627425|-533.7658031000001|1393.156794|5.605165488|21.36577928|0.018316536|-199.4122311|769.1680542|370.5811396|9.416090047|1.0|1.0|1.0|1.0|1.0|1.0|6.61|4.68|110.94|1.0|0.0|93.05|0.0|-6.18|22.0|326.44|0.0|0.0|-4.91|6.65e-07|1.22e-05|0.00399|4.14|1.28e-07|-0.05487|3.5169|-1633.443791|-1633.419633|544.22|903.81|352.54|0.5017|425.74|0.7034600000000001|-1633.297494|-0.14219|-1633.348356|9.0|8.0458|8.0458
47c_a18|0|0|1|1|0.02368001|-0.007068829|4.844187086|-0.048726885|0|0.032688172|0.047739847|0.0007979619999999|-0.058748345|0|0.002674691|0.071793992|-0.212991596|-0.320309303|-0.455055055|0|0.784328127|-0.027873485|0.050944273|0.7912974190000001|0.7601847759999999|0|0.8128616409999999|-0.094000037|-57.54296759|-75.57063623|12.75381432|150.4485025|-0.0321917939999999|10.25333491|103.416376|0.7489981509999999|-2.350000928|-46.26124419|88.76073429|0.489290189|3228.879782|-1889.265906|2027.892739|9.566965871|34.55329606|0.016406766|-400.3604527|2522.390613|1167.054827|13.19009806|1.0|1.0|0.0|1.0|1.0|3.0|2.84|2.87|97.76|3.0|2.0|154.77|1.0|-5.73|38.0|513.63|0.0|0.0|-5.09|1.84e-06|8.12e-06|0.00417|3.98|6.67e-10|-0.0449|3.1096|-1664.753129|-1664.721977|850.89|1505.09|398.71|0.5869|790.07|0.6983199999999999|-1664.201034|-0.12841|-1664.277127|3.0|8.5229|8.5229
3a_a49|0|0|1|1|-0.05210989|-0.006374689|5.4161004020000005|-0.072328354|2|0.0355787039999999|-0.044367345|-0.000349523|-0.060613765|1|0.000521532|-0.074886415|0.002357097|0.003978478|-0.421478185|2|0.775818577|0.012813604|0.008391259|0.8704151529999999|0.7476073409999999|1|0.72890527|-0.088484274|-55.30832478|-51.82200998|9.491036042|158.77029040000002|-0.030698626|5.558553447|59.40691577|0.689774813|-1.504232653|-32.39206742|64.2037853|0.474653816|2599.121578|-880.9741697000001|1793.526571|6.566343333|26.06512204|0.021141449|-222.2883651|1277.19098|578.2841135|12.38177532|0.0|1.0|0.0|1.0|1.0|2.0|2.77|2.81|98.72|1.0|0.0|112.14|0.0|-3.06|29.0|384.43|0.0|0.0|-3.3|0.000878|0.000503|193.0|1.38|6.52e-08|-0.05732|5.1647|-1254.012043|-1253.973708|635.89|1082.21|320.04|0.3467|449.68|0.53794|-1253.756918|-0.15978|-1253.8126619999998|64.0|7.1938|7.1938
25c_a34|0|0|2|2|0.024837617|-0.014384932|5.351858133|-0.047513652|2|0.037424242|-0.16034464|-0.002827527|-0.056443595|1|0.001433865|-0.250299211|-0.3609280379999999|-0.563411433|-0.5404076879999999|1|0.809687672|0.118901861|-0.072907053|0.844690266|0.760055383|0|0.683231623|-0.113392997|-59.0359041|-75.6298008|29.22363765|211.2752099|-0.031498055|19.49130854|93.28638171|0.537428437|-1.7008949569999998|-39.37521522|100.6665476|0.4356106729999999|2884.104654|-1134.447012|2439.174137|7.484891117|39.09037289|0.037538004|-49.9273377|2110.880136|648.0187526000001|25.03674677|0.0|1.0|1.0|1.0|1.0|1.0|2.18|1.98|90.74|1.0|0.0|116.0|0.0|-2.81|31.0|421.45|0.0|0.0|-3.28|0.00156|0.000523|0.22|1.3|1.97e-06|-0.03272|4.2095|-1426.704645|-1426.666471|704.43|1180.85|294.54|0.2239999999999999|561.29|0.69247|-1426.421463|-0.17424|-1426.48597|1.78|5.7496|5.7496
10_a15|0|0|0|0|-0.137104477|-0.006872984|0.0|-0.0435725659999999|2|0.037209302|-0.0869138469999999|0.001740635|-0.077096984|0|0.0034254209999999|-0.132759909|-0.120626133|-0.184255041|-0.391156537|2|0.8310685940000001|0.0107135269999999|0.018211609|0.7585998270000001|0.7933685340000001|0|0.933136945|-0.101494566|-30.73805622|-59.05618983|6.101312009|38.90530741|-0.036384844|3.550143186|0.0|0.8301726490000001|-1.928396745|-17.88541558|65.80736417|0.449323734|2605.82709|-1122.067607|2305.991259|5.555044294|25.50202895|0.0116026369999999|-384.2321709|1351.607534|673.7288405|6.751174337|1.0|1.0|1.0|1.0|1.0|1.0|5.32|6.3|56.27|2.0|0.0|119.95|0.0|-6.22|30.0|397.47|1.0|0.0|-5.83|5.99e-07|1.47e-06|0.000584|5.29|1.51e-10|-0.03581|4.4682|-1281.088565|-1281.061184|631.2|1136.48|340.17|0.1412|487.16|0.66799|-1280.804272|-0.15377|-1280.862627|7.0|8.1549|8.1549
6c_a31|1|0|1|1|0.047405064|-0.015192833|5.733341277|-0.151732713|0|0.038901235|0.137523742|-0.009477764|-0.00219333|2|-0.00668344|0.2301743489999999|-0.0055763209999999|-0.009333123|-0.582545668|0|0.831901219|-0.078059285|-0.172780048|0.846458013|0.7905201209999999|0|0.641197273|-0.126324613|-76.54198229|-79.97295595|20.09112958|227.1490414|-0.044739967|12.71919216|105.7632176|0.7653239190000001|-2.147518413|-48.45681657|93.4208388|0.4463376229999999|2837.949799|-1359.540251|2357.829685|8.102804662|37.00884624|0.0212421629999999|-335.9398876|1776.424619|597.3075924999999|13.44788285|1.0|1.0|1.0|1.0|1.0|2.0|5.58|4.26|131.36|2.0|0.0|114.5|0.0|-6.09|30.0|418.47|0.0|0.0|-4.94|8.179999999999999e-07|1.15e-05|0.0048|3.64|1.89e-08|-0.0581799999999999|3.2974|-1691.984862|-1691.948653|667.01|1125.85|376.01|0.5028|524.56|0.7014699999999999|-1691.734564|-0.13351|-1691.794585|0.34|6.4685|6.4685
9c_a31|1|0|1|1|0.031715924|-0.013082561|5.733341277|-0.055520387|0|0.03482906|-0.0384827639999999|-0.003618466|-0.1047269419999999|2|-0.000813398|-0.062065125|-0.138799714|-0.223856622|-0.546598398|0|0.8083148840000001|-0.000533581|-0.108617754|0.8856644770000001|0.770283733|0|0.6746901059999999|-0.128097622|-65.84728287|-81.63444414|19.30758668|207.3144829|-0.035867334|12.30439782|552.8237349999999|0.670716706|-1.7933667130000002|-41.96335759|97.22026028|0.4558841429999999|2592.448925|-1142.882218|2242.189942|8.188627935|34.07943198|0.024456662|-217.5897278|1703.9715989999995|583.9691392000001|15.58581614|1.0|1.0|1.0|1.0|1.0|2.0|5.64|3.7|117.37|2.0|0.0|108.16|0.0|-5.23|28.0|398.48|0.0|0.0|-4.16|5.85e-06|6.94e-05|0.0277|3.1|5.79e-08|-0.03249|3849.0|-1618.157698|-1618.115927|691.3|1147.93|322.12|0.2554|588.58|0.7007399999999999|-1617.892493|-0.15975|-1617.9568470000002|0.42|6.3768|6.3768
21_a4|0|0|1|1|-0.164057585|-0.003068098|5.4161004020000005|-0.014982235|1|0.042924837|0.019346682|0.012362563|-0.2897937889999999|1|0.012094249|0.030586117|-0.063064908|-0.099702401|-0.228430899|1|0.6952936|0.090847781|-0.174578783|0.833191212|0.674434042|0|0.932146735|-0.076470465|-28.99048719|-38.7880598|10.23237244|34.4171635|-0.028676424|5.190159022|66.03320922|0.7231676229999999|-1.147056976|-14.70482428|47.69702403|0.401240904|2045.488184|-581.8208971|1584.866567|5.961506745|20.11362507|0.017563978|-226.3943104|804.5450027|387.240586|8.908964226|1.0|1.0|1.0|1.0|1.0|0.0|3.7|3.85|39.94|0.0|0.0|91.59|0.0|-3.88|23.0|303.36|0.0|1.0|-4.19|0.000133|6.51e-05|0.0197|3.36|1.16e-06|-0.02956|5.1623|-973.5683008|-973.5481197|549.71|916.76|308.08|0.2016|446.0|0.5260600000000001|-973.400097|-0.16632|-973.449892|121.0|6.9172|6.9172
27b_a34|0|0|1|1|-0.056026127|-0.010183855|5.351858133|-0.016803292|1|0.042739018|-0.106245942|-0.001438963|-0.029622037|1|0.001228116|-0.175834895|-0.194619338|-0.322091086|-0.463926296|1|0.820914556|0.00102838|-0.047542374|0.8299950709999999|0.770240631|0|0.783431788|-0.109683855|-57.66200309|-72.21552354|20.42417736|142.58786569999998|-0.037292511|13.44721755|540.9533124|0.712312759|-1.864625537|-37.9644911|87.24055613|0.4072752529999999|2835.31543|-1227.6639|2431.595232|9.124440695|34.46979951|0.022820627|-279.5721769|1723.489976|627.4287311|15.02503259|1.0|1.0|1.0|1.0|1.0|1.0|3.94|4.11|84.99|2.0|0.0|116.33|0.0|-5.23|31.0|409.44|0.0|0.0|-4.96|5.92e-06|1.1e-05|0.00449|3.75|6.53e-09|-0.04121|4.8168|-1350.055377|-1350.018975|691.97|1174.68|302.88|0.3621|577.39|0.47412|-1349.811401|-0.1652799999999999|-1349.873325|0.65|6.1871|6.1871
4d_a49|0|0|1|1|-0.06085453|-0.006135653|5.4161004020000005|-0.058204482|2|0.036555556|-0.090862681|0.000607064|-0.053327669|1|0.001356445|-0.151004418|0.000511959|0.000850823|-0.417231241|2|0.7745859279999999|-0.008564167|0.023137464|0.834151595|0.749565191|1|0.752634646|-0.085966608|-55.40321178|-52.95392476|8.392883773|152.3727245|-0.0281044679999999|5.16986937|57.16412513|0.654728051|-1.461432343|-34.12740785|66.51766234|0.470013152|2658.242991|-900.2167208999999|1640.195062|7.998287218|26.44129877|0.022019681|-190.6195379|1374.947536|641.1445234|13.56373757|0.0|1.0|1.0|1.0|1.0|2.0|3.16|2.8|98.72|1.0|0.0|115.63|0.0|-3.13|30.0|398.46|0.0|0.0|-3.35|0.000743|0.0004509999999999|0.18|1.45|2.64e-08|-0.06309|5.7447|-1293.333712|-1293.29417|668.09|1144.04|325.87|0.2549|495.7|0.40593|-1293.049085|-0.15888|-1293.107454|18.0|7.7447|7.7447
3o_a32|1|1|1|1|-0.022603806|-0.006253394|5.733341277|-0.014299905|1|0.035643275|-0.064818511|-0.001411347|-0.117781901|3|0.000243592|-0.117744493|-0.061774721|-0.11221537|-0.483580522|0|0.90022001|-0.074509084|-0.154436834|0.872498916|0.840991936|1|0.8377808240000001|-0.095457829|-42.51640563|-55.03672286|7.218280399|93.52833522|-0.031819276|4.161738248|0.0|0.7850948190000001|-1.4318674340000002|-24.51306152|62.56936516|0.455089918|2488.133192|-825.5508427999999|2469.87467|6.392329273|23.36733582|0.0130649069999999|-328.7458915|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|1.0|1.0|2.0|6.39|4.2|122.97|1.0|0.0|112.07|0.0|-5.72|26.0|381.52|0.0|0.0|-4.73|1.89e-06|1.87e-05|0.00714|3.46|5.35e-08|-0.05413|3.5333|-1805.504508|-1805.473626|620.56|1049.14|350.9|0.2851|464.85|0.70216|-1805.277864|-0.14652|-1805.333039|0.24|6.6198|6.6198
8k_a46|0|0|1|1|0.1436554669999999|-0.006208399|5.533389489|-0.380857136|2|0.038616352|-0.061030265|-0.002099764|-0.114070359|1|0.002202734|-0.1017929319999999|-0.030019362|-0.050069565|-0.510222233|2|0.73768327|0.095179795|-0.051289238|0.8341090329999999|0.687020939|0|0.7381768390000001|-0.0863473759999999|-61.98124174|-61.95565276|6.774333772|187.86239430000003|-0.033099828|4.860695117|19.34993627|0.8265691140000001|-1.985989657|-44.4725532|70.036452|0.4938768979999999|3351.548891|-1424.980013|2328.360804|8.070811215|28.73282642|0.0112621819999999|-468.6373459|1723.969585|865.6610153999999|8.080799245|1.0|0.0|1.0|1.0|1.0|2.0|2.94|5.37|124.17|1.0|0.0|132.47|0.0|-5.74|34.0|474.58|0.0|0.0|-5.13|1.82e-06|7.47e-06|0.00355|3.45|2.17e-09|-0.0398699999999999|5.0379|-1845.304274|-1845.257085|742.04|1302.56|302.15|0.1354|642.39|0.41618|-1844.970617|-0.16967|-1845.037411|147.0|6.8327|6.8327
12_a4|0|0|1|1|-0.1494133309999999|-0.0021497879999999|5.4161004020000005|-0.271149771|2|0.0381179139999999|-0.0334644329999999|0.005795666|-0.093414896|1|0.009024784|-0.055590089|-0.051501982|-0.085553511|-0.220286906|2|0.5687812560000001|-0.036425699|0.04172421|0.8749408470000001|0.531333552|1|0.805238097|-0.074699711|-41.69390404|-44.33087544|6.936764267999999|115.5823166|-0.025916226|4.116653575|7.519189887|0.717772573|-1.269895089|-24.74343259|53.59101661|0.470780296|2927.48584|-753.6248824|1962.933988|6.223583758999999|21.42753878|0.015603795|-258.476202|1049.9494|608.4548423|9.260141177|1.0|0.0|1.0|1.0|1.0|0.0|3.69|4.98|86.12|1.0|0.0|113.02|0.0|-4.18|29.0|404.48|0.0|0.0|-4.33|6.57e-05|4.64e-05|0.0188|2.72|1.45e-08|-0.06898|4.8592|-1617.861623|-1617.826064|640.67|1101.33|325.57|0.1194|503.28|0.63967|-1617.57796|-0.16224|-1617.634733|9.29|5032.0|5032.0
3q_a32|1|1|0|0|-0.017280695|-0.008072705|5.733341277|-0.04718311|0|0.03898374|0.02785755|0.000773658|-0.022925245|3|0.002487149|0.0492355779999999|-0.167040501|-0.295228244|-0.5448044360000001|0|0.751733573|0.010109949|-0.1585635|0.901790225|0.716172604|1|0.84993799|-0.097961799|-41.72706804|-60.46462749|11.43581616|92.62226328|-0.027989085|7.058489861|53.27315741|0.6349739010000001|-1.371465184|-25.7550561|74.3682963|0.46136998|2649.276311|-846.5047848999999|3335.898591|6.428518903|27.20679986|0.022526037|-166.61896299999998|1333.133193|618.9134881|13.90366881|1.0|0.0|1.0|1.0|1.0|1.0|6.43|4.72|131.25|1.0|0.0|115.37|0.0|-5.91|28.0|411.54|0.0|0.0|-4.62|1.24e-06|2.4100000000000003e-05|0.00992|3.47|4.88e-08|-0.04968|3.6236|-1920.066488|-1920.042674|666.16|1136.46|342.16|0.2897|549.78|0.70216|-1919.821707|-0.15001|-1919.883144|28.0|7.5528|7.5528
12v_a30|0|0|2|2|0.037440652|-0.006974714|5.351858133|-0.029548782|2|0.04625323|-0.099831334|0.002431329|0.020607357|1|0.001805829|-0.173424818|-0.0493878409999999|-0.0857954809999999|-0.471153275|1|0.8149999040000001|-0.029852321|-0.080971844|0.889479916|0.711738503|0|0.8501212029999999|-0.0971402169999999|-52.18846092|-65.72041011|10.70556236|101.4008026|-0.037666615|7.242869835|0.0|0.806069067|-1.845664126|-35.30820865|75.73440678|0.478535287|3001.758432|-1248.687792|2483.120571|8.114588039|31.6144427|0.014801518|-414.1432908000001|1549.107692|685.6665849999999|10.01399667|1.0|0.0|1.0|1.0|0.0|1.0|5.11|3.92|81.65|2.0|0.0|137.3|0.0|-6.58|31.0|467.37|0.0|0.0|-6.04|2.64e-07|9.14e-07|0.0004269999999999|5.12|1.58e-08|-0.0563|3.5507|-2494.963646|-2494.92869|715.58|1209.1|349.18|0.1601|573.82|0.68405|-2494.739831|-0.1505099999999999|-2494.802821|22.0|7.6596|7.6596
1a_a18 (SB-431542)|1|0|1|1|0.043282217|-0.015636898|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|-0.011639964|-0.029658865|1|-0.008385698|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.5940412860000001|-0.122555709|-74.98172333|-72.69619778|19.58668728|240.8019609|-0.0462988229999999|11.61820782|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|0.472443977|2678.82389|-1235.8353619999998|1890.195809|7.52384981|36.46179023|0.02438148|-300.3801761|1640.78056|513.4628663999999|14.4623285|1.0|1.0|1.0|1.0|1.0|2.0|4.04|3.63|103.12|1.0|0.0|106.85|0.0|-4.52|29.0|384.39|0.0|0.0|-4.25|3.03e-05|5.660000000000001e-05|0.0218|2.7|2.03e-08|-0.05971|3.8208|-1292.588031|-1292.553086|620.23|1048.7|376.27|0.5767|464.08|0.55409|-1292.358966|-0.13329|-1292.414518|125.0|6.9031|6.9031
40_a47|0|1|0|0|-0.246203395|-0.004181351|4.727387819|-0.0934645509999999|3|0.041396825|-0.056839794|0.002212256|-0.038143308|1|0.003634698|-0.130213023|-0.147591116|-0.338113214|-0.2636225|3|0.63155995|0.018609507|0.090270598|0.900790582|0.607650682|1|0.812233678|-0.083237511|-32.5926343|-44.90375373|11.04737121|101.2934265|-0.027052191|5.959674083|0.0|0.573656733|-1.082087641|-17.58259718|60.97203959|0.4574577489999999|2313.85811|-583.7487984|868.5333132000001|7.042383142|25.43981292|0.029785575|-79.47051169|1017.592517|388.178924|16.06828586|0.0|1.0|1.0|1.0|1.0|1.0|2.96|4.04|68.52|0.0|0.0|94.28|0.0|-3.26|25.0|334.35|0.0|1.0|-3.72|0.000546|0.000192|0.0643|2.19|8.339999999999999e-08|-0.05086|4.0176|-1123.174467|-1123.144637|571.5|947.27|332.97|271.0|444.47|0.67615|-1122.9968210000002|-0.15231|-1123.049869|4.0|8.4|8.4
12o_a30|0|0|2|2|0.036331447|-0.0068750669999999|5.351858133|-0.028326022|2|0.040899471|-0.089996613|0.00372838|0.019094532|1|0.003603419|-0.157974241|-0.051371057|-0.090173435|-0.465857798|1|0.8264832879999999|-0.054392357|-0.149451598|0.870930234|0.7463962120000001|0|0.844344883|-0.0975052409999999|-49.48891079|-62.74209511|9.948252054|100.1600333|-0.037808155|6.401442327000001|0.0|0.8131344979999999|-1.852599578|-31.84483128|71.87393121|0.46964626|2860.371518|-1192.099807|2476.50603|7.400912529|29.91948755|0.0141914589999999|-402.9878652|1466.05489|652.8825454|9.131836103|1.0|0.0|1.0|1.0|0.0|1.0|4.47|3.27|81.65|2.0|0.0|132.29|0.0|-5.93|30.0|432.93|0.0|0.0|-5.44|1.19e-06|3.61e-06|0.00156|4.49|6.03e-08|-0.05085|5.1935|-2035.37262|-2035.338699|687.92|1162.63|356.1|0.1967|528.25|0.3493699999999999|-2035.139147|-0.1478799999999999|-2035.199757|16.0|7.8097|7.8097
8g_a12|1|1|1|1|0.10205033|-0.0084227909999999|4.59511985|-0.029907264|2|0.038347953|-0.038463841|0.005898773|-0.094550033|1|0.005405355|-0.068810076|0.068559367|0.122649613|-0.532504083|1|0.804158158|-0.04981165|-0.070405398|0.80546986|0.7714487940000001|1|0.8576253690000001|-0.1045061519999999|-42.39297373|-57.6443411|4.915102972|78.53214058|-0.042752517|2.7111119089999995|0.0|0.90166696|-1.881110729|-23.38345638|61.99654413|0.463772637|2506.427441|-1037.59814|1356.883205|6.882798206|26.15353224|0.007890315|-443.109365|1150.7554189999998|480.0590283|4.352203029|0.0|1.0|1.0|1.0|1.0|2.0|3.31|2.07|78.85|1.0|0.0|109.93|0.0|-4.38|27.0|353.38|0.0|0.0|-4.34|4.15e-05|4.61e-05|0.0163|3.06|9.98e-09|-0.06432|4.2057|-1154.321531|-1154.281986|590.93|989.66|332.31|0.3786|418.41|462.0|-1154.121362|-0.1520099999999999|-1154.173831|3715.0|5.43|5.43
47r_a18|0|0|1|1|0.029358241|-0.0058631659999999|4.844187086|-0.216996268|0|0.035706215|0.041686585|-0.005176133|-0.02952923|0|-0.0001597829999999|0.0646283159999999|-0.233665901|-0.362261236|-0.360670551|0|0.806477847|0.017110504|-0.048143486|0.8075001|0.7554975009999999|0|0.769578222|-0.087091542|-62.75220741|-65.12700692|11.59378448|172.30927739999998|-0.031669652|8.669825595|60.66168882|0.688074851|-2.090197013|-46.92606587|81.99788849|0.49394971|3389.050097|-1563.048166|1504.28892|9.819988422|34.41856352|0.0225607039999999|-281.2845386|2271.625192|1005.982493|16.87088158|1.0|1.0|1.0|1.0|1.0|2.0|0.43|3.76|111.03|3.0|1.0|145.82|0.0|-6.65|36.0|504.6|0.0|0.0|-5.64|2.26e-07|2.31e-06|0.00117|4.59|3.48e-08|-0.0522799999999999|3.1705|-1964.841529|-1964.813473|790.57|1387.23|391.06|0.6007|729.75|0.69545|-1964.443758|-0.13021|-1964.516246|231.0|6.6364|6.6364
4R4k_a46|0|0|1|1|-0.050636784|-0.0049602|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.006550513|-0.1149361969999999|1|0.006050983|-0.158788415|0.008544799|0.012963356|-0.3860697829999999|1|0.78837943|-0.003017362|-0.141706595|0.787615341|0.784722915|0|0.890625164|-0.085931818|-47.73036108|-45.72566346|4.194771739|58.20005971|-0.030434186|2.232103603|0.0|0.866681099|-1.4608409080000002|-25.39807111|49.58292992|0.465590034|2105.035168|-777.3362788|1767.850427|5.522208638|18.68565706|0.007248925|-390.2334878|896.9115391|519.5743695|3.857266463|1.0|1.0|0.0|1.0|1.0|1.0|4.26|4.77|50.94|1.0|0.0|100.96|0.0|-4.82|25.0|333.43|0.0|1.0|-4.83|1.5e-05|1.4800000000000002e-05|0.0049299999999999|4.05|2.48e-07|-0.02045|5.2965|-1053.439174|-1053.413412|565.94|994.13|299.53|0.2896|490.83|0.54119|-1053.202129|-0.17484|-1053.254911|97.0|7.0132|7.0132
17a_a22|0|0|0|0|-0.0422459529999999|-0.005149751|4.727387819|-0.092107225|2|0.043274232|-0.054347074|0.00220634|-0.094996254|1|0.0027615779999999|-0.089641194|-0.076790454|-0.126659773|-0.3626566539999999|2|0.830653242|0.155547571|-0.010355535|0.805071997|0.7994946709999999|1|0.8594770140000001|-0.08790445|-49.30541729|-60.0620365|9.597299109|96.01444244|-0.030843667|6.55749888|0.0|0.710958975|-1.758088991|-33.68866751|73.26110471|0.485943988|2910.035347|-1201.24073|1934.881271|8.549622191000001|29.64221498|0.01931764|-288.28178110000005|1689.6062539999998|784.2697099|13.19906822|1.0|1.0|0.0|1.0|1.0|1.0|3.93|4.93|68.52|2.0|1.0|128.29|0.0|-4.75|33.0|435.5|0.0|1.0|-4.96|1.7899999999999998e-05|1.09e-05|0.00473|3.62|7.41e-10|-0.15124|4.8502|-1408.300966|-1408.279257|731.19|1253.39|887.46|185.0|577.52|0.46268|-1407.8711|-0.06214|-1407.935792|82.0|7.0862|7.0862
17a_a6|1|0|1|1|0.101940358|-0.012704951|5.351858133|-0.0265090529999999|1|0.041767677|0.04129257|-0.00460563|0.078798543|1|-0.00194781|0.068338372|-0.10896749|-0.180339002|-0.5624663560000001|1|0.850080948|0.08716369|-0.106323149|0.8299950709999999|0.8013954109999999|0|0.753082653|-0.109388399|-63.02857512|-71.75703418|20.43213226|161.9738174|-0.041567592|13.40315088|554.1936506|0.77193498|-2.078379577|-41.34573382|84.75077935|0.483320982|2816.084228|-1363.383649|2217.333474|8.337470517|35.323795000000004|0.019808023|-356.769966|1766.18975|627.4287311|12.99374518|1.0|1.0|1.0|1.0|1.0|2.0|4.98|4.32|95.85|2.0|0.0|116.79|0.0|-5.81|31.0|409.44|0.0|0.0|-5.17|1.56e-06|6.69e-06|0.00274|4.09|9.77e-10|-0.05753|3.5421|-1350.102634|-1350.078838|696.96|1167.16|416.71|0.3933|574.02|0.69627|-1349.830672|-0.12425|-1349.892285|24.0|7.6198|7.6198
6b_a40|0|0|1|2|0.135693438|-0.014861289|6.401917197|-0.069975812|0|0.039863946|-0.137534783|-0.003851208|0.0986825569999999|2|-0.004728928|-0.248560671|-0.018582337|-0.033583055|-0.630957955|0|0.691778838|0.003163118|-0.307881994|0.90571269|0.6462648870000001|1|0.753431574|-0.118488624|-72.13527644|-79.36130196|9.771129787|165.1465831|-0.049599889|6.544506614|34.43877986|0.878140798|-2.132795227|-48.31476032|87.29061302|0.442509019|3214.047452|-1428.503435|4049.386572|6.976123351|37.83107469|0.011838681|-506.5422338|1626.736212|618.8882797|7.929311055|1.0|0.0|1.0|0.0|1.0|1.0|5.67|4.38|173.43|2.0|2.0|130.16|1.0|-8.41|31.0|511.42|1.0|0.0|-6.18|3.86e-09|6.55e-07|0.000335|5.03|6.21e-06|-0.09533|3.1026|-3290.775349|-3290.745084|687.2|1183.07|399.62|0.4962|552.01|0.69429|-3290.583786|-0.1237099999999999|-3290.648012|0.03|7.5229|7.5229
8_a27|1|0|0|0|0.188762686|-0.008444078|4.59511985|-0.077396262|2|0.039673203|-0.14212377|0.0040883959999999|0.093450172|1|0.004801929|-0.24946295|-0.106814855|-0.187486926|-0.535352745|2|0.6812785379999999|0.141900468|0.11158995|0.8688656459999999|0.64927069|1|0.776384028|-0.092265073|-37.50265703|-43.96130162|10.41179748|106.5457267|-0.035880862|4.960882344|61.18801154|0.751701834|-1.291711016|-17.86879446|53.20197882|0.479730655|2132.9321670000004|-615.4582227000001|989.0070768|5.016799703|22.74314225|0.019394143|-239.8554499|818.753121|326.3351007|9.240677197|0.0|0.0|0.0|0.0|0.0|1.0|2.98|2.48|76.46|0.0|0.0|87.68|0.0|-3.23|23.0|303.32|0.0|1.0|-3.52|0.000586|0.000299|0.0907|2.0|5.2e-07|-0.05015|4.1276|-1004.515654|-1004.489001|507.76|848.58|300.38|0.2336|374.88|0.64893|-1004.385302|-0.16958|-1004.432889|6.0|8.2218|8.2218
