molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|SIC2|RASA|FNSA5|PNSA3|PNSA5|FNSA4|WPSA3|DPSA3|GRAVp|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
17_a12|0.0|0|0|0.0|0.0|0|6.823286122000001|1|1|0.0|4.727387819|-0.058347964|-0.210594127|0.0|-0.38018419|-0.002523977|-0.072956553|-0.070249784|1|-0.000651751|-0.3748198379999999|-0.113649923|-0.202276514|-0.559137213|2|-0.043392747|0.87653892|0.858119365|-0.096209886|-36.25249721|-50.13411606|-0.035198739|3.048310481|42.10235809|2246.161353|1470.257187|0.213298781|5.669161963|10.61752641|0.8728564259999999|4866.339908|111.1480977|-391.8666299|23.31475957|0.015049295|-298.7949107|431.5987143|7.842053909|1.0|0.0|1.0|1.0|2.97|0.17|17.0|-7.16|2.56|78.41|2.47|0.0|0.0|0.0|1.0|3.0|24.0|4.0|-6.07|0.0|0.0103|5.7100000000000006e-05|0.0191|6.97e-08|2.32e-05|-0.06322|4.4014|2.87|0.2213|281.69|419.49|0.39539|0.62783|-0.15459|2128.0|-1366.689546|16.0|7.7959|7.7959
12k_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.029595542|-0.13882907|0.0|-0.44562817|0.0043261129999999|0.067265077|-0.038714845|1|0.0053380919999999|-0.240110949|-0.089279071|-0.154412059|-0.4186541|1|0.001281277|0.883029843|0.815083558|-0.098188266|-52.35426525|-65.04897323|-0.035199567|10.61148425|68.37178540000001|2920.279667|2277.687222|0.291863802|8.416930701|15.93977881|0.893775698|6393.133321|193.3575303|-818.7944715|32.93073182|0.0226150579999999|-275.77726980000006|704.0353382000001|14.9823028|1.0|1.0|1.0|1.0|0.0|0.17|17.0|-6.74|2.63|90.88|2.51|2.0|0.0|0.0|1.0|6.0|31.0|5.0|-6.19|0.0|0.00154|1.19e-05|0.0050799999999999|1.84e-07|7.87e-05|-0.05055|5.1958|3.58|0.2257|238.62|564.62|0.39318|0.6864899999999999|-0.14743|4.9516|-1690.094082|24.0|7.6144|7.6144
25_a12|0.0|0|0|0.0|0.0|0|0.0|0|0|0.0|0.0|-0.045725323|-0.089297664|2.050456822|-0.180562493|0.000864238|-0.025245046|-0.11195017|0|0.001783739|-0.141917694|-0.0542354559999999|-0.0861945369999999|-0.4288076329999999|2|-0.2430098439999999|0.688743998|0.947937175|-0.080147596|-28.517955|-41.75851719|-0.03323193|1.3444869730000002|31.09844409|2067.69985|1907.027255|0.082701363|5.34703037|9.70173342|0.814415245|4329.321091|43.08908189|-369.8695347|18.87554002|0.005118351|-434.8420476|430.4348528|2.666764531|0.0|1.0|1.0|1.0|3.43|0.05|22.0|-8.78|5.35|37.81|3.2|1.0|0.0|0.0|1.0|3.0|24.0|2.0|-4.82|0.0|0.00162|5.63e-06|0.00175|1.6399999999999995e-09|5.12e-07|-0.05352|4.2653|4.73|0.4483|290.68|442.64|0.63284|0.69029|-0.14303|1.2494|-974.508059|22.0|7.6576|7.6576
15a_a10|0.0|0|0|0.0|0.0|1|7.535296702|1|1|2.141907675|5.4161004020000005|0.022297552|-0.125297206|2.038992189|-0.144512841|0.011418154|-0.060539141|-0.062038567|1|0.01192767|-0.19937094|-0.179723568|-0.285973309|-0.188634555|2|-0.0232534929999999|0.820233357|0.915137224|-0.076864276|-29.50952422|-49.47045259|-0.025155581|6.503087289|39.61363829|2656.305166|2413.560937|0.323526799|6.71451044|11.33516398|0.68815941|5929.563906|208.2243923|-573.1123029|23.93343877|0.017883602|-227.1590805|697.5493042|11.51002664|1.0|1.0|1.0|0.0|3.58|0.29|21.0|-7.79|4.05|56.07|1.93|1.0|0.0|0.0|1.0|6.0|30.0|5.0|-6.52|0.0|0.0432|3.94e-05|0.0157|1.63e-08|6.51e-06|-0.04742|5.7646|2.4|0.3558|215.08|563.27|0.47484|0.68863|-0.1559299999999999|4.7512|-1278.200428|24.0|7.6198|7.6198
19_a34|0.0|0|0|0.0|0.0|1|7.412764017000001|1|1|1.898101852|5.351858133|-0.169170251|-0.189862762|0.0|-0.5357267960000001|-0.00802652|-0.143343425|-0.014196676|1|-0.0042364759999999|-0.29861864|-0.255220734|-0.401414514|-0.469568766|1|0.08178394|0.8582665429999999|0.6399024520000001|-0.1255804019999999|-56.30608209|-62.64265252|-0.039656969|9.850795895|76.05407906|2127.363207|1537.244187|0.3377105079999999|5.495780422|10.31797048|0.877434994|4496.516479|168.4584665|-374.9727034|29.86894781|0.029554695|-161.90813300000002|337.9440349|14.74262256|0.0|1.0|1.0|1.0|2.77|0.18|17.0|-5.03|2.31|69.4|1.08|0.0|0.0|0.0|2.0|3.0|23.0|5.0|-7.01|0.0|574.0|0.000704|218.0|9.42e-06|0.00291|-0.02901|4.1721|2.7|0.2189|297.18|421.62|0.6897300000000001|0.6897300000000001|-0.1735|3.4272|-1046.509891|0.99|6.0044|6.0044
11c_a31|0.0|1|0|3.336985072|0.0|0|7.765993078999999|1|1|0.0|5.733341277|-0.141329185|-0.031640011|0.0|-0.847114804|-0.011679927|-0.137912959|-0.085216451|2|-0.008375297|-0.0512371409999999|-0.0992097109999999|-0.16065803|-0.572548808|0|0.013528742|0.8906705429999999|0.564143263|-0.14043574|-80.82023592|-82.24513417|-0.042457317|11.74927853|100.8824395|2470.585429|1770.045716|0.323910768|7.259183801|13.95917988|0.922968238|5329.481371|189.6959033|-626.1611682999999|36.77740577|0.029155542|-206.2506659|449.7512005|17.07472346|1.0|1.0|1.0|2.0|2.66|0.28|16.0|-5.84|3.64|125.57|1.03|1.0|0.0|0.0|2.0|6.0|26.0|6.0|-6.56|0.0|0.00285|0.000105|39.0|1.45e-06|0.000537|-0.03532|3.8551|4.47|0.2627|321.61|512.9|0.7005899999999999|0.7005899999999999|-0.15994|5289.0|-1559.253116|0.13|6.8861|6.8861
8c_a31|0.0|1|0|3.435435563|0.0|0|7.765993078999999|1|1|0.0|5.733341277|-0.104377029|-0.106461724|0.0|-0.574140137|-0.0080009219999999|-0.1903992189999999|-0.1029580369999999|2|-0.004832959|-0.178276512|-0.053983462|-0.09039853|-0.513257014|0|0.006000201|0.896193695|0.626072761|-0.128067781|-64.57121646|-70.64275621|-0.039640027|9.027343766|80.93682766|2251.08563|1678.6836239999998|0.27691747|6.820988495|12.99457133|0.90508624|4835.748065|152.7489054|-506.5691518|30.23944586|0.021986076|-246.1066271|423.1367008|12.12761708|1.0|1.0|1.0|2.0|2.9|0.29|16.0|-6.13|3.13|114.29|0.85|0.0|0.0|0.0|1.0|5.0|24.0|5.0|-6.7|0.0|13.0|0.000237|0.0811|7.45e-07|0.0002549999999999|-0.03222|3.8492|1.83|0.2597|322.11|475.72|0.7005|0.7005|-0.15985|3.3453|-1426.024361|0.81|6.0915|6.0915
15_a15|0.0|0|0|0.0|0.0|0|0.0|1|1|0.0|0.0|-0.031457366|-0.063032481|0.0|-0.395472407|0.001806571|0.000676845|0.0020555079999999|0|0.003766915|-0.098862691|-0.173728081|-0.272482143|-0.3597407929999999|2|0.007958332|0.7725348679999999|0.8972060479999999|-0.091075463|-41.11675625|-60.51136736|-0.031405332|9.115534766|54.83651811|3027.719888|2868.890383|0.297455822|6.673906339|11.8273735|0.772181523|7039.747576999999|197.6323578|-804.0860746000001|29.700607300000005|0.0202953539999999|-269.1443943|830.7967967000001|13.48441779|1.0|0.0|0.0|1.0|4.34|0.07|24.0|-8.9|6.69|59.51|2.52|2.0|0.0|0.0|1.0|6.0|34.0|4.0|-5.26|1.0|0.000214|7.970000000000001e-07|0.000357|1.27e-09|5.7e-07|-0.03786|3.6968|5.04|0.4459|335.38|573.46|0.67524|0.70572|-0.10964|1.6365|-1450.462493|109.0|6.9626|6.9626
9g_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|1.849105962|5.4161004020000005|-0.0220464379999999|0.07954859|0.895670535|-0.225327061|0.011921308|0.139758613|-0.145879501|2|0.0115573539999999|0.133954053|-0.037217966|-0.062672355|-0.383703998|0|-0.384131901|0.821935848|0.90454157|-0.079033043|-33.47455057|-41.63731423|-0.031197254|5.930596229|44.73159432|2169.234651|349.4421673|0.259759794|8.180261533|15.62271835|0.909806709|4435.743087|136.8503571|-329.0394499|22.20330888|0.018087202|-253.1335385|384.6422631|9.528957565|0.0|1.0|1.0|1.0|1.78|0.06|22.0|-6.43|2.93|72.28|0.64|0.0|0.0|0.0|1.0|3.0|23.0|4.0|-7.17|0.0|977.0|0.0008179999999999|247.0|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.83|0.3563|402.84|469.6|0.70233|0.70233|-0.12765|3.4787|-1332.369643|3548.0|5.45|5.45
12y_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.037335306|-0.089502772|0.0|-0.353814891|0.00604028|0.061944378|-0.058184644|1|0.006346396|-0.153680104|-0.053700437|-0.0922059569999999|-0.4579359229999999|1|-0.05346283|0.8146529229999999|0.8489185109999999|-0.091248521|-47.598277|-61.25585229|-0.034840345|6.751850651|57.65603256|2847.362782|2411.415644|0.179891855|8.067590558|14.55517927|0.804154433|6301.067405|120.7628216|-863.552275|28.51891948|0.012362508|-429.782246|754.3941655|8.299049218|1.0|1.0|0.0|1.0|0.0|0.21|17.0|-7.38|3.23|81.65|3.25|2.0|0.0|0.0|1.0|5.0|31.0|4.0|-5.64|0.0|0.00039|3.48e-06|0.00148|4.12e-08|1.76e-05|-0.05065|5.1973|4.45|0.2173|238.56|585.59|0.30617|0.6864399999999999|-0.1475|4.7043|-1654.190369|22.0|7.6576|7.6576
12_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|0.0|0.0|-0.0455566929999999|-0.035728911|0.0|-0.370766171|0.001740635|-0.106061273|-0.01062828|0|0.0034254209999999|-0.054575504|-0.120626133|-0.184255041|-0.380490701|2|0.049877871|0.769289315|0.89637291|-0.094209248|-39.00359933|-60.15445365|-0.031995594|6.123040777999999|48.59303169|2613.57759|2661.728915|0.253510603|5.448223888999999|10.40571107|0.909927213|5897.820841|161.8714956|-691.376388|27.36785616|0.016453962|-314.7766363|673.7288405|10.50617745|0.0|1.0|1.0|1.0|3.73|0.12|24.0|-9.82|6.3|56.27|2.87|2.0|0.0|0.0|1.0|6.0|30.0|4.0|-4.97|1.0|0.0002379999999999|1.47e-06|0.000584|1.51e-10|5.99e-08|-0.03196|4.4819|5.16|0.1374|276.63|585.26|0.50595|0.70444|-0.15858|4.3338|-1280.871722|4.0|8.3979|8.3979
26_a47|0.0|0|1|0.0|0.0|1|6.86171134|0|0|1.06819297|4.727387819|-0.200192886|-0.110530752|0.956774672|-0.544056455|-0.0098410169999999|-0.046771537|0.0081426509999999|1|-0.008325552|-0.24731748|-0.035472095|-0.079370393|-0.5899218279999999|2|-0.11288313|0.910081385|0.7104381999999999|-0.101679756|-57.01987795|-59.08415114|-0.038735145|7.0517889060000005|69.15552111|2625.572598|1341.904566|0.282360823|6.945070057000001|13.22794532|0.90465254|5994.406615|164.0744453|-549.3226272|31.36429668|0.024619511|-252.9318822|457.1122177|14.3059247|1.0|0.0|1.0|2.0|2.66|0.05|21.0|-7.22|4.68|98.72|2.59|1.0|0.0|0.0|1.0|4.0|28.0|5.0|-6.51|0.0|0.00545|2.77e-05|11.0|5.97e-08|2.37e-05|-0.06279|4.7963|4.37|0.3197|258.5|443.78|0.50921|0.68707|-0.16642|3.6825|-1695.993821|13.0|7.9|7.9
4_a27|0.0|0|0|0.0|0.0|2|6.823286122000001|0|0|3.294369174|4.727387819|-0.058641975|-0.273119343|1.274166982|-0.278154179|0.00991794|0.13397347|-0.01660383|1|0.010329671|-0.459570857|-0.2030237389999999|-0.341622797|-0.480852615|2|-0.07759915|0.842039655|0.852604338|-0.078787867|-29.89961815|-40.79296366|-0.0281385239999999|5.40078803|40.33074472|2273.715366|1213.060761|0.317514326|6.01592535|10.82331334|0.799110312|4988.6278600000005|164.3952417|-316.8125922|21.34684457|0.020363697|-188.9664429|424.8821143|10.54344507|1.0|0.0|1.0|0.0|3.08|0.16|21.0|-6.22|2.8|65.6|2.66|0.0|0.0|0.0|1.0|2.0|25.0|4.0|-6.51|0.0|0.0882|0.000102|0.0339|6.04e-07|0.0002|-0.0449899999999999|5.5485|4.63|0.2002|223.46|445.65|0.36899|0.6089899999999999|-0.17034|2.7371|-1083.01571|4.0|8.3979|8.3979
9s_a24|0.0|1|0|2.9568988810000003|0.0|0|6.605297921|1|1|0.0|4.59511985|-0.00570386|-0.050919714|0.0|-0.190782186|0.006748865|-0.060407836|0.013901071|1|0.007695726|-0.0897306019999999|-0.204128966|-0.359715589|-0.248704391|3|0.030228027|0.8327425070000001|0.8833498320000001|-0.063587778|-30.93968263|-39.48555839|-0.019465646|6.474925237000001|41.36694069|2747.809842|969.5210193|0.554839231|9.124394347|17.24354813|0.889829339|5767.9102490000005|344.5337711|-367.7851412|27.15292246|0.03496522|68.10609672|604.8829955|21.71205366|1.0|1.0|1.0|1.0|2.78|0.04|29.0|-8.11|4.29|77.21|0.81|1.0|0.0|0.0|1.0|4.0|30.0|4.0|-7.2|0.0|171.0|8.71e-05|0.0343|7.73e-09|3.04e-06|-0.03597|3.0726|1.82|0.5112|403.51|521.4|0.69475|0.6907300000000001|-0.10865|4.6141|-1270.796154|32.0|7.4949|7.4949
19b_a38|0.0|1|0|3.26554965|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.115864198|0.013765516|0.0|-0.467227005|-0.006877664|-0.1381849369999999|-0.0697981979999999|1|-0.004358975|0.035216067|-0.098027247|-0.250781298|-0.443325632|1|0.019437461|0.8851623040000001|0.7293105670000001|-0.11557289|-53.38447032|-71.73053105|-0.041606241|8.643817972|67.31146923|2897.652112|2436.66785|0.240363041|7.159317935|13.74014387|0.91919733|6518.872269|149.181772|-801.3543933999999|33.99385836|0.020570275|-322.28833010000005|593.6088758|12.76697997|1.0|1.0|0.0|3.0|2.37|0.14|17.0|-7.12|3.11|81.23|2.78|1.0|0.0|0.0|1.0|5.0|31.0|5.0|-6.81|0.0|0.0238|4.67e-05|0.0196|7.599999999999999e-08|3.19e-05|-0.05031|5363.0|3.66|0.4634|231.18|485.64|0.38952|0.69411|-0.15414|5.5253|-1431.2418630000002|12.0|7.9172|7.9172
10_a1|0.0|1|0|3.261363142|0.0|0|6.86171134|0|0|0.0|4.727387819|-0.23385288|0.049971022|0.0|-0.621976404|-0.012672753|-0.020225596|0.010430299|1|-0.0106277489999999|0.107434253|-0.019835038|-0.042643966|-0.623957903|1|-0.0369911079999999|0.783467165|0.669963758|-0.10949971|-65.97424138|-61.93104798|-0.045402319|4.718623023|74.31719486|2432.447088|1768.2330920000002|0.165903744|7.376231317999999|13.65143394|0.850732895|5192.858899|93.83214542|-595.4602985|30.78628757|0.015427326|-377.9175542|433.2550452|8.725415617000001|0.0|1.0|0.0|2.0|2.18|0.0|23.0|-8.02|5.06|78.87|2.78|2.0|0.0|0.0|1.0|4.0|27.0|5.0|-5.91|0.0|0.00372|1.87e-05|0.00673|9.53e-09|3.42e-06|-0.06802|3.4067|5.81|0.6754|363.94|464.77|0.70345|0.70345|-0.13576|5.3861|-1223.022387|1.5|5.8239|5.8239
13b_a5|0.0|1|0|2.948625157|0.0|0|7.153833802|1|1|0.0|5.209486153|0.011339656|-0.006314305|0.0|-0.251535058|0.0064510459999999|-0.104404004|-0.017963913|1|0.0066003869999999|-0.010368468|-0.055701188|-0.091464693|-0.357011244|2|0.03431921|0.8184221559999999|0.831557236|-0.074710354|-44.93506461|-48.3067033|-0.02636836|5.806729729|53.91565742|2661.597781|1177.571784|0.345923611|8.427551282000001|15.48959317|0.837970799|5678.380299|223.6695238|-562.2202871000001|26.06641209|0.021552174|-199.2474147|638.8437454|13.93534415|1.0|1.0|1.0|1.0|2.64|0.17|23.0|-8.36|4.06|74.77|1.96|1.0|0.0|0.0|1.0|5.0|30.0|4.0|-6.58|0.0|0.0225|3.75e-05|0.0148|4.36e-09|1.72e-06|-0.05177|4.6733|4.66|0.5528|265.31|503.93|0.32779|0.57482|-0.17274|3.5881|-1275.865034|0.11|6.9586|6.9586
5b_a50|0.0|0|1|0.0|0.0|2|7.927685046000001|1|1|4.190114953|5.82008293|-0.003549558|-0.052494624|2.473508677|-0.062071259|0.012641727|-0.137595558|-0.113846154|2|0.012290091|-0.0873662269999999|-0.1052449509999999|-0.175158017|-0.140506919|1|0.019856551|0.855527513|0.958606481|-0.061164973|-20.90908698|-31.07327358|-0.02140774|3.149876031|27.10933752|2183.545404|1452.442728|0.411250953|5.543302677000001|10.01036188|0.8058479690000001|4577.809819|208.925351|-221.0035589|18.47246431|0.023005632|-90.17329003|409.0289917|11.68741316|0.0|1.0|1.0|0.0|2.91|0.1|20.0|-5.86|4.02|35.64|2.4|0.0|0.0|0.0|2.0|2.0|24.0|2.0|-6.03|0.0|105.0|6.47e-05|0.0202|1.37e-06|0.0004269999999999|-0.0256899999999999|5.6332|2.81|0.2749|220.09|411.9|0.4270899999999999|0.66968|-0.16683|4.4181|-990.487545|12.23|4.9126|4.9126
2_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.0|4.727387819|-0.09743592|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|0.036301827|1|-0.0045709459999999|-0.18746945|0.017902469|0.032450556|-0.568019422|2|-0.192034735|0.8401405609999999|0.750206578|-0.09392632|-49.07072207|-44.07280196|-0.033150466|2.628543258|54.67257594|2056.399995|1314.679398|0.272015731|4.88513521|9.016533738|0.845708123|4446.904467|127.637231|-248.1619888|21.36736636|0.019143348|-213.9529255|330.4083896|8.982583312000001|1.0|1.0|1.0|1.0|2.22|0.0|21.0|-6.89|4.01|92.93|1.6|0.0|0.0|0.0|1.0|2.0|22.0|3.0|-5.93|0.0|0.0054|5.33e-05|0.0162|1.3e-07|3.9500000000000005e-05|-0.06423|5.4397|1.97|0.1824|227.92|340.69|0.37284|0.69543|-0.14605|4.0121|-1272.04778|3981.0|5.4|5.4
12m_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|0.024086432|-0.1305457069999999|0.0|-0.57615692|0.001371944|0.0488832779999999|-0.0547272029999999|1|0.0026474159999999|-0.236661357|-0.084317059|-0.152855196|-0.5409445629999999|1|-0.036924662|0.893689741|0.783260049|-0.103359773|-57.96147772|-70.1324196|-0.0405332439999999|12.59296644|76.52074257|3058.3084710000003|2370.879718|0.226267233|9.025816604|16.40342255|0.8173893040000001|6658.711303|153.52847759999997|-951.7351184|35.54574762|0.019500715|-371.4702679|683.7405759|13.2317657|1.0|1.0|0.0|1.0|0.0|0.13|17.0|-6.42|2.48|114.67|2.06|2.0|1.0|0.0|1.0|6.0|32.0|6.0|-6.22|0.0|0.000444|9.71e-06|0.00427|3.7600000000000003e-07|0.000165|-57.0|5.0617|3.88|255.0|244.95|578.87|0.33392|0.68404|-0.15042|3.6891|-1743.030004|31.0|7.5114|7.5114
12j_a36|0.0|1|0|3.502198129|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.0446165029999999|0.091496219|0.0|-0.41101009|0.00285431|0.039869055|-0.051080247|1|0.003710345|0.161289379|-0.07550872|-0.133106642|-0.436310965|1|-0.1241793309999999|0.87043328|0.852586292|-0.105480639|-46.2113679|-69.66341599|-0.037113558|7.921272637|58.20533756|2881.20453|2536.987511|0.224187058|7.483427579|13.78874575|0.8425708820000001|6352.018345|148.06163930000002|-874.1588982999999|31.59421634|0.016546717|-364.314663|725.9470896|10.92807939|1.0|1.0|1.0|2.0|0.0|0.17|17.0|-7.05|2.61|94.5|2.51|1.0|0.0|0.0|1.0|6.0|31.0|4.0|-6.64|0.0|0.0061|3.09e-05|0.0132|8.95e-08|3.83e-05|-0.05098|5.2072|3.37|0.4981|238.1|536.01|0.37116|0.69967|-0.15495|6.4451|-1670.245584|0.01|8.0|8.0
9d_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|1.839557351|5.4161004020000005|-0.022152094|0.153818743|0.89023715|-0.146575228|0.011823978|0.15723868|-0.137738587|2|0.010101686|0.259969752|0.0116099239999999|0.019621984|-0.4887998529999999|0|-0.3969541689999999|0.8221990920000001|0.941627612|-0.071656839|-31.08478865|-36.92750973|-0.031613312|2.854868966|36.6245851|2109.570685|336.6614768|0.133579429|8.023385851|15.06105494|0.87714454|4401.742338|68.83858806|-285.4523697|18.80327978|0.0087217999999999|-377.6610668|346.9019309|4.49467719|1.0|0.0|0.0|0.0|3.63|0.06|20.0|-7.0|5.09|58.43|4.07|1.0|0.0|0.0|1.0|2.0|22.0|2.0|-4.62|0.0|0.0002399999999999|2.23e-06|0.000727|1.01e-07|3.3e-05|-0.06906|4.6073|4.7|0.4888|269.1|446.84|0.4557199999999999|0.69986|-0.13875|6.2032|-1677.48058|107.0|6.9706|6.9706
12n_a36|-3.404662145|1|0|3.400581499|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.350034917|0.027627601|0.0|-0.619926573|-0.006862238|-0.035989956|-0.000273044|1|-0.001160331|0.048110172|-0.15024383|-0.261631709|-0.5181211520000001|1|0.162338703|0.869718963|0.720111143|-0.115872034|-60.42525197|-78.42650015|-0.039955874|9.668119648|74.70951411|3482.18259|3465.537153|0.258248547|6.863551112000001|12.58209967|0.833176363|7657.057548000001|174.79221719999998|-1061.639417|36.45914091|0.021232665|-327.25274110000004|805.2286932|14.3710571|0.0|1.0|0.0|3.0|0.0|0.17|17.0|-6.87|2.15|123.75|0.84|1.0|0.0|0.0|1.0|7.0|34.0|6.0|-8.03|0.0|0.0668|0.0001889999999999|0.0897|1.36e-07|6.45e-05|-0.05056|5.3573|6.24|0.3921|231.43|566.87|0.32172|0.7046600000000001|-0.14928|10.8395|-1875.961945|15.0|7.8239|7.8239
3_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|2.147369615|5.4161004020000005|0.03287721|-0.07806942|2.180369373|-0.0502208409999999|0.011825591|-0.010537082|0.050638298|1|0.011276682|-0.129930078|-0.048796855|-0.08121207|-0.133874898|2|-0.0862461019999999|0.8367373309999999|0.919804716|-0.06572153|-25.5405205|-31.92506825|-0.024645574|2.493716402|30.67413075|2159.04913|1602.411021|0.280312336|4.832514477|8.486341272999999|0.7560922609999999|4677.30755|136.1652785|-232.6201124|16.63485592|0.015358792|-213.4321476|409.0289917|7.460728516|0.0|1.0|1.0|0.0|2.86|0.15|21.0|-7.19|4.11|43.6|2.44|0.0|0.0|0.0|1.0|2.0|24.0|3.0|-5.99|0.0|0.0617|5.520000000000001e-05|0.0173|6.49e-08|2.03e-05|-0.04964|4.9088|2.66|0.1415|252.57|350.36|0.58445|0.58615|-0.17005|2681.0|-990.514888|104.0|6983.0|6983.0
8f_a12|0.0|0|1|0.0|0.0|0|6.580639137|1|1|0.0|4.59511985|-0.062406088|-0.013400998|2.177023629|-0.3981937339999999|-0.002596875|0.028505422|-0.024023866|1|-0.00094279|-0.023769395|-0.070713228|-0.125424286|-0.560548116|1|-0.13747286|0.80546986|0.869823177|-0.098932601|-41.27611074|-56.220383|-0.03822396|4.290980116|48.82707007|2541.921472|1448.568734|0.161876566|7.016225129|13.00131176|0.853035146|5481.952981|91.98952021|-543.1216218999999|25.9168408|0.012030968|-384.290491|524.0516742|6.836832748|1.0|1.0|1.0|1.0|3.26|0.1|21.0|-8.42|3.41|78.41|3.1|2.0|0.0|0.0|1.0|3.0|27.0|4.0|-5.47|0.0|0.000735|5.72e-06|0.00211|3.79e-09|1.4e-06|-0.06179|4.1744|4.19|312.0|297.01|441.97|0.59107|0.65098|-0.15061|0.9092|-1481.008909|646.0|6.1898|6.1898
3_a47|0.0|0|0|0.0|0.0|0|0.0|0|0|0.0|0.0|-0.130414103|-0.013350303|1.416887578|-0.367098851|-0.008828261|0.103847816|0.013073797|0|-0.007967014|-0.021029826|-0.015388793|-0.024240921|-0.457330633|2|0.104873188|0.780628097|0.854727481|-0.0948001|-43.59237092|-49.71258151|-0.036461577|2.367459086|48.10703|2243.894237|1280.146703|0.2150305089999999|6.46319354|10.84023999|0.67722658|5022.029588|112.7606591|-391.0345195|24.35791949|0.016230658|-298.8724505|418.022895|8.511255722000001|0.0|1.0|1.0|2.0|2.89|0.0|22.0|-8.42|5.4|58.04|2.88|1.0|0.0|0.0|1.0|3.0|25.0|3.0|-5.16|0.0|0.000995|4.49e-06|0.00156|3.829999999999999e-09|1.33e-06|-0.05717|5.6998|4.12|0.2342|217.52|402.58|0.52977|0.69138|-0.15473|4.0226|-1470.0192869999998|316.0|6.5|6.5
9a_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|1.865740741|5.4161004020000005|-0.020455825|0.168990628|0.921628874|-0.136162501|0.01310675|0.157704751|-0.1720337089999999|2|0.011966382|0.291102625|0.009844552|0.016958188|-0.449508498|0|-0.394662853|0.749764251|0.937600185|-0.072887601|-29.02567082|-35.24260989|-0.032156295|2.579562688|34.36063715|1971.148912|336.39741360000005|0.131523409|6.749223592000001|13.33684703|0.976056482|3991.317015|63.59419322|-255.607578|17.90285474|0.008714375|-356.33157|323.79254|4.213574358|1.0|0.0|1.0|0.0|3.28|0.06|20.0|-6.4|4.43|58.43|3.57|1.0|0.0|0.0|1.0|2.0|21.0|2.0|-4.85|0.0|0.000944|8.33e-06|0.00243|4.02e-07|0.000117|-0.06495|4.7066|4.07|0.4746|263.42|411.01|0.47831|0.69958|-0.13808|3.8656|-1217.873686|214.0|6.6696|6.6696
