molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|SIC2|RASA|FNSA5|PNSA3|PNSA5|FNSA4|WPSA3|DPSA3|GRAVp|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
12ac_a36|0.0|1|0|3.4419617660000004|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.073735973|0.03586247|0.0|-0.450737917|0.000584134|-0.046730704|-0.0121300989999999|1|0.0018565629999999|0.060445359|-0.098698552|-0.166354116|-0.433636165|1|0.135371136|0.863165958|0.779673368|-0.104391657|-55.68500110000001|-72.4798052|-0.036062573|10.36858115|70.61872461|2902.588755|2455.459827|0.268353853|8.126831024|14.63702516|0.801074136|6378.288017|186.3198219|-956.1407834|34.22211444|0.020208014|-321.66684580000003|716.9974499|14.03055543|0.0|1.0|0.0|2.0|0.0|0.17|17.0|-6.89|2.09|86.27|1.59|1.0|0.0|0.0|1.0|6.0|32.0|5.0|-7.21|0.0|0.0653|0.000112|0.0476|1.29e-07|5.4600000000000006e-05|-0.0527399999999999|3.8843|4.84|0.3302|319.2|554.84|0.56186|0.56357|-0.15675|4.0208|-1385.382927|13.0|7.8861|7.8861
7_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.0|4.727387819|-0.106234254|-0.047419994|1.989724777|-0.327648836|-0.007540435|0.054347129|0.030246987|1|-0.006696449|-0.084462575|0.020589494|0.036673175|-0.592753801|2|-0.224253635|0.8632654590000001|0.782294598|-0.096448591|-51.18177092|-47.72824381|-0.036877402|2.377557323|55.98630667|2196.07224|1952.029549|0.2007853889999999|5.198046584|8.644978051|0.663120542|5055.700186|99.36002106|-307.0424158|22.83370969|0.0149999089999999|-296.13678660000005|353.7528308|7.422807617|1.0|1.0|1.0|1.0|2.61|0.0|21.0|-7.48|4.66|92.93|2.11|1.0|0.0|0.0|1.0|2.0|23.0|3.0|-5.68|0.0|0.00124|1.34e-05|0.00455|3.28e-08|1.11e-05|-0.0640299999999999|5.8849|3.09|0.1926|210.68|362.61|0.3456|0.69224|-0.14816|3.1299|-1731.651178|1023.0|5.9901|5.9901
12am_a36|0.0|1|0|3.340519946|-4.723487246|0|7.412764017000001|2|2|0.0|5.351858133|-0.297354748|0.122824831|0.0|-0.921315581|-0.011700732|-0.050505733|-0.037654321|1|-0.007897954|0.345949079|-0.1187503719999999|-0.3344729369999999|-0.6080522279999999|1|-0.0147665219999999|0.885733922|0.814986544|-0.118101664|-63.19394154|-81.59051640000001|-0.045928425|8.395550408|75.34643812|3230.6292780000003|2603.072527|0.211665165|8.772646622|17.01968794|0.940085891|7238.033439|146.228847|-1183.702712|40.24894481|0.020179019|-398.3921535|672.4630346|13.94067198|1.0|1.0|0.0|2.0|0.0|0.17|17.0|-7.14|4.04|78.43|2.04|2.0|0.0|0.0|1.0|7.0|34.0|8.0|-6.4|0.0|0.00291|8.6e-06|4.0|7.24e-08|3.37e-05|-0.0569799999999999|5.2317|4.86|0.4894|236.99|562.14|0.40752|0.6805100000000001|-0.15658|5.9258|-1645.016323|0.06|7.2218|7.2218
5f_a40|0.0|0|0|0.0|0.0|1|8.149890544|0|1|1.656591081|6.167516491000001|-0.0468504759999999|-0.085493191|0.769837491|-0.293556526|0.000663516|0.166865076|0.062183277|2|0.000706205|-0.155235986|0.100535344|0.18254908|-0.4644854879999999|0|-0.465573352|875.0|0.7414714309999999|-0.10969397|-52.44868801|-50.68028366|-0.041135239|4.319700326|61.79838068|1932.388838|599.1117195|0.185606315|5.780627322000001|11.20493646|0.938359946|3963.475837|85.75294257|-280.9807494|23.33651|0.015000038|-290.5093357|269.0442248|6.930245797|0.0|1.0|1.0|1.0|2.05|0.21|14.0|-3.69|2.68|101.52|1.29|0.0|2.0|0.0|3.0|3.0|20.0|3.0|-6.47|0.0|0.0307|0.000491|0.14|0.000207|0.0587|-0.06227|3.8036|3.5|0.2747|325.97|361.03|0.56507|0.69727|-0.13057|5.5961|-1232.898044|112.0|6.9508|6.9508
5_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|0.0|0.0|-0.044921287|0.0729170329999999|0.0|-0.54157893|0.000420839|-0.0156037999999999|0.0118220069999999|0|0.003194793|0.1093187759999999|-0.187421793|-0.28098676|-0.340979744|2|0.092692253|0.74438723|0.8740541479999999|-0.0989946469999999|-45.57134103|-73.61131563|-0.0273088679999999|18.03465935|69.82487767|2940.77098|2179.757502|0.491010028|7.795174584|15.1701491|0.946094849|6656.720346|365.1095806|-875.7848531999999|39.89581513|0.036380071|-13.36968593|779.0599798999999|27.05181494|1.0|1.0|1.0|1.0|3.68|0.15|24.0|-9.65|6.01|74.73|2.0|3.0|0.0|0.0|1.0|8.0|33.0|6.0|-5.55|1.0|0.000304|2.18e-06|0.000967|2.25e-10|9.970000000000001e-08|-0.03714|4.3299|4.36|291.0|286.35|629.67|0.62664|0.70244|-0.14839|4.3576|-1470.55517|13.0|7.8861|7.8861
4f_a46|0.0|0|0|0.0|0.2096617139999999|1|7.825245291|1|1|2.190536659|5.587248657999999|-0.001868546|-0.099507167|0.0|-0.053860324|0.012332859|-0.056114865|-0.115631645|1|0.011806162|-0.154986658|-0.079238184|-0.123416853|-0.150189733|2|-0.2076648489999999|0.7796270059999999|0.934973206|-0.0674830959999999|-30.29079362|-36.60887321|-0.022035297|2.570614463|35.0293449|2103.214727|1563.375755|0.240157725|5.654067072999999|9.828175385|0.7382488140000001|4661.569032|130.2830519|-317.7588874|15.73210412|0.010341277|-281.9234274|538.4165208|5.6100342670000005|1.0|1.0|1.0|0.0|3.16|0.38|17.0|-7.21|4.71|43.6|2.58|1.0|0.0|0.0|1.0|3.0|25.0|3.0|-5.65|0.0|0.0139|2.62e-05|0.00872|6.12e-08|2.04e-05|-0.02947|4548.0|3.87|0.1719|272.61|493.53|0.69208|0.69208|-0.19079|3.2783|-1033.36869|183.0|6.7375|6.7375
25_a47|0.0|0|1|0.0|0.0|1|6.86171134|0|0|1.234859637|4.727387819|-0.1084905069999999|-0.055724653|1.087932079|-0.486951604|-0.003963349|-0.035030495|0.002716049|1|-0.00269275|-0.120903298|-0.108691353|-0.235822787|-0.545763902|2|-0.077710529|0.906449648|0.786958319|-0.08797211|-44.52300552|-53.40631957|-0.031278972|7.453635586|56.80080434|2704.5905190000003|1514.111398|0.376125772|6.951055196|13.26689626|0.908616158|6236.813862|228.3393366|-518.7525876|30.43708613|0.029261935|-150.4037281|513.2159236|17.76440561|1.0|0.0|1.0|2.0|3.27|0.1|21.0|-8.01|4.95|84.73|3.08|2.0|0.0|0.0|1.0|5.0|29.0|5.0|-6.3|0.0|0.00417|1.52e-05|0.00626|9.79e-09|4.02e-06|-0.06331|4.8002|4.78|287.0|258.29|491.7|0.53663|0.68761|-0.16588|3.8832|-1735.279715|16.0|7.8|7.8
16b_a32|-3.3094926630000003|1|1|3.2902303|0.0|0|7.765993078999999|0|0|0.0|5.733341277|-0.3723824429999999|-0.012739425|2.033356859|-0.423467596|-0.008277865|-0.018753196|-0.0657820279999999|3|-0.00180101|-0.023602065|-0.1202046419999999|-0.222700615|-0.586122949|0|0.056127969|0.907055332|0.7465375040000001|-0.1083060409999999|-56.84546999|-69.39772428|-0.0345657579999999|6.490611388|66.97508778|3037.795494|3264.235184|0.252363732|6.466656381|11.05406524|0.709394251|6612.089615999999|161.7035261|-667.0049190000001|29.62431176|0.017136832|-317.3487516|597.8890744|10.98052464|1.0|1.0|1.0|2.0|2.48|0.28|19.0|-7.6|4.88|165.49|0.41|1.0|0.0|1.0|1.0|7.0|28.0|6.0|-6.72|1.0|0.000225|2.84e-05|0.0123|2.54e-08|1.1e-05|-0.05946|3.6211|6.37|0.2849|342.39|567.01|0.70233|0.70233|-0.14995|4.4055|-2315.819979|17.0|7.7696|7.7696
16b_a23|0.0|0|1|0.0|0.0|2|7.423568444|1|1|3.418247774|5.351858133|-0.013240238|0.054655144|0.754232958|-0.3237716519999999|0.0116350769999999|-0.068280331|-0.05237763|2|0.011266252|0.099244509|-0.123524943|-0.224300431|-0.401493392|2|0.14319927|0.830577373|0.928579764|-0.07920267|-37.52431601|-58.69232154|-0.031407956|10.22222569|51.31875369|3370.826124|2256.698672|0.261023|9.472884487|18.46592377|0.949345397|7575.784511|193.4284005|-1000.346801|31.49562341|0.018384316|-354.1828792|896.9989312000001|13.6235075|1.0|1.0|0.0|1.0|0.0|0.07|26.0|-7.33|4.1|108.26|3.14|2.0|1.0|0.0|1.0|6.0|36.0|4.0|-6.3|0.0|0.000314|2.16e-06|0.00106|4.6200000000000003e-08|2.26e-05|-0.07352|1.6041|4.24|0.3456|772.92|607.92|0.95419|0.95419|-0.13741|9.2317|-1877.335869|96.0|7.0191|7.0191
13b_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.118776867|-0.035340334|0.0|-0.627919307|-0.003436924|0.042845487|-0.0463169629999999|1|-0.002215642|-0.062905093|0.003429114|0.006103754|-0.564815317|1|-0.045844862|0.892104517|0.694101802|-0.113554975|-74.24619275|-76.67161447|-0.042850934|8.459192992|86.77473353|3002.926824|2319.48655|0.1997091339999999|8.804739699999999|16.1428924|0.8334321|6627.406474|134.8423681|-1035.363967|36.15271139|0.017174033|-405.5090587|713.7769663|11.59580043|0.0|1.0|0.0|2.0|0.0|0.13|17.0|-6.19|1.72|124.74|2.06|1.0|0.0|0.0|1.0|6.0|32.0|5.0|-7.05|0.0|0.00427|5e-05|0.0221|6.520000000000001e-07|0.000288|-0.05434|5.0501|4.54|0.2783|245.51|544.04|0.32563|0.6862699999999999|-0.14879|3.8495|-1744.281763|26.0|7.5901|7.5901
